Quarter,Time,Down,ToGo,Location,MIN,PHI,Detail,EPB,EPA,week,year,game_id
1.0,3:30,3.0,5.0,MIN 44,0.0,7.0,Kirk Cousins pass incomplete short middle intended for Irv Smith (defended by James Bradberry),0.96,-0.46,2.0,2022,32
1.0,3:25,4.0,5.0,MIN 44,0.0,7.0,"Ryan Wright punts 38 yards, fair catch by Britain Covey at PHI-18",-0.46,-0.15,2.0,2022,32
1.0,3:19,1.0,10.0,PHI 19,0.0,7.0,Miles Sanders left tackle for 3 yards (tackle by Dalvin Tomlinson),0.15,0.01,2.0,2022,32
1.0,2:43,2.0,7.0,PHI 21,0.0,7.0,Jalen Hurts pass complete short left to Miles Sanders for 2 yards (tackle by Cameron Dantzler),0.01,-0.53,2.0,2022,32
1.0,1:57,3.0,5.0,PHI 23,0.0,7.0,Jalen Hurts pass complete short left to DeVonta Smith for 8 yards (tackle by Harrison Smith),-0.53,1.0,2.0,2022,32
1.0,1:28,1.0,10.0,PHI 31,0.0,7.0,"Jalen Hurts pass complete short left to Dallas Goedert for no gain. Penalty on Isaac Seumalo: Ineligible Downfield Pass, 5 yards (accepted) (no play)",1.0,0.67,2.0,2022,32
1.0,1:05,1.0,15.0,PHI 26,0.0,7.0,Jalen Hurts pass complete short middle to A.J. Brown for 11 yards (tackle by Harrison Smith),0.67,1.27,2.0,2022,32
1.0,0:39,2.0,4.0,PHI 37,0.0,7.0,"Miles Sanders left guard for 3 yards (tackle by Jonathan Bullard). Penalty on Jonathan Bullard: Defensive Holding, 5 yards (accepted)",1.27,1.93,2.0,2022,32
1.0,0:14,1.0,10.0,PHI 45,0.0,7.0,Miles Sanders up the middle for 2 yards (tackle by Jonathan Bullard),1.93,1.65,2.0,2022,32
2.0,15:00,2.0,8.0,PHI 47,0.0,13.0,"Jalen Hurts pass complete deep left to Quez Watkins for 53 yards, touchdown",1.65,7.0,2.0,2022,32
2.0,14:52,,,MIN 15,0.0,14.0,Jake Elliott kicks extra point good,0.0,0.0,2.0,2022,32
2.0,14:52,,,PHI 35,0.0,14.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,32
2.0,14:52,1.0,10.0,MIN 25,0.0,14.0,Kirk Cousins pass complete short left to Dalvin Cook for 2 yards (tackle by T.J. Edwards),0.61,0.47,2.0,2022,32
2.0,14:13,2.0,7.0,MIN 28,0.0,14.0,Kirk Cousins scrambles right end for 7 yards (tackle by Haason Reddick),0.47,0.56,2.0,2022,32
2.0,13:30,3.0,1.0,MIN 34,0.0,14.0,Jalen Reagor right end for 17 yards (tackle by C.J. Gardner-Johnson),0.56,2.32,2.0,2022,32
2.0,12:53,1.0,10.0,PHI 49,0.0,14.0,Kirk Cousins pass complete short middle to Justin Jefferson for 11 yards (tackle by Avonte Maddox),2.32,3.05,2.0,2022,32
2.0,12:29,1.0,10.0,PHI 38,0.0,14.0,Kirk Cousins pass complete short left to Dalvin Cook for -1 yards (tackle by T.J. Edwards),3.05,2.37,2.0,2022,32
2.0,11:51,2.0,11.0,PHI 39,0.0,14.0,Alexander Mattison left end for 5 yards (tackle by Kyzir White),2.37,2.34,2.0,2022,32
2.0,11:07,3.0,6.0,PHI 34,0.0,14.0,Kirk Cousins pass complete short right to K.J. Osborn for 15 yards (tackle by Avonte Maddox),2.34,4.31,2.0,2022,32
2.0,10:24,1.0,10.0,PHI 19,0.0,14.0,Kirk Cousins pass complete short right to Johnny Mundt for 17 yards (tackle by Haason Reddick),4.31,6.74,2.0,2022,32
2.0,9:43,1.0,2.0,PHI 2,6.0,14.0,"Kirk Cousins pass complete short right to Irv Smith for 2 yards, touchdown",6.74,7.0,2.0,2022,32
2.0,9:39,,,PHI 15,7.0,14.0,Greg Joseph kicks extra point good,0.0,0.0,2.0,2022,32
2.0,9:39,,,MIN 35,7.0,14.0,"Greg Joseph kicks off 58 yards, returned by Quez Watkins for 9 yards (tackle by Josh Metellus)",0.0,-0.14,2.0,2022,32
2.0,9:34,1.0,10.0,PHI 16,7.0,14.0,Jalen Hurts left end for no gain (tackle by Cameron Dantzler),-0.14,-0.66,2.0,2022,32
2.0,8:53,2.0,10.0,PHI 16,7.0,14.0,Jalen Hurts pass complete short left to Miles Sanders for -2 yards (tackle by Cameron Dantzler),-0.66,-1.61,2.0,2022,32
2.0,8:07,3.0,12.0,PHI 14,7.0,14.0,Jalen Hurts scrambles left end for 8 yards (tackle by Jordan Hicks),-1.61,-1.9,2.0,2022,32
2.0,8:07,4.0,4.0,PHI 22,7.0,14.0,"Penalty on Cameron Dantzler: Illegal Contact, 5 yards (accepted)",-1.9,0.74,2.0,2022,32
2.0,7:44,1.0,10.0,PHI 27,7.0,14.0,Miles Sanders left tackle for -2 yards (tackle by Patrick Jones),0.74,-0.21,2.0,2022,32
2.0,7:08,2.0,13.0,PHI 24,7.0,14.0,Jalen Hurts pass incomplete short left intended for Dallas Goedert (defended by Cameron Dantzler),-0.21,-0.89,2.0,2022,32
2.0,7:01,3.0,13.0,PHI 24,7.0,14.0,Jalen Hurts pass complete short left to Zach Pascal for 6 yards (tackle by Chandon Sullivan and Eric Kendricks),-0.89,-1.31,2.0,2022,32
2.0,6:28,4.0,6.0,PHI 31,7.0,14.0,"Arryn Siposs punts 43 yards, fair catch by Jalen Reagor at MIN-26",-1.31,-0.67,2.0,2022,32
2.0,6:20,1.0,10.0,MIN 26,7.0,14.0,Kirk Cousins pass complete short left to Justin Jefferson for 7 yards (tackle by Darius Slay),0.67,1.07,2.0,2022,32
2.0,5:59,2.0,3.0,MIN 33,7.0,14.0,Dalvin Cook right guard for 1 yard (tackle by Javon Hargrave and Avonte Maddox),1.07,0.5,2.0,2022,32
2.0,5:15,3.0,2.0,MIN 34,7.0,14.0,Kirk Cousins pass incomplete short middle intended for Irv Smith (defended by T.J. Edwards),0.5,-1.11,2.0,2022,32
2.0,5:12,4.0,2.0,MIN 34,7.0,14.0,"Ryan Wright punts 56 yards, returned by Britain Covey for 5 yards (tackle by D.J. Wonnum)",-1.11,0.22,2.0,2022,32
2.0,5:00,1.0,10.0,PHI 15,7.0,14.0,Jalen Hurts pass complete short middle to DeVonta Smith for 19 yards (tackle by Camryn Bynum),-0.22,1.2,2.0,2022,32
2.0,4:27,1.0,10.0,PHI 34,7.0,14.0,Jalen Hurts pass complete deep middle to DeVonta Smith for 16 yards (tackle by Harrison Smith and Camryn Bynum),1.2,2.26,2.0,2022,32
2.0,3:58,1.0,10.0,PHI 50,7.0,14.0,Jalen Hurts pass incomplete deep left intended for A.J. Brown,2.26,1.71,2.0,2022,32
2.0,3:53,2.0,10.0,PHI 50,7.0,14.0,Boston Scott up the middle for 16 yards (tackle by Harrison Smith),1.71,3.31,2.0,2022,32
2.0,3:27,1.0,10.0,MIN 34,7.0,14.0,Boston Scott up the middle for -1 yards (tackle by Ross Blacklock),3.31,2.64,2.0,2022,32
2.0,2:53,2.0,11.0,MIN 35,7.0,14.0,Miles Sanders up the middle for 9 yards (tackle by Eric Kendricks and Camryn Bynum),2.64,3.14,2.0,2022,32
2.0,2:09,3.0,2.0,MIN 26,7.0,20.0,"Jalen Hurts right end for 26 yards, touchdown",3.14,7.0,2.0,2022,32
2.0,1:58,,,MIN 15,7.0,21.0,Jake Elliott kicks extra point good,0.0,0.0,2.0,2022,32
2.0,1:58,,,PHI 35,7.0,21.0,"Jake Elliott kicks off 63 yards, returned by Kene Nwangwu for 20 yards (tackle by Boston Scott)",0.0,0.41,2.0,2022,32
2.0,1:53,1.0,10.0,MIN 22,7.0,21.0,"Kirk Cousins sacked by. Penalty on Josh Sweat: Face Mask (15 Yards), 15 yards (accepted) (no play)",0.41,1.4,2.0,2022,32
2.0,1:44,1.0,10.0,MIN 37,7.0,21.0,Kirk Cousins pass incomplete short left intended for Dalvin Cook,1.4,0.86,2.0,2022,32
2.0,1:41,2.0,10.0,MIN 37,7.0,21.0,Kirk Cousins pass incomplete deep left intended for Irv Smith,0.86,0.17,2.0,2022,32
2.0,1:35,3.0,10.0,MIN 37,7.0,21.0,Kirk Cousins pass incomplete short right,0.17,-0.91,2.0,2022,32
2.0,1:31,4.0,10.0,MIN 37,7.0,21.0,Ryan Wright punts 58 yards out of bounds,-0.91,0.38,2.0,2022,32
2.0,1:21,1.0,10.0,PHI 5,7.0,21.0,Jalen Hurts left end for 9 yards (tackle by Chandon Sullivan),-0.38,-0.1,2.0,2022,32
2.0,0:43,2.0,1.0,PHI 14,7.0,21.0,Kenneth Gainwell right tackle for 3 yards (tackle by Danielle Hunter and Dalvin Tomlinson),-0.1,-0.14,2.0,2022,32
2.0,0:38,,,,,,Timeout #1 by Philadelphia Eagles,,,2.0,2022,32
2.0,0:38,1.0,10.0,PHI 16,7.0,21.0,Jalen Hurts pass incomplete deep middle intended for A.J. Brown,-0.14,-0.66,2.0,2022,32
2.0,0:33,2.0,10.0,PHI 16,7.0,21.0,Kenneth Gainwell for 4 yards (tackle by Eric Kendricks and Dalvin Tomlinson),-0.66,-0.75,2.0,2022,32
2.0,0:28,,,,,,Timeout #1 by Minnesota Vikings,,,2.0,2022,32
2.0,0:28,3.0,6.0,PHI 21,7.0,21.0,Jalen Hurts pass complete short left to DeVonta Smith for 16 yards (tackle by Harrison Smith),-0.75,1.4,2.0,2022,32
2.0,0:22,,,,,,Timeout #2 by Philadelphia Eagles,,,2.0,2022,32
2.0,0:22,1.0,10.0,PHI 37,7.0,21.0,Jalen Hurts pass complete short left to Dallas Goedert for 19 yards (tackle by Jordan Hicks),1.4,2.65,2.0,2022,32
2.0,0:15,1.0,10.0,MIN 44,7.0,21.0,Jalen Hurts pass complete deep middle to Dallas Goedert for 24 yards (tackle by Harrison Smith),2.65,4.24,2.0,2022,32
2.0,0:03,,,,,,Timeout #3 by Philadelphia Eagles,,,2.0,2022,32
2.0,0:03,1.0,10.0,MIN 20,7.0,24.0,Jake Elliott 38 yard field goal good,4.24,3.0,2.0,2022,32
3.0,15:00,,,PHI 35,7.0,24.0,"Jake Elliott kicks off 66 yards, returned by Kene Nwangwu for 22 yards (tackle by Kyron Johnson)",0.0,0.34,2.0,2022,32
3.0,14:53,1.0,10.0,MIN 21,7.0,24.0,Dalvin Cook left guard for 5 yards (tackle by T.J. Edwards and Fletcher Cox),0.34,0.61,2.0,2022,32
3.0,14:22,2.0,4.0,MIN 27,7.0,24.0,Kirk Cousins pass complete to Justin Jefferson for 8 yards (tackle by Marcus Epps),0.61,1.2,2.0,2022,32
3.0,13:55,1.0,10.0,MIN 34,7.0,24.0,Kirk Cousins pass complete short right to K.J. Osborn for 10 yards (tackle by T.J. Edwards and Marcus Epps),1.2,1.86,2.0,2022,32
3.0,13:29,1.0,10.0,MIN 44,7.0,24.0,"Penalty on Ed Ingram: False Start, 5 yards (accepted) (no play)",1.86,1.53,2.0,2022,32
3.0,13:08,1.0,15.0,MIN 39,7.0,24.0,Kirk Cousins pass complete short middle to Johnny Mundt for 11 yards (tackle by T.J. Edwards),1.53,2.13,2.0,2022,32
3.0,12:29,2.0,4.0,MIN 50,7.0,24.0,Dalvin Cook up the middle for 6 yards (tackle by Avonte Maddox and Marcus Epps),2.13,2.65,2.0,2022,32
3.0,11:53,1.0,10.0,PHI 44,7.0,24.0,Kirk Cousins pass complete short left to Dalvin Cook for 14 yards (tackle by C.J. Gardner-Johnson),2.65,3.58,2.0,2022,32
3.0,11:21,1.0,10.0,PHI 30,7.0,24.0,Kirk Cousins pass complete short middle to Justin Jefferson for 11 yards (tackle by Marcus Epps and Avonte Maddox),3.58,4.31,2.0,2022,32
3.0,10:44,1.0,10.0,PHI 19,7.0,24.0,Kirk Cousins pass complete short right to Alexander Mattison for no gain (tackle by Brandon Graham and Marlon Tuipulotu),4.31,3.75,2.0,2022,32
3.0,10:01,2.0,10.0,PHI 19,7.0,24.0,"Kirk Cousins pass deep middle intended for Justin Jefferson is intercepted by Darius Slay in end zone and returned for 19 yards (tackle by Garrett Bradbury). Penalty on Ezra Cleveland: Offensive Holding, 10 yards (declined)",3.75,-0.15,2.0,2022,32
3.0,9:51,1.0,10.0,PHI 19,7.0,24.0,Jalen Hurts pass complete short left to Dallas Goedert for 8 yards (tackle by Harrison Smith),0.15,0.75,2.0,2022,32
3.0,9:24,2.0,2.0,PHI 27,7.0,24.0,Jalen Hurts pass incomplete short right intended for A.J. Brown,0.75,-0.03,2.0,2022,32
3.0,9:16,3.0,2.0,PHI 27,7.0,24.0,Miles Sanders left guard for 4 yards (tackle by Danielle Hunter),-0.03,0.94,2.0,2022,32
3.0,8:38,1.0,10.0,PHI 30,7.0,24.0,Miles Sanders up the middle for 6 yards (tackle by Harrison Phillips),0.94,1.34,2.0,2022,32
3.0,8:01,2.0,3.0,PHI 37,7.0,24.0,Miles Sanders left guard for 10 yards (tackle by Harrison Smith),1.34,2.06,2.0,2022,32
3.0,7:29,1.0,10.0,PHI 47,7.0,24.0,Jalen Hurts pass complete short left to DeVonta Smith for 4 yards (tackle by Cameron Dantzler),2.06,2.06,2.0,2022,32
3.0,6:51,2.0,6.0,MIN 49,7.0,24.0,Jalen Hurts pass complete short middle to A.J. Brown for 23 yards (tackle by Camryn Bynum),2.06,3.84,2.0,2022,32
3.0,6:06,1.0,10.0,MIN 26,7.0,24.0,"Penalty on Jordan Mailata: False Start, 5 yards (accepted) (no play)",3.84,3.51,2.0,2022,32
3.0,5:41,1.0,15.0,MIN 31,7.0,24.0,Jalen Hurts pass complete short left to A.J. Brown for 12 yards (tackle by Akayleb Evans),3.51,4.27,2.0,2022,32
3.0,5:08,2.0,3.0,MIN 19,7.0,24.0,Jalen Hurts sacked by Za'Darius Smith for -2 yards,4.27,3.27,2.0,2022,32
3.0,4:27,3.0,5.0,MIN 21,7.0,24.0,"Penalty on Lane Johnson: False Start, 5 yards (accepted) (no play)",3.27,2.61,2.0,2022,32
3.0,4:08,3.0,10.0,MIN 26,7.0,24.0,Jalen Hurts scrambles right end for 4 yards (tackle by Jordan Hicks),2.61,2.02,2.0,2022,32
3.0,3:26,4.0,6.0,MIN 22,7.0,24.0,Jake Elliott 40 yard field goal no good blocked by Patrick Peterson (tackle by Arryn Siposs),2.02,-3.58,2.0,2022,32
3.0,3:17,1.0,10.0,PHI 30,7.0,24.0,Dalvin Cook right end for 3 yards (tackle by Kyzir White and Fletcher Cox),3.58,3.44,2.0,2022,32
3.0,2:32,2.0,7.0,PHI 27,7.0,24.0,Kirk Cousins pass incomplete short left intended for Dalvin Cook (defended by Haason Reddick),3.44,2.74,2.0,2022,32
3.0,2:28,3.0,7.0,PHI 27,7.0,24.0,Kirk Cousins pass short left intended for Adam Thielen is intercepted by Avonte Maddox at PHI-13 and returned for 2 yards (tackle by Irv Smith),2.74,0.22,2.0,2022,32
3.0,2:19,1.0,10.0,PHI 15,7.0,24.0,Jalen Hurts pass complete short left to Miles Sanders for 6 yards (tackle by Eric Kendricks),-0.22,0.21,2.0,2022,32
3.0,1:46,2.0,4.0,PHI 21,7.0,24.0,Miles Sanders up the middle for 3 yards (tackle by Danielle Hunter),0.21,-0.27,2.0,2022,32
3.0,1:21,3.0,1.0,PHI 24,7.0,24.0,Jalen Hurts up the middle for 2 yards (tackle by Harrison Smith),-0.27,0.67,2.0,2022,32
3.0,0:40,1.0,10.0,PHI 26,7.0,24.0,Jalen Hurts pass complete short left to Boston Scott for 2 yards (tackle by Akayleb Evans),0.67,0.4,2.0,2022,32
4.0,15:00,2.0,8.0,PHI 28,7.0,24.0,Jalen Hurts pass complete short left to DeVonta Smith for 12 yards (tackle by Camryn Bynum),0.4,1.6,2.0,2022,32
4.0,14:30,1.0,10.0,PHI 40,7.0,24.0,"Jalen Hurts pass complete to Quez Watkins for no gain. Penalty on Jordan Mailata: Offensive Holding, 10 yards (accepted) (no play)",1.6,0.94,2.0,2022,32
4.0,14:04,1.0,20.0,PHI 30,7.0,24.0,Jalen Hurts pass complete short right to A.J. Brown for 4 yards (tackle by Chandon Sullivan),0.94,0.24,2.0,2022,32
4.0,13:22,2.0,16.0,PHI 34,7.0,24.0,Miles Sanders right end for 2 yards (tackle by Patrick Peterson),0.24,-0.16,2.0,2022,32
4.0,12:41,3.0,14.0,PHI 36,7.0,24.0,Jalen Hurts pass complete short left to Kenneth Gainwell for 11 yards (tackle by Harrison Smith and Camryn Bynum),-0.16,-0.26,2.0,2022,32
4.0,12:01,4.0,3.0,PHI 47,7.0,24.0,"Arryn Siposs punts 47 yards, returned by Jalen Reagor for 4 yards (tackle by Zach Pascal and K'Von Wallace)",-0.26,0.38,2.0,2022,32
4.0,11:49,1.0,10.0,MIN 10,7.0,24.0,"Kirk Cousins pass incomplete. Penalty on Garrett Bradbury: Ineligible Downfield Pass, 5 yards (accepted) (no play)",-0.38,-0.57,2.0,2022,32
4.0,11:42,1.0,15.0,MIN 5,7.0,24.0,Kirk Cousins pass incomplete short left intended for Johnny Mundt,-0.57,-1.15,2.0,2022,32
4.0,11:38,2.0,15.0,MIN 5,7.0,24.0,Kirk Cousins pass complete short right to Adam Thielen for 6 yards (tackle by James Bradberry),-1.15,-1.3,2.0,2022,32
4.0,11:05,3.0,9.0,MIN 11,7.0,24.0,Kirk Cousins pass complete short left to Adam Thielen for 12 yards,-1.3,0.48,2.0,2022,32
4.0,10:41,1.0,10.0,MIN 23,7.0,24.0,Kirk Cousins pass incomplete short left intended for Justin Jefferson (defended by Darius Slay),0.48,-0.07,2.0,2022,32
4.0,10:36,2.0,10.0,MIN 23,7.0,24.0,Kirk Cousins pass complete short right to Irv Smith for 15 yards (tackle by Marcus Epps),-0.07,1.47,2.0,2022,32
4.0,10:05,1.0,10.0,MIN 38,7.0,24.0,Kirk Cousins pass incomplete short right intended for Alexander Mattison (defended by Kyzir White),1.47,0.92,2.0,2022,32
4.0,10:02,2.0,10.0,MIN 38,7.0,24.0,Kirk Cousins pass incomplete short right intended for Alexander Mattison,0.92,0.23,2.0,2022,32
4.0,9:57,3.0,10.0,MIN 38,7.0,24.0,Kirk Cousins pass complete short left to Irv Smith for 11 yards (tackle by Kyzir White and Marcus Epps),0.23,2.19,2.0,2022,32
4.0,9:26,1.0,10.0,MIN 49,7.0,24.0,Kirk Cousins pass incomplete short right intended for Justin Jefferson,2.19,1.65,2.0,2022,32
4.0,9:22,2.0,10.0,MIN 49,7.0,24.0,Kirk Cousins pass incomplete short right intended for Jalen Reagor,1.65,0.96,2.0,2022,32
4.0,9:19,3.0,10.0,MIN 49,7.0,24.0,"Kirk Cousins sacked by Fletcher Cox for -12 yards. Kirk Cousins fumbles (forced by Fletcher Cox), recovered by Ed Ingram at MIN-37",0.96,-0.91,2.0,2022,32
4.0,8:28,4.0,22.0,MIN 37,7.0,24.0,"Ryan Wright punts 46 yards, returned by Britain Covey for 8 yards (tackle by Troy Dye)",-0.91,-0.61,2.0,2022,32
4.0,8:18,1.0,10.0,PHI 25,7.0,24.0,Jalen Hurts right end for -1 yards (tackle by Patrick Peterson),0.61,-0.07,2.0,2022,32
4.0,7:36,2.0,11.0,PHI 24,7.0,24.0,Jalen Hurts pass short right intended for Kenneth Gainwell is intercepted by Jordan Hicks at PHI-28 and returned for 19 yards (tackle by Jordan Mailata),-0.07,-5.14,2.0,2022,32
4.0,7:25,1.0,9.0,PHI 9,7.0,24.0,Kirk Cousins pass incomplete short middle intended for Adam Thielen,5.14,4.38,2.0,2022,32
4.0,7:22,2.0,9.0,PHI 9,7.0,24.0,Kirk Cousins pass incomplete short left intended for Justin Jefferson (defended by Darius Slay),4.38,3.36,2.0,2022,32
4.0,7:16,3.0,9.0,PHI 9,7.0,24.0,Kirk Cousins pass intended for Justin Jefferson is intercepted by Darius Slay in end zone and returned for no gain,3.36,-0.28,2.0,2022,32
4.0,7:11,1.0,10.0,PHI 20,7.0,24.0,Miles Sanders right guard for 8 yards (tackle by Chandon Sullivan),0.28,0.81,2.0,2022,32
4.0,6:28,2.0,2.0,PHI 28,7.0,24.0,Miles Sanders up the middle for 3 yards (tackle by Jonathan Bullard and Dalvin Tomlinson),0.81,1.0,2.0,2022,32
4.0,5:45,1.0,10.0,PHI 31,7.0,24.0,Miles Sanders right guard for 3 yards (tackle by Za'Darius Smith and Danielle Hunter),1.0,0.87,2.0,2022,32
4.0,5:03,2.0,7.0,PHI 34,7.0,24.0,Miles Sanders up the middle for 10 yards (tackle by Josh Metellus),0.87,1.86,2.0,2022,32
4.0,4:18,1.0,10.0,PHI 44,7.0,24.0,Miles Sanders left tackle for 2 yards (tackle by Eric Kendricks),1.86,1.59,2.0,2022,32
4.0,4:14,,,,,,Timeout #1 by Minnesota Vikings,,,2.0,2022,32
4.0,4:14,2.0,8.0,PHI 46,7.0,24.0,Boston Scott left guard for 1 yard (tackle by Dalvin Tomlinson and Harrison Phillips),1.59,1.03,2.0,2022,32
4.0,4:09,,,,,,Timeout #2 by Minnesota Vikings,,,2.0,2022,32
4.0,4:09,3.0,7.0,PHI 47,7.0,24.0,"Jalen Hurts scrambles right end for 2 yards (tackle by Eric Kendricks). Penalty on Jason Kelce: Offensive Holding, 10 yards (declined)",1.03,-0.13,2.0,2022,32
4.0,4:01,4.0,5.0,PHI 49,7.0,24.0,Arryn Siposs punts 40 yards downed by Zach Pascal,-0.13,0.37,2.0,2022,32
4.0,3:51,1.0,10.0,MIN 11,7.0,24.0,Kirk Cousins pass complete short right to Jalen Reagor for 7 yards (tackle by T.J. Edwards),-0.37,0.0,2.0,2022,32
4.0,3:28,2.0,3.0,MIN 18,7.0,24.0,Kirk Cousins pass complete short right to Dalvin Cook for 4 yards (tackle by T.J. Edwards),0.0,0.41,2.0,2022,32
4.0,3:10,1.0,10.0,MIN 22,7.0,24.0,Kirk Cousins pass complete deep right to Adam Thielen for 19 yards,0.41,1.66,2.0,2022,32
4.0,3:05,1.0,10.0,MIN 41,7.0,24.0,Kirk Cousins pass complete short left to Irv Smith for 6 yards (tackle by Avonte Maddox and C.J. Gardner-Johnson),1.66,1.93,2.0,2022,32
4.0,2:37,2.0,4.0,MIN 47,7.0,24.0,Kirk Cousins pass complete short right to Justin Jefferson for 5 yards (tackle by Avonte Maddox and T.J. Edwards),1.93,2.39,2.0,2022,32
4.0,2:12,1.0,10.0,PHI 48,7.0,24.0,Kirk Cousins scrambles right guard for 13 yards (tackle by Kyzir White),2.39,3.25,2.0,2022,32
4.0,2:00,1.0,10.0,PHI 35,7.0,24.0,Alexander Mattison up the middle for 3 yards (tackle by C.J. Gardner-Johnson),3.25,3.11,2.0,2022,32
4.0,1:42,2.0,7.0,PHI 32,7.0,24.0,Kirk Cousins pass complete short middle to Alexander Mattison for 7 yards (tackle by T.J. Edwards),3.11,4.11,2.0,2022,32
