Quarter,Time,Down,ToGo,Location,ATL,LAR,Detail,EPB,EPA,week,year,game_id
1.0,1:48,3.0,1.0,ATL 1,0.0,6.0,"Matthew Stafford pass complete short left to Allen Robinson for 1 yard, touchdown",5.17,7.0,2.0,2022,25
1.0,1:44,,,ATL 15,0.0,7.0,Matt Gay kicks extra point good,0.0,0.0,2.0,2022,25
1.0,1:44,,,LAR 35,0.0,7.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,25
1.0,1:44,1.0,10.0,ATL 25,0.0,7.0,Marcus Mariota pass incomplete short left intended for Drake London,0.61,0.06,2.0,2022,25
1.0,1:40,2.0,10.0,ATL 25,0.0,7.0,"Drew Dalman aborted snap, recovered by Tyler Allgeier at ATL-22 Tyler Allgeier for no gain (tackle by Ernest Jones)",0.06,-1.02,2.0,2022,25
1.0,1:02,3.0,13.0,ATL 22,0.0,7.0,"Marcus Mariota pass deep middle is intercepted by Nick Scott at LA-35 and returned for no gain. Nick Scott fumbles (forced by Drake London), recovered by Troy Hill at LA-30. Penalty on Jalen Ramsey: Defensive Pass Interference, 20 yards (accepted) (no play)",-1.02,1.73,2.0,2022,25
1.0,0:49,1.0,10.0,ATL 42,0.0,7.0,Cordarrelle Patterson left tackle for 6 yards (tackle by A'Shawn Robinson),1.73,2.0,2.0,2022,25
1.0,0:14,2.0,4.0,ATL 48,0.0,7.0,Cordarrelle Patterson left tackle for 2 yards (tackle by Greg Gaines),2.0,1.55,2.0,2022,25
2.0,15:00,3.0,2.0,ATL 50,0.0,7.0,Tyler Allgeier left guard for no gain (tackle by Bobby Wagner and Greg Gaines),1.55,-0.06,2.0,2022,25
2.0,14:17,4.0,2.0,ATL 50,0.0,7.0,Cordarrelle Patterson for no gain (tackle by Greg Gaines and Bobby Wagner),-0.06,-2.26,2.0,2022,25
2.0,14:11,1.0,10.0,ATL 50,0.0,7.0,Matthew Stafford pass complete short right to Tyler Higbee for 7 yards (tackle by AJ Terrell and Troy Andersen),2.26,2.66,2.0,2022,25
2.0,13:33,2.0,3.0,ATL 43,0.0,7.0,Matthew Stafford pass complete short left to Cam Akers for 10 yards (tackle by Erik Harris),2.66,3.38,2.0,2022,25
2.0,12:48,1.0,10.0,ATL 33,0.0,7.0,Matthew Stafford pass complete short right to Brandon Powell for 6 yards (tackle by Erik Harris),3.38,3.65,2.0,2022,25
2.0,12:17,2.0,4.0,ATL 27,0.0,7.0,Cam Akers left tackle for 8 yards (tackle by Mykal Walker),3.65,4.31,2.0,2022,25
2.0,11:38,1.0,10.0,ATL 19,0.0,7.0,Matthew Stafford sacked by Adetokunbo Ogundeji for no gain,4.31,3.75,2.0,2022,25
2.0,10:58,2.0,10.0,ATL 19,0.0,7.0,Cam Akers left tackle for 8 yards (tackle by DeAngelo Malone),3.75,4.43,2.0,2022,25
2.0,10:13,,,,,,Timeout #1 by Los Angeles Rams,,,2.0,2022,25
2.0,10:13,3.0,2.0,ATL 11,0.0,7.0,Darrell Henderson right tackle for 3 yards (tackle by Arnold Ebiketie and Ta'Quon Graham),4.43,5.37,2.0,2022,25
2.0,9:34,1.0,8.0,ATL 8,0.0,13.0,"Darrell Henderson right guard for 8 yards, touchdown",5.37,7.0,2.0,2022,25
2.0,9:30,,,ATL 15,0.0,14.0,Matt Gay kicks extra point good,0.0,0.0,2.0,2022,25
2.0,9:30,,,LAR 35,0.0,14.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,25
2.0,9:30,1.0,10.0,ATL 25,0.0,14.0,Caleb Huntley left tackle for 3 yards (tackle by A'Shawn Robinson and Jordan Fuller),0.61,0.47,2.0,2022,25
2.0,8:48,2.0,7.0,ATL 28,0.0,14.0,Marcus Mariota pass complete deep right to KhaDarel Hodge for 39 yards (tackle by Jordan Fuller),0.47,3.38,2.0,2022,25
2.0,8:08,1.0,10.0,LAR 33,0.0,14.0,Cordarrelle Patterson left tackle for 11 yards (tackle by Nick Scott),3.38,4.11,2.0,2022,25
2.0,7:34,1.0,10.0,LAR 22,0.0,14.0,Cordarrelle Patterson left guard for 6 yards (tackle by Aaron Donald and Ernest Jones),4.11,4.46,2.0,2022,25
2.0,6:50,2.0,4.0,LAR 16,0.0,14.0,Marcus Mariota scrambles left end for 3 yards (tackle by Terrell Lewis),4.46,4.39,2.0,2022,25
2.0,6:10,3.0,1.0,LAR 13,0.0,14.0,Cordarrelle Patterson right tackle for no gain (tackle by Bobby Wagner),4.39,2.72,2.0,2022,25
2.0,5:30,4.0,1.0,LAR 13,0.0,14.0,Marcus Mariota pass complete short right to Parker Hesse for 5 yards (tackle by Jordan Fuller and Ernest Jones),2.72,5.37,2.0,2022,25
2.0,4:47,1.0,8.0,LAR 8,0.0,14.0,Tyler Allgeier right guard for 3 yards (tackle by Ernest Jones and Justin Hollins),5.37,5.15,2.0,2022,25
2.0,4:01,2.0,5.0,LAR 5,0.0,14.0,"Cordarrelle Patterson left tackle for no gain (tackle by Taylor Rapp). Penalty on Drew Dalman: Offensive Holding, 10 yards (accepted) (no play)",5.15,3.46,2.0,2022,25
2.0,3:37,2.0,15.0,LAR 15,0.0,14.0,Marcus Mariota pass complete short right to Drake London for 7 yards (tackle by Bobby Wagner and Cobie Durant),3.46,3.58,2.0,2022,25
2.0,2:54,3.0,8.0,LAR 8,0.0,14.0,Marcus Mariota pass incomplete short left intended for Kyle Pitts,3.58,2.95,2.0,2022,25
2.0,2:47,4.0,8.0,LAR 8,3.0,14.0,Younghoe Koo 26 yard field goal good,2.95,3.0,2.0,2022,25
2.0,2:44,,,ATL 35,3.0,14.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,25
2.0,2:44,1.0,10.0,LAR 25,3.0,14.0,Cam Akers right tackle for 3 yards (tackle by AJ Terrell),0.61,0.47,2.0,2022,25
2.0,2:00,2.0,7.0,LAR 28,3.0,14.0,Matthew Stafford pass complete short right to Cooper Kupp for 9 yards (tackle by Mykal Walker and Jaylinn Hawkins),0.47,1.4,2.0,2022,25
2.0,1:34,1.0,10.0,LAR 37,3.0,14.0,Matthew Stafford pass complete deep right to Cooper Kupp for 20 yards (tackle by AJ Terrell),1.4,2.72,2.0,2022,25
2.0,1:28,1.0,10.0,ATL 43,3.0,14.0,Matthew Stafford pass complete short middle to Tyler Higbee for 17 yards (tackle by AJ Terrell and Rashaan Evans),2.72,3.84,2.0,2022,25
2.0,1:05,1.0,10.0,ATL 26,3.0,14.0,Matthew Stafford pass complete short left to Cooper Kupp for 3 yards (tackle by DeAundre Alford),3.84,3.7,2.0,2022,25
2.0,1:00,2.0,7.0,ATL 23,3.0,14.0,"Matthew Stafford pass deep right intended for Tyler Higbee is intercepted by Casey Hayward in end zone and returned for no gain, touchback.",3.7,-0.28,2.0,2022,25
2.0,0:54,1.0,10.0,ATL 20,3.0,14.0,"Marcus Mariota pass incomplete deep right intended for Kyle Pitts. Penalty on David Long: Defensive Pass Interference, 36 yards (accepted) (no play)",0.28,2.65,2.0,2022,25
2.0,0:47,1.0,10.0,LAR 44,3.0,14.0,Marcus Mariota pass incomplete short left intended for Drake London,2.65,2.11,2.0,2022,25
2.0,0:44,2.0,10.0,LAR 44,3.0,14.0,Marcus Mariota pass incomplete short left intended for Drake London,2.11,1.42,2.0,2022,25
2.0,0:39,3.0,10.0,LAR 44,3.0,14.0,Marcus Mariota pass short left intended for Cordarrelle Patterson is intercepted by Cobie Durant at LA-40 and returned for 51 yards (tackle by Marcus Mariota and Chris Lindstrom),1.42,-5.14,2.0,2022,25
2.0,0:28,1.0,9.0,ATL 9,3.0,14.0,"Matthew Stafford pass complete short right to Tyler Higbee for 2 yards (tackle by AJ Terrell and Arnold Ebiketie). Penalty on AJ Terrell: Low Block, 4 yards (accepted)",5.14,6.51,2.0,2022,25
2.0,0:23,1.0,3.0,ATL 3,3.0,14.0,Matthew Stafford pass incomplete short middle intended for Tyler Higbee,6.51,5.53,2.0,2022,25
2.0,0:18,2.0,3.0,ATL 3,3.0,20.0,"Matthew Stafford pass complete short left to Cooper Kupp for 3 yards, touchdown",5.53,7.0,2.0,2022,25
2.0,0:14,,,ATL 15,3.0,21.0,Matt Gay kicks extra point good,0.0,0.0,2.0,2022,25
2.0,0:14,,,LAR 35,3.0,21.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,25
2.0,0:14,1.0,10.0,ATL 25,3.0,21.0,Marcus Mariota pass complete short middle to Drake London for 19 yards (tackle by Jordan Fuller and David Long),0.61,1.86,2.0,2022,25
2.0,0:05,,,,,,Timeout #1 by Atlanta Falcons,,,2.0,2022,25
2.0,0:05,1.0,10.0,ATL 44,3.0,21.0,Marcus Mariota pass incomplete short left intended for KhaDarel Hodge (defended by Jalen Ramsey),1.86,1.32,2.0,2022,25
2.0,0:02,,,,,,Timeout #2 by Los Angeles Rams,,,2.0,2022,25
2.0,0:02,2.0,10.0,ATL 44,3.0,21.0,Marcus Mariota scrambles left end for 4 yards (tackle by Terrell Lewis),1.32,1.16,2.0,2022,25
3.0,15:00,,,ATL 35,3.0,21.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,25
3.0,15:00,1.0,10.0,LAR 25,3.0,21.0,Matthew Stafford pass complete short right to Tyler Higbee for 15 yards (tackle by AJ Terrell and Rashaan Evans),0.61,1.6,2.0,2022,25
3.0,14:19,1.0,10.0,LAR 40,3.0,21.0,Cam Akers right tackle for 1 yard (tackle by AJ Terrell),1.6,1.19,2.0,2022,25
3.0,13:41,2.0,9.0,LAR 41,3.0,21.0,Matthew Stafford pass complete short left to Cooper Kupp for 19 yards (tackle by Rashaan Evans and Erik Harris),1.19,2.92,2.0,2022,25
3.0,12:55,1.0,10.0,ATL 40,3.0,21.0,Matthew Stafford pass complete short right to Cam Akers for 8 yards (tackle by Erik Harris),2.92,3.45,2.0,2022,25
3.0,12:13,2.0,2.0,ATL 32,3.0,21.0,Cam Akers up the middle for 1 yard (tackle by Erik Harris and Rashaan Evans),3.45,2.87,2.0,2022,25
3.0,11:28,3.0,1.0,ATL 31,3.0,21.0,Cam Akers up the middle for 3 yards (tackle by Jaylinn Hawkins),2.87,3.71,2.0,2022,25
3.0,10:44,1.0,10.0,ATL 28,3.0,21.0,Matthew Stafford pass complete short right to Cooper Kupp for 12 yards,3.71,4.51,2.0,2022,25
3.0,10:06,1.0,10.0,ATL 16,3.0,21.0,Cam Akers right guard for 6 yards (tackle by Arnold Ebiketie),4.51,4.97,2.0,2022,25
3.0,9:34,2.0,4.0,ATL 10,3.0,21.0,Matthew Stafford pass incomplete short left intended for Cam Akers,4.97,4.17,2.0,2022,25
3.0,9:28,3.0,4.0,ATL 10,3.0,27.0,"Matthew Stafford pass complete short right to Cooper Kupp for 10 yards, touchdown",4.17,7.0,2.0,2022,25
3.0,9:22,,,ATL 15,3.0,28.0,Matt Gay kicks extra point good,0.0,0.0,2.0,2022,25
3.0,9:22,,,LAR 35,3.0,28.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,25
3.0,9:22,1.0,10.0,ATL 25,3.0,28.0,Tyler Allgeier left tackle for 1 yard (tackle by Ernest Jones),0.61,0.2,2.0,2022,25
3.0,8:43,2.0,9.0,ATL 26,3.0,28.0,Marcus Mariota sacked by Cobie Durant for -7 yards,0.2,-1.51,2.0,2022,25
3.0,8:01,3.0,16.0,ATL 19,3.0,28.0,Marcus Mariota pass complete short right to Avery Williams for 6 yards (tackle by Jordan Fuller),-1.51,-1.7,2.0,2022,25
3.0,7:26,4.0,10.0,ATL 25,3.0,28.0,"Bradley Pinion punts 44 yards, returned by Brandon Powell for -1 yards (tackle by Mike Ford)",-1.7,-0.94,2.0,2022,25
3.0,7:14,1.0,10.0,LAR 30,3.0,28.0,Cam Akers up the middle for 3 yards (tackle by Abdullah Anderson),0.94,0.8,2.0,2022,25
3.0,6:33,2.0,7.0,LAR 33,3.0,28.0,Matthew Stafford pass short middle intended for Cooper Kupp is intercepted by Mykal Walker at LA-41 and returned for 21 yards (tackle by Coleman Shelton and Rob Havenstein),0.8,-4.24,2.0,2022,25
3.0,6:23,1.0,10.0,LAR 20,3.0,28.0,"Cordarrelle Patterson up the middle for no gain (tackle by Bobby Wagner and David Long). Penalty on Parker Hesse: Illegal Shift, 5 yards (accepted) (no play)",4.24,3.91,2.0,2022,25
3.0,5:55,1.0,15.0,LAR 25,3.0,28.0,Marcus Mariota pass complete short left to Drake London for 8 yards (tackle by Jalen Ramsey),3.91,4.12,2.0,2022,25
3.0,5:19,2.0,7.0,LAR 17,3.0,28.0,Marcus Mariota right end for 3 yards (tackle by Jalen Ramsey),4.12,3.89,2.0,2022,25
3.0,4:39,3.0,4.0,LAR 14,3.0,28.0,Cordarrelle Patterson right tackle for 5 yards (tackle by Jordan Fuller and Ernest Jones),3.89,5.14,2.0,2022,25
3.0,4:03,1.0,9.0,LAR 9,3.0,28.0,Tyler Allgeier up the middle for 5 yards (tackle by Jordan Fuller and Nick Scott),5.14,5.34,2.0,2022,25
3.0,3:24,2.0,4.0,LAR 4,9.0,28.0,"Marcus Mariota pass complete short left to Drake London for 4 yards, touchdown",5.34,7.0,2.0,2022,25
3.0,3:20,,,LAR 15,10.0,28.0,Younghoe Koo kicks extra point good,0.0,0.0,2.0,2022,25
3.0,3:20,,,ATL 35,10.0,28.0,"Bradley Pinion kicks off 59 yards, returned by Brandon Powell for 15 yards (tackle by Troy Andersen and Avery Williams)",0.0,0.34,2.0,2022,25
3.0,3:16,1.0,10.0,LAR 21,10.0,28.0,Matthew Stafford pass incomplete short left,0.34,-0.2,2.0,2022,25
3.0,3:10,2.0,10.0,LAR 21,10.0,28.0,"Matthew Stafford pass incomplete deep right intended for Cooper Kupp. Penalty on Alaric Jackson: Offensive Holding, 10 yards (declined)",-0.2,-0.89,2.0,2022,25
3.0,3:04,3.0,10.0,LAR 21,10.0,28.0,Matthew Stafford pass complete short right to Allen Robinson for 29 yards (tackle by Darren Hall),-0.89,2.26,2.0,2022,25
3.0,2:19,,,,,,Timeout #1 by Los Angeles Rams,,,2.0,2022,25
3.0,2:19,1.0,10.0,LAR 50,10.0,28.0,Matthew Stafford pass complete short right to Ben Skowronek for 8 yards (tackle by Darren Hall),2.26,2.79,2.0,2022,25
3.0,1:43,2.0,2.0,ATL 42,10.0,28.0,"Penalty on Rob Havenstein: False Start, 5 yards (accepted) (no play)",2.79,2.12,2.0,2022,25
3.0,1:16,2.0,7.0,ATL 47,10.0,28.0,Matthew Stafford pass complete short left to Cooper Kupp for 7 yards (tackle by Casey Hayward),2.12,2.92,2.0,2022,25
3.0,0:32,1.0,10.0,ATL 40,10.0,28.0,Darrell Henderson right tackle for 4 yards (tackle by DeAngelo Malone),2.92,2.91,2.0,2022,25
4.0,15:00,2.0,6.0,ATL 36,10.0,28.0,Darrell Henderson left end for 13 yards (tackle by Darren Hall and Richie Grant),2.91,4.04,2.0,2022,25
4.0,14:17,1.0,10.0,ATL 23,10.0,28.0,Matthew Stafford pass complete short right to Cooper Kupp for 4 yards (tackle by Richie Grant),4.04,4.05,2.0,2022,25
4.0,13:53,2.0,6.0,ATL 19,10.0,28.0,Matthew Stafford pass complete short right to Cooper Kupp for 12 yards (tackle by Mykal Walker and Ta'Quon Graham),4.05,5.6,2.0,2022,25
4.0,13:07,1.0,7.0,ATL 7,10.0,28.0,Darrell Henderson up the middle for 6 yards (tackle by Rashaan Evans and Richie Grant),5.6,5.91,2.0,2022,25
4.0,12:24,2.0,1.0,ATL 1,10.0,28.0,Matthew Stafford pass incomplete short left intended for Allen Robinson,5.91,5.17,2.0,2022,25
4.0,12:21,3.0,1.0,ATL 1,10.0,28.0,Matthew Stafford pass incomplete short right intended for Cooper Kupp (defended by AJ Terrell),5.17,3.55,2.0,2022,25
4.0,12:16,4.0,1.0,ATL 1,10.0,31.0,Matt Gay 20 yard field goal good,3.55,3.0,2.0,2022,25
4.0,12:13,,,LAR 35,10.0,31.0,"Matt Gay kicks off 64 yards, returned by Cordarrelle Patterson for 27 yards (tackle by Jake Hummel and Christian Rozeboom)",0.0,0.81,2.0,2022,25
4.0,12:06,1.0,10.0,ATL 28,10.0,31.0,Tyler Allgeier left tackle for 9 yards (tackle by Taylor Rapp and Ernest Jones),0.81,1.48,2.0,2022,25
4.0,11:37,2.0,1.0,ATL 37,10.0,31.0,Tyler Allgeier left tackle for 2 yards (tackle by Justin Hollins),1.48,1.53,2.0,2022,25
4.0,11:03,1.0,10.0,ATL 39,10.0,31.0,Marcus Mariota pass complete short right to Kyle Pitts for 6 yards (tackle by Jordan Fuller),1.53,1.8,2.0,2022,25
4.0,10:26,2.0,4.0,ATL 45,10.0,31.0,Marcus Mariota pass complete deep middle to Drake London for 22 yards (tackle by David Long),1.8,3.38,2.0,2022,25
4.0,9:46,1.0,10.0,LAR 33,10.0,31.0,Marcus Mariota pass incomplete deep right intended for Drake London,3.38,2.84,2.0,2022,25
4.0,9:37,2.0,10.0,LAR 33,10.0,31.0,Marcus Mariota pass complete short left to KhaDarel Hodge for 18 yards (tackle by Ernest Jones),2.84,4.58,2.0,2022,25
4.0,9:00,1.0,10.0,LAR 15,10.0,31.0,Cordarrelle Patterson left end for 4 yards (tackle by Ernest Jones and Taylor Rapp),4.58,4.64,2.0,2022,25
4.0,8:21,2.0,6.0,LAR 11,16.0,31.0,"Marcus Mariota pass complete short right to Olamide Zaccheaus for 11 yards, touchdown",4.64,7.0,2.0,2022,25
4.0,8:14,,,LAR 15,17.0,31.0,Younghoe Koo kicks extra point good,0.0,0.0,2.0,2022,25
4.0,8:14,,,ATL 35,17.0,31.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,25
4.0,8:14,1.0,10.0,LAR 25,17.0,31.0,Cam Akers up the middle for -1 yards (tackle by Abdullah Anderson),0.61,-0.07,2.0,2022,25
4.0,7:29,2.0,11.0,LAR 24,17.0,31.0,Matthew Stafford pass complete short left to Tyler Higbee for 7 yards (tackle by Adetokunbo Ogundeji and Mykal Walker),-0.07,0.17,2.0,2022,25
4.0,6:44,3.0,4.0,LAR 31,17.0,31.0,Matthew Stafford pass complete short right to Allen Robinson for 8 yards (tackle by Darren Hall),0.17,1.53,2.0,2022,25
4.0,6:00,1.0,10.0,LAR 39,17.0,31.0,Cam Akers right end for 5 yards (tackle by Lorenzo Carter and Arnold Ebiketie),1.53,1.66,2.0,2022,25
4.0,5:16,2.0,5.0,LAR 44,17.0,31.0,Cam Akers left end for -3 yards (tackle by Mike Ford and Richie Grant),1.66,0.56,2.0,2022,25
4.0,5:11,,,,,,Timeout #1 by Atlanta Falcons,,,2.0,2022,25
4.0,5:11,3.0,8.0,LAR 41,17.0,31.0,Matthew Stafford pass incomplete short right intended for Ben Skowronek,0.56,-0.65,2.0,2022,25
4.0,5:06,4.0,8.0,LAR 41,23.0,31.0,"Riley Dixon punts blocked by Troy Andersen, touchdown",-0.65,-7.0,2.0,2022,25
4.0,4:57,,,LAR 2,25.0,31.0,Two Point Attempt: Marcus Mariota pass complete to to Drake London for no gain,1.0,1.0,2.0,2022,25
4.0,4:57,,,ATL 35,25.0,31.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,25
4.0,4:57,1.0,10.0,LAR 25,25.0,31.0,Cam Akers right guard for 4 yards (tackle by Adetokunbo Ogundeji and Ta'Quon Graham),0.61,0.6,2.0,2022,25
4.0,4:12,2.0,6.0,LAR 29,25.0,31.0,Darrell Henderson up the middle for 2 yards (tackle by AJ Terrell),0.6,0.17,2.0,2022,25
4.0,3:32,3.0,4.0,LAR 31,25.0,31.0,"Matthew Stafford pass complete short middle to Cooper Kupp for 9 yards. Cooper Kupp fumbles (forced by Darren Hall), recovered by Darren Hall at LA-40 and returned for 3 yards (tackle by Cooper Kupp)",0.17,-3.12,2.0,2022,25
4.0,3:22,1.0,10.0,LAR 37,25.0,31.0,Marcus Mariota pass complete short left to Drake London for 7 yards (tackle by Taylor Rapp),3.12,3.52,2.0,2022,25
4.0,2:44,2.0,3.0,LAR 30,25.0,31.0,Marcus Mariota pass complete short left to Drake London for 9 yards (tackle by Ernest Jones),3.52,4.17,2.0,2022,25
4.0,2:38,1.0,10.0,LAR 21,25.0,31.0,Tyler Allgeier up the middle for 1 yard (tackle by Justin Hollins),4.17,3.76,2.0,2022,25
4.0,2:00,2.0,9.0,LAR 20,25.0,31.0,Marcus Mariota for -4 yards (tackle by Justin Hollins),3.76,2.54,2.0,2022,25
4.0,1:18,,,,,,Timeout #2 by Los Angeles Rams,,,2.0,2022,25
4.0,1:18,3.0,13.0,LAR 24,25.0,31.0,Marcus Mariota pass deep middle intended for Bryan Edwards is intercepted by Jalen Ramsey in end zone and returned for 25 yards (tackle by Drew Dalman),2.54,-0.48,2.0,2022,25
4.0,1:07,1.0,10.0,LAR 23,25.0,31.0,Darrell Henderson right tackle for 5 yards (tackle by Richie Grant),0.48,0.61,2.0,2022,25
4.0,1:03,,,,,,Timeout #2 by Atlanta Falcons,,,2.0,2022,25
4.0,1:03,2.0,5.0,LAR 28,25.0,31.0,Cam Akers left end for -3 yards (tackle by Lorenzo Carter),0.61,-0.49,2.0,2022,25
4.0,0:58,,,,,,Timeout #3 by Atlanta Falcons,,,2.0,2022,25
4.0,0:58,3.0,8.0,LAR 25,25.0,31.0,Darrell Henderson right tackle for 1 yard (tackle by Mykal Walker),-0.49,-1.63,2.0,2022,25
4.0,0:12,,,,,,Timeout #3 by Los Angeles Rams,,,2.0,2022,25
4.0,0:12,4.0,7.0,LAR 26,27.0,31.0,"Brandon Powell right end for -26 yards (tackle by DeAundre Alford), safety.",-1.63,-2.0,2.0,2022,25
4.0,0:06,,,LAR 20,27.0,31.0,"Riley Dixon kicks off 43 yards, out of bounds",0.0,2.26,2.0,2022,25
4.0,0:06,1.0,10.0,ATL 50,27.0,31.0,"Marcus Mariota sacked by Justin Hollins for -11 yards. Marcus Mariota fumbles (forced by Justin Hollins), recovered by Aaron Donald at ATL-39",2.26,0.0,2.0,2022,25
