Quarter,Time,Down,ToGo,Location,WAS,DET,Detail,EPB,EPA,week,year,game_id
1.0,4:11,3.0,3.0,WAS 3,0.0,3.0,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown,4.72,3.04,2.0,2022,21
1.0,4:07,4.0,3.0,WAS 3,0.0,3.0,Jared Goff pass incomplete short left intended for DJ Chark (defended by Kendall Fuller),3.04,0.38,2.0,2022,21
1.0,4:02,1.0,10.0,WAS 3,0.0,3.0,Antonio Gibson up the middle for 2 yards (tackle by Aidan Hutchinson and Tracy Walker),-0.38,-0.63,2.0,2022,21
1.0,3:22,2.0,8.0,WAS 5,0.0,5.0,Carson Wentz sacked by Charles Harris for -5 yards. Carson Wentz fumbles (forced by Charles Harris),-0.63,-2.0,2.0,2022,21
1.0,3:17,,,WAS 20,0.0,5.0,"Tress Way kicks off 63 yards, returned by Kalif Raymond for 52 yards (tackle by Jeremy Reaves)",0.0,3.51,2.0,2022,21
1.0,3:07,1.0,10.0,WAS 31,0.0,5.0,Jared Goff pass complete short middle to Craig Reynolds for 13 yards (tackle by Kendall Fuller),3.51,4.37,2.0,2022,21
1.0,2:25,1.0,10.0,WAS 18,0.0,5.0,Jared Goff pass incomplete short left intended for T.J. Hockenson,4.37,3.8,2.0,2022,21
1.0,2:22,2.0,10.0,WAS 18,0.0,5.0,Jamaal Williams up the middle for 5 yards (tackle by Darrick Forrest and Kendall Fuller),3.8,3.82,2.0,2022,21
1.0,1:45,3.0,5.0,WAS 13,0.0,11.0,"Jared Goff pass complete short right to Amon-Ra St. Brown for 13 yards, touchdown",3.82,7.0,2.0,2022,21
1.0,1:40,,,WAS 15,0.0,12.0,Austin Seibert kicks extra point good,0.0,0.0,2.0,2022,21
1.0,1:40,,,DET 35,0.0,12.0,"Austin Seibert kicks off 62 yards, returned by Dax Milne for 13 yards (tackle by Juju Hughes)",0.0,-0.14,2.0,2022,21
1.0,1:36,1.0,10.0,WAS 16,0.0,12.0,Antonio Gibson right tackle for 5 yards (tackle by Malcolm Rodriguez and Aidan Hutchinson),-0.14,0.15,2.0,2022,21
1.0,0:53,2.0,5.0,WAS 21,0.0,12.0,Antonio Gibson right end for -1 yards (tackle by Will Harris),0.15,-0.82,2.0,2022,21
1.0,0:15,3.0,6.0,WAS 20,0.0,12.0,Carson Wentz pass incomplete deep left intended for Terry McLaurin,-0.82,-2.03,2.0,2022,21
1.0,0:10,4.0,6.0,WAS 20,0.0,12.0,Tress Way punts 38 yards out of bounds,-2.03,-1.73,2.0,2022,21
1.0,0:01,1.0,10.0,DET 42,0.0,12.0,Jared Goff pass complete deep left to Josh Reynolds for 23 yards (tackle by Cole Holcomb),1.73,3.25,2.0,2022,21
2.0,15:00,1.0,10.0,WAS 35,0.0,12.0,Jared Goff pass incomplete deep left intended for DJ Chark (defended by Kendall Fuller),3.25,2.7,2.0,2022,21
2.0,14:52,2.0,10.0,WAS 35,0.0,12.0,Craig Reynolds up the middle for 3 yards (tackle by Jonathan Allen and Cole Holcomb),2.7,2.41,2.0,2022,21
2.0,14:08,3.0,7.0,WAS 32,0.0,12.0,"D'Andre Swift up the middle for 2 yards (tackle by Montez Sweat) Penalty on DET: Illegal Formation, 5 yards (declined)",2.41,1.45,2.0,2022,21
2.0,13:51,4.0,5.0,WAS 30,0.0,15.0,Austin Seibert 48 yard field goal good,1.45,3.0,2.0,2022,21
2.0,13:47,,,DET 35,0.0,15.0,"Austin Seibert kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,21
2.0,13:47,1.0,10.0,WAS 25,0.0,15.0,Carson Wentz pass incomplete short right intended for Antonio Gibson (defended by Alex Anzalone),0.61,0.06,2.0,2022,21
2.0,13:42,2.0,10.0,WAS 25,0.0,15.0,Carson Wentz sacked by Aidan Hutchinson for -6 yards,0.06,-1.51,2.0,2022,21
2.0,12:53,3.0,16.0,WAS 19,0.0,15.0,Carson Wentz pass complete short right to Logan Thomas for 13 yards (tackle by Tracy Walker and Mike Hughes),-1.51,-1.24,2.0,2022,21
2.0,12:18,4.0,3.0,WAS 32,0.0,15.0,"Tress Way punts 45 yards, fair catch by Kalif Raymond at DET-23",-1.24,-0.48,2.0,2022,21
2.0,12:10,1.0,10.0,DET 23,0.0,15.0,Jared Goff pass complete short right to D'Andre Swift for 9 yards (tackle by Efe Obada),0.48,1.15,2.0,2022,21
2.0,11:32,2.0,1.0,DET 32,0.0,15.0,Jamaal Williams up the middle for 12 yards (tackle by Darrick Forrest),1.15,1.86,2.0,2022,21
2.0,10:57,1.0,10.0,DET 44,0.0,15.0,Jared Goff pass complete short left to Jamaal Williams for 7 yards (tackle by Bobby McCain),1.86,2.26,2.0,2022,21
2.0,10:23,2.0,3.0,WAS 49,0.0,15.0,Craig Reynolds left tackle for 11 yards (tackle by Darrick Forrest),2.26,3.05,2.0,2022,21
2.0,9:37,1.0,10.0,WAS 38,0.0,15.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 11 yards (tackle by Darrick Forrest and Bobby McCain),3.05,3.78,2.0,2022,21
2.0,8:54,1.0,10.0,WAS 27,0.0,15.0,Jamaal Williams up the middle for 4 yards (tackle by Jonathan Allen and Cole Holcomb),3.78,3.77,2.0,2022,21
2.0,8:08,2.0,6.0,WAS 23,0.0,15.0,Jamaal Williams up the middle for 8 yards (tackle by Bobby McCain),3.77,4.58,2.0,2022,21
2.0,7:31,1.0,10.0,WAS 15,0.0,15.0,Jared Goff pass complete short middle to Josh Reynolds for 12 yards (tackle by Cole Holcomb),4.58,6.51,2.0,2022,21
2.0,6:47,1.0,3.0,WAS 3,0.0,21.0,"Jared Goff pass complete short middle to Josh Reynolds for 3 yards, touchdown",6.51,7.0,2.0,2022,21
2.0,6:43,,,WAS 15,0.0,22.0,Austin Seibert kicks extra point good,0.0,0.0,2.0,2022,21
2.0,6:43,,,DET 35,0.0,22.0,"Austin Seibert kicks off 65 yards, returned by Dax Milne for 27 yards (tackle by Chris Board and Kerby Joseph)",0.0,0.74,2.0,2022,21
2.0,6:37,1.0,10.0,WAS 27,0.0,22.0,Carson Wentz pass complete short right to Curtis Samuel for 4 yards (tackle by Mike Hughes and Will Harris),0.74,0.74,2.0,2022,21
2.0,5:55,2.0,6.0,WAS 31,0.0,22.0,Carson Wentz pass incomplete deep right intended for Logan Thomas,0.74,0.04,2.0,2022,21
2.0,5:51,3.0,6.0,WAS 31,0.0,22.0,Carson Wentz pass complete short right to Jahan Dotson for 9 yards (tackle by Julian Okwara),0.04,1.6,2.0,2022,21
2.0,5:12,1.0,10.0,WAS 40,0.0,22.0,Carson Wentz pass complete short left to Antonio Gibson for 2 yards (tackle by Jeff Okudah),1.6,1.32,2.0,2022,21
2.0,4:34,2.0,8.0,WAS 42,0.0,22.0,Carson Wentz pass incomplete deep left intended for Cam Sims,1.32,0.63,2.0,2022,21
2.0,4:22,3.0,8.0,WAS 42,0.0,22.0,"Penalty on WAS: Delay of Game, 5 yards (accepted) (no play)",0.63,-0.03,2.0,2022,21
2.0,4:22,3.0,13.0,WAS 37,0.0,22.0,Carson Wentz pass incomplete deep right intended for Terry McLaurin,-0.03,-0.91,2.0,2022,21
2.0,4:20,4.0,13.0,WAS 37,0.0,22.0,"Tress Way punts 45 yards, fair catch by Kalif Raymond at DET-18",-0.91,-0.04,2.0,2022,21
2.0,4:12,1.0,10.0,DET 18,0.0,22.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 4 yards (tackle by Darrick Forrest),0.04,0.14,2.0,2022,21
2.0,3:38,2.0,6.0,DET 22,0.0,22.0,Jamaal Williams left end for 2 yards (tackle by Montez Sweat and Cole Holcomb),0.14,-0.4,2.0,2022,21
2.0,2:56,3.0,4.0,DET 24,0.0,22.0,Jared Goff pass incomplete short right intended for DJ Chark (defended by Benjamin St-Juste),-0.4,-1.77,2.0,2022,21
2.0,2:51,4.0,4.0,DET 24,0.0,22.0,"Jack Fox punts 56 yards, fair catch by Dax Milne at WAS-20",-1.77,-0.28,2.0,2022,21
2.0,2:43,1.0,10.0,WAS 20,0.0,22.0,Carson Wentz pass complete short middle to J.D. McKissic for 4 yards (tackle by Malcolm Rodriguez),0.28,0.27,2.0,2022,21
2.0,2:19,2.0,6.0,WAS 24,0.0,22.0,J.D. McKissic left end for 4 yards (tackle by Isaiah Buggs),0.27,0.1,2.0,2022,21
2.0,2:00,3.0,2.0,WAS 28,0.0,22.0,Carson Wentz pass complete short right to J.D. McKissic for 2 yards (tackle by Mike Hughes),0.1,0.94,2.0,2022,21
2.0,1:33,1.0,10.0,WAS 30,0.0,22.0,Carson Wentz pass incomplete short left intended for Terry McLaurin,0.94,0.39,2.0,2022,21
2.0,1:29,2.0,10.0,WAS 30,0.0,22.0,Carson Wentz sacked by Aidan Hutchinson for -9 yards,0.39,-1.48,2.0,2022,21
2.0,0:46,3.0,19.0,WAS 21,0.0,22.0,Carson Wentz pass complete short middle to J.D. McKissic for 13 yards (tackle by Tracy Walker and DeShon Elliott),-1.48,-1.11,2.0,2022,21
2.0,0:39,,,,,,Timeout #2 by Detroit Lions,,,2.0,2022,21
2.0,0:39,4.0,6.0,WAS 34,0.0,22.0,"Tress Way punts 46 yards, fair catch by Kalif Raymond at DET-20. Penalty on Anthony Pittman: Running Into the Kicker, 5 yards (declined)",-1.11,-0.28,2.0,2022,21
2.0,0:32,1.0,10.0,DET 20,0.0,22.0,Jared Goff pass incomplete short left intended for D'Andre Swift,0.28,-0.27,2.0,2022,21
2.0,0:27,2.0,10.0,DET 20,0.0,22.0,Jared Goff pass incomplete short middle intended for T.J. Hockenson,-0.27,-0.96,2.0,2022,21
2.0,0:22,3.0,10.0,DET 20,0.0,22.0,Jared Goff pass incomplete deep right intended for DJ Chark,-0.96,-2.03,2.0,2022,21
2.0,0:15,4.0,10.0,DET 20,0.0,22.0,"Jack Fox punts 45 yards, returned by Dax Milne for 11 yards (tackle by Quintez Cephus)",-2.03,-1.99,2.0,2022,21
2.0,0:05,1.0,10.0,WAS 46,0.0,22.0,Carson Wentz pass incomplete short middle intended for Curtis Samuel,1.99,1.45,2.0,2022,21
3.0,15:00,,,DET 35,0.0,22.0,"Austin Seibert kicks off 62 yards, returned by Dax Milne for 33 yards (tackle by Juju Hughes)",0.0,1.33,2.0,2022,21
3.0,14:54,1.0,10.0,WAS 36,0.0,22.0,Antonio Gibson left tackle for 4 yards (tackle by Alex Anzalone and Malcolm Rodriguez),1.33,1.33,2.0,2022,21
3.0,14:28,2.0,6.0,WAS 40,0.0,22.0,Carson Wentz pass complete deep right to Jahan Dotson for 40 yards (tackle by Will Harris),1.33,4.24,2.0,2022,21
3.0,13:51,1.0,10.0,DET 20,0.0,22.0,Carson Wentz pass incomplete short right,4.24,3.69,2.0,2022,21
3.0,13:45,2.0,10.0,DET 20,0.0,22.0,Carson Wentz pass complete short left to Terry McLaurin for 5 yards (tackle by Jeff Okudah and Charles Harris),3.69,3.7,2.0,2022,21
3.0,13:03,3.0,5.0,DET 15,6.0,22.0,"Carson Wentz pass complete short left to Curtis Samuel for 15 yards, touchdown",3.7,7.0,2.0,2022,21
3.0,12:58,,,DET 15,7.0,22.0,Joey Slye kicks extra point good,0.0,0.0,2.0,2022,21
3.0,12:58,,,WAS 35,7.0,22.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,21
3.0,12:58,1.0,10.0,DET 25,7.0,22.0,Jamaal Williams left tackle for 4 yards (tackle by William Jackson),0.61,0.6,2.0,2022,21
3.0,12:28,2.0,6.0,DET 29,7.0,22.0,D'Andre Swift left tackle for no gain (tackle by Jamin Davis),0.6,-0.1,2.0,2022,21
3.0,11:55,3.0,6.0,DET 29,7.0,22.0,Jared Goff pass incomplete deep right intended for Amon-Ra St. Brown,-0.1,-1.44,2.0,2022,21
3.0,11:49,4.0,6.0,DET 29,7.0,22.0,"Jack Fox punts 63 yards, returned by Dax Milne for 19 yards (tackle by Quintez Cephus and Josh Woods)",-1.44,-0.74,2.0,2022,21
3.0,11:36,1.0,10.0,WAS 27,7.0,22.0,Carson Wentz pass complete deep right to Terry McLaurin for 18 yards (tackle by Mike Hughes),0.74,1.93,2.0,2022,21
3.0,11:01,1.0,10.0,WAS 45,7.0,22.0,Antonio Gibson right end for 8 yards (tackle by Alim McNeill and Will Harris),1.93,2.46,2.0,2022,21
3.0,10:15,2.0,2.0,DET 47,7.0,22.0,Carson Wentz pass deep middle intended for Logan Thomas is intercepted by Will Harris at DET-20 and returned for no gain (tackle by Logan Thomas),2.46,-0.28,2.0,2022,21
3.0,10:06,1.0,10.0,DET 20,7.0,22.0,Jared Goff pass complete short right to T.J. Hockenson for 1 yard (tackle by Darrick Forrest),0.28,-0.13,2.0,2022,21
3.0,9:34,2.0,9.0,DET 21,7.0,22.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 11 yards (tackle by Darrick Forrest),-0.13,1.07,2.0,2022,21
3.0,9:04,1.0,10.0,DET 32,7.0,22.0,Craig Reynolds right tackle for 2 yards (tackle by Daron Payne and Jonathan Allen),1.07,0.8,2.0,2022,21
3.0,8:23,2.0,8.0,DET 34,7.0,22.0,Jared Goff pass incomplete short left intended for D'Andre Swift,0.8,0.1,2.0,2022,21
3.0,8:16,3.0,8.0,DET 34,7.0,22.0,Jared Goff pass complete short middle to T.J. Hockenson for 7 yards (tackle by Darrick Forrest and Benjamin St-Juste),0.1,-0.65,2.0,2022,21
3.0,7:28,4.0,1.0,DET 41,7.0,22.0,"Jack Fox punts 53 yards, fair catch by Dax Milne at WAS-6",-0.65,0.38,2.0,2022,21
3.0,7:18,1.0,10.0,WAS 6,7.0,22.0,Antonio Gibson up the middle for 1 yard (tackle by Michael Brockers),-0.38,-0.71,2.0,2022,21
3.0,6:42,2.0,9.0,WAS 7,7.0,22.0,Carson Wentz pass complete short right to Jahan Dotson for 9 yards (tackle by Jeff Okudah),-0.71,-0.14,2.0,2022,21
3.0,5:58,1.0,10.0,WAS 16,7.0,22.0,Carson Wentz pass complete deep right to Terry McLaurin for 35 yards (tackle by Mike Hughes),-0.14,2.32,2.0,2022,21
3.0,5:13,1.0,10.0,DET 49,7.0,22.0,Antonio Gibson right end for 1 yard (tackle by Malcolm Rodriguez and Benito Jones),2.32,1.92,2.0,2022,21
3.0,4:30,2.0,9.0,DET 48,7.0,22.0,Carson Wentz pass complete deep right to Curtis Samuel for 27 yards (tackle by DeShon Elliott),1.92,4.17,2.0,2022,21
3.0,3:47,1.0,10.0,DET 21,7.0,22.0,J.D. McKissic left end for 1 yard (tackle by Julian Okwara and Malcolm Rodriguez),4.17,3.76,2.0,2022,21
3.0,3:04,2.0,9.0,DET 20,13.0,22.0,"Carson Wentz pass complete deep middle to Logan Thomas for 20 yards, touchdown",3.76,7.0,2.0,2022,21
3.0,2:58,,,DET 2,15.0,22.0,Two Point Attempt: Carson Wentz pass complete to to Jahan Dotson for no gain,1.0,1.0,2.0,2022,21
3.0,2:58,,,WAS 35,15.0,22.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,21
3.0,2:58,1.0,10.0,DET 25,15.0,22.0,Amon-Ra St. Brown right end for 58 yards (tackle by Benjamin St-Juste),0.61,4.44,2.0,2022,21
3.0,2:19,1.0,10.0,WAS 17,15.0,22.0,Jared Goff sacked by Daron Payne for -5 yards,4.44,3.22,2.0,2022,21
3.0,1:43,2.0,15.0,WAS 22,15.0,22.0,Jared Goff pass incomplete short middle intended for T.J. Hockenson,3.22,2.54,2.0,2022,21
3.0,1:38,3.0,15.0,WAS 22,15.0,28.0,"Jared Goff pass complete short right to D'Andre Swift for 22 yards, touchdown",2.54,7.0,2.0,2022,21
3.0,1:28,,,WAS 15,15.0,29.0,Austin Seibert kicks extra point good,0.0,0.0,2.0,2022,21
3.0,1:28,,,DET 35,15.0,29.0,"Austin Seibert kicks off 62 yards, returned by Dax Milne for 14 yards (tackle by Derrick Barnes and Anthony Pittman)",0.0,-0.06,2.0,2022,21
3.0,1:23,1.0,10.0,WAS 17,15.0,29.0,Carson Wentz pass incomplete short middle intended for Terry McLaurin,-0.06,-0.58,2.0,2022,21
3.0,1:15,2.0,10.0,WAS 17,15.0,29.0,Carson Wentz pass complete short right to Curtis Samuel for 8 yards (tackle by Will Harris and Alex Anzalone),-0.58,-0.24,2.0,2022,21
3.0,0:34,3.0,2.0,WAS 25,15.0,29.0,Antonio Gibson up the middle for 1 yard (tackle by Malcolm Rodriguez and Isaiah Buggs),-0.24,-1.63,2.0,2022,21
4.0,15:00,4.0,1.0,WAS 26,15.0,29.0,Terry McLaurin left end for 7 yards (tackle by DeShon Elliott),-1.63,1.14,2.0,2022,21
4.0,14:19,1.0,10.0,WAS 33,15.0,29.0,Carson Wentz pass complete short left to John Bates for 9 yards (tackle by DeShon Elliott),1.14,1.81,2.0,2022,21
4.0,13:48,2.0,1.0,WAS 42,15.0,29.0,Antonio Gibson left end for -2 yards (tackle by Malcolm Rodriguez and Isaiah Buggs),1.81,0.83,2.0,2022,21
4.0,13:06,3.0,3.0,WAS 40,15.0,29.0,Carson Wentz pass complete short left to Terry McLaurin for 17 yards (tackle by Jeff Okudah),0.83,2.72,2.0,2022,21
4.0,12:33,1.0,10.0,DET 43,15.0,29.0,Curtis Samuel left end for 21 yards (tackle by DeShon Elliott),2.72,4.11,2.0,2022,21
4.0,11:52,1.0,10.0,DET 22,15.0,29.0,Carson Wentz pass complete short left to J.D. McKissic for 10 yards (tackle by Will Harris),4.11,4.78,2.0,2022,21
4.0,11:16,1.0,10.0,DET 12,15.0,29.0,Carson Wentz pass incomplete short left intended for Antonio Gibson,4.78,4.1,2.0,2022,21
4.0,11:09,2.0,10.0,DET 12,15.0,29.0,Carson Wentz pass complete short left to Antonio Gibson for 11 yards (tackle by DeShon Elliott and Tracy Walker),4.1,6.97,2.0,2022,21
4.0,10:44,1.0,1.0,DET 1,21.0,29.0,"Antonio Gibson left tackle for 1 yard, touchdown",6.97,7.0,2.0,2022,21
4.0,10:39,,,DET 2,21.0,29.0,Two Point Attempt: Carson Wentz pass incomplete intended for,1.0,-1.0,2.0,2022,21
4.0,10:39,,,WAS 35,21.0,29.0,"Joey Slye kicks off 68 yards, returned by Justin Jackson for 33 yards (tackle by Jeremy Reaves and Joey Slye)",0.0,0.94,2.0,2022,21
4.0,10:33,1.0,10.0,DET 30,21.0,29.0,Jamaal Williams right tackle for 8 yards (tackle by Daron Payne and Bobby McCain),0.94,1.47,2.0,2022,21
4.0,9:57,2.0,2.0,DET 38,21.0,29.0,Jared Goff pass complete deep middle to T.J. Hockenson for 18 yards (tackle by William Jackson),1.47,2.65,2.0,2022,21
4.0,9:16,1.0,10.0,WAS 44,21.0,29.0,D'Andre Swift left end for no gain (tackle by Cole Holcomb),2.65,2.11,2.0,2022,21
4.0,8:36,2.0,10.0,WAS 44,21.0,29.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 8 yards (tackle by Kendall Fuller),2.11,2.48,2.0,2022,21
4.0,7:52,3.0,2.0,WAS 36,21.0,29.0,Jared Goff pass complete short right to Brock Wright for 25 yards (tackle by Bobby McCain and Cole Holcomb),2.48,4.84,2.0,2022,21
4.0,7:05,1.0,10.0,WAS 11,21.0,35.0,"Jared Goff pass complete short left to Amon-Ra St. Brown for 11 yards, touchdown",4.84,7.0,2.0,2022,21
4.0,7:00,,,WAS 15,21.0,36.0,Austin Seibert kicks extra point good,0.0,0.0,2.0,2022,21
4.0,7:00,,,DET 35,21.0,36.0,"Austin Seibert kicks off 63 yards, returned by Dax Milne for 22 yards (tackle by Josh Woods)",0.0,0.54,2.0,2022,21
4.0,6:54,1.0,10.0,WAS 24,21.0,36.0,Carson Wentz pass incomplete short right intended for Curtis Samuel,0.54,0.0,2.0,2022,21
4.0,6:49,2.0,10.0,WAS 24,21.0,36.0,Carson Wentz pass complete short middle to J.D. McKissic for 9 yards (tackle by Mike Hughes),0.0,0.5,2.0,2022,21
4.0,6:24,3.0,1.0,WAS 33,21.0,36.0,J.D. McKissic up the middle for 4 yards (tackle by Alex Anzalone and Mike Hughes),0.5,1.4,2.0,2022,21
4.0,6:04,1.0,10.0,WAS 37,21.0,36.0,Carson Wentz pass complete short right to Curtis Samuel for 9 yards (tackle by Malcolm Rodriguez),1.4,2.07,2.0,2022,21
4.0,5:31,2.0,1.0,WAS 46,21.0,36.0,Carson Wentz pass complete short left to Curtis Samuel for 7 yards (tackle by Alex Anzalone),2.07,2.46,2.0,2022,21
4.0,5:10,1.0,10.0,DET 47,21.0,36.0,Carson Wentz scrambles for 18 yards (tackle by Will Harris),2.46,3.64,2.0,2022,21
4.0,4:39,1.0,10.0,DET 29,21.0,36.0,Carson Wentz pass complete short middle to J.D. McKissic for 4 yards (tackle by Chris Board),3.64,3.64,2.0,2022,21
4.0,4:17,2.0,6.0,DET 25,21.0,36.0,Carson Wentz pass complete short left to J.D. McKissic for 12 yards (tackle by Chris Board),3.64,4.71,2.0,2022,21
4.0,3:53,1.0,10.0,DET 13,21.0,36.0,Carson Wentz pass incomplete short left intended for Cam Sims,4.71,4.05,2.0,2022,21
4.0,3:45,2.0,10.0,DET 13,21.0,36.0,Carson Wentz pass complete short right to Dax Milne for 6 yards (tackle by Alex Anzalone),4.05,4.33,2.0,2022,21
4.0,3:08,3.0,4.0,DET 7,21.0,36.0,Carson Wentz scrambles up the middle for 5 yards (tackle by Tracy Walker),4.33,6.74,2.0,2022,21
4.0,2:35,1.0,2.0,DET 2,21.0,36.0,Antonio Gibson up the middle for 1 yard (tackle by Isaiah Buggs),6.74,5.91,2.0,2022,21
4.0,2:08,2.0,1.0,DET 1,21.0,36.0,Antonio Gibson left tackle for no gain (tackle by Alim McNeill and John Cominsky),5.91,5.17,2.0,2022,21
4.0,2:00,3.0,1.0,DET 1,27.0,36.0,"Carson Wentz pass complete short middle to Jahan Dotson for 1 yard, touchdown",5.17,7.0,2.0,2022,21
4.0,1:56,,,DET 15,27.0,36.0,Joey Slye kicks extra point no good,0.0,-1.0,2.0,2022,21
4.0,1:56,,,WAS 35,27.0,36.0,"Joey Slye kicks onside 5 yards, returned by DeShon Elliott for no gain",0.0,2.92,2.0,2022,21
4.0,1:52,1.0,10.0,WAS 40,27.0,36.0,Jamaal Williams up the middle for 2 yards (tackle by Donovan Jeter),2.92,2.64,2.0,2022,21
4.0,1:50,,,,,,Timeout #1 by Washington Commanders,,,2.0,2022,21
4.0,1:50,2.0,8.0,WAS 38,27.0,36.0,Jared Goff sacked by James Smith-Williams for -5 yards,2.64,1.29,2.0,2022,21
4.0,1:44,,,,,,Timeout #2 by Washington Commanders,,,2.0,2022,21
4.0,1:44,3.0,13.0,WAS 43,27.0,36.0,Amon-Ra St. Brown left end for 10 yards (tackle by Kendall Fuller),1.29,1.19,2.0,2022,21
4.0,1:38,,,,,,Timeout #3 by Washington Commanders,,,2.0,2022,21
4.0,1:38,4.0,3.0,WAS 33,27.0,36.0,Jared Goff pass incomplete short middle intended for Amon-Ra St. Brown (defended by Kendall Fuller),1.19,-1.14,2.0,2022,21
4.0,1:35,1.0,10.0,WAS 33,27.0,36.0,Carson Wentz pass incomplete short middle intended for John Bates,1.14,0.59,2.0,2022,21
4.0,1:30,2.0,10.0,WAS 33,27.0,36.0,Carson Wentz pass complete short left to John Bates for 6 yards (tackle by Mike Hughes),0.59,0.7,2.0,2022,21
