Quarter,Time,Down,ToGo,Location,CAR,NYG,Detail,EPB,EPA,week,year,game_id
2.0,6:13,4.0,1.0,CAR 48,3.0,6.0,"Penalty on Ikem Ekwonu: False Start, 5 yards (accepted) (no play)",-0.19,-0.52,2.0,2022,18
2.0,6:13,4.0,6.0,CAR 43,3.0,6.0,"Johnny Hekker punts 46 yards, fair catch by Richie James at NYG-11",-0.52,0.37,2.0,2022,18
2.0,6:04,1.0,10.0,NYG 11,3.0,6.0,Saquon Barkley left guard for 4 yards (tackle by Frankie Luvu and Shaq Thompson),-0.37,-0.43,2.0,2022,18
2.0,5:38,2.0,6.0,NYG 15,3.0,6.0,Daniel Jones pass incomplete short right intended for Saquon Barkley,-0.43,-0.95,2.0,2022,18
2.0,5:35,3.0,6.0,NYG 15,3.0,6.0,"Daniel Jones pass incomplete short right intended for Richie James. Penalty on Joshua Ezeudu: Ineligible Downfield Pass, 5 yards (declined)",-0.95,-2.44,2.0,2022,18
2.0,5:28,4.0,6.0,NYG 15,3.0,6.0,"Jamie Gillan punts 47 yards, returned by Shi Smith for 9 yards (tackle by Chris Myarick). Penalty on Matt Breida: Player Out of Bounds on a Punt, 5 yards (accepted)",-2.44,-2.39,2.0,2022,18
2.0,5:19,1.0,10.0,NYG 48,3.0,6.0,Baker Mayfield pass complete short right to Stephen Sullivan for 13 yards (tackle by Austin Calitro),2.39,3.25,2.0,2022,18
2.0,4:38,1.0,10.0,NYG 35,3.0,6.0,Christian McCaffrey up the middle for 6 yards (tackle by D.J. Davidson and Nick Williams),3.25,3.51,2.0,2022,18
2.0,4:01,2.0,4.0,NYG 29,3.0,6.0,Christian McCaffrey up the middle for 4 yards (tackle by Leonard Williams),3.51,3.91,2.0,2022,18
2.0,3:17,1.0,10.0,NYG 25,3.0,6.0,Christian McCaffrey left end for -2 yards (tackle by Jihad Ward),3.91,3.09,2.0,2022,18
2.0,2:35,2.0,12.0,NYG 27,3.0,6.0,Baker Mayfield pass complete short right to Robbie Anderson for 9 yards (tackle by Julian Love),3.09,3.66,2.0,2022,18
2.0,2:00,3.0,3.0,NYG 18,3.0,6.0,Baker Mayfield right tackle for 6 yards (tackle by Dane Belton),3.66,4.78,2.0,2022,18
2.0,1:23,1.0,10.0,NYG 12,3.0,6.0,Baker Mayfield sacked by Oshane Ximines for -7 yards,4.78,3.22,2.0,2022,18
2.0,1:14,,,,,,Timeout #1 by New York Giants,,,2.0,2022,18
2.0,1:14,2.0,17.0,NYG 19,3.0,6.0,Baker Mayfield scrambles right tackle for 5 yards (tackle by Julian Love),3.22,3.06,2.0,2022,18
2.0,1:05,3.0,12.0,NYG 14,3.0,6.0,Baker Mayfield pass incomplete short left intended for Shi Smith,3.06,2.51,2.0,2022,18
2.0,0:59,4.0,12.0,NYG 14,6.0,6.0,Eddy Pineiro 32 yard field goal good,2.51,3.0,2.0,2022,18
2.0,0:56,,,CAR 35,6.0,6.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,18
2.0,0:56,1.0,10.0,NYG 25,6.0,6.0,Daniel Jones pass complete short middle to Richie James for 9 yards (tackle by Brian Burns),0.61,1.28,2.0,2022,18
2.0,0:30,2.0,1.0,NYG 34,6.0,6.0,Daniel Jones pass incomplete short right intended for Sterling Shepard (defended by Frankie Luvu),1.28,0.56,2.0,2022,18
2.0,0:26,3.0,1.0,NYG 34,6.0,6.0,Daniel Jones pass complete short middle to David Sills for no gain (tackle by Frankie Luvu and Xavier Woods),0.56,-1.11,2.0,2022,18
3.0,15:00,,,CAR 35,6.0,6.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,18
3.0,15:00,1.0,10.0,NYG 25,6.0,6.0,Saquon Barkley right guard for 1 yard (tackle by Derrick Brown and Yetur Gross-Matos),0.61,0.2,2.0,2022,18
3.0,14:26,2.0,9.0,NYG 26,6.0,6.0,Daniel Jones sacked by Brian Burns for -2 yards,0.2,-0.76,2.0,2022,18
3.0,13:38,3.0,11.0,NYG 24,6.0,6.0,Daniel Jones pass incomplete short right intended for Tanner Hudson,-0.76,-1.77,2.0,2022,18
3.0,13:35,4.0,11.0,NYG 24,6.0,6.0,Jamie Gillan punts 43 yards out of bounds,-1.77,-1.14,2.0,2022,18
3.0,13:27,1.0,10.0,CAR 33,6.0,6.0,Baker Mayfield pass complete deep left to D.J. Moore for 29 yards (tackle by Cordale Flott),1.14,3.05,2.0,2022,18
3.0,12:59,1.0,10.0,NYG 38,6.0,6.0,"Baker Mayfield scrambles right tackle for 17 yards (tackle by Dane Belton). Penalty on Julian Love: Illegal Contact, 5 yards (accepted)",3.05,4.51,2.0,2022,18
3.0,12:33,1.0,10.0,NYG 16,12.0,6.0,"Baker Mayfield pass complete deep right to D.J. Moore for 16 yards, touchdown",4.51,7.0,2.0,2022,18
3.0,12:27,,,NYG 15,13.0,6.0,Eddy Pineiro kicks extra point good,0.0,0.0,2.0,2022,18
3.0,12:27,,,CAR 35,13.0,6.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,18
3.0,12:27,1.0,10.0,NYG 25,13.0,6.0,Daniel Jones pass incomplete short right,0.61,0.06,2.0,2022,18
3.0,12:20,2.0,10.0,NYG 25,13.0,6.0,Saquon Barkley left tackle for 1 yard (tackle by Shaq Thompson and Xavier Woods),0.06,-0.49,2.0,2022,18
3.0,11:42,3.0,9.0,NYG 26,13.0,6.0,Daniel Jones pass complete short middle to Richie James for 15 yards (tackle by Jeremy Chinn),-0.49,1.66,2.0,2022,18
3.0,11:15,1.0,10.0,NYG 41,13.0,6.0,Saquon Barkley right end for 16 yards (tackle by Jaycee Horn),1.66,2.72,2.0,2022,18
3.0,10:47,1.0,10.0,CAR 43,13.0,6.0,Daniel Jones pass complete short middle to Richie James for 12 yards (tackle by Myles Hartsfield and Marquis Haynes),2.72,3.51,2.0,2022,18
3.0,10:15,1.0,10.0,CAR 31,13.0,6.0,Daniel Jones pass complete short left to Tanner Hudson for 15 yards (tackle by Xavier Woods),3.51,4.51,2.0,2022,18
3.0,9:35,1.0,10.0,CAR 16,13.0,6.0,Daniel Jones pass incomplete short right intended for Sterling Shepard,4.51,3.9,2.0,2022,18
3.0,9:27,2.0,10.0,CAR 16,13.0,12.0,"Daniel Jones pass complete short left to Daniel Bellinger for 16 yards, touchdown",3.9,7.0,2.0,2022,18
3.0,9:19,,,CAR 15,13.0,13.0,Graham Gano kicks extra point good,0.0,0.0,2.0,2022,18
3.0,9:19,,,NYG 35,13.0,13.0,"Graham Gano kicks off 62 yards, returned by Chuba Hubbard for 36 yards (tackle by Julian Love and Gary Brightwell)",0.0,1.53,2.0,2022,18
3.0,9:09,1.0,10.0,CAR 39,13.0,13.0,Christian McCaffrey left end for 3 yards (tackle by Adoree' Jackson),1.53,1.39,2.0,2022,18
3.0,8:37,2.0,7.0,CAR 42,13.0,13.0,Christian McCaffrey right guard for 8 yards (tackle by Dane Belton),1.39,2.26,2.0,2022,18
3.0,8:14,1.0,10.0,CAR 50,13.0,13.0,Baker Mayfield pass incomplete deep middle intended for Shi Smith (defended by Darnay Holmes),2.26,1.71,2.0,2022,18
3.0,8:09,2.0,10.0,CAR 50,13.0,13.0,Baker Mayfield scrambles left end for 2 yards (tackle by Xavier McKinney),1.71,1.29,2.0,2022,18
3.0,7:27,3.0,8.0,NYG 48,13.0,13.0,Baker Mayfield pass complete short right to Shi Smith for 2 yards (tackle by Oshane Ximines),1.29,0.2,2.0,2022,18
3.0,6:46,4.0,6.0,NYG 46,13.0,13.0,"Johnny Hekker punts 31 yards, fair catch by Richie James at NYG-15",0.2,0.22,2.0,2022,18
3.0,6:39,1.0,10.0,NYG 15,13.0,13.0,Daniel Jones pass complete short left to Sterling Shepard for 9 yards (tackle by Xavier Woods),-0.22,0.62,2.0,2022,18
3.0,6:08,2.0,1.0,NYG 24,13.0,13.0,Daniel Jones scrambles up the middle for 5 yards (tackle by Shaq Thompson),0.62,0.87,2.0,2022,18
3.0,5:37,1.0,10.0,NYG 29,13.0,13.0,Daniel Jones scrambles right end for 2 yards (tackle by Frankie Luvu),0.87,0.6,2.0,2022,18
3.0,5:07,2.0,8.0,NYG 31,13.0,13.0,Daniel Jones pass incomplete short right intended for David Sills,0.6,-0.1,2.0,2022,18
3.0,5:07,3.0,8.0,NYG 31,13.0,13.0,"Penalty on Joshua Ezeudu: False Start, 5 yards (accepted) (no play)",-0.1,-0.76,2.0,2022,18
3.0,5:03,3.0,13.0,NYG 26,13.0,13.0,Daniel Jones pass incomplete short right intended for Sterling Shepard,-0.76,-1.63,2.0,2022,18
