Quarter,Time,Down,ToGo,Location,TEN,BUF,Detail,EPB,EPA,week,year,game_id
1.0,9:16,1.0,10.0,TEN 11,0.0,6.0,"Josh Allen pass complete short left to Reggie Gilliam for 11 yards, touchdown",4.84,7.0,2.0,2022,31
1.0,9:07,,,TEN 15,0.0,7.0,Tyler Bass kicks extra point good,0.0,0.0,2.0,2022,31
1.0,9:07,,,BUF 35,0.0,7.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,31
1.0,9:07,1.0,10.0,TEN 25,0.0,7.0,Ryan Tannehill pass complete short middle to Treylon Burks for 14 yards (tackle by Dane Jackson and Jordan Poyer),0.61,1.53,2.0,2022,31
1.0,8:43,1.0,10.0,TEN 39,0.0,7.0,Derrick Henry up the middle for 2 yards (tackle by Gregory Rousseau and Jordan Phillips),1.53,1.26,2.0,2022,31
1.0,7:59,2.0,8.0,TEN 41,0.0,7.0,"Ryan Tannehill pass complete short left to Treylon Burks for 5 yards (tackle by Christian Benford). Penalty on Christian Benford: Illegal Use of Hands / Defense, 5 yards (declined) . Penalty on Gregory Rousseau: Roughing the Passer, 15 yards (accepted)",1.26,2.98,2.0,2022,31
1.0,7:44,1.0,10.0,BUF 39,0.0,7.0,Derrick Henry left guard for 9 yards (tackle by Jordan Poyer and Dane Jackson),2.98,3.66,2.0,2022,31
1.0,7:02,2.0,1.0,BUF 30,0.0,7.0,Ryan Tannehill pass complete deep right to Austin Hooper for 19 yards,3.66,4.84,2.0,2022,31
1.0,6:36,1.0,10.0,BUF 11,0.0,7.0,Ryan Tannehill pass incomplete short right intended for Austin Hooper (defended by Jordan Poyer),4.84,4.14,2.0,2022,31
1.0,6:32,2.0,10.0,BUF 11,0.0,7.0,Derrick Henry left tackle for -4 yards (tackle by Christian Benford),4.14,2.97,2.0,2022,31
1.0,5:47,3.0,14.0,BUF 15,0.0,7.0,"Ryan Tannehill pass complete short right to Nick Westbrook-Ikhine for 13 yards (tackle by Christian Benford) BUF challenged the pass completion ruling, and the play was upheld.",2.97,3.25,2.0,2022,31
1.0,5:27,4.0,1.0,BUF 2,6.0,7.0,"Derrick Henry up the middle for 2 yards, touchdown",3.25,7.0,2.0,2022,31
1.0,5:23,,,BUF 15,7.0,7.0,Randy Bullock kicks extra point good,0.0,0.0,2.0,2022,31
1.0,5:23,,,TEN 35,7.0,7.0,"Randy Bullock kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,31
1.0,5:23,1.0,10.0,BUF 25,7.0,7.0,Josh Allen pass complete deep left to Stefon Diggs for 16 yards (tackle by Caleb Farley),0.61,1.66,2.0,2022,31
1.0,4:45,1.0,10.0,BUF 41,7.0,7.0,James Cook left end for no gain (tackle by Zach Cunningham and Caleb Farley),1.66,1.12,2.0,2022,31
1.0,4:08,2.0,10.0,BUF 41,7.0,7.0,Josh Allen pass complete short right to Reggie Gilliam for 6 yards (tackle by Roger McCreary),1.12,1.22,2.0,2022,31
1.0,3:24,3.0,4.0,BUF 47,7.0,7.0,"Josh Allen pass incomplete short right intended for Stefon Diggs. Penalty on Tre Avery: Defensive Pass Interference, 13 yards (accepted) (no play)",1.22,2.92,2.0,2022,31
1.0,3:18,1.0,10.0,TEN 40,7.0,7.0,Zack Moss right end for no gain (tackle by Roger McCreary),2.92,2.37,2.0,2022,31
1.0,2:40,2.0,10.0,TEN 40,7.0,7.0,Josh Allen pass complete short right to Stefon Diggs for 9 yards (tackle by Tre Avery),2.37,2.87,2.0,2022,31
1.0,2:10,3.0,1.0,TEN 31,7.0,7.0,Zack Moss up the middle for no gain (tackle by Zach Cunningham),2.87,1.41,2.0,2022,31
1.0,1:25,4.0,1.0,TEN 31,7.0,7.0,Josh Allen pass incomplete short right intended for Zack Moss (defended by Zach Cunningham),1.41,-1.0,2.0,2022,31
1.0,1:18,1.0,10.0,TEN 31,7.0,7.0,Derrick Henry left guard for 4 yards (tackle by Taron Johnson),1.0,1.0,2.0,2022,31
1.0,0:41,2.0,6.0,TEN 35,7.0,7.0,Ryan Tannehill pass incomplete short left intended for Treylon Burks (defended by Dane Jackson),1.0,0.3,2.0,2022,31
1.0,0:36,3.0,6.0,TEN 35,7.0,7.0,"Penalty on Jordan Phillips: Encroachment, 5 yards (accepted) (no play)",0.3,0.96,2.0,2022,31
1.0,0:36,3.0,1.0,TEN 40,7.0,7.0,Ryan Tannehill up the middle for 2 yards (tackle by DaQuan Jones),0.96,1.73,2.0,2022,31
2.0,15:00,1.0,10.0,TEN 42,7.0,7.0,Ryan Tannehill sacked by Tremaine Edmunds for -8 yards,1.73,0.11,2.0,2022,31
2.0,14:18,2.0,18.0,TEN 34,7.0,7.0,Hassan Haskins left tackle for 4 yards (tackle by A.J. Epenesa),0.11,-0.03,2.0,2022,31
2.0,13:34,3.0,14.0,TEN 38,7.0,7.0,Ryan Tannehill pass complete short middle to Treylon Burks for 16 yards (tackle by Jordan Poyer),-0.03,2.52,2.0,2022,31
2.0,12:57,1.0,10.0,BUF 46,7.0,7.0,Derrick Henry left tackle for -1 yards (tackle by Tremaine Edmunds),2.52,1.84,2.0,2022,31
2.0,12:15,2.0,11.0,BUF 47,7.0,7.0,"Ryan Tannehill pass complete short left to Robert Woods for no gain. Penalty on Ben Jones: Face Mask (15 Yards), 15 yards (accepted) (no play)",1.84,-0.18,2.0,2022,31
2.0,11:45,2.0,26.0,TEN 38,7.0,7.0,Ryan Tannehill pass complete short right to Robert Woods for 4 yards (tackle by Taron Johnson),-0.18,-0.29,2.0,2022,31
2.0,11:04,3.0,22.0,TEN 42,7.0,7.0,Ryan Tannehill pass complete short left to Kyle Philips for 5 yards (tackle by Matt Milano),-0.29,-0.26,2.0,2022,31
2.0,10:23,4.0,17.0,TEN 47,7.0,7.0,"Penalty on Lonnie Johnson: False Start, 5 yards (accepted) (no play)",-0.26,-0.59,2.0,2022,31
2.0,10:05,4.0,22.0,TEN 42,7.0,7.0,"Ryan Stonehouse punts 50 yards, returned by Jamison Crowder for 10 yards (tackle by Dylan Cole)",-0.59,-0.04,2.0,2022,31
2.0,9:54,1.0,10.0,BUF 18,7.0,7.0,Josh Allen pass complete deep middle to Isaiah McKenzie for 28 yards (tackle by Kevin Byard),0.04,1.99,2.0,2022,31
2.0,9:27,1.0,10.0,BUF 46,7.0,7.0,Josh Allen pass complete short right to Dawson Knox for 9 yards (tackle by Kevin Byard),1.99,2.67,2.0,2022,31
2.0,9:02,2.0,1.0,TEN 45,7.0,7.0,"Penalty on Teair Tart: Encroachment, 5 yards (accepted) (no play)",2.67,2.92,2.0,2022,31
2.0,8:41,1.0,10.0,TEN 40,7.0,7.0,"Josh Allen pass incomplete deep right intended for Dawson Knox. Penalty on David Long: Illegal Contact, 5 yards (accepted) (no play)",2.92,3.25,2.0,2022,31
2.0,8:33,1.0,10.0,TEN 35,7.0,7.0,Devin Singletary right guard for 3 yards (tackle by Naquan Jones and Olasunkanmi Adeniyi),3.25,3.04,2.0,2022,31
2.0,8:11,2.0,8.0,TEN 32,7.0,7.0,Josh Allen pass complete short right to Quintin Morris for 6 yards (tackle by Roger McCreary),3.04,3.2,2.0,2022,31
2.0,7:29,3.0,1.0,TEN 26,7.0,7.0,Josh Allen pass incomplete short left intended for Jake Kumerow,3.2,1.89,2.0,2022,31
2.0,7:25,4.0,1.0,TEN 26,7.0,7.0,"Penalty on Greg Van Roten: False Start, 5 yards (accepted) (no play)",1.89,1.34,2.0,2022,31
2.0,7:25,4.0,6.0,TEN 31,7.0,10.0,Tyler Bass 49 yard field goal good,1.34,3.0,2.0,2022,31
2.0,7:20,,,BUF 35,7.0,10.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,31
2.0,7:20,1.0,10.0,TEN 25,7.0,10.0,Derrick Henry right tackle for 4 yards (tackle by Jordan Phillips),0.61,0.6,2.0,2022,31
2.0,6:43,2.0,6.0,TEN 29,7.0,10.0,Derrick Henry left tackle for -4 yards (tackle by Von Miller),0.6,-0.62,2.0,2022,31
2.0,5:59,3.0,10.0,TEN 25,7.0,10.0,Ryan Tannehill pass complete short right to Hassan Haskins for no gain (tackle by Kaiir Elam),-0.62,-1.7,2.0,2022,31
2.0,5:18,4.0,10.0,TEN 25,7.0,10.0,"Ryan Stonehouse punts 52 yards, fair catch by Jamison Crowder at BUF-23",-1.7,-0.48,2.0,2022,31
2.0,5:10,1.0,10.0,BUF 23,7.0,10.0,Devin Singletary left guard for -5 yards (tackle by Teair Tart),0.48,-0.84,2.0,2022,31
2.0,4:33,2.0,15.0,BUF 18,7.0,10.0,Josh Allen pass complete short middle to Dawson Knox for 15 yards (tackle by Kevin Byard and David Long),-0.84,1.14,2.0,2022,31
2.0,3:51,1.0,10.0,BUF 33,7.0,10.0,Josh Allen pass complete deep left to Jake Kumerow for 39 yards (tackle by Caleb Farley),1.14,3.71,2.0,2022,31
2.0,3:05,1.0,10.0,TEN 28,7.0,10.0,Josh Allen pass complete short middle to Stefon Diggs for 15 yards (tackle by Roger McCreary),3.71,4.71,2.0,2022,31
2.0,2:23,1.0,10.0,TEN 13,7.0,10.0,Josh Allen pass complete short left to Stefon Diggs for 9 yards (tackle by Zach Cunningham),4.71,5.73,2.0,2022,31
2.0,2:00,2.0,1.0,TEN 4,7.0,10.0,Josh Allen pass incomplete short left intended for Stefon Diggs (defended by Amani Hooker),5.73,5.01,2.0,2022,31
2.0,1:53,3.0,1.0,TEN 4,7.0,10.0,"Penalty on Mitch Morse: False Start, 5 yards (accepted) (no play)",5.01,3.88,2.0,2022,31
2.0,1:53,3.0,6.0,TEN 9,7.0,10.0,Josh Allen pass complete short right to Dawson Knox for 5 yards (tackle by Lonnie Johnson and Kevin Byard),3.88,3.04,2.0,2022,31
2.0,1:07,,,,,,Timeout #2 by Buffalo Bills,,,2.0,2022,31
2.0,1:07,4.0,1.0,TEN 4,7.0,16.0,"Josh Allen pass complete short right to Stefon Diggs for 4 yards, touchdown",3.04,7.0,2.0,2022,31
2.0,1:00,,,TEN 15,7.0,17.0,Tyler Bass kicks extra point good,0.0,0.0,2.0,2022,31
2.0,1:00,,,BUF 35,7.0,17.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,31
2.0,1:00,1.0,10.0,TEN 25,7.0,17.0,Ryan Tannehill pass incomplete short right intended for Austin Hooper (defended by Von Miller),0.61,0.06,2.0,2022,31
2.0,0:58,2.0,10.0,TEN 25,7.0,17.0,Ryan Tannehill pass complete short left to Treylon Burks for 12 yards (tackle by Dane Jackson),0.06,1.4,2.0,2022,31
2.0,0:45,,,,,,Timeout #3 by Buffalo Bills,,,2.0,2022,31
2.0,0:45,1.0,10.0,TEN 37,7.0,17.0,Ryan Tannehill sacked by Gregory Rousseau for -8 yards,1.4,-0.22,2.0,2022,31
3.0,15:00,,,BUF 35,7.0,17.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,31
3.0,15:00,1.0,10.0,TEN 25,7.0,17.0,Ryan Tannehill pass incomplete short right intended for Austin Hooper (defended by Kaiir Elam),0.61,0.06,2.0,2022,31
3.0,14:53,2.0,10.0,TEN 25,7.0,17.0,Ryan Tannehill pass complete short left to Robert Woods for 17 yards (tackle by Kaiir Elam),0.06,1.73,2.0,2022,31
3.0,14:14,1.0,10.0,TEN 42,7.0,17.0,Derrick Henry left guard for 4 yards (tackle by Micah Hyde and Gregory Rousseau),1.73,1.66,2.0,2022,31
3.0,13:41,2.0,7.0,TEN 46,7.0,17.0,Derrick Henry left guard for -1 yards (tackle by Jordan Poyer),1.66,0.89,2.0,2022,31
3.0,12:58,3.0,7.0,TEN 45,7.0,17.0,Ryan Tannehill pass incomplete deep right intended for Nick Westbrook-Ikhine,0.89,-0.39,2.0,2022,31
3.0,12:53,4.0,7.0,TEN 45,7.0,17.0,"Ryan Stonehouse punts 55 yards, touchback.",-0.39,-0.28,2.0,2022,31
3.0,12:44,1.0,10.0,BUF 20,7.0,17.0,"Josh Allen sacked by Denico Autry for -4 yards Penalty on BUF: Illegal Formation, 5 yards (declined)",0.28,-0.94,2.0,2022,31
3.0,12:26,2.0,14.0,BUF 16,7.0,17.0,"Josh Allen pass incomplete short middle intended for Stefon Diggs. Penalty on Spencer Brown: Offensive Holding, 10 yards (declined)",-0.94,-1.69,2.0,2022,31
3.0,12:20,3.0,14.0,BUF 16,7.0,17.0,"Josh Allen pass incomplete deep right intended for Stefon Diggs. Penalty on Olasunkanmi Adeniyi: Defensive Offside, 5 yards (accepted) (no play)",-1.69,-0.82,2.0,2022,31
3.0,12:14,3.0,9.0,BUF 21,7.0,17.0,Josh Allen pass complete short middle to Jamison Crowder for 16 yards (tackle by Kevin Byard),-0.82,1.4,2.0,2022,31
3.0,11:39,1.0,10.0,BUF 37,7.0,17.0,Josh Allen pass complete short left to Stefon Diggs for 9 yards (tackle by Roger McCreary),1.4,2.07,2.0,2022,31
3.0,11:06,2.0,1.0,BUF 46,7.0,17.0,Josh Allen pass complete short left to Stefon Diggs for 8 yards (tackle by Roger McCreary),2.07,2.52,2.0,2022,31
3.0,10:32,1.0,10.0,TEN 46,7.0,17.0,Josh Allen pass incomplete deep right intended for Reggie Gilliam,2.52,1.98,2.0,2022,31
3.0,10:26,2.0,10.0,TEN 46,7.0,23.0,"Josh Allen pass complete deep left to Stefon Diggs for 46 yards, touchdown",1.98,7.0,2.0,2022,31
3.0,10:18,,,TEN 15,7.0,24.0,Tyler Bass kicks extra point good,0.0,0.0,2.0,2022,31
3.0,10:18,,,BUF 35,7.0,24.0,"Tyler Bass kicks off 61 yards, returned by Hassan Haskins for 20 yards (tackle by Damar Hamlin)",0.0,0.54,2.0,2022,31
3.0,10:14,1.0,10.0,TEN 24,7.0,24.0,Ryan Tannehill pass incomplete short right intended for Treylon Burks,0.54,0.0,2.0,2022,31
3.0,10:07,2.0,10.0,TEN 24,7.0,24.0,Derrick Henry left guard for -1 yards (tackle by Gregory Rousseau),0.0,-0.82,2.0,2022,31
3.0,9:32,3.0,11.0,TEN 23,7.0,24.0,Ryan Tannehill pass incomplete deep right intended for Nick Westbrook-Ikhine,-0.82,-1.83,2.0,2022,31
3.0,9:27,4.0,11.0,TEN 23,7.0,24.0,"Ryan Stonehouse punts 63 yards, returned by Jamison Crowder for 15 yards (tackle by Joseph Jones). Penalty on Tre Avery: Face Mask (15 Yards), 15 yards (accepted)",-1.83,-1.86,2.0,2022,31
3.0,9:14,1.0,10.0,BUF 44,7.0,24.0,Josh Allen pass incomplete short left,1.86,1.32,2.0,2022,31
3.0,9:10,2.0,10.0,BUF 44,7.0,24.0,Josh Allen pass complete short left to Isaiah McKenzie for 9 yards (tackle by David Long),1.32,1.82,2.0,2022,31
3.0,8:37,3.0,1.0,TEN 47,7.0,24.0,Josh Allen pass incomplete short right intended for Dawson Knox,1.82,0.13,2.0,2022,31
3.0,8:33,4.0,1.0,TEN 47,7.0,24.0,"Penalty on BUF: Delay of Game, 5 yards (accepted) (no play)",0.13,-0.19,2.0,2022,31
3.0,8:33,4.0,6.0,BUF 48,7.0,24.0,"Sam Martin punts 38 yards, recovered by Tyrel Dodson at TEN-20",-0.19,4.24,2.0,2022,31
3.0,8:22,1.0,10.0,TEN 20,7.0,24.0,Josh Allen pass incomplete short left intended for Jamison Crowder (defended by Jeffery Simmons),4.24,3.69,2.0,2022,31
3.0,8:19,2.0,10.0,TEN 20,7.0,24.0,Josh Allen pass complete short middle to Devin Singletary for 1 yard (tackle by Zach Cunningham),3.69,3.1,2.0,2022,31
3.0,7:40,3.0,9.0,TEN 19,7.0,24.0,Josh Allen pass incomplete short middle intended for Devin Singletary (defended by Denico Autry),3.1,2.18,2.0,2022,31
3.0,7:36,4.0,9.0,TEN 19,7.0,27.0,Tyler Bass 37 yard field goal good,2.18,3.0,2.0,2022,31
3.0,7:32,,,BUF 35,7.0,27.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,31
3.0,7:32,1.0,10.0,TEN 25,7.0,27.0,"Penalty on C.J. Brewer: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.61,1.34,2.0,2022,31
3.0,7:32,1.0,5.0,TEN 30,7.0,27.0,Derrick Henry up the middle for 3 yards (tackle by Kaiir Elam),1.34,1.14,2.0,2022,31
3.0,6:53,2.0,2.0,TEN 33,7.0,27.0,Ryan Tannehill pass deep left (defended by Tremaine Edmunds) intended for Robert Woods is intercepted by Jordan Poyer at BUF-49 and returned for no gain (tackle by Nick Westbrook-Ikhine),1.14,-2.19,2.0,2022,31
3.0,6:47,1.0,10.0,BUF 49,7.0,27.0,Zack Moss right tackle for 17 yards (tackle by Amani Hooker),2.19,3.31,2.0,2022,31
3.0,6:09,1.0,10.0,TEN 34,7.0,27.0,"Josh Allen pass complete short right to Stefon Diggs for 6 yards (tackle by Chris Jackson). Penalty on Chris Jackson: Face Mask (15 Yards), 14 yards (accepted)",3.31,4.65,2.0,2022,31
3.0,5:43,1.0,10.0,TEN 14,7.0,27.0,Josh Allen pass incomplete short right intended for James Cook,4.65,4.0,2.0,2022,31
3.0,5:38,2.0,10.0,TEN 14,7.0,33.0,"Josh Allen pass complete short right to Stefon Diggs for 14 yards, touchdown",4.0,7.0,2.0,2022,31
3.0,5:34,,,TEN 15,7.0,34.0,Tyler Bass kicks extra point good,0.0,0.0,2.0,2022,31
3.0,5:34,,,BUF 35,7.0,34.0,"Tyler Bass kicks off 56 yards, returned by Hassan Haskins for 20 yards (tackle by Taron Johnson and Taiwan Jones)",0.0,0.87,2.0,2022,31
3.0,5:27,1.0,10.0,TEN 29,7.0,34.0,Ryan Tannehill pass complete short right to Robert Woods for 12 yards (tackle by Micah Hyde and Kaiir Elam),0.87,1.66,2.0,2022,31
3.0,4:53,1.0,10.0,TEN 41,7.0,34.0,Derrick Henry left end for 8 yards (tackle by Brandin Bryant),1.66,2.2,2.0,2022,31
3.0,4:24,2.0,2.0,TEN 49,7.0,34.0,"Ryan Tannehill pass complete short left to Derrick Henry for no gain. Penalty on Josh Gordon: Offensive Pass Interference, 10 yards (accepted) (no play)",2.2,0.85,2.0,2022,31
3.0,3:58,2.0,12.0,TEN 39,7.0,40.0,"Ryan Tannehill pass short right intended for Nick Westbrook-Ikhine is intercepted by Matt Milano at TEN-43 and returned for 43 yards, touchdown",0.85,-7.0,2.0,2022,31
3.0,3:49,,,TEN 15,7.0,41.0,Tyler Bass kicks extra point good,0.0,0.0,2.0,2022,31
3.0,3:49,,,BUF 35,7.0,41.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,31
3.0,3:49,1.0,10.0,TEN 25,7.0,41.0,Malik Willis pass incomplete short left intended for Austin Hooper,0.61,0.06,2.0,2022,31
3.0,3:45,2.0,10.0,TEN 25,7.0,41.0,Malik Willis scrambles left tackle for 8 yards (tackle by C.J. Brewer),0.06,0.43,2.0,2022,31
3.0,3:03,3.0,2.0,TEN 33,7.0,41.0,Hassan Haskins right guard for 2 yards (tackle by Shaq Lawson and Matt Milano),0.43,1.27,2.0,2022,31
3.0,2:17,1.0,10.0,TEN 35,7.0,41.0,Hassan Haskins up the middle for 3 yards (tackle by Taron Johnson),1.27,1.06,2.0,2022,31
3.0,1:43,2.0,8.0,TEN 38,7.0,41.0,Malik Willis pass complete short middle to Robert Woods for 6 yards (tackle by Taron Johnson),1.06,1.22,2.0,2022,31
3.0,1:06,3.0,1.0,TEN 44,7.0,41.0,Malik Willis right end for -1 yards (tackle by Matt Milano),1.22,-0.59,2.0,2022,31
3.0,0:25,4.0,3.0,TEN 42,7.0,41.0,"Ryan Stonehouse punts 49 yards, returned by Jamison Crowder for no gain (tackle by Joseph Jones). Penalty on Tyrel Dodson: Unnecessary Roughness / Offense, 15 yards (declined) . Penalty on Quintin Morris: Offensive Holding, 4 yards (accepted)",-0.59,0.38,2.0,2022,31
3.0,0:14,1.0,10.0,BUF 4,7.0,41.0,Devin Singletary up the middle for 3 yards (tackle by Kevin Strong),-0.38,-0.56,2.0,2022,31
4.0,15:00,2.0,7.0,BUF 7,7.0,41.0,Case Keenum pass incomplete short left intended for Khalil Shakir,-0.56,-1.07,2.0,2022,31
4.0,14:56,3.0,7.0,BUF 7,7.0,41.0,Case Keenum pass incomplete deep right intended for Khalil Shakir,-1.07,-2.49,2.0,2022,31
4.0,14:51,4.0,7.0,BUF 7,7.0,41.0,"Sam Martin punts 57 yards, recovered by Tre Avery at TEN-36",-2.49,-1.33,2.0,2022,31
4.0,14:39,1.0,10.0,TEN 36,7.0,41.0,"Hassan Haskins left guard for no gain (tackle by Tyrel Dodson and Brandin Bryant). Penalty on Shaq Lawson: Defensive Offside, 5 yards (accepted) (no play)",1.33,2.06,2.0,2022,31
4.0,14:13,1.0,5.0,TEN 41,7.0,41.0,Hassan Haskins right end for 5 yards (tackle by Siran Neal),2.06,1.99,2.0,2022,31
4.0,13:36,1.0,10.0,TEN 46,7.0,41.0,Hassan Haskins right end for 5 yards (tackle by C.J. Brewer),1.99,2.13,2.0,2022,31
4.0,12:54,2.0,5.0,BUF 49,7.0,41.0,Hassan Haskins right guard for 1 yard (tackle by A.J. Epenesa and Boogie Basham),2.13,1.55,2.0,2022,31
4.0,12:14,3.0,4.0,BUF 48,7.0,41.0,Malik Willis scrambles right end for 5 yards (tackle by Terrel Bernard),1.55,2.72,2.0,2022,31
4.0,11:35,1.0,10.0,BUF 43,7.0,41.0,Malik Willis pass incomplete short middle intended for Josh Gordon,2.72,2.18,2.0,2022,31
4.0,11:30,2.0,10.0,BUF 43,7.0,41.0,Hassan Haskins left end for 9 yards (tackle by Jaquan Johnson and Terrel Bernard),2.18,2.68,2.0,2022,31
4.0,10:54,3.0,1.0,BUF 34,7.0,41.0,"Malik Willis left end for 4 yards. Malik Willis fumbles, recovered by Boogie Basham at BUF-35 and returned for 1 yard",2.68,-1.33,2.0,2022,31
4.0,10:44,1.0,10.0,BUF 36,7.0,41.0,James Cook left tackle for 2 yards (tackle by Naquan Jones),1.33,1.06,2.0,2022,31
4.0,10:03,2.0,8.0,BUF 38,7.0,41.0,James Cook right tackle for no gain (tackle by DeMarcus Walker and Dylan Cole),1.06,0.37,2.0,2022,31
4.0,9:18,3.0,8.0,BUF 38,7.0,41.0,James Cook left guard for 1 yard (tackle by DeMarcus Walker),0.37,-0.78,2.0,2022,31
4.0,8:34,4.0,7.0,BUF 39,7.0,41.0,"Sam Martin punts 50 yards, fair catch by Robert Woods at TEN-11",-0.78,0.37,2.0,2022,31
4.0,8:27,1.0,10.0,TEN 11,7.0,41.0,Hassan Haskins right end for 5 yards (tackle by Jaquan Johnson),-0.37,-0.3,2.0,2022,31
4.0,7:42,2.0,5.0,TEN 16,7.0,41.0,Hassan Haskins up the middle for 3 yards (tackle by Terrel Bernard and Siran Neal),-0.3,-0.48,2.0,2022,31
4.0,6:59,3.0,2.0,TEN 19,7.0,41.0,Malik Willis pass incomplete short right,-0.48,-2.14,2.0,2022,31
4.0,6:52,4.0,2.0,TEN 19,7.0,41.0,"Ryan Stonehouse punts 64 yards, returned by Jamison Crowder for 16 yards (tackle by Chigoziem Okonkwo and Joseph Jones)",-2.14,-1.14,2.0,2022,31
4.0,6:39,1.0,10.0,BUF 33,7.0,41.0,James Cook left end for 33 yards (tackle by Caleb Farley),1.14,3.31,2.0,2022,31
4.0,5:54,1.0,10.0,TEN 34,7.0,41.0,James Cook up the middle for 3 yards (tackle by DeMarcus Walker and Naquan Jones),3.31,3.18,2.0,2022,31
4.0,5:08,2.0,7.0,TEN 31,7.0,41.0,James Cook up the middle for 2 yards (tackle by Joshua Kalu),3.18,2.74,2.0,2022,31
4.0,4:25,3.0,5.0,TEN 29,7.0,41.0,Case Keenum left tackle for 4 yards (tackle by Roger McCreary),2.74,1.95,2.0,2022,31
4.0,3:43,4.0,1.0,TEN 25,7.0,41.0,James Cook right guard for 2 yards (tackle by Tre Avery),1.95,4.04,2.0,2022,31
4.0,2:59,1.0,10.0,TEN 23,7.0,41.0,James Cook right end for 5 yards (tackle by Naquan Jones),4.04,4.21,2.0,2022,31
4.0,2:14,2.0,5.0,TEN 18,7.0,41.0,James Cook up the middle for 2 yards (tackle by Joshua Kalu and Kevin Strong),4.21,3.85,2.0,2022,31
4.0,2:00,3.0,3.0,TEN 16,7.0,41.0,James Cook right guard for 3 yards (tackle by DeMarcus Walker),3.85,4.71,2.0,2022,31
4.0,1:15,1.0,10.0,TEN 13,7.0,41.0,Case Keenum kneels for -1 yards,4.71,3.9,2.0,2022,31
4.0,0:32,2.0,11.0,TEN 14,7.0,41.0,Case Keenum kneels for -1 yards,3.9,3.03,2.0,2022,31
