Quarter,Time,Down,ToGo,Location,NWE,PIT,Detail,EPB,EPA,week,year,game_id
1.0,5:21,3.0,3.0,PIT 32,3.0,0.0,"Mitchell Trubisky pass complete to Diontae Johnson for no gain. Diontae Johnson fumbles (forced by Jalen Mills), recovered by Josh Uche at PIT-38, touchdown Replay Assistant challenged the fumble ruling, and the original play was overturned. Mitchell Trubisky pass complete short right to Diontae Johnson for 4 yards (tackle by Jalen Mills)",0.3,1.33,2.0,2022,24
1.0,5:09,1.0,10.0,PIT 36,3.0,0.0,Mitchell Trubisky pass complete short left to Pat Freiermuth for 7 yards (tackle by Myles Bryant and Ja'Whaun Bentley),1.33,1.74,2.0,2022,24
1.0,4:30,2.0,3.0,PIT 43,3.0,0.0,Jaylen Warren right guard for 4 yards (tackle by Lawrence Guy and Davon Godchaux),1.74,2.06,2.0,2022,24
1.0,3:51,1.0,10.0,PIT 47,3.0,0.0,Jaylen Warren up the middle for 6 yards (tackle by Ja'Whaun Bentley),2.06,2.33,2.0,2022,24
1.0,3:14,2.0,4.0,NWE 47,3.0,0.0,Mitchell Trubisky pass complete short right to Pat Freiermuth for 3 yards (tackle by Adrian Phillips and Mack Wilson),2.33,2.02,2.0,2022,24
1.0,2:25,,,,,,Timeout #1 by Pittsburgh Steelers,,,2.0,2022,24
1.0,2:25,3.0,1.0,NWE 44,3.0,0.0,Derek Watt up the middle for 2 yards (tackle by Anfernee Jennings),2.02,2.79,2.0,2022,24
1.0,1:48,1.0,10.0,NWE 42,3.0,0.0,Mitchell Trubisky pass deep middle (defended by Mack Wilson) intended for Diontae Johnson is intercepted by Jalen Mills at NE-26 and returned for 13 yards (tackle by George Pickens),2.79,-1.53,2.0,2022,24
1.0,1:38,1.0,10.0,NWE 39,3.0,0.0,Mac Jones pass incomplete short middle intended for Rhamondre Stevenson (defended by Cameron Heyward),1.53,0.99,2.0,2022,24
1.0,1:32,2.0,10.0,NWE 39,3.0,0.0,Rhamondre Stevenson left guard for 5 yards (tackle by Larry Ogunjobi and Minkah Fitzpatrick),0.99,0.96,2.0,2022,24
1.0,0:53,3.0,5.0,NWE 44,3.0,0.0,Mac Jones pass deep middle intended for DeVante Parker is intercepted by Minkah Fitzpatrick at PIT-21 and returned for 13 yards (tackle by Hunter Henry),0.96,-1.2,2.0,2022,24
1.0,0:42,1.0,10.0,PIT 34,3.0,0.0,Najee Harris right end for 5 yards (tackle by Jack Jones),1.2,1.33,2.0,2022,24
1.0,0:07,2.0,5.0,PIT 39,3.0,0.0,Najee Harris up the middle for 4 yards (tackle by Devin McCourty and Ja'Whaun Bentley),1.33,1.16,2.0,2022,24
2.0,15:00,3.0,1.0,PIT 43,3.0,0.0,Najee Harris right guard for 5 yards (tackle by Ja'Whaun Bentley and Jabrill Peppers),1.16,2.13,2.0,2022,24
2.0,14:25,1.0,10.0,PIT 48,3.0,0.0,Najee Harris right tackle for no gain (tackle by Lawrence Guy),2.13,1.58,2.0,2022,24
2.0,13:44,2.0,10.0,PIT 48,3.0,0.0,"Mitchell Trubisky pass incomplete short right intended for Diontae Johnson. Penalty on James Daniels: Ineligible Downfield Pass, 5 yards (declined)",1.58,0.89,2.0,2022,24
2.0,13:40,3.0,10.0,PIT 48,3.0,0.0,Mitchell Trubisky pass complete short left to Diontae Johnson for 12 yards (tackle by Jonathan Jones),0.89,2.92,2.0,2022,24
2.0,13:06,1.0,10.0,NWE 40,3.0,0.0,Mitchell Trubisky sacked by Christian Barmore for -7 yards,2.92,1.43,2.0,2022,24
2.0,12:23,2.0,17.0,NWE 47,3.0,0.0,Mitchell Trubisky pass incomplete short middle intended for Pat Freiermuth (defended by Adrian Phillips),1.43,0.76,2.0,2022,24
2.0,12:19,3.0,17.0,NWE 47,3.0,0.0,Mitchell Trubisky pass complete deep left to Diontae Johnson for 17 yards (tackle by Jalen Mills),0.76,3.58,2.0,2022,24
2.0,12:13,1.0,10.0,NWE 30,3.0,0.0,Najee Harris left tackle for 6 yards (tackle by Christian Barmore and Myles Bryant),3.58,3.84,2.0,2022,24
2.0,11:30,2.0,4.0,NWE 24,3.0,0.0,Najee Harris left tackle for 3 yards (tackle by Mack Wilson),3.84,3.53,2.0,2022,24
2.0,11:08,3.0,1.0,NWE 21,3.0,0.0,Najee Harris right end for 2 yards (tackle by Jonathan Jones),3.53,4.31,2.0,2022,24
2.0,10:23,1.0,10.0,NWE 19,3.0,0.0,"Penalty on PIT: Delay of Game, 5 yards (accepted) (no play)",4.31,3.97,2.0,2022,24
2.0,10:02,1.0,15.0,NWE 24,3.0,0.0,Mitchell Trubisky pass incomplete short middle intended for Chase Claypool (defended by Myles Bryant),3.97,3.09,2.0,2022,24
2.0,9:57,2.0,15.0,NWE 24,3.0,0.0,Mitchell Trubisky pass complete short right to Chase Claypool for 11 yards (tackle by Mack Wilson and Jalen Mills),3.09,3.96,2.0,2022,24
2.0,9:18,3.0,4.0,NWE 13,3.0,0.0,Mitchell Trubisky sacked by Jahlani Tavai for -5 yards,3.96,2.25,2.0,2022,24
2.0,8:39,4.0,9.0,NWE 18,3.0,3.0,Chris Boswell 36 yard field goal good,2.25,3.0,2.0,2022,24
2.0,8:35,,,PIT 35,3.0,3.0,"Chris Boswell kicks off 68 yards, returned by Kyle Dugger for 37 yards (tackle by James Pierre)",0.0,1.2,2.0,2022,24
2.0,8:29,1.0,10.0,NWE 34,3.0,3.0,Damien Harris up the middle for 4 yards (tackle by Chris Wormley and Montravius Adams),1.2,1.2,2.0,2022,24
2.0,7:51,2.0,6.0,NWE 38,3.0,3.0,"Mac Jones pass incomplete short right. Penalty on Mac Jones: Intentional Grounding, 10 yards (accepted)",1.2,-0.82,2.0,2022,24
2.0,7:46,3.0,16.0,NWE 28,3.0,3.0,"Mac Jones pass complete to Jakobi Meyers for no gain. Penalty on Isaiah Wynn: Offensive Holding, 10 yards (accepted) (no play)",-0.82,-2.43,2.0,2022,24
2.0,7:15,3.0,26.0,NWE 18,3.0,3.0,Mac Jones pass complete deep middle to Jakobi Meyers for 24 yards (tackle by Terrell Edmunds),-2.43,-0.59,2.0,2022,24
2.0,6:33,4.0,2.0,NWE 42,3.0,3.0,"Jake Bailey punts 58 yards, touchback.",-0.59,-0.28,2.0,2022,24
2.0,6:25,1.0,10.0,PIT 20,3.0,3.0,Mitchell Trubisky pass complete short middle to Pat Freiermuth for 4 yards (tackle by Deatrich Wise),0.28,0.27,2.0,2022,24
2.0,5:52,2.0,6.0,PIT 24,3.0,3.0,Najee Harris for 3 yards (tackle by Lawrence Guy),0.27,-0.03,2.0,2022,24
2.0,5:12,3.0,3.0,PIT 27,3.0,3.0,Mitchell Trubisky pass complete short left to Chase Claypool for 5 yards (tackle by Myles Bryant),-0.03,1.07,2.0,2022,24
2.0,4:52,1.0,10.0,PIT 32,3.0,3.0,Jaylen Warren left end for 2 yards (tackle by Kyle Dugger),1.07,0.8,2.0,2022,24
2.0,4:19,2.0,8.0,PIT 34,3.0,3.0,"Penalty on Dan Moore: False Start, 5 yards (accepted) (no play)",0.8,0.12,2.0,2022,24
2.0,4:00,2.0,13.0,PIT 29,3.0,3.0,Mitchell Trubisky pass complete short right to Chase Claypool for 6 yards (tackle by Myles Bryant),0.12,0.23,2.0,2022,24
2.0,3:24,3.0,7.0,PIT 35,3.0,3.0,Mitchell Trubisky pass incomplete short middle intended for Pat Freiermuth,0.23,-1.04,2.0,2022,24
2.0,3:19,4.0,7.0,PIT 35,3.0,3.0,"Pressley Harvin punts 55 yards, returned by Myles Bryant for 16 yards (tackle by Marcus Allen)",-1.04,-0.67,2.0,2022,24
2.0,3:08,1.0,10.0,NWE 26,3.0,3.0,Mac Jones pass incomplete short right intended for Jonnu Smith (defended by DeMarvin Leal),0.67,0.13,2.0,2022,24
2.0,3:05,2.0,10.0,NWE 26,3.0,3.0,Mac Jones pass complete short right to Nelson Agholor for 9 yards (tackle by Myles Jack),0.13,0.63,2.0,2022,24
2.0,2:18,,,,,,Timeout #1 by New England Patriots,,,2.0,2022,24
2.0,2:18,3.0,1.0,NWE 35,3.0,3.0,Mac Jones up the middle for 4 yards (tackle by Devin Bush),0.63,1.53,2.0,2022,24
2.0,2:00,1.0,10.0,NWE 39,3.0,3.0,Mac Jones scrambles left end for 4 yards (tackle by Alex Highsmith),1.53,1.53,2.0,2022,24
2.0,1:22,2.0,6.0,NWE 43,3.0,3.0,Mac Jones pass complete short right to Kendrick Bourne for 6 yards (tackle by Ahkello Witherspoon),1.53,2.19,2.0,2022,24
2.0,0:56,1.0,10.0,NWE 49,3.0,3.0,Mac Jones pass incomplete short left intended for Jakobi Meyers,2.19,1.65,2.0,2022,24
2.0,0:51,2.0,10.0,NWE 49,3.0,3.0,Mac Jones pass complete short middle to Jakobi Meyers for 7 yards (tackle by Robert Spillane),1.65,1.88,2.0,2022,24
2.0,0:30,3.0,3.0,PIT 44,9.0,3.0,"Mac Jones pass complete deep right to Nelson Agholor for 44 yards, touchdown",1.88,7.0,2.0,2022,24
2.0,0:22,,,PIT 15,10.0,3.0,Nick Folk kicks extra point good,0.0,0.0,2.0,2022,24
2.0,0:22,,,NWE 35,10.0,3.0,"Jake Bailey kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,24
2.0,0:22,1.0,10.0,PIT 25,10.0,3.0,Mitchell Trubisky pass complete deep right to George Pickens for 23 yards,0.61,2.13,2.0,2022,24
2.0,0:17,1.0,10.0,PIT 48,10.0,3.0,Mitchell Trubisky pass incomplete deep right intended for Diontae Johnson,2.13,1.58,2.0,2022,24
2.0,0:13,2.0,10.0,PIT 48,10.0,3.0,Mitchell Trubisky sacked by Matt Judon for -4 yards,1.58,0.37,2.0,2022,24
2.0,0:03,,,,,,Timeout #2 by Pittsburgh Steelers,,,2.0,2022,24
2.0,0:03,,,,,,Timeout #2 by New England Patriots,,,2.0,2022,24
2.0,0:03,3.0,14.0,PIT 44,10.0,3.0,Mitchell Trubisky pass incomplete deep right (defended by Devin McCourty) (defended by Jonathan Jones),0.37,-0.46,2.0,2022,24
3.0,15:00,,,PIT 35,10.0,3.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,24
3.0,15:00,1.0,10.0,NWE 25,10.0,3.0,Damien Harris left guard for 5 yards (tackle by Devin Bush and Arthur Maulet),0.61,0.74,2.0,2022,24
3.0,14:31,2.0,5.0,NWE 30,10.0,3.0,Mac Jones pass complete short middle to Kendrick Bourne for 10 yards (tackle by Arthur Maulet),0.74,1.6,2.0,2022,24
3.0,13:48,1.0,10.0,NWE 40,10.0,3.0,Damien Harris right guard for 3 yards (tackle by Myles Jack and Terrell Edmunds),1.6,1.32,2.0,2022,24
3.0,13:09,2.0,8.0,NWE 42,10.0,3.0,Mac Jones pass complete to Damien Harris for 11 yards (tackle by Cameron Sutton),1.32,2.52,2.0,2022,24
3.0,12:25,1.0,10.0,PIT 46,10.0,3.0,Damien Harris right tackle for 3 yards (tackle by Devin Bush and Tyson Alualu),2.52,2.38,2.0,2022,24
3.0,11:43,2.0,7.0,PIT 43,10.0,3.0,Mac Jones pass incomplete deep middle intended for Kendrick Bourne,2.38,1.68,2.0,2022,24
3.0,11:39,3.0,7.0,PIT 43,10.0,3.0,Rhamondre Stevenson up the middle for 7 yards (tackle by Robert Spillane and Minkah Fitzpatrick),1.68,3.18,2.0,2022,24
3.0,11:11,1.0,10.0,PIT 36,10.0,3.0,Rhamondre Stevenson up the middle for 3 yards (tackle by Myles Jack and Malik Reed),3.18,3.04,2.0,2022,24
3.0,10:29,2.0,7.0,PIT 33,10.0,3.0,"Penalty on Isaiah Wynn: False Start, 5 yards (accepted) (no play)",3.04,2.37,2.0,2022,24
3.0,10:04,,,,,,Timeout #1 by New England Patriots,,,2.0,2022,24
3.0,10:04,2.0,12.0,PIT 38,10.0,3.0,Mac Jones pass complete short middle to Rhamondre Stevenson for 4 yards (tackle by Alex Highsmith),2.37,2.21,2.0,2022,24
3.0,9:26,3.0,8.0,PIT 34,10.0,3.0,Mac Jones pass incomplete short left intended for Jakobi Meyers,2.21,1.06,2.0,2022,24
3.0,9:21,4.0,8.0,PIT 34,10.0,3.0,Nick Folk 52 yard field goal no good,1.06,-1.73,2.0,2022,24
3.0,9:17,1.0,10.0,PIT 42,10.0,3.0,Mitchell Trubisky pass complete short right to Najee Harris for 13 yards (tackle by Jalen Mills and Mack Wilson),1.73,2.59,2.0,2022,24
3.0,8:31,1.0,10.0,NWE 45,10.0,3.0,Najee Harris left tackle for 1 yard (tackle by Deatrich Wise and Myles Bryant),2.59,2.18,2.0,2022,24
3.0,7:50,2.0,9.0,NWE 44,10.0,3.0,Mitchell Trubisky pass complete short left to Diontae Johnson for 9 yards (tackle by Jalen Mills),2.18,3.25,2.0,2022,24
3.0,7:10,1.0,10.0,NWE 35,10.0,3.0,Mitchell Trubisky pass incomplete short right intended for Chase Claypool,3.25,2.7,2.0,2022,24
3.0,7:06,2.0,10.0,NWE 35,10.0,3.0,Mitchell Trubisky pass complete short left to Diontae Johnson for 2 yards (tackle by Jabrill Peppers),2.7,2.28,2.0,2022,24
3.0,6:27,,,,,,Timeout #1 by Pittsburgh Steelers,,,2.0,2022,24
3.0,6:27,3.0,8.0,NWE 33,10.0,3.0,Mitchell Trubisky pass complete short left to Jaylen Warren for no gain (tackle by Jabrill Peppers),2.28,1.15,2.0,2022,24
3.0,5:48,4.0,8.0,NWE 33,10.0,6.0,Chris Boswell 52 yard field goal good,1.15,3.0,2.0,2022,24
3.0,5:44,,,PIT 35,10.0,6.0,"Chris Boswell kicks off 70 yards, returned by Pierre Strong for 22 yards (tackle by Miles Boykin)",0.0,-0.06,2.0,2022,24
3.0,5:40,1.0,10.0,NWE 17,10.0,6.0,Mac Jones pass complete short middle to Nelson Agholor for 25 yards (tackle by Terrell Edmunds),-0.06,1.73,2.0,2022,24
3.0,4:58,1.0,10.0,NWE 42,10.0,6.0,"Penalty on Michael Onwenu: False Start, 5 yards (accepted) (no play)",1.73,1.4,2.0,2022,24
3.0,4:58,1.0,15.0,NWE 37,10.0,6.0,Mac Jones pass complete short middle to Jakobi Meyers for 6 yards (tackle by Cameron Sutton and Myles Jack),1.4,1.32,2.0,2022,24
3.0,4:37,2.0,9.0,NWE 43,10.0,6.0,Mac Jones pass incomplete short left intended for Jakobi Meyers,1.32,0.63,2.0,2022,24
3.0,4:12,3.0,9.0,NWE 43,10.0,6.0,Mac Jones pass incomplete deep left intended for Jakobi Meyers (defended by Cameron Sutton),0.63,-0.52,2.0,2022,24
3.0,4:06,4.0,9.0,NWE 43,10.0,6.0,"Jake Bailey punts 37 yards, recovered by Brenden Schooler at PIT-20",-0.52,4.24,2.0,2022,24
3.0,3:58,1.0,10.0,PIT 20,10.0,6.0,"Penalty on Connor Heyward: Unnecessary Roughness / Defense, 10 yards (accepted) (no play)",4.24,4.91,2.0,2022,24
3.0,3:58,1.0,10.0,PIT 10,10.0,6.0,Damien Harris left guard for 3 yards (tackle by DeMarvin Leal),4.91,4.76,2.0,2022,24
3.0,3:24,2.0,7.0,PIT 7,10.0,6.0,Mac Jones pass complete short left to Damien Harris for 5 yards (tackle by Myles Jack),4.76,4.95,2.0,2022,24
3.0,2:51,3.0,2.0,PIT 2,16.0,6.0,"Damien Harris up the middle for 2 yards, touchdown",4.95,7.0,2.0,2022,24
3.0,2:47,,,PIT 15,17.0,6.0,Nick Folk kicks extra point good,0.0,0.0,2.0,2022,24
3.0,2:47,,,NWE 35,17.0,6.0,"Jake Bailey kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,24
3.0,2:47,1.0,10.0,PIT 25,17.0,6.0,Mitchell Trubisky pass complete short middle to Najee Harris for 14 yards (tackle by Myles Bryant),0.61,1.53,2.0,2022,24
3.0,2:21,1.0,10.0,PIT 39,17.0,6.0,Mitchell Trubisky pass incomplete short left intended for Diontae Johnson,1.53,0.99,2.0,2022,24
3.0,2:18,2.0,10.0,PIT 39,17.0,6.0,Gunner Olszewski left end for 18 yards (tackle by Jack Jones and Devin McCourty),0.99,2.72,2.0,2022,24
3.0,2:08,1.0,10.0,NWE 43,17.0,6.0,Najee Harris up the middle for 8 yards (tackle by Jahlani Tavai and Deatrich Wise),2.72,3.26,2.0,2022,24
3.0,1:27,2.0,2.0,NWE 35,17.0,6.0,Mitchell Trubisky pass complete short left to Najee Harris for 8 yards (tackle by Devin McCourty),3.26,3.78,2.0,2022,24
3.0,0:59,1.0,10.0,NWE 27,17.0,6.0,Mitchell Trubisky pass complete short left to Diontae Johnson for 13 yards,3.78,4.65,2.0,2022,24
3.0,0:38,1.0,10.0,NWE 14,17.0,6.0,Najee Harris left tackle for 3 yards (tackle by Jahlani Tavai and Carl Davis),4.65,4.52,2.0,2022,24
3.0,0:03,2.0,7.0,NWE 11,17.0,6.0,Jaylen Warren left guard for 3 yards (tackle by Anfernee Jennings),4.52,4.28,2.0,2022,24
4.0,15:00,3.0,4.0,NWE 8,17.0,12.0,"Mitchell Trubisky pass complete short middle to Pat Freiermuth for 8 yards, touchdown",4.28,7.0,2.0,2022,24
4.0,14:58,,,NWE 2,17.0,14.0,Two Point Attempt: Mitchell Trubisky pass complete to to Diontae Johnson for no gain,1.0,1.0,2.0,2022,24
4.0,14:58,,,PIT 35,17.0,14.0,"Chris Boswell kicks off 63 yards, returned by Pierre Strong for 26 yards (tackle by Connor Heyward and Jaylen Warren)",0.0,0.81,2.0,2022,24
4.0,14:50,1.0,10.0,NWE 28,17.0,14.0,Mac Jones pass complete short middle to Jakobi Meyers for 11 yards (tackle by Myles Jack),0.81,1.53,2.0,2022,24
4.0,14:13,1.0,10.0,NWE 39,17.0,14.0,Rhamondre Stevenson up the middle for 3 yards (tackle by Myles Jack and Tyson Alualu),1.53,1.39,2.0,2022,24
4.0,13:31,2.0,7.0,NWE 42,17.0,14.0,"Mac Jones pass complete short middle to Kendrick Bourne for 9 yards (tackle by Ahkello Witherspoon). Penalty on Cole Strange: Offensive Holding, 10 yards (accepted) (no play)",1.39,0.04,2.0,2022,24
4.0,13:01,2.0,17.0,NWE 32,17.0,14.0,Rhamondre Stevenson left guard for 8 yards (tackle by Cameron Heyward),0.04,0.43,2.0,2022,24
4.0,12:22,3.0,9.0,NWE 40,17.0,14.0,Mac Jones pass complete short middle to Jakobi Meyers for 15 yards (tackle by Ahkello Witherspoon),0.43,2.59,2.0,2022,24
4.0,11:36,1.0,10.0,PIT 45,17.0,14.0,Mac Jones pass complete short left to Nelson Agholor for 5 yards (tackle by DeMarvin Leal and Myles Jack),2.59,2.72,2.0,2022,24
4.0,11:08,2.0,5.0,PIT 40,17.0,14.0,Mac Jones pass incomplete deep left intended for Jonnu Smith,2.72,2.01,2.0,2022,24
4.0,11:03,3.0,5.0,PIT 40,17.0,14.0,Mac Jones pass incomplete deep left intended for DeVante Parker,2.01,0.59,2.0,2022,24
4.0,10:58,4.0,5.0,PIT 40,17.0,14.0,Jake Bailey punts 29 yards downed by Anfernee Jennings,0.59,0.37,2.0,2022,24
4.0,10:49,1.0,10.0,PIT 11,17.0,14.0,Najee Harris left tackle for 2 yards (tackle by Davon Godchaux and Matt Judon),-0.37,-0.63,2.0,2022,24
4.0,10:13,2.0,8.0,PIT 13,17.0,14.0,Mitchell Trubisky pass incomplete deep left intended for George Pickens,-0.63,-1.19,2.0,2022,24
4.0,10:08,3.0,8.0,PIT 13,17.0,14.0,Mitchell Trubisky pass complete short left to Najee Harris for 2 yards (tackle by Adrian Phillips and Jalen Mills),-1.19,-2.44,2.0,2022,24
4.0,9:49,4.0,6.0,PIT 15,17.0,14.0,"Pressley Harvin punts 40 yards, returned by Myles Bryant for 5 yards (tackle by Robert Spillane)",-2.44,-2.26,2.0,2022,24
4.0,9:40,1.0,10.0,NWE 50,17.0,14.0,Mac Jones pass complete short left to Jakobi Meyers for 6 yards (tackle by Levi Wallace),2.26,2.52,2.0,2022,24
4.0,9:01,2.0,4.0,PIT 44,17.0,14.0,Damien Harris right end for 2 yards (tackle by Malik Reed and Myles Jack),2.52,2.08,2.0,2022,24
4.0,8:15,3.0,2.0,PIT 42,17.0,14.0,Mac Jones pass incomplete short left intended for Jonnu Smith (defended by Terrell Edmunds),2.08,0.46,2.0,2022,24
4.0,8:11,4.0,2.0,PIT 42,17.0,14.0,"Jake Bailey punts 42 yards, touchback.",0.46,-0.28,2.0,2022,24
4.0,8:03,1.0,10.0,PIT 20,17.0,14.0,Najee Harris right end for 5 yards (tackle by Matt Judon and Myles Bryant),0.28,0.41,2.0,2022,24
4.0,7:28,2.0,5.0,PIT 25,17.0,14.0,Mitchell Trubisky pass complete short right to Najee Harris for 3 yards (tackle by Jahlani Tavai and Matt Judon),0.41,0.1,2.0,2022,24
4.0,6:47,3.0,2.0,PIT 28,17.0,14.0,Mitchell Trubisky pass incomplete short right intended for Najee Harris (defended by Matt Judon),0.1,-1.5,2.0,2022,24
4.0,6:41,4.0,2.0,PIT 28,17.0,14.0,"Pressley Harvin punts 42 yards, returned by Myles Bryant for no gain (tackle by Miles Boykin)",-1.5,-0.94,2.0,2022,24
4.0,6:33,1.0,10.0,NWE 30,17.0,14.0,Rhamondre Stevenson up the middle for 3 yards (tackle by Cameron Heyward and Malik Reed),0.94,0.8,2.0,2022,24
4.0,5:59,2.0,7.0,NWE 33,17.0,14.0,"Rhamondre Stevenson right end for 4 yards (tackle by Minkah Fitzpatrick). Penalty on Jakobi Meyers: Offensive Holding, 10 yards (accepted)",0.8,-0.01,2.0,2022,24
4.0,5:23,2.0,13.0,NWE 27,17.0,14.0,Mac Jones pass complete short middle to Lil'Jordan Humphrey for 11 yards (tackle by Robert Spillane and Myles Jack),-0.01,0.76,2.0,2022,24
4.0,4:39,3.0,2.0,NWE 38,17.0,14.0,Mac Jones scrambles left guard for 5 yards (tackle by Myles Jack),0.76,1.8,2.0,2022,24
4.0,3:52,1.0,10.0,NWE 43,17.0,14.0,Rhamondre Stevenson left guard for 6 yards (tackle by Chris Wormley),1.8,2.06,2.0,2022,24
4.0,3:04,2.0,4.0,NWE 49,17.0,14.0,Rhamondre Stevenson right guard for 8 yards (tackle by Robert Spillane),2.06,2.72,2.0,2022,24
4.0,2:23,1.0,10.0,PIT 43,17.0,14.0,Damien Harris left guard for 16 yards (tackle by Jamir Jones),2.72,3.78,2.0,2022,24
4.0,2:00,1.0,10.0,PIT 27,17.0,14.0,Damien Harris right guard for -2 yards (tackle by Myles Jack and Alex Highsmith),3.78,2.96,2.0,2022,24
4.0,1:56,,,,,,Timeout #2 by Pittsburgh Steelers,,,2.0,2022,24
4.0,1:56,2.0,12.0,PIT 29,17.0,14.0,Damien Harris left tackle for 9 yards (tackle by Malik Reed),2.96,3.47,2.0,2022,24
4.0,1:51,,,,,,Timeout #3 by Pittsburgh Steelers,,,2.0,2022,24
4.0,1:51,3.0,3.0,PIT 20,17.0,14.0,Damien Harris left tackle for 5 yards (tackle by Cameron Heyward),3.47,4.58,2.0,2022,24
4.0,1:40,,,,,,Timeout #2 by New England Patriots,,,2.0,2022,24
4.0,1:40,1.0,10.0,PIT 15,17.0,14.0,Mac Jones kneels for -4 yards,4.58,3.45,2.0,2022,24
4.0,0:57,2.0,14.0,PIT 19,17.0,14.0,Mac Jones kneels for -2 yards,3.45,2.54,2.0,2022,24
4.0,0:27,3.0,16.0,PIT 21,17.0,14.0,Mac Jones kneels for -3 yards,2.54,1.87,2.0,2022,24
