Quarter,Time,Down,ToGo,Location,MIA,BAL,Detail,EPB,EPA,week,year,game_id
1.0,3:28,2.0,11.0,MIA 35,0.0,7.0,"Penalty on MIA: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",2.64,3.31,2.0,2022,22
1.0,3:04,2.0,6.0,MIA 30,0.0,7.0,"Lamar Jackson pass complete short middle to Mark Andrews for 16 yards (tackle by Brandon Jones). Penalty on Nik Needham: Defensive Holding, 5 yards (declined)",3.31,4.65,2.0,2022,22
1.0,2:35,1.0,10.0,MIA 14,0.0,7.0,Kenyan Drake left tackle for no gain (tackle by Brandon Jones and Raekwon Davis),4.65,4.0,2.0,2022,22
1.0,1:56,2.0,10.0,MIA 14,0.0,7.0,Lamar Jackson scrambles right end for 10 yards (tackle by Duke Riley),4.0,6.28,2.0,2022,22
1.0,1:21,1.0,4.0,MIA 4,0.0,7.0,"Kenyan Drake left tackle for no gain (tackle by Jerome Baker). Penalty on Melvin Ingram: Face Mask (15 Yards), 2 yards (accepted) (no play)",6.28,6.74,2.0,2022,22
1.0,1:05,1.0,2.0,MIA 2,0.0,7.0,Mike Davis right guard for 1 yard (tackle by Emmanuel Ogbah and Jerome Baker),6.74,5.91,2.0,2022,22
1.0,0:35,2.0,1.0,MIA 1,0.0,7.0,Mike Davis right guard for no gain (tackle by Zach Sieler and Samuel Eguavoen),5.91,5.17,2.0,2022,22
2.0,14:56,3.0,1.0,MIA 1,0.0,7.0,"Lamar Jackson for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Lamar Jackson right tackle for no gain (tackle by Samuel Eguavoen)",5.17,3.55,2.0,2022,22
2.0,14:47,4.0,1.0,MIA 1,0.0,7.0,"Lamar Jackson aborted snap, recovered by Mike Davis at MIA-6",3.55,0.38,2.0,2022,22
2.0,14:43,1.0,10.0,MIA 6,0.0,7.0,Raheem Mostert left end for -3 yards (tackle by Broderick Washington and Malik Harrison),-0.38,-1.0,2.0,2022,22
2.0,14:11,2.0,13.0,MIA 3,0.0,7.0,Tua Tagovailoa pass complete deep middle to Jaylen Waddle for 59 yards (tackle by Chuck Clark),-1.0,3.05,2.0,2022,22
2.0,13:11,1.0,10.0,BAL 38,0.0,7.0,Tua Tagovailoa pass complete short left to Tyreek Hill for 15 yards (tackle by Chuck Clark),3.05,4.04,2.0,2022,22
2.0,12:25,1.0,10.0,BAL 23,0.0,7.0,Tua Tagovailoa pass complete short middle to Trent Sherfield for 12 yards (tackle by Marcus Williams and Marlon Humphrey),4.04,4.84,2.0,2022,22
2.0,11:45,,,,,,Timeout #2 by Miami Dolphins,,,2.0,2022,22
2.0,11:45,1.0,10.0,BAL 11,0.0,7.0,Tua Tagovailoa pass complete short left to Durham Smythe for 5 yards (tackle by Marlon Humphrey),4.84,5.08,2.0,2022,22
2.0,10:58,2.0,5.0,BAL 6,6.0,7.0,"Tua Tagovailoa pass complete short left to Jaylen Waddle for 6 yards, touchdown",5.08,7.0,2.0,2022,22
2.0,10:54,,,BAL 15,7.0,7.0,Jason Sanders kicks extra point good,0.0,0.0,2.0,2022,22
2.0,10:54,,,MIA 35,7.0,7.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,22
2.0,10:54,1.0,10.0,BAL 25,7.0,13.0,"Lamar Jackson pass complete short middle to Rashod Bateman for 75 yards, touchdown",0.61,7.0,2.0,2022,22
2.0,10:44,,,MIA 15,7.0,14.0,Justin Tucker kicks extra point good,0.0,0.0,2.0,2022,22
2.0,10:44,,,BAL 35,7.0,14.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,22
2.0,10:44,1.0,10.0,MIA 25,7.0,14.0,Tua Tagovailoa pass complete short left to Tyreek Hill for 5 yards (tackle by Kyle Hamilton),0.61,0.74,2.0,2022,22
2.0,10:03,2.0,5.0,MIA 30,7.0,14.0,Chase Edmonds left tackle for 3 yards (tackle by Michael Pierce and Calais Campbell),0.74,0.43,2.0,2022,22
2.0,9:18,3.0,2.0,MIA 33,7.0,14.0,Tua Tagovailoa pass complete short left to Tyreek Hill for 1 yard (tackle by Damarion Williams),0.43,-1.11,2.0,2022,22
2.0,8:32,4.0,1.0,MIA 34,7.0,14.0,Alec Ingold up the middle for 1 yard (tackle by Michael Pierce and Calais Campbell),-1.11,1.27,2.0,2022,22
2.0,7:50,1.0,10.0,MIA 35,7.0,14.0,Tua Tagovailoa pass incomplete short middle intended for Chase Edmonds,1.27,0.72,2.0,2022,22
2.0,7:45,2.0,10.0,MIA 35,7.0,14.0,Tua Tagovailoa sacked by Justin Houston for -8 yards,0.72,-1.02,2.0,2022,22
2.0,7:03,3.0,18.0,MIA 27,7.0,14.0,"Tua Tagovailoa pass incomplete short right intended for Chase Edmonds (defended by Kyle Hamilton). Penalty on Robert Hunt: Ineligible Downfield Pass, 5 yards (declined)",-1.02,-1.57,2.0,2022,22
2.0,6:57,4.0,18.0,MIA 27,7.0,14.0,"Thomas Morstead punts 44 yards, returned by Devin Duvernay for 5 yards (tackle by Andrew Van Ginkel)",-1.57,-1.2,2.0,2022,22
2.0,6:46,1.0,10.0,BAL 34,7.0,14.0,Lamar Jackson right tackle for 4 yards (tackle by Christian Wilkins),1.2,1.2,2.0,2022,22
2.0,6:13,2.0,6.0,BAL 38,7.0,14.0,Lamar Jackson pass complete short left to Rashod Bateman for 7 yards (tackle by Xavien Howard),1.2,1.93,2.0,2022,22
2.0,5:38,1.0,10.0,BAL 45,7.0,14.0,Justice Hill right end for 5 yards (tackle by Emmanuel Ogbah and Duke Riley),1.93,2.06,2.0,2022,22
2.0,4:53,2.0,5.0,BAL 50,7.0,14.0,"Lamar Jackson scrambles for 19 yards (tackle by Christian Wilkins). Penalty on Xavien Howard: Defensive Holding, 5 yards (accepted)",2.06,3.84,2.0,2022,22
2.0,4:23,1.0,10.0,MIA 26,7.0,14.0,"Lamar Jackson pass complete to Mark Andrews for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Lamar Jackson pass complete deep middle to Mark Andrews for 25 yards (tackle by Keion Crossen and Jevon Holland)",3.84,6.97,2.0,2022,22
2.0,4:07,1.0,1.0,MIA 1,7.0,20.0,"Lamar Jackson pass complete short left to Mark Andrews for 1 yard, touchdown",6.97,7.0,2.0,2022,22
2.0,4:03,,,MIA 15,7.0,21.0,Justin Tucker kicks extra point good,0.0,0.0,2.0,2022,22
2.0,4:03,,,BAL 35,7.0,21.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,22
2.0,4:03,1.0,10.0,MIA 25,7.0,21.0,Tua Tagovailoa pass incomplete short left intended for Tyreek Hill,0.61,0.06,2.0,2022,22
2.0,3:56,2.0,10.0,MIA 25,7.0,21.0,Tua Tagovailoa pass complete short middle to Raheem Mostert for 11 yards (tackle by Jalyn Armour-Davis),0.06,1.33,2.0,2022,22
2.0,3:16,1.0,10.0,MIA 36,7.0,21.0,Raheem Mostert left end for 5 yards (tackle by Michael Pierce),1.33,1.47,2.0,2022,22
2.0,2:38,2.0,5.0,MIA 41,7.0,21.0,Tua Tagovailoa pass incomplete short right intended for Jaylen Waddle (defended by Jalyn Armour-Davis),1.47,0.76,2.0,2022,22
2.0,2:32,3.0,5.0,MIA 41,7.0,21.0,"Tua Tagovailoa pass complete short left to Jaylen Waddle for 4 yards (tackle by Marlon Humphrey) MIA challenged the first down ruling, and the play was upheld.",0.76,-0.39,2.0,2022,22
2.0,2:00,4.0,1.0,MIA 45,7.0,21.0,Tua Tagovailoa up the middle for 1 yard (tackle by Justin Madubuike),-0.39,1.99,2.0,2022,22
2.0,1:31,1.0,10.0,MIA 46,7.0,21.0,Tua Tagovailoa pass incomplete short right intended for Jaylen Waddle,1.99,1.45,2.0,2022,22
2.0,1:21,2.0,10.0,MIA 46,7.0,21.0,"Tua Tagovailoa pass incomplete intended for Jaylen Waddle Replay Assistant challenged the pass interception ruling, and the original play was overturned. Tua Tagovailoa pass deep left intended for Jaylen Waddle is intercepted by Marcus Williams at BAL-20 and returned for no gain (tackle by Jaylen Waddle)",1.45,-0.28,2.0,2022,22
2.0,1:20,1.0,10.0,BAL 20,7.0,21.0,Lamar Jackson up the middle for 6 yards (tackle by Jerome Baker),0.28,0.54,2.0,2022,22
2.0,1:00,2.0,4.0,BAL 26,7.0,21.0,Lamar Jackson pass complete deep right to Isaiah Likely for 34 yards (tackle by Jevon Holland),0.54,2.92,2.0,2022,22
2.0,0:52,1.0,10.0,MIA 40,7.0,21.0,Justice Hill left end for 13 yards (tackle by Xavien Howard),2.92,3.78,2.0,2022,22
2.0,0:46,1.0,10.0,MIA 27,7.0,21.0,"Lamar Jackson pass incomplete intended for Devin Duvernay. Penalty on Melvin Ingram: Defensive Offside, 5 yards (accepted) (no play)",3.78,4.51,2.0,2022,22
2.0,0:43,1.0,5.0,MIA 22,7.0,21.0,Lamar Jackson pass complete short middle to Mark Andrews for 10 yards (tackle by Eric Rowe),4.51,4.78,2.0,2022,22
2.0,0:38,,,,,,Timeout #1 by Baltimore Ravens,,,2.0,2022,22
2.0,0:38,1.0,10.0,MIA 12,7.0,21.0,Lamar Jackson pass incomplete short right intended for Demarcus Robinson,4.78,4.1,2.0,2022,22
2.0,0:33,2.0,10.0,MIA 12,7.0,27.0,"Lamar Jackson pass complete short middle to Demarcus Robinson for 12 yards, touchdown",4.1,7.0,2.0,2022,22
2.0,0:29,,,MIA 15,7.0,28.0,Justin Tucker kicks extra point good,0.0,0.0,2.0,2022,22
2.0,0:29,,,BAL 35,7.0,28.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,22
2.0,0:29,1.0,10.0,MIA 25,7.0,28.0,Raheem Mostert left end for 3 yards (tackle by Kyle Hamilton and Justin Madubuike),0.61,0.47,2.0,2022,22
3.0,15:00,,,BAL 35,7.0,28.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,22
3.0,15:00,1.0,10.0,MIA 25,7.0,28.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 3 yards (tackle by Marcus Williams),0.61,0.47,2.0,2022,22
3.0,14:28,2.0,7.0,MIA 28,7.0,28.0,Raheem Mostert left guard for 11 yards (tackle by Kyle Hamilton and Marcus Williams),0.47,1.53,2.0,2022,22
3.0,13:52,1.0,10.0,MIA 39,7.0,28.0,Tua Tagovailoa pass complete short left to Raheem Mostert for 13 yards (tackle by Marcus Williams),1.53,2.39,2.0,2022,22
3.0,13:06,1.0,10.0,BAL 48,7.0,28.0,Raheem Mostert right end for 9 yards (tackle by Marlon Humphrey and Kyle Hamilton),2.39,3.06,2.0,2022,22
3.0,12:23,2.0,1.0,BAL 39,7.0,28.0,Chase Edmonds right tackle for 4 yards (tackle by Odafe Oweh),3.06,3.25,2.0,2022,22
3.0,11:45,1.0,10.0,BAL 35,7.0,28.0,Chase Edmonds left end for -4 yards (tackle by Odafe Oweh),3.25,2.16,2.0,2022,22
3.0,11:00,2.0,14.0,BAL 39,7.0,28.0,"Tua Tagovailoa pass complete to Tyreek Hill for no gain. Penalty on Connor Williams: Offensive Illegal Block Above the Waist, 10 yards (accepted) (no play)",2.16,0.81,2.0,2022,22
3.0,10:27,2.0,24.0,BAL 49,7.0,28.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 14 yards (tackle by Damarion Williams),0.81,2.01,2.0,2022,22
3.0,9:40,3.0,10.0,BAL 35,7.0,28.0,"Tua Tagovailoa pass complete short right to Jaylen Waddle for 11 yards. Penalty on Odafe Oweh: Defensive Offside, 5 yards (declined)",2.01,3.97,2.0,2022,22
3.0,9:21,1.0,10.0,BAL 24,7.0,28.0,Tua Tagovailoa pass complete short left to Alec Ingold for 13 yards (tackle by Chuck Clark),3.97,4.84,2.0,2022,22
3.0,8:43,1.0,10.0,BAL 11,7.0,28.0,Tua Tagovailoa pass complete short right to Trent Sherfield for -3 yards (tackle by Jalyn Armour-Davis),4.84,3.69,2.0,2022,22
3.0,8:01,2.0,13.0,BAL 14,7.0,28.0,Tua Tagovailoa pass incomplete short middle intended for Jaylen Waddle,3.69,3.03,2.0,2022,22
3.0,7:57,3.0,13.0,BAL 14,13.0,28.0,"Tua Tagovailoa pass complete short middle to Mike Gesicki for 14 yards, touchdown",3.03,7.0,2.0,2022,22
3.0,7:52,,,BAL 15,14.0,28.0,Jason Sanders kicks extra point good,0.0,0.0,2.0,2022,22
3.0,7:52,,,MIA 35,14.0,28.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,22
3.0,7:51,1.0,10.0,BAL 25,14.0,28.0,Lamar Jackson pass incomplete short left intended for Rashod Bateman,0.61,0.06,2.0,2022,22
3.0,7:48,2.0,10.0,BAL 25,14.0,28.0,Lamar Jackson pass complete short right to Isaiah Likely for 3 yards (tackle by Kader Kohou),0.06,-0.23,2.0,2022,22
3.0,7:13,3.0,7.0,BAL 28,14.0,28.0,Lamar Jackson pass complete short middle to Mark Andrews for 6 yards (tackle by Eric Rowe),-0.23,-1.11,2.0,2022,22
3.0,6:26,4.0,1.0,BAL 34,14.0,28.0,"Jordan Stout punts 45 yards, returned by Jevon Holland for 8 yards (tackle by Justice Hill)",-1.11,-0.87,2.0,2022,22
3.0,6:20,1.0,10.0,MIA 29,14.0,28.0,Raheem Mostert up the middle for 7 yards (tackle by Patrick Queen),0.87,1.27,2.0,2022,22
3.0,5:43,2.0,3.0,MIA 36,14.0,28.0,Raheem Mostert left guard for 1 yard (tackle by Marlon Humphrey),1.27,0.7,2.0,2022,22
3.0,4:59,3.0,2.0,MIA 37,14.0,28.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 10 yards (tackle by Marcus Williams),0.7,2.06,2.0,2022,22
3.0,4:15,1.0,10.0,MIA 47,14.0,28.0,Tua Tagovailoa pass complete short middle to Raheem Mostert for 4 yards (tackle by Patrick Queen),2.06,2.06,2.0,2022,22
3.0,3:28,2.0,6.0,BAL 49,14.0,28.0,"Tua Tagovailoa scrambles for no gain. Penalty on Chase Edmonds: Tripping / Offense, 10 yards (accepted) (no play)",2.06,0.71,2.0,2022,22
3.0,3:02,2.0,16.0,MIA 41,14.0,28.0,Tua Tagovailoa pass complete short middle to Chase Edmonds for 8 yards (tackle by Patrick Queen),0.71,1.09,2.0,2022,22
3.0,2:17,3.0,8.0,MIA 49,14.0,28.0,Tua Tagovailoa pass incomplete short left intended for Jaylen Waddle (defended by Marcus Peters),1.09,-0.13,2.0,2022,22
3.0,2:11,4.0,8.0,MIA 49,14.0,28.0,Thomas Morstead punts 38 yards downed by Blake Ferguson,-0.13,0.32,2.0,2022,22
3.0,2:01,1.0,10.0,BAL 13,14.0,28.0,Lamar Jackson pass complete short left to Mark Andrews for 9 yards (tackle by Eric Rowe),-0.32,0.49,2.0,2022,22
3.0,1:23,2.0,1.0,BAL 22,14.0,28.0,Kenyan Drake right guard for -1 yards (tackle by Christian Wilkins),0.49,-0.47,2.0,2022,22
3.0,0:38,3.0,2.0,BAL 21,14.0,34.0,"Lamar Jackson right guard for 79 yards, touchdown",-0.47,7.0,2.0,2022,22
3.0,0:26,,,MIA 15,14.0,35.0,Justin Tucker kicks extra point good,0.0,0.0,2.0,2022,22
3.0,0:26,,,BAL 35,14.0,35.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,22
3.0,0:26,1.0,10.0,MIA 25,14.0,35.0,Tua Tagovailoa pass complete deep middle to Jaylen Waddle for 33 yards (tackle by Jalyn Armour-Davis and Geno Stone),0.61,2.79,2.0,2022,22
4.0,15:00,1.0,10.0,BAL 42,14.0,35.0,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 12 yards (tackle by Damarion Williams),2.79,3.58,2.0,2022,22
4.0,14:14,,,,,,Timeout #1 by Miami Dolphins,,,2.0,2022,22
4.0,14:14,1.0,10.0,BAL 30,14.0,35.0,Raheem Mostert up the middle for 4 yards (tackle by Odafe Oweh),3.58,3.57,2.0,2022,22
4.0,13:37,2.0,6.0,BAL 26,14.0,35.0,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 16 yards (tackle by Marcus Peters),3.57,4.91,2.0,2022,22
4.0,12:59,1.0,10.0,BAL 10,14.0,35.0,Tua Tagovailoa pass complete short left to Mike Gesicki for 8 yards (tackle by Patrick Queen),4.91,5.72,2.0,2022,22
4.0,12:22,2.0,2.0,BAL 2,14.0,35.0,Tua Tagovailoa pass incomplete short middle intended for River Cracraft (defended by Damarion Williams),5.72,4.95,2.0,2022,22
4.0,12:18,3.0,2.0,BAL 2,20.0,35.0,"Tua Tagovailoa pass complete short middle to River Cracraft for 2 yards, touchdown",4.95,7.0,2.0,2022,22
4.0,12:12,,,BAL 15,21.0,35.0,Jason Sanders kicks extra point good,0.0,0.0,2.0,2022,22
4.0,12:12,,,MIA 35,21.0,35.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,22
4.0,12:12,1.0,10.0,BAL 25,21.0,35.0,Lamar Jackson pass complete deep middle to Devin Duvernay for 26 yards (tackle by Elandon Roberts),0.61,2.32,2.0,2022,22
4.0,11:24,1.0,10.0,MIA 49,21.0,35.0,Lamar Jackson pass complete short left to Mark Andrews for 6 yards (tackle by Eric Rowe),2.32,2.59,2.0,2022,22
4.0,10:39,2.0,4.0,MIA 43,21.0,35.0,Kenyan Drake left end for 1 yard (tackle by Jaelan Phillips),2.59,2.02,2.0,2022,22
4.0,10:05,3.0,3.0,MIA 42,21.0,35.0,Lamar Jackson right guard for 2 yards (tackle by Zach Sieler and Christian Wilkins),2.02,0.59,2.0,2022,22
4.0,9:18,4.0,1.0,MIA 40,21.0,35.0,Lamar Jackson left end for -1 yards (tackle by Elandon Roberts and Trey Flowers),0.59,-1.66,2.0,2022,22
4.0,9:11,1.0,10.0,MIA 41,21.0,35.0,Tua Tagovailoa pass complete short left to Mike Gesicki for 7 yards (tackle by Justin Houston and Damarion Williams),1.66,2.07,2.0,2022,22
4.0,8:37,2.0,3.0,MIA 48,21.0,35.0,Tua Tagovailoa pass complete short right to Tyreek Hill for 4 yards (tackle by Marcus Peters),2.07,2.39,2.0,2022,22
4.0,8:02,1.0,10.0,BAL 48,21.0,35.0,Tua Tagovailoa pass incomplete short middle intended for Cedrick Wilson,2.39,1.85,2.0,2022,22
4.0,7:59,2.0,10.0,BAL 48,21.0,35.0,Tua Tagovailoa pass incomplete short middle intended for Jaylen Waddle,1.85,1.16,2.0,2022,22
4.0,7:54,3.0,10.0,BAL 48,27.0,35.0,"Tua Tagovailoa pass complete deep middle to Tyreek Hill for 48 yards, touchdown",1.16,7.0,2.0,2022,22
4.0,7:47,,,BAL 15,28.0,35.0,Jason Sanders kicks extra point good,0.0,0.0,2.0,2022,22
4.0,7:47,,,MIA 35,28.0,35.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,22
4.0,7:47,1.0,10.0,BAL 25,28.0,35.0,"Lamar Jackson pass incomplete intended for Isaiah Likely. Penalty on Kader Kohou: Defensive Holding, 5 yards (accepted) (no play)",0.61,0.94,2.0,2022,22
4.0,7:42,1.0,10.0,BAL 30,28.0,35.0,Justice Hill right end for -2 yards (tackle by Christian Wilkins and Melvin Ingram),0.94,0.12,2.0,2022,22
4.0,7:06,2.0,12.0,BAL 28,28.0,35.0,Lamar Jackson pass incomplete short left intended for Rashod Bateman (defended by Xavien Howard),0.12,-0.56,2.0,2022,22
4.0,7:02,3.0,12.0,BAL 28,28.0,35.0,Lamar Jackson pass incomplete deep middle intended for Isaiah Likely,-0.56,-1.22,2.0,2022,22
4.0,6:54,3.0,22.0,BAL 28,28.0,35.0,Jordan Stout punts 36 yards out of bounds,-1.22,-1.33,2.0,2022,22
4.0,6:46,1.0,10.0,MIA 36,28.0,35.0,Chase Edmonds left guard for 2 yards (tackle by Broderick Washington),1.33,1.06,2.0,2022,22
4.0,6:10,2.0,8.0,MIA 38,28.0,35.0,Tua Tagovailoa pass complete short middle to Alec Ingold for 2 yards (tackle by Chuck Clark),1.06,0.63,2.0,2022,22
4.0,5:27,3.0,6.0,MIA 40,34.0,35.0,"Tua Tagovailoa pass complete deep left to Tyreek Hill for 60 yards, touchdown",0.63,7.0,2.0,2022,22
4.0,5:19,,,BAL 15,35.0,35.0,Jason Sanders kicks extra point good,0.0,0.0,2.0,2022,22
4.0,5:19,,,MIA 35,35.0,35.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,22
4.0,5:19,1.0,10.0,BAL 25,35.0,35.0,Lamar Jackson pass complete short right to Mark Andrews for 16 yards (tackle by Eric Rowe),0.61,1.66,2.0,2022,22
4.0,4:30,1.0,10.0,BAL 41,35.0,35.0,"Lamar Jackson pass incomplete intended for Isaiah Likely. Penalty on Brandon Jones: Defensive Pass Interference, 9 yards (accepted) (no play)",1.66,2.26,2.0,2022,22
4.0,4:23,1.0,10.0,BAL 50,35.0,35.0,Lamar Jackson pass complete short middle to Devin Duvernay for 16 yards (tackle by Jevon Holland),2.26,3.31,2.0,2022,22
4.0,3:58,1.0,10.0,MIA 34,35.0,35.0,Kenyan Drake left tackle for -1 yards (tackle by Melvin Ingram),3.31,2.64,2.0,2022,22
4.0,3:13,2.0,11.0,MIA 35,35.0,35.0,Lamar Jackson pass complete short right to Isaiah Likely for 2 yards (tackle by Brandon Jones and Xavien Howard),2.64,2.21,2.0,2022,22
4.0,2:29,3.0,9.0,MIA 33,35.0,35.0,Lamar Jackson pass incomplete deep middle intended for Mark Andrews,2.21,1.15,2.0,2022,22
4.0,2:23,4.0,9.0,MIA 33,35.0,38.0,"Justin Tucker 51 yard field goal good. Penalty on Justin Bethel: Defensive Offside, 5 yards (declined)",1.15,3.0,2.0,2022,22
4.0,2:18,,,BAL 35,35.0,38.0,"Justin Tucker kicks off 51 yards, returned by Durham Smythe for 18 yards (tackle by Josh Ross and Raleigh Webb)",0.0,1.07,2.0,2022,22
4.0,2:12,1.0,10.0,MIA 32,35.0,38.0,Tua Tagovailoa pass complete short right to Jaylen Waddle for 3 yards (tackle by Marcus Peters),1.07,0.93,2.0,2022,22
4.0,2:00,2.0,7.0,MIA 35,35.0,38.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 21 yards (tackle by Marcus Williams),0.93,2.65,2.0,2022,22
4.0,1:34,1.0,10.0,BAL 44,35.0,38.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 9 yards (tackle by Chuck Clark),2.65,3.33,2.0,2022,22
4.0,0:47,2.0,1.0,BAL 35,35.0,38.0,Chase Edmonds up the middle for 28 yards (tackle by Marcus Williams),3.33,5.6,2.0,2022,22
4.0,0:24,,,,,,Timeout #2 by Miami Dolphins,,,2.0,2022,22
4.0,0:24,1.0,7.0,BAL 7,35.0,38.0,Tua Tagovailoa pass incomplete short middle intended for Jaylen Waddle (defended by Damarion Williams),5.6,4.76,2.0,2022,22
4.0,0:19,2.0,7.0,BAL 7,41.0,38.0,"Tua Tagovailoa pass complete short middle to Jaylen Waddle for 7 yards, touchdown",4.76,7.0,2.0,2022,22
4.0,0:14,,,BAL 15,42.0,38.0,Jason Sanders kicks extra point good,0.0,0.0,2.0,2022,22
4.0,0:14,,,MIA 35,42.0,38.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,22
4.0,0:14,1.0,10.0,BAL 25,42.0,38.0,Lamar Jackson pass complete short middle to Mark Andrews for 15 yards (tackle by Eric Rowe),0.61,1.6,2.0,2022,22
4.0,0:09,,,,,,Timeout #1 by Baltimore Ravens,,,2.0,2022,22
