Rk,Player,Age,Team,Pos,G,GS,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving 1D,Receiving YBC,Receiving YBC/R,Receiving YAC,Receiving YAC/R,Receiving ADOT,Receiving BrkTkl,Receiving Rec/Br,Receiving Drop,Receiving Drop%,Receiving Int,Receiving Rat,Awards
299.0,Sony Michel,27.0,LAC,RB,10.0,0.0,13.0,9.0,53.0,1.0,7.0,0.8,46.0,5.1,1.7,0.0,,2.0,15.4,1.0,44.7,
300.0,Jalen Nailor,23.0,MIN,WR,15.0,0.0,13.0,9.0,179.0,7.0,112.0,12.4,67.0,7.4,11.6,1.0,9.0,0.0,0.0,1.0,105.4,
301.0,Breshad Perriman,29.0,TAM,WR,11.0,3.0,19.0,9.0,110.0,5.0,58.0,6.4,52.0,5.8,14.2,1.0,9.0,2.0,10.5,0.0,83.2,
302.0,Craig Reynolds,26.0,DET,RB,9.0,0.0,10.0,9.0,116.0,5.0,4.0,0.4,112.0,12.4,0.8,1.0,9.0,0.0,0.0,0.0,115.0,
303.0,Brian Robinson Jr.,23.0,WAS,RB,12.0,9.0,12.0,9.0,60.0,3.0,-12.0,-1.3,72.0,8.0,-0.9,2.0,4.5,1.0,8.3,1.0,78.5,
304.0,Eric Tomlinson,30.0,DEN,TE,17.0,12.0,13.0,9.0,79.0,5.0,35.0,3.9,44.0,4.9,4.5,0.0,,0.0,0.0,0.0,124.7,
305.0,Kyren Williams,22.0,LAR,RB,10.0,0.0,12.0,9.0,76.0,5.0,-4.0,-0.4,80.0,8.9,1.4,1.0,9.0,0.0,0.0,1.0,56.2,
306.0,Reggie Gilliam,25.0,BUF,FB,15.0,4.0,10.0,8.0,69.0,4.0,15.0,1.9,54.0,6.8,5.8,1.0,8.0,0.0,0.0,0.0,128.7,
307.0,Tom Kennedy,26.0,DET,WR,7.0,1.0,15.0,8.0,141.0,7.0,63.0,7.9,78.0,9.8,8.6,0.0,,1.0,6.7,1.0,57.9,
308.0,Marlon Mack,26.0,DEN,RB,6.0,0.0,10.0,8.0,99.0,2.0,-15.0,-1.9,114.0,14.3,-1.6,1.0,8.0,0.0,0.0,0.0,141.2,
309.0,Quintin Morris,23.0,BUF,TE,14.0,1.0,11.0,8.0,84.0,6.0,51.0,6.4,33.0,4.1,7.5,0.0,,0.0,0.0,0.0,124.8,
310.0,Kyle Philips,23.0,TEN,WR,4.0,0.0,13.0,8.0,78.0,3.0,57.0,7.1,21.0,2.6,7.7,0.0,,1.0,7.7,0.0,78.4,
311.0,James Proche,26.0,BAL,WR,15.0,0.0,17.0,8.0,62.0,3.0,46.0,5.8,16.0,2.0,9.1,1.0,8.0,1.0,5.9,0.0,56.5,
312.0,Jalen Reagor,23.0,MIN,WR,17.0,0.0,13.0,8.0,104.0,5.0,76.0,9.5,28.0,3.5,13.5,0.0,,0.0,0.0,2.0,72.8,
313.0,Giovanni Ricci,26.0,CAR,TE,15.0,3.0,9.0,8.0,100.0,3.0,42.0,5.3,58.0,7.3,5.4,0.0,,0.0,0.0,0.0,113.0,
314.0,Cam Sims,26.0,WAS,WR,17.0,3.0,18.0,8.0,89.0,5.0,71.0,8.9,18.0,2.3,12.9,0.0,,0.0,0.0,2.0,20.1,
315.0,Jeff Smith,25.0,NYJ,WR,11.0,0.0,11.0,8.0,134.0,5.0,97.0,12.1,37.0,4.6,13.1,0.0,,0.0,0.0,1.0,75.6,
316.0,Andre Baccellia,25.0,ARI,WR,8.0,0.0,10.0,7.0,45.0,4.0,34.0,4.9,11.0,1.6,9.1,0.0,,0.0,0.0,0.0,79.2,
317.0,J.K. Dobbins,24.0,BAL,RB,8.0,8.0,8.0,7.0,42.0,3.0,3.0,0.4,39.0,5.6,0.5,1.0,7.0,0.0,0.0,0.0,128.1,
318.0,D'Wayne Eskridge,25.0,SEA,WR,10.0,0.0,13.0,7.0,58.0,4.0,12.0,1.7,46.0,6.6,4.2,1.0,7.0,0.0,0.0,0.0,65.5,
319.0,KJ Hamler,23.0,DEN,WR,7.0,0.0,14.0,7.0,165.0,3.0,142.0,20.3,23.0,3.3,26.2,0.0,,0.0,0.0,1.0,63.1,
320.0,N'Keal Harry,25.0,CHI,WR,7.0,0.0,9.0,7.0,116.0,4.0,100.0,14.3,16.0,2.3,17.0,0.0,,0.0,0.0,0.0,155.8,
321.0,T.Y. Hilton,33.0,DAL,WR,3.0,0.0,10.0,7.0,121.0,5.0,88.0,12.6,33.0,4.7,17.5,1.0,7.0,2.0,20.0,0.0,110.8,
322.0,Brycen Hopkins,25.0,LAR,TE,14.0,1.0,11.0,7.0,109.0,5.0,76.0,10.9,33.0,4.7,10.3,2.0,3.5,1.0,9.1,0.0,96.4,
323.0,Velus Jones Jr.,25.0,CHI,WR,12.0,2.0,14.0,7.0,107.0,4.0,70.0,10.0,37.0,5.3,16.7,0.0,,1.0,7.1,0.0,99.4,
324.0,Ko Kieft,24.0,TAM,TE,17.0,12.0,10.0,7.0,80.0,5.0,49.0,7.0,31.0,4.4,5.7,0.0,,3.0,30.0,0.0,127.1,
325.0,Chris Myarick,27.0,NYG,FB,16.0,8.0,8.0,7.0,65.0,5.0,27.0,3.9,38.0,5.4,2.9,1.0,7.0,0.0,0.0,0.0,140.1,
326.0,Teagan Quitoriano,22.0,HOU,TE,9.0,6.0,14.0,7.0,113.0,5.0,60.0,8.6,53.0,7.6,11.8,0.0,,1.0,7.1,1.0,87.2,
327.0,Pierre Strong,24.0,NWE,RB,15.0,0.0,7.0,7.0,42.0,3.0,4.0,0.6,38.0,5.4,0.6,0.0,,0.0,0.0,0.0,91.7,
328.0,Jonathan Williams,28.0,WAS,RB,13.0,2.0,10.0,7.0,40.0,2.0,2.0,0.3,38.0,5.4,-0.1,0.0,,2.0,20.0,0.0,77.1,
329.0,Jamison Crowder,29.0,BUF,WR,4.0,0.0,13.0,6.0,60.0,4.0,30.0,5.0,30.0,5.0,9.3,0.0,,0.0,0.0,1.0,27.7,
330.0,Malik Davis,24.0,DAL,RB,12.0,0.0,7.0,6.0,63.0,5.0,-2.0,-0.3,65.0,10.8,-1.0,1.0,6.0,0.0,0.0,0.0,104.2,
331.0,Royce Freeman,26.0,HOU,RB,4.0,1.0,8.0,6.0,33.0,0.0,-6.0,-1.0,39.0,6.5,-0.8,1.0,6.0,0.0,0.0,0.0,81.8,
332.0,Kenny Golladay,29.0,NYG,WR,12.0,4.0,17.0,6.0,81.0,4.0,70.0,11.7,11.0,1.8,9.6,0.0,,4.0,23.5,0.0,71.0,
333.0,Brandon Johnson,24.0,DEN,WR,7.0,1.0,14.0,6.0,42.0,2.0,29.0,4.8,13.0,2.2,12.9,0.0,,0.0,0.0,1.0,44.3,
334.0,Marcedes Lewis,38.0,GNB,TE,17.0,17.0,7.0,6.0,66.0,5.0,52.0,8.7,14.0,2.3,8.3,0.0,,1.0,14.3,0.0,145.5,
335.0,Phillip Lindsay,28.0,IND,RB,3.0,0.0,8.0,6.0,19.0,0.0,8.0,1.3,11.0,1.8,2.1,1.0,6.0,0.0,0.0,0.0,77.1,
336.0,Chris Manhertz,30.0,JAX,TE,17.0,11.0,8.0,6.0,42.0,2.0,7.0,1.2,35.0,5.8,2.6,0.0,,1.0,12.5,0.0,86.5,
337.0,Dax Milne,23.0,WAS,WR,15.0,1.0,7.0,6.0,37.0,2.0,24.0,4.0,13.0,2.2,5.4,1.0,6.0,0.0,0.0,0.0,128.3,
338.0,Trent Taylor,28.0,CIN,WR,16.0,1.0,10.0,6.0,62.0,1.0,19.0,3.2,43.0,7.2,4.5,1.0,6.0,0.0,0.0,0.0,77.9,
339.0,Laquon Treadwell,27.0,SEA,WR,6.0,0.0,10.0,6.0,42.0,3.0,31.0,5.2,11.0,1.8,5.2,0.0,,1.0,10.0,0.0,69.6,
340.0,Jordan Wilkins,28.0,IND,RB,4.0,0.0,8.0,6.0,29.0,1.0,-15.0,-2.5,44.0,7.3,-2.3,1.0,6.0,1.0,12.5,0.0,79.7,
341.0,Cole Beasley,33.0,2TM,WR,4.0,1.0,7.0,6.0,35.0,1.0,21.0,3.5,14.0,2.3,3.7,0.0,,1.0,14.3,0.0,87.5,
341.0,Cole Beasley,33.0,TAM,WR,2.0,0.0,5.0,4.0,17.0,1.0,7.0,1.8,10.0,2.5,2.4,0.0,,1.0,20.0,0.0,80.8,
341.0,Cole Beasley,33.0,BUF,WR,2.0,1.0,2.0,2.0,18.0,0.0,14.0,7.0,4.0,2.0,7.0,0.0,,0.0,0.0,0.0,104.2,
342.0,Nick Vannett,29.0,2TM,TE,9.0,3.0,9.0,6.0,55.0,1.0,23.0,3.8,32.0,5.3,3.4,0.0,,0.0,0.0,0.0,83.1,
342.0,Nick Vannett,29.0,NOR,TE,3.0,0.0,2.0,2.0,13.0,0.0,10.0,5.0,3.0,1.5,5.0,0.0,,0.0,0.0,0.0,93.7,
342.0,Nick Vannett,29.0,NYG,TE,6.0,3.0,7.0,4.0,42.0,1.0,13.0,3.3,29.0,7.3,3.0,0.0,,0.0,0.0,0.0,74.7,
343.0,Andrew Beck,26.0,DEN,TE,13.0,4.0,11.0,5.0,69.0,2.0,22.0,4.4,47.0,9.4,4.2,0.0,,1.0,9.1,1.0,28.2,
344.0,Gary Brightwell,23.0,NYG,RB,17.0,0.0,8.0,5.0,39.0,4.0,4.0,0.8,35.0,7.0,0.9,1.0,5.0,0.0,0.0,0.0,74.5,
345.0,Dyami Brown,23.0,WAS,WR,15.0,0.0,14.0,5.0,143.0,5.0,112.0,22.4,31.0,6.2,25.8,1.0,5.0,0.0,0.0,0.0,114.0,
346.0,Malcolm Brown,29.0,LAR,RB,11.0,0.0,6.0,5.0,37.0,2.0,0.0,0.0,37.0,7.4,-0.3,0.0,,0.0,0.0,0.0,92.4,
347.0,Grant Calcaterra,24.0,PHI,TE,15.0,2.0,9.0,5.0,81.0,3.0,40.0,8.0,41.0,8.2,9.0,1.0,5.0,1.0,11.1,0.0,85.9,
348.0,Corey Clement,28.0,ARI,RB,9.0,1.0,7.0,5.0,54.0,3.0,-7.0,-1.4,61.0,12.2,-0.6,1.0,5.0,1.0,14.3,0.0,93.7,
349.0,D'Onta Foreman,26.0,CAR,RB,17.0,9.0,9.0,5.0,26.0,1.0,-1.0,-0.2,27.0,5.4,-0.3,2.0,2.5,0.0,0.0,1.0,21.3,
350.0,Troy Hairston,24.0,HOU,TE,16.0,5.0,8.0,5.0,19.0,0.0,9.0,1.8,10.0,2.0,1.0,0.0,,0.0,0.0,0.0,66.7,
351.0,Zander Horvath,24.0,LAC,FB,15.0,2.0,8.0,5.0,8.0,2.0,7.0,1.4,1.0,0.2,0.8,0.0,,1.0,12.5,0.0,106.2,
352.0,Jakob Johnson,28.0,LVR,FB,17.0,9.0,6.0,5.0,10.0,0.0,3.0,0.6,7.0,1.4,1.2,1.0,5.0,0.0,0.0,0.0,79.2,
353.0,Gunner Olszewski,26.0,PIT,WR,16.0,2.0,7.0,5.0,53.0,1.0,40.0,8.0,13.0,2.6,8.1,1.0,5.0,0.0,0.0,0.0,93.2,
354.0,Ronnie Rivers,23.0,LAR,RB,8.0,1.0,5.0,5.0,29.0,1.0,-26.0,-5.2,55.0,11.0,-5.2,2.0,2.5,0.0,0.0,0.0,90.8,
355.0,Armani Rogers,25.0,WAS,TE,11.0,3.0,6.0,5.0,64.0,4.0,7.0,1.4,57.0,11.4,2.2,0.0,,0.0,0.0,0.0,111.1,
356.0,Boston Scott,27.0,PHI,RB,15.0,2.0,6.0,5.0,15.0,0.0,-5.0,-1.0,20.0,4.0,-1.7,0.0,,0.0,0.0,0.0,79.2,
357.0,Deven Thompkins,23.0,TAM,WR,5.0,1.0,10.0,5.0,32.0,1.0,0.0,0.0,32.0,6.4,7.9,2.0,2.5,1.0,10.0,0.0,57.1,
358.0,Samori Toure,24.0,GNB,WR,11.0,2.0,10.0,5.0,82.0,2.0,71.0,14.2,11.0,2.2,17.4,0.0,,0.0,0.0,0.0,111.2,
359.0,Derek Watt,30.0,PIT,FB,17.0,3.0,5.0,5.0,11.0,1.0,7.0,1.4,4.0,0.8,1.4,0.0,,0.0,0.0,0.0,118.7,
360.0,Michael Woods II,22.0,CLE,WR,10.0,0.0,10.0,5.0,45.0,3.0,28.0,5.6,17.0,3.4,15.9,0.0,,0.0,0.0,1.0,22.9,
361.0,Tony Jones,25.0,2TM,RB,6.0,0.0,8.0,5.0,30.0,0.0,-4.0,-0.8,34.0,6.8,-2.8,0.0,,1.0,12.5,1.0,30.2,
361.0,Tony Jones,25.0,NOR,RB,2.0,0.0,2.0,2.0,12.0,0.0,-2.0,-1.0,14.0,7.0,-1.0,0.0,,0.0,0.0,0.0,91.7,
361.0,Tony Jones,25.0,SEA,RB,4.0,0.0,6.0,3.0,18.0,0.0,-2.0,-0.7,20.0,6.7,-3.3,0.0,,1.0,16.7,1.0,16.7,
362.0,Chris Conley,30.0,2TM,WR,9.0,1.0,7.0,4.0,46.0,2.0,43.0,10.8,3.0,0.8,12.4,0.0,,2.0,28.6,0.0,77.1,
362.0,Chris Conley,30.0,HOU,WR,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,,9.0,0.0,,1.0,50.0,0.0,39.6,
362.0,Chris Conley,30.0,TEN,WR,7.0,1.0,5.0,4.0,46.0,2.0,43.0,10.8,3.0,0.8,13.8,0.0,,1.0,20.0,0.0,105.0,
363.0,Tyler Davis,25.0,GNB,TE,17.0,1.0,7.0,4.0,26.0,1.0,-1.0,-0.3,27.0,6.8,3.9,0.0,,0.0,0.0,1.0,25.6,
364.0,Luke Farrell,25.0,JAX,TE,17.0,0.0,4.0,4.0,40.0,3.0,4.0,1.0,36.0,9.0,1.0,1.0,4.0,0.0,0.0,0.0,108.3,
365.0,Myles Gaskin,25.0,MIA,RB,4.0,0.0,6.0,4.0,28.0,0.0,8.0,2.0,20.0,5.0,2.8,1.0,4.0,0.0,0.0,0.0,77.1,
366.0,Ryan Griffin,32.0,CHI,TE,15.0,0.0,8.0,4.0,26.0,1.0,17.0,4.3,9.0,2.3,6.6,0.0,,0.0,0.0,0.0,57.3,
367.0,Keaontay Ingram,23.0,ARI,RB,12.0,0.0,5.0,4.0,21.0,1.0,-11.0,-2.8,32.0,8.0,-2.2,2.0,2.0,0.0,0.0,0.0,84.2,
368.0,David Johnson,31.0,NOR,RB,5.0,0.0,4.0,4.0,47.0,3.0,1.0,0.3,46.0,11.5,0.3,0.0,,0.0,0.0,0.0,115.6,
369.0,Marcus Jones,24.0,NWE,DB,15.0,4.0,4.0,4.0,78.0,3.0,-17.0,-4.3,95.0,23.8,-4.3,2.0,2.0,0.0,0.0,0.0,158.3,AP-1
370.0,Charlie Kolar,23.0,BAL,TE,2.0,0.0,6.0,4.0,49.0,3.0,29.0,7.3,20.0,5.0,8.2,0.0,,0.0,0.0,0.0,91.7,
