Rk,Player,Age,Team,Pos,G,GS,Pass Coverage Int,Pass Coverage Tgt,Pass Coverage Cmp,Pass Coverage Cmp%,Pass Coverage Yds,Pass Coverage Yds/Cmp,Pass Coverage Yds/Tgt,Pass Coverage TD,Pass Coverage Rat,Pass Coverage DADOT,Pass Coverage Air,Pass Coverage YAC,Pass Rush Bltz,Pass Rush Hrry,Pass Rush QBKD,Pass Rush Bats,Pass Rush Sk,Pass Rush Prss,Tackles Comb,Tackles MTkl,Tackles MTkl%,Awards
27.0,Kevin Byard,30.0,TEN,SS,6.0,6.0,0.0,22.0,16.0,72.7,196.0,12.3,8.9,0.0,99.8,9.5,113.0,83.0,1.0,0.0,0.0,0.0,0.0,0.0,47.0,2.0,4.1,
27.0,Kevin Byard,30.0,PHI,SS,10.0,10.0,1.0,41.0,31.0,75.6,316.0,10.2,7.7,2.0,103.3,6.4,185.0,131.0,9.0,0.0,0.0,1.0,0.0,0.0,75.0,3.0,3.8,
28.0,Cody Barton,27.0,WAS,LB,13.0,13.0,1.0,47.0,37.0,78.7,331.0,8.9,7.0,2.0,101.3,2.5,92.0,239.0,27.0,4.0,0.0,0.0,0.0,4.0,121.0,4.0,3.2,
29.0,Demario Davis,34.0,NOR,MLB,17.0,17.0,0.0,46.0,29.0,63.0,232.0,8.0,5.0,2.0,90.1,4.7,82.0,150.0,39.0,3.0,5.0,0.0,6.5,15.0,121.0,11.0,8.3,"PB,AP-2"
30.0,Dre Greenlaw,26.0,SFO,LB,15.0,15.0,0.0,82.0,58.0,70.7,456.0,7.9,5.6,4.0,100.5,4.0,151.0,305.0,39.0,2.0,2.0,0.0,1.5,6.0,120.0,12.0,9.1,
31.0,Germaine Pratt,27.0,CIN,LB,17.0,17.0,2.0,63.0,45.0,71.4,425.0,9.4,6.7,2.0,87.1,4.7,207.0,218.0,25.0,2.0,0.0,0.0,2.0,5.0,118.0,8.0,6.3,
32.0,Quay Walker,23.0,GNB,LB,14.0,14.0,1.0,58.0,43.0,74.1,429.0,10.0,7.4,1.0,93.2,3.0,116.0,313.0,59.0,2.0,2.0,0.0,2.5,7.0,118.0,6.0,4.8,
33.0,Eric Kendricks,31.0,LAC,LILB,15.0,14.0,0.0,59.0,47.0,79.7,498.0,10.6,8.4,0.0,101.8,3.4,156.0,342.0,53.0,1.0,2.0,1.0,3.5,7.0,117.0,5.0,4.1,
34.0,Xavier McKinney,25.0,NYG,FS,17.0,17.0,3.0,65.0,41.0,63.1,456.0,11.1,7.0,1.0,69.8,8.5,241.0,215.0,42.0,2.0,0.0,2.0,0.5,3.0,116.0,8.0,6.5,
35.0,Josh Metellus,25.0,MIN,S,17.0,17.0,1.0,79.0,65.0,82.3,527.0,8.1,6.7,3.0,101.8,4.6,192.0,335.0,91.0,14.0,7.0,0.0,2.5,24.0,116.0,13.0,10.1,
36.0,Kamren Curl,24.0,WAS,S,16.0,16.0,0.0,46.0,32.0,69.6,373.0,11.7,8.1,2.0,108.3,8.7,244.0,129.0,17.0,1.0,2.0,0.0,1.0,4.0,115.0,9.0,7.3,
37.0,Ja'Whaun Bentley,27.0,NWE,LB,16.0,16.0,0.0,44.0,33.0,75.0,338.0,10.2,7.7,0.0,96.6,4.1,117.0,221.0,77.0,6.0,5.0,1.0,4.5,16.0,114.0,13.0,10.2,
38.0,Reed Blankenship,24.0,PHI,S,15.0,15.0,3.0,66.0,42.0,63.6,529.0,12.6,8.0,6.0,99.9,11.8,330.0,199.0,6.0,0.0,1.0,0.0,0.0,1.0,113.0,11.0,8.9,
39.0,Tremaine Edmunds,25.0,CHI,LB,15.0,15.0,4.0,65.0,51.0,78.5,450.0,8.8,6.9,3.0,85.3,3.8,170.0,280.0,34.0,0.0,0.0,0.0,0.0,0.0,113.0,13.0,10.3,
40.0,David Long,27.0,MIA,LB,17.0,17.0,0.0,50.0,34.0,68.0,386.0,11.4,7.7,1.0,97.6,4.5,170.0,216.0,65.0,4.0,4.0,1.0,1.0,9.0,113.0,14.0,11.0,
41.0,Jordyn Brooks,26.0,SEA,RILB,16.0,16.0,1.0,52.0,40.0,76.9,389.0,9.7,7.5,0.0,89.3,3.9,81.0,308.0,22.0,2.0,2.0,0.0,4.5,9.0,111.0,12.0,9.8,
42.0,Daxton Hill,23.0,CIN,S,17.0,17.0,2.0,50.0,34.0,68.0,465.0,13.7,9.3,2.0,94.2,10.4,337.0,128.0,26.0,2.0,3.0,1.0,1.5,7.0,110.0,8.0,6.8,
43.0,Nathan Landman,25.0,ATL,LB,16.0,14.0,1.0,42.0,29.0,69.0,262.0,9.0,6.2,1.0,83.6,2.5,61.0,201.0,17.0,1.0,2.0,0.0,2.0,5.0,110.0,13.0,10.6,
44.0,Jahlani Tavai,27.0,NWE,LB,17.0,16.0,2.0,35.0,26.0,74.3,166.0,6.4,4.7,1.0,69.5,1.2,19.0,147.0,55.0,1.0,3.0,0.0,1.0,5.0,110.0,10.0,8.3,
45.0,Damone Clark,23.0,DAL,LB,17.0,17.0,0.0,32.0,24.0,75.0,224.0,9.3,7.0,1.0,104.2,3.1,51.0,173.0,42.0,1.0,1.0,0.0,0.0,2.0,109.0,4.0,3.5,
46.0,Kyle Dugger,27.0,NWE,DB,17.0,17.0,2.0,64.0,44.0,68.8,478.0,10.9,7.5,1.0,82.7,8.3,270.0,208.0,45.0,4.0,2.0,0.0,1.5,8.0,109.0,8.0,6.8,
47.0,Josey Jewell,29.0,DEN,LB,16.0,15.0,0.0,43.0,29.0,67.4,196.0,6.8,4.6,2.0,92.8,3.4,74.0,122.0,38.0,1.0,1.0,0.0,3.0,5.0,108.0,4.0,3.6,
48.0,Jordan Hicks,31.0,MIN,LB,13.0,13.0,1.0,42.0,34.0,81.0,298.0,8.8,7.1,1.0,94.2,3.9,128.0,170.0,89.0,4.0,1.0,1.0,1.0,6.0,107.0,6.0,5.3,
49.0,Kenneth Murray,25.0,LAC,LB,15.0,15.0,1.0,69.0,49.0,71.0,516.0,10.5,7.5,3.0,100.9,2.8,128.0,388.0,61.0,2.0,0.0,0.0,3.0,5.0,107.0,4.0,3.6,
50.0,Blake Cashman,27.0,HOU,MLB,14.0,13.0,1.0,55.0,38.0,69.1,263.0,6.9,4.8,1.0,78.1,4.0,74.0,189.0,28.0,2.0,3.0,0.0,2.0,7.0,106.0,8.0,7.0,
51.0,Divine Deablo,25.0,LVR,LB,15.0,15.0,0.0,49.0,38.0,77.6,289.0,7.6,5.9,2.0,104.8,2.6,75.0,214.0,24.0,1.0,1.0,0.0,1.0,3.0,106.0,7.0,6.2,
52.0,Jaquan Brisker,24.0,CHI,DB,15.0,15.0,1.0,60.0,37.0,61.7,442.0,11.9,7.4,6.0,110.6,9.4,264.0,178.0,20.0,1.0,0.0,1.0,1.0,3.0,105.0,10.0,8.7,
53.0,Derrick Brown,25.0,CAR,DT,17.0,17.0,1.0,5.0,5.0,100.0,52.0,10.4,10.4,0.0,70.4,0.8,4.0,48.0,0.0,3.0,12.0,7.0,2.0,17.0,103.0,4.0,3.7,PB
54.0,Richie Grant,26.0,ATL,S,17.0,15.0,1.0,57.0,39.0,68.4,543.0,13.9,9.5,6.0,126.6,12.8,392.0,151.0,21.0,1.0,3.0,0.0,3.0,7.0,103.0,11.0,9.6,
55.0,Ivan Pace,23.0,MIN,LB,17.0,11.0,1.0,37.0,30.0,81.1,182.0,6.1,4.9,0.0,75.9,3.1,37.0,145.0,74.0,1.0,6.0,0.0,2.5,10.0,102.0,7.0,6.4,
56.0,E.J. Speed,28.0,IND,LB,16.0,11.0,0.0,59.0,38.0,64.4,285.0,7.5,4.8,0.0,75.9,3.0,97.0,188.0,32.0,2.0,1.0,0.0,1.0,4.0,102.0,14.0,12.1,
57.0,Christian Harris,22.0,HOU,LB,16.0,12.0,0.0,55.0,41.0,74.5,365.0,8.9,6.6,1.0,97.9,1.5,27.0,338.0,29.0,0.0,1.0,2.0,2.0,3.0,101.0,9.0,8.2,
58.0,Rayshawn Jenkins,29.0,JAX,SS,17.0,17.0,2.0,61.0,33.0,54.1,424.0,12.8,7.0,0.0,62.5,9.0,254.0,170.0,32.0,3.0,1.0,0.0,1.0,5.0,101.0,10.0,9.0,
59.0,Micah McFadden,23.0,NYG,LB,16.0,14.0,1.0,35.0,26.0,74.3,178.0,6.8,5.1,1.0,82.8,1.4,9.0,169.0,53.0,2.0,4.0,0.0,1.0,8.0,101.0,22.0,17.9,
60.0,Jeremiah Owusu-Koramoah,24.0,CLE,LB,16.0,13.0,2.0,45.0,35.0,77.8,250.0,7.1,5.6,3.0,93.5,2.9,71.0,179.0,60.0,1.0,0.0,1.0,3.5,5.0,101.0,13.0,11.4,PB
61.0,Elandon Roberts,29.0,PIT,LB,16.0,15.0,0.0,48.0,39.0,81.3,343.0,8.8,7.1,1.0,103.4,3.1,142.0,201.0,32.0,2.0,3.0,1.0,2.5,8.0,101.0,7.0,6.5,
62.0,Jordan Poyer,32.0,BUF,SS,16.0,16.0,0.0,51.0,35.0,68.6,357.0,10.2,7.0,2.0,101.5,7.6,238.0,119.0,27.0,2.0,1.0,0.0,1.0,4.0,100.0,6.0,5.7,
63.0,Taron Johnson,27.0,BUF,CB,17.0,17.0,0.0,81.0,55.0,67.9,409.0,7.4,5.0,3.0,92.1,2.9,95.0,314.0,28.0,0.0,1.0,0.0,1.0,2.0,98.0,6.0,5.8,AP-2
64.0,Jordan Whitehead,26.0,NYJ,SS,17.0,17.0,4.0,38.0,21.0,55.3,280.0,13.3,7.4,7.0,78.8,11.7,122.0,158.0,5.0,0.0,0.0,0.0,0.5,1.0,97.0,16.0,14.2,
65.0,Jack Campbell,23.0,DET,LB,17.0,12.0,0.0,31.0,25.0,80.6,298.0,11.9,9.6,2.0,128.2,5.1,127.0,171.0,43.0,1.0,1.0,0.0,2.0,4.0,95.0,10.0,9.5,AP DRoY-8
66.0,Quandre Diggs,30.0,SEA,FS,17.0,17.0,1.0,36.0,23.0,63.9,360.0,15.7,10.0,2.0,103.9,10.9,248.0,112.0,1.0,0.0,0.0,0.0,0.0,0.0,95.0,13.0,12.0,
67.0,Jack Gibbens,25.0,TEN,LB,14.0,13.0,0.0,30.0,20.0,66.7,255.0,12.8,8.5,0.0,93.1,4.9,89.0,166.0,16.0,2.0,1.0,1.0,1.0,4.0,95.0,6.0,5.9,
68.0,Nicholas Morrow,28.0,PHI,LB,15.0,12.0,0.0,55.0,36.0,65.5,393.0,10.9,7.1,3.0,104.6,5.1,149.0,244.0,33.0,0.0,2.0,0.0,3.0,5.0,95.0,6.0,5.9,
69.0,Justin Reid,26.0,KAN,S,16.0,16.0,1.0,62.0,39.0,62.9,383.0,9.8,6.2,3.0,89.7,7.6,242.0,141.0,34.0,2.0,2.0,1.0,3.0,7.0,95.0,7.0,6.9,
70.0,Markquese Bell,24.0,DAL,S,17.0,8.0,0.0,47.0,32.0,68.1,296.0,9.3,6.3,1.0,92.2,3.7,62.0,234.0,19.0,0.0,0.0,1.0,0.0,0.0,94.0,4.0,4.1,
71.0,Jordan Fuller,25.0,LAR,DB,17.0,17.0,3.0,54.0,34.0,63.0,468.0,13.8,8.7,3.0,86.0,12.9,292.0,176.0,7.0,0.0,0.0,0.0,0.0,0.0,94.0,6.0,6.0,
72.0,Kenny Moore,28.0,IND,CB,16.0,16.0,3.0,80.0,59.0,73.8,535.0,9.1,6.7,5.0,96.6,4.2,179.0,356.0,19.0,1.0,0.0,0.0,1.5,3.0,93.0,5.0,5.1,
73.0,Harrison Smith,34.0,MIN,S,17.0,17.0,0.0,52.0,34.0,65.4,333.0,9.8,6.4,0.0,83.3,7.5,148.0,185.0,83.0,1.0,3.0,1.0,3.0,7.0,93.0,9.0,8.8,
74.0,Pete Werner,24.0,NOR,LB,16.0,16.0,1.0,61.0,49.0,80.3,450.0,9.2,7.4,2.0,101.5,4.9,193.0,257.0,40.0,1.0,0.0,0.0,0.5,2.0,93.0,4.0,4.1,
75.0,Harrison Phillips,27.0,MIN,DL,17.0,17.0,0.0,2.0,1.0,50.0,22.0,22.0,11.0,0.0,89.6,-2.5,-1.0,23.0,2.0,3.0,1.0,2.0,3.0,8.0,92.0,4.0,4.2,
76.0,Maxx Crosby,26.0,LVR,DE,17.0,17.0,0.0,3.0,3.0,100.0,16.0,5.3,5.3,0.0,88.9,-4.7,-14.0,30.0,2.0,20.0,15.0,2.0,14.5,50.0,90.0,3.0,3.2,"PB,AP-2,AP DPoY-4"
77.0,Kyzir White,27.0,ARI,LB,11.0,11.0,1.0,32.0,26.0,81.3,225.0,8.7,7.0,1.0,93.4,2.8,54.0,171.0,20.0,1.0,0.0,0.0,2.0,3.0,90.0,6.0,6.3,
78.0,Jamin Davis,25.0,WAS,LB,13.0,13.0,1.0,44.0,29.0,65.9,328.0,11.3,7.5,3.0,101.3,4.5,97.0,231.0,33.0,1.0,0.0,0.0,3.0,4.0,89.0,9.0,9.2,
79.0,K'Von Wallace,26.0,2TM,FS,17.0,12.0,1.0,43.0,34.0,79.1,324.0,9.5,7.5,1.0,96.1,6.0,199.0,125.0,12.0,1.0,1.0,0.0,0.0,2.0,89.0,7.0,7.3,
79.0,K'Von Wallace,26.0,ARI,FS,7.0,5.0,1.0,24.0,18.0,75.0,195.0,10.8,8.1,0.0,81.1,6.1,107.0,88.0,10.0,1.0,0.0,0.0,0.0,1.0,43.0,6.0,12.2,
79.0,K'Von Wallace,26.0,TEN,S,10.0,7.0,0.0,19.0,16.0,84.2,129.0,8.1,6.8,1.0,112.5,5.8,92.0,37.0,2.0,0.0,1.0,0.0,0.0,1.0,46.0,1.0,2.1,
80.0,Julian Blackmon,25.0,IND,S,15.0,15.0,4.0,46.0,28.0,60.9,331.0,11.8,7.2,0.0,46.6,10.1,196.0,135.0,18.0,0.0,1.0,0.0,0.0,1.0,88.0,4.0,4.3,
81.0,Donovan Wilson,28.0,DAL,S,15.0,13.0,2.0,30.0,24.0,80.0,256.0,10.7,8.5,2.0,96.7,6.7,130.0,126.0,17.0,0.0,1.0,0.0,0.0,1.0,88.0,7.0,7.4,
82.0,Shaquille Leonard,28.0,2TM,LLB,14.0,12.0,0.0,29.0,19.0,65.5,167.0,8.8,5.8,2.0,103.7,1.0,18.0,149.0,11.0,1.0,0.0,0.0,1.0,2.0,88.0,8.0,8.3,
82.0,Shaquille Leonard,28.0,IND,LLB,9.0,9.0,0.0,22.0,14.0,63.6,129.0,9.2,5.9,1.0,94.7,1.7,23.0,106.0,6.0,1.0,0.0,0.0,0.0,1.0,65.0,5.0,7.1,
82.0,Shaquille Leonard,28.0,PHI,LB,5.0,3.0,0.0,7.0,5.0,71.4,38.0,7.6,5.4,1.0,123.8,-1.3,-5.0,43.0,5.0,0.0,0.0,0.0,1.0,1.0,23.0,3.0,11.5,
83.0,Budda Baker,27.0,ARI,S,12.0,12.0,0.0,30.0,19.0,63.3,294.0,15.5,9.8,1.0,106.8,12.2,196.0,98.0,14.0,1.0,0.0,0.0,0.0,1.0,87.0,6.0,6.5,PB
84.0,Nate Hobbs,24.0,LVR,CB,13.0,11.0,1.0,83.0,58.0,69.9,515.0,8.9,6.2,4.0,97.2,5.4,163.0,352.0,14.0,0.0,0.0,0.0,1.0,1.0,86.0,9.0,9.5,
85.0,Roger McCreary,23.0,TEN,CB,15.0,11.0,1.0,81.0,58.0,71.6,558.0,9.6,6.9,0.0,85.3,6.7,232.0,326.0,26.0,1.0,0.0,0.0,2.0,3.0,86.0,10.0,10.4,
86.0,Isaiah McDuffie,24.0,GNB,LB,16.0,8.0,0.0,31.0,24.0,77.4,274.0,11.4,8.8,0.0,103.4,4.6,128.0,146.0,19.0,1.0,2.0,0.0,0.5,4.0,86.0,5.0,5.5,
87.0,Tyrique Stevenson,23.0,CHI,DB,16.0,16.0,4.0,116.0,70.0,60.3,831.0,11.9,7.2,9.0,93.7,9.6,492.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,9.0,9.5,
88.0,Zach Cunningham,29.0,PHI,LB,13.0,10.0,0.0,54.0,41.0,75.9,290.0,7.1,5.4,1.0,93.9,1.8,56.0,234.0,32.0,0.0,1.0,0.0,0.0,1.0,85.0,8.0,8.6,
89.0,Amani Hooker,25.0,TEN,DB,13.0,13.0,1.0,57.0,40.0,70.2,457.0,11.4,8.0,4.0,110.1,8.2,260.0,197.0,7.0,1.0,0.0,0.0,0.0,1.0,85.0,8.0,8.6,
90.0,Jason Pinnock,24.0,NYG,S,16.0,16.0,2.0,42.0,23.0,54.8,313.0,13.6,7.5,2.0,74.8,9.3,188.0,125.0,36.0,3.0,2.0,0.0,2.0,7.0,85.0,7.0,7.6,
91.0,Mike Hilton,29.0,CIN,CB,17.0,13.0,2.0,69.0,44.0,63.8,386.0,8.8,5.6,0.0,66.5,7.3,158.0,228.0,34.0,0.0,1.0,1.0,2.0,3.0,84.0,8.0,8.7,
92.0,Deommodore Lenoir,24.0,SFO,DB,17.0,17.0,3.0,95.0,60.0,63.2,687.0,11.5,7.2,1.0,75.2,8.3,415.0,272.0,12.0,0.0,0.0,0.0,0.0,0.0,84.0,5.0,5.6,
93.0,Jonathan Owens,28.0,GNB,S,17.0,11.0,0.0,32.0,21.0,65.6,232.0,11.0,7.3,3.0,118.2,6.6,139.0,93.0,4.0,0.0,1.0,0.0,1.0,2.0,84.0,5.0,5.6,
94.0,Jalen Pitre,24.0,HOU,S,15.0,15.0,0.0,38.0,26.0,68.4,456.0,17.5,12.0,3.0,135.4,15.8,367.0,89.0,28.0,2.0,2.0,1.0,0.0,4.0,84.0,11.0,11.6,
95.0,Danielle Hunter,29.0,MIN,OLB,17.0,17.0,0.0,5.0,5.0,100.0,16.0,3.2,3.2,0.0,80.0,-1.6,-8.0,24.0,46.0,17.0,7.0,1.0,16.5,41.0,83.0,4.0,4.6,PB
96.0,Tre'von Moehrig,24.0,LVR,S,17.0,17.0,3.0,44.0,29.0,65.9,298.0,10.3,6.8,3.0,79.5,7.9,154.0,144.0,6.0,0.0,0.0,0.0,2.0,2.0,83.0,4.0,4.6,
97.0,Devin White,25.0,TAM,LB,14.0,13.0,2.0,43.0,29.0,67.4,194.0,6.7,4.5,1.0,65.5,3.7,56.0,138.0,75.0,4.0,6.0,1.0,2.5,13.0,83.0,6.0,6.7,
98.0,Tony Adams,24.0,NYJ,S,15.0,15.0,3.0,29.0,19.0,65.5,285.0,15.0,9.8,1.0,69.5,11.1,219.0,66.0,4.0,2.0,0.0,0.0,0.0,2.0,82.0,9.0,9.9,
99.0,DeShon Elliott,26.0,MIA,S,15.0,15.0,1.0,39.0,27.0,69.2,501.0,18.6,12.8,5.0,140.8,12.5,325.0,176.0,2.0,0.0,0.0,0.0,0.0,0.0,82.0,9.0,9.9,
100.0,Kerby Joseph,23.0,DET,S,15.0,15.0,4.0,58.0,32.0,55.2,552.0,17.3,9.5,2.0,70.5,17.6,391.0,161.0,5.0,0.0,0.0,1.0,0.0,0.0,82.0,13.0,13.7,
101.0,Derrick Barnes,24.0,DET,LB,16.0,13.0,0.0,35.0,26.0,74.3,270.0,10.4,7.7,0.0,96.1,2.9,100.0,170.0,67.0,3.0,4.0,0.0,1.0,8.0,81.0,7.0,8.0,
102.0,DeForest Buckner,29.0,IND,DT,17.0,16.0,0.0,1.0,1.0,100.0,-3.0,-3.0,-3.0,0.0,79.2,-3.0,-3.0,0.0,2.0,4.0,12.0,6.0,8.0,25.0,81.0,4.0,4.7,PB
103.0,Kyle Hamilton,22.0,BAL,S,15.0,15.0,4.0,63.0,34.0,54.0,166.0,4.9,2.6,1.0,38.4,5.2,47.0,119.0,30.0,3.0,1.0,1.0,3.0,7.0,81.0,8.0,9.0,"PB,AP-1"
104.0,Michael Hoecht,26.0,LAR,OLB,17.0,17.0,0.0,31.0,24.0,77.4,232.0,9.7,7.5,1.0,108.5,5.1,62.0,170.0,9.0,5.0,4.0,0.0,6.0,16.0,81.0,7.0,8.0,
105.0,Grant Delpit,25.0,CLE,S,13.0,13.0,1.0,33.0,24.0,72.7,234.0,9.8,7.1,2.0,99.8,4.7,92.0,142.0,33.0,3.0,2.0,1.0,1.5,7.0,80.0,7.0,8.0,
106.0,Trent McDuffie,23.0,KAN,CB,16.0,16.0,0.0,76.0,50.0,65.8,524.0,10.5,6.9,2.0,94.4,6.9,310.0,214.0,54.0,4.0,7.0,2.0,3.0,14.0,80.0,6.0,7.0,AP-1
107.0,Keisean Nixon,26.0,GNB,CB,17.0,13.0,1.0,81.0,63.0,77.8,601.0,9.5,7.4,3.0,104.8,6.4,274.0,327.0,3.0,0.0,0.0,0.0,0.5,1.0,80.0,10.0,11.1,AP-1
108.0,Kendall Fuller,28.0,WAS,CB,15.0,15.0,2.0,80.0,55.0,68.8,651.0,11.8,8.1,9.0,120.4,9.3,342.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,5.0,6.0,
