Quarter,Time,Down,ToGo,Location,DAL,ATL,Detail,EPB,EPA,week,year,game_id
1.0,9:32,,,DAL 35,3.0,0.0,"Brandon Aubrey kicks off 64 yards, returned by Ray-Ray McCloud for 21 yards (tackle by Buddy Johnson)",0.0,0.41,9.0,2024,125
1.0,9:27,1.0,10.0,ATL 22,3.0,0.0,Kirk Cousins pass complete deep right to Darnell Mooney for 22 yards (tackle by Caelen Carson),0.41,1.86,9.0,2024,125
1.0,8:50,1.0,10.0,ATL 44,3.0,0.0,Bijan Robinson right end for 16 yards (tackle by Donovan Wilson),1.86,2.92,9.0,2024,125
1.0,8:14,1.0,10.0,DAL 40,3.0,0.0,Kirk Cousins pass complete short left to Drake London for 18 yards (tackle by Caelen Carson),2.92,4.11,9.0,2024,125
1.0,7:32,1.0,10.0,DAL 22,3.0,0.0,Bijan Robinson left end for 5 yards (tackle by Carlos Watkins and Chauncey Golston),4.11,4.29,9.0,2024,125
1.0,6:53,2.0,5.0,DAL 17,3.0,0.0,Bijan Robinson right end for 1 yard (tackle by Eric Kendricks and DeMarvion Overshown),4.29,3.74,9.0,2024,125
1.0,6:09,3.0,4.0,DAL 16,3.0,0.0,Kirk Cousins pass complete short left to Bijan Robinson for 7 yards (tackle by Jourdan Lewis),3.74,5.14,9.0,2024,125
1.0,5:27,1.0,9.0,DAL 9,3.0,6.0,"Kirk Cousins pass complete short left to Drake London for 9 yards, touchdown",5.14,7.0,9.0,2024,125
1.0,5:23,,,DAL 15,3.0,7.0,Younghoe Koo kicks extra point good,0.0,0.0,9.0,2024,125
1.0,5:23,,,ATL 35,3.0,7.0,"Bradley Pinion kicks off 67 yards, returned by KaVontae Turpin for 28 yards (tackle by Bradley Pinion). Penalty on Luke Schoonmaker: Offensive Holding, 10 yards (accepted)",0.0,-0.14,9.0,2024,125
1.0,5:16,1.0,10.0,DAL 16,3.0,7.0,Rico Dowdle right end for 4 yards (tackle by Arnold Ebiketie and Ta'Quon Graham),-0.14,0.01,9.0,2024,125
1.0,4:46,2.0,6.0,DAL 20,3.0,7.0,Dak Prescott sacked by Arnold Ebiketie for -3 yards,0.01,-1.2,9.0,2024,125
1.0,4:03,3.0,9.0,DAL 17,3.0,7.0,Dak Prescott sacked by Grady Jarrett for -4 yards,-1.2,-2.49,9.0,2024,125
1.0,3:25,4.0,13.0,DAL 13,3.0,7.0,"Bryan Anger punts 41 yards, returned by Avery Williams for 5 yards (tackle by Damone Clark)",-2.49,-2.32,9.0,2024,125
1.0,3:14,1.0,10.0,DAL 49,3.0,7.0,Bijan Robinson right tackle for no gain (tackle by Osa Odighizuwa),2.32,1.78,9.0,2024,125
1.0,2:33,2.0,10.0,DAL 49,3.0,7.0,"Penalty on Ray-Ray McCloud: False Start, 5 yards (accepted) (no play)",1.78,1.11,9.0,2024,125
1.0,2:20,2.0,15.0,ATL 46,3.0,7.0,Kirk Cousins pass complete short left to Bijan Robinson for 2 yards (tackle by Jourdan Lewis),1.11,0.7,9.0,2024,125
1.0,1:43,3.0,13.0,ATL 48,3.0,7.0,Kirk Cousins pass complete short right to KhaDarel Hodge for 9 yards (tackle by Donovan Wilson and Jourdan Lewis),0.7,0.4,9.0,2024,125
1.0,1:08,4.0,4.0,DAL 43,3.0,7.0,Kirk Cousins pass complete short right to Darnell Mooney for 10 yards (tackle by Caelen Carson),0.4,3.38,9.0,2024,125
1.0,0:28,1.0,10.0,DAL 33,3.0,7.0,Bijan Robinson right end for 2 yards (tackle by Chauncey Golston),3.38,3.11,9.0,2024,125
2.0,15:00,2.0,8.0,DAL 31,3.0,7.0,Kirk Cousins pass complete short left to Bijan Robinson for -1 yards (tackle by Jourdan Lewis),3.11,2.28,9.0,2024,125
2.0,14:25,3.0,9.0,DAL 32,3.0,7.0,"Kirk Cousins sacked by Carl Lawson for -6 yards. Kirk Cousins fumbles (forced by Carl Lawson), recovered by Donovan Wilson at DAL-33",2.28,-1.14,9.0,2024,125
2.0,14:16,1.0,10.0,DAL 33,3.0,7.0,Dak Prescott pass complete short left to CeeDee Lamb for 8 yards (tackle by Nathan Landman and AJ Terrell),1.14,1.67,9.0,2024,125
2.0,13:42,2.0,2.0,DAL 41,3.0,7.0,Rico Dowdle right end for 6 yards (tackle by AJ Terrell),1.67,2.06,9.0,2024,125
2.0,13:10,1.0,10.0,DAL 47,3.0,7.0,Dak Prescott pass complete short left to Jalen Tolbert for 3 yards (tackle by AJ Terrell),2.06,1.92,9.0,2024,125
2.0,12:37,2.0,7.0,DAL 50,3.0,7.0,Dak Prescott pass complete short left to Jake Ferguson for 6 yards (tackle by Justin Simmons),1.92,2.02,9.0,2024,125
2.0,12:06,3.0,1.0,ATL 44,3.0,7.0,Rico Dowdle left guard for no gain (tackle by Grady Jarrett and Nathan Landman),2.02,0.33,9.0,2024,125
2.0,11:26,,,,,,Timeout #1 by Dallas Cowboys,,,9.0,2024,125
2.0,11:26,4.0,1.0,ATL 44,3.0,7.0,CeeDee Lamb right end for -3 yards (tackle by Kaden Elliss),0.33,-2.06,9.0,2024,125
2.0,11:18,1.0,10.0,ATL 47,3.0,7.0,Kirk Cousins pass complete short left to Bijan Robinson for 10 yards (tackle by DeMarvion Overshown),2.06,2.72,9.0,2024,125
2.0,10:35,1.0,10.0,DAL 43,3.0,7.0,Bijan Robinson right tackle for 8 yards (tackle by Malik Hooker),2.72,3.26,9.0,2024,125
2.0,9:58,2.0,2.0,DAL 35,3.0,7.0,Tyler Allgeier right tackle for -2 yards (tackle by DeMarvion Overshown),3.26,2.28,9.0,2024,125
2.0,9:21,3.0,4.0,DAL 37,3.0,7.0,"Tyler Allgeier left tackle for no gain (tackle by Juanyeh Thomas). Penalty on Jake Matthews: Offensive Holding, 10 yards (accepted) (no play)",2.28,0.96,9.0,2024,125
2.0,9:02,3.0,14.0,DAL 47,3.0,7.0,Kirk Cousins pass complete short left to Kyle Pitts for 11 yards (tackle by Eric Kendricks),0.96,0.89,9.0,2024,125
2.0,8:34,,,,,,Timeout #2 by Dallas Cowboys,,,9.0,2024,125
2.0,8:34,4.0,3.0,DAL 36,3.0,13.0,"Kirk Cousins pass complete short right to Darnell Mooney for 36 yards, touchdown",0.89,7.0,9.0,2024,125
2.0,8:28,,,DAL 15,3.0,14.0,Younghoe Koo kicks extra point good,0.0,0.0,9.0,2024,125
2.0,8:28,,,ATL 35,3.0,14.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,125
2.0,8:28,1.0,10.0,DAL 30,3.0,14.0,Rico Dowdle right tackle for 2 yards (tackle by Kaden Elliss and Nathan Landman),0.94,0.66,9.0,2024,125
2.0,7:57,2.0,8.0,DAL 32,3.0,14.0,Rico Dowdle left end for 11 yards (tackle by Justin Simmons and Arnold Ebiketie),0.66,1.8,9.0,2024,125
2.0,7:27,1.0,10.0,DAL 43,3.0,14.0,Dak Prescott pass complete short right to CeeDee Lamb for 5 yards (tackle by AJ Terrell),1.8,1.93,9.0,2024,125
2.0,7:07,2.0,5.0,DAL 48,3.0,14.0,CeeDee Lamb right end for 18 yards (tackle by DeAundre Alford),1.93,3.31,9.0,2024,125
2.0,6:29,1.0,10.0,ATL 34,3.0,14.0,Dak Prescott pass incomplete short right intended for Jake Ferguson,3.31,2.77,9.0,2024,125
2.0,6:26,2.0,10.0,ATL 34,3.0,14.0,"Penalty on DAL: Delay of Game, 5 yards (accepted) (no play)",2.77,2.09,9.0,2024,125
2.0,6:10,2.0,15.0,ATL 39,3.0,14.0,Dak Prescott scrambles left end for 22 yards (tackle by AJ Terrell),2.09,4.44,9.0,2024,125
2.0,5:32,1.0,10.0,ATL 17,3.0,14.0,"Rico Dowdle left tackle for 15 yards (tackle by Mike Hughes). Penalty on Zach Harrison: Illegal Use of Hands / Defense, 1 yard (accepted)",4.44,6.97,9.0,2024,125
2.0,5:11,1.0,1.0,ATL 1,3.0,14.0,"Penalty on Tyler Smith: False Start, 5 yards (accepted) (no play)",6.97,5.83,9.0,2024,125
2.0,4:52,1.0,6.0,ATL 6,3.0,14.0,Rico Dowdle left end for 3 yards (tackle by Kaden Elliss),5.83,5.53,9.0,2024,125
2.0,4:11,2.0,3.0,ATL 3,9.0,14.0,"Dak Prescott pass complete short right to Rico Dowdle for 3 yards, touchdown",5.53,7.0,9.0,2024,125
2.0,4:01,,,ATL 15,10.0,14.0,Brandon Aubrey kicks extra point good,0.0,0.0,9.0,2024,125
2.0,4:01,,,DAL 35,10.0,14.0,"Brandon Aubrey kicks off 63 yards, returned by Ray-Ray McCloud for 21 yards (tackle by Hunter Luepke and Nick Vigil)",0.0,0.48,9.0,2024,125
2.0,3:55,1.0,10.0,ATL 23,10.0,14.0,"Kirk Cousins aborted snap, recovered by Bijan Robinson at ATL-21",0.48,-0.34,9.0,2024,125
2.0,3:10,2.0,12.0,ATL 21,10.0,14.0,Kirk Cousins pass complete short right to Darnell Mooney for 4 yards (tackle by Caelen Carson and DeMarvion Overshown),-0.34,-0.49,9.0,2024,125
2.0,2:27,3.0,8.0,ATL 25,10.0,14.0,"Kirk Cousins pass complete short left to Ray-Ray McCloud for 10 yards. Ray-Ray McCloud fumbles (forced by Eric Kendricks), recovered by Ray-Ray McCloud at ATL-35",-0.49,1.27,9.0,2024,125
2.0,2:00,1.0,10.0,ATL 35,10.0,14.0,Tyler Allgeier left tackle for 4 yards (tackle by Chauncey Golston),1.27,1.26,9.0,2024,125
2.0,1:30,2.0,6.0,ATL 39,10.0,14.0,Kirk Cousins pass incomplete short left intended for Darnell Mooney (defended by Trevon Diggs),1.26,0.56,9.0,2024,125
2.0,1:26,3.0,6.0,ATL 39,10.0,14.0,Kirk Cousins sacked by Carl Lawson for -6 yards,0.56,-1.18,9.0,2024,125
2.0,1:19,,,,,,Timeout #3 by Dallas Cowboys,,,9.0,2024,125
2.0,1:19,4.0,12.0,ATL 33,10.0,14.0,"Bradley Pinion punts 62 yards, returned by KaVontae Turpin for 18 yards (tackle by Avery Williams and Charlie Woerner)",-1.18,-0.48,9.0,2024,125
2.0,1:06,1.0,10.0,DAL 23,10.0,14.0,Dak Prescott pass complete short left to Hunter Luepke for 7 yards (tackle by Kaden Elliss),0.48,0.88,9.0,2024,125
2.0,0:49,2.0,3.0,DAL 30,10.0,14.0,Dak Prescott pass complete short left to CeeDee Lamb for 10 yards (tackle by Jessie Bates),0.88,1.6,9.0,2024,125
2.0,0:24,1.0,10.0,DAL 40,10.0,14.0,Dak Prescott pass complete short left to Jake Ferguson for 3 yards (tackle by Justin Simmons),1.6,1.46,9.0,2024,125
2.0,0:09,2.0,7.0,DAL 43,10.0,14.0,Dak Prescott spiked the ball,1.46,0.76,9.0,2024,125
2.0,0:08,,,,,,Timeout #1 by Atlanta Falcons,,,9.0,2024,125
2.0,0:08,3.0,7.0,DAL 43,10.0,14.0,Dak Prescott pass incomplete short left,0.76,-0.52,9.0,2024,125
2.0,0:04,,,,,,Timeout #2 by Atlanta Falcons,,,9.0,2024,125
2.0,0:04,4.0,7.0,DAL 43,10.0,14.0,Dak Prescott pass incomplete short middle intended for CeeDee Lamb,-0.52,1.8,9.0,2024,125
3.0,15:00,,,ATL 35,10.0,14.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,125
3.0,15:00,1.0,10.0,DAL 30,10.0,14.0,"Penalty on Terence Steele: False Start, 5 yards (accepted) (no play)",0.94,0.61,9.0,2024,125
3.0,15:00,1.0,15.0,DAL 25,10.0,14.0,Rico Dowdle left tackle for 10 yards (tackle by Justin Simmons and AJ Terrell),0.61,1.07,9.0,2024,125
3.0,14:33,2.0,5.0,DAL 35,10.0,14.0,Dak Prescott pass complete short left to CeeDee Lamb for no gain (tackle by DeAundre Alford),1.07,0.37,9.0,2024,125
3.0,13:50,3.0,5.0,DAL 35,10.0,14.0,Dak Prescott pass complete short right to Jake Ferguson for 3 yards (tackle by James Smith-Williams),0.37,-0.85,9.0,2024,125
3.0,13:14,4.0,2.0,DAL 38,10.0,14.0,Bryan Anger pass incomplete short right intended for C.J. Goodwin,-0.85,-3.05,9.0,2024,125
3.0,13:10,1.0,10.0,DAL 38,10.0,14.0,Bijan Robinson right tackle for 8 yards (tackle by Caelen Carson),3.05,3.59,9.0,2024,125
3.0,12:33,2.0,2.0,DAL 30,10.0,14.0,Bijan Robinson left tackle for 7 yards (tackle by Trevon Diggs and Eric Kendricks),3.59,4.04,9.0,2024,125
3.0,11:54,1.0,10.0,DAL 23,10.0,14.0,Bijan Robinson right tackle for 14 yards (tackle by Eric Kendricks),4.04,5.14,9.0,2024,125
3.0,11:12,1.0,9.0,DAL 9,10.0,14.0,Bijan Robinson right end for -2 yards (tackle by DeMarvion Overshown),5.14,4.02,9.0,2024,125
3.0,10:29,2.0,11.0,DAL 11,10.0,20.0,"Kirk Cousins pass complete short right to Ray-Ray McCloud for 11 yards, touchdown",4.02,7.0,9.0,2024,125
3.0,10:23,,,DAL 15,10.0,21.0,Younghoe Koo kicks extra point good,0.0,0.0,9.0,2024,125
3.0,10:23,,,ATL 35,10.0,21.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,125
3.0,10:23,1.0,10.0,DAL 30,10.0,21.0,Dak Prescott pass complete short middle to Jalen Tolbert for 12 yards (tackle by Nathan Landman),0.94,1.73,9.0,2024,125
3.0,9:57,1.0,10.0,DAL 42,10.0,21.0,Dalvin Cook left end for 4 yards (tackle by Demone Harris and Kaden Elliss),1.73,1.73,9.0,2024,125
3.0,9:30,2.0,6.0,DAL 46,10.0,21.0,"Penalty on Jake Ferguson: False Start, 5 yards (accepted) (no play)",1.73,1.05,9.0,2024,125
3.0,9:17,2.0,11.0,DAL 41,10.0,21.0,Dalvin Cook right guard for 4 yards (tackle by Arnold Ebiketie),1.05,0.89,9.0,2024,125
3.0,8:40,3.0,7.0,DAL 45,10.0,21.0,Dak Prescott pass complete short right to CeeDee Lamb for 6 yards (tackle by Kaden Elliss),0.89,0.0,9.0,2024,125
3.0,8:07,4.0,1.0,ATL 49,10.0,21.0,"Penalty on DAL: Offensive Too Many Men on Field, 5 yards (accepted) (no play)",0.0,-0.32,9.0,2024,125
3.0,7:56,4.0,6.0,DAL 46,10.0,21.0,Bryan Anger punts 53 yards downed by Damone Clark,-0.32,0.38,9.0,2024,125
3.0,7:42,1.0,10.0,ATL 1,10.0,21.0,Tyler Allgeier left guard for 2 yards (tackle by Trevon Diggs and Donovan Wilson),-0.38,-0.63,9.0,2024,125
3.0,7:13,2.0,8.0,ATL 3,10.0,21.0,Tyler Allgeier right tackle for 3 yards (tackle by Donovan Wilson and Tyrus Wheat),-0.63,-0.84,9.0,2024,125
3.0,6:27,3.0,5.0,ATL 6,10.0,21.0,Kirk Cousins pass complete short right to Darnell Mooney for 16 yards (tackle by Donovan Wilson),-0.84,0.41,9.0,2024,125
3.0,5:46,1.0,10.0,ATL 22,10.0,21.0,Bijan Robinson right tackle for 3 yards (tackle by Eric Kendricks),0.41,0.27,9.0,2024,125
3.0,5:07,2.0,7.0,ATL 25,10.0,21.0,Bijan Robinson left end for 4 yards (tackle by Jourdan Lewis),0.27,0.1,9.0,2024,125
3.0,4:26,3.0,3.0,ATL 29,10.0,21.0,Kirk Cousins pass incomplete deep right intended for Darnell Mooney,0.1,-1.44,9.0,2024,125
3.0,4:20,4.0,3.0,ATL 29,10.0,21.0,Bradley Pinion punts 32 yards out of bounds,-1.44,-1.53,9.0,2024,125
3.0,4:11,1.0,10.0,DAL 39,10.0,21.0,Rico Dowdle left guard for 9 yards (tackle by DeAundre Alford),1.53,2.2,9.0,2024,125
3.0,3:49,2.0,1.0,DAL 48,10.0,21.0,Dak Prescott left guard for 3 yards (tackle by David Onyemata),2.2,2.32,9.0,2024,125
3.0,3:12,1.0,10.0,ATL 49,10.0,21.0,Dak Prescott pass incomplete deep right intended for Jalen Tolbert,2.32,1.78,9.0,2024,125
3.0,3:04,2.0,10.0,ATL 49,10.0,21.0,Dak Prescott scrambles left end for 5 yards (tackle by Arnold Ebiketie),1.78,1.75,9.0,2024,125
3.0,2:25,3.0,5.0,ATL 44,10.0,21.0,Hunter Luepke right tackle for 5 yards (tackle by Kaden Elliss and Jessie Bates),1.75,2.98,9.0,2024,125
3.0,1:56,1.0,10.0,ATL 39,10.0,21.0,"Dak Prescott scrambles right end for no gain (tackle by Nathan Landman). Penalty on Tyler Guyton: Offensive Holding, 10 yards (accepted) (no play)",2.98,2.32,9.0,2024,125
3.0,1:27,1.0,20.0,ATL 49,10.0,21.0,Dak Prescott sacked by Kaden Elliss for no gain,2.32,1.09,9.0,2024,125
3.0,0:45,2.0,20.0,ATL 49,10.0,21.0,Dak Prescott pass complete short right to Jalen Brooks for 10 yards,1.09,1.75,9.0,2024,125
3.0,0:07,3.0,10.0,ATL 39,10.0,21.0,Dak Prescott pass incomplete short right intended for Jake Ferguson (defended by Matt Judon),1.75,0.66,9.0,2024,125
3.0,0:05,4.0,10.0,ATL 39,13.0,21.0,Brandon Aubrey 57 yard field goal good,0.66,3.0,9.0,2024,125
4.0,15:00,,,DAL 35,13.0,21.0,"Brandon Aubrey kicks off 60 yards, returned by Avery Williams for 29 yards (tackle by Buddy Johnson and Hunter Luepke)",0.0,1.2,9.0,2024,125
4.0,14:54,1.0,10.0,ATL 34,13.0,21.0,Kirk Cousins pass complete short right to Bijan Robinson for 11 yards (tackle by Jourdan Lewis and Caelen Carson),1.2,1.93,9.0,2024,125
4.0,14:13,1.0,10.0,ATL 45,13.0,21.0,Kirk Cousins pass complete short left to Bijan Robinson for 29 yards (tackle by Malik Hooker and Eric Kendricks),1.93,3.84,9.0,2024,125
4.0,13:28,1.0,10.0,DAL 26,13.0,21.0,Ray-Ray McCloud right end for 7 yards (tackle by Eric Kendricks and Osa Odighizuwa),3.84,4.27,9.0,2024,125
4.0,13:00,2.0,3.0,DAL 19,13.0,21.0,Bijan Robinson right tackle for 4 yards (tackle by Linval Joseph),4.27,4.58,9.0,2024,125
4.0,12:18,1.0,10.0,DAL 15,13.0,21.0,Bijan Robinson right end for 4 yards (tackle by Caelen Carson),4.58,4.64,9.0,2024,125
4.0,11:40,2.0,6.0,DAL 11,13.0,21.0,Tyler Allgeier right guard for 5 yards (tackle by Chauncey Golston and Eric Kendricks),4.64,4.9,9.0,2024,125
4.0,11:15,3.0,1.0,DAL 6,13.0,27.0,"Tyler Allgeier right tackle for 6 yards, touchdown",4.9,7.0,9.0,2024,125
4.0,11:08,,,DAL 15,13.0,27.0,Two Point Attempt: Bradley Pinion pass incomplete intended for,1.0,-1.0,9.0,2024,125
4.0,11:08,,,ATL 35,13.0,27.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,125
4.0,11:08,1.0,10.0,DAL 30,13.0,27.0,Cooper Rush pass complete short right to Jake Ferguson for 3 yards (tackle by DeAundre Alford),0.94,0.8,9.0,2024,125
4.0,10:42,2.0,7.0,DAL 33,13.0,27.0,Rico Dowdle right guard for 9 yards (tackle by Nathan Landman and Jessie Bates),0.8,1.73,9.0,2024,125
4.0,10:18,1.0,10.0,DAL 42,13.0,27.0,Rico Dowdle right guard for 4 yards (tackle by Nathan Landman and Kaden Elliss),1.73,1.73,9.0,2024,125
4.0,9:43,2.0,6.0,DAL 46,13.0,27.0,"Cooper Rush pass incomplete deep right intended for CeeDee Lamb. Penalty on Tyler Guyton: Illegal Formation, 5 yards (accepted) (no play)",1.73,1.05,9.0,2024,125
4.0,9:38,2.0,11.0,DAL 41,13.0,27.0,Cooper Rush pass incomplete short left intended for Ryan Flournoy,1.05,0.37,9.0,2024,125
4.0,9:34,3.0,11.0,DAL 41,13.0,27.0,Cooper Rush pass incomplete short left intended for Rico Dowdle,0.37,-0.65,9.0,2024,125
4.0,9:29,4.0,11.0,DAL 41,13.0,27.0,"Bryan Anger punts 45 yards, fair catch by Avery Williams at ATL-14",-0.65,0.28,9.0,2024,125
4.0,9:22,1.0,10.0,ATL 14,13.0,27.0,Bijan Robinson left tackle for -4 yards (tackle by DeMarvion Overshown),-0.28,-1.07,9.0,2024,125
4.0,8:43,2.0,14.0,ATL 10,13.0,27.0,Kirk Cousins pass complete short right to Ray-Ray McCloud for 7 yards (tackle by DeMarvion Overshown and Malik Hooker),-1.07,-1.04,9.0,2024,125
4.0,8:11,3.0,7.0,ATL 17,13.0,27.0,Kirk Cousins pass incomplete short middle intended for KhaDarel Hodge (defended by Marist Liufau),-1.04,-2.32,9.0,2024,125
4.0,8:06,4.0,7.0,ATL 17,13.0,27.0,"Bradley Pinion punts 55 yards, returned by KaVontae Turpin for 16 yards (tackle by Natrone Brooks)",-2.32,-1.86,9.0,2024,125
4.0,7:52,1.0,10.0,DAL 44,13.0,27.0,Cooper Rush pass incomplete short middle intended for CeeDee Lamb,1.86,1.32,9.0,2024,125
4.0,7:47,2.0,10.0,DAL 44,13.0,27.0,Cooper Rush pass complete short middle to Jake Ferguson for 14 yards (tackle by Jessie Bates),1.32,2.79,9.0,2024,125
4.0,7:23,1.0,10.0,ATL 42,13.0,27.0,Cooper Rush pass complete short left to Rico Dowdle for 8 yards (tackle by Kaden Elliss and AJ Terrell),2.79,3.32,9.0,2024,125
4.0,7:00,2.0,2.0,ATL 34,13.0,27.0,Cooper Rush pass incomplete short middle intended for CeeDee Lamb (defended by Jessie Bates),3.32,2.61,9.0,2024,125
4.0,6:55,3.0,2.0,ATL 34,13.0,27.0,Cooper Rush pass complete short right to CeeDee Lamb for 4 yards (tackle by DeAundre Alford),2.61,3.58,9.0,2024,125
4.0,6:28,1.0,10.0,ATL 30,13.0,27.0,Cooper Rush pass complete short right to Hunter Luepke for -3 yards (tackle by DeAngelo Malone),3.58,2.63,9.0,2024,125
4.0,5:58,2.0,13.0,ATL 33,13.0,27.0,"Penalty on Tyler Guyton: False Start, 5 yards (accepted) (no play)",2.63,1.95,9.0,2024,125
4.0,5:58,2.0,18.0,ATL 38,13.0,27.0,Cooper Rush pass complete short left to CeeDee Lamb for 7 yards (tackle by DeAundre Alford),1.95,2.21,9.0,2024,125
4.0,5:32,3.0,11.0,ATL 31,13.0,27.0,Cooper Rush pass incomplete deep right intended for CeeDee Lamb (defended by DeAundre Alford),2.21,1.32,9.0,2024,125
4.0,5:26,4.0,11.0,ATL 31,13.0,27.0,Cooper Rush pass incomplete short right intended for KaVontae Turpin (defended by DeAundre Alford),1.32,-1.0,9.0,2024,125
4.0,5:20,1.0,10.0,ATL 31,13.0,27.0,Bijan Robinson left tackle for 6 yards (tackle by Chauncey Golston and Donovan Wilson),1.0,1.27,9.0,2024,125
4.0,5:13,,,,,,Timeout #1 by Dallas Cowboys,,,9.0,2024,125
4.0,5:13,2.0,4.0,ATL 37,13.0,27.0,Bijan Robinson right guard for -1 yards (tackle by Donovan Wilson),1.27,0.43,9.0,2024,125
4.0,5:09,,,,,,Timeout #2 by Dallas Cowboys,,,9.0,2024,125
4.0,5:09,3.0,5.0,ATL 36,13.0,27.0,Kirk Cousins pass incomplete short right intended for Darnell Mooney,0.43,-0.98,9.0,2024,125
4.0,5:05,4.0,5.0,ATL 36,13.0,27.0,"Bradley Pinion punts 53 yards, returned by KaVontae Turpin for 3 yards (tackle by Natrone Brooks)",-0.98,0.28,9.0,2024,125
4.0,4:56,1.0,10.0,DAL 14,13.0,27.0,Cooper Rush pass incomplete short right intended for Jake Ferguson,-0.28,-0.75,9.0,2024,125
4.0,4:52,2.0,10.0,DAL 14,13.0,27.0,Cooper Rush pass complete short right to Jalen Brooks for 16 yards (tackle by Jessie Bates),-0.75,0.94,9.0,2024,125
4.0,4:30,1.0,10.0,DAL 30,13.0,27.0,Cooper Rush pass complete short right to KaVontae Turpin for 5 yards (tackle by DeAundre Alford),0.94,1.07,9.0,2024,125
4.0,4:01,2.0,5.0,DAL 35,13.0,27.0,Cooper Rush pass incomplete short right intended for Jalen Brooks,1.07,0.37,9.0,2024,125
4.0,3:56,3.0,5.0,DAL 35,13.0,27.0,Cooper Rush pass incomplete short left intended for Jalen Brooks,0.37,-1.04,9.0,2024,125
4.0,3:51,4.0,5.0,DAL 35,13.0,27.0,Cooper Rush pass complete short middle to KaVontae Turpin for 22 yards (tackle by AJ Terrell),-1.04,2.72,9.0,2024,125
4.0,3:16,1.0,10.0,ATL 43,13.0,27.0,Cooper Rush pass complete short right to Ryan Flournoy for 13 yards (tackle by Nathan Landman and Jessie Bates),2.72,3.58,9.0,2024,125
4.0,2:52,1.0,10.0,ATL 30,13.0,27.0,Cooper Rush pass incomplete deep right intended for Jalen Tolbert,3.58,3.03,9.0,2024,125
4.0,2:45,2.0,10.0,ATL 30,13.0,27.0,Cooper Rush pass complete short middle to Rico Dowdle for 13 yards (tackle by DeAngelo Malone),3.03,4.44,9.0,2024,125
4.0,2:18,1.0,10.0,ATL 17,13.0,27.0,Cooper Rush pass complete short right to KaVontae Turpin for 9 yards (tackle by Nathan Landman),4.44,5.48,9.0,2024,125
4.0,2:00,2.0,1.0,ATL 8,13.0,27.0,Cooper Rush pass incomplete short left intended for Jalen Tolbert,5.48,4.8,9.0,2024,125
4.0,1:57,3.0,1.0,ATL 8,13.0,27.0,"Cooper Rush right end for 4 yards. Cooper Rush fumbles, recovered by Cooper Rush at ATL-11 (tackle by Nathan Landman)",4.8,6.28,9.0,2024,125
