Quarter,Time,Down,ToGo,Location,NWE,TEN,Detail,EPB,EPA,week,year,game_id
2,15:00,3.0,8.0,NWE 49,0.0,7.0,Drake Maye pass short middle intended for Ja'Lynn Polk is intercepted by Amani Hooker at TEN-43 and returned for 17 yards (tackle by Michael Jordan),1.09,-2.92,9.0,2024,131
2,14:51,1.0,10.0,NWE 40,0.0,7.0,Mason Rudolph pass incomplete deep right intended for Calvin Ridley (defended by Christian Gonzalez),2.92,2.37,9.0,2024,131
2,14:45,2.0,10.0,NWE 40,0.0,7.0,Mason Rudolph pass complete deep middle to Calvin Ridley for 25 yards (tackle by Dell Pettus),2.37,4.58,9.0,2024,131
2,14:03,1.0,10.0,NWE 15,0.0,7.0,"Tony Pollard right end for no gain (tackle by Keion White). Penalty on Keion White: Horse Collar Tackle, 8 yards (accepted) (no play)",4.58,5.6,9.0,2024,131
2,13:41,1.0,7.0,NWE 7,0.0,7.0,Tony Pollard up the middle for 4 yards (tackle by Daniel Ekuale and Keion White),5.6,5.53,9.0,2024,131
2,12:57,2.0,3.0,NWE 3,0.0,7.0,Mason Rudolph pass incomplete short right,5.53,4.72,9.0,2024,131
2,12:51,3.0,3.0,NWE 3,0.0,7.0,Mason Rudolph pass short right intended for Chigoziem Okonkwo is intercepted by Jahlani Tavai in end zone and returned for no gain,4.72,-0.28,9.0,2024,131
2,12:45,1.0,10.0,NWE 20,0.0,7.0,Drake Maye pass complete short right to Austin Hooper for 8 yards (tackle by Jack Gibbens and Jaylen Harrell),0.28,0.81,9.0,2024,131
2,11:58,2.0,2.0,NWE 28,0.0,7.0,Drake Maye pass complete short left to Demario Douglas for 1 yard (tackle by Quandre Diggs),0.81,0.23,9.0,2024,131
2,11:24,3.0,1.0,NWE 29,0.0,7.0,"Drake Maye pass complete short left to Rhamondre Stevenson for 12 yards (tackle by Jack Gibbens and Jeffery Simmons). Penalty on Jarvis Brownlee: Defensive Holding, 5 yards (declined)",0.23,1.66,9.0,2024,131
2,10:59,1.0,10.0,NWE 41,0.0,7.0,Rhamondre Stevenson right tackle for no gain (tackle by T'Vondre Sweat),1.66,1.12,9.0,2024,131
2,10:19,2.0,10.0,NWE 41,0.0,7.0,Drake Maye pass complete short middle to Hunter Henry for 11 yards (tackle by Jack Gibbens),1.12,2.39,9.0,2024,131
2,9:44,1.0,10.0,TEN 48,0.0,7.0,Drake Maye scrambles right end for 13 yards (tackle by Jarvis Brownlee),2.39,3.25,9.0,2024,131
2,9:02,1.0,10.0,TEN 35,0.0,7.0,"Drake Maye pass complete short left to Demario Douglas for 2 yards (tackle by Mike Brown and Jack Gibbens). Penalty on Ja'Lynn Polk: Offensive Holding, 10 yards (accepted)",3.25,2.72,9.0,2024,131
2,8:33,1.0,18.0,TEN 43,0.0,7.0,Drake Maye pass incomplete short right intended for Kayshon Boutte (defended by James Lynch),2.72,1.62,9.0,2024,131
2,8:27,2.0,18.0,TEN 43,0.0,7.0,Drake Maye pass complete short right to Jamycal Hasty for -3 yards (tackle by Jack Gibbens),1.62,0.56,9.0,2024,131
2,7:47,3.0,21.0,TEN 46,0.0,7.0,Drake Maye pass complete short middle to Hunter Henry for 12 yards (tackle by Amani Hooker),0.56,1.06,9.0,2024,131
2,7:18,4.0,9.0,TEN 34,3.0,7.0,Joey Slye 52 yard field goal good,1.06,3.0,9.0,2024,131
2,7:13,,,NWE 35,3.0,7.0,"Joey Slye kicks off 65 yards, returned by Jha'Quan Jackson for 23 yards (tackle by Isaiah Bolden and Marcellas Dial)",0.0,0.48,9.0,2024,131
2,7:08,1.0,10.0,TEN 23,3.0,7.0,Tony Pollard up the middle for 1 yard (tackle by Daniel Ekuale and Jahlani Tavai),0.48,0.07,9.0,2024,131
2,6:28,2.0,9.0,TEN 24,3.0,7.0,Mason Rudolph pass complete short middle to Chigoziem Okonkwo for 8 yards (tackle by Christian Elliss and Dell Pettus),0.07,0.43,9.0,2024,131
2,5:45,3.0,1.0,TEN 32,3.0,7.0,Mason Rudolph up the middle for 2 yards (tackle by Jahlani Tavai and Christian Elliss),0.43,1.2,9.0,2024,131
2,5:09,1.0,10.0,TEN 34,3.0,7.0,Tony Pollard up the middle for 5 yards (tackle by Dell Pettus and Davon Godchaux),1.2,1.33,9.0,2024,131
2,4:30,2.0,5.0,TEN 39,3.0,7.0,Mason Rudolph pass complete short middle to Jha'Quan Jackson for 8 yards (tackle by Jahlani Tavai),1.33,2.06,9.0,2024,131
2,3:50,1.0,10.0,TEN 47,3.0,7.0,Julius Chestnut right guard for 3 yards (tackle by Jaquelin Roy and Jahlani Tavai),2.06,1.92,9.0,2024,131
2,3:17,2.0,7.0,NWE 50,3.0,7.0,"Tony Pollard left end for no gain (tackle by Daniel Ekuale). Penalty on JC Latham: Offensive Illegal Block Above the Waist, 10 yards (accepted) (no play)",1.92,0.57,9.0,2024,131
2,2:43,2.0,17.0,TEN 40,3.0,7.0,Mason Rudolph pass complete short middle to Tony Pollard for 9 yards (tackle by Christian Elliss),0.57,1.09,9.0,2024,131
2,2:00,3.0,8.0,TEN 49,3.0,7.0,Mason Rudolph pass incomplete deep left intended for Jha'Quan Jackson,1.09,-0.13,9.0,2024,131
2,1:55,4.0,8.0,TEN 49,3.0,7.0,Ryan Stonehouse punts 36 yards out of bounds,-0.13,0.22,9.0,2024,131
2,1:48,1.0,10.0,NWE 15,3.0,7.0,Drake Maye pass complete short left to Kendrick Bourne for 14 yards (tackle by Darrell Baker),-0.22,0.87,9.0,2024,131
2,1:42,1.0,10.0,NWE 29,3.0,7.0,Drake Maye pass complete short left to Kendrick Bourne for 9 yards (tackle by Jarvis Brownlee),0.87,1.54,9.0,2024,131
2,1:38,2.0,1.0,NWE 38,3.0,7.0,Jamycal Hasty up the middle for no gain (tackle by Harold Landry),1.54,0.83,9.0,2024,131
2,0:52,3.0,1.0,NWE 38,3.0,7.0,Rhamondre Stevenson up the middle for -1 yards (tackle by Jack Gibbens and Kenneth Murray),0.83,-0.91,9.0,2024,131
2,0:47,,,,,,Timeout #1 by Tennessee Titans,,,9.0,2024,131
2,0:47,4.0,2.0,NWE 37,3.0,7.0,Bryce Baringer punts 15 yards out of bounds,-0.91,-2.13,9.0,2024,131
2,0:41,1.0,10.0,TEN 48,3.0,7.0,"Mason Rudolph pass incomplete short middle intended for Tony Pollard. Penalty on Dell Pettus: Defensive Holding, 5 yards (accepted) (no play)",2.13,2.46,9.0,2024,131
2,0:35,1.0,10.0,NWE 47,3.0,7.0,Mason Rudolph pass complete short right to Calvin Ridley for 12 yards (tackle by Christian Gonzalez),2.46,3.25,9.0,2024,131
2,0:27,,,,,,Timeout #2 by Tennessee Titans,,,9.0,2024,131
2,0:27,1.0,10.0,NWE 35,3.0,7.0,"Tony Pollard up the middle for 3 yards (tackle by Deatrich Wise and Marte Mapu). Penalty on Daniel Brunskill: Offensive Holding, 10 yards (accepted)",3.25,2.79,9.0,2024,131
2,0:22,,,,,,Timeout #3 by Tennessee Titans,,,9.0,2024,131
2,0:22,1.0,17.0,NWE 42,3.0,7.0,Mason Rudolph pass incomplete short left,2.79,1.76,9.0,2024,131
2,0:17,2.0,17.0,NWE 42,3.0,7.0,"Penalty on TEN: Delay of Game, 5 yards (accepted) (no play)",1.76,1.08,9.0,2024,131
2,0:17,2.0,22.0,NWE 47,3.0,7.0,Mason Rudolph pass incomplete short left intended for Nick Westbrook-Ikhine (defended by Jonathan Jones),1.08,0.43,9.0,2024,131
2,0:11,,,,,,Timeout #1 by New England Patriots,,,9.0,2024,131
2,0:11,3.0,22.0,NWE 47,3.0,7.0,Mason Rudolph pass incomplete short right,0.43,0.13,9.0,2024,131
2,0:03,,,,,,Timeout #2 by New England Patriots,,,9.0,2024,131
2,0:03,4.0,22.0,NWE 47,3.0,7.0,Mason Rudolph pass incomplete deep right,0.13,2.06,9.0,2024,131
3,15:00,,,TEN 35,3.0,7.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,131
3,15:00,1.0,10.0,NWE 30,3.0,7.0,"Drake Maye aborted snap, recovered by Rhamondre Stevenson at NE-22 Rhamondre Stevenson for no gain (tackle by Harold Landry and Amani Hooker)",0.94,0.12,9.0,2024,131
3,14:21,2.0,12.0,NWE 28,3.0,7.0,Drake Maye pass complete short right to Kendrick Bourne for 7 yards (tackle by Jarvis Brownlee),0.12,0.37,9.0,2024,131
3,13:42,3.0,5.0,NWE 35,3.0,7.0,"Drake Maye scrambles left tackle for no gain (tackle by Jack Gibbens and Roger McCreary). Penalty on Ben Brown: Offensive Holding, 10 yards (accepted) (no play)",0.37,-0.96,9.0,2024,131
3,13:18,3.0,15.0,NWE 25,3.0,7.0,"Drake Maye scrambles up the middle for 22 yards (tackle by Kenneth Murray). Penalty on Arden Key: Illegal Use of Hands / Defense, 5 yards (accepted)",-0.96,2.39,9.0,2024,131
3,12:57,1.0,10.0,TEN 48,3.0,7.0,"Rhamondre Stevenson right end for no gain (tackle by James Lynch and Kenneth Murray). Penalty on Ja'Lynn Polk: Illegal Shift, 5 yards (accepted) (no play)",2.39,2.06,9.0,2024,131
3,12:28,1.0,15.0,NWE 47,3.0,7.0,Drake Maye pass complete deep right to Demario Douglas for 21 yards,2.06,3.45,9.0,2024,131
3,12:02,1.0,10.0,TEN 32,3.0,7.0,"Penalty on Demontrey Jacobs: False Start, 5 yards (accepted) (no play)",3.45,3.12,9.0,2024,131
3,11:37,1.0,15.0,TEN 37,3.0,7.0,Antonio Gibson up the middle for -1 yards (tackle by Arden Key),3.12,2.09,9.0,2024,131
3,11:07,2.0,16.0,TEN 38,3.0,7.0,"Drake Maye scrambles up the middle for 13 yards (tackle by Jack Gibbens and Mike Brown). Penalty on Jarvis Brownlee: Defensive Holding, 5 yards (accepted)",2.09,4.24,9.0,2024,131
3,10:34,1.0,10.0,TEN 20,3.0,7.0,Drake Maye pass complete short left to Hunter Henry for 7 yards (tackle by Jack Gibbens and Mike Brown),4.24,4.83,9.0,2024,131
3,10:08,2.0,3.0,TEN 13,3.0,7.0,Drake Maye pass complete short left to Demario Douglas for 4 yards (tackle by Jarvis Brownlee),4.83,5.14,9.0,2024,131
3,9:31,1.0,9.0,TEN 9,3.0,7.0,Drake Maye pass complete short left to Hunter Henry for 3 yards (tackle by Jarvis Brownlee),5.14,4.95,9.0,2024,131
3,8:57,2.0,6.0,TEN 6,3.0,7.0,Drake Maye pass complete short right to Hunter Henry for no gain (tackle by Roger McCreary and Jack Gibbens),4.95,4.04,9.0,2024,131
3,8:12,3.0,6.0,TEN 6,3.0,7.0,"Drake Maye pass incomplete short middle intended for Austin Hooper (defended by Jack Gibbens). Penalty on Roger McCreary: Face Mask (15 Yards), 3 yards (accepted) (no play)",4.04,6.51,9.0,2024,131
3,8:07,1.0,3.0,TEN 3,3.0,7.0,Rhamondre Stevenson right guard for 2 yards (tackle by Amani Hooker),6.51,5.91,9.0,2024,131
3,7:43,2.0,1.0,TEN 1,9.0,7.0,"Rhamondre Stevenson up the middle for 1 yard, touchdown",5.91,7.0,9.0,2024,131
3,7:39,,,TEN 15,10.0,7.0,Joey Slye kicks extra point good,0.0,0.0,9.0,2024,131
3,7:39,,,NWE 35,10.0,7.0,"Joey Slye kicks off 65 yards, touchback., touchback.",0.0,0.94,9.0,2024,131
3,7:39,1.0,10.0,TEN 30,10.0,7.0,Tony Pollard left guard for 8 yards (tackle by Raekwon McMillan and Jaylinn Hawkins),0.94,1.47,9.0,2024,131
3,7:00,2.0,2.0,TEN 38,10.0,7.0,Tony Pollard right end for 6 yards (tackle by Raekwon McMillan),1.47,1.86,9.0,2024,131
3,6:20,1.0,10.0,TEN 44,10.0,7.0,Mason Rudolph pass incomplete deep middle intended for Calvin Ridley,1.86,1.32,9.0,2024,131
3,6:15,2.0,10.0,TEN 44,10.0,7.0,Mason Rudolph pass incomplete short left,1.32,0.63,9.0,2024,131
3,6:12,3.0,10.0,TEN 44,10.0,7.0,Mason Rudolph pass complete short middle to Nick Westbrook-Ikhine for 13 yards (tackle by Christian Elliss),0.63,2.72,9.0,2024,131
3,5:55,1.0,10.0,NWE 43,10.0,7.0,Tony Pollard right tackle for -4 yards (tackle by Raekwon McMillan),2.72,1.64,9.0,2024,131
3,5:20,2.0,14.0,NWE 47,10.0,7.0,Mason Rudolph pass complete short middle to Tony Pollard for 12 yards (tackle by Christian Elliss),1.64,2.54,9.0,2024,131
3,4:41,3.0,2.0,NWE 35,10.0,7.0,Tyler Boyd left end for 3 yards (tackle by Christian Gonzalez),2.54,3.45,9.0,2024,131
3,4:01,1.0,10.0,NWE 32,10.0,7.0,Julius Chestnut left guard for 3 yards (tackle by Davon Godchaux and Deatrich Wise),3.45,3.31,9.0,2024,131
3,3:27,2.0,7.0,NWE 29,10.0,7.0,Mason Rudolph pass complete deep right to Chigoziem Okonkwo for 21 yards (tackle by Jonathan Jones),3.31,5.37,9.0,2024,131
3,2:48,1.0,8.0,NWE 8,10.0,7.0,"Tony Pollard right end for no gain, touchdown. Penalty on Josh Whyle: Offensive Holding, 10 yards (accepted) (no play)",5.37,4.24,9.0,2024,131
3,2:42,1.0,18.0,NWE 18,10.0,7.0,Tony Pollard left end for no gain (tackle by Keion White),4.24,3.15,9.0,2024,131
3,1:59,2.0,18.0,NWE 18,10.0,7.0,Mason Rudolph scrambles up the middle for 3 yards (tackle by Keion White),3.15,2.93,9.0,2024,131
3,1:19,3.0,15.0,NWE 15,10.0,7.0,Julius Chestnut right end for 12 yards (tackle by Dell Pettus),2.93,3.04,9.0,2024,131
3,0:36,4.0,3.0,NWE 3,10.0,10.0,Nick Folk 21 yard field goal good,3.04,3.0,9.0,2024,131
3,0:34,,,TEN 35,10.0,10.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,131
3,0:34,1.0,10.0,NWE 30,10.0,10.0,Drake Maye sacked by and Sebastian Joseph-Day for -6 yards and Jack Gibbens for -6 yards,0.94,-0.42,9.0,2024,131
4,15:00,2.0,16.0,NWE 24,10.0,10.0,Drake Maye sacked by Jeffery Simmons for -7 yards,-0.42,-2.36,9.0,2024,131
4,14:21,3.0,23.0,NWE 17,10.0,10.0,Drake Maye pass complete short left to Antonio Gibson for 12 yards (tackle by Mike Brown),-2.36,-1.44,9.0,2024,131
4,13:48,4.0,11.0,NWE 29,10.0,10.0,"Bryce Baringer punts 45 yards downed by Christian Elliss. Penalty on Darrell Baker: Offensive Holding, 10 yards (accepted)",-1.44,0.14,9.0,2024,131
4,13:36,1.0,10.0,TEN 16,10.0,10.0,Mason Rudolph pass complete short middle to Chigoziem Okonkwo for 9 yards (tackle by Jahlani Tavai),-0.14,0.69,9.0,2024,131
4,13:01,2.0,1.0,TEN 25,10.0,10.0,Mason Rudolph pass complete short left to Nick Westbrook-Ikhine for 14 yards (tackle by Marte Mapu),0.69,1.53,9.0,2024,131
4,12:27,1.0,10.0,TEN 39,10.0,10.0,Tony Pollard right end for -4 yards (tackle by Marcus Jones),1.53,0.45,9.0,2024,131
4,11:41,2.0,14.0,TEN 35,10.0,10.0,Mason Rudolph pass complete short middle to Tony Pollard for 5 yards (tackle by Sione Takitaki),0.45,0.43,9.0,2024,131
4,11:06,3.0,9.0,TEN 40,10.0,10.0,Mason Rudolph pass complete short right to Nick Westbrook-Ikhine for 7 yards (tackle by Marco Wilson),0.43,-0.26,9.0,2024,131
4,10:17,,,,,,Timeout #1 by New England Patriots,,,9.0,2024,131
4,10:17,4.0,2.0,TEN 47,10.0,10.0,"Ryan Stonehouse punts 44 yards, fair catch by Marcus Jones at NE-9",-0.26,0.38,9.0,2024,131
4,10:09,1.0,10.0,NWE 9,10.0,10.0,Rhamondre Stevenson right tackle for 3 yards (tackle by T'Vondre Sweat and Jarvis Brownlee),-0.38,-0.56,9.0,2024,131
4,9:29,2.0,7.0,NWE 12,10.0,10.0,Drake Maye pass complete short middle to Hunter Henry for 13 yards (tackle by Mike Brown),-0.56,0.61,9.0,2024,131
4,8:51,1.0,10.0,NWE 25,10.0,10.0,Drake Maye pass complete short right to Demario Douglas for -1 yards (tackle by Roger McCreary),0.61,-0.07,9.0,2024,131
4,8:12,2.0,11.0,NWE 24,10.0,10.0,Drake Maye pass complete short right to Demario Douglas for 11 yards (tackle by Harold Landry),-0.07,1.27,9.0,2024,131
4,7:41,1.0,10.0,NWE 35,10.0,10.0,Drake Maye pass complete short left to Demario Douglas for -3 yards (tackle by Darrell Baker),1.27,0.32,9.0,2024,131
4,7:03,2.0,13.0,NWE 32,10.0,10.0,"Drake Maye sacked by Arden Key for -4 yards. Drake Maye fumbles (forced by Arden Key), recovered by Jeffery Simmons at NE-26",0.32,-3.84,9.0,2024,131
4,6:53,1.0,10.0,NWE 26,10.0,10.0,Mason Rudolph pass complete short right to Calvin Ridley for 6 yards (tackle by Dell Pettus),3.84,4.11,9.0,2024,131
4,6:20,2.0,4.0,NWE 20,10.0,10.0,Tony Pollard left end for 11 yards (tackle by Marcus Jones),4.11,5.14,9.0,2024,131
4,5:37,1.0,9.0,NWE 9,10.0,10.0,Tony Pollard up the middle for 2 yards (tackle by Anfernee Jennings),5.14,4.76,9.0,2024,131
4,4:54,2.0,7.0,NWE 7,10.0,10.0,Tony Pollard up the middle for 1 yard (tackle by Jaquelin Roy),4.76,4.04,9.0,2024,131
4,4:32,3.0,6.0,NWE 6,10.0,16.0,"Mason Rudolph pass complete short left to Nick Westbrook-Ikhine for 6 yards, touchdown",4.04,7.0,9.0,2024,131
4,4:27,,,NWE 15,10.0,17.0,Nick Folk kicks extra point good,0.0,0.0,9.0,2024,131
4,4:27,,,TEN 35,10.0,17.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,131
4,4:27,1.0,10.0,NWE 30,10.0,17.0,Drake Maye pass complete short middle to Kayshon Boutte for 7 yards (tackle by Jarvis Brownlee),0.94,1.34,9.0,2024,131
4,4:02,2.0,3.0,NWE 37,10.0,17.0,Rhamondre Stevenson up the middle for 3 yards (tackle by Jeffery Simmons and Jack Gibbens),1.34,1.6,9.0,2024,131
4,3:25,1.0,10.0,NWE 40,10.0,17.0,Drake Maye scrambles left end for 3 yards (tackle by Mike Brown),1.6,1.46,9.0,2024,131
4,3:18,2.0,7.0,NWE 43,10.0,17.0,Drake Maye pass incomplete short left intended for Kendrick Bourne,1.46,0.76,9.0,2024,131
4,3:13,3.0,7.0,NWE 43,10.0,17.0,"Drake Maye pass complete short left to Kendrick Bourne for no gain (tackle by Mike Brown). Penalty on Ben Brown: Offensive Holding, 10 yards (accepted) (no play)",0.76,-0.56,9.0,2024,131
4,3:05,3.0,17.0,NWE 33,10.0,17.0,Drake Maye pass incomplete deep right intended for Demario Douglas,-0.56,-1.18,9.0,2024,131
4,2:58,4.0,17.0,NWE 33,10.0,17.0,"Bryce Baringer punts 60 yards, returned by Jha'Quan Jackson for 7 yards. Jha'Quan Jackson fumbles (forced by Marcellas Dial), recovered by Jha'Quan Jackson at TEN-14",-1.18,0.28,9.0,2024,131
4,2:47,1.0,10.0,TEN 14,10.0,17.0,Tony Pollard up the middle for 1 yard (tackle by Jahlani Tavai and Davon Godchaux),-0.28,-0.64,9.0,2024,131
4,2:43,,,,,,Timeout #2 by New England Patriots,,,9.0,2024,131
4,2:43,2.0,9.0,TEN 15,10.0,17.0,Tony Pollard right end for 2 yards (tackle by Anfernee Jennings),-0.64,-1.04,9.0,2024,131
4,2:37,,,,,,Timeout #3 by New England Patriots,,,9.0,2024,131
4,2:37,3.0,7.0,TEN 17,10.0,17.0,Tony Pollard right guard for no gain (tackle by Anfernee Jennings and Daniel Ekuale),-1.04,-2.32,9.0,2024,131
4,2:00,4.0,7.0,TEN 17,10.0,17.0,"Ryan Stonehouse punts 58 yards, returned by Marcus Jones for 25 yards (tackle by James Williams)",-2.32,-2.26,9.0,2024,131
4,1:45,1.0,10.0,TEN 50,10.0,17.0,Drake Maye pass incomplete short middle intended for Demario Douglas,2.26,1.71,9.0,2024,131
4,1:37,2.0,10.0,TEN 50,10.0,17.0,Drake Maye pass complete short right to Kayshon Boutte for 11 yards (tackle by Darrell Baker),1.71,2.98,9.0,2024,131
4,1:20,1.0,10.0,TEN 39,10.0,17.0,Drake Maye pass complete short left to Rhamondre Stevenson for 9 yards (tackle by Roger McCreary and Jack Gibbens),2.98,3.66,9.0,2024,131
4,0:58,2.0,1.0,TEN 30,10.0,17.0,Drake Maye scrambles left end for 7 yards (tackle by Jack Gibbens),3.66,4.04,9.0,2024,131
4,0:40,,,,,,Timeout #1 by Tennessee Titans,,,9.0,2024,131
4,0:40,1.0,10.0,TEN 23,10.0,17.0,Drake Maye pass incomplete deep middle intended for Kendrick Bourne (defended by Amani Hooker) (defended by Jarvis Brownlee),4.04,3.5,9.0,2024,131
4,0:34,2.0,10.0,TEN 23,10.0,17.0,Drake Maye pass complete short left to Rhamondre Stevenson for 8 yards (tackle by Kenneth Murray),3.5,4.05,9.0,2024,131
4,0:28,3.0,2.0,TEN 15,10.0,17.0,Drake Maye pass incomplete short middle,4.05,2.57,9.0,2024,131
4,0:21,4.0,2.0,TEN 15,10.0,17.0,Drake Maye pass complete short middle to Hunter Henry for 10 yards (tackle by Amani Hooker and Mike Brown),2.57,6.06,9.0,2024,131
4,0:08,1.0,5.0,TEN 5,10.0,17.0,Drake Maye spiked the ball,6.06,5.15,9.0,2024,131
4,0:08,,,,,,Timeout #2 by Tennessee Titans,,,9.0,2024,131
4,0:08,2.0,5.0,TEN 5,10.0,17.0,Drake Maye pass incomplete short right intended for Kayshon Boutte (defended by Harold Landry),5.15,4.26,9.0,2024,131
4,0:04,3.0,5.0,TEN 5,16.0,17.0,"Drake Maye pass complete short right to Rhamondre Stevenson for 5 yards, touchdown",4.26,7.0,9.0,2024,131
4,0:00,,,TEN 15,17.0,17.0,Joey Slye kicks extra point good,0.0,0.0,9.0,2024,131
,,,,,,,"Titans won the coin toss, Titans to receive the overtime kickoff.",,,9.0,2024,131
