Quarter,Time,Down,ToGo,Location,IND,MIN,Detail,EPB,EPA,week,year,game_id
1.0,8:58,3.0,6.0,IND 37,0.0,0.0,Sam Darnold pass complete short right to Jordan Addison for 6 yards (tackle by Samuel Womack),2.15,3.51,9.0,2024,137
1.0,8:19,1.0,10.0,IND 31,0.0,0.0,"Aaron Jones up the middle for 3 yards (tackle by Zaire Franklin). Penalty on Taven Bryan: Defensive Holding, 5 yards (accepted)",3.51,4.04,9.0,2024,137
1.0,7:57,1.0,10.0,IND 23,0.0,0.0,Aaron Jones right tackle for no gain (tackle by Zaire Franklin),4.04,3.5,9.0,2024,137
1.0,7:28,2.0,10.0,IND 23,0.0,0.0,Sam Darnold pass complete short right to Trent Sherfield for 7 yards (tackle by E.J. Speed),3.5,3.85,9.0,2024,137
1.0,6:55,3.0,3.0,IND 16,0.0,0.0,Sam Darnold pass deep left intended for T.J. Hockenson is intercepted by Zaire Franklin in end zone and returned for no gain,3.85,-0.28,9.0,2024,137
1.0,6:40,1.0,10.0,IND 20,0.0,0.0,Joe Flacco pass complete short right to Jonathan Taylor for 11 yards (tackle by Byron Murphy and Ivan Pace),0.28,1.0,9.0,2024,137
1.0,6:01,1.0,10.0,IND 31,0.0,0.0,Jonathan Taylor up the middle for 1 yard (tackle by Jonathan Bullard and Ivan Pace),1.0,0.6,9.0,2024,137
1.0,5:26,2.0,9.0,IND 32,0.0,0.0,Joe Flacco pass complete short right to Josh Downs for 5 yards (tackle by Stephon Gilmore and Andrew Van Ginkel),0.6,0.56,9.0,2024,137
1.0,4:46,3.0,4.0,IND 37,0.0,0.0,Joe Flacco pass incomplete short right intended for Jonathan Taylor,0.56,-0.91,9.0,2024,137
1.0,4:36,4.0,4.0,IND 37,0.0,0.0,"Rigoberto Sanchez punts 54 yards, returned by Brandon Powell for 15 yards (tackle by Tyler Goodson)",-0.91,-0.54,9.0,2024,137
1.0,4:26,1.0,10.0,MIN 24,0.0,0.0,Jordan Addison right end for 9 yards (tackle by Zaire Franklin),0.54,1.21,9.0,2024,137
1.0,3:46,2.0,1.0,MIN 33,0.0,0.0,Aaron Jones up the middle for 3 yards (tackle by E.J. Speed),1.21,1.33,9.0,2024,137
1.0,3:10,1.0,10.0,MIN 36,0.0,0.0,Sam Darnold pass complete deep left to Justin Jefferson for 20 yards (tackle by Julian Blackmon),1.33,2.65,9.0,2024,137
1.0,2:31,1.0,10.0,IND 44,0.0,0.0,Aaron Jones right end for 1 yard (tackle by Samuel Womack),2.65,2.25,9.0,2024,137
1.0,1:55,2.0,9.0,IND 43,0.0,0.0,Sam Darnold pass complete short left to Aaron Jones for -7 yards (tackle by Grant Stuard),2.25,0.63,9.0,2024,137
1.0,1:14,3.0,16.0,MIN 50,0.0,0.0,Sam Darnold pass complete short right to T.J. Hockenson for 6 yards (tackle by Kenny Moore),0.63,0.33,9.0,2024,137
1.0,0:28,4.0,10.0,IND 44,0.0,0.0,"Ryan Wright punts 44 yards, touchback.",0.33,-0.28,9.0,2024,137
1.0,0:15,1.0,10.0,IND 20,0.0,0.0,Jonathan Taylor right tackle for 4 yards (tackle by Dallas Turner and Ivan Pace),0.28,0.27,9.0,2024,137
2.0,15:00,2.0,6.0,IND 24,0.0,0.0,Jonathan Taylor left tackle for 1 yard (tackle by Harrison Phillips),0.27,-0.3,9.0,2024,137
2.0,14:25,3.0,5.0,IND 25,0.0,0.0,Joe Flacco pass incomplete short middle intended for Michael Pittman (defended by Camryn Bynum),-0.3,-1.7,9.0,2024,137
2.0,14:18,4.0,5.0,IND 25,0.0,0.0,Rigoberto Sanchez punts 50 yards out of bounds,-1.7,-0.61,9.0,2024,137
2.0,14:10,1.0,10.0,MIN 25,0.0,0.0,Cam Akers right tackle for 12 yards (tackle by Julian Blackmon),0.61,1.4,9.0,2024,137
2.0,13:34,1.0,10.0,MIN 37,0.0,0.0,Cam Akers right guard for 4 yards (tackle by Kenny Moore),1.4,1.4,9.0,2024,137
2.0,12:57,2.0,6.0,MIN 41,0.0,0.0,Sam Darnold pass complete short right to Cam Akers for no gain (tackle by E.J. Speed),1.4,0.7,9.0,2024,137
2.0,12:19,3.0,6.0,MIN 41,0.0,0.0,"Sam Darnold pass complete short left to T.J. Hockenson for no gain (tackle by Zaire Franklin). Penalty on Cam Robinson: Offensive Holding, 10 yards (accepted) (no play)",0.7,-0.62,9.0,2024,137
2.0,11:49,3.0,16.0,MIN 31,0.0,0.0,Justin Jefferson pass complete short right to Aaron Jones for 22 yards (tackle by Nick Cross),-0.62,2.46,9.0,2024,137
2.0,11:06,1.0,10.0,IND 47,6.0,0.0,"Sam Darnold sacked by Grover Stewart for -10 yards. Sam Darnold fumbles (forced by Grover Stewart), recovered by Kenny Moore at MIN-38 and returned for 38 yards, touchdown",2.46,-7.0,9.0,2024,137
2.0,10:56,,,MIN 15,7.0,0.0,Matt Gay kicks extra point good,0.0,0.0,9.0,2024,137
2.0,10:56,,,IND 35,7.0,0.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,137
2.0,10:56,1.0,10.0,MIN 30,7.0,0.0,Aaron Jones right tackle for 3 yards (tackle by DeForest Buckner and Samuel Womack),0.94,0.8,9.0,2024,137
2.0,10:15,2.0,7.0,MIN 33,7.0,0.0,Sam Darnold pass complete short left to Josh Oliver for 14 yards (tackle by E.J. Speed and Zaire Franklin),0.8,2.06,9.0,2024,137
2.0,9:40,1.0,10.0,MIN 47,7.0,0.0,Sam Darnold pass complete short left to Josh Oliver for 8 yards (tackle by Jaylon Jones and Nick Cross),2.06,2.6,9.0,2024,137
2.0,9:15,2.0,2.0,IND 45,7.0,0.0,Aaron Jones left tackle for 1 yard (tackle by Zaire Franklin),2.6,2.02,9.0,2024,137
2.0,8:37,3.0,1.0,IND 44,7.0,0.0,Aaron Jones up the middle for no gain (tackle by E.J. Speed),2.02,0.33,9.0,2024,137
2.0,7:59,,,,,,Timeout #1 by Minnesota Vikings,,,9.0,2024,137
2.0,7:59,4.0,1.0,IND 44,7.0,0.0,Sam Darnold up the middle for 2 yards (tackle by DeForest Buckner),0.33,2.79,9.0,2024,137
2.0,7:26,1.0,10.0,IND 42,7.0,0.0,Sam Darnold sacked by Grover Stewart for no gain,2.79,2.24,9.0,2024,137
2.0,6:44,2.0,10.0,IND 42,7.0,0.0,Sam Darnold pass complete short left to Cam Akers for 7 yards (tackle by E.J. Speed and Jaylon Jones),2.24,2.48,9.0,2024,137
2.0,6:06,3.0,3.0,IND 35,7.0,0.0,Sam Darnold pass incomplete short right intended for Justin Jefferson,2.48,0.99,9.0,2024,137
2.0,5:50,4.0,3.0,IND 35,7.0,0.0,Will Reichard 53 yard field goal no good,0.99,-1.8,9.0,2024,137
2.0,5:46,1.0,10.0,IND 43,7.0,0.0,Joe Flacco pass incomplete deep left intended for Ashton Dulin,1.8,1.25,9.0,2024,137
2.0,5:40,2.0,10.0,IND 43,7.0,0.0,Joe Flacco pass complete short right to Josh Downs for 12 yards (tackle by Andrew Van Ginkel),1.25,2.59,9.0,2024,137
2.0,5:04,1.0,10.0,MIN 45,7.0,0.0,Jonathan Taylor up the middle for 2 yards (tackle by Jonathan Bullard and Camryn Bynum),2.59,2.31,9.0,2024,137
2.0,4:26,2.0,8.0,MIN 43,7.0,0.0,Joe Flacco pass complete short right to Alec Pierce for 16 yards (tackle by Camryn Bynum),2.31,3.78,9.0,2024,137
2.0,3:49,1.0,10.0,MIN 27,7.0,0.0,"Joe Flacco pass complete short right to Kylen Granson for no gain (tackle by Byron Murphy). Penalty on Kylen Granson: Illegal Shift, 5 yards (accepted) (no play)",3.78,3.45,9.0,2024,137
2.0,3:30,1.0,15.0,MIN 32,7.0,0.0,Joe Flacco pass complete short right to Jonathan Taylor for -4 yards (tackle by Jalen Redmond),3.45,2.02,9.0,2024,137
2.0,2:49,2.0,19.0,MIN 36,7.0,0.0,Joe Flacco pass incomplete short right intended for Josh Downs,2.02,1.36,9.0,2024,137
2.0,2:40,3.0,19.0,MIN 36,7.0,0.0,Jonathan Taylor up the middle for 1 yard (tackle by Jihad Ward),1.36,0.97,9.0,2024,137
2.0,2:00,4.0,18.0,MIN 35,7.0,0.0,Matt Gay 53 yard field goal no good,0.97,-1.8,9.0,2024,137
2.0,1:55,1.0,10.0,MIN 43,7.0,0.0,Sam Darnold pass complete deep middle to Justin Jefferson for 22 yards (tackle by Julian Blackmon),1.8,3.25,9.0,2024,137
2.0,1:27,1.0,10.0,IND 35,7.0,0.0,Sam Darnold pass incomplete short left,3.25,2.7,9.0,2024,137
2.0,1:23,2.0,10.0,IND 35,7.0,0.0,Sam Darnold pass complete short left to Justin Jefferson for 24 yards (tackle by Jaylon Jones and Nick Cross),2.7,4.84,9.0,2024,137
2.0,1:13,,,,,,Timeout #1 by Indianapolis Colts,,,9.0,2024,137
2.0,1:13,1.0,10.0,IND 11,7.0,0.0,Aaron Jones right guard for 2 yards (tackle by Zaire Franklin),4.84,4.51,9.0,2024,137
2.0,1:10,,,,,,Timeout #2 by Indianapolis Colts,,,9.0,2024,137
2.0,1:10,2.0,8.0,IND 9,7.0,0.0,Sam Darnold sacked by DeForest Buckner for -12 yards,4.51,2.28,9.0,2024,137
2.0,1:05,,,,,,Timeout #3 by Indianapolis Colts,,,9.0,2024,137
2.0,1:05,3.0,20.0,IND 21,7.0,0.0,Sam Darnold pass complete short left to Justin Jefferson for 8 yards (tackle by Nick Cross),2.28,2.57,9.0,2024,137
2.0,0:17,,,,,,Timeout #2 by Minnesota Vikings,,,9.0,2024,137
2.0,0:17,4.0,12.0,IND 13,7.0,0.0,Will Reichard 31 yard field goal no good,2.57,-0.34,9.0,2024,137
2.0,0:13,1.0,10.0,IND 21,7.0,0.0,Joe Flacco kneels for -1 yards,0.34,-0.34,9.0,2024,137
3.0,15:00,,,IND 35,7.0,0.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,137
3.0,15:00,1.0,10.0,MIN 30,7.0,0.0,Sam Darnold pass complete deep left to Justin Jefferson for 21 yards (tackle by Zaire Franklin),0.94,2.32,9.0,2024,137
3.0,14:44,1.0,10.0,IND 49,7.0,0.0,Aaron Jones right guard for 4 yards (tackle by Nick Cross),2.32,2.32,9.0,2024,137
3.0,14:10,2.0,6.0,IND 45,7.0,0.0,Sam Darnold pass complete deep right to T.J. Hockenson for 19 yards (tackle by Nick Cross),2.32,3.84,9.0,2024,137
3.0,13:27,1.0,10.0,IND 26,7.0,0.0,"Penalty on Grover Stewart: Encroachment, 5 yards (accepted) (no play)",3.84,4.57,9.0,2024,137
3.0,12:59,1.0,5.0,IND 21,7.0,0.0,Aaron Jones left end for 4 yards (tackle by Julian Blackmon),4.57,4.64,9.0,2024,137
3.0,12:38,2.0,1.0,IND 17,7.0,0.0,Sam Darnold up the middle for 2 yards (tackle by Grover Stewart and DeForest Buckner),4.64,4.58,9.0,2024,137
3.0,11:56,1.0,10.0,IND 15,7.0,0.0,Sam Darnold pass complete short right to Justin Jefferson for 1 yard (tackle by Kenny Moore),4.58,4.11,9.0,2024,137
3.0,11:19,2.0,9.0,IND 14,7.0,0.0,Sam Darnold pass incomplete short right intended for Johnny Mundt,4.11,3.24,9.0,2024,137
3.0,11:09,3.0,9.0,IND 14,7.0,0.0,Sam Darnold pass complete short left to Jordan Addison for 10 yards (tackle by Julian Blackmon),3.24,6.28,9.0,2024,137
3.0,10:28,1.0,4.0,IND 4,7.0,6.0,"Sam Darnold pass complete short right to Jordan Addison for 4 yards, touchdown",6.28,7.0,9.0,2024,137
3.0,10:23,,,IND 15,7.0,7.0,Will Reichard kicks extra point good,0.0,0.0,9.0,2024,137
3.0,10:23,,,MIN 35,7.0,7.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,137
3.0,10:23,1.0,10.0,IND 30,7.0,7.0,Ashton Dulin left end for 12 yards (tackle by Josh Metellus and Harrison Smith),0.94,1.73,9.0,2024,137
3.0,9:54,1.0,10.0,IND 42,7.0,7.0,Joe Flacco pass complete short left to Alec Pierce for 10 yards (tackle by Ivan Pace),1.73,2.39,9.0,2024,137
3.0,9:10,1.0,10.0,MIN 48,7.0,7.0,"Joe Flacco pass incomplete deep right. Penalty on Braden Smith: Offensive Holding, 10 yards (accepted) (no play)",2.39,1.73,9.0,2024,137
3.0,8:48,1.0,20.0,IND 42,7.0,7.0,Joe Flacco pass incomplete deep middle intended for Josh Downs,1.73,0.5,9.0,2024,137
3.0,8:45,2.0,20.0,IND 42,7.0,7.0,Joe Flacco pass complete short left to Michael Pittman for 14 yards (tackle by Camryn Bynum),0.5,1.69,9.0,2024,137
3.0,8:03,3.0,6.0,MIN 44,7.0,7.0,Joe Flacco pass incomplete short right intended for Trey Sermon (defended by Jonathan Greenard),1.69,0.33,9.0,2024,137
3.0,8:00,4.0,6.0,MIN 44,7.0,7.0,"Penalty on Joe Flacco: Delay of Game, 5 yards (declined) (no play)",0.33,0.33,9.0,2024,137
3.0,8:00,4.0,6.0,MIN 44,7.0,7.0,"Rigoberto Sanchez punts 44 yards, touchback.",0.33,-0.28,9.0,2024,137
3.0,7:53,1.0,10.0,MIN 20,7.0,7.0,Sam Darnold pass complete short right to Josh Oliver for 11 yards (tackle by E.J. Speed),0.28,1.0,9.0,2024,137
3.0,7:15,1.0,10.0,MIN 31,7.0,7.0,"Sam Darnold pass incomplete short right intended for Aaron Jones. Penalty on Jaylon Jones: Defensive Holding, 5 yards (accepted) (no play)",1.0,1.33,9.0,2024,137
3.0,7:09,1.0,10.0,MIN 36,7.0,7.0,Aaron Jones left guard for 3 yards (tackle by Grant Stuard and Raekwon Davis),1.33,1.2,9.0,2024,137
3.0,6:30,2.0,7.0,MIN 39,7.0,7.0,Sam Darnold scrambles left end for 11 yards (tackle by Zaire Franklin),1.2,2.26,9.0,2024,137
3.0,5:50,1.0,10.0,MIN 50,7.0,7.0,Sam Darnold pass complete short right to Aaron Jones for 8 yards (tackle by Kenny Moore and Nick Cross),2.26,2.79,9.0,2024,137
3.0,5:24,2.0,2.0,IND 42,7.0,7.0,Aaron Jones left guard for no gain (tackle by Grover Stewart and Dayo Odeyingbo),2.79,2.08,9.0,2024,137
3.0,4:49,3.0,2.0,IND 42,7.0,7.0,Sam Darnold pass complete deep right to Justin Jefferson for 41 yards (tackle by Samuel Womack),2.08,6.97,9.0,2024,137
3.0,4:14,1.0,1.0,IND 1,7.0,7.0,Aaron Jones left guard for -1 yards (tackle by E.J. Speed and Kwity Paye),6.97,5.72,9.0,2024,137
3.0,3:32,,,,,,Timeout #1 by Minnesota Vikings,,,9.0,2024,137
3.0,3:32,2.0,2.0,IND 2,7.0,7.0,Sam Darnold pass complete short middle to Aaron Jones for -5 yards (tackle by E.J. Speed),5.72,3.81,9.0,2024,137
3.0,2:53,3.0,7.0,IND 7,7.0,13.0,"Sam Darnold pass complete short left to Jalen Nailor for 7 yards, touchdown",3.81,7.0,9.0,2024,137
3.0,2:49,,,IND 15,7.0,14.0,Will Reichard kicks extra point good,0.0,0.0,9.0,2024,137
3.0,2:49,,,MIN 35,7.0,14.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,137
3.0,2:49,1.0,10.0,IND 30,7.0,14.0,Jonathan Taylor left end for 1 yard (tackle by Harrison Phillips),0.94,0.53,9.0,2024,137
3.0,2:11,2.0,9.0,IND 31,7.0,14.0,Joe Flacco pass complete short right to Jonathan Taylor for 4 yards (tackle by Josh Metellus),0.53,0.37,9.0,2024,137
3.0,1:27,3.0,5.0,IND 35,7.0,14.0,Joe Flacco pass complete short left to Josh Downs for 16 yards (tackle by Byron Murphy),0.37,2.32,9.0,2024,137
3.0,1:01,1.0,10.0,MIN 49,7.0,14.0,Joe Flacco pass complete short right to Josh Downs for 12 yards (tackle by Stephon Gilmore and Josh Metellus),2.32,3.12,9.0,2024,137
3.0,0:30,1.0,10.0,MIN 37,7.0,14.0,Trey Sermon up the middle for no gain (tackle by Jerry Tillery and Harrison Phillips),3.12,2.57,9.0,2024,137
4.0,15:00,2.0,10.0,MIN 37,7.0,14.0,"Joe Flacco scrambles up the middle for no gain (tackle by Harrison Phillips). Penalty on Jonathan Taylor: Chop Block, 15 yards (accepted) (no play)",2.57,0.55,9.0,2024,137
4.0,14:38,2.0,25.0,IND 48,7.0,14.0,"Penalty on Braden Smith: False Start, 5 yards (accepted) (no play)",0.55,-0.13,9.0,2024,137
4.0,14:34,2.0,30.0,IND 43,7.0,14.0,Joe Flacco pass complete deep right to Adonai Mitchell for 22 yards,-0.13,2.15,9.0,2024,137
4.0,14:28,3.0,8.0,MIN 35,7.0,14.0,Joe Flacco pass short left intended for Josh Downs is intercepted by Byron Murphy at MIN-23 and returned for no gain (tackle by Josh Downs),2.15,-0.48,9.0,2024,137
4.0,14:23,1.0,10.0,MIN 23,7.0,14.0,Sam Darnold pass deep left intended for Justin Jefferson is intercepted by Nick Cross at MIN-45 and returned for 20 yards (tackle by Josh Oliver),0.48,-3.91,9.0,2024,137
4.0,14:13,1.0,10.0,MIN 25,7.0,14.0,Jonathan Taylor left tackle for 1 yard (tackle by Kamu Grugier-Hill and Harrison Phillips),3.91,3.5,9.0,2024,137
4.0,13:36,2.0,9.0,MIN 24,7.0,14.0,Joe Flacco pass complete short left to Josh Downs for 1 yard (tackle by Stephon Gilmore),3.5,2.94,9.0,2024,137
4.0,12:56,3.0,8.0,MIN 23,7.0,14.0,Joe Flacco pass incomplete short left intended for Michael Pittman,2.94,1.93,9.0,2024,137
4.0,12:44,4.0,8.0,MIN 23,10.0,14.0,Matt Gay 42 yard field goal good,1.93,3.0,9.0,2024,137
4.0,12:41,,,IND 35,10.0,14.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,137
4.0,12:41,1.0,10.0,MIN 30,10.0,14.0,Cam Akers left guard for 6 yards (tackle by E.J. Speed),0.94,1.2,9.0,2024,137
4.0,12:17,2.0,4.0,MIN 36,10.0,14.0,Cam Akers up the middle for 13 yards (tackle by Julian Blackmon),1.2,2.19,9.0,2024,137
4.0,11:37,1.0,10.0,MIN 49,10.0,14.0,Cam Akers left tackle for 12 yards (tackle by Nick Cross),2.19,2.98,9.0,2024,137
4.0,10:55,1.0,10.0,IND 39,10.0,14.0,Sam Darnold pass incomplete short right,2.98,2.44,9.0,2024,137
4.0,10:50,2.0,10.0,IND 39,10.0,14.0,Cam Akers right guard for -1 yards (tackle by Kenny Moore),2.44,1.62,9.0,2024,137
4.0,10:09,3.0,11.0,IND 40,10.0,14.0,Sam Darnold sacked by Kwity Paye for -8 yards,1.62,0.07,9.0,2024,137
4.0,9:31,4.0,19.0,IND 48,10.0,14.0,"Ryan Wright punts 39 yards, returned by Josh Downs for 12 yards (tackle by Brian Asamoah and Andrew DePaola)",0.07,-0.34,9.0,2024,137
4.0,9:22,1.0,10.0,IND 21,10.0,14.0,Joe Flacco pass incomplete short left intended for Jonathan Taylor,0.34,-0.2,9.0,2024,137
4.0,9:19,2.0,10.0,IND 21,10.0,14.0,Joe Flacco pass complete short right to Alec Pierce for 15 yards (tackle by Josh Metellus),-0.2,1.33,9.0,2024,137
4.0,8:35,1.0,10.0,IND 36,10.0,14.0,Jonathan Taylor left guard for 4 yards (tackle by Jerry Tillery),1.33,1.33,9.0,2024,137
4.0,8:04,2.0,6.0,IND 40,10.0,14.0,Ashton Dulin right end for 5 yards (tackle by Dallas Turner and Camryn Bynum),1.33,1.29,9.0,2024,137
4.0,7:25,3.0,1.0,IND 45,10.0,14.0,Jonathan Taylor left guard for 7 yards (tackle by Byron Murphy),1.29,2.39,9.0,2024,137
4.0,6:48,1.0,10.0,MIN 48,10.0,14.0,Jonathan Taylor up the middle for 4 yards (tackle by Harrison Phillips),2.39,2.39,9.0,2024,137
4.0,6:11,2.0,6.0,MIN 44,10.0,14.0,Trey Sermon right tackle for 4 yards (tackle by Josh Metellus and Harrison Smith),2.39,2.21,9.0,2024,137
4.0,5:33,3.0,2.0,MIN 40,10.0,14.0,Joe Flacco pass incomplete deep right intended for Michael Pittman (defended by Harrison Smith),2.21,0.59,9.0,2024,137
4.0,5:24,4.0,2.0,MIN 40,10.0,14.0,Joe Flacco pass incomplete short right intended for Ashton Dulin (defended by Stephon Gilmore),0.59,-1.6,9.0,2024,137
4.0,5:20,1.0,10.0,MIN 40,10.0,14.0,Aaron Jones left end for 1 yard (tackle by E.J. Speed and Jaylon Jones),1.6,1.19,9.0,2024,137
4.0,4:44,2.0,9.0,MIN 41,10.0,14.0,Sam Darnold pass complete short right to Jordan Addison for 21 yards (tackle by Samuel Womack),1.19,3.05,9.0,2024,137
4.0,3:58,1.0,10.0,IND 38,10.0,14.0,Aaron Jones left guard for 10 yards (tackle by Jaylon Jones),3.05,3.71,9.0,2024,137
4.0,3:48,1.0,10.0,IND 28,10.0,14.0,Aaron Jones left guard for 7 yards (tackle by Grant Stuard),3.71,4.11,9.0,2024,137
4.0,3:06,2.0,3.0,IND 21,10.0,14.0,Aaron Jones left tackle for 2 yards (tackle by Taven Bryan),4.11,3.72,9.0,2024,137
4.0,3:00,,,,,,Timeout #1 by Indianapolis Colts,,,9.0,2024,137
4.0,3:00,3.0,1.0,IND 19,10.0,14.0,Aaron Jones left tackle for 6 yards (tackle by Nick Cross and Dayo Odeyingbo),3.72,4.71,9.0,2024,137
4.0,2:53,,,,,,Timeout #2 by Indianapolis Colts,,,9.0,2024,137
4.0,2:53,1.0,10.0,IND 13,10.0,14.0,Aaron Jones left end for -1 yards (tackle by Adetomiwa Adebawore and E.J. Speed),4.71,3.9,9.0,2024,137
4.0,2:09,2.0,11.0,IND 14,10.0,20.0,"Sam Darnold pass complete short left to Josh Oliver for 14 yards, touchdown",3.9,7.0,9.0,2024,137
4.0,2:05,,,IND 15,10.0,21.0,Will Reichard kicks extra point good,0.0,0.0,9.0,2024,137
4.0,2:05,,,MIN 35,10.0,21.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,137
4.0,2:05,1.0,10.0,IND 30,10.0,21.0,Joe Flacco sacked by Jonathan Greenard for -8 yards,0.94,-0.69,9.0,2024,137
4.0,2:00,2.0,18.0,IND 22,10.0,21.0,Joe Flacco sacked by Jihad Ward for -4 yards,-0.69,-2.12,9.0,2024,137
4.0,1:54,,,,,,Timeout #3 by Indianapolis Colts,,,9.0,2024,137
4.0,1:54,3.0,22.0,IND 18,10.0,21.0,Joe Flacco pass complete short left to Trey Sermon for 9 yards (tackle by Ivan Pace),-2.12,-1.57,9.0,2024,137
4.0,1:26,4.0,13.0,IND 27,10.0,21.0,Joe Flacco pass complete short middle to Josh Downs for 14 yards (tackle by Byron Murphy),-1.57,1.66,9.0,2024,137
4.0,1:05,1.0,10.0,IND 41,10.0,21.0,Joe Flacco sacked by Jonathan Greenard for -8 yards,1.66,0.04,9.0,2024,137
4.0,0:45,2.0,18.0,IND 33,10.0,21.0,"Joe Flacco pass incomplete short right intended for Alec Pierce. Penalty on Dallas Turner: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",0.04,0.72,9.0,2024,137
4.0,0:40,2.0,13.0,IND 38,10.0,21.0,"Joe Flacco pass deep left is intercepted by Camryn Bynum at IND-29 and returned for no gain. Penalty on Stephon Gilmore: Defensive Pass Interference, 26 yards (accepted) (no play)",0.72,3.18,9.0,2024,137
4.0,0:32,1.0,10.0,MIN 36,13.0,21.0,Matt Gay 54 yard field goal good,3.18,3.0,9.0,2024,137
4.0,0:28,,,,,,Timeout #2 by Minnesota Vikings,,,9.0,2024,137
4.0,0:28,,,IND 35,13.0,21.0,"Rigoberto Sanchez kicks onside 10 yards, returned by Justin Jefferson for no gain",0.0,2.59,9.0,2024,137
4.0,0:27,1.0,10.0,IND 45,13.0,21.0,Sam Darnold kneels for -1 yards,2.59,1.91,9.0,2024,137
