Quarter,Time,Down,ToGo,Location,CHI,ARI,Detail,EPB,EPA,week,year,game_id
2.0,13:11,1.0,10.0,ARI 23,0.0,7.0,Roschon Johnson up the middle for 7 yards (tackle by Starling Thomas and Mack Wilson),4.04,4.56,9.0,2024,133
2.0,12:46,2.0,3.0,ARI 16,0.0,7.0,Caleb Williams pass incomplete short right intended for Roschon Johnson (defended by Garrett Williams),4.56,3.85,9.0,2024,133
2.0,12:40,3.0,3.0,ARI 16,0.0,7.0,"Caleb Williams pass complete short right to Keenan Allen for no gain (tackle by Garrett Williams). Penalty on Dante Stills: Defensive Offside, 5 yards (accepted) (no play)",3.85,4.84,9.0,2024,133
2.0,12:10,1.0,10.0,ARI 11,0.0,7.0,Caleb Williams pass incomplete short right,4.84,4.14,9.0,2024,133
2.0,12:03,2.0,10.0,ARI 11,0.0,7.0,Caleb Williams pass incomplete short right intended for Rome Odunze,4.14,3.13,9.0,2024,133
2.0,12:00,3.0,10.0,ARI 11,0.0,7.0,Caleb Williams pass incomplete short left intended for Keenan Allen (defended by Starling Thomas),3.13,2.7,9.0,2024,133
2.0,11:54,4.0,10.0,ARI 11,3.0,7.0,Cairo Santos 29 yard field goal good,2.7,3.0,9.0,2024,133
2.0,11:51,,,CHI 35,3.0,7.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,133
2.0,11:51,1.0,10.0,ARI 30,3.0,7.0,Trey Benson up the middle for 2 yards (tackle by T.J. Edwards),0.94,0.66,9.0,2024,133
2.0,11:15,2.0,8.0,ARI 32,3.0,7.0,"Kyler Murray pass complete deep left to Marvin Harrison for 21 yards. Marvin Harrison fumbles (forced by Reddy Steward), recovered by Elijah Hicks at CHI-45 and returned for 9 yards (tackle by Trey Benson) Replay Assistant challenged the fumble ruling, and the play was upheld.",0.66,-2.52,9.0,2024,133
2.0,11:02,1.0,10.0,ARI 46,3.0,7.0,D'Andre Swift up the middle for 9 yards (tackle by Max Melton and Garrett Williams),2.52,3.19,9.0,2024,133
2.0,10:28,2.0,1.0,ARI 37,3.0,7.0,D'Andre Swift up the middle for 2 yards (tackle by Budda Baker),3.19,3.25,9.0,2024,133
2.0,9:50,1.0,10.0,ARI 35,3.0,7.0,Caleb Williams pass incomplete short right,3.25,2.7,9.0,2024,133
2.0,9:48,2.0,10.0,ARI 35,3.0,7.0,D'Andre Swift right tackle for no gain (tackle by Zaven Collins and Dante Stills),2.7,2.01,9.0,2024,133
2.0,9:19,3.0,10.0,ARI 35,3.0,7.0,Caleb Williams pass incomplete short left intended for D.J. Moore,2.01,0.97,9.0,2024,133
2.0,9:14,4.0,10.0,ARI 35,6.0,7.0,Cairo Santos 53 yard field goal good,0.97,3.0,9.0,2024,133
2.0,9:10,,,CHI 35,6.0,7.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,133
2.0,9:10,1.0,10.0,ARI 30,6.0,7.0,Trey Benson left tackle for 17 yards (tackle by Elijah Hicks),0.94,2.06,9.0,2024,133
2.0,8:32,1.0,10.0,ARI 47,6.0,7.0,Kyler Murray pass complete short left to James Conner for 8 yards (tackle by Tremaine Edmunds),2.06,2.6,9.0,2024,133
2.0,7:55,2.0,2.0,CHI 45,6.0,7.0,James Conner left tackle for 9 yards (tackle by Elijah Hicks and Kevin Byard),2.6,3.18,9.0,2024,133
2.0,7:17,1.0,10.0,CHI 36,6.0,7.0,James Conner up the middle for 16 yards (tackle by Elijah Hicks and T.J. Edwards),3.18,4.24,9.0,2024,133
2.0,6:38,1.0,10.0,CHI 20,6.0,7.0,James Conner up the middle for 4 yards (tackle by Gervon Dexter),4.24,4.28,9.0,2024,133
2.0,5:56,2.0,6.0,CHI 16,6.0,7.0,James Conner left tackle for 6 yards (tackle by Jack Sanborn and Elijah Hicks),4.28,4.91,9.0,2024,133
2.0,5:13,1.0,10.0,CHI 10,6.0,7.0,James Conner up the middle for 4 yards (tackle by Austin Booker),4.91,4.95,9.0,2024,133
2.0,4:35,2.0,6.0,CHI 6,6.0,7.0,Kyler Murray pass incomplete short left intended for Michael Wilson (defended by Tyrique Stevenson),4.95,4.04,9.0,2024,133
2.0,4:31,3.0,6.0,CHI 6,6.0,7.0,Kyler Murray sacked by Chris Williams for -8 yards,4.04,2.51,9.0,2024,133
2.0,3:40,4.0,14.0,CHI 14,6.0,7.0,"Chad Ryland yard field goal good. Penalty on Gervon Dexter: Leverage, 7 yards (accepted) (no play)",2.51,5.6,9.0,2024,133
2.0,3:37,1.0,7.0,CHI 7,6.0,7.0,James Conner left end for 6 yards (tackle by Jack Sanborn and Austin Booker),5.6,5.91,9.0,2024,133
2.0,3:26,2.0,1.0,CHI 1,6.0,7.0,Kyler Murray pass incomplete short right intended for Trey McBride,5.91,5.17,9.0,2024,133
2.0,3:18,3.0,1.0,CHI 1,6.0,13.0,"Trey Benson left tackle for 1 yard, touchdown. Penalty on Noah Sewell: Defensive Offside, 5 yards (declined)",5.17,7.0,9.0,2024,133
2.0,3:14,,,CHI 15,6.0,14.0,Chad Ryland kicks extra point good,0.0,0.0,9.0,2024,133
2.0,3:14,,,ARI 35,6.0,14.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,133
2.0,3:14,1.0,10.0,CHI 30,6.0,14.0,D'Andre Swift right end for 4 yards (tackle by Budda Baker),0.94,0.93,9.0,2024,133
2.0,2:36,2.0,6.0,CHI 34,6.0,14.0,Caleb Williams pass complete short right to D'Andre Swift for 7 yards (tackle by Budda Baker),0.93,1.66,9.0,2024,133
2.0,2:00,1.0,10.0,CHI 41,6.0,14.0,Caleb Williams pass incomplete deep left intended for D.J. Moore,1.66,1.12,9.0,2024,133
2.0,1:54,,,,,,Timeout #1 by Arizona Cardinals,,,9.0,2024,133
2.0,1:54,2.0,10.0,CHI 41,6.0,14.0,"Penalty on D.J. Moore: False Start, 5 yards (accepted) (no play)",1.12,0.45,9.0,2024,133
2.0,1:54,2.0,15.0,CHI 36,6.0,14.0,Caleb Williams pass complete short middle to D.J. Moore for 16 yards (tackle by Owen Pappoe and Jalen Thompson),0.45,2.39,9.0,2024,133
2.0,1:25,1.0,10.0,ARI 48,6.0,14.0,Caleb Williams pass incomplete short right,2.39,1.85,9.0,2024,133
2.0,1:20,2.0,10.0,ARI 48,6.0,14.0,Caleb Williams pass complete short left to Rome Odunze for 11 yards (tackle by Budda Baker),1.85,3.12,9.0,2024,133
2.0,0:51,1.0,10.0,ARI 37,6.0,14.0,Caleb Williams sacked by Xavier Thomas for -4 yards,3.12,2.03,9.0,2024,133
2.0,0:49,,,,,,Timeout #1 by Chicago Bears,,,9.0,2024,133
2.0,0:49,2.0,14.0,ARI 41,6.0,14.0,"Caleb Williams pass complete short right to D'Andre Swift for 6 yards. D'Andre Swift fumbles, ball out of bounds at ARI-35 (forced by Owen Pappoe). D'Andre Swift fumbles out of bounds",2.03,2.15,9.0,2024,133
2.0,0:44,3.0,8.0,ARI 35,6.0,14.0,Caleb Williams pass incomplete short left intended for Keenan Allen,2.15,0.97,9.0,2024,133
2.0,0:30,4.0,8.0,ARI 35,9.0,14.0,Cairo Santos 53 yard field goal good,0.97,3.0,9.0,2024,133
2.0,0:26,,,CHI 35,9.0,14.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,133
2.0,0:26,1.0,10.0,ARI 30,9.0,14.0,Kyler Murray pass complete short left to Emari Demercado for 12 yards (tackle by Tyrique Stevenson),0.94,1.73,9.0,2024,133
2.0,0:19,1.0,10.0,ARI 42,9.0,14.0,Kyler Murray pass complete short left to Trey McBride for 5 yards (tackle by Tyrique Stevenson),1.73,1.86,9.0,2024,133
2.0,0:16,2.0,5.0,ARI 47,9.0,14.0,Kyler Murray pass incomplete short left,1.86,1.16,9.0,2024,133
2.0,0:12,3.0,5.0,ARI 47,9.0,20.0,"Emari Demercado right tackle for 53 yards, touchdown",1.16,7.0,9.0,2024,133
2.0,0:04,,,CHI 15,9.0,21.0,Chad Ryland kicks extra point good,0.0,0.0,9.0,2024,133
2.0,0:04,,,ARI 35,9.0,21.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,133
2.0,0:04,1.0,10.0,CHI 30,9.0,21.0,Caleb Williams kneels for -1 yards,0.94,0.26,9.0,2024,133
3.0,15:00,,,ARI 35,9.0,21.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,133
3.0,15:00,1.0,10.0,CHI 30,9.0,21.0,D'Andre Swift left end for 1 yard (tackle by Budda Baker),0.94,0.53,9.0,2024,133
3.0,14:23,2.0,9.0,CHI 31,9.0,21.0,Caleb Williams sacked by and Dante Stills for -7 yards and Zaven Collins for -7 yards,0.53,-1.09,9.0,2024,133
3.0,13:38,3.0,16.0,CHI 24,9.0,21.0,Caleb Williams pass complete short middle to Keenan Allen for 11 yards (tackle by Budda Baker),-1.09,-1.04,9.0,2024,133
3.0,13:00,4.0,5.0,CHI 35,9.0,21.0,"Tory Taylor punts 62 yards, returned by Greg Dortch for 17 yards (tackle by Amen Ogbongbemiga)",-1.04,-0.28,9.0,2024,133
3.0,12:47,1.0,10.0,ARI 20,9.0,21.0,James Conner right end for 15 yards (tackle by Elijah Hicks),0.28,1.27,9.0,2024,133
3.0,12:10,1.0,10.0,ARI 35,9.0,21.0,Kyler Murray pass complete short left to Elijah Higgins for 11 yards (tackle by Tremaine Edmunds),1.27,1.99,9.0,2024,133
3.0,11:29,1.0,10.0,ARI 46,9.0,21.0,James Conner right tackle for 7 yards (tackle by Jack Sanborn and Kevin Byard),1.99,2.4,9.0,2024,133
3.0,10:49,2.0,3.0,CHI 47,9.0,21.0,James Conner left tackle for 1 yard (tackle by Tremaine Edmunds),2.4,1.82,9.0,2024,133
3.0,10:09,3.0,2.0,CHI 46,9.0,21.0,Kyler Murray left tackle for 6 yards (tackle by Elijah Hicks),1.82,2.92,9.0,2024,133
3.0,9:35,1.0,10.0,CHI 40,9.0,21.0,Kyler Murray pass complete short right to Trey McBride for 15 yards (tackle by T.J. Edwards),2.92,3.91,9.0,2024,133
3.0,8:50,,,,,,Timeout #1 by Arizona Cardinals,,,9.0,2024,133
3.0,8:50,1.0,10.0,CHI 25,9.0,21.0,James Conner up the middle for 8 yards (tackle by Andrew Billings and Tyrique Stevenson),3.91,4.55,9.0,2024,133
3.0,8:14,2.0,2.0,CHI 17,9.0,21.0,James Conner left end for -3 yards (tackle by Jaylon Johnson),4.55,3.34,9.0,2024,133
3.0,7:23,3.0,5.0,CHI 20,9.0,21.0,Kyler Murray pass complete short right to Emari Demercado for 9 yards (tackle by T.J. Edwards),3.34,4.84,9.0,2024,133
3.0,6:56,1.0,10.0,CHI 11,9.0,21.0,James Conner up the middle for 4 yards (tackle by Jacob Martin and Andrew Billings),4.84,4.89,9.0,2024,133
3.0,6:22,2.0,6.0,CHI 7,9.0,21.0,Kyler Murray sacked by Jacob Martin for -6 yards,4.89,3.08,9.0,2024,133
3.0,5:42,3.0,12.0,CHI 13,9.0,21.0,James Conner left tackle for 2 yards (tackle by Austin Booker and T.J. Edwards),3.08,2.7,9.0,2024,133
3.0,4:55,4.0,10.0,CHI 11,9.0,24.0,"Chad Ryland 29 yard field goal good. Penalty on Tyrique Stevenson: Defensive Offside, 5 yards (declined)",2.7,3.0,9.0,2024,133
3.0,4:53,,,ARI 35,9.0,24.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,133
3.0,4:53,1.0,10.0,CHI 30,9.0,24.0,D'Andre Swift left tackle for -2 yards (tackle by L.J. Collier),0.94,0.12,9.0,2024,133
3.0,4:07,2.0,12.0,CHI 28,9.0,24.0,Caleb Williams pass complete short right to Rome Odunze for 17 yards (tackle by Garrett Williams),0.12,1.93,9.0,2024,133
3.0,3:22,1.0,10.0,CHI 45,9.0,24.0,D'Andre Swift up the middle for 3 yards (tackle by Budda Baker),1.93,1.79,9.0,2024,133
3.0,2:43,2.0,7.0,CHI 48,9.0,24.0,Caleb Williams scrambles right end for 2 yards (tackle by L.J. Collier),1.79,1.36,9.0,2024,133
3.0,2:04,3.0,5.0,CHI 50,9.0,24.0,Roschon Johnson left end for 1 yard (tackle by Garrett Williams and Budda Baker),1.36,0.0,9.0,2024,133
3.0,1:19,4.0,4.0,ARI 49,9.0,24.0,Caleb Williams pass complete short right to Keenan Allen for 6 yards (tackle by Max Melton),0.0,2.72,9.0,2024,133
3.0,0:44,1.0,10.0,ARI 43,9.0,24.0,Caleb Williams pass incomplete deep right intended for D.J. Moore,2.72,2.18,9.0,2024,133
3.0,0:37,2.0,10.0,ARI 43,9.0,24.0,Caleb Williams pass incomplete deep left intended for D.J. Moore,2.18,1.49,9.0,2024,133
3.0,0:31,3.0,10.0,ARI 43,9.0,24.0,Caleb Williams sacked by and Kyzir White for -1 yards and Zaven Collins for -1 yards,1.49,0.33,9.0,2024,133
4.0,15:00,4.0,11.0,ARI 44,9.0,24.0,Caleb Williams sacked by Zaven Collins for -16 yards,0.33,-2.92,9.0,2024,133
4.0,14:55,1.0,10.0,CHI 40,9.0,24.0,Kyler Murray pass incomplete short left intended for Greg Dortch,2.92,2.37,9.0,2024,133
4.0,14:50,2.0,10.0,CHI 40,9.0,24.0,Trey Benson up the middle for 3 yards (tackle by Darrell Taylor and T.J. Edwards),2.37,2.08,9.0,2024,133
4.0,14:12,3.0,7.0,CHI 37,9.0,24.0,Kyler Murray pass incomplete deep right intended for Marvin Harrison,2.08,0.79,9.0,2024,133
4.0,14:07,4.0,7.0,CHI 37,9.0,27.0,Chad Ryland 55 yard field goal good,0.79,3.0,9.0,2024,133
4.0,14:02,,,ARI 35,9.0,27.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,133
4.0,14:02,1.0,10.0,CHI 30,9.0,27.0,Caleb Williams sacked by Jesse Luketa for -10 yards,0.94,-0.96,9.0,2024,133
4.0,13:24,2.0,20.0,CHI 20,9.0,27.0,Caleb Williams scrambles right end for 2 yards (tackle by Jesse Luketa),-0.96,-1.35,9.0,2024,133
4.0,12:42,3.0,18.0,CHI 22,9.0,27.0,Caleb Williams pass complete short right to Roschon Johnson for 5 yards (tackle by Dadrion Taylor-Demerson and Kyzir White),-1.35,-1.57,9.0,2024,133
4.0,12:07,4.0,13.0,CHI 27,9.0,27.0,"Tory Taylor punts 67 yards, returned by Greg Dortch for 14 yards (tackle by Noah Sewell and Elijah Hicks)",-1.57,-0.28,9.0,2024,133
4.0,11:51,1.0,10.0,ARI 20,9.0,27.0,Trey Benson up the middle for 4 yards (tackle by Zacch Pickens and Gervon Dexter),0.28,0.27,9.0,2024,133
4.0,11:15,2.0,6.0,ARI 24,9.0,27.0,Kyler Murray pass complete short right to Elijah Higgins for 23 yards (tackle by Jack Sanborn and Tyrique Stevenson),0.27,2.06,9.0,2024,133
4.0,10:18,1.0,10.0,ARI 47,9.0,27.0,Trey Benson right tackle for 4 yards (tackle by Kevin Byard),2.06,2.06,9.0,2024,133
4.0,9:46,2.0,6.0,CHI 49,9.0,27.0,"Trey Benson left tackle for no gain (tackle by Gervon Dexter). Penalty on Hjalte Froholdt: Offensive Holding, 10 yards (accepted) (no play)",2.06,0.71,9.0,2024,133
4.0,9:20,2.0,16.0,ARI 41,9.0,27.0,Kyler Murray pass complete short right to Marvin Harrison for 13 yards (tackle by Tyrique Stevenson),0.71,1.68,9.0,2024,133
4.0,8:39,3.0,4.0,CHI 46,9.0,27.0,Kyler Murray pass incomplete deep right intended for Marvin Harrison (defended by Tyrique Stevenson),1.68,0.2,9.0,2024,133
4.0,8:30,4.0,4.0,CHI 46,9.0,27.0,Blake Gillikin punts 45 yards downed by Joey Blount,0.2,0.38,9.0,2024,133
4.0,8:21,1.0,10.0,CHI 1,9.0,27.0,D'Andre Swift up the middle for no gain (tackle by Ben Stille and Budda Baker),-0.38,-0.78,9.0,2024,133
4.0,8:00,2.0,10.0,CHI 1,9.0,29.0,"Caleb Williams pass incomplete short right intended for Marcedes Lewis. Penalty on D'Andre Swift: Chop Block, 1 yard (accepted)",-0.78,-2.0,9.0,2024,133
4.0,7:54,,,CHI 20,9.0,29.0,"Tory Taylor kicks onside 16 yards,",0.0,3.18,9.0,2024,133
4.0,7:54,1.0,10.0,CHI 36,9.0,29.0,Trey Benson up the middle for 2 yards (tackle by Darrell Taylor),3.18,2.91,9.0,2024,133
4.0,7:47,,,,,,Timeout #1 by Chicago Bears,,,9.0,2024,133
4.0,7:47,2.0,8.0,CHI 34,9.0,29.0,Trey Benson right tackle for 4 yards (tackle by Kevin Byard and Jack Sanborn),2.91,2.74,9.0,2024,133
4.0,7:41,,,,,,Timeout #2 by Chicago Bears,,,9.0,2024,133
4.0,7:41,3.0,4.0,CHI 30,9.0,29.0,Emari Demercado up the middle for 3 yards (tackle by Kevin Byard),2.74,1.82,9.0,2024,133
4.0,7:36,,,,,,Timeout #3 by Chicago Bears,,,9.0,2024,133
4.0,7:36,4.0,1.0,CHI 27,9.0,29.0,"Kyler Murray aborted snap, recovered by Kevin Byard at CHI-26",1.82,-0.67,9.0,2024,133
4.0,7:31,1.0,10.0,CHI 26,9.0,29.0,Caleb Williams pass complete short right to D'Andre Swift for 4 yards (tackle by Budda Baker),0.67,0.67,9.0,2024,133
4.0,7:04,2.0,6.0,CHI 30,9.0,29.0,Caleb Williams pass complete short middle to D'Andre Swift for 5 yards (tackle by Owen Pappoe),0.67,0.63,9.0,2024,133
4.0,6:41,3.0,1.0,CHI 35,9.0,29.0,D'Andre Swift up the middle for 2 yards (tackle by Garrett Williams),0.63,1.4,9.0,2024,133
4.0,6:15,1.0,10.0,CHI 37,9.0,29.0,Caleb Williams pass complete short right to Gerald Everett for 5 yards (tackle by Starling Thomas),1.4,1.53,9.0,2024,133
4.0,5:50,2.0,5.0,CHI 42,9.0,29.0,D'Andre Swift up the middle for 13 yards (tackle by Mack Wilson),1.53,2.59,9.0,2024,133
4.0,5:20,1.0,10.0,ARI 45,9.0,29.0,Caleb Williams pass complete short right to D'Andre Swift for 5 yards (tackle by Kyzir White),2.59,2.72,9.0,2024,133
4.0,4:56,2.0,5.0,ARI 40,9.0,29.0,Caleb Williams pass incomplete deep left intended for Keenan Allen,2.72,2.01,9.0,2024,133
4.0,4:44,3.0,5.0,ARI 40,9.0,29.0,Caleb Williams pass incomplete short left intended for D.J. Moore (defended by Max Melton),2.01,0.59,9.0,2024,133
4.0,4:41,4.0,5.0,ARI 40,9.0,29.0,Caleb Williams pass incomplete short left intended for Keenan Allen,0.59,-1.6,9.0,2024,133
4.0,4:35,1.0,10.0,ARI 40,9.0,29.0,Emari Demercado right end for -1 yards (tackle by Jacob Martin),1.6,0.92,9.0,2024,133
4.0,3:55,2.0,11.0,ARI 39,9.0,29.0,Emari Demercado up the middle for 4 yards (tackle by Tremaine Edmunds),0.92,0.76,9.0,2024,133
4.0,3:15,3.0,7.0,ARI 43,9.0,29.0,DeeJay Dallas up the middle for 2 yards (tackle by DeMarcus Walker and Gervon Dexter),0.76,-0.39,9.0,2024,133
4.0,2:32,4.0,5.0,ARI 45,9.0,29.0,Blake Gillikin punts 36 yards downed by Victor Dimukeje,-0.39,-0.15,9.0,2024,133
4.0,2:15,1.0,10.0,CHI 19,9.0,29.0,Roschon Johnson right end for 5 yards (tackle by Xavier Thomas and Ben Stille),0.15,0.34,9.0,2024,133
4.0,2:00,2.0,5.0,CHI 24,9.0,29.0,Caleb Williams pass complete short right to Keenan Allen for 13 yards (tackle by Kei'Trel Clark),0.34,1.4,9.0,2024,133
4.0,1:37,1.0,10.0,CHI 37,9.0,29.0,Caleb Williams pass complete short middle to Roschon Johnson for 3 yards (tackle by Dadrion Taylor-Demerson),1.4,1.26,9.0,2024,133
4.0,1:13,2.0,7.0,CHI 40,9.0,29.0,Caleb Williams pass incomplete short right,1.26,0.56,9.0,2024,133
4.0,1:10,3.0,7.0,CHI 40,9.0,29.0,Caleb Williams scrambles up the middle for 2 yards (tackle by Victor Dimukeje),0.56,-0.59,9.0,2024,133
4.0,0:38,4.0,5.0,CHI 42,9.0,29.0,Caleb Williams pass complete short middle to Keenan Allen for 6 yards (tackle by Krys Barnes),-0.59,2.13,9.0,2024,133
