Quarter,Time,Down,ToGo,Location,BUF,NWE,Detail,EPB,EPA,week,year,game_id
2.0,14:52,4.0,17.0,NWE 18,3.0,10.0,Tyler Bass 36 yard field goal good,2.25,3.0,7.0,2023,97
2.0,14:49,,,BUF 35,3.0,10.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,97
2.0,14:49,1.0,10.0,NWE 25,3.0,10.0,Mac Jones pass incomplete short left intended for Kendrick Bourne,0.61,0.06,7.0,2023,97
2.0,14:41,2.0,10.0,NWE 25,3.0,10.0,Rhamondre Stevenson left guard for 1 yard (tackle by Taron Johnson),0.06,-0.49,7.0,2023,97
2.0,14:04,3.0,9.0,NWE 26,3.0,10.0,Mac Jones pass complete short middle to Rhamondre Stevenson for 8 yards (tackle by Taron Johnson and Jordan Poyer),-0.49,-1.11,7.0,2023,97
2.0,13:14,4.0,1.0,NWE 34,3.0,10.0,"Penalty on Brenden Schooler: False Start, 4 yards (accepted) (no play)",-1.11,-1.37,7.0,2023,97
2.0,12:58,4.0,5.0,NWE 30,3.0,10.0,"Bryce Baringer punts 64 yards, returned by Deonte Harty for 7 yards (tackle by Brenden Schooler)",-1.37,0.32,7.0,2023,97
2.0,12:56,1.0,10.0,BUF 13,3.0,10.0,Josh Allen pass complete short left to Dalton Kincaid for 8 yards (tackle by J.C. Jackson),-0.32,0.35,7.0,2023,97
2.0,12:12,2.0,2.0,BUF 21,3.0,10.0,James Cook left end for -5 yards (tackle by Anfernee Jennings),0.35,-1.06,7.0,2023,97
2.0,11:27,3.0,7.0,BUF 16,3.0,10.0,"Penalty on BUF: Delay of Game, 5 yards (accepted) (no play)",-1.06,-1.65,7.0,2023,97
2.0,11:01,3.0,12.0,BUF 11,3.0,10.0,"Penalty on Deatrich Wise: Neutral Zone Infraction, 5 yards (accepted) (no play)",-1.65,-1.06,7.0,2023,97
2.0,10:48,3.0,7.0,BUF 16,3.0,10.0,Josh Allen pass incomplete deep right intended for Stefon Diggs,-1.06,-2.39,7.0,2023,97
2.0,10:36,4.0,7.0,BUF 16,3.0,10.0,"Sam Martin punts 55 yards, returned by Demario Douglas for 25 yards (tackle by Ty Johnson)",-2.39,-2.52,7.0,2023,97
2.0,10:20,1.0,10.0,BUF 46,3.0,10.0,Mac Jones pass complete short right to Kendrick Bourne for 33 yards (tackle by Dane Jackson),2.52,4.71,7.0,2023,97
2.0,9:47,1.0,10.0,BUF 13,3.0,10.0,Ezekiel Elliott left guard for 3 yards (tackle by Dane Jackson and A.J. Epenesa),4.71,4.58,7.0,2023,97
2.0,9:01,2.0,7.0,BUF 10,3.0,10.0,Ezekiel Elliott up the middle for -3 yards (tackle by Micah Hyde),4.58,3.12,7.0,2023,97
2.0,8:22,3.0,10.0,BUF 13,3.0,10.0,Mac Jones pass complete short right to Kendrick Bourne for 7 yards (tackle by Christian Benford),3.12,3.01,7.0,2023,97
2.0,7:39,4.0,3.0,BUF 6,3.0,13.0,Chad Ryland 24 yard field goal good,3.01,3.0,7.0,2023,97
2.0,7:36,,,NWE 35,3.0,13.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,97
2.0,7:36,1.0,10.0,BUF 25,3.0,13.0,Josh Allen pass complete short middle to Dalton Kincaid for 7 yards (tackle by Jack Jones and Jabrill Peppers),0.61,1.01,7.0,2023,97
2.0,7:03,2.0,3.0,BUF 32,3.0,13.0,James Cook up the middle for 4 yards (tackle by Ja'Whaun Bentley and Davon Godchaux),1.01,1.33,7.0,2023,97
2.0,6:17,1.0,10.0,BUF 36,3.0,13.0,Josh Allen pass complete short middle to Dalton Kincaid for 15 yards (tackle by Ja'Whaun Bentley and Jack Jones),1.33,2.32,7.0,2023,97
2.0,5:40,1.0,10.0,NWE 49,3.0,13.0,Josh Allen pass complete short middle to Gabriel Davis for 6 yards (tackle by J.C. Jackson),2.32,2.59,7.0,2023,97
2.0,5:10,2.0,4.0,NWE 43,3.0,13.0,James Cook right guard for 7 yards (tackle by Jahlani Tavai),2.59,3.18,7.0,2023,97
2.0,4:33,1.0,10.0,NWE 36,3.0,13.0,James Cook right guard for 4 yards (tackle by Kyle Dugger),3.18,3.18,7.0,2023,97
2.0,3:55,2.0,6.0,NWE 32,3.0,13.0,Josh Allen pass incomplete deep left intended for Gabriel Davis,3.18,2.48,7.0,2023,97
2.0,3:48,3.0,6.0,NWE 32,3.0,13.0,Josh Allen pass complete short right to Dalton Kincaid for 14 yards (tackle by Kyle Dugger),2.48,4.37,7.0,2023,97
2.0,3:13,1.0,10.0,NWE 18,3.0,13.0,James Cook up the middle for 1 yard (tackle by Ja'Whaun Bentley and Lawrence Guy),4.37,3.94,7.0,2023,97
2.0,2:39,2.0,9.0,NWE 17,3.0,13.0,Josh Allen sacked by Christian Barmore for -7 yards,3.94,2.34,7.0,2023,97
2.0,2:00,3.0,16.0,NWE 24,3.0,13.0,Josh Allen pass incomplete short right,2.34,1.87,7.0,2023,97
2.0,1:55,4.0,16.0,NWE 24,3.0,13.0,Tyler Bass 42 yard field goal no good,1.87,-1.07,7.0,2023,97
2.0,1:51,1.0,10.0,NWE 32,3.0,13.0,Mac Jones pass complete short right to Kendrick Bourne for 5 yards (tackle by Dane Jackson),1.07,1.2,7.0,2023,97
2.0,1:47,2.0,5.0,NWE 37,3.0,13.0,Mac Jones pass complete short right to Mike Gesicki for 4 yards (tackle by Terrel Bernard),1.2,1.03,7.0,2023,97
2.0,1:18,3.0,1.0,NWE 41,3.0,13.0,Mac Jones up the middle for 2 yards (tackle by Terrel Bernard),1.03,1.8,7.0,2023,97
2.0,1:14,,,,,,Timeout #1 by New England Patriots,,,7.0,2023,97
2.0,1:14,1.0,10.0,NWE 43,3.0,13.0,Mac Jones scrambles left guard for 4 yards (tackle by Gregory Rousseau),1.8,1.79,7.0,2023,97
2.0,0:51,2.0,6.0,NWE 47,3.0,13.0,Mac Jones pass complete short left to Rhamondre Stevenson for 4 yards (tackle by Terrel Bernard),1.79,1.62,7.0,2023,97
2.0,0:32,3.0,2.0,BUF 49,3.0,13.0,Mac Jones pass incomplete short middle intended for Demario Douglas,1.62,0.0,7.0,2023,97
2.0,0:29,4.0,2.0,BUF 49,3.0,13.0,Bryce Baringer punts 46 yards out of bounds,0.0,0.38,7.0,2023,97
2.0,0:21,1.0,10.0,BUF 3,3.0,13.0,Latavius Murray left guard for 2 yards (tackle by Jabrill Peppers),-0.38,-0.63,7.0,2023,97
3.0,15:00,,,NWE 35,3.0,13.0,"Chad Ryland kicks off 57 yards, returned by Ty Johnson for 11 yards (tackle by Brenden Schooler)",0.0,0.15,7.0,2023,97
3.0,14:58,1.0,10.0,BUF 19,3.0,13.0,Josh Allen pass complete short left to Stefon Diggs for -2 yards (tackle by Kyle Dugger),0.15,-0.72,7.0,2023,97
3.0,14:23,2.0,12.0,BUF 17,3.0,13.0,Josh Allen pass complete short middle to Stefon Diggs for 17 yards (tackle by Jack Jones and Jabrill Peppers),-0.72,1.2,7.0,2023,97
3.0,13:45,1.0,10.0,BUF 34,3.0,13.0,Josh Allen pass complete short right to Dalton Kincaid for 8 yards (tackle by Jalen Mills),1.2,1.74,7.0,2023,97
3.0,13:15,2.0,2.0,BUF 42,3.0,13.0,"James Cook up the middle for 3 yards (tackle by Deatrich Wise and Ja'Whaun Bentley). Penalty on Dalton Kincaid: Offensive Holding, 10 yards (accepted)",1.74,0.79,7.0,2023,97
3.0,12:54,2.0,9.0,BUF 35,3.0,13.0,Josh Allen pass complete short left to Deonte Harty for 10 yards (tackle by Jonathan Jones),0.79,1.93,7.0,2023,97
3.0,12:15,1.0,10.0,BUF 45,3.0,13.0,"Josh Allen pass incomplete short left intended for Dalton Kincaid. Penalty on Jack Jones: Roughing the Passer, 15 yards (accepted) (no play)",1.93,2.92,7.0,2023,97
3.0,12:11,1.0,10.0,NWE 40,3.0,13.0,James Cook up the middle for 20 yards (tackle by Kyle Dugger and Jabrill Peppers),2.92,4.24,7.0,2023,97
3.0,11:34,1.0,10.0,NWE 20,3.0,13.0,Josh Allen pass complete short left to Dawson Knox for 10 yards (tackle by Jabrill Peppers),4.24,4.91,7.0,2023,97
3.0,10:49,1.0,10.0,NWE 10,3.0,13.0,Latavius Murray up the middle for 2 yards (tackle by Davon Godchaux),4.91,4.57,7.0,2023,97
3.0,10:06,2.0,8.0,NWE 8,3.0,13.0,Josh Allen pass incomplete short right intended for Gabriel Davis,4.57,3.58,7.0,2023,97
3.0,9:57,3.0,8.0,NWE 8,9.0,13.0,"Josh Allen pass complete short left to James Cook for 8 yards, touchdown",3.58,7.0,7.0,2023,97
3.0,9:53,,,NWE 15,10.0,13.0,Tyler Bass kicks extra point good,0.0,0.0,7.0,2023,97
3.0,9:53,,,BUF 35,10.0,13.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,97
3.0,9:53,1.0,10.0,NWE 25,10.0,13.0,Rhamondre Stevenson left end for 5 yards (tackle by Tyrel Dodson),0.61,0.74,7.0,2023,97
3.0,9:21,2.0,5.0,NWE 30,10.0,13.0,Mac Jones pass complete short right to Jalen Reagor for 11 yards (tackle by Dane Jackson),0.74,1.66,7.0,2023,97
3.0,8:44,1.0,10.0,NWE 41,10.0,13.0,Mac Jones pass complete short middle to Hunter Henry for 13 yards (tackle by Jordan Poyer),1.66,2.52,7.0,2023,97
3.0,8:03,1.0,10.0,BUF 46,10.0,13.0,Rhamondre Stevenson right tackle for no gain (tackle by Poona Ford and Shaq Lawson),2.52,1.98,7.0,2023,97
3.0,7:25,2.0,10.0,BUF 46,10.0,13.0,Demario Douglas left end for 20 yards (tackle by Jordan Poyer),1.98,3.84,7.0,2023,97
3.0,6:42,1.0,10.0,BUF 26,10.0,13.0,Rhamondre Stevenson right guard for 1 yard (tackle by Poona Ford),3.84,3.43,7.0,2023,97
3.0,6:04,2.0,9.0,BUF 25,10.0,13.0,Mac Jones pass complete short right to Rhamondre Stevenson for -2 yards (tackle by Christian Benford),3.43,2.48,7.0,2023,97
3.0,5:21,3.0,11.0,BUF 27,10.0,13.0,Mac Jones sacked by Jordan Poyer for -4 yards,2.48,1.32,7.0,2023,97
3.0,4:34,,,,,,Timeout #1 by New England Patriots,,,7.0,2023,97
3.0,4:34,4.0,15.0,BUF 31,10.0,16.0,Chad Ryland 49 yard field goal good,1.32,3.0,7.0,2023,97
3.0,4:30,,,NWE 35,10.0,16.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,97
3.0,4:30,1.0,10.0,BUF 25,10.0,16.0,Josh Allen pass incomplete deep middle intended for Stefon Diggs,0.61,0.06,7.0,2023,97
3.0,4:23,2.0,10.0,BUF 25,10.0,16.0,"Penalty on Dion Dawkins: False Start, 5 yards (accepted) (no play)",0.06,-0.61,7.0,2023,97
3.0,4:23,2.0,15.0,BUF 20,10.0,16.0,Josh Allen pass incomplete deep right intended for Stefon Diggs,-0.61,-1.29,7.0,2023,97
3.0,4:19,3.0,15.0,BUF 20,10.0,16.0,Josh Allen pass complete short right to Latavius Murray for 17 yards (tackle by Jalen Mills),-1.29,1.4,7.0,2023,97
3.0,3:33,1.0,10.0,BUF 37,10.0,16.0,Josh Allen pass complete short right to Khalil Shakir for 6 yards (tackle by J.C. Jackson),1.4,1.67,7.0,2023,97
3.0,2:58,2.0,4.0,BUF 43,10.0,16.0,James Cook up the middle for 5 yards (tackle by Jabrill Peppers and Davon Godchaux),1.67,2.13,7.0,2023,97
3.0,2:17,1.0,10.0,BUF 48,10.0,16.0,Latavius Murray left guard for 1 yard (tackle by Anfernee Jennings),2.13,1.72,7.0,2023,97
3.0,1:54,2.0,9.0,BUF 49,10.0,16.0,Josh Allen scrambles up the middle for 1 yard (tackle by Ja'Whaun Bentley and Christian Barmore),1.72,1.16,7.0,2023,97
3.0,1:13,3.0,8.0,NWE 50,10.0,16.0,Josh Allen pass complete short middle to Dalton Kincaid for 7 yards (tackle by Anfernee Jennings and Mack Wilson),1.16,0.4,7.0,2023,97
3.0,0:23,4.0,1.0,NWE 43,10.0,16.0,Josh Allen up the middle for 2 yards (tackle by Jabrill Peppers),0.4,2.85,7.0,2023,97
4.0,15:00,1.0,10.0,NWE 41,10.0,16.0,James Cook up the middle for 3 yards (tackle by Christian Barmore),2.85,2.71,7.0,2023,97
4.0,14:38,2.0,7.0,NWE 38,10.0,16.0,Josh Allen pass incomplete deep right intended for Stefon Diggs (defended by J.C. Jackson),2.71,2.02,7.0,2023,97
4.0,14:27,3.0,7.0,NWE 38,10.0,16.0,Josh Allen pass complete short left to Stefon Diggs for 5 yards (tackle by Jack Jones),2.02,1.2,7.0,2023,97
4.0,13:51,4.0,2.0,NWE 33,10.0,16.0,Josh Allen pass incomplete short right intended for Dawson Knox (defended by Ja'Whaun Bentley),1.2,-1.2,7.0,2023,97
4.0,13:43,1.0,10.0,NWE 34,10.0,16.0,Mac Jones pass complete deep right to Pharaoh Brown for 26 yards (tackle by Terrel Bernard and Jordan Poyer),1.2,2.92,7.0,2023,97
4.0,13:02,1.0,10.0,BUF 40,10.0,16.0,Mac Jones pass complete short left to Kendrick Bourne for 5 yards (tackle by Jordan Poyer),2.92,3.05,7.0,2023,97
4.0,12:21,2.0,5.0,BUF 35,10.0,16.0,Ezekiel Elliott left end for 2 yards (tackle by Tyrel Dodson),3.05,2.61,7.0,2023,97
4.0,11:45,3.0,3.0,BUF 33,10.0,16.0,"Mac Jones sacked by Leonard Floyd for no gain. Mac Jones fumbles (forced by Leonard Floyd) (tackle by Leonard Floyd). Penalty on Taron Johnson: Illegal Contact, 5 yards (accepted) (no play)",2.61,3.71,7.0,2023,97
4.0,11:16,1.0,10.0,BUF 28,10.0,16.0,Ezekiel Elliott up the middle for -1 yards (tackle by Terrel Bernard and Poona Ford),3.71,3.03,7.0,2023,97
4.0,10:35,2.0,11.0,BUF 29,10.0,16.0,Ezekiel Elliott up the middle for 10 yards (tackle by Terrel Bernard and Jordan Poyer),3.03,3.72,7.0,2023,97
4.0,9:47,3.0,1.0,BUF 19,10.0,16.0,Ezekiel Elliott right guard for 1 yard (tackle by Terrel Bernard and Christian Benford),3.72,4.37,7.0,2023,97
4.0,9:03,1.0,10.0,BUF 18,10.0,16.0,"Penalty on NWE: Delay of Game, 5 yards (accepted) (no play)",4.37,4.04,7.0,2023,97
4.0,9:03,1.0,15.0,BUF 23,10.0,16.0,Mac Jones pass complete deep middle to Demario Douglas for 19 yards (tackle by Tyrel Dodson),4.04,6.28,7.0,2023,97
4.0,8:23,1.0,4.0,BUF 4,10.0,16.0,Ezekiel Elliott up the middle for no gain (tackle by Tyrel Dodson and Micah Hyde),6.28,5.34,7.0,2023,97
4.0,7:40,2.0,4.0,BUF 4,10.0,22.0,"Mac Jones pass complete short left to Kendrick Bourne for 4 yards, touchdown",5.34,7.0,7.0,2023,97
4.0,7:36,,,BUF 2,10.0,22.0,"Two Point Attempt: Mac Jones pass incomplete. Penalty on Christian Benford: Defensive Pass Interference, 1 yard (accepted) (no play)",1.0,6.97,7.0,2023,97
4.0,7:36,1.0,1.0,BUF 1,10.0,22.0,Penalty on Jordan Phillips: Defensive Offside (accepted) (no play),6.97,1.0,7.0,2023,97
4.0,7:36,1.0,1.0,BUF 2,10.0,22.0,"Two Point Attempt: Mac Jones rushes, conversion fails.",1.0,-1.0,7.0,2023,97
4.0,7:36,,,NWE 35,10.0,22.0,"Chad Ryland kicks off 63 yards, returned by Ty Johnson for 23 yards (tackle by Jahlani Tavai and Jabrill Peppers)",0.0,0.61,7.0,2023,97
4.0,7:28,1.0,10.0,BUF 25,10.0,22.0,Josh Allen pass complete short right to Dalton Kincaid for 12 yards (tackle by Kyle Dugger and Ja'Whaun Bentley),0.61,1.4,7.0,2023,97
4.0,7:04,1.0,10.0,BUF 37,10.0,22.0,Josh Allen pass complete short left to Stefon Diggs for 7 yards (tackle by Ja'Whaun Bentley),1.4,1.8,7.0,2023,97
4.0,6:42,2.0,3.0,BUF 44,10.0,22.0,"Josh Allen pass incomplete deep right intended for Deonte Harty. Penalty on Christian Barmore: Roughing the Passer, 15 yards (accepted) (no play)",1.8,2.85,7.0,2023,97
4.0,6:36,1.0,10.0,NWE 41,10.0,22.0,Josh Allen pass complete short left to Trent Sherfield for 5 yards (tackle by J.C. Jackson),2.85,2.98,7.0,2023,97
4.0,6:11,2.0,5.0,NWE 36,10.0,22.0,Josh Allen pass complete short right to Khalil Shakir for 11 yards (tackle by Myles Bryant),2.98,3.91,7.0,2023,97
4.0,5:40,1.0,10.0,NWE 25,16.0,22.0,"Josh Allen pass complete deep right to Stefon Diggs for 25 yards, touchdown",3.91,7.0,7.0,2023,97
4.0,5:32,,,NWE 15,17.0,22.0,Tyler Bass kicks extra point good,0.0,0.0,7.0,2023,97
4.0,5:32,,,BUF 35,17.0,22.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,97
4.0,5:32,1.0,10.0,NWE 25,17.0,22.0,"Mac Jones pass complete short right to Pharaoh Brown for no gain (tackle by Terrel Bernard). Penalty on Vederian Lowe: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.61,0.28,7.0,2023,97
4.0,5:05,1.0,15.0,NWE 20,17.0,22.0,Mac Jones pass incomplete short middle intended for Hunter Henry (defended by Jordan Phillips) (defended by Taron Johnson),0.28,-0.61,7.0,2023,97
4.0,5:02,2.0,15.0,NWE 20,17.0,22.0,"Mac Jones pass complete short middle to Kendrick Bourne for 9 yards. Kendrick Bourne fumbles (forced by Jordan Poyer), recovered by Terrel Bernard at NE-29 (tackle by Kendrick Bourne)",-0.61,-3.64,7.0,2023,97
4.0,4:56,1.0,10.0,NWE 29,17.0,22.0,Josh Allen pass complete short middle to Khalil Shakir for 13 yards (tackle by Myles Bryant),3.64,4.51,7.0,2023,97
4.0,4:22,1.0,10.0,NWE 16,17.0,22.0,Josh Allen up the middle for 7 yards (tackle by Anfernee Jennings),4.51,5.16,7.0,2023,97
4.0,3:36,2.0,3.0,NWE 9,17.0,22.0,James Cook up the middle for 1 yard (tackle by Jahlani Tavai and Ja'Whaun Bentley),5.16,4.62,7.0,2023,97
4.0,2:55,3.0,2.0,NWE 8,17.0,22.0,Josh Allen pass incomplete short right,4.62,2.99,7.0,2023,97
4.0,2:50,,,,,,Timeout #1 by Buffalo Bills,,,7.0,2023,97
4.0,2:50,4.0,2.0,NWE 8,17.0,22.0,Josh Allen pass complete short left to Dalton Kincaid for 4 yards (tackle by J.C. Jackson),2.99,6.28,7.0,2023,97
4.0,2:14,1.0,4.0,NWE 4,17.0,22.0,"Josh Allen pass complete short right to Latavius Murray for 3 yards (tackle by Kyle Dugger). Penalty on Jonathan Jones: Illegal Contact, 5 yards (declined)",6.28,5.91,7.0,2023,97
4.0,2:07,2.0,1.0,NWE 1,17.0,22.0,Josh Allen up the middle for no gain (tackle by Ja'Whaun Bentley),5.91,5.17,7.0,2023,97
4.0,2:00,3.0,1.0,NWE 1,23.0,22.0,"Josh Allen up the middle for 1 yard, touchdown",5.17,7.0,7.0,2023,97
4.0,1:58,,,NWE 2,25.0,22.0,Two Point Attempt: Josh Allen pass complete to to Dawson Knox for no gain,1.0,1.0,7.0,2023,97
4.0,1:58,,,BUF 35,25.0,22.0,"Penalty on Marte Mapu: Defensive Holding, 5 yards (accepted)",0.0,0.0,7.0,2023,97
4.0,1:58,,,BUF 40,25.0,22.0,"Tyler Bass kicks off 60 yards, touchback.",0.0,0.61,7.0,2023,97
4.0,1:58,1.0,10.0,NWE 25,25.0,22.0,Mac Jones pass complete short right to Rhamondre Stevenson for 34 yards (tackle by Terrel Bernard),0.61,2.85,7.0,2023,97
4.0,1:49,1.0,10.0,BUF 41,25.0,22.0,Rhamondre Stevenson up the middle for 5 yards (tackle by Jordan Poyer),2.85,2.98,7.0,2023,97
4.0,1:26,2.0,5.0,BUF 36,25.0,22.0,Mac Jones pass complete short left to Rhamondre Stevenson for -3 yards (tackle by Tyrel Dodson),2.98,1.88,7.0,2023,97
4.0,0:55,3.0,8.0,BUF 39,25.0,22.0,Mac Jones pass complete short middle to Hunter Henry for 14 yards (tackle by Taylor Rapp),1.88,3.91,7.0,2023,97
4.0,0:48,,,,,,Timeout #2 by New England Patriots,,,7.0,2023,97
4.0,0:48,1.0,10.0,BUF 25,25.0,22.0,Mac Jones pass complete short left to DeVante Parker for 8 yards (tackle by Christian Benford and Tyrel Dodson),3.91,4.55,7.0,2023,97
4.0,0:33,2.0,2.0,BUF 17,25.0,22.0,Mac Jones pass complete short middle to Rhamondre Stevenson for 10 yards (tackle by Tyrel Dodson),4.55,5.6,7.0,2023,97
4.0,0:23,,,,,,Timeout #3 by New England Patriots,,,7.0,2023,97
4.0,0:23,1.0,7.0,BUF 7,25.0,22.0,"Mac Jones pass complete short left to Demario Douglas for no gain (tackle by Christian Benford). Penalty on Christian Benford: Defensive Pass Interference, 6 yards (accepted) (no play)",5.6,6.97,7.0,2023,97
4.0,0:18,,,,,,Timeout #2 by Buffalo Bills,,,7.0,2023,97
4.0,0:18,1.0,1.0,BUF 1,25.0,22.0,Mac Jones pass incomplete short middle intended for Demario Douglas,6.97,5.91,7.0,2023,97
4.0,0:15,2.0,1.0,BUF 1,25.0,28.0,"Mac Jones pass complete short right to Mike Gesicki for 1 yard, touchdown",5.91,7.0,7.0,2023,97
4.0,0:12,,,BUF 15,25.0,29.0,Chad Ryland kicks extra point good,0.0,0.0,7.0,2023,97
4.0,0:12,,,NWE 35,25.0,29.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,97
