Quarter,Time,Down,ToGo,Location,GNB,DEN,Detail,EPB,EPA,week,year,game_id
1.0,6:35,1.0,10.0,DEN 19,0.0,3.0,Russell Wilson pass incomplete short left intended for Jaleel McLaughlin,0.15,-0.39,7.0,2023,103
1.0,6:32,2.0,10.0,DEN 19,0.0,3.0,Javonte Williams right tackle for -1 yards (tackle by Quay Walker and Isaiah McDuffie),-0.39,-1.25,7.0,2023,103
1.0,5:52,3.0,11.0,DEN 18,0.0,3.0,Russell Wilson pass complete short middle to Jerry Jeudy for 6 yards (tackle by Karl Brooks),-1.25,-1.77,7.0,2023,103
1.0,5:22,4.0,5.0,DEN 24,0.0,3.0,"Riley Dixon punts 38 yards, fair catch by Jayden Reed at GB-38",-1.77,-1.47,7.0,2023,103
1.0,5:15,1.0,10.0,GNB 38,0.0,3.0,Aaron Jones up the middle for 5 yards (tackle by D.J. Jones),1.47,1.6,7.0,2023,103
1.0,4:37,2.0,5.0,GNB 43,0.0,3.0,Jordan Love pass complete short right to Luke Musgrave for 8 yards (tackle by Jonathon Cooper),1.6,2.32,7.0,2023,103
1.0,4:09,1.0,10.0,DEN 49,0.0,3.0,AJ Dillon left guard for 2 yards (tackle by Jonathan Harris and Mike Purcell),2.32,2.05,7.0,2023,103
1.0,3:30,2.0,8.0,DEN 47,0.0,3.0,Jordan Love pass complete short right to Luke Musgrave for 1 yard (tackle by Josey Jewell),2.05,1.49,7.0,2023,103
1.0,2:46,3.0,7.0,DEN 46,0.0,3.0,"Jordan Love pass incomplete deep left intended for Jayden Reed (defended by Patrick Surtain). Penalty on Rasheed Walker: Offensive Facemask, 15 yards (declined)",1.49,0.2,7.0,2023,103
1.0,2:40,4.0,7.0,DEN 46,0.0,3.0,"Penalty on Josh Myers: False Start, 5 yards (accepted) (no play)",0.2,-0.13,7.0,2023,103
1.0,2:40,4.0,12.0,GNB 49,0.0,3.0,"Daniel Whelan punts 51 yards, touchback.",-0.13,-0.28,7.0,2023,103
1.0,2:31,1.0,10.0,DEN 20,0.0,3.0,"Jaleel McLaughlin right tackle for 11 yards (tackle by Isaiah McDuffie). Penalty on Kenny Clark: Defensive Holding, 5 yards (accepted)",0.28,1.33,7.0,2023,103
1.0,2:07,1.0,10.0,DEN 36,0.0,3.0,Russell Wilson pass complete short left to Courtland Sutton for 5 yards (tackle by Rasul Douglas),1.33,1.47,7.0,2023,103
1.0,1:30,2.0,5.0,DEN 41,0.0,3.0,Javonte Williams right guard for 11 yards (tackle by Darnell Savage),1.47,2.39,7.0,2023,103
1.0,0:49,1.0,10.0,GNB 48,0.0,3.0,Russell Wilson pass complete short left to Samaje Perine for 19 yards (tackle by Isaiah McDuffie and Rasul Douglas),2.39,3.64,7.0,2023,103
1.0,0:08,1.0,10.0,GNB 29,0.0,3.0,Samaje Perine right guard for 5 yards (tackle by Isaiah McDuffie),3.64,3.78,7.0,2023,103
2.0,15:00,2.0,5.0,GNB 24,0.0,3.0,Russell Wilson pass incomplete deep right intended for Marvin Mims,3.78,3.07,7.0,2023,103
2.0,14:52,3.0,5.0,GNB 24,0.0,3.0,Russell Wilson pass complete short middle to Courtland Sutton for 11 yards (tackle by Carrington Valentine),3.07,4.71,7.0,2023,103
2.0,14:12,1.0,10.0,GNB 13,0.0,3.0,Javonte Williams right guard for 3 yards (tackle by Rudy Ford and Carrington Valentine),4.71,4.58,7.0,2023,103
2.0,13:30,2.0,7.0,GNB 10,0.0,3.0,Russell Wilson pass incomplete short right,4.58,3.65,7.0,2023,103
2.0,13:24,3.0,7.0,GNB 10,0.0,3.0,Russell Wilson pass incomplete short left,3.65,2.76,7.0,2023,103
2.0,13:17,4.0,7.0,GNB 10,0.0,6.0,Wil Lutz 29 yard field goal good,2.76,3.0,7.0,2023,103
2.0,13:14,,,DEN 35,0.0,6.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,103
2.0,13:14,1.0,10.0,GNB 25,0.0,6.0,"Aaron Jones left end for no gain (tackle by Alex Singleton). Penalty on Baron Browning: Defensive Offside, 5 yards (accepted) (no play)",0.61,1.34,7.0,2023,103
2.0,12:49,1.0,5.0,GNB 30,0.0,6.0,Jordan Love pass incomplete short left intended for Luke Musgrave (defended by Kareem Jackson),1.34,0.74,7.0,2023,103
2.0,12:46,2.0,5.0,GNB 30,0.0,6.0,Aaron Jones left guard for 3 yards (tackle by Josey Jewell and Mike Purcell),0.74,0.43,7.0,2023,103
2.0,12:04,3.0,2.0,GNB 33,0.0,6.0,Jordan Love pass complete short middle to Christian Watson for 6 yards (tackle by Josey Jewell),0.43,1.53,7.0,2023,103
2.0,11:20,1.0,10.0,GNB 39,0.0,6.0,Jordan Love pass complete short left to Christian Watson for -2 yards (tackle by Ronnie Perkins),1.53,0.72,7.0,2023,103
2.0,10:55,2.0,12.0,GNB 37,0.0,6.0,Jordan Love pass complete short left to Samori Toure for 3 yards (tackle by Kareem Jackson and Alex Singleton),0.72,0.43,7.0,2023,103
2.0,10:14,3.0,9.0,GNB 40,0.0,6.0,"Penalty on Baron Browning: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.43,1.09,7.0,2023,103
2.0,9:55,3.0,4.0,GNB 45,0.0,6.0,Jordan Love pass incomplete short right intended for Christian Watson,1.09,-0.39,7.0,2023,103
2.0,9:51,4.0,4.0,GNB 45,0.0,6.0,"Daniel Whelan punts 45 yards, fair catch by Marvin Mims at DEN-10",-0.39,0.38,7.0,2023,103
2.0,9:44,1.0,10.0,DEN 10,0.0,6.0,Javonte Williams right guard for 3 yards (tackle by Isaiah McDuffie and Preston Smith),-0.38,-0.56,7.0,2023,103
2.0,9:09,2.0,7.0,DEN 13,0.0,6.0,Russell Wilson pass complete short left to Javonte Williams for 2 yards (tackle by Quay Walker and Keisean Nixon),-0.56,-0.84,7.0,2023,103
2.0,8:27,3.0,5.0,DEN 15,0.0,6.0,"Russell Wilson pass incomplete deep right intended for Brandon Johnson. Penalty on Keisean Nixon: Defensive Pass Interference, 21 yards (accepted) (no play)",-0.84,1.33,7.0,2023,103
2.0,8:21,1.0,10.0,DEN 36,0.0,6.0,Marvin Mims left end for -11 yards (tackle by Rasul Douglas),1.33,-0.7,7.0,2023,103
2.0,7:34,2.0,21.0,DEN 25,0.0,6.0,"Russell Wilson scrambles left end for no gain (tackle by Quay Walker). Penalty on Garett Bolles: Offensive Holding, 10 yards (accepted) (no play)",-0.7,-2.21,7.0,2023,103
2.0,7:15,2.0,31.0,DEN 15,0.0,6.0,Jaleel McLaughlin up the middle for 23 yards (tackle by Rudy Ford),-2.21,0.37,7.0,2023,103
2.0,6:46,3.0,8.0,DEN 38,0.0,6.0,Russell Wilson pass incomplete deep middle intended for Adam Trautman,0.37,-0.85,7.0,2023,103
2.0,6:41,4.0,8.0,DEN 38,0.0,6.0,"Riley Dixon punts 49 yards, returned by Keisean Nixon for 15 yards (tackle by Nate Adkins and Dwayne Washington)",-0.85,-0.81,7.0,2023,103
2.0,6:31,1.0,10.0,GNB 28,0.0,6.0,Jordan Love pass complete short right to Emanuel Wilson for 4 yards (tackle by Fabian Moreau and Alex Singleton),0.81,0.8,7.0,2023,103
2.0,5:53,2.0,6.0,GNB 32,0.0,6.0,Emanuel Wilson right tackle for 5 yards (tackle by Nik Bonitto),0.8,0.76,7.0,2023,103
2.0,5:18,,,,,,Timeout #1 by Green Bay Packers,,,7.0,2023,103
2.0,5:18,3.0,1.0,GNB 37,0.0,6.0,Aaron Jones left end for 6 yards (tackle by Fabian Moreau),0.76,1.8,7.0,2023,103
2.0,4:39,1.0,10.0,GNB 43,0.0,6.0,Jordan Love pass complete short right to Romeo Doubs for 14 yards (tackle by Alex Singleton and Justin Simmons),1.8,2.72,7.0,2023,103
2.0,3:58,1.0,10.0,DEN 43,0.0,6.0,AJ Dillon left end for 7 yards (tackle by Alex Singleton and Josey Jewell),2.72,3.12,7.0,2023,103
2.0,3:17,2.0,3.0,DEN 36,0.0,6.0,Jordan Love scrambles up the middle for 2 yards (tackle by Ronnie Perkins),3.12,2.68,7.0,2023,103
2.0,2:35,3.0,1.0,DEN 34,0.0,6.0,Jordan Love pass complete short left to Aaron Jones for 3 yards (tackle by Alex Singleton),2.68,3.51,7.0,2023,103
2.0,2:01,1.0,10.0,DEN 31,0.0,6.0,Dontayvion Wicks left end for 1 yard (tackle by Patrick Surtain and Josey Jewell),3.51,3.1,7.0,2023,103
2.0,1:55,2.0,9.0,DEN 30,0.0,6.0,AJ Dillon up the middle for 5 yards (tackle by Zach Allen and Jonathon Cooper),3.1,3.07,7.0,2023,103
2.0,1:15,3.0,4.0,DEN 25,0.0,6.0,"Penalty on Rasheed Walker: False Start, 5 yards (accepted) (no play)",3.07,2.41,7.0,2023,103
2.0,0:53,3.0,9.0,DEN 30,0.0,6.0,Jordan Love pass complete short middle to Jayden Reed for 5 yards (tackle by Jonathon Cooper),2.41,1.88,7.0,2023,103
2.0,0:46,,,,,,Timeout #1 by Denver Broncos,,,7.0,2023,103
2.0,0:46,,,,,,Timeout #2 by Green Bay Packers,,,7.0,2023,103
2.0,0:46,4.0,4.0,DEN 25,0.0,6.0,Anders Carlson 43 yard field goal no good,1.88,-1.14,7.0,2023,103
2.0,0:41,1.0,10.0,DEN 33,0.0,6.0,Russell Wilson pass complete deep right to Jerry Jeudy for 17 yards (tackle by Carrington Valentine),1.14,2.26,7.0,2023,103
2.0,0:34,1.0,10.0,GNB 50,0.0,6.0,Russell Wilson pass complete short right to Samaje Perine for 7 yards (tackle by Carrington Valentine),2.26,2.66,7.0,2023,103
2.0,0:27,2.0,3.0,GNB 43,0.0,6.0,Russell Wilson pass complete short middle to Samaje Perine for 5 yards (tackle by Quay Walker),2.66,3.05,7.0,2023,103
2.0,0:22,,,,,,Timeout #2 by Denver Broncos,,,7.0,2023,103
2.0,0:22,1.0,10.0,GNB 38,0.0,6.0,Russell Wilson scrambles left guard for 21 yards (tackle by Eric Wilson and Rudy Ford),3.05,4.44,7.0,2023,103
2.0,0:14,,,,,,Timeout #3 by Denver Broncos,,,7.0,2023,103
2.0,0:14,1.0,10.0,GNB 17,0.0,6.0,Russell Wilson pass incomplete deep middle,4.44,3.85,7.0,2023,103
2.0,0:09,2.0,10.0,GNB 17,0.0,9.0,Wil Lutz 35 yard field goal good,3.85,3.0,7.0,2023,103
2.0,0:05,,,DEN 35,0.0,9.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,103
2.0,0:05,1.0,10.0,GNB 25,0.0,9.0,Emanuel Wilson right guard for 14 yards (tackle by Jonathon Cooper and Josey Jewell),0.61,1.53,7.0,2023,103
3.0,15:00,,,DEN 35,0.0,9.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,103
3.0,15:00,1.0,10.0,GNB 25,0.0,9.0,Aaron Jones right end for 6 yards (tackle by Nik Bonitto),0.61,0.87,7.0,2023,103
3.0,14:35,2.0,4.0,GNB 31,0.0,9.0,Jordan Love pass incomplete deep left intended for Romeo Doubs (defended by Fabian Moreau),0.87,0.17,7.0,2023,103
3.0,14:29,3.0,4.0,GNB 31,0.0,9.0,Jordan Love pass complete short middle to Dontayvion Wicks for 17 yards (tackle by Fabian Moreau),0.17,2.13,7.0,2023,103
3.0,13:43,1.0,10.0,GNB 48,0.0,9.0,Jordan Love pass incomplete short right intended for Romeo Doubs (defended by Baron Browning),2.13,1.58,7.0,2023,103
3.0,13:40,2.0,10.0,GNB 48,0.0,9.0,AJ Dillon right tackle for 4 yards (tackle by Zach Allen),1.58,1.42,7.0,2023,103
3.0,13:18,3.0,6.0,DEN 48,0.0,9.0,Jordan Love scrambles up the middle for 9 yards (tackle by Alex Singleton),1.42,2.98,7.0,2023,103
3.0,12:32,1.0,10.0,DEN 39,0.0,9.0,AJ Dillon left guard for 8 yards (tackle by Matt Henningsen),2.98,3.52,7.0,2023,103
3.0,11:53,2.0,2.0,DEN 31,0.0,9.0,Dontayvion Wicks pass complete short right to Aaron Jones for 14 yards (tackle by Josey Jewell and Justin Simmons),3.52,4.44,7.0,2023,103
3.0,11:14,1.0,10.0,DEN 17,0.0,9.0,Jordan Love pass incomplete short right intended for Aaron Jones,4.44,3.85,7.0,2023,103
3.0,11:10,2.0,10.0,DEN 17,0.0,9.0,AJ Dillon left guard for 6 yards (tackle by Matt Henningsen),3.85,4.1,7.0,2023,103
3.0,10:31,3.0,4.0,DEN 11,0.0,9.0,Jordan Love pass incomplete short left intended for Romeo Doubs,4.1,2.77,7.0,2023,103
3.0,10:28,4.0,4.0,DEN 11,3.0,9.0,Anders Carlson 29 yard field goal good,2.77,3.0,7.0,2023,103
3.0,10:24,,,GNB 35,3.0,9.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,103
3.0,10:24,1.0,10.0,DEN 25,3.0,9.0,Russell Wilson pass complete deep right to Jerry Jeudy for 18 yards,0.61,1.8,7.0,2023,103
3.0,9:52,1.0,10.0,DEN 43,3.0,9.0,Javonte Williams right tackle for 21 yards (tackle by Rasul Douglas and Rudy Ford),1.8,3.18,7.0,2023,103
3.0,9:08,1.0,10.0,GNB 36,3.0,9.0,Javonte Williams left tackle for 9 yards (tackle by Colby Wooden),3.18,3.85,7.0,2023,103
3.0,8:29,2.0,1.0,GNB 27,3.0,9.0,Michael Burton right guard for -2 yards (tackle by Quay Walker and Colby Wooden),3.85,2.87,7.0,2023,103
3.0,7:48,3.0,3.0,GNB 29,3.0,9.0,"Russell Wilson pass incomplete deep left intended for Brandon Johnson. Penalty on Jonathan Owens: Defensive Holding, 5 yards (accepted) (no play)",2.87,3.97,7.0,2023,103
3.0,7:41,1.0,10.0,GNB 24,3.0,9.0,"Penalty on Mike McGlinchey: False Start, 5 yards (accepted) (no play)",3.97,3.64,7.0,2023,103
3.0,7:41,1.0,15.0,GNB 29,3.0,9.0,Javonte Williams right tackle for 5 yards (tackle by Isaiah McDuffie and Kingsley Enagbare),3.64,3.43,7.0,2023,103
3.0,7:00,2.0,10.0,GNB 24,3.0,9.0,Russell Wilson pass complete short right to Courtland Sutton for 6 yards (tackle by Rasul Douglas),3.43,3.57,7.0,2023,103
3.0,6:22,3.0,4.0,GNB 18,3.0,15.0,"Russell Wilson pass complete deep left to Courtland Sutton for 18 yards, touchdown",3.57,7.0,7.0,2023,103
3.0,6:17,,,GNB 15,3.0,16.0,Wil Lutz kicks extra point good,0.0,0.0,7.0,2023,103
3.0,6:17,,,DEN 35,3.0,16.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,103
3.0,6:17,1.0,10.0,GNB 25,3.0,16.0,Jordan Love pass complete deep left to Christian Watson for 23 yards (tackle by Kareem Jackson),0.61,2.13,7.0,2023,103
3.0,5:37,1.0,10.0,GNB 48,3.0,16.0,AJ Dillon left end for -1 yards (tackle by Ronnie Perkins and Alex Singleton),2.13,1.45,7.0,2023,103
3.0,4:57,2.0,11.0,GNB 47,3.0,16.0,AJ Dillon up the middle for 5 yards (tackle by Josey Jewell and Baron Browning),1.45,1.42,7.0,2023,103
3.0,4:37,,,,,,Timeout #1 by Denver Broncos,,,7.0,2023,103
3.0,4:37,3.0,6.0,DEN 48,3.0,16.0,"Jordan Love pass incomplete deep left intended for Christian Watson. Penalty on Patrick Surtain: Defensive Holding, 5 yards (accepted) (no play)",1.42,2.72,7.0,2023,103
3.0,4:31,1.0,10.0,DEN 43,3.0,16.0,Jordan Love pass complete short right to Luke Musgrave for 3 yards (tackle by Fabian Moreau),2.72,2.58,7.0,2023,103
3.0,3:50,2.0,7.0,DEN 40,3.0,16.0,Jordan Love pass incomplete short left intended for Aaron Jones,2.58,1.88,7.0,2023,103
3.0,3:47,3.0,7.0,DEN 40,3.0,16.0,Jordan Love pass complete short left to Jayden Reed for 12 yards (tackle by Kareem Jackson),1.88,3.71,7.0,2023,103
3.0,3:12,1.0,10.0,DEN 28,3.0,16.0,Aaron Jones right guard for 11 yards (tackle by Justin Simmons),3.71,4.44,7.0,2023,103
3.0,2:31,1.0,10.0,DEN 17,3.0,16.0,Aaron Jones up the middle for 1 yard (tackle by Alex Singleton),4.44,4.0,7.0,2023,103
3.0,1:53,2.0,9.0,DEN 16,9.0,16.0,"Jordan Love pass complete deep right to Romeo Doubs for 16 yards, touchdown",4.0,7.0,7.0,2023,103
3.0,1:46,,,DEN 15,10.0,16.0,Anders Carlson kicks extra point good,0.0,0.0,7.0,2023,103
3.0,1:46,,,GNB 35,10.0,16.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,103
3.0,1:46,1.0,10.0,DEN 25,10.0,16.0,Javonte Williams left guard for 2 yards (tackle by Tedarrell Slaton),0.61,0.33,7.0,2023,103
3.0,1:15,2.0,8.0,DEN 27,10.0,16.0,Russell Wilson pass complete short right to Adam Trautman for 5 yards (tackle by Jonathan Owens),0.33,0.3,7.0,2023,103
3.0,0:36,3.0,3.0,DEN 32,10.0,16.0,Javonte Williams right guard for 1 yard (tackle by Rashan Gary),0.3,-1.18,7.0,2023,103
4.0,15:00,4.0,2.0,DEN 33,10.0,16.0,"Riley Dixon punts 45 yards, returned by Keisean Nixon for 2 yards (tackle by Delarrin Turner-Yell)",-1.18,-0.54,7.0,2023,103
4.0,14:50,1.0,10.0,GNB 24,10.0,16.0,AJ Dillon left end for 5 yards (tackle by Jonathan Harris),0.54,0.67,7.0,2023,103
4.0,14:09,2.0,5.0,GNB 29,10.0,16.0,"Jordan Love pass complete deep left to Luke Musgrave for 18 yards (tackle by Kareem Jackson). Penalty on Kareem Jackson: Disqualification / Defense, 15 yards (accepted)",0.67,3.05,7.0,2023,103
4.0,13:49,1.0,10.0,DEN 38,10.0,16.0,AJ Dillon up the middle for 4 yards (tackle by Jonathon Cooper and P.J. Locke),3.05,3.05,7.0,2023,103
4.0,13:11,2.0,6.0,DEN 34,10.0,16.0,Jordan Love pass complete short left to Emanuel Wilson for 4 yards (tackle by Josey Jewell),3.05,2.87,7.0,2023,103
4.0,12:33,3.0,2.0,DEN 30,10.0,16.0,AJ Dillon left guard for 1 yard (tackle by D.J. Jones and Mike Purcell),2.87,1.62,7.0,2023,103
4.0,11:52,4.0,1.0,DEN 29,10.0,16.0,Jordan Love pass complete short right to Ben Sims for 2 yards (tackle by Patrick Surtain),1.62,3.78,7.0,2023,103
4.0,11:11,1.0,10.0,DEN 27,10.0,16.0,AJ Dillon left guard for 15 yards (tackle by P.J. Locke),3.78,4.78,7.0,2023,103
4.0,10:35,1.0,10.0,DEN 12,10.0,16.0,AJ Dillon right guard for -2 yards (tackle by Alex Singleton),4.78,3.79,7.0,2023,103
4.0,9:54,2.0,12.0,DEN 14,10.0,16.0,Jordan Love up the middle for 10 yards (tackle by Justin Simmons and P.J. Locke),3.79,4.84,7.0,2023,103
4.0,9:17,,,,,,Timeout #1 by Green Bay Packers,,,7.0,2023,103
4.0,9:17,,,,,,Timeout #2 by Denver Broncos,,,7.0,2023,103
4.0,9:17,3.0,2.0,DEN 4,10.0,16.0,"Penalty on Josiah Deguara: False Start, 5 yards (accepted) (no play)",4.84,3.7,7.0,2023,103
4.0,9:17,3.0,7.0,DEN 9,10.0,16.0,Jordan Love pass complete short middle to Aaron Jones for 5 yards (tackle by Alex Singleton),3.7,3.04,7.0,2023,103
4.0,8:35,4.0,2.0,DEN 4,16.0,16.0,"Jordan Love pass complete short middle to Jayden Reed for 4 yards, touchdown",3.04,7.0,7.0,2023,103
4.0,8:31,,,DEN 15,17.0,16.0,Anders Carlson kicks extra point good,0.0,0.0,7.0,2023,103
4.0,8:31,,,GNB 35,17.0,16.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,103
4.0,8:31,1.0,10.0,DEN 25,17.0,16.0,Russell Wilson pass complete short right to Jerry Jeudy for 7 yards (tackle by Carrington Valentine),0.61,1.01,7.0,2023,103
4.0,7:51,2.0,3.0,DEN 32,17.0,16.0,Jaleel McLaughlin right end for 2 yards (tackle by Rashan Gary),1.01,0.56,7.0,2023,103
4.0,7:11,3.0,1.0,DEN 34,17.0,16.0,Javonte Williams right end for 6 yards (tackle by Rudy Ford),0.56,1.6,7.0,2023,103
4.0,6:35,1.0,10.0,DEN 40,17.0,16.0,Russell Wilson pass complete short middle to Javonte Williams for 5 yards (tackle by Isaiah McDuffie),1.6,1.73,7.0,2023,103
4.0,5:51,2.0,5.0,DEN 45,17.0,16.0,Russell Wilson pass complete short middle to Jerry Jeudy for 16 yards (tackle by Carrington Valentine),1.73,2.98,7.0,2023,103
4.0,5:19,1.0,10.0,GNB 39,17.0,16.0,Samaje Perine right guard for 5 yards (tackle by Colby Wooden),2.98,3.12,7.0,2023,103
4.0,4:40,2.0,5.0,GNB 34,17.0,16.0,Russell Wilson pass incomplete short right intended for Javonte Williams,3.12,2.41,7.0,2023,103
4.0,4:36,3.0,5.0,GNB 34,17.0,16.0,Russell Wilson sacked by Preston Smith for no gain,2.41,1.07,7.0,2023,103
4.0,3:54,4.0,5.0,GNB 34,17.0,19.0,Wil Lutz 52 yard field goal good,1.07,3.0,7.0,2023,103
4.0,3:50,,,DEN 35,17.0,19.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,103
4.0,3:50,1.0,10.0,GNB 25,17.0,19.0,AJ Dillon right tackle for 2 yards (tackle by Zach Allen),0.61,0.33,7.0,2023,103
4.0,3:11,2.0,8.0,GNB 27,17.0,19.0,Jordan Love pass complete short middle to AJ Dillon for 29 yards (tackle by Josey Jewell),0.33,2.65,7.0,2023,103
4.0,2:22,1.0,10.0,DEN 44,17.0,19.0,AJ Dillon right guard for no gain (tackle by Zach Allen and Jonathon Cooper),2.65,2.11,7.0,2023,103
4.0,2:00,2.0,10.0,DEN 44,17.0,19.0,"Jordan Love left tackle for no gain (tackle by Josey Jewell). Penalty on Elgton Jenkins: Offensive Holding, 10 yards (accepted) (no play)",2.11,0.76,7.0,2023,103
4.0,1:56,2.0,20.0,GNB 46,17.0,19.0,Jordan Love pass incomplete short middle intended for Christian Watson,0.76,0.1,7.0,2023,103
4.0,1:52,3.0,20.0,GNB 46,17.0,19.0,Jordan Love pass deep right intended for Samori Toure is intercepted by P.J. Locke at DEN-12 and returned for 14 yards (tackle by Tucker Kraft),0.1,-0.67,7.0,2023,103
4.0,1:40,1.0,10.0,DEN 26,17.0,19.0,Javonte Williams right guard for 2 yards (tackle by Rudy Ford),0.67,0.4,7.0,2023,103
4.0,1:37,,,,,,Timeout #2 by Green Bay Packers,,,7.0,2023,103
4.0,1:37,2.0,8.0,DEN 28,17.0,19.0,Javonte Williams left guard for 1 yard (tackle by Quay Walker),0.4,-0.16,7.0,2023,103
4.0,0:50,,,,,,Timeout #3 by Denver Broncos,,,7.0,2023,103
4.0,0:50,3.0,7.0,DEN 29,17.0,19.0,Javonte Williams right guard for 3 yards (tackle by Karl Brooks),-0.16,-1.24,7.0,2023,103
4.0,0:06,4.0,4.0,DEN 32,17.0,19.0,"Penalty on DEN: Delay of Game, 5 yards (accepted) (no play)",-1.24,-1.57,7.0,2023,103
4.0,0:06,4.0,9.0,DEN 27,17.0,19.0,Russell Wilson pass incomplete deep right,-1.57,0.74,7.0,2023,103
