Quarter,Time,Down,ToGo,Location,JAX,NOR,Detail,EPB,EPA,week,year,game_id
1.0,5:26,3.0,7.0,JAX 32,7.0,0.0,Derek Carr pass incomplete short right intended for Chris Olave (defended by Tre Herndon),2.41,1.24,7.0,2023,94
1.0,5:21,4.0,7.0,JAX 32,7.0,0.0,Blake Grupe 51 yard field goal no good,1.24,-1.66,7.0,2023,94
1.0,5:16,1.0,10.0,JAX 41,7.0,0.0,"Trevor Lawrence pass complete deep left to Christian Kirk for 19 yards. Christian Kirk fumbles (forced by Paulson Adebo), recovered by Carl Granderson at NO-41 (tackle by Paulson Adebo)",1.66,-1.66,7.0,2023,94
1.0,5:02,1.0,10.0,NOR 41,7.0,0.0,Alvin Kamara right end for 1 yard (tackle by Jeremiah Ledbetter and Travon Walker),1.66,1.26,7.0,2023,94
1.0,4:16,2.0,9.0,NOR 42,7.0,0.0,Derek Carr pass complete short middle to Chris Olave for 3 yards (tackle by Devin Lloyd),1.26,0.96,7.0,2023,94
1.0,3:51,3.0,6.0,NOR 45,7.0,0.0,Derek Carr pass incomplete deep middle intended for Rashid Shaheed,0.96,-0.39,7.0,2023,94
1.0,3:44,4.0,6.0,NOR 45,7.0,0.0,"Lou Hedley punts 40 yards, recovered by Lonnie Johnson at JAC-17",-0.39,4.44,7.0,2023,94
1.0,3:36,1.0,10.0,JAX 17,7.0,0.0,Jamaal Williams left guard for 4 yards (tackle by Devin Lloyd and Rayshawn Jenkins),4.44,4.5,7.0,2023,94
1.0,3:02,2.0,6.0,JAX 13,7.0,0.0,Derek Carr pass complete short left to Alvin Kamara for 7 yards (tackle by Devin Lloyd and Montaric Brown),4.5,5.83,7.0,2023,94
1.0,2:25,1.0,6.0,JAX 6,7.0,0.0,Alvin Kamara left guard for 1 yard (tackle by Folorunso Fatukasi and Devin Lloyd),5.83,5.15,7.0,2023,94
1.0,1:42,2.0,5.0,JAX 5,7.0,0.0,Derek Carr pass incomplete short left intended for Rashid Shaheed,5.15,4.26,7.0,2023,94
1.0,1:33,3.0,5.0,JAX 5,7.0,0.0,Derek Carr pass incomplete short left intended for Michael Thomas (defended by Montaric Brown),4.26,3.01,7.0,2023,94
1.0,1:29,4.0,5.0,JAX 5,7.0,3.0,Blake Grupe 23 yard field goal good,3.01,3.0,7.0,2023,94
1.0,1:26,,,NOR 35,7.0,3.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,94
1.0,1:26,1.0,10.0,JAX 25,7.0,3.0,Travis Etienne left guard for 5 yards (tackle by Pete Werner),0.61,0.74,7.0,2023,94
1.0,0:49,2.0,5.0,JAX 30,7.0,3.0,Tank Bigsby right guard for 2 yards (tackle by Carl Granderson and Cameron Jordan),0.74,0.3,7.0,2023,94
1.0,0:08,3.0,3.0,JAX 32,7.0,3.0,Trevor Lawrence pass complete short right to Christian Kirk for 9 yards,0.3,1.66,7.0,2023,94
2.0,15:00,1.0,10.0,JAX 41,7.0,3.0,Trevor Lawrence pass complete short left to Jamal Agnew for 9 yards (tackle by Alontae Taylor),1.66,2.34,7.0,2023,94
2.0,14:25,2.0,1.0,NOR 50,7.0,3.0,Travis Etienne right guard for 2 yards (tackle by Carl Granderson),2.34,2.39,7.0,2023,94
2.0,13:33,1.0,10.0,NOR 48,7.0,3.0,"Trevor Lawrence scrambles left end for 26 yards (tackle by Tyrann Mathieu). Penalty on Alontae Taylor: Defensive Holding, 5 yards (accepted)",2.39,4.44,7.0,2023,94
2.0,13:17,1.0,10.0,NOR 17,13.0,3.0,"Travis Etienne left end for 17 yards, touchdown",4.44,7.0,7.0,2023,94
2.0,13:09,,,NOR 15,14.0,3.0,Brandon McManus kicks extra point good,0.0,0.0,7.0,2023,94
2.0,13:09,,,JAX 35,14.0,3.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,94
2.0,13:09,1.0,10.0,NOR 25,14.0,3.0,Derek Carr pass complete short right to Rashid Shaheed for 5 yards (tackle by Darious Williams),0.61,0.74,7.0,2023,94
2.0,12:42,2.0,5.0,NOR 30,14.0,3.0,Derek Carr pass complete deep right to Foster Moreau for 18 yards (tackle by Rayshawn Jenkins),0.74,2.13,7.0,2023,94
2.0,12:09,1.0,10.0,NOR 48,14.0,3.0,Jamaal Williams left tackle for 4 yards (tackle by Foyesade Oluokun and Devin Lloyd),2.13,2.12,7.0,2023,94
2.0,11:36,2.0,6.0,JAX 48,14.0,3.0,Jamaal Williams right tackle for 4 yards (tackle by Devin Lloyd),2.12,1.95,7.0,2023,94
2.0,10:53,3.0,2.0,JAX 44,14.0,3.0,Derek Carr pass incomplete deep left intended for Michael Thomas (defended by Darious Williams),1.95,0.33,7.0,2023,94
2.0,10:47,4.0,2.0,JAX 44,14.0,3.0,"Derek Carr pass incomplete short left intended for Chris Olave (defended by Devin Lloyd). Penalty on Michael Thomas: Offensive Pass Interference, 10 yards (declined)",0.33,-1.93,7.0,2023,94
2.0,10:43,1.0,10.0,JAX 45,14.0,3.0,Travis Etienne left guard for no gain (tackle by Malcolm Roach),1.93,1.38,7.0,2023,94
2.0,10:01,2.0,10.0,JAX 45,14.0,3.0,Trevor Lawrence pass incomplete short right intended for Travis Etienne (defended by Cameron Jordan),1.38,0.7,7.0,2023,94
2.0,9:57,3.0,10.0,JAX 45,14.0,3.0,Trevor Lawrence pass incomplete short left intended for Evan Engram,0.7,-0.39,7.0,2023,94
2.0,9:53,4.0,10.0,JAX 45,14.0,3.0,"Logan Cooke punts 42 yards, fair catch by Rashid Shaheed at NO-13",-0.39,0.32,7.0,2023,94
2.0,9:47,1.0,10.0,NOR 13,14.0,3.0,Derek Carr pass complete short middle to Alvin Kamara for 21 yards (tackle by Josh Allen),-0.32,1.2,7.0,2023,94
2.0,9:14,1.0,10.0,NOR 34,14.0,3.0,"Alvin Kamara right guard for -2 yards (tackle by Angelo Blackson). Penalty on Angelo Blackson: Unnecessary Roughness / Defense, 15 yards (accepted)",1.2,2.06,7.0,2023,94
2.0,8:42,1.0,10.0,NOR 47,14.0,3.0,Rashid Shaheed left end for 4 yards (tackle by Devin Lloyd),2.06,2.06,7.0,2023,94
2.0,8:06,2.0,6.0,JAX 49,14.0,3.0,Derek Carr pass complete short middle to Alvin Kamara for 3 yards (tackle by Darious Williams),2.06,1.75,7.0,2023,94
2.0,7:28,3.0,3.0,JAX 46,14.0,3.0,Derek Carr pass incomplete short left intended for Chris Olave (defended by Tre Herndon),1.75,0.2,7.0,2023,94
2.0,7:22,4.0,3.0,JAX 46,14.0,3.0,"Lou Hedley punts 28 yards, fair catch by Jamal Agnew at JAC-18",0.2,-0.04,7.0,2023,94
2.0,7:17,1.0,10.0,JAX 18,14.0,3.0,Trevor Lawrence pass complete short left to Travis Etienne for 7 yards (tackle by Pete Werner),0.04,0.55,7.0,2023,94
2.0,6:39,2.0,3.0,JAX 25,14.0,3.0,Tank Bigsby right tackle for no gain (tackle by Demario Davis and Malcolm Roach),0.55,-0.27,7.0,2023,94
2.0,5:56,3.0,3.0,JAX 25,14.0,3.0,Trevor Lawrence pass incomplete short left intended for Jamal Agnew,-0.27,-1.7,7.0,2023,94
2.0,5:50,4.0,3.0,JAX 25,14.0,3.0,"Logan Cooke punts 36 yards, fair catch by Rashid Shaheed at NO-20. Penalty on Antonio Johnson: Fair Catch Interference, 15 yards (accepted)",-1.7,-2.52,7.0,2023,94
2.0,5:41,1.0,10.0,JAX 46,14.0,3.0,Derek Carr pass complete short middle to Alvin Kamara for 4 yards (tackle by Foyesade Oluokun and Jeremiah Ledbetter),2.52,2.52,7.0,2023,94
2.0,5:06,2.0,6.0,JAX 42,14.0,3.0,Alvin Kamara left guard for no gain (tackle by Foyesade Oluokun and Andre Cisco),2.52,1.82,7.0,2023,94
2.0,4:19,3.0,6.0,JAX 42,14.0,3.0,Derek Carr pass complete short middle to Alvin Kamara for 3 yards (tackle by Foyesade Oluokun),1.82,0.66,7.0,2023,94
2.0,3:33,4.0,3.0,JAX 39,14.0,3.0,Derek Carr pass complete short right to Alvin Kamara for 17 yards (tackle by Rayshawn Jenkins and Devin Lloyd),0.66,4.11,7.0,2023,94
2.0,3:02,1.0,10.0,JAX 22,14.0,3.0,Jamaal Williams left guard for 2 yards (tackle by Angelo Blackson),4.11,3.83,7.0,2023,94
2.0,2:27,2.0,8.0,JAX 20,14.0,3.0,Derek Carr pass incomplete short right intended for Chris Olave,3.83,3.14,7.0,2023,94
2.0,2:21,3.0,8.0,JAX 20,14.0,3.0,Derek Carr scrambles right end for 3 yards (tackle by Dawuane Smoot),3.14,2.36,7.0,2023,94
2.0,2:00,4.0,5.0,JAX 17,14.0,6.0,Blake Grupe 35 yard field goal good,2.36,3.0,7.0,2023,94
2.0,1:57,,,NOR 35,14.0,6.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,94
2.0,1:57,1.0,10.0,JAX 25,14.0,6.0,Trevor Lawrence pass complete short right to Christian Kirk for 10 yards (tackle by Alontae Taylor),0.61,1.27,7.0,2023,94
2.0,1:52,1.0,10.0,JAX 35,14.0,6.0,Trevor Lawrence pass complete short left to Evan Engram for 11 yards (tackle by Pete Werner),1.27,1.99,7.0,2023,94
2.0,1:47,1.0,10.0,JAX 46,14.0,6.0,"Penalty on Evan Engram: False Start, 5 yards (accepted) (no play)",1.99,1.66,7.0,2023,94
2.0,1:47,1.0,15.0,JAX 41,14.0,6.0,Trevor Lawrence pass complete short right to Jamal Agnew for 10 yards (tackle by Paulson Adebo and Alontae Taylor),1.66,2.13,7.0,2023,94
2.0,1:43,2.0,5.0,NOR 49,14.0,6.0,Trevor Lawrence pass incomplete short right intended for Travis Etienne (defended by Bryan Bresee),2.13,1.42,7.0,2023,94
2.0,1:38,3.0,5.0,NOR 49,14.0,6.0,Trevor Lawrence pass complete short left to Jamal Agnew for 3 yards (tackle by Zack Baun),1.42,0.2,7.0,2023,94
2.0,1:33,,,,,,Timeout #1 by New Orleans Saints,,,7.0,2023,94
2.0,1:33,4.0,2.0,NOR 46,14.0,6.0,Logan Cooke pass complete short left to Tim Jones for 13 yards (tackle by Isaac Yiadom and Jordan Howden),0.2,3.38,7.0,2023,94
2.0,0:52,1.0,10.0,NOR 33,14.0,6.0,Trevor Lawrence pass complete short middle to Evan Engram for 7 yards (tackle by Alontae Taylor),3.38,3.78,7.0,2023,94
2.0,0:46,,,,,,Timeout #1 by Jacksonville Jaguars,,,7.0,2023,94
2.0,0:46,2.0,3.0,NOR 26,14.0,6.0,Trevor Lawrence pass complete short right to Christian Kirk for 1 yard (tackle by Paulson Adebo),3.78,3.2,7.0,2023,94
2.0,0:41,3.0,2.0,NOR 25,14.0,6.0,"Trevor Lawrence pass deep left intended for Jamal Agnew is intercepted by Marshon Lattimore at NO-7 and returned for no gain Replay Assistant challenged the pass interception ruling, and the original play was overturned. Trevor Lawrence pass incomplete deep left intended for Jamal Agnew (defended by Marshon Lattimore)",3.2,1.93,7.0,2023,94
2.0,0:36,4.0,2.0,NOR 25,17.0,6.0,Brandon McManus 43 yard field goal good,1.93,3.0,7.0,2023,94
2.0,0:32,,,JAX 35,17.0,6.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,94
2.0,0:32,1.0,10.0,NOR 25,17.0,6.0,"Derek Carr sacked by Dawuane Smoot for -6 yards. Derek Carr fumbles (forced by Dawuane Smoot), recovered by Cameron Erving at NO-19",0.61,-0.81,7.0,2023,94
3.0,15:00,,,JAX 35,17.0,6.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,94
3.0,15:00,1.0,10.0,NOR 25,17.0,6.0,Derek Carr pass complete short right to Chris Olave for 14 yards,0.61,1.53,7.0,2023,94
3.0,14:38,1.0,10.0,NOR 39,17.0,6.0,Alvin Kamara left guard for 1 yard (tackle by Josh Allen and Rayshawn Jenkins),1.53,1.12,7.0,2023,94
3.0,13:59,2.0,9.0,NOR 40,17.0,6.0,Derek Carr pass complete short right to Foster Moreau for 5 yards (tackle by Tre Herndon),1.12,1.09,7.0,2023,94
3.0,13:26,3.0,4.0,NOR 45,17.0,6.0,Derek Carr pass complete short left to Rashid Shaheed for 3 yards (tackle by Foyesade Oluokun),1.09,-0.19,7.0,2023,94
3.0,12:48,4.0,1.0,NOR 48,17.0,6.0,Alvin Kamara left guard for 17 yards (tackle by Montaric Brown),-0.19,3.25,7.0,2023,94
3.0,12:12,1.0,10.0,JAX 35,17.0,6.0,Derek Carr pass complete short right to Chris Olave for 6 yards (tackle by Tre Herndon),3.25,3.51,7.0,2023,94
3.0,11:33,2.0,4.0,JAX 29,17.0,6.0,Taysom Hill left tackle for 6 yards (tackle by Andre Cisco),3.51,4.04,7.0,2023,94
3.0,10:49,1.0,10.0,JAX 23,17.0,6.0,Derek Carr pass incomplete short left,4.04,3.5,7.0,2023,94
3.0,10:45,2.0,10.0,JAX 23,17.0,6.0,"Derek Carr pass incomplete short right intended for Foster Moreau. Penalty on Andrus Peat: Offensive Holding, 10 yards (accepted) (no play)",3.5,2.15,7.0,2023,94
3.0,10:40,2.0,20.0,JAX 33,17.0,6.0,Derek Carr pass incomplete short left intended for Alvin Kamara,2.15,1.49,7.0,2023,94
3.0,10:37,3.0,20.0,JAX 33,17.0,6.0,Derek Carr pass complete short right to Foster Moreau for 10 yards (tackle by Rayshawn Jenkins and Tre Herndon),1.49,1.93,7.0,2023,94
3.0,9:53,4.0,10.0,JAX 23,17.0,9.0,Blake Grupe 42 yard field goal good,1.93,3.0,7.0,2023,94
3.0,9:49,,,NOR 35,17.0,9.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,94
3.0,9:49,1.0,10.0,JAX 25,17.0,9.0,"Penalty on Luke Fortner: False Start, 5 yards (accepted) (no play)",0.61,0.28,7.0,2023,94
3.0,9:49,1.0,15.0,JAX 20,17.0,9.0,Trevor Lawrence pass complete short left to Calvin Ridley for 5 yards (tackle by Pete Werner),0.28,0.06,7.0,2023,94
3.0,9:10,2.0,10.0,JAX 25,17.0,9.0,Trevor Lawrence pass complete short left to Tim Jones for 4 yards (tackle by Marshon Lattimore),0.06,-0.1,7.0,2023,94
3.0,8:34,3.0,6.0,JAX 29,17.0,9.0,Travis Etienne right end for 5 yards (tackle by Zack Baun and Cameron Jordan),-0.1,-1.11,7.0,2023,94
3.0,7:48,4.0,1.0,JAX 34,17.0,9.0,Logan Cooke punts 53 yards out of bounds,-1.11,0.32,7.0,2023,94
3.0,7:39,1.0,10.0,NOR 13,17.0,9.0,Jamaal Williams left guard for no gain (tackle by Folorunso Fatukasi and Foyesade Oluokun),-0.32,-0.77,7.0,2023,94
3.0,7:05,2.0,10.0,NOR 13,17.0,9.0,Derek Carr pass incomplete short right intended for Michael Thomas,-0.77,-1.42,7.0,2023,94
3.0,7:00,3.0,10.0,NOR 13,23.0,9.0,"Derek Carr pass short middle (defended by Darious Williams) intended for Rashid Shaheed is intercepted by Foyesade Oluokun at NO-24 and returned for 24 yards, touchdown",-1.42,-7.0,7.0,2023,94
3.0,6:47,,,NOR 15,24.0,9.0,Brandon McManus kicks extra point good,0.0,0.0,7.0,2023,94
3.0,6:47,,,JAX 35,24.0,9.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,94
3.0,6:47,1.0,10.0,NOR 25,24.0,9.0,Derek Carr pass complete short left to Michael Thomas for 8 yards (tackle by Montaric Brown),0.61,1.14,7.0,2023,94
3.0,6:25,2.0,2.0,NOR 33,24.0,9.0,Derek Carr pass complete short left to Alvin Kamara for 8 yards (tackle by Angelo Blackson),1.14,1.66,7.0,2023,94
3.0,6:01,1.0,10.0,NOR 41,24.0,9.0,Derek Carr pass complete short right to Rashid Shaheed for 12 yards (tackle by Darious Williams),1.66,2.46,7.0,2023,94
3.0,5:20,1.0,10.0,JAX 47,24.0,9.0,Derek Carr pass complete short right to Taysom Hill for 7 yards (tackle by Darious Williams),2.46,2.86,7.0,2023,94
3.0,5:00,2.0,3.0,JAX 40,24.0,9.0,Derek Carr pass complete short right to Chris Olave for 7 yards,2.86,3.38,7.0,2023,94
3.0,4:40,1.0,10.0,JAX 33,24.0,9.0,Derek Carr pass complete short left to Alvin Kamara for 3 yards (tackle by Foyesade Oluokun),3.38,3.24,7.0,2023,94
3.0,4:08,2.0,7.0,JAX 30,24.0,9.0,Derek Carr scrambles up the middle for 1 yard (tackle by Tyler Lacy),3.24,2.68,7.0,2023,94
3.0,3:42,3.0,6.0,JAX 29,24.0,9.0,Derek Carr pass complete short middle to Alvin Kamara for 4 yards (tackle by Foyesade Oluokun),2.68,1.93,7.0,2023,94
3.0,3:05,4.0,2.0,JAX 25,24.0,9.0,Alvin Kamara left end for 10 yards (tackle by Tre Herndon and Jeremiah Ledbetter),1.93,4.58,7.0,2023,94
3.0,2:26,1.0,10.0,JAX 15,24.0,9.0,Alvin Kamara right tackle for 6 yards (tackle by Devin Lloyd and Rayshawn Jenkins),4.58,5.03,7.0,2023,94
3.0,2:02,2.0,4.0,JAX 9,24.0,9.0,Taysom Hill right end for 1 yard (tackle by Foyesade Oluokun and Angelo Blackson),5.03,4.45,7.0,2023,94
3.0,1:14,3.0,3.0,JAX 8,24.0,9.0,Taysom Hill left end for 4 yards (tackle by Andrew Wingard),4.45,6.28,7.0,2023,94
3.0,0:48,1.0,4.0,JAX 4,24.0,9.0,"Derek Carr pass incomplete. Penalty on Rayshawn Jenkins: Unnecessary Roughness / Defense, 2 yards (accepted) (no play)",6.28,6.74,7.0,2023,94
3.0,0:43,1.0,2.0,JAX 2,24.0,9.0,Alvin Kamara right tackle for no gain (tackle by Adam Gotsis),6.74,5.72,7.0,2023,94
3.0,0:06,2.0,2.0,JAX 2,24.0,9.0,Alvin Kamara left guard for 1 yard (tackle by Foyesade Oluokun and Andrew Wingard),5.72,5.17,7.0,2023,94
4.0,15:00,3.0,1.0,JAX 1,24.0,9.0,Alvin Kamara left end for no gain (tackle by Devin Lloyd),5.17,3.55,7.0,2023,94
4.0,14:24,4.0,1.0,JAX 1,24.0,15.0,"Taysom Hill left end for 1 yard, touchdown",3.55,7.0,7.0,2023,94
4.0,14:21,,,JAX 15,24.0,16.0,Blake Grupe kicks extra point good,0.0,0.0,7.0,2023,94
4.0,14:21,,,NOR 35,24.0,16.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,94
4.0,14:21,1.0,10.0,JAX 25,24.0,16.0,Travis Etienne left end for 11 yards (tackle by Tyrann Mathieu),0.61,1.33,7.0,2023,94
4.0,13:46,1.0,10.0,JAX 36,24.0,16.0,Trevor Lawrence scrambles left end for 4 yards (tackle by Carl Granderson),1.33,1.33,7.0,2023,94
4.0,13:01,2.0,6.0,JAX 40,24.0,16.0,Travis Etienne left tackle for -2 yards (tackle by Malcolm Roach),1.33,0.37,7.0,2023,94
4.0,12:16,3.0,8.0,JAX 38,24.0,16.0,Trevor Lawrence scrambles up the middle for 1 yard (tackle by Zack Baun),0.37,-0.78,7.0,2023,94
4.0,11:40,4.0,7.0,JAX 39,24.0,16.0,Logan Cooke punts 54 yards downed by Daniel Thomas,-0.78,0.38,7.0,2023,94
4.0,11:29,1.0,10.0,NOR 7,24.0,16.0,Alvin Kamara left tackle for no gain (tackle by Foyesade Oluokun),-0.38,-0.78,7.0,2023,94
4.0,11:08,2.0,10.0,NOR 7,24.0,16.0,Derek Carr pass complete short right to Chris Olave for 5 yards (tackle by Tre Herndon and Darious Williams),-0.78,-0.84,7.0,2023,94
4.0,10:46,3.0,5.0,NOR 12,24.0,16.0,Derek Carr pass incomplete deep right intended for Chris Olave,-0.84,-2.49,7.0,2023,94
4.0,10:39,4.0,5.0,NOR 12,24.0,16.0,Lou Hedley punts 62 yards downed by Lonnie Johnson,-2.49,-0.67,7.0,2023,94
4.0,10:27,1.0,10.0,JAX 26,24.0,16.0,Jamal Agnew left end for -1 yards (tackle by Carl Granderson),0.67,-0.01,7.0,2023,94
4.0,9:47,2.0,11.0,JAX 25,24.0,16.0,Trevor Lawrence pass incomplete deep right intended for Calvin Ridley (defended by Paulson Adebo),-0.01,-0.69,7.0,2023,94
4.0,9:40,3.0,11.0,JAX 25,24.0,16.0,"Trevor Lawrence pass incomplete deep middle intended for Jamal Agnew. Penalty on Paulson Adebo: Defensive Pass Interference, 19 yards (accepted) (no play)",-0.69,1.86,7.0,2023,94
4.0,9:35,1.0,10.0,JAX 44,24.0,16.0,Travis Etienne right guard for 4 yards (tackle by Khalen Saunders),1.86,1.86,7.0,2023,94
4.0,9:02,2.0,6.0,JAX 48,24.0,16.0,Travis Etienne right end for 5 yards (tackle by Marcus Maye and Paulson Adebo),1.86,1.82,7.0,2023,94
4.0,8:26,3.0,1.0,NOR 47,24.0,16.0,Travis Etienne right end for no gain (tackle by Paulson Adebo),1.82,0.13,7.0,2023,94
4.0,7:35,4.0,1.0,NOR 47,24.0,16.0,Travis Etienne left guard for no gain (tackle by Nathan Shepherd),0.13,-2.06,7.0,2023,94
4.0,7:29,1.0,10.0,NOR 47,24.0,16.0,Derek Carr pass complete short left to Michael Thomas for 17 yards (tackle by Andrew Wingard),2.06,3.18,7.0,2023,94
4.0,7:08,1.0,10.0,JAX 36,24.0,16.0,Derek Carr pass complete deep right to Taysom Hill for 19 yards (tackle by Rayshawn Jenkins),3.18,4.44,7.0,2023,94
4.0,6:42,1.0,10.0,JAX 17,24.0,22.0,"Derek Carr pass complete deep left to Michael Thomas for 17 yards, touchdown",4.44,7.0,7.0,2023,94
4.0,6:38,,,JAX 2,24.0,24.0,Two Point Attempt: Derek Carr pass complete to to Alvin Kamara for no gain,1.0,1.0,7.0,2023,94
4.0,6:38,,,NOR 35,24.0,24.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,94
4.0,6:38,1.0,10.0,JAX 25,24.0,24.0,Trevor Lawrence pass complete short left to Evan Engram for 3 yards (tackle by Carl Granderson),0.61,0.47,7.0,2023,94
4.0,6:00,2.0,7.0,JAX 28,24.0,24.0,Trevor Lawrence scrambles left end for 23 yards (tackle by Tyrann Mathieu),0.47,2.32,7.0,2023,94
4.0,5:22,1.0,10.0,NOR 49,24.0,24.0,Calvin Ridley right end for no gain (tackle by Paulson Adebo),2.32,1.78,7.0,2023,94
4.0,4:47,2.0,10.0,NOR 49,24.0,24.0,Trevor Lawrence pass incomplete short right intended for Calvin Ridley,1.78,1.09,7.0,2023,94
4.0,4:43,3.0,10.0,NOR 49,24.0,24.0,Trevor Lawrence pass incomplete deep right intended for Calvin Ridley (defended by Paulson Adebo),1.09,0.0,7.0,2023,94
4.0,4:36,4.0,10.0,NOR 49,24.0,24.0,"Logan Cooke punts 39 yards, fair catch by Rashid Shaheed at NO-10",0.0,0.38,7.0,2023,94
4.0,4:30,1.0,10.0,NOR 10,24.0,24.0,Derek Carr pass incomplete short middle intended for Chris Olave,-0.38,-0.78,7.0,2023,94
4.0,4:21,2.0,10.0,NOR 10,24.0,24.0,Derek Carr pass complete short middle to Taysom Hill for 6 yards (tackle by Foyesade Oluokun),-0.78,-0.72,7.0,2023,94
4.0,4:01,3.0,4.0,NOR 16,24.0,24.0,Derek Carr pass incomplete deep right intended for Rashid Shaheed,-0.72,-2.39,7.0,2023,94
4.0,3:54,4.0,4.0,NOR 16,24.0,24.0,"Lou Hedley punts 39 yards, returned by Jamal Agnew for 9 yards (tackle by Nephi Sewell)",-2.39,-2.52,7.0,2023,94
4.0,3:45,1.0,10.0,NOR 46,24.0,24.0,Trevor Lawrence pass complete short left to Travis Etienne for 2 yards (tackle by Alontae Taylor and Demario Davis),2.52,2.25,7.0,2023,94
4.0,3:19,2.0,8.0,NOR 44,30.0,24.0,"Trevor Lawrence pass complete short middle to Christian Kirk for 44 yards, touchdown",2.25,7.0,7.0,2023,94
4.0,3:08,,,NOR 15,31.0,24.0,Brandon McManus kicks extra point good,0.0,0.0,7.0,2023,94
4.0,3:08,,,JAX 35,31.0,24.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,94
