Quarter,Time,Down,ToGo,Location,DET,BAL,Detail,EPB,EPA,week,year,game_id
1.0,5:29,3.0,2.0,DET 22,0.0,7.0,Lamar Jackson scrambles left end for 3 yards (tackle by Derrick Barnes),3.4,4.31,7.0,2023,99
1.0,4:55,1.0,10.0,DET 19,0.0,7.0,Lamar Jackson scrambles up the middle for 3 yards (tackle by Josh Paschal),4.31,4.18,7.0,2023,99
1.0,4:07,2.0,7.0,DET 16,0.0,7.0,Lamar Jackson pass complete short left to Odell Beckham for 4 yards (tackle by Alex Anzalone),4.18,4.19,7.0,2023,99
1.0,3:22,3.0,3.0,DET 12,0.0,13.0,"Lamar Jackson pass complete short middle to Nelson Agholor for 12 yards, touchdown",4.19,7.0,7.0,2023,99
1.0,3:11,,,DET 15,0.0,14.0,Justin Tucker kicks extra point good,0.0,0.0,7.0,2023,99
1.0,3:11,,,BAL 35,0.0,14.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,99
1.0,3:11,1.0,10.0,DET 25,0.0,14.0,Jared Goff pass complete short left to Jahmyr Gibbs for 2 yards (tackle by Brandon Stephens),0.61,0.33,7.0,2023,99
1.0,2:39,2.0,8.0,DET 27,0.0,14.0,Craig Reynolds right tackle for 4 yards (tackle by Odafe Oweh),0.33,0.17,7.0,2023,99
1.0,2:05,3.0,4.0,DET 31,0.0,14.0,Jared Goff pass incomplete short right intended for Sam LaPorta,0.17,-1.31,7.0,2023,99
1.0,1:59,4.0,4.0,DET 31,0.0,14.0,"Jack Fox punts 61 yards, fair catch by Devin Duvernay at BAL-8",-1.31,0.38,7.0,2023,99
1.0,1:51,1.0,10.0,BAL 8,0.0,14.0,Lamar Jackson pass complete deep left to Odell Beckham for 20 yards (tackle by Kerby Joseph),-0.38,0.81,7.0,2023,99
1.0,1:10,1.0,10.0,BAL 28,0.0,14.0,"Lamar Jackson pass incomplete deep left intended for Mark Andrews. Penalty on Ronnie Stanley: Offensive Holding, 10 yards (accepted) (no play)",0.81,-0.04,7.0,2023,99
1.0,1:02,1.0,20.0,BAL 18,0.0,14.0,Lamar Jackson pass incomplete short right intended for Zay Flowers,-0.04,-1.19,7.0,2023,99
1.0,0:58,2.0,20.0,BAL 18,0.0,14.0,Justice Hill left tackle for 9 yards (tackle by Isaiah Buggs and Jack Campbell),-1.19,-0.56,7.0,2023,99
1.0,0:16,3.0,11.0,BAL 27,0.0,14.0,Lamar Jackson pass complete deep left to Zay Flowers for 22 yards,-0.56,2.19,7.0,2023,99
2.0,15:00,1.0,10.0,BAL 49,0.0,14.0,Lamar Jackson pass complete short middle to Patrick Ricard for 28 yards (tackle by Kerby Joseph),2.19,4.04,7.0,2023,99
2.0,14:18,1.0,10.0,DET 23,0.0,14.0,Lamar Jackson pass complete short middle to Keaton Mitchell for 9 yards (tackle by Kerby Joseph),4.04,4.95,7.0,2023,99
2.0,13:37,2.0,1.0,DET 14,0.0,14.0,Lamar Jackson pass complete short right to Zay Flowers for 3 yards (tackle by Tracy Walker),4.95,4.84,7.0,2023,99
2.0,13:00,1.0,10.0,DET 11,0.0,20.0,"Lamar Jackson pass complete short right to Mark Andrews for 11 yards, touchdown",4.84,7.0,7.0,2023,99
2.0,12:54,,,DET 15,0.0,21.0,Justin Tucker kicks extra point good,0.0,0.0,7.0,2023,99
2.0,12:54,,,BAL 35,0.0,21.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,99
2.0,12:54,1.0,10.0,DET 25,0.0,21.0,Jahmyr Gibbs right guard for 3 yards (tackle by Travis Jones and Broderick Washington),0.61,0.47,7.0,2023,99
2.0,12:18,2.0,7.0,DET 28,0.0,21.0,Jared Goff sacked by Arthur Maulet for -9 yards,0.47,-1.51,7.0,2023,99
2.0,11:38,3.0,16.0,DET 19,0.0,21.0,Jared Goff pass complete short left to Sam LaPorta for 13 yards (tackle by Arthur Maulet and Roquan Smith),-1.51,-1.24,7.0,2023,99
2.0,10:51,4.0,3.0,DET 32,0.0,21.0,Jack Fox punts 48 yards downed by Khalil Dorsey,-1.24,-0.28,7.0,2023,99
2.0,10:41,1.0,10.0,BAL 20,0.0,21.0,Lamar Jackson right end for 9 yards (tackle by Kerby Joseph),0.28,0.95,7.0,2023,99
2.0,10:12,2.0,1.0,BAL 29,0.0,21.0,Gus Edwards right end for 20 yards (tackle by Alex Anzalone and Kerby Joseph),0.95,2.19,7.0,2023,99
2.0,9:26,1.0,10.0,BAL 49,0.0,21.0,Justice Hill right guard for 27 yards (tackle by Kerby Joseph),2.19,3.97,7.0,2023,99
2.0,8:37,1.0,10.0,DET 24,0.0,21.0,Lamar Jackson pass complete short right to Mark Andrews for 22 yards (tackle by Kerby Joseph),3.97,6.74,7.0,2023,99
2.0,7:59,1.0,2.0,DET 2,0.0,21.0,Lamar Jackson pass incomplete short middle intended for Mark Andrews,6.74,5.72,7.0,2023,99
2.0,7:49,2.0,2.0,DET 2,0.0,27.0,"Gus Edwards right end for 2 yards, touchdown",5.72,7.0,7.0,2023,99
2.0,7:45,,,DET 15,0.0,28.0,Justin Tucker kicks extra point good,0.0,0.0,7.0,2023,99
2.0,7:45,,,BAL 35,0.0,28.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,99
2.0,7:45,1.0,10.0,DET 25,0.0,28.0,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown,0.61,0.06,7.0,2023,99
2.0,7:42,2.0,10.0,DET 25,0.0,28.0,Jared Goff pass complete short right to Kalif Raymond for 11 yards (tackle by Kyle Hamilton and Kyle Van Noy),0.06,1.33,7.0,2023,99
2.0,7:06,1.0,10.0,DET 36,0.0,28.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 14 yards (tackle by Kyle Hamilton),1.33,2.26,7.0,2023,99
2.0,6:28,1.0,10.0,BAL 50,0.0,28.0,Jared Goff sacked by Kyle Van Noy for -2 yards,2.26,1.44,7.0,2023,99
2.0,5:48,2.0,12.0,DET 48,0.0,28.0,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown,1.44,0.76,7.0,2023,99
2.0,5:42,3.0,12.0,DET 48,0.0,28.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 4 yards (tackle by Brandon Stephens),0.76,0.07,7.0,2023,99
2.0,4:57,4.0,8.0,BAL 48,0.0,28.0,Jared Goff pass incomplete deep right intended for Amon-Ra St. Brown,0.07,-2.13,7.0,2023,99
2.0,4:50,1.0,10.0,BAL 48,0.0,28.0,"Gus Edwards left tackle for no gain. Penalty on Tyler Linderbaum: Offensive Holding, 10 yards (accepted) (no play)",2.13,1.47,7.0,2023,99
2.0,4:31,1.0,20.0,BAL 38,0.0,28.0,Lamar Jackson pass complete short right to Mark Andrews for 22 yards (tackle by Kerby Joseph),1.47,2.92,7.0,2023,99
2.0,3:50,1.0,10.0,DET 40,0.0,28.0,Gus Edwards up the middle for 5 yards (tackle by Josh Paschal and Tracy Walker),2.92,3.05,7.0,2023,99
2.0,3:14,2.0,5.0,DET 35,0.0,28.0,Lamar Jackson pass complete short middle to Zay Flowers for 4 yards (tackle by Will Harris),3.05,2.87,7.0,2023,99
2.0,2:44,3.0,1.0,DET 31,0.0,28.0,"Lamar Jackson pass complete to Justice Hill for -2 yards (tackle by Alim McNeill). Penalty on Aidan Hutchinson: Roughing the Passer, 10 yards (accepted) (no play)",2.87,4.17,7.0,2023,99
2.0,2:19,1.0,10.0,DET 21,0.0,28.0,"Lamar Jackson aborted snap, recovered by Aidan Hutchinson at DET-25",4.17,-0.61,7.0,2023,99
2.0,2:13,1.0,10.0,DET 25,0.0,28.0,Jared Goff pass complete short middle to Jahmyr Gibbs for 3 yards (tackle by Roquan Smith),0.61,0.47,7.0,2023,99
2.0,2:00,2.0,7.0,DET 28,0.0,28.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 6 yards,0.47,0.56,7.0,2023,99
2.0,1:55,3.0,1.0,DET 34,0.0,28.0,Jahmyr Gibbs left tackle for 2 yards (tackle by Justin Madubuike),0.56,1.33,7.0,2023,99
2.0,1:37,1.0,10.0,DET 36,0.0,28.0,Jared Goff pass complete short left to Sam LaPorta for 7 yards (tackle by Patrick Queen),1.33,1.74,7.0,2023,99
2.0,1:31,2.0,3.0,DET 43,0.0,28.0,Jared Goff pass incomplete short right intended for Amon-Ra St. Brown,1.74,1.03,7.0,2023,99
2.0,1:26,3.0,3.0,DET 43,0.0,28.0,"Jared Goff pass complete deep right to Josh Reynolds for 22 yards (tackle by Geno Stone). Penalty on Marlon Humphrey: Defensive Holding, 5 yards (declined)",1.03,3.25,7.0,2023,99
2.0,1:21,1.0,10.0,BAL 35,0.0,28.0,"Jared Goff pass incomplete short right intended for Amon-Ra St. Brown. Penalty on Penei Sewell: Offensive Holding, 10 yards (accepted) (no play)",3.25,2.59,7.0,2023,99
2.0,1:16,1.0,20.0,BAL 45,0.0,28.0,Jared Goff pass complete short left to Kalif Raymond for 9 yards (tackle by Kyle Hamilton),2.59,2.57,7.0,2023,99
2.0,0:57,2.0,11.0,BAL 36,0.0,28.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 8 yards (tackle by Arthur Maulet),2.57,2.94,7.0,2023,99
2.0,0:27,,,,,,Timeout #1 by Baltimore Ravens,,,7.0,2023,99
2.0,0:27,3.0,3.0,BAL 28,0.0,28.0,"Jared Goff pass incomplete short middle. Penalty on Jared Goff: Intentional Grounding, 12 yards (accepted)",2.94,0.59,7.0,2023,99
2.0,0:19,,,,,,Timeout #2 by Baltimore Ravens,,,7.0,2023,99
2.0,0:19,4.0,15.0,BAL 40,0.0,28.0,"Jared Goff pass complete deep middle to Amon-Ra St. Brown for no gain (tackle by Arthur Maulet). Penalty on Penei Sewell: Offensive Holding, 10 yards (accepted) (no play)",0.59,-0.06,7.0,2023,99
2.0,0:14,4.0,25.0,BAL 50,0.0,28.0,Jack Fox punts 30 yards downed by Jalen Reeves-Maybin,-0.06,-0.28,7.0,2023,99
2.0,0:05,1.0,10.0,BAL 20,0.0,28.0,Lamar Jackson kneels for -1 yards,0.28,-0.46,7.0,2023,99
3.0,15:00,,,BAL 35,0.0,28.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,99
3.0,15:00,1.0,10.0,DET 25,0.0,28.0,Jahmyr Gibbs right guard for 3 yards (tackle by Arthur Maulet),0.61,0.47,7.0,2023,99
3.0,14:26,2.0,7.0,DET 28,0.0,28.0,Jared Goff pass complete deep middle to Josh Reynolds for 21 yards (tackle by Marlon Humphrey and Kyle Hamilton),0.47,2.19,7.0,2023,99
3.0,13:44,1.0,10.0,DET 49,0.0,28.0,Jahmyr Gibbs right tackle for 8 yards (tackle by Patrick Queen),2.19,2.73,7.0,2023,99
3.0,13:05,2.0,2.0,BAL 43,0.0,28.0,"Jared Goff sacked by Odafe Oweh for -5 yards. Jared Goff fumbles (forced by Odafe Oweh), recovered by Jared Goff at BAL-48 (tackle by Odafe Oweh)",2.73,1.36,7.0,2023,99
3.0,12:20,3.0,7.0,BAL 48,0.0,28.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 3 yards (tackle by Roquan Smith),1.36,0.27,7.0,2023,99
3.0,11:50,4.0,4.0,BAL 45,0.0,28.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 15 yards (tackle by Kyle Hamilton),0.27,3.58,7.0,2023,99
3.0,11:15,1.0,10.0,BAL 30,0.0,28.0,Jared Goff pass complete short left to Jahmyr Gibbs for 21 yards (tackle by Kyle Hamilton),3.58,5.14,7.0,2023,99
3.0,10:31,1.0,9.0,BAL 9,0.0,28.0,Jahmyr Gibbs left guard for 3 yards (tackle by Michael Pierce),5.14,4.95,7.0,2023,99
3.0,9:50,2.0,6.0,BAL 6,0.0,28.0,Jared Goff pass incomplete short middle intended for Jahmyr Gibbs,4.95,4.04,7.0,2023,99
3.0,9:42,3.0,6.0,BAL 6,0.0,28.0,Jared Goff pass incomplete short right,4.04,2.99,7.0,2023,99
3.0,9:35,4.0,6.0,BAL 6,0.0,28.0,Jared Goff pass incomplete short middle intended for Josh Reynolds (defended by Roquan Smith),2.99,0.38,7.0,2023,99
3.0,9:31,1.0,10.0,BAL 6,0.0,28.0,Gus Edwards right tackle for 3 yards (tackle by John Cominsky and Tracy Walker),-0.38,-0.56,7.0,2023,99
3.0,8:55,2.0,7.0,BAL 9,0.0,28.0,Lamar Jackson pass complete short right to Gus Edwards for 80 yards (tackle by Kerby Joseph),-0.56,4.84,7.0,2023,99
3.0,7:59,1.0,10.0,DET 11,0.0,28.0,Gus Edwards left guard for 3 yards (tackle by Aidan Hutchinson and Alex Anzalone),4.84,4.7,7.0,2023,99
3.0,7:29,2.0,7.0,DET 8,0.0,34.0,"Lamar Jackson pass complete short middle to Mark Andrews for 8 yards, touchdown",4.7,7.0,7.0,2023,99
3.0,7:25,,,DET 15,0.0,35.0,Justin Tucker kicks extra point good,0.0,0.0,7.0,2023,99
3.0,7:25,,,BAL 35,0.0,35.0,"Justin Tucker kicks off 51 yards, returned by Mohamed Ibrahim for 22 yards (tackle by Ronald Darby)",0.0,1.33,7.0,2023,99
3.0,7:20,1.0,10.0,DET 36,0.0,35.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 7 yards (tackle by Roquan Smith),1.33,1.74,7.0,2023,99
3.0,6:44,2.0,3.0,DET 43,0.0,35.0,Jared Goff pass incomplete short left intended for Jameson Williams (defended by Brandon Stephens),1.74,1.03,7.0,2023,99
3.0,6:38,3.0,3.0,DET 43,0.0,35.0,Craig Reynolds up the middle for 12 yards (tackle by Jadeveon Clowney),1.03,2.59,7.0,2023,99
3.0,6:04,1.0,10.0,BAL 45,0.0,35.0,Jared Goff pass incomplete short right,2.59,2.04,7.0,2023,99
3.0,5:55,2.0,10.0,BAL 45,0.0,35.0,Jared Goff pass complete short right to Craig Reynolds for 9 yards (tackle by Roquan Smith and Odafe Oweh),2.04,2.54,7.0,2023,99
3.0,5:26,3.0,1.0,BAL 36,0.0,35.0,Craig Reynolds up the middle for no gain (tackle by Travis Jones and Kyle Van Noy),2.54,0.89,7.0,2023,99
3.0,4:54,,,,,,Timeout #1 by Baltimore Ravens,,,7.0,2023,99
3.0,4:54,4.0,1.0,BAL 36,0.0,35.0,Jared Goff pass deep middle intended for Jameson Williams is intercepted by Geno Stone in end zone and returned for no gain,0.89,-0.28,7.0,2023,99
3.0,4:47,1.0,10.0,BAL 20,0.0,35.0,Gus Edwards right tackle for 4 yards (tackle by Alim McNeill),0.28,0.27,7.0,2023,99
3.0,4:09,2.0,6.0,BAL 24,0.0,35.0,Gus Edwards right guard for 6 yards (tackle by Aidan Hutchinson),0.27,0.94,7.0,2023,99
3.0,3:31,1.0,10.0,BAL 30,0.0,35.0,Gus Edwards left end for no gain (tackle by Alex Anzalone),0.94,0.39,7.0,2023,99
3.0,2:53,2.0,10.0,BAL 30,0.0,35.0,Lamar Jackson pass incomplete deep right intended for Odell Beckham,0.39,-0.3,7.0,2023,99
3.0,2:44,3.0,10.0,BAL 30,0.0,35.0,"Lamar Jackson pass incomplete short right intended for Zay Flowers. Penalty on Devin Duvernay: Offensive Pass Interference, 10 yards (declined)",-0.3,-1.37,7.0,2023,99
3.0,2:42,4.0,10.0,BAL 30,0.0,35.0,"Jordan Stout punts 55 yards, returned by Kalif Raymond for 8 yards (tackle by Keaton Mitchell and Charlie Kolar)",-1.37,-0.48,7.0,2023,99
3.0,2:30,1.0,10.0,DET 23,0.0,35.0,Jared Goff pass complete short left to Jahmyr Gibbs for 19 yards (tackle by Patrick Queen),0.48,1.73,7.0,2023,99
3.0,2:01,1.0,10.0,DET 42,0.0,35.0,Jahmyr Gibbs left end for 9 yards (tackle by Justin Madubuike),1.73,2.4,7.0,2023,99
3.0,1:23,2.0,1.0,BAL 49,0.0,35.0,Jared Goff pass complete short left to Jahmyr Gibbs for 2 yards (tackle by Brandon Stephens),2.4,2.46,7.0,2023,99
3.0,0:50,1.0,10.0,BAL 47,0.0,35.0,Jared Goff pass complete short left to Jahmyr Gibbs for 2 yards (tackle by Patrick Queen),2.46,2.18,7.0,2023,99
3.0,0:07,2.0,8.0,BAL 45,0.0,35.0,Jared Goff sacked by Kyle Van Noy for -11 yards,2.18,0.04,7.0,2023,99
4.0,15:00,3.0,19.0,DET 44,0.0,35.0,Jared Goff pass complete short middle to Sam LaPorta for 11 yards (tackle by Geno Stone and Kyle Van Noy),0.04,2.59,7.0,2023,99
4.0,15:00,1.0,10.0,BAL 45,0.0,35.0,"Penalty on Roquan Smith: Roughing the Passer, 15 yards (accepted) (no play)",2.59,3.58,7.0,2023,99
4.0,14:39,1.0,10.0,BAL 30,0.0,35.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 9 yards (tackle by Arthur Maulet),3.58,4.25,7.0,2023,99
4.0,14:05,2.0,1.0,BAL 21,6.0,35.0,"Jahmyr Gibbs left end for 21 yards, touchdown",4.25,7.0,7.0,2023,99
4.0,13:59,,,BAL 2,6.0,35.0,Two Point Attempt: Jared Goff pass incomplete to Jahmyr Gibbs for no gain,1.0,-1.0,7.0,2023,99
4.0,13:59,,,DET 35,6.0,35.0,"Riley Patterson kicks onside 8 yards, returned by Jalyn Armour-Davis for no gain",0.0,2.72,7.0,2023,99
4.0,13:57,1.0,10.0,DET 43,6.0,35.0,Lamar Jackson pass complete short right to Odell Beckham for 15 yards (tackle by Derrick Barnes and Cameron Sutton),2.72,3.71,7.0,2023,99
4.0,13:23,1.0,10.0,DET 28,6.0,35.0,Gus Edwards right guard for 5 yards (tackle by Tracy Walker),3.71,3.84,7.0,2023,99
4.0,12:45,2.0,5.0,DET 23,6.0,35.0,Lamar Jackson scrambles right end for 10 yards (tackle by Aidan Hutchinson),3.84,4.71,7.0,2023,99
4.0,12:05,1.0,10.0,DET 13,6.0,35.0,Justice Hill right guard for 2 yards (tackle by Isaiah Buggs),4.71,4.39,7.0,2023,99
4.0,11:25,2.0,8.0,DET 11,6.0,35.0,"Lamar Jackson pass complete short middle to Odell Beckham for no gain. Penalty on Ronnie Stanley: Offensive Holding, 10 yards (accepted) (no play)",4.39,3.08,7.0,2023,99
4.0,11:06,2.0,18.0,DET 21,6.0,35.0,Lamar Jackson pass complete short left to Odell Beckham for -1 yards (tackle by Brian Branch and Jack Campbell),3.08,2.28,7.0,2023,99
4.0,10:24,3.0,19.0,DET 22,6.0,35.0,Justice Hill up the middle for 8 yards (tackle by Tracy Walker),2.28,2.51,7.0,2023,99
4.0,9:33,4.0,11.0,DET 14,6.0,38.0,Justin Tucker 32 yard field goal good,2.51,3.0,7.0,2023,99
4.0,9:30,,,BAL 35,6.0,38.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,99
4.0,9:30,1.0,10.0,DET 25,6.0,38.0,Jared Goff pass complete short right to Jahmyr Gibbs for no gain (tackle by Marlon Humphrey),0.61,0.06,7.0,2023,99
4.0,9:00,2.0,10.0,DET 25,6.0,38.0,Jared Goff pass complete short middle to Jahmyr Gibbs for 7 yards (tackle by Patrick Queen and Roquan Smith),0.06,0.3,7.0,2023,99
4.0,8:41,3.0,3.0,DET 32,6.0,38.0,Jared Goff pass complete short right to Sam LaPorta for 5 yards (tackle by Marlon Humphrey),0.3,1.4,7.0,2023,99
4.0,8:09,1.0,10.0,DET 37,6.0,38.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 7 yards (tackle by Geno Stone),1.4,1.8,7.0,2023,99
4.0,7:42,2.0,3.0,DET 44,6.0,38.0,Jared Goff pass complete short middle to Sam LaPorta for 8 yards (tackle by Roquan Smith),1.8,2.39,7.0,2023,99
4.0,7:21,1.0,10.0,BAL 48,6.0,38.0,Jared Goff pass complete short right to Sam LaPorta for 8 yards (tackle by Roquan Smith),2.39,2.93,7.0,2023,99
4.0,6:47,2.0,2.0,BAL 40,6.0,38.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 6 yards (tackle by Arthur Maulet),2.93,3.31,7.0,2023,99
4.0,6:22,1.0,10.0,BAL 34,6.0,38.0,Jared Goff pass complete short left to Jahmyr Gibbs for 2 yards (tackle by Tavius Robinson),3.31,3.04,7.0,2023,99
4.0,5:49,2.0,8.0,BAL 32,6.0,38.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 12 yards (tackle by Arthur Maulet),3.04,4.24,7.0,2023,99
4.0,5:12,1.0,10.0,BAL 20,6.0,38.0,Jared Goff pass incomplete short middle,4.24,3.69,7.0,2023,99
4.0,5:07,2.0,10.0,BAL 20,6.0,38.0,Jared Goff pass incomplete short right intended for Amon-Ra St. Brown (defended by Marlon Humphrey),3.69,3.01,7.0,2023,99
4.0,5:03,3.0,10.0,BAL 20,6.0,38.0,Jared Goff pass incomplete short left intended for Jameson Williams,3.01,2.12,7.0,2023,99
4.0,4:59,,,,,,Timeout #1 by Detroit Lions,,,7.0,2023,99
4.0,4:59,4.0,10.0,BAL 20,6.0,38.0,Jared Goff pass incomplete short left intended for Antoine Green (defended by Brandon Stephens),2.12,-0.28,7.0,2023,99
4.0,4:54,1.0,10.0,BAL 20,6.0,38.0,Gus Edwards left guard for 4 yards (tackle by John Cominsky and Jack Campbell),0.28,0.27,7.0,2023,99
4.0,4:12,2.0,6.0,BAL 24,6.0,38.0,Gus Edwards left tackle for 1 yard (tackle by Aidan Hutchinson and Alim McNeill),0.27,-0.3,7.0,2023,99
4.0,3:29,3.0,5.0,BAL 25,6.0,38.0,Tyler Huntley pass incomplete deep left intended for Rashod Bateman,-0.3,-1.7,7.0,2023,99
4.0,3:21,4.0,5.0,BAL 25,6.0,38.0,"Jordan Stout punts 57 yards, returned by Kalif Raymond for 24 yards (tackle by Devin Duvernay)",-1.7,-1.73,7.0,2023,99
4.0,3:08,1.0,10.0,DET 42,6.0,38.0,Jared Goff pass incomplete deep left intended for Jameson Williams,1.73,1.19,7.0,2023,99
4.0,3:03,2.0,10.0,DET 42,6.0,38.0,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown (defended by Rock Ya-Sin),1.19,0.5,7.0,2023,99
4.0,2:58,3.0,10.0,DET 42,6.0,38.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 5 yards (tackle by Rock Ya-Sin),0.5,-0.26,7.0,2023,99
4.0,2:16,4.0,5.0,DET 47,6.0,38.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 6 yards (tackle by Jalyn Armour-Davis),-0.26,2.46,7.0,2023,99
4.0,2:00,1.0,10.0,BAL 47,6.0,38.0,Jared Goff pass incomplete deep left intended for Jameson Williams,2.46,1.91,7.0,2023,99
4.0,1:53,2.0,10.0,BAL 47,6.0,38.0,Jahmyr Gibbs left end for 6 yards (tackle by Travis Jones),1.91,2.01,7.0,2023,99
4.0,1:14,3.0,4.0,BAL 41,6.0,38.0,Jahmyr Gibbs left guard for 7 yards (tackle by Trenton Simpson),2.01,3.31,7.0,2023,99
4.0,0:37,1.0,10.0,BAL 34,6.0,38.0,Jahmyr Gibbs right tackle for 2 yards (tackle by Malik Harrison),3.31,3.04,7.0,2023,99
