Quarter,Time,Down,ToGo,Location,LVR,CHI,Detail,EPB,EPA,week,year,game_id
1.0,0:41,1.0,10.0,CHI 8,0.0,7.0,Darrynton Evans left end for 8 yards (tackle by Marcus Epps),-0.38,-0.09,7.0,2023,98
2.0,15:00,2.0,2.0,CHI 16,0.0,7.0,Darrynton Evans right tackle for 3 yards (tackle by Robert Spillane),-0.09,0.15,7.0,2023,98
2.0,14:21,1.0,10.0,CHI 19,0.0,7.0,Tyson Bagent pass complete short right to Darnell Mooney for 8 yards (tackle by Marcus Peters),0.15,0.75,7.0,2023,98
2.0,13:51,2.0,2.0,CHI 27,0.0,7.0,Darrynton Evans left end for 1 yard (tackle by David Long),0.75,0.1,7.0,2023,98
2.0,13:25,3.0,1.0,CHI 28,0.0,7.0,Tyson Bagent right guard for 2 yards (tackle by Divine Deablo),0.1,0.94,7.0,2023,98
2.0,13:01,1.0,10.0,CHI 30,0.0,7.0,"Darrynton Evans for no gain. Penalty on Larry Borom: Offensive Holding, 10 yards (accepted) (no play)",0.94,0.28,7.0,2023,98
2.0,12:36,1.0,20.0,CHI 20,0.0,7.0,Tyson Bagent pass complete short middle to Darnell Mooney for 11 yards (tackle by Tre'von Moehrig),0.28,0.53,7.0,2023,98
2.0,11:59,2.0,9.0,CHI 31,0.0,7.0,Tyson Bagent pass complete short right to D.J. Moore for 3 yards,0.53,0.23,7.0,2023,98
2.0,11:16,3.0,6.0,CHI 34,0.0,7.0,Tyson Bagent pass incomplete short right intended for Darrynton Evans,0.23,-1.11,7.0,2023,98
2.0,11:14,4.0,6.0,CHI 34,0.0,7.0,Trenton Gill punts 43 yards downed by Travis Homer,-1.11,-0.48,7.0,2023,98
2.0,11:05,1.0,10.0,LVR 23,0.0,7.0,Josh Jacobs left guard for 4 yards (tackle by Kyler Gordon),0.48,0.47,7.0,2023,98
2.0,10:25,2.0,6.0,LVR 27,0.0,7.0,Brian Hoyer pass short middle intended for Josh Jacobs is intercepted by Tremaine Edmunds at LV-34 and returned for no gain (tackle by Josh Jacobs),0.47,-3.31,7.0,2023,98
2.0,10:19,1.0,10.0,LVR 34,0.0,7.0,D'Onta Foreman left tackle for 7 yards (tackle by John Jenkins),3.31,3.72,7.0,2023,98
2.0,9:56,2.0,3.0,LVR 27,0.0,7.0,D'Onta Foreman left guard for 2 yards (tackle by Bilal Nichols and John Jenkins),3.72,3.27,7.0,2023,98
2.0,9:11,3.0,1.0,LVR 25,0.0,7.0,Tyler Scott right end for 6 yards (tackle by Robert Spillane),3.27,4.31,7.0,2023,98
2.0,8:24,1.0,10.0,LVR 19,0.0,7.0,Tyson Bagent pass complete short right to Marcedes Lewis for 16 yards (tackle by Isaac Rochell and Marcus Peters),4.31,6.51,7.0,2023,98
2.0,7:41,1.0,3.0,LVR 3,0.0,7.0,Tyson Bagent pass incomplete short right intended for Darnell Mooney,6.51,5.53,7.0,2023,98
2.0,7:35,2.0,3.0,LVR 3,0.0,13.0,"D'Onta Foreman left guard for 3 yards, touchdown",5.53,7.0,7.0,2023,98
2.0,7:31,,,LVR 15,0.0,14.0,Cairo Santos kicks extra point good,0.0,0.0,7.0,2023,98
2.0,7:31,,,CHI 35,0.0,14.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,98
2.0,7:31,1.0,10.0,LVR 25,0.0,14.0,Josh Jacobs left guard for 3 yards (tackle by Elijah Hicks and Jaylon Johnson),0.61,0.47,7.0,2023,98
2.0,6:55,2.0,7.0,LVR 28,0.0,14.0,Brian Hoyer pass complete short right to Jakobi Meyers for 8 yards (tackle by Jaylon Johnson),0.47,1.33,7.0,2023,98
2.0,6:19,1.0,10.0,LVR 36,0.0,14.0,Brian Hoyer pass complete short left to Jakobi Meyers for 8 yards (tackle by Jaylon Johnson),1.33,1.87,7.0,2023,98
2.0,5:42,2.0,2.0,LVR 44,0.0,14.0,Brian Hoyer pass complete short left to Jakobi Meyers for 2 yards (tackle by Tyrique Stevenson),1.87,1.99,7.0,2023,98
2.0,5:11,1.0,10.0,LVR 46,0.0,14.0,Josh Jacobs right guard for 3 yards (tackle by Tremaine Edmunds),1.99,1.86,7.0,2023,98
2.0,4:35,2.0,7.0,LVR 49,0.0,14.0,Brian Hoyer pass complete short right to Jakobi Meyers for 15 yards (tackle by T.J. Edwards),1.86,3.18,7.0,2023,98
2.0,3:57,1.0,10.0,CHI 36,0.0,14.0,Brian Hoyer pass incomplete short right intended for Josh Jacobs (defended by Justin Jones) (defended by Jaquan Brisker),3.18,2.64,7.0,2023,98
2.0,3:52,2.0,10.0,CHI 36,0.0,14.0,Brian Hoyer pass complete short middle to Austin Hooper for 12 yards (tackle by T.J. Edwards),2.64,3.97,7.0,2023,98
2.0,3:10,1.0,10.0,CHI 24,0.0,14.0,"Penalty on Jakob Johnson: False Start, 5 yards (accepted) (no play)",3.97,3.64,7.0,2023,98
2.0,2:56,1.0,15.0,CHI 29,0.0,14.0,"Josh Jacobs left end for no gain. Penalty on Jakob Johnson: Offensive Holding, 10 yards (accepted) (no play)",3.64,2.98,7.0,2023,98
2.0,2:39,1.0,25.0,CHI 39,0.0,14.0,Brian Hoyer pass incomplete short left intended for Jakobi Meyers,2.98,1.4,7.0,2023,98
2.0,2:35,2.0,25.0,CHI 39,0.0,14.0,"Brian Hoyer pass incomplete short left intended for Jakobi Meyers. Penalty on Tyrique Stevenson: Defensive Pass Interference, 14 yards (accepted) (no play)",1.4,3.91,7.0,2023,98
2.0,2:31,1.0,10.0,CHI 25,0.0,14.0,Josh Jacobs left guard for 4 yards (tackle by Jaquan Brisker),3.91,3.9,7.0,2023,98
2.0,2:00,2.0,6.0,CHI 21,0.0,14.0,Brian Hoyer pass incomplete short middle intended for Jakobi Meyers,3.9,3.2,7.0,2023,98
2.0,1:56,3.0,6.0,CHI 21,0.0,14.0,Brian Hoyer pass incomplete short middle intended for Michael Mayer,3.2,2.08,7.0,2023,98
2.0,1:52,4.0,6.0,CHI 21,3.0,14.0,Daniel Carlson 40 yard field goal good,2.08,3.0,7.0,2023,98
2.0,1:47,,,LVR 35,3.0,14.0,"Daniel Carlson kicks off 66 yards, returned by Velus Jones for 22 yards (tackle by Luke Masterson)",0.0,0.34,7.0,2023,98
2.0,1:43,1.0,10.0,CHI 21,3.0,14.0,Tyson Bagent pass complete short right to Tyler Scott for 6 yards,0.34,0.61,7.0,2023,98
2.0,1:36,2.0,4.0,CHI 27,3.0,14.0,Tyson Bagent pass complete short right to D.J. Moore for 8 yards (tackle by Amik Robertson and Marcus Peters),0.61,1.27,7.0,2023,98
2.0,1:04,1.0,10.0,CHI 35,3.0,14.0,Tyson Bagent pass complete short left to Darnell Mooney for 7 yards,1.27,1.67,7.0,2023,98
2.0,0:59,2.0,3.0,CHI 42,3.0,14.0,"Darrynton Evans left tackle for no gain. Penalty on Larry Borom: Offensive Holding, 10 yards (accepted) (no play)",1.67,0.32,7.0,2023,98
2.0,0:53,2.0,13.0,CHI 32,3.0,14.0,Tyson Bagent pass complete short right to Darnell Mooney for 6 yards (tackle by Amik Robertson),0.32,0.43,7.0,2023,98
2.0,0:26,3.0,7.0,CHI 38,3.0,14.0,Tyson Bagent pass complete short right to D.J. Moore for 15 yards,0.43,2.46,7.0,2023,98
2.0,0:19,1.0,10.0,LVR 47,3.0,14.0,Tyson Bagent pass incomplete short middle intended for Darrynton Evans (defended by Adam Butler),2.46,1.91,7.0,2023,98
2.0,0:15,2.0,10.0,LVR 47,3.0,14.0,Tyson Bagent sacked by Maxx Crosby for -7 yards,1.91,0.3,7.0,2023,98
2.0,0:09,,,,,,Timeout #1 by Chicago Bears,,,7.0,2023,98
2.0,0:09,,,,,,Timeout #1 by Las Vegas Raiders,,,7.0,2023,98
2.0,0:09,3.0,17.0,CHI 46,3.0,14.0,Tyson Bagent pass incomplete short right intended for Tyler Scott (defended by Luke Masterson),0.3,-0.32,7.0,2023,98
2.0,0:02,,,,,,Timeout #2 by Las Vegas Raiders,,,7.0,2023,98
2.0,0:02,4.0,17.0,CHI 46,3.0,14.0,"Nathan Peterman sacked by Tyree Wilson for -5 yards. Nathan Peterman fumbles, ball out of bounds at CHI-42 (forced by Tyree Wilson). Nathan Peterman fumbles out of bounds",-0.32,2.32,7.0,2023,98
3.0,15:00,,,CHI 35,3.0,14.0,"Cairo Santos kicks off 66 yards, returned by DeAndre Carter for 25 yards (tackle by Travis Homer)",0.0,0.54,7.0,2023,98
3.0,14:55,1.0,10.0,LVR 24,3.0,14.0,Josh Jacobs left tackle for 7 yards (tackle by Tremaine Edmunds and Kyler Gordon),0.54,0.94,7.0,2023,98
3.0,14:26,2.0,3.0,LVR 31,3.0,14.0,Josh Jacobs left tackle for 11 yards (tackle by Elijah Hicks and Justin Jones),0.94,1.73,7.0,2023,98
3.0,13:49,1.0,10.0,LVR 42,3.0,14.0,Josh Jacobs left tackle for 1 yard (tackle by Justin Jones),1.73,1.32,7.0,2023,98
3.0,13:11,2.0,9.0,LVR 43,3.0,14.0,Zamir White right end for 2 yards (tackle by Kyler Gordon),1.32,0.89,7.0,2023,98
3.0,12:30,3.0,7.0,LVR 45,3.0,14.0,Brian Hoyer pass incomplete short middle intended for Jakobi Meyers (defended by Kyler Gordon),0.89,-0.39,7.0,2023,98
3.0,12:27,4.0,7.0,LVR 45,3.0,14.0,AJ Cole punts 43 yards out of bounds,-0.39,0.35,7.0,2023,98
3.0,12:20,1.0,10.0,CHI 12,3.0,14.0,"Penalty on Darnell Wright: False Start, 5 yards (accepted) (no play)",-0.35,-0.57,7.0,2023,98
3.0,12:20,1.0,15.0,CHI 7,3.0,14.0,D'Onta Foreman left tackle for 14 yards (tackle by Marcus Epps),-0.57,0.42,7.0,2023,98
3.0,11:41,2.0,1.0,CHI 21,3.0,14.0,D'Onta Foreman right tackle for 9 yards (tackle by Robert Spillane and Amik Robertson),0.42,0.94,7.0,2023,98
3.0,11:13,1.0,10.0,CHI 30,3.0,14.0,D'Onta Foreman left tackle for -1 yards (tackle by Malcolm Koonce),0.94,0.26,7.0,2023,98
3.0,10:35,2.0,11.0,CHI 29,3.0,14.0,Tyson Bagent scrambles left guard for 12 yards (tackle by Luke Masterson),0.26,1.66,7.0,2023,98
3.0,9:49,1.0,10.0,CHI 41,3.0,14.0,Tyson Bagent pass complete short left to D'Onta Foreman for 17 yards,1.66,2.79,7.0,2023,98
3.0,9:13,1.0,10.0,LVR 42,3.0,14.0,Darrynton Evans left end for 6 yards (tackle by Tre'von Moehrig),2.79,3.12,7.0,2023,98
3.0,8:34,2.0,3.0,LVR 36,3.0,14.0,Darrynton Evans right tackle for 7 yards (tackle by Tre'von Moehrig and Marcus Epps),3.12,3.64,7.0,2023,98
3.0,7:55,1.0,10.0,LVR 29,3.0,14.0,Tyson Bagent pass complete short left to D.J. Moore for 4 yards (tackle by Kana'i Mauga and David Long),3.64,3.64,7.0,2023,98
3.0,7:24,2.0,6.0,LVR 25,3.0,14.0,Tyson Bagent pass incomplete short left intended for D'Onta Foreman,3.64,2.94,7.0,2023,98
3.0,7:18,3.0,6.0,LVR 25,3.0,14.0,Tyson Bagent pass complete short right to Darrynton Evans for 6 yards (tackle by Marcus Peters and Maxx Crosby),2.94,4.31,7.0,2023,98
3.0,6:27,1.0,10.0,LVR 19,3.0,14.0,Tyson Bagent pass complete short left to Khari Blasingame for 4 yards (tackle by Kana'i Mauga and Luke Masterson),4.31,4.35,7.0,2023,98
3.0,5:38,2.0,6.0,LVR 15,3.0,14.0,Tyson Bagent pass complete short middle to D'Onta Foreman for 9 yards (tackle by Luke Masterson and Tre'von Moehrig),4.35,5.83,7.0,2023,98
3.0,4:59,1.0,6.0,LVR 6,3.0,14.0,Darrynton Evans left guard for 1 yard (tackle by Luke Masterson and Malcolm Koonce),5.83,5.15,7.0,2023,98
3.0,4:14,2.0,5.0,LVR 5,3.0,14.0,Tyson Bagent pass incomplete short right intended for D.J. Moore (defended by Marcus Peters),5.15,4.26,7.0,2023,98
3.0,4:09,3.0,5.0,LVR 5,3.0,20.0,"Tyson Bagent pass complete short right to D'Onta Foreman for 5 yards, touchdown",4.26,7.0,7.0,2023,98
3.0,4:04,,,LVR 15,3.0,21.0,Cairo Santos kicks extra point good,0.0,0.0,7.0,2023,98
3.0,4:04,,,CHI 35,3.0,21.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,98
3.0,4:04,1.0,10.0,LVR 25,3.0,21.0,Brian Hoyer pass incomplete short right intended for Jakobi Meyers,0.61,0.06,7.0,2023,98
3.0,3:59,2.0,10.0,LVR 25,3.0,21.0,Brian Hoyer pass complete short left to Michael Mayer for 11 yards (tackle by Tremaine Edmunds),0.06,1.33,7.0,2023,98
3.0,3:21,1.0,10.0,LVR 36,3.0,21.0,Brian Hoyer pass complete short left to Davante Adams for 5 yards,1.33,1.47,7.0,2023,98
3.0,2:48,2.0,5.0,LVR 41,3.0,21.0,Brian Hoyer pass complete short left to Michael Mayer for 2 yards (tackle by Jaquan Brisker),1.47,1.03,7.0,2023,98
3.0,2:05,3.0,3.0,LVR 43,3.0,21.0,Brian Hoyer pass complete short left to Jakobi Meyers for 4 yards (tackle by Jaquan Brisker),1.03,2.06,7.0,2023,98
3.0,1:27,1.0,10.0,LVR 47,3.0,21.0,Brian Hoyer sacked by Justin Jones for -8 yards,2.06,0.44,7.0,2023,98
3.0,0:45,2.0,18.0,LVR 39,3.0,21.0,Brian Hoyer pass incomplete deep middle intended for Davante Adams (defended by Tyrique Stevenson),0.44,-0.36,7.0,2023,98
3.0,0:39,3.0,19.0,LVR 38,3.0,21.0,"Brian Hoyer pass incomplete deep right intended for Jakobi Meyers. Penalty on Jaylon Johnson: Defensive Pass Interference, 46 yards (accepted) (no play)",-0.36,4.58,7.0,2023,98
3.0,0:32,1.0,10.0,CHI 15,3.0,21.0,Brian Hoyer pass complete short left to Josh Jacobs for 6 yards (tackle by Tremaine Edmunds),4.58,5.03,7.0,2023,98
4.0,15:00,2.0,4.0,CHI 9,3.0,21.0,Zamir White for no gain (tackle by Rasheem Green and Jaquan Brisker),5.03,4.22,7.0,2023,98
4.0,14:17,3.0,4.0,CHI 9,3.0,21.0,"Brian Hoyer pass complete to Josh Jacobs for no gain, touchdown Replay Assistant challenged the pass completion ruling, and the original play was overturned. Brian Hoyer pass incomplete short left intended for Josh Jacobs (defended by Tremaine Edmunds)",4.22,2.9,7.0,2023,98
4.0,14:12,4.0,4.0,CHI 9,3.0,21.0,Brian Hoyer pass complete short left to Davante Adams for 4 yards,2.9,6.06,7.0,2023,98
4.0,13:46,1.0,5.0,CHI 5,3.0,21.0,Josh Jacobs left end for -5 yards (tackle by Jack Sanborn),6.06,4.19,7.0,2023,98
4.0,13:05,2.0,10.0,CHI 10,3.0,21.0,Brian Hoyer pass complete short left to Jakobi Meyers for 4 yards (tackle by Jaquan Brisker),4.19,4.04,7.0,2023,98
4.0,12:28,3.0,6.0,CHI 6,3.0,21.0,Brian Hoyer pass incomplete short left intended for Davante Adams,4.04,2.99,7.0,2023,98
4.0,12:24,4.0,6.0,CHI 6,6.0,21.0,Daniel Carlson 25 yard field goal good,2.99,3.0,7.0,2023,98
4.0,12:20,,,LVR 35,6.0,21.0,"Daniel Carlson kicks off 65 yards, returned by Velus Jones for 27 yards (tackle by Malcolm Koonce)",0.0,0.74,7.0,2023,98
4.0,12:14,1.0,10.0,CHI 27,6.0,21.0,"Penalty on Cole Kmet: False Start, 5 yards (accepted) (no play)",0.74,0.41,7.0,2023,98
4.0,12:14,1.0,15.0,CHI 22,6.0,21.0,D'Onta Foreman left end for 6 yards (tackle by Amik Robertson),0.41,0.33,7.0,2023,98
4.0,11:33,2.0,9.0,CHI 28,6.0,21.0,D'Onta Foreman right tackle for 12 yards (tackle by Tre'von Moehrig),0.33,1.6,7.0,2023,98
4.0,11:12,1.0,10.0,CHI 40,6.0,21.0,Darrynton Evans left end for 1 yard (tackle by Robert Spillane),1.6,1.19,7.0,2023,98
4.0,10:29,2.0,9.0,CHI 41,6.0,21.0,Darrynton Evans right tackle for 4 yards (tackle by Robert Spillane and Marcus Peters),1.19,1.03,7.0,2023,98
4.0,9:47,3.0,5.0,CHI 45,6.0,21.0,Tyson Bagent pass complete short left to D.J. Moore for 13 yards (tackle by David Long),1.03,2.79,7.0,2023,98
4.0,9:09,1.0,10.0,LVR 42,6.0,21.0,Darrynton Evans left tackle for 3 yards (tackle by John Jenkins and Isaac Rochell),2.79,2.78,7.0,2023,98
4.0,8:25,2.0,6.0,LVR 38,6.0,21.0,Darrynton Evans left guard for 11 yards (tackle by Marcus Peters and Marcus Epps),2.78,3.71,7.0,2023,98
4.0,7:40,1.0,10.0,LVR 28,6.0,21.0,Darrynton Evans left end for 1 yard (tackle by Isaac Rochell),3.71,3.3,7.0,2023,98
4.0,6:57,2.0,9.0,LVR 27,6.0,21.0,"Darrynton Evans for 2 yards (tackle by Tre'von Moehrig). Penalty on Teven Jenkins: Offensive Holding, 10 yards (accepted)",3.3,2.22,7.0,2023,98
4.0,6:32,2.0,17.0,LVR 35,6.0,21.0,"Penalty on Cole Kmet: False Start, 5 yards (accepted) (no play)",2.22,1.55,7.0,2023,98
4.0,6:32,2.0,22.0,LVR 40,6.0,21.0,D'Onta Foreman right guard for 4 yards (tackle by Maxx Crosby),1.55,1.42,7.0,2023,98
4.0,5:54,3.0,18.0,LVR 36,6.0,21.0,Tyson Bagent pass incomplete short left intended for Travis Homer,1.42,0.88,7.0,2023,98
4.0,5:51,4.0,18.0,LVR 36,6.0,24.0,Cairo Santos 54 yard field goal good,0.88,3.0,7.0,2023,98
4.0,5:46,,,CHI 35,6.0,24.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,98
4.0,5:46,1.0,10.0,LVR 25,6.0,30.0,"Brian Hoyer pass short left intended for Davante Adams is intercepted by Jaylon Johnson at LV-39 and returned for 39 yards, touchdown",0.61,-7.0,7.0,2023,98
4.0,5:36,,,LVR 15,6.0,30.0,Cairo Santos kicks extra point blocked blocked by Isaac Rochell,0.0,-1.0,7.0,2023,98
4.0,5:36,,,CHI 35,6.0,30.0,"Cairo Santos kicks off 70 yards, returned by DeAndre Carter for 26 yards (tackle by Velus Jones and Elijah Hicks)",0.0,0.34,7.0,2023,98
4.0,5:33,1.0,10.0,LVR 21,6.0,30.0,Aidan O'Connell pass incomplete short middle intended for Hunter Renfrow,0.34,-0.2,7.0,2023,98
4.0,5:28,2.0,10.0,LVR 21,6.0,30.0,Aidan O'Connell pass incomplete short left intended for Tre Tucker,-0.2,-0.89,7.0,2023,98
4.0,5:26,3.0,10.0,LVR 21,6.0,30.0,Aidan O'Connell pass complete short right to Austin Hooper for 6 yards (tackle by Kyler Gordon and Tremaine Edmunds),-0.89,-1.57,7.0,2023,98
4.0,4:43,4.0,4.0,LVR 27,6.0,30.0,Aidan O'Connell pass complete short left to Hunter Renfrow for 9 yards (tackle by Elijah Hicks),-1.57,1.33,7.0,2023,98
4.0,4:39,1.0,10.0,LVR 36,6.0,30.0,Aidan O'Connell pass deep right intended for Jakobi Meyers is intercepted by Jaylon Johnson at CHI-25 and returned for no gain (tackle by Jakobi Meyers),1.33,-0.61,7.0,2023,98
4.0,4:32,1.0,10.0,CHI 25,6.0,30.0,D'Onta Foreman right guard for 2 yards (tackle by Maxx Crosby and Marcus Peters),0.61,0.33,7.0,2023,98
4.0,3:50,2.0,8.0,CHI 27,6.0,30.0,D'Onta Foreman left end for 2 yards (tackle by Bilal Nichols and Tyree Wilson),0.33,-0.1,7.0,2023,98
4.0,3:44,,,,,,Timeout #1 by Las Vegas Raiders,,,7.0,2023,98
4.0,3:44,3.0,6.0,CHI 29,6.0,30.0,Darrynton Evans left end for 1 yard (tackle by Tyree Wilson and Bilal Nichols),-0.1,-1.37,7.0,2023,98
4.0,3:38,,,,,,Timeout #2 by Las Vegas Raiders,,,7.0,2023,98
4.0,3:38,4.0,5.0,CHI 30,6.0,30.0,Trenton Gill punts 30 yards out of bounds,-1.37,-1.66,7.0,2023,98
4.0,3:32,1.0,10.0,LVR 41,6.0,30.0,Aidan O'Connell pass complete short left to Tre Tucker for 12 yards (tackle by Tyrique Stevenson),1.66,2.39,7.0,2023,98
4.0,3:07,1.0,10.0,CHI 48,6.0,30.0,Aidan O'Connell pass complete short right to Jesper Horsted for 4 yards (tackle by Kyler Gordon),2.39,2.39,7.0,2023,98
4.0,3:01,2.0,6.0,CHI 44,6.0,30.0,Aidan O'Connell pass complete short middle to Zamir White for 9 yards (tackle by Tremaine Edmunds and Kyler Gordon),2.39,3.25,7.0,2023,98
4.0,2:36,1.0,10.0,CHI 35,6.0,30.0,Aidan O'Connell pass complete short middle to Zamir White for 15 yards (tackle by Tremaine Edmunds),3.25,4.24,7.0,2023,98
4.0,2:10,1.0,10.0,CHI 20,6.0,30.0,Aidan O'Connell pass complete short left to Zamir White for 2 yards (tackle by Tyrique Stevenson),4.24,3.96,7.0,2023,98
4.0,2:00,2.0,8.0,CHI 18,6.0,30.0,Aidan O'Connell pass complete short left to Tre Tucker for 4 yards (tackle by Tyrique Stevenson),3.96,3.89,7.0,2023,98
4.0,1:36,3.0,4.0,CHI 14,6.0,30.0,Aidan O'Connell pass complete short middle to Hunter Renfrow for 5 yards (tackle by Kyler Gordon),3.89,5.14,7.0,2023,98
4.0,1:14,1.0,9.0,CHI 9,12.0,30.0,"Aidan O'Connell pass complete short right to Jakobi Meyers for 9 yards, touchdown",5.14,7.0,7.0,2023,98
4.0,1:10,,,CHI 2,12.0,30.0,Two Point Attempt: Aidan O'Connell pass incomplete intended for,1.0,-1.0,7.0,2023,98
4.0,1:10,,,,,,Timeout #1 by Chicago Bears,,,7.0,2023,98
