Quarter,Time,Down,ToGo,Location,MIA,PHI,Detail,EPB,EPA,week,year,game_id
2.0,11:25,,,PHI 35,3.0,10.0,"Jake Elliott kicks off 64 yards, returned by Braxton Berrios for 33 yards (tackle by Christian Elliss and Kelee Ringo)",0.0,1.2,7.0,2023,105
2.0,11:20,1.0,10.0,MIA 34,3.0,10.0,Salvon Ahmed up the middle for 1 yard (tackle by Milton Williams and Jordan Davis),1.2,0.79,7.0,2023,105
2.0,10:45,2.0,9.0,MIA 35,3.0,10.0,Tua Tagovailoa pass complete short left to Tyreek Hill for 6 yards,0.79,0.89,7.0,2023,105
2.0,10:12,3.0,3.0,MIA 41,3.0,10.0,Tua Tagovailoa pass incomplete short right intended for Braxton Berrios (defended by Darius Slay),0.89,-0.65,7.0,2023,105
2.0,10:07,4.0,3.0,MIA 41,3.0,10.0,"Jake Bailey punts 59 yards, touchback.",-0.65,-0.28,7.0,2023,105
2.0,9:59,1.0,10.0,PHI 20,3.0,10.0,D'Andre Swift up the middle for no gain (tackle by Andrew Van Ginkel and Jerome Baker),0.28,-0.27,7.0,2023,105
2.0,9:24,2.0,10.0,PHI 20,3.0,10.0,Jalen Hurts pass complete short left to A.J. Brown for 10 yards (tackle by DeShon Elliott),-0.27,0.94,7.0,2023,105
2.0,8:41,1.0,10.0,PHI 30,3.0,10.0,D'Andre Swift right guard for 3 yards (tackle by David Long),0.94,0.8,7.0,2023,105
2.0,7:59,2.0,7.0,PHI 33,3.0,10.0,Jalen Hurts pass complete short left to Julio Jones for 3 yards (tackle by Eli Apple),0.8,0.5,7.0,2023,105
2.0,7:20,3.0,4.0,PHI 36,3.0,10.0,Jalen Hurts scrambles left end for 5 yards (tackle by Andrew Van Ginkel),0.5,1.66,7.0,2023,105
2.0,7:20,1.0,10.0,PHI 41,3.0,10.0,"Penalty on Eli Apple: Defensive Holding, 5 yards (accepted) (no play)",1.66,1.99,7.0,2023,105
2.0,6:51,1.0,10.0,PHI 46,3.0,10.0,Kenneth Gainwell right guard for 1 yard (tackle by Jerome Baker and Jaelan Phillips),1.99,1.59,7.0,2023,105
2.0,6:22,2.0,9.0,PHI 47,3.0,10.0,Jalen Hurts pass complete short right to DeVonta Smith for 13 yards (tackle by Kader Kohou),1.59,2.92,7.0,2023,105
2.0,5:42,1.0,10.0,MIA 40,3.0,10.0,Kenneth Gainwell right tackle for 1 yard (tackle by Christian Wilkins and David Long),2.92,2.51,7.0,2023,105
2.0,5:01,2.0,9.0,MIA 39,3.0,10.0,Jalen Hurts pass complete short left to DeVonta Smith for 3 yards (tackle by Parry Nickerson),2.51,2.21,7.0,2023,105
2.0,4:19,3.0,6.0,MIA 36,3.0,10.0,Kenneth Gainwell right guard for 3 yards (tackle by Jaelan Phillips),2.21,1.19,7.0,2023,105
2.0,3:41,4.0,3.0,MIA 33,3.0,10.0,Jalen Hurts pass complete deep right to A.J. Brown for 32 yards (tackle by Parry Nickerson),1.19,6.97,7.0,2023,105
2.0,3:20,1.0,1.0,MIA 1,3.0,16.0,"Jalen Hurts for 1 yard, touchdown",6.97,7.0,7.0,2023,105
2.0,3:10,,,MIA 15,3.0,17.0,Jake Elliott kicks extra point good,0.0,0.0,7.0,2023,105
2.0,3:10,,,PHI 35,3.0,17.0,"Jake Elliott kicks off 58 yards, returned by Braxton Berrios for 21 yards (tackle by Nicholas Morrow and Boston Scott)",0.0,0.81,7.0,2023,105
2.0,3:05,1.0,10.0,MIA 28,3.0,17.0,Tua Tagovailoa pass complete short left to Tyreek Hill for 4 yards (tackle by Nakobe Dean),0.81,0.8,7.0,2023,105
2.0,2:40,2.0,6.0,MIA 32,3.0,17.0,"Cedrick Wilson sacked by Josh Sweat for -7 yards. Penalty on Jalen Carter: Personal Foul / Defense, 15 yards (offset) . Penalty on Austin Jackson: Personal Foul / Offense, 15 yards (offset)",0.8,-0.82,7.0,2023,105
2.0,2:28,3.0,13.0,MIA 25,3.0,17.0,"Penalty on Lester Cotton: False Start, 5 yards (accepted) (no play)",-0.82,-1.48,7.0,2023,105
2.0,2:03,3.0,18.0,MIA 20,3.0,17.0,Tua Tagovailoa pass complete deep right to Cedrick Wilson for 29 yards,-1.48,2.19,7.0,2023,105
2.0,1:56,1.0,10.0,MIA 49,3.0,17.0,Tua Tagovailoa pass complete short left to Braxton Berrios for 7 yards (tackle by Sydney Brown),2.19,2.59,7.0,2023,105
2.0,1:18,2.0,3.0,PHI 44,3.0,17.0,Tua Tagovailoa pass complete short left to Tyreek Hill for 15 yards (tackle by Terrell Edmunds),2.59,3.64,7.0,2023,105
2.0,0:57,1.0,10.0,PHI 29,3.0,17.0,Tua Tagovailoa pass complete short left to Jeff Wilson for 4 yards (tackle by Terrell Edmunds),3.64,3.64,7.0,2023,105
2.0,0:50,2.0,6.0,PHI 25,3.0,17.0,Tua Tagovailoa sacked by Nolan Smith for -2 yards,3.64,2.68,7.0,2023,105
2.0,0:45,,,,,,Timeout #1 by Miami Dolphins,,,7.0,2023,105
2.0,0:45,3.0,8.0,PHI 27,9.0,17.0,"Tua Tagovailoa pass complete deep left to Tyreek Hill for 27 yards, touchdown",2.68,7.0,7.0,2023,105
2.0,0:39,,,PHI 15,10.0,17.0,Jason Sanders kicks extra point good,0.0,0.0,7.0,2023,105
2.0,0:39,,,MIA 35,10.0,17.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,105
2.0,0:39,1.0,10.0,PHI 25,10.0,17.0,Jalen Hurts sacked by Jaelan Phillips for -10 yards,0.61,-1.43,7.0,2023,105
3.0,15:00,,,PHI 35,10.0,17.0,"Jake Elliott kicks off 64 yards, returned by Braxton Berrios for 26 yards (tackle by Nolan Smith)",0.0,0.74,7.0,2023,105
3.0,14:55,1.0,10.0,MIA 27,10.0,17.0,Raheem Mostert right end for 2 yards (tackle by Haason Reddick),0.74,0.47,7.0,2023,105
3.0,14:13,2.0,8.0,MIA 29,10.0,17.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 17 yards (tackle by Sydney Brown),0.47,1.99,7.0,2023,105
3.0,13:33,1.0,10.0,MIA 46,10.0,17.0,Raheem Mostert left end for 7 yards (tackle by Fletcher Cox),1.99,2.4,7.0,2023,105
3.0,12:57,2.0,3.0,PHI 47,10.0,17.0,Raheem Mostert left end for 5 yards (tackle by Zach Cunningham),2.4,2.79,7.0,2023,105
3.0,12:17,1.0,10.0,PHI 42,10.0,17.0,Tua Tagovailoa pass complete short right to Salvon Ahmed for no gain (tackle by Haason Reddick),2.79,2.24,7.0,2023,105
3.0,11:37,2.0,10.0,PHI 42,10.0,17.0,"Tua Tagovailoa pass complete short right to Tyreek Hill for 1 yard (tackle by James Bradberry). Penalty on Julian Hill: Offensive Holding, 10 yards (accepted)",2.24,1.03,7.0,2023,105
3.0,11:11,2.0,19.0,MIA 49,10.0,17.0,Tua Tagovailoa pass incomplete deep left intended for Salvon Ahmed,1.03,0.37,7.0,2023,105
3.0,11:07,3.0,19.0,MIA 49,10.0,17.0,Tua Tagovailoa pass complete short left to Raheem Mostert for 6 yards (tackle by Zach Cunningham and Terrell Edmunds),0.37,0.27,7.0,2023,105
3.0,10:28,4.0,13.0,PHI 45,10.0,17.0,"Penalty on Elijah Campbell: False Start, 5 yards (accepted) (no play)",0.27,-0.06,7.0,2023,105
3.0,10:18,4.0,17.0,PHI 50,10.0,17.0,Jake Bailey punts 45 yards out of bounds,-0.06,0.38,7.0,2023,105
3.0,10:12,1.0,10.0,PHI 5,10.0,17.0,Jalen Hurts pass complete short right to A.J. Brown for 9 yards (tackle by Kader Kohou),-0.38,-0.1,7.0,2023,105
3.0,9:30,2.0,1.0,PHI 14,10.0,17.0,D'Andre Swift left guard for 4 yards (tackle by Jerome Baker and Jevon Holland),-0.1,0.04,7.0,2023,105
3.0,8:52,1.0,10.0,PHI 18,10.0,17.0,Jalen Hurts sacked by Bradley Chubb for -3 yards,0.04,-0.93,7.0,2023,105
3.0,8:11,2.0,13.0,PHI 15,10.0,17.0,Jalen Hurts pass complete short right to D'Andre Swift for 8 yards (tackle by Jerome Baker and Christian Wilkins),-0.93,-0.53,7.0,2023,105
3.0,7:26,3.0,5.0,PHI 23,10.0,17.0,Jalen Hurts pass incomplete short left intended for A.J. Brown (defended by Eli Apple),-0.53,-1.83,7.0,2023,105
3.0,7:23,4.0,5.0,PHI 23,10.0,17.0,"Braden Mann punts 57 yards, returned by Braxton Berrios for 16 yards (tackle by Christian Elliss)",-1.83,-1.33,7.0,2023,105
3.0,7:12,1.0,10.0,MIA 36,10.0,17.0,Raheem Mostert right end for 21 yards (tackle by Terrell Edmunds),1.33,2.72,7.0,2023,105
3.0,6:27,1.0,10.0,PHI 43,10.0,17.0,Raheem Mostert left end for 15 yards (tackle by Nakobe Dean),2.72,3.71,7.0,2023,105
3.0,5:42,1.0,10.0,PHI 28,10.0,17.0,Tua Tagovailoa pass complete short left to Tyreek Hill for 5 yards (tackle by James Bradberry),3.71,3.84,7.0,2023,105
3.0,5:03,2.0,5.0,PHI 23,10.0,17.0,Salvon Ahmed left tackle for 2 yards (tackle by Milton Williams),3.84,3.4,7.0,2023,105
3.0,4:20,3.0,3.0,PHI 21,10.0,17.0,Tua Tagovailoa pass incomplete short middle intended for Tyreek Hill,3.4,2.16,7.0,2023,105
3.0,4:13,4.0,3.0,PHI 21,10.0,17.0,Tua Tagovailoa pass incomplete deep left intended for Cedrick Wilson,2.16,-0.41,7.0,2023,105
3.0,4:08,1.0,10.0,PHI 22,16.0,17.0,"Jalen Hurts pass short right (defended by Kader Kohou) intended for A.J. Brown is intercepted by Jerome Baker at PHI-23 and returned for 23 yards, touchdown",0.41,-7.0,7.0,2023,105
3.0,4:02,,,PHI 15,17.0,17.0,Jason Sanders kicks extra point good,0.0,0.0,7.0,2023,105
3.0,4:02,,,MIA 35,17.0,17.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,105
3.0,4:02,1.0,10.0,PHI 25,17.0,17.0,Jalen Hurts scrambles left tackle for 12 yards (tackle by Jerome Baker),0.61,1.4,7.0,2023,105
3.0,3:34,1.0,10.0,PHI 37,17.0,17.0,Jalen Hurts pass complete deep left to DeVonta Smith for 25 yards (tackle by Eli Apple),1.4,3.05,7.0,2023,105
3.0,2:55,1.0,10.0,MIA 38,17.0,17.0,Jalen Hurts pass complete short left to A.J. Brown for 8 yards (tackle by Bradley Chubb),3.05,3.59,7.0,2023,105
3.0,2:18,2.0,2.0,MIA 30,17.0,17.0,D'Andre Swift right tackle for 3 yards (tackle by Christian Wilkins),3.59,3.78,7.0,2023,105
3.0,1:46,1.0,10.0,MIA 27,17.0,17.0,Jalen Hurts pass complete short left to D'Andre Swift for 3 yards (tackle by Zach Sieler),3.78,3.64,7.0,2023,105
3.0,1:06,2.0,7.0,MIA 24,17.0,17.0,Jalen Hurts pass incomplete short right intended for Olamide Zaccheaus,3.64,2.94,7.0,2023,105
3.0,1:03,3.0,7.0,MIA 24,17.0,17.0,Jalen Hurts pass complete short right to Dallas Goedert for 10 yards (tackle by Elijah Campbell),2.94,4.65,7.0,2023,105
3.0,0:20,1.0,10.0,MIA 14,17.0,23.0,"Jalen Hurts pass complete short right to A.J. Brown for 14 yards, touchdown",4.65,7.0,7.0,2023,105
3.0,0:15,,,MIA 15,17.0,24.0,Jake Elliott kicks extra point good,0.0,0.0,7.0,2023,105
3.0,0:15,,,PHI 35,17.0,24.0,"Jake Elliott kicks off 59 yards, returned by Braxton Berrios for 25 yards (tackle by Sydney Brown)",0.0,1.0,7.0,2023,105
3.0,0:09,,,,,,Timeout #1 by Miami Dolphins,,,7.0,2023,105
3.0,0:09,1.0,10.0,MIA 31,17.0,24.0,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 14 yards (tackle by Nakobe Dean),1.0,1.93,7.0,2023,105
4.0,15:00,1.0,10.0,MIA 45,17.0,24.0,Raheem Mostert right end for 3 yards (tackle by Darius Slay),1.93,1.79,7.0,2023,105
4.0,14:20,2.0,7.0,MIA 48,17.0,24.0,"Penalty on Austin Jackson: False Start, 5 yards (accepted) (no play)",1.79,1.11,7.0,2023,105
4.0,14:18,2.0,12.0,MIA 43,17.0,24.0,Tua Tagovailoa pass incomplete short left intended for Tyreek Hill,1.11,0.43,7.0,2023,105
4.0,14:13,3.0,12.0,MIA 43,17.0,24.0,Tua Tagovailoa pass complete short right to Jaylen Waddle for 12 yards (tackle by Terrell Edmunds and Sydney Brown),0.43,2.59,7.0,2023,105
4.0,13:32,1.0,10.0,PHI 45,17.0,24.0,Tua Tagovailoa pass complete deep left to Cedrick Wilson for 19 yards (tackle by Terrell Edmunds),2.59,3.84,7.0,2023,105
4.0,12:54,1.0,10.0,PHI 26,17.0,24.0,Tua Tagovailoa up the middle for -3 yards (tackle by Jalen Carter),3.84,2.89,7.0,2023,105
4.0,12:14,2.0,13.0,PHI 29,17.0,24.0,"Liam Eichenberg aborted snap, recovered by Tua Tagovailoa at PHI-34 Tua Tagovailoa pass complete short right to Jaylen Waddle for 5 yards (tackle by Darius Slay)",2.89,2.87,7.0,2023,105
4.0,11:32,3.0,8.0,PHI 24,17.0,24.0,Tua Tagovailoa pass deep right intended for Raheem Mostert is intercepted by Darius Slay at PHI-1 and returned for 16 yards (tackle by Liam Eichenberg),2.87,0.06,7.0,2023,105
4.0,11:21,1.0,10.0,PHI 17,17.0,24.0,Jalen Hurts pass incomplete short left,-0.06,-0.58,7.0,2023,105
4.0,11:17,2.0,10.0,PHI 17,17.0,24.0,D'Andre Swift right tackle for 5 yards (tackle by Jaelan Phillips and Christian Wilkins),-0.58,-0.62,7.0,2023,105
4.0,10:35,3.0,5.0,PHI 22,17.0,24.0,Jalen Hurts pass complete short right to A.J. Brown for 4 yards (tackle by Kader Kohou),-0.62,-1.63,7.0,2023,105
4.0,10:01,,,,,,Timeout #1 by Philadelphia Eagles,,,7.0,2023,105
4.0,10:01,4.0,1.0,PHI 26,17.0,24.0,Jalen Hurts left guard for 2 yards (tackle by Jevon Holland),-1.63,0.81,7.0,2023,105
4.0,9:18,1.0,10.0,PHI 28,17.0,24.0,Kenneth Gainwell left guard for 2 yards (tackle by Andrew Van Ginkel),0.81,0.53,7.0,2023,105
4.0,8:38,2.0,8.0,PHI 30,17.0,24.0,Jalen Hurts pass incomplete short right intended for A.J. Brown,0.53,-0.16,7.0,2023,105
4.0,8:33,3.0,8.0,PHI 30,17.0,24.0,Jalen Hurts pass complete short middle to A.J. Brown for 7 yards (tackle by Eli Apple),-0.16,-0.91,7.0,2023,105
4.0,8:07,4.0,1.0,PHI 37,17.0,24.0,Jalen Hurts up the middle for 2 yards (tackle by Bradley Chubb),-0.91,1.53,7.0,2023,105
4.0,7:28,1.0,10.0,PHI 39,17.0,24.0,D'Andre Swift up the middle for no gain (tackle by Jaelan Phillips),1.53,0.99,7.0,2023,105
4.0,6:46,2.0,10.0,PHI 39,17.0,24.0,Jalen Hurts pass complete short right to A.J. Brown for 6 yards (tackle by Kader Kohou),0.99,1.09,7.0,2023,105
4.0,6:07,3.0,4.0,PHI 45,17.0,24.0,"Kenneth Gainwell right guard for no gain (tackle by Christian Wilkins and DeShon Elliott). Penalty on Christian Wilkins: Defensive Offside, 5 yards (accepted) (no play)",1.09,2.26,7.0,2023,105
4.0,5:44,1.0,10.0,PHI 50,17.0,24.0,Jalen Hurts pass complete deep right to A.J. Brown for 42 yards (tackle by Kader Kohou),2.26,5.37,7.0,2023,105
4.0,4:57,1.0,8.0,MIA 8,17.0,24.0,Kenneth Gainwell up the middle for 5 yards (tackle by Andrew Van Ginkel and Jerome Baker),5.37,5.53,7.0,2023,105
4.0,4:50,,,,,,Timeout #2 by Miami Dolphins,,,7.0,2023,105
4.0,4:50,2.0,3.0,MIA 3,17.0,30.0,"Kenneth Gainwell left end for 3 yards, touchdown",5.53,7.0,7.0,2023,105
4.0,4:46,,,MIA 15,17.0,31.0,Jake Elliott kicks extra point good,0.0,0.0,7.0,2023,105
4.0,4:46,,,PHI 35,17.0,31.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,105
4.0,4:46,1.0,10.0,MIA 25,17.0,31.0,Tua Tagovailoa pass complete short left to Jaylen Waddle for 8 yards (tackle by Josiah Scott),0.61,1.14,7.0,2023,105
4.0,4:15,2.0,2.0,MIA 33,17.0,31.0,Tua Tagovailoa sacked by and Fletcher Cox for -2 yards and Jordan Davis for -2 yards,1.14,0.17,7.0,2023,105
4.0,3:35,3.0,4.0,MIA 31,17.0,31.0,Tua Tagovailoa sacked by Josh Sweat for -6 yards,0.17,-1.7,7.0,2023,105
4.0,3:23,,,,,,Timeout #3 by Miami Dolphins,,,7.0,2023,105
4.0,3:23,,,,,,Timeout #2 by Philadelphia Eagles,,,7.0,2023,105
4.0,3:23,4.0,10.0,MIA 25,17.0,31.0,Tua Tagovailoa pass incomplete short right intended for Tyreek Hill (defended by Eli Ricks),-1.7,-3.91,7.0,2023,105
4.0,3:19,1.0,10.0,MIA 25,17.0,31.0,D'Andre Swift right tackle for -3 yards (tackle by Andrew Van Ginkel),3.91,2.96,7.0,2023,105
4.0,2:36,2.0,13.0,MIA 28,17.0,31.0,D'Andre Swift left end for 22 yards (tackle by DeShon Elliott),2.96,5.83,7.0,2023,105
4.0,2:00,1.0,6.0,MIA 6,17.0,31.0,Jalen Hurts kneels for no gain,5.83,4.95,7.0,2023,105
4.0,1:21,2.0,6.0,MIA 6,17.0,31.0,Jalen Hurts kneels for -1 yards,4.95,3.81,7.0,2023,105
4.0,0:40,3.0,7.0,MIA 7,17.0,31.0,Jalen Hurts kneels for -3 yards,3.81,2.76,7.0,2023,105
