Quarter,Time,Down,ToGo,Location,CLE,IND,Detail,EPB,EPA,week,year,game_id
2.0,8:38,,,CLE 35,17.0,14.0,"Dustin Hopkins kicks off 64 yards,",0.0,0.61,7.0,2023,95
2.0,8:38,1.0,10.0,IND 25,17.0,14.0,Zack Moss up the middle for -3 yards (tackle by Ogbonnia Okoronkwo and Anthony Walker),0.61,-0.34,7.0,2023,95
2.0,7:55,2.0,13.0,IND 22,17.0,14.0,Gardner Minshew pass complete short right to Zack Moss for 5 yards (tackle by Anthony Walker and Tony Fields),-0.34,-0.36,7.0,2023,95
2.0,7:08,3.0,8.0,IND 27,17.0,14.0,Gardner Minshew pass complete deep right to Josh Downs for 34 yards (tackle by Grant Delpit),-0.36,2.98,7.0,2023,95
2.0,6:20,1.0,10.0,CLE 39,17.0,14.0,Jonathan Taylor right end for 24 yards (tackle by Denzel Ward and Juan Thornhill),2.98,4.58,7.0,2023,95
2.0,5:49,1.0,10.0,CLE 15,17.0,14.0,Jonathan Taylor right end for 3 yards (tackle by Za'Darius Smith and Maurice Hurst),4.58,4.45,7.0,2023,95
2.0,5:08,2.0,7.0,CLE 12,17.0,14.0,Jonathan Taylor up the middle for no gain (tackle by Shelby Harris and Jeremiah Owusu-Koramoah),4.45,3.58,7.0,2023,95
2.0,4:27,3.0,7.0,CLE 12,17.0,14.0,Gardner Minshew pass complete short left to Michael Pittman for 8 yards (tackle by Grant Delpit),3.58,6.28,7.0,2023,95
2.0,3:57,1.0,4.0,CLE 4,17.0,20.0,"Gardner Minshew left end for 4 yards, touchdown",6.28,7.0,7.0,2023,95
2.0,3:51,,,CLE 15,17.0,21.0,Matt Gay kicks extra point good,0.0,0.0,7.0,2023,95
2.0,3:51,,,IND 35,17.0,21.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,95
2.0,3:51,1.0,10.0,CLE 25,17.0,21.0,P.J. Walker pass incomplete deep left intended for David Njoku,0.61,0.06,7.0,2023,95
2.0,3:45,2.0,10.0,CLE 25,17.0,21.0,P.J. Walker pass complete short middle to David Njoku for 26 yards (tackle by Julian Blackmon and Rodney Thomas),0.06,2.32,7.0,2023,95
2.0,3:05,1.0,10.0,IND 49,17.0,21.0,"P.J. Walker pass intended for Jerome Ford is intercepted by DeForest Buckner at IND-49 and returned for no gain Replay Assistant challenged the pass interception ruling, and the original play was overturned. P.J. Walker pass incomplete short middle intended for Jerome Ford",2.32,1.78,7.0,2023,95
2.0,3:00,2.0,10.0,IND 49,17.0,21.0,Jerome Ford right end for 1 yard (tackle by Kwity Paye),1.78,1.22,7.0,2023,95
2.0,2:26,3.0,9.0,IND 48,17.0,21.0,"Penalty on Ethan Pocic: False Start, 5 yards (accepted) (no play)",1.22,0.56,7.0,2023,95
2.0,2:08,3.0,14.0,CLE 47,17.0,21.0,P.J. Walker pass complete short left to Elijah Moore for 10 yards (tackle by Zaire Franklin),0.56,0.4,7.0,2023,95
2.0,2:00,4.0,4.0,IND 43,17.0,21.0,"Corey Bojorquez punts 32 yards, fair catch by Isaiah McKenzie at IND-11",0.4,0.37,7.0,2023,95
2.0,1:54,1.0,10.0,IND 11,17.0,21.0,Gardner Minshew sacked by Jordan Elliott for -5 yards,-0.37,-1.15,7.0,2023,95
2.0,1:50,,,,,,Timeout #1 by Cleveland Browns,,,7.0,2023,95
2.0,1:50,2.0,15.0,IND 6,23.0,21.0,"Gardner Minshew sacked by Myles Garrett for -6 yards. Gardner Minshew fumbles (forced by Myles Garrett), recovered by Tony Fields in end zone, touchdown",-1.15,-7.0,7.0,2023,95
2.0,1:42,,,IND 15,24.0,21.0,Dustin Hopkins kicks extra point good,0.0,0.0,7.0,2023,95
2.0,1:42,,,CLE 35,24.0,21.0,"Dustin Hopkins kicks off 62 yards, returned by Isaiah McKenzie for 17 yards (tackle by D'Anthony Bell)",0.0,0.28,7.0,2023,95
2.0,1:38,1.0,10.0,IND 20,24.0,21.0,Zack Moss left tackle for 2 yards (tackle by Grant Delpit),0.28,0.0,7.0,2023,95
2.0,1:34,,,,,,Timeout #2 by Cleveland Browns,,,7.0,2023,95
2.0,1:34,2.0,8.0,IND 22,24.0,21.0,"Penalty on Will Fries: False Start, 5 yards (accepted) (no play)",0.0,-0.79,7.0,2023,95
2.0,1:34,2.0,13.0,IND 17,24.0,21.0,Jonathan Taylor left guard for no gain (tackle by Myles Garrett and Dalvin Tomlinson),-0.79,-1.51,7.0,2023,95
2.0,1:30,,,,,,Timeout #3 by Cleveland Browns,,,7.0,2023,95
2.0,1:30,3.0,13.0,IND 17,24.0,21.0,Gardner Minshew pass incomplete short middle,-1.51,-2.32,7.0,2023,95
2.0,1:26,4.0,13.0,IND 17,24.0,21.0,"Penalty on Tony Fields: Neutral Zone Infraction, 5 yards (accepted) (no play)",-2.32,-1.9,7.0,2023,95
2.0,1:26,4.0,8.0,IND 22,24.0,21.0,"Rigoberto Sanchez punts 57 yards, returned by Donovan Peoples-Jones for 9 yards (tackle by Andrew Ogletree)",-1.9,-0.94,7.0,2023,95
2.0,1:17,1.0,10.0,CLE 30,24.0,21.0,P.J. Walker pass complete short middle to Jerome Ford for 8 yards (tackle by Zaire Franklin),0.94,1.47,7.0,2023,95
2.0,0:57,2.0,2.0,CLE 38,24.0,21.0,P.J. Walker pass complete short right to David Njoku for 5 yards (tackle by Shaquille Leonard),1.47,1.8,7.0,2023,95
2.0,0:52,1.0,10.0,CLE 43,24.0,21.0,P.J. Walker pass complete short left to Elijah Moore for 9 yards (tackle by Kenny Moore and Jaylon Jones),1.8,2.47,7.0,2023,95
2.0,0:27,2.0,1.0,IND 48,24.0,21.0,P.J. Walker pass complete short right to Jerome Ford for 12 yards (tackle by Zaire Franklin),2.47,3.18,7.0,2023,95
2.0,0:10,1.0,10.0,IND 36,24.0,21.0,P.J. Walker spiked the ball,3.18,2.64,7.0,2023,95
2.0,0:09,2.0,10.0,IND 36,24.0,21.0,P.J. Walker pass incomplete deep right,2.64,1.95,7.0,2023,95
2.0,0:02,3.0,10.0,IND 36,27.0,21.0,Dustin Hopkins 54 yard field goal good,1.95,3.0,7.0,2023,95
3.0,15:00,,,CLE 35,27.0,21.0,"Dustin Hopkins kicks off 56 yards, returned by Isaiah McKenzie for 21 yards (tackle by Charlie Thomas)",0.0,0.94,7.0,2023,95
3.0,14:56,1.0,10.0,IND 30,27.0,21.0,Zack Moss right end for 2 yards (tackle by Denzel Ward),0.94,0.66,7.0,2023,95
3.0,14:23,2.0,8.0,IND 32,27.0,21.0,Zack Moss up the middle for no gain (tackle by Jordan Elliott),0.66,-0.03,7.0,2023,95
3.0,13:36,3.0,8.0,IND 32,27.0,21.0,Gardner Minshew pass incomplete short left intended for Zack Moss (defended by Myles Garrett),-0.03,-1.24,7.0,2023,95
3.0,13:32,4.0,8.0,IND 32,27.0,21.0,"Rigoberto Sanchez punts 54 yards, returned by Donovan Peoples-Jones for 6 yards (tackle by Trevor Denbow)",-1.24,-0.28,7.0,2023,95
3.0,13:22,1.0,10.0,CLE 20,27.0,21.0,Kareem Hunt right tackle for no gain (tackle by DeForest Buckner),0.28,-0.27,7.0,2023,95
3.0,12:41,2.0,10.0,CLE 20,27.0,21.0,P.J. Walker pass incomplete short right intended for Amari Cooper (defended by Darrell Baker),-0.27,-0.96,7.0,2023,95
3.0,12:36,3.0,10.0,CLE 20,27.0,21.0,P.J. Walker sacked by Kenny Moore for -9 yards,-0.96,-2.49,7.0,2023,95
3.0,11:58,4.0,19.0,CLE 11,27.0,21.0,"Corey Bojorquez punts 56 yards, returned by Isaiah McKenzie for no gain. Isaiah McKenzie fumbles (forced by Pierre Strong), recovered by Isaiah McKenzie at IND-33 (tackle by Pierre Strong)",-2.49,-1.14,7.0,2023,95
3.0,11:46,1.0,10.0,IND 33,27.0,21.0,Jonathan Taylor right tackle for 2 yards (tackle by Grant Delpit),1.14,0.86,7.0,2023,95
3.0,11:06,2.0,8.0,IND 35,27.0,21.0,Gardner Minshew pass complete short left to Josh Downs for 6 yards (tackle by Juan Thornhill),0.86,0.96,7.0,2023,95
3.0,10:26,3.0,2.0,IND 41,27.0,21.0,Gardner Minshew pass deep right intended for Michael Pittman is intercepted by Denzel Ward at CLE-38 and returned for 20 yards (tackle by Alec Pierce),0.96,-2.79,7.0,2023,95
3.0,10:16,1.0,10.0,IND 42,27.0,21.0,P.J. Walker pass incomplete short left intended for Harrison Bryant (defended by Samson Ebukam),2.79,2.24,7.0,2023,95
3.0,10:10,2.0,10.0,IND 42,27.0,21.0,P.J. Walker pass incomplete short left intended for Amari Cooper,2.24,1.55,7.0,2023,95
3.0,10:05,3.0,10.0,IND 42,27.0,21.0,P.J. Walker pass complete short right to Marquise Goodwin for 6 yards (tackle by Zaire Franklin),1.55,0.89,7.0,2023,95
3.0,9:28,4.0,4.0,IND 36,30.0,21.0,Dustin Hopkins 54 yard field goal good,0.89,3.0,7.0,2023,95
3.0,9:23,,,CLE 35,30.0,21.0,"Dustin Hopkins kicks off 65 yards,",0.0,0.61,7.0,2023,95
3.0,9:23,1.0,10.0,IND 25,30.0,21.0,Gardner Minshew pass complete deep right to Josh Downs for 20 yards (tackle by Denzel Ward),0.61,1.93,7.0,2023,95
3.0,8:56,1.0,10.0,IND 45,30.0,21.0,Gardner Minshew pass complete to Michael Pittman for no gain (no play),1.93,2.66,7.0,2023,95
3.0,8:42,1.0,5.0,IND 50,30.0,21.0,Jonathan Taylor right guard for 9 yards (tackle by Ogbonnia Okoronkwo),2.66,2.85,7.0,2023,95
3.0,8:11,1.0,10.0,CLE 41,30.0,21.0,Jonathan Taylor up the middle for 6 yards (tackle by Grant Delpit and Tony Fields),2.85,3.12,7.0,2023,95
3.0,7:51,2.0,4.0,CLE 35,30.0,21.0,Jonathan Taylor left guard for no gain (tackle by Tony Fields and Ogbonnia Okoronkwo),3.12,2.41,7.0,2023,95
3.0,6:53,3.0,4.0,CLE 35,30.0,21.0,Jonathan Taylor left guard for 4 yards (tackle by Tony Fields and Anthony Walker),2.41,3.51,7.0,2023,95
3.0,6:12,1.0,10.0,CLE 31,30.0,21.0,Gardner Minshew pass complete short left to Jonathan Taylor for 20 yards (tackle by Za'Darius Smith and Grant Delpit),3.51,4.84,7.0,2023,95
3.0,5:39,1.0,10.0,CLE 11,30.0,21.0,Jonathan Taylor up the middle for 6 yards (tackle by Shelby Harris and Greg Newsome),4.84,5.28,7.0,2023,95
3.0,5:14,2.0,4.0,CLE 5,30.0,27.0,"Jonathan Taylor right guard for 5 yards, touchdown",5.28,7.0,7.0,2023,95
3.0,5:11,,,CLE 15,30.0,28.0,Matt Gay kicks extra point good,0.0,0.0,7.0,2023,95
3.0,5:11,,,IND 35,30.0,28.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,95
3.0,5:11,1.0,10.0,CLE 25,30.0,28.0,Pierre Strong up the middle for 4 yards (tackle by Zaire Franklin),0.61,0.6,7.0,2023,95
3.0,4:48,2.0,6.0,CLE 29,30.0,28.0,P.J. Walker pass incomplete short right intended for Amari Cooper (defended by Julian Blackmon),0.6,-0.1,7.0,2023,95
3.0,4:43,3.0,6.0,CLE 29,30.0,28.0,"P.J. Walker pass complete short middle to David Njoku for 7 yards (tackle by Kenny Moore). Penalty on DeForest Buckner: Roughing the Passer, 15 yards (accepted)",-0.1,2.32,7.0,2023,95
3.0,4:27,1.0,10.0,IND 49,30.0,28.0,Pierre Strong left end for 8 yards (tackle by Zaire Franklin and DeForest Buckner),2.32,2.86,7.0,2023,95
3.0,3:46,2.0,2.0,IND 41,30.0,28.0,Jerome Ford up the middle for no gain (tackle by Kwity Paye and E.J. Speed),2.86,2.15,7.0,2023,95
3.0,3:07,3.0,2.0,IND 41,30.0,28.0,Kareem Hunt left guard for no gain (tackle by E.J. Speed and Tyquan Lewis),2.15,0.53,7.0,2023,95
3.0,2:24,4.0,2.0,IND 41,30.0,28.0,"P.J. Walker aborted snap, recovered by Jerome Ford at CLE-46 (tackle by Julian Blackmon)",0.53,-2.26,7.0,2023,95
3.0,2:18,1.0,10.0,IND 50,30.0,28.0,Zack Moss right tackle for 3 yards (tackle by Tony Fields),2.26,2.12,7.0,2023,95
3.0,1:49,2.0,7.0,CLE 47,30.0,28.0,Zack Moss right tackle for -1 yards (tackle by Myles Garrett),2.12,1.29,7.0,2023,95
3.0,1:08,3.0,8.0,CLE 48,30.0,28.0,"Gardner Minshew pass complete deep left to Alec Pierce for 32 yards (tackle by Rodney McLeod). Penalty on Myles Garrett: Defensive Offside, 5 yards (declined)",1.29,4.51,7.0,2023,95
3.0,0:43,1.0,10.0,CLE 16,30.0,28.0,Jonathan Taylor up the middle for 1 yard (tackle by Dalvin Tomlinson),4.51,4.05,7.0,2023,95
4.0,15:00,2.0,9.0,CLE 15,30.0,28.0,Gardner Minshew pass incomplete short middle intended for Michael Pittman,4.05,3.22,7.0,2023,95
4.0,14:55,3.0,9.0,CLE 15,30.0,28.0,Gardner Minshew pass complete short left to Jonathan Taylor for 6 yards (tackle by Za'Darius Smith),3.22,2.93,7.0,2023,95
4.0,14:13,4.0,3.0,CLE 9,30.0,31.0,Matt Gay 27 yard field goal good,2.93,3.0,7.0,2023,95
4.0,14:09,,,IND 35,30.0,31.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,95
4.0,14:09,1.0,10.0,CLE 25,30.0,31.0,P.J. Walker pass complete short left to David Njoku for 17 yards (tackle by Shaquille Leonard),0.61,1.73,7.0,2023,95
4.0,13:29,1.0,10.0,CLE 42,30.0,31.0,Kareem Hunt right end for 5 yards (tackle by Zaire Franklin and Shaquille Leonard),1.73,1.86,7.0,2023,95
4.0,12:56,2.0,5.0,CLE 47,30.0,31.0,Pierre Strong left end for -1 yards (tackle by Julian Blackmon and Samson Ebukam),1.86,1.03,7.0,2023,95
4.0,12:14,3.0,6.0,CLE 46,30.0,31.0,P.J. Walker pass complete short right to Amari Cooper for 13 yards (tackle by Darrell Baker),1.03,2.85,7.0,2023,95
4.0,11:42,1.0,10.0,IND 41,30.0,31.0,Jerome Ford left end for -6 yards (tackle by Kenny Moore),2.85,1.5,7.0,2023,95
4.0,11:19,2.0,16.0,IND 47,30.0,31.0,P.J. Walker pass incomplete short left intended for Amari Cooper,1.5,0.83,7.0,2023,95
4.0,11:14,3.0,16.0,IND 47,30.0,31.0,P.J. Walker pass deep left intended for Amari Cooper is intercepted by Rodney Thomas at IND-2 and returned for no gain (tackle by Amari Cooper),0.83,0.38,7.0,2023,95
4.0,11:06,1.0,10.0,IND 2,30.0,31.0,Zack Moss up the middle for 1 yard (tackle by Anthony Walker and Myles Garrett),-0.38,-0.71,7.0,2023,95
4.0,10:29,2.0,9.0,IND 3,30.0,31.0,Zack Moss up the middle for 3 yards (tackle by Anthony Walker and Jordan Elliott),-0.71,-0.95,7.0,2023,95
4.0,9:44,3.0,6.0,IND 6,30.0,31.0,Zack Moss right guard for 1 yard (tackle by Anthony Walker and Maurice Hurst),-0.95,-2.49,7.0,2023,95
4.0,9:09,4.0,5.0,IND 7,30.0,31.0,"Rigoberto Sanchez punts 50 yards, fair catch by Donovan Peoples-Jones at CLE-43",-2.49,-1.8,7.0,2023,95
4.0,9:02,1.0,10.0,CLE 43,30.0,31.0,P.J. Walker scrambles right end for 4 yards (tackle by Kenny Moore),1.8,1.79,7.0,2023,95
4.0,8:22,2.0,6.0,CLE 47,30.0,31.0,P.J. Walker pass complete short left to Elijah Moore for 10 yards (tackle by Shaquille Leonard),1.79,2.72,7.0,2023,95
4.0,8:05,1.0,10.0,IND 43,30.0,31.0,Pierre Strong up the middle for 6 yards (tackle by Zaire Franklin and Kenny Moore),2.72,2.99,7.0,2023,95
4.0,7:21,2.0,4.0,IND 37,30.0,31.0,Pierre Strong right end for -3 yards (tackle by Dayo Odeyingbo),2.99,1.88,7.0,2023,95
4.0,6:39,3.0,7.0,IND 40,30.0,31.0,P.J. Walker pass incomplete deep right intended for Donovan Peoples-Jones,1.88,0.59,7.0,2023,95
4.0,6:38,4.0,7.0,IND 40,33.0,31.0,Dustin Hopkins 58 yard field goal good,0.59,3.0,7.0,2023,95
4.0,6:33,,,CLE 35,33.0,31.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,95
4.0,6:33,1.0,10.0,IND 25,33.0,31.0,Jonathan Taylor right tackle for no gain (tackle by Ogbonnia Okoronkwo),0.61,0.06,7.0,2023,95
4.0,5:50,2.0,10.0,IND 25,33.0,37.0,"Gardner Minshew pass complete short middle to Michael Pittman for 75 yards, touchdown",0.06,7.0,7.0,2023,95
4.0,5:38,,,CLE 21,33.0,37.0,"Penalty on Michael Pittman: Taunting / Offense, 15 yards (accepted) (no play)",0.0,0.0,7.0,2023,95
4.0,5:38,,,CLE 30,33.0,38.0,Matt Gay kicks extra point good,0.0,0.0,7.0,2023,95
4.0,5:38,,,IND 35,33.0,38.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,95
4.0,5:38,1.0,10.0,CLE 25,33.0,38.0,Kareem Hunt right end for 4 yards (tackle by Zaire Franklin),0.61,0.6,7.0,2023,95
