Quarter,Time,Down,ToGo,Location,NYJ,BUF,Detail,EPB,EPA,week,year,game_id
3.0,13:59,1.0,10.0,BUF 47,6.0,16.0,James Cook right end for 1 yard (tackle by Jamien Sherwood and Quincy Williams),2.06,1.65,11.0,2023,162
3.0,13:25,2.0,9.0,BUF 48,6.0,16.0,Josh Allen pass complete short right to James Cook for 15 yards (tackle by C.J. Mosley),1.65,3.12,11.0,2023,162
3.0,12:39,1.0,10.0,NYJ 37,6.0,16.0,Latavius Murray left guard for 4 yards (tackle by Quinton Jefferson),3.12,3.11,11.0,2023,162
3.0,12:03,2.0,6.0,NYJ 33,6.0,16.0,Ty Johnson left end for -6 yards (tackle by Will McDonald),3.11,1.62,11.0,2023,162
3.0,11:22,3.0,12.0,NYJ 39,6.0,16.0,Josh Allen pass complete short middle to Stefon Diggs for 11 yards (tackle by D.J. Reed),1.62,1.72,11.0,2023,162
3.0,10:41,4.0,1.0,NYJ 28,6.0,22.0,"Josh Allen pass complete short right to Ty Johnson for 28 yards, touchdown",1.72,7.0,11.0,2023,162
3.0,10:34,,,NYJ 15,6.0,22.0,Tyler Bass kicks extra point no good,0.0,-1.0,11.0,2023,162
3.0,10:34,,,BUF 35,6.0,22.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,162
3.0,10:34,1.0,10.0,NYJ 25,6.0,22.0,Breece Hall right guard for 2 yards (tackle by Terrel Bernard and Cameron Lewis),0.61,0.33,11.0,2023,162
3.0,9:55,2.0,8.0,NYJ 27,6.0,22.0,Zach Wilson sacked by Tyrel Dodson for no gain,0.33,-0.36,11.0,2023,162
3.0,9:20,3.0,8.0,NYJ 27,6.0,22.0,"Zach Wilson pass complete short right to Allen Lazard for no gain (tackle by Rasul Douglas). Penalty on Rasul Douglas: Defensive Pass Interference, 7 yards (accepted) (no play)",-0.36,1.2,11.0,2023,162
3.0,8:51,1.0,10.0,NYJ 34,6.0,22.0,Breece Hall left end for 7 yards (tackle by Cameron Lewis),1.2,1.6,11.0,2023,162
3.0,8:12,2.0,3.0,NYJ 41,6.0,22.0,Zach Wilson pass incomplete short left intended for Garrett Wilson,1.6,0.89,11.0,2023,162
3.0,8:07,3.0,3.0,NYJ 41,6.0,22.0,Zach Wilson up the middle for no gain (tackle by Ed Oliver),0.89,-0.65,11.0,2023,162
3.0,7:33,4.0,3.0,NYJ 41,6.0,22.0,"Thomas Morstead punts 55 yards, returned by Deonte Harty for 10 yards (tackle by C.J. Uzomah)",-0.65,0.28,11.0,2023,162
3.0,7:24,1.0,10.0,BUF 14,6.0,22.0,James Cook left guard for 5 yards (tackle by Tony Adams and Quinton Jefferson),-0.28,-0.04,11.0,2023,162
3.0,6:42,2.0,5.0,BUF 19,6.0,28.0,"Josh Allen pass complete deep right to Khalil Shakir for 81 yards, touchdown",-0.04,7.0,11.0,2023,162
3.0,6:29,,,NYJ 15,6.0,29.0,Tyler Bass kicks extra point good,0.0,0.0,11.0,2023,162
3.0,6:29,,,BUF 35,6.0,29.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,162
3.0,6:29,1.0,10.0,NYJ 25,6.0,29.0,Breece Hall left end for no gain (tackle by Rasul Douglas),0.61,0.06,11.0,2023,162
3.0,5:50,2.0,10.0,NYJ 25,6.0,29.0,Zach Wilson pass complete short middle to Tyler Conklin for 13 yards (tackle by Tyrel Dodson),0.06,1.47,11.0,2023,162
3.0,5:23,1.0,10.0,NYJ 38,6.0,29.0,Zach Wilson pass complete short left to Breece Hall for 1 yard (tackle by A.J. Epenesa and Tim Settle),1.47,1.06,11.0,2023,162
3.0,4:44,2.0,9.0,NYJ 39,6.0,29.0,Dalvin Cook right end for 3 yards (tackle by Terrel Bernard),1.06,0.76,11.0,2023,162
3.0,4:03,3.0,6.0,NYJ 42,6.0,29.0,Zach Wilson sacked by Ed Oliver for -7 yards,0.76,-1.04,11.0,2023,162
3.0,3:26,4.0,13.0,NYJ 35,6.0,29.0,"Thomas Morstead punts 40 yards, fair catch by Deonte Harty at BUF-25",-1.04,-0.61,11.0,2023,162
3.0,3:17,1.0,10.0,BUF 25,6.0,29.0,Josh Allen pass incomplete short left,0.61,0.06,11.0,2023,162
3.0,3:12,2.0,10.0,BUF 25,6.0,29.0,James Cook right guard for 2 yards (tackle by Bryce Huff and C.J. Mosley),0.06,-0.36,11.0,2023,162
3.0,2:28,,,,,,Timeout #1 by Buffalo Bills,,,11.0,2023,162
3.0,2:28,3.0,8.0,BUF 27,6.0,29.0,Josh Allen pass incomplete short left intended for Deonte Harty,-0.36,-1.57,11.0,2023,162
3.0,2:24,4.0,8.0,BUF 27,6.0,29.0,"Sam Martin punts 39 yards, fair catch by Xavier Gipson at NYJ-34",-1.57,-1.2,11.0,2023,162
3.0,2:17,1.0,10.0,NYJ 34,6.0,29.0,Breece Hall up the middle for 14 yards (tackle by Micah Hyde and Rasul Douglas),1.2,2.13,11.0,2023,162
3.0,1:33,1.0,10.0,NYJ 48,6.0,29.0,Breece Hall right guard for no gain (tackle by Christian Benford and Tyrel Dodson),2.13,1.58,11.0,2023,162
3.0,0:55,2.0,10.0,NYJ 48,6.0,29.0,Tim Boyle pass complete short left to Tyler Conklin for 5 yards (tackle by Terrel Bernard),1.58,1.55,11.0,2023,162
3.0,0:17,3.0,5.0,BUF 47,6.0,29.0,Tim Boyle pass complete short left to Garrett Wilson for 4 yards (tackle by Gregory Rousseau),1.55,0.4,11.0,2023,162
4.0,15:00,4.0,1.0,BUF 43,6.0,29.0,"Tim Boyle up the middle for 1 yard (tackle by Linval Joseph) Replay Assistant challenged the short of the line to gain ruling, and the play was upheld.",0.4,2.79,11.0,2023,162
4.0,14:20,1.0,10.0,BUF 42,6.0,29.0,"Tim Boyle pass complete short left to Garrett Wilson for 5 yards. Garrett Wilson fumbles (forced by Tyrel Dodson), recovered by Rasul Douglas at BUF-37 and returned for 2 yards (tackle by Carter Warren)",2.79,-1.53,11.0,2023,162
4.0,14:09,1.0,10.0,BUF 39,6.0,29.0,James Cook left end for 9 yards (tackle by D.J. Reed),1.53,2.2,11.0,2023,162
4.0,13:03,2.0,1.0,BUF 48,6.0,29.0,Latavius Murray right guard for 4 yards (tackle by Micheal Clemons),2.2,2.39,11.0,2023,162
4.0,12:21,1.0,10.0,NYJ 48,6.0,29.0,"Latavius Murray up the middle for 5 yards (tackle by Jermaine Johnson and Jordan Whitehead). Penalty on Dion Dawkins: Unnecessary Roughness / Offense, 15 yards (accepted)",2.39,0.5,11.0,2023,162
4.0,11:54,2.0,20.0,BUF 42,6.0,29.0,Josh Allen pass complete short left to Stefon Diggs for 2 yards (tackle by Brandin Echols),0.5,0.1,11.0,2023,162
4.0,11:12,3.0,18.0,BUF 44,6.0,29.0,"James Cook left end for 1 yard (tackle by Quincy Williams). Penalty on Dion Dawkins: Offensive Holding, 10 yards (declined)",0.1,-0.39,11.0,2023,162
4.0,10:49,4.0,17.0,BUF 45,6.0,29.0,Sam Martin punts 31 yards downed by Quintin Morris,-0.39,-0.54,11.0,2023,162
4.0,10:39,1.0,10.0,NYJ 24,6.0,29.0,Tim Boyle pass incomplete short right intended for Dalvin Cook,0.54,0.0,11.0,2023,162
4.0,10:36,2.0,10.0,NYJ 24,6.0,29.0,"Tim Boyle pass intended for Xavier Gipson is intercepted by Jordan Poyer at NYJ-39 and returned for 3 yards Replay Assistant challenged the pass interception ruling, and the original play was overturned. Tim Boyle pass incomplete short left intended for Xavier Gipson (defended by Cameron Lewis)",0.0,-0.69,11.0,2023,162
4.0,10:30,3.0,10.0,NYJ 24,6.0,29.0,Tim Boyle sacked by Leonard Floyd for -10 yards,-0.69,-2.47,11.0,2023,162
4.0,9:47,4.0,20.0,NYJ 14,6.0,29.0,"Thomas Morstead punts 55 yards, returned by Deonte Harty for 15 yards (tackle by Irvin Charles)",-2.47,-1.99,11.0,2023,162
4.0,9:33,1.0,10.0,BUF 46,6.0,29.0,Latavius Murray up the middle for 4 yards (tackle by D.J. Reed),1.99,1.99,11.0,2023,162
4.0,8:52,2.0,6.0,NYJ 50,6.0,29.0,Latavius Murray left guard for 4 yards (tackle by Quincy Williams),1.99,1.82,11.0,2023,162
4.0,8:11,3.0,2.0,NYJ 46,6.0,29.0,Latavius Murray right guard for 7 yards (tackle by Tony Adams),1.82,2.98,11.0,2023,162
4.0,7:29,1.0,10.0,NYJ 39,6.0,29.0,James Cook right tackle for 7 yards (tackle by Jordan Whitehead and Brandin Echols),2.98,3.39,11.0,2023,162
4.0,6:47,2.0,3.0,NYJ 32,6.0,29.0,James Cook right guard for 1 yard (tackle by Quinnen Williams and Quincy Williams),3.39,2.81,11.0,2023,162
4.0,6:00,3.0,2.0,NYJ 31,6.0,29.0,Latavius Murray up the middle for -1 yards (tackle by Micheal Clemons and Brandin Echols),2.81,1.29,11.0,2023,162
4.0,5:21,,,,,,Timeout #1 by New York Jets,,,11.0,2023,162
4.0,5:21,,,,,,Timeout #2 by Buffalo Bills,,,11.0,2023,162
4.0,5:21,4.0,3.0,NYJ 32,6.0,32.0,Tyler Bass 50 yard field goal good,1.29,3.0,11.0,2023,162
4.0,5:16,,,BUF 35,6.0,32.0,"Tyler Bass kicks off 63 yards, returned by Israel Abanikanda for 19 yards (tackle by Siran Neal)",0.0,0.34,11.0,2023,162
4.0,5:11,1.0,10.0,NYJ 21,6.0,32.0,Tim Boyle pass incomplete deep left intended for Garrett Wilson,0.34,-0.2,11.0,2023,162
4.0,5:06,2.0,10.0,NYJ 21,6.0,32.0,Israel Abanikanda left guard for 11 yards (tackle by Dorian Williams and Tyler Matakevich),-0.2,1.07,11.0,2023,162
4.0,4:45,1.0,10.0,NYJ 32,6.0,32.0,Tim Boyle pass complete short left to Jeremy Ruckert for 2 yards (tackle by Dorian Williams),1.07,0.8,11.0,2023,162
4.0,4:12,2.0,8.0,NYJ 34,6.0,32.0,Tim Boyle pass complete short middle to Jeremy Ruckert for 5 yards (tackle by Dorian Williams),0.8,0.76,11.0,2023,162
4.0,3:41,3.0,3.0,NYJ 39,6.0,32.0,Tim Boyle pass incomplete short middle intended for Garrett Wilson,0.76,-0.78,11.0,2023,162
4.0,3:36,4.0,3.0,NYJ 39,6.0,32.0,Tim Boyle pass complete short right to Xavier Gipson for 7 yards (tackle by Siran Neal),-0.78,1.99,11.0,2023,162
4.0,3:14,1.0,10.0,NYJ 46,6.0,32.0,Tim Boyle pass incomplete short right intended for Israel Abanikanda,1.99,1.45,11.0,2023,162
4.0,3:10,2.0,10.0,NYJ 46,6.0,32.0,Tim Boyle pass complete short right to Israel Abanikanda for 5 yards (tackle by Tyler Matakevich),1.45,1.42,11.0,2023,162
