Quarter,Time,Down,ToGo,Location,MIN,DEN,Detail,EPB,EPA,week,year,game_id
1.0,6:52,4.0,8.0,DEN 47,0.0,3.0,"Ryan Wright punts 47 yards, touchback.",0.13,-0.28,11.0,2023,163
1.0,6:43,1.0,10.0,DEN 20,0.0,3.0,Javonte Williams up the middle for 5 yards (tackle by Harrison Phillips and Ivan Pace),0.28,0.41,11.0,2023,163
1.0,5:59,2.0,5.0,DEN 25,0.0,3.0,Russell Wilson pass complete short left to Javonte Williams for 3 yards (tackle by Camryn Bynum and D.J. Wonnum),0.41,0.1,11.0,2023,163
1.0,5:18,3.0,2.0,DEN 28,0.0,3.0,Russell Wilson pass incomplete short left intended for Courtland Sutton,0.1,-1.5,11.0,2023,163
1.0,5:10,4.0,2.0,DEN 28,0.0,3.0,"Riley Dixon punts 49 yards, returned by Brandon Powell for 12 yards (tackle by Justin Strnad)",-1.5,-1.27,11.0,2023,163
1.0,5:01,1.0,10.0,MIN 35,0.0,3.0,Joshua Dobbs pass complete short right to Ty Chandler for 9 yards (tackle by Alex Singleton),1.27,1.94,11.0,2023,163
1.0,4:25,2.0,1.0,MIN 44,0.0,3.0,Ty Chandler left guard for 6 yards (tackle by Jonathon Cooper and Kareem Jackson),1.94,2.26,11.0,2023,163
1.0,3:54,1.0,10.0,MIN 50,0.0,3.0,Ty Chandler left tackle for 7 yards (tackle by Fabian Moreau and Jonathon Cooper),2.26,2.66,11.0,2023,163
1.0,3:22,2.0,3.0,DEN 43,0.0,3.0,Ty Chandler right tackle for 7 yards (tackle by Patrick Surtain),2.66,3.18,11.0,2023,163
1.0,2:46,1.0,10.0,DEN 36,0.0,3.0,Alexander Mattison up the middle for 3 yards (tackle by Josey Jewell),3.18,3.04,11.0,2023,163
1.0,2:12,2.0,7.0,DEN 33,0.0,3.0,Joshua Dobbs pass complete short left to Brandon Powell for 6 yards (tackle by Fabian Moreau),3.04,3.14,11.0,2023,163
1.0,1:42,3.0,1.0,DEN 27,0.0,3.0,Alexander Mattison left guard for 15 yards (tackle by Ja'Quan McMillian and Patrick Surtain),3.14,4.78,11.0,2023,163
1.0,0:55,1.0,10.0,DEN 12,0.0,3.0,Alexander Mattison right guard for 8 yards (tackle by D.J. Jones and Justin Simmons),4.78,5.6,11.0,2023,163
1.0,0:17,2.0,2.0,DEN 4,0.0,3.0,Alexander Mattison left tackle for 1 yard (tackle by Josey Jewell),5.6,5.06,11.0,2023,163
2.0,15:00,3.0,1.0,DEN 3,6.0,3.0,"Joshua Dobbs pass complete short right to Josh Oliver for 3 yards, touchdown",5.06,7.0,11.0,2023,163
2.0,14:53,,,DEN 15,7.0,3.0,Greg Joseph kicks extra point good,0.0,0.0,11.0,2023,163
2.0,14:53,,,MIN 35,7.0,3.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,163
2.0,14:53,1.0,10.0,DEN 25,7.0,3.0,Russell Wilson pass complete short right to Courtland Sutton for 5 yards (tackle by Mekhi Blackmon),0.61,0.74,11.0,2023,163
2.0,14:19,2.0,5.0,DEN 30,7.0,3.0,Javonte Williams right end for 2 yards (tackle by Harrison Smith and D.J. Wonnum),0.74,0.3,11.0,2023,163
2.0,13:34,3.0,3.0,DEN 32,7.0,3.0,Russell Wilson pass incomplete short right,0.3,-1.24,11.0,2023,163
2.0,13:27,4.0,3.0,DEN 32,7.0,3.0,"Riley Dixon punts 43 yards, returned by Brandon Powell for 4 yards (tackle by Delarrin Turner-Yell)",-1.24,-0.87,11.0,2023,163
2.0,13:17,1.0,10.0,MIN 29,7.0,3.0,Ty Chandler left tackle for 2 yards (tackle by D.J. Jones),0.87,0.6,11.0,2023,163
2.0,12:36,2.0,8.0,MIN 31,7.0,3.0,Joshua Dobbs pass complete short left to Brandon Powell for 22 yards (tackle by Patrick Surtain),0.6,2.46,11.0,2023,163
2.0,11:57,1.0,10.0,DEN 47,7.0,3.0,Ty Chandler right guard for 6 yards (tackle by Alex Singleton),2.46,2.72,11.0,2023,163
2.0,11:32,2.0,4.0,DEN 41,7.0,3.0,Ty Chandler right tackle for 2 yards (tackle by Jonathan Harris),2.72,2.28,11.0,2023,163
2.0,10:52,3.0,2.0,DEN 39,7.0,3.0,Joshua Dobbs pass complete deep right to T.J. Hockenson for 29 yards (tackle by Kareem Jackson),2.28,4.91,11.0,2023,163
2.0,10:07,1.0,10.0,DEN 10,7.0,3.0,Joshua Dobbs pass complete short middle to Ty Chandler for 7 yards (tackle by Kareem Jackson and Alex Singleton),4.91,5.53,11.0,2023,163
2.0,9:29,2.0,3.0,DEN 3,7.0,3.0,Alexander Mattison left guard for -2 yards (tackle by Jonathon Cooper and Jonathan Harris),5.53,4.26,11.0,2023,163
2.0,8:55,3.0,5.0,DEN 5,7.0,3.0,Joshua Dobbs sacked by Jonathon Cooper for -11 yards,4.26,2.38,11.0,2023,163
2.0,8:13,4.0,16.0,DEN 16,10.0,3.0,Greg Joseph 34 yard field goal good,2.38,3.0,11.0,2023,163
2.0,8:09,,,MIN 35,10.0,3.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,163
2.0,8:09,1.0,10.0,DEN 25,10.0,3.0,Russell Wilson pass complete deep right to Jerry Jeudy for 19 yards (tackle by Mekhi Blackmon),0.61,1.86,11.0,2023,163
2.0,7:32,1.0,10.0,DEN 44,10.0,3.0,Javonte Williams up the middle for 3 yards (tackle by Harrison Phillips and Ivan Pace),1.86,1.72,11.0,2023,163
2.0,6:54,2.0,7.0,DEN 47,10.0,3.0,Russell Wilson pass complete deep left to Courtland Sutton for 33 yards (tackle by Mekhi Blackmon),1.72,4.24,11.0,2023,163
2.0,6:13,1.0,10.0,MIN 20,10.0,3.0,Javonte Williams left tackle for 4 yards (tackle by Camryn Bynum),4.24,4.28,11.0,2023,163
2.0,5:38,2.0,6.0,MIN 16,10.0,3.0,Russell Wilson pass complete short right to Jaleel McLaughlin for -1 yards (tackle by Mekhi Blackmon),4.28,3.36,11.0,2023,163
2.0,4:54,3.0,7.0,MIN 17,10.0,3.0,Russell Wilson pass complete short left to Jerry Jeudy for 5 yards (tackle by Anthony Barr and Josh Metellus),3.36,2.76,11.0,2023,163
2.0,4:11,4.0,2.0,MIN 12,10.0,6.0,Wil Lutz 31 yard field goal good,2.76,3.0,11.0,2023,163
2.0,4:08,,,DEN 35,10.0,6.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,163
2.0,4:08,1.0,10.0,MIN 25,10.0,6.0,Alexander Mattison left guard for 2 yards (tackle by Zach Allen),0.61,0.33,11.0,2023,163
2.0,3:27,2.0,8.0,MIN 27,10.0,6.0,"Joshua Dobbs aborted snap, recovered by Joshua Dobbs at MIN-26 and returned for -1 yards",0.33,-0.49,11.0,2023,163
2.0,2:36,3.0,9.0,MIN 26,10.0,6.0,"Joshua Dobbs pass complete deep middle to Jordan Addison for 17 yards (tackle by Patrick Surtain). Penalty on Ja'Quan McMillian: Illegal Contact, 5 yards (declined)",-0.49,1.8,11.0,2023,163
2.0,2:28,1.0,10.0,MIN 43,10.0,6.0,"Joshua Dobbs pass complete short right to T.J. Hockenson for no gain (tackle by Jonathon Cooper). Penalty on Ed Ingram: Ineligible Downfield Pass, 5 yards (accepted) (no play)",1.8,1.47,11.0,2023,163
2.0,2:08,1.0,15.0,MIN 38,10.0,6.0,Joshua Dobbs pass complete short middle to T.J. Hockenson for 11 yards (tackle by Alex Singleton),1.47,2.06,11.0,2023,163
2.0,2:00,2.0,4.0,MIN 49,10.0,6.0,Alexander Mattison left guard for 3 yards (tackle by Alex Singleton),2.06,1.75,11.0,2023,163
2.0,1:24,3.0,1.0,DEN 48,10.0,6.0,Joshua Dobbs pass incomplete short left intended for Alexander Mattison,1.75,0.07,11.0,2023,163
2.0,1:19,4.0,1.0,DEN 48,10.0,6.0,"Ryan Wright punts 48 yards, touchback.",0.07,-0.28,11.0,2023,163
2.0,1:11,1.0,10.0,DEN 20,10.0,6.0,Russell Wilson pass complete short middle to Marvin Mims for 8 yards (tackle by Troy Dye),0.28,0.81,11.0,2023,163
2.0,0:53,2.0,2.0,DEN 28,10.0,6.0,Russell Wilson pass complete deep middle to Adam Trautman for 19 yards (tackle by Harrison Smith),0.81,2.06,11.0,2023,163
2.0,0:47,,,,,,Timeout #1 by Denver Broncos,,,11.0,2023,163
2.0,0:47,1.0,10.0,DEN 47,10.0,6.0,Russell Wilson pass complete short middle to Adam Trautman for 14 yards (tackle by Camryn Bynum),2.06,2.98,11.0,2023,163
2.0,0:24,1.0,10.0,MIN 39,10.0,6.0,Russell Wilson pass complete short middle to Samaje Perine for 5 yards (tackle by Ivan Pace and Josh Metellus),2.98,3.12,11.0,2023,163
2.0,0:17,,,,,,Timeout #2 by Denver Broncos,,,11.0,2023,163
2.0,0:17,2.0,5.0,MIN 34,10.0,6.0,Russell Wilson pass incomplete short right,3.12,2.41,11.0,2023,163
2.0,0:11,,,,,,Timeout #1 by Minnesota Vikings,,,11.0,2023,163
2.0,0:11,3.0,5.0,MIN 34,10.0,6.0,Russell Wilson pass incomplete deep middle intended for Jerry Jeudy (defended by Josh Metellus),2.41,1.07,11.0,2023,163
2.0,0:05,,,,,,Timeout #2 by Minnesota Vikings,,,11.0,2023,163
2.0,0:05,4.0,5.0,MIN 34,10.0,9.0,Wil Lutz 52 yard field goal good,1.07,3.0,11.0,2023,163
3.0,15:00,,,MIN 35,10.0,9.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,163
3.0,15:00,1.0,10.0,DEN 25,10.0,9.0,Javonte Williams right tackle for -1 yards (tackle by Harrison Phillips),0.61,-0.07,11.0,2023,163
3.0,14:22,2.0,11.0,DEN 24,10.0,9.0,"Russell Wilson pass complete short left to Marvin Mims for 4 yards (tackle by Harrison Smith). Penalty on Nate Adkins: Offensive Holding, 10 yards (accepted)",-0.07,-0.98,11.0,2023,163
3.0,13:58,2.0,17.0,DEN 18,10.0,9.0,Russell Wilson pass complete short left to Jaleel McLaughlin for -3 yards (tackle by Danielle Hunter),-0.98,-2.35,11.0,2023,163
3.0,13:17,3.0,20.0,DEN 15,10.0,9.0,Russell Wilson pass complete short right to Samaje Perine for 8 yards (tackle by Mekhi Blackmon and Theo Jackson),-2.35,-1.83,11.0,2023,163
3.0,12:41,4.0,12.0,DEN 23,10.0,9.0,"Riley Dixon punts 57 yards, returned by Brandon Powell for 11 yards (tackle by Delarrin Turner-Yell)",-1.83,-1.0,11.0,2023,163
3.0,12:33,1.0,10.0,MIN 31,10.0,9.0,Alexander Mattison left guard for 9 yards (tackle by Kareem Jackson and Alex Singleton),1.0,1.68,11.0,2023,163
3.0,11:58,2.0,1.0,MIN 40,10.0,9.0,Joshua Dobbs pass complete deep right to Jordan Addison for 18 yards (tackle by Justin Simmons),1.68,2.79,11.0,2023,163
3.0,11:20,1.0,10.0,DEN 42,10.0,9.0,Alexander Mattison left tackle for 7 yards (tackle by Alex Singleton),2.79,3.19,11.0,2023,163
3.0,10:54,2.0,3.0,DEN 35,10.0,9.0,Alexander Mattison left tackle for 7 yards (tackle by Kareem Jackson),3.19,3.71,11.0,2023,163
3.0,10:11,1.0,10.0,DEN 28,10.0,9.0,Joshua Dobbs pass complete short right to Ty Chandler for 2 yards (tackle by Josey Jewell),3.71,3.44,11.0,2023,163
3.0,9:25,2.0,8.0,DEN 26,10.0,9.0,"Penalty on Brandon Powell: False Start, 5 yards (accepted) (no play)",3.44,2.76,11.0,2023,163
3.0,9:09,2.0,13.0,DEN 31,10.0,9.0,Joshua Dobbs pass incomplete deep left intended for Jordan Addison,2.76,2.08,11.0,2023,163
3.0,9:03,3.0,13.0,DEN 31,10.0,9.0,"Joshua Dobbs pass deep left is intercepted by Patrick Surtain at DEN-15 and returned for no gain (tackle by Ty Chandler). Penalty on Patrick Surtain: Defensive Pass Interference, 19 yards (accepted) (no play)",2.08,4.78,11.0,2023,163
3.0,8:46,1.0,10.0,DEN 12,10.0,9.0,Alexander Mattison up the middle for 2 yards (tackle by Matt Henningsen),4.78,4.45,11.0,2023,163
3.0,8:06,2.0,8.0,DEN 10,10.0,9.0,Joshua Dobbs pass incomplete short middle intended for Jordan Addison,4.45,3.48,11.0,2023,163
3.0,8:01,3.0,8.0,DEN 10,16.0,9.0,"Joshua Dobbs scrambles left end for 10 yards, touchdown",3.48,7.0,11.0,2023,163
3.0,7:55,,,DEN 15,17.0,9.0,Greg Joseph kicks extra point good,0.0,0.0,11.0,2023,163
3.0,7:55,,,MIN 35,17.0,9.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,163
3.0,7:55,1.0,10.0,DEN 25,17.0,9.0,Russell Wilson pass complete short left to Jaleel McLaughlin for 1 yard (tackle by Harrison Smith),0.61,0.2,11.0,2023,163
3.0,7:21,2.0,9.0,DEN 26,17.0,9.0,Javonte Williams right end for 6 yards (tackle by Danielle Hunter and Harrison Smith),0.2,0.3,11.0,2023,163
3.0,6:38,3.0,3.0,DEN 32,17.0,9.0,Russell Wilson pass incomplete deep left intended for Marvin Mims,0.3,-1.24,11.0,2023,163
3.0,6:31,4.0,3.0,DEN 32,17.0,9.0,"Riley Dixon punts 68 yards, touchback.",-1.24,-0.28,11.0,2023,163
3.0,6:23,1.0,10.0,MIN 20,17.0,9.0,Ty Chandler up the middle for 5 yards (tackle by Zach Allen),0.28,0.41,11.0,2023,163
3.0,5:42,2.0,5.0,MIN 25,17.0,9.0,Joshua Dobbs pass complete deep middle to Josh Oliver for 29 yards (tackle by Kareem Jackson),0.41,2.52,11.0,2023,163
3.0,5:01,1.0,10.0,DEN 46,17.0,9.0,Ty Chandler right tackle for 7 yards (tackle by Josey Jewell),2.52,2.92,11.0,2023,163
3.0,4:21,2.0,3.0,DEN 39,17.0,9.0,Joshua Dobbs scrambles right guard for 1 yard (tackle by Matt Henningsen),2.92,2.35,11.0,2023,163
3.0,3:37,3.0,2.0,DEN 38,17.0,9.0,Joshua Dobbs pass complete short middle to Brandon Powell for 4 yards (tackle by Kareem Jackson),2.35,3.31,11.0,2023,163
3.0,2:51,1.0,10.0,DEN 34,17.0,9.0,"Alexander Mattison up the middle for no gain. Alexander Mattison fumbles (forced by D.J. Jones), recovered by Josey Jewell at DEN-34. Penalty on Dalton Risner: Offensive Holding, 10 yards (declined)",3.31,-1.2,11.0,2023,163
3.0,2:48,1.0,10.0,DEN 34,17.0,9.0,Javonte Williams right end for 15 yards (tackle by Camryn Bynum),1.2,2.19,11.0,2023,163
3.0,2:08,1.0,10.0,DEN 49,17.0,9.0,Russell Wilson pass complete short left to Jerry Jeudy for 19 yards (tackle by Mekhi Blackmon and Camryn Bynum),2.19,3.45,11.0,2023,163
3.0,1:30,1.0,10.0,MIN 32,17.0,9.0,Jaleel McLaughlin left tackle for 1 yard (tackle by Jonathan Bullard and Harrison Phillips),3.45,3.04,11.0,2023,163
3.0,0:52,2.0,9.0,MIN 31,17.0,9.0,Russell Wilson pass complete short right to Jaleel McLaughlin for 8 yards (tackle by Ivan Pace),3.04,3.4,11.0,2023,163
3.0,0:13,3.0,1.0,MIN 23,17.0,9.0,Russell Wilson right guard for 2 yards (tackle by Khyiris Tonga),3.4,4.17,11.0,2023,163
4.0,15:00,1.0,10.0,MIN 21,17.0,9.0,Russell Wilson pass complete short left to Jerry Jeudy for 9 yards (tackle by Mekhi Blackmon),4.17,5.16,11.0,2023,163
4.0,14:23,2.0,1.0,MIN 12,17.0,9.0,Javonte Williams right guard for no gain (tackle by Khyiris Tonga),5.16,4.49,11.0,2023,163
4.0,13:44,3.0,1.0,MIN 12,17.0,9.0,"Russell Wilson right guard for no gain (tackle by Harrison Phillips). Penalty on Garett Bolles: Illegal Formation, 4 yards (accepted) (no play)",4.49,3.63,11.0,2023,163
4.0,13:22,3.0,5.0,MIN 16,17.0,9.0,Russell Wilson sacked by D.J. Wonnum for -3 yards,3.63,2.18,11.0,2023,163
4.0,12:44,4.0,8.0,MIN 19,17.0,12.0,Wil Lutz 37 yard field goal good,2.18,3.0,11.0,2023,163
4.0,12:40,,,DEN 35,17.0,12.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,163
4.0,12:40,1.0,10.0,MIN 25,17.0,12.0,"Joshua Dobbs pass incomplete short right intended for Ty Chandler. Penalty on K.J. Osborn: Offensive Pass Interference, 10 yards (accepted) (no play)",0.61,-0.41,11.0,2023,163
4.0,12:37,1.0,20.0,MIN 15,17.0,12.0,Joshua Dobbs pass short right intended for Brandon Powell is intercepted by Ja'Quan McMillian at MIN-18 and returned for 9 yards (tackle by Ty Chandler),-0.41,-5.14,11.0,2023,163
4.0,12:30,1.0,9.0,MIN 9,17.0,12.0,Javonte Williams right tackle for 1 yard (tackle by Ivan Pace and Camryn Bynum),5.14,4.57,11.0,2023,163
4.0,11:53,2.0,8.0,MIN 8,17.0,12.0,"Russell Wilson pass complete short left to Marvin Mims for no gain (tackle by Mekhi Blackmon). Penalty on Marvin Mims: Offensive Facemask, 15 yards (accepted) (no play)",4.57,2.6,11.0,2023,163
4.0,11:30,2.0,23.0,MIN 23,17.0,12.0,Russell Wilson pass complete short left to Javonte Williams for 13 yards (tackle by Byron Murphy and Theo Jackson),2.6,3.13,11.0,2023,163
4.0,10:45,3.0,10.0,MIN 10,17.0,12.0,Russell Wilson pass incomplete short left intended for Jerry Jeudy (defended by Joejuan Williams),3.13,2.76,11.0,2023,163
4.0,10:40,4.0,10.0,MIN 10,17.0,15.0,Wil Lutz 28 yard field goal good,2.76,3.0,11.0,2023,163
4.0,10:37,,,DEN 35,17.0,15.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,163
4.0,10:37,1.0,10.0,MIN 25,17.0,15.0,Alexander Mattison left end for 5 yards (tackle by Fabian Moreau and Alex Singleton),0.61,0.74,11.0,2023,163
4.0,10:03,2.0,5.0,MIN 30,17.0,15.0,Alexander Mattison up the middle for 1 yard (tackle by Ja'Quan McMillian and Josey Jewell),0.74,0.17,11.0,2023,163
4.0,9:32,3.0,4.0,MIN 31,17.0,15.0,Joshua Dobbs pass incomplete short middle intended for Jordan Addison (defended by Patrick Surtain),0.17,-1.31,11.0,2023,163
4.0,9:25,4.0,4.0,MIN 31,17.0,15.0,Ty Chandler right end for 31 yards (tackle by Riley Moss and Damarri Mathis),-1.31,3.05,11.0,2023,163
4.0,8:31,1.0,10.0,DEN 38,17.0,15.0,"Alexander Mattison left end for no gain (tackle by Jonathon Cooper). Penalty on Dalton Risner: Offensive Holding, 10 yards (accepted) (no play)",3.05,2.39,11.0,2023,163
4.0,8:17,1.0,20.0,DEN 48,17.0,15.0,Joshua Dobbs pass complete short left to Alexander Mattison for -1 yards (tackle by Zach Allen and Jonathan Harris),2.39,1.02,11.0,2023,163
4.0,7:47,2.0,21.0,DEN 49,17.0,15.0,Joshua Dobbs scrambles left end for 1 yard (tackle by Baron Browning),1.02,0.5,11.0,2023,163
4.0,7:13,3.0,20.0,DEN 48,17.0,15.0,"Joshua Dobbs pass complete short left to Ty Chandler for 22 yards (tackle by Alex Singleton) DEN challenged the first down ruling, and the original play was overturned. Joshua Dobbs pass complete short left to Ty Chandler for 19 yards (tackle by Alex Singleton)",0.5,1.62,11.0,2023,163
4.0,6:55,4.0,1.0,DEN 29,17.0,15.0,Joshua Dobbs up the middle for 2 yards (tackle by Alex Singleton),1.62,3.78,11.0,2023,163
4.0,6:14,1.0,10.0,DEN 27,17.0,15.0,Joshua Dobbs pass complete short middle to T.J. Hockenson for 4 yards (tackle by Josey Jewell),3.78,3.77,11.0,2023,163
4.0,5:31,2.0,6.0,DEN 23,17.0,15.0,Joshua Dobbs pass complete short left to T.J. Hockenson for 11 yards (tackle by Justin Simmons),3.77,4.78,11.0,2023,163
4.0,4:47,1.0,10.0,DEN 12,17.0,15.0,Alexander Mattison right tackle for no gain (tackle by Kareem Jackson and Zach Allen),4.78,4.1,11.0,2023,163
4.0,4:08,2.0,10.0,DEN 12,17.0,15.0,Ty Chandler left tackle for no gain (tackle by Jonathan Harris and Alex Singleton),4.1,3.12,11.0,2023,163
4.0,3:26,3.0,10.0,DEN 12,17.0,15.0,Joshua Dobbs pass incomplete short right,3.12,2.63,11.0,2023,163
4.0,3:20,4.0,10.0,DEN 12,20.0,15.0,Greg Joseph 30 yard field goal good,2.63,3.0,11.0,2023,163
4.0,3:17,,,MIN 35,20.0,15.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,163
4.0,3:17,1.0,10.0,DEN 25,20.0,15.0,Javonte Williams left end for no gain (tackle by D.J. Wonnum),0.61,0.06,11.0,2023,163
4.0,3:12,2.0,10.0,DEN 25,20.0,15.0,Russell Wilson pass incomplete deep right intended for Lil'Jordan Humphrey,0.06,-0.62,11.0,2023,163
4.0,3:07,3.0,10.0,DEN 25,20.0,15.0,Samaje Perine right guard for 7 yards (tackle by Patrick Jones),-0.62,-1.24,11.0,2023,163
4.0,2:27,4.0,3.0,DEN 32,20.0,15.0,"Russell Wilson pass complete short left to Courtland Sutton for 13 yards (tackle by Ivan Pace). Penalty on Ivan Pace: Defensive Pass Interference, 14 yards (declined)",-1.24,1.93,11.0,2023,163
4.0,2:19,1.0,10.0,DEN 45,20.0,15.0,Russell Wilson pass complete short middle to Samaje Perine for 10 yards (tackle by Josh Metellus),1.93,2.59,11.0,2023,163
4.0,2:00,1.0,10.0,MIN 45,20.0,15.0,Russell Wilson pass complete short middle to Samaje Perine for 17 yards (tackle by Josh Metellus and Camryn Bynum),2.59,3.71,11.0,2023,163
4.0,1:31,1.0,10.0,MIN 28,20.0,15.0,Russell Wilson pass complete short right to Samaje Perine for 6 yards (tackle by Ivan Pace). Samaje Perine fumbles (forced by Ivan Pace),3.71,3.98,11.0,2023,163
4.0,1:21,,,,,,Timeout #1 by Denver Broncos,,,11.0,2023,163
4.0,1:21,2.0,4.0,MIN 22,20.0,15.0,Russell Wilson pass incomplete deep left,3.98,3.27,11.0,2023,163
4.0,1:15,3.0,4.0,MIN 22,20.0,15.0,Russell Wilson pass complete short right to Samaje Perine for 7 yards (tackle by Joejuan Williams),3.27,4.58,11.0,2023,163
4.0,1:09,1.0,10.0,MIN 15,20.0,21.0,"Russell Wilson pass complete short left to Courtland Sutton for 15 yards, touchdown",4.58,7.0,11.0,2023,163
4.0,1:03,,,,,,Timeout #2 by Denver Broncos,,,11.0,2023,163
4.0,1:03,,,MIN 2,20.0,21.0,"Two Point Attempt: Javonte Williams rushes, conversion fails.",1.0,-1.0,11.0,2023,163
4.0,1:03,,,DEN 35,20.0,21.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,163
4.0,1:03,1.0,10.0,MIN 25,20.0,21.0,Joshua Dobbs pass incomplete short right intended for T.J. Hockenson (defended by Justin Simmons),0.61,0.06,11.0,2023,163
4.0,0:58,2.0,10.0,MIN 25,20.0,21.0,Joshua Dobbs pass complete short left to Jordan Addison for 9 yards,0.06,0.56,11.0,2023,163
4.0,0:54,3.0,1.0,MIN 34,20.0,21.0,Joshua Dobbs sacked by Baron Browning for no gain,0.56,-1.11,11.0,2023,163
4.0,0:43,,,,,,Timeout #1 by Minnesota Vikings,,,11.0,2023,163
4.0,0:43,4.0,1.0,MIN 34,20.0,21.0,Joshua Dobbs up the middle for 2 yards (tackle by Alex Singleton),-1.11,1.33,11.0,2023,163
4.0,0:41,,,,,,Timeout #2 by Minnesota Vikings,,,11.0,2023,163
4.0,0:41,1.0,10.0,MIN 36,20.0,21.0,Joshua Dobbs pass incomplete short right intended for T.J. Hockenson (defended by Justin Simmons),1.33,0.79,11.0,2023,163
4.0,0:36,2.0,10.0,MIN 36,20.0,21.0,Joshua Dobbs pass incomplete short right,0.79,0.1,11.0,2023,163
4.0,0:28,3.0,10.0,MIN 36,20.0,21.0,"Joshua Dobbs pass incomplete short right. Penalty on Joshua Dobbs: Intentional Grounding, 15 yards (accepted)",0.1,-1.96,11.0,2023,163
4.0,0:21,,,,,,Timeout #3 by Minnesota Vikings,,,11.0,2023,163
4.0,0:21,4.0,25.0,MIN 21,20.0,21.0,Joshua Dobbs pass incomplete deep middle intended for K.J. Osborn,-1.96,-4.17,11.0,2023,163
4.0,0:16,1.0,10.0,MIN 21,20.0,21.0,Russell Wilson kneels for -1 yards,4.17,3.49,11.0,2023,163
