Quarter,Time,Down,ToGo,Location,ARI,HOU,Detail,EPB,EPA,week,year,game_id
2.0,11:20,1.0,10.0,ARI 25,10.0,14.0,Kyler Murray pass deep left intended for Marquise Brown is intercepted by Derek Stingley at HOU-25 and returned for no gain (tackle by Marquise Brown),0.61,-0.61,11.0,2023,158
2.0,11:12,1.0,10.0,HOU 25,10.0,14.0,C.J. Stroud pass complete deep middle to Tank Dell for 16 yards (tackle by Antonio Hamilton),0.61,1.66,11.0,2023,158
2.0,10:36,1.0,10.0,HOU 41,10.0,14.0,Devin Singletary left tackle for 1 yard (tackle by Roy Lopez and Phil Hoskins),1.66,1.26,11.0,2023,158
2.0,10:06,2.0,9.0,HOU 42,10.0,14.0,C.J. Stroud pass complete short middle to John Metchie for 12 yards (tackle by Jalen Thompson),1.26,2.52,11.0,2023,158
2.0,9:29,1.0,10.0,ARI 46,10.0,14.0,Devin Singletary right tackle for 2 yards (tackle by Dennis Gardeck and Dante Stills),2.52,2.25,11.0,2023,158
2.0,8:49,2.0,8.0,ARI 44,10.0,14.0,C.J. Stroud pass complete short right to Tank Dell for 16 yards (tackle by Josh Woods),2.25,3.71,11.0,2023,158
2.0,8:18,1.0,10.0,ARI 28,10.0,14.0,C.J. Stroud pass incomplete deep right intended for Robert Woods,3.71,3.17,11.0,2023,158
2.0,8:10,2.0,10.0,ARI 28,10.0,14.0,Devin Singletary up the middle for 9 yards (tackle by Josh Woods and Kevin Strong),3.17,3.72,11.0,2023,158
2.0,7:41,3.0,1.0,ARI 19,10.0,14.0,C.J. Stroud pass complete short middle to Nico Collins for 8 yards (tackle by Budda Baker),3.72,4.84,11.0,2023,158
2.0,7:00,1.0,10.0,ARI 11,10.0,14.0,Devin Singletary left tackle for -1 yards (tackle by Leki Fotu and Roy Lopez),4.84,3.98,11.0,2023,158
2.0,6:15,,,,,,Timeout #1 by Houston Texans,,,11.0,2023,158
2.0,6:15,2.0,11.0,ARI 12,10.0,14.0,C.J. Stroud pass short middle intended for Nico Collins is intercepted by Jalen Thompson in end zone and returned for no gain,3.98,-0.28,11.0,2023,158
2.0,6:10,1.0,10.0,ARI 20,10.0,14.0,James Conner right guard for 2 yards (tackle by Jerry Hughes and Blake Cashman),0.28,0.0,11.0,2023,158
2.0,5:31,2.0,8.0,ARI 22,10.0,14.0,James Conner right tackle for 3 yards (tackle by Tavierre Thomas),0.0,-0.3,11.0,2023,158
2.0,4:53,3.0,5.0,ARI 25,10.0,14.0,Kyler Murray pass complete short left to Trey McBride for 6 yards (tackle by Blake Cashman),-0.3,1.0,11.0,2023,158
2.0,4:19,1.0,10.0,ARI 31,10.0,14.0,Marquise Brown right end for -6 yards (tackle by Jalen Pitre),1.0,-0.35,11.0,2023,158
2.0,3:45,2.0,16.0,ARI 25,10.0,14.0,Kyler Murray pass complete short left to Trey McBride for 6 yards (tackle by Blake Cashman),-0.35,-0.23,11.0,2023,158
2.0,3:02,3.0,10.0,ARI 31,10.0,14.0,Kyler Murray sacked by Blake Cashman for -8 yards,-0.23,-1.83,11.0,2023,158
2.0,2:23,4.0,18.0,ARI 23,10.0,14.0,"Blake Gillikin punts 59 yards, returned by Steven Sims for 8 yards (tackle by Dennis Gardeck)",-1.83,-0.67,11.0,2023,158
2.0,2:15,1.0,10.0,HOU 26,10.0,14.0,Devin Singletary up the middle for 3 yards (tackle by Phil Hoskins),0.67,0.54,11.0,2023,158
2.0,2:00,2.0,7.0,HOU 29,10.0,14.0,Devin Singletary up the middle for 6 yards (tackle by Zaven Collins and Marco Wilson),0.54,0.63,11.0,2023,158
2.0,1:24,3.0,1.0,HOU 35,10.0,14.0,C.J. Stroud pass complete short right to Tank Dell for 6 yards (tackle by Marco Wilson),0.63,1.66,11.0,2023,158
2.0,0:55,1.0,10.0,HOU 41,10.0,14.0,C.J. Stroud pass complete short left to Nico Collins for 7 yards (tackle by Starling Thomas),1.66,2.07,11.0,2023,158
2.0,0:39,2.0,3.0,HOU 48,10.0,14.0,C.J. Stroud pass complete short middle to Dalton Schultz for 12 yards (tackle by Krys Barnes),2.07,2.92,11.0,2023,158
2.0,0:34,,,,,,Timeout #2 by Houston Texans,,,11.0,2023,158
