Quarter,Time,Down,ToGo,Location,NYG,WAS,Detail,EPB,EPA,week,year,game_id
1.0,2:20,3.0,5.0,NYG 5,7.0,0.0,Sam Howell pass incomplete short right intended for Curtis Samuel (defended by Kayvon Thibodeaux),4.26,3.01,11.0,2023,159
1.0,2:15,4.0,5.0,NYG 5,7.0,3.0,Joey Slye 23 yard field goal good,3.01,3.0,11.0,2023,159
1.0,2:12,,,WAS 35,7.0,3.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,159
1.0,2:12,1.0,10.0,NYG 25,7.0,3.0,Tommy DeVito sacked by David Mayo for -1 yards,0.61,-0.07,11.0,2023,159
1.0,1:28,2.0,11.0,NYG 24,7.0,3.0,Saquon Barkley left end for -2 yards (tackle by Jamin Davis),-0.07,-1.02,11.0,2023,159
1.0,0:47,3.0,13.0,NYG 22,7.0,3.0,Tommy DeVito sacked by and Daron Payne for -5 yards and K.J. Henry for -5 yards,-1.02,-2.32,11.0,2023,159
1.0,0:14,4.0,18.0,NYG 17,7.0,3.0,"Jamie Gillan punts 54 yards, returned by Jamison Crowder for -3 yards (tackle by Darnay Holmes)",-2.32,-0.67,11.0,2023,159
1.0,0:04,1.0,10.0,WAS 26,7.0,3.0,Sam Howell pass complete short left to Curtis Samuel for 5 yards,0.67,0.81,11.0,2023,159
2.0,15:00,2.0,5.0,WAS 31,7.0,3.0,Brian Robinson left tackle for 3 yards (tackle by Kayvon Thibodeaux and A'Shawn Robinson),0.81,0.5,11.0,2023,159
2.0,14:25,3.0,2.0,WAS 34,7.0,3.0,Brian Robinson left end for no gain (tackle by A'Shawn Robinson),0.5,-1.11,11.0,2023,159
2.0,13:51,4.0,2.0,WAS 34,7.0,3.0,"Tress Way punts 50 yards, returned by Gunner Olszewski for 9 yards (tackle by Terrell Burgess)",-1.11,-0.61,11.0,2023,159
2.0,13:42,1.0,10.0,NYG 25,7.0,3.0,Tommy DeVito pass complete short left to Saquon Barkley for 7 yards (tackle by Jamin Davis),0.61,1.01,11.0,2023,159
2.0,13:18,2.0,3.0,NYG 32,7.0,3.0,Tommy DeVito pass complete short right to Darius Slayton for 10 yards (tackle by Emmanuel Forbes),1.01,1.73,11.0,2023,159
2.0,12:52,1.0,10.0,NYG 42,7.0,3.0,Tommy DeVito pass incomplete short left intended for Saquon Barkley,1.73,1.19,11.0,2023,159
2.0,12:46,2.0,10.0,NYG 42,7.0,3.0,Tommy DeVito pass complete short middle to Isaiah Hodgins for 16 yards (tackle by Emmanuel Forbes and Percy Butler),1.19,2.79,11.0,2023,159
2.0,12:13,1.0,10.0,WAS 42,7.0,3.0,Tommy DeVito pass complete short middle to Daniel Bellinger for 6 yards (tackle by David Mayo),2.79,3.05,11.0,2023,159
2.0,11:44,2.0,4.0,WAS 36,7.0,3.0,Saquon Barkley left tackle for 2 yards (tackle by K.J. Henry and John Ridgeway),3.05,2.61,11.0,2023,159
2.0,11:04,3.0,2.0,WAS 34,7.0,3.0,Matt Breida left guard for no gain (tackle by K.J. Henry and Kamren Curl),2.61,1.1,11.0,2023,159
2.0,10:18,,,,,,Timeout #1 by New York Giants,,,11.0,2023,159
2.0,10:18,4.0,2.0,WAS 34,7.0,3.0,Tommy DeVito pass incomplete short left intended for Isaiah Hodgins,1.1,-1.27,11.0,2023,159
2.0,10:11,1.0,10.0,WAS 35,7.0,3.0,Brian Robinson right tackle for 2 yards (tackle by Dexter Lawrence),1.27,0.99,11.0,2023,159
2.0,9:34,2.0,8.0,WAS 37,7.0,3.0,Sam Howell pass incomplete deep right intended for Terry McLaurin (defended by Jason Pinnock),0.99,0.3,11.0,2023,159
2.0,9:29,3.0,8.0,WAS 37,7.0,3.0,Sam Howell sacked by Dexter Lawrence for -8 yards,0.3,-1.44,11.0,2023,159
2.0,8:53,4.0,16.0,WAS 29,7.0,3.0,"Tress Way punts 40 yards, returned by Gunner Olszewski for 7 yards (tackle by Terrell Burgess)",-1.44,-1.47,11.0,2023,159
2.0,8:43,1.0,10.0,NYG 38,7.0,3.0,Tommy DeVito pass incomplete short right intended for Matt Breida (defended by K.J. Henry),1.47,0.92,11.0,2023,159
2.0,8:39,2.0,10.0,NYG 38,7.0,3.0,Wan'Dale Robinson left end for 2 yards (tackle by Percy Butler and Benjamin St-Juste),0.92,0.5,11.0,2023,159
2.0,8:01,3.0,8.0,NYG 40,7.0,3.0,Tommy DeVito pass complete short left to Wan'Dale Robinson for 11 yards (tackle by Danny Johnson),0.5,2.32,11.0,2023,159
2.0,7:26,1.0,10.0,WAS 49,7.0,3.0,Tommy DeVito pass complete short left to Jalin Hyatt for 7 yards (tackle by Danny Johnson),2.32,2.73,11.0,2023,159
2.0,6:52,2.0,3.0,WAS 42,7.0,3.0,Saquon Barkley left guard for 2 yards (tackle by Jamin Davis and David Mayo),2.73,2.28,11.0,2023,159
2.0,6:06,3.0,1.0,WAS 40,13.0,3.0,"Tommy DeVito pass complete deep left to Darius Slayton for 40 yards, touchdown",2.28,7.0,11.0,2023,159
2.0,5:58,,,WAS 15,14.0,3.0,Randy Bullock kicks extra point good,0.0,0.0,11.0,2023,159
2.0,5:58,,,NYG 35,14.0,3.0,"Randy Bullock kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,159
2.0,5:58,1.0,10.0,WAS 25,14.0,3.0,Brian Robinson right end for 4 yards (tackle by Micah McFadden),0.61,0.6,11.0,2023,159
2.0,5:20,2.0,6.0,WAS 29,14.0,3.0,Brian Robinson right end for 6 yards (tackle by Tre Hawkins and Bobby Okereke),0.6,1.27,11.0,2023,159
2.0,4:40,1.0,10.0,WAS 35,14.0,3.0,Sam Howell pass complete short right to Terry McLaurin for 8 yards (tackle by Tre Hawkins),1.27,1.8,11.0,2023,159
2.0,4:07,2.0,2.0,WAS 43,14.0,3.0,Chris Rodriguez left tackle for 4 yards (tackle by Xavier McKinney),1.8,2.06,11.0,2023,159
2.0,3:31,1.0,10.0,WAS 47,14.0,3.0,Chris Rodriguez up the middle for 9 yards (tackle by Tre Hawkins and Xavier McKinney),2.06,2.73,11.0,2023,159
2.0,2:54,2.0,1.0,NYG 44,14.0,3.0,Sam Howell pass complete short right to John Bates for 8 yards (tackle by Dane Belton),2.73,3.18,11.0,2023,159
2.0,2:15,1.0,10.0,NYG 36,14.0,3.0,Brian Robinson right tackle for 11 yards (tackle by Xavier McKinney),3.18,3.91,11.0,2023,159
2.0,2:00,1.0,10.0,NYG 25,14.0,3.0,Sam Howell pass complete short right to Brian Robinson for 7 yards (tackle by Bobby Okereke),3.91,4.37,11.0,2023,159
2.0,1:53,2.0,3.0,NYG 18,14.0,3.0,Sam Howell pass incomplete deep right,4.37,3.66,11.0,2023,159
2.0,1:47,3.0,3.0,NYG 18,14.0,3.0,Sam Howell pass complete short middle to Terry McLaurin for 11 yards (tackle by Xavier McKinney),3.66,5.6,11.0,2023,159
2.0,1:42,,,,,,Timeout #2 by New York Giants,,,11.0,2023,159
2.0,1:42,1.0,7.0,NYG 7,14.0,3.0,Brian Robinson left end for no gain (tackle by Kayvon Thibodeaux),5.6,4.76,11.0,2023,159
2.0,1:38,,,,,,Timeout #3 by New York Giants,,,11.0,2023,159
2.0,1:38,2.0,7.0,NYG 7,14.0,9.0,"Sam Howell scrambles up the middle for 7 yards, touchdown",4.76,7.0,11.0,2023,159
2.0,1:32,,,NYG 15,14.0,9.0,Joey Slye kicks extra point no good,0.0,-1.0,11.0,2023,159
2.0,1:32,,,WAS 35,14.0,9.0,"Penalty on Cordale Flott: Disqualification / Defense, 15 yards (offset)",0.0,0.0,11.0,2023,159
2.0,1:32,,,WAS 35,14.0,9.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,159
2.0,1:32,1.0,10.0,NYG 25,14.0,9.0,Tommy DeVito pass complete short left to Isaiah Hodgins for 6 yards (tackle by Emmanuel Forbes),0.61,0.87,11.0,2023,159
2.0,1:29,2.0,4.0,NYG 31,14.0,9.0,Tommy DeVito sacked by and Daron Payne for -8 yards and Jonathan Allen for -8 yards,0.87,-0.89,11.0,2023,159
2.0,1:23,,,,,,Timeout #1 by Washington Commanders,,,11.0,2023,159
2.0,1:23,3.0,12.0,NYG 23,14.0,9.0,Tommy DeVito pass incomplete deep middle intended for Darius Slayton (defended by Jartavius Martin),-0.89,-1.83,11.0,2023,159
2.0,1:16,4.0,12.0,NYG 23,14.0,9.0,"Jamie Gillan punts 36 yards, fair catch by Jamison Crowder at WAS-41",-1.83,-1.66,11.0,2023,159
2.0,1:10,1.0,10.0,WAS 41,14.0,9.0,Sam Howell pass complete short right to Byron Pringle for -2 yards (tackle by Xavier McKinney),1.66,0.85,11.0,2023,159
2.0,0:46,2.0,12.0,WAS 39,14.0,9.0,Sam Howell sacked by Kayvon Thibodeaux for -8 yards,0.85,-0.89,11.0,2023,159
2.0,0:35,,,,,,Timeout #2 by Washington Commanders,,,11.0,2023,159
2.0,0:35,3.0,20.0,WAS 31,14.0,9.0,Sam Howell pass complete short left to Jahan Dotson for 3 yards (tackle by Xavier McKinney),-0.89,-1.11,11.0,2023,159
3.0,15:00,,,NYG 35,14.0,9.0,"Randy Bullock kicks off 68 yards, returned by Byron Pringle for 37 yards. Byron Pringle fumbles (forced by Nick McCloud), recovered by Gervarrius Owens at WAS-34",0.0,-3.31,11.0,2023,159
3.0,14:49,1.0,10.0,WAS 34,14.0,9.0,Tommy DeVito sacked by Casey Toohill for -7 yards,3.31,1.83,11.0,2023,159
3.0,14:12,2.0,17.0,WAS 41,14.0,9.0,Tommy DeVito pass incomplete deep left intended for Sterling Shepard (defended by Emmanuel Forbes),1.83,1.16,11.0,2023,159
3.0,14:03,3.0,17.0,WAS 41,14.0,9.0,Tommy DeVito sacked by Jonathan Allen for -4 yards,1.16,0.27,11.0,2023,159
3.0,13:28,4.0,21.0,WAS 45,14.0,9.0,"Jamie Gillan punts 37 yards, fair catch by Jamison Crowder at WAS-8",0.27,0.38,11.0,2023,159
3.0,13:20,1.0,10.0,WAS 8,14.0,9.0,Sam Howell pass complete short right to Brian Robinson for 1 yard (tackle by Micah McFadden),-0.38,-0.71,11.0,2023,159
3.0,12:43,2.0,9.0,WAS 9,14.0,9.0,Brian Robinson right tackle for 6 yards (tackle by Dane Belton and A'Shawn Robinson),-0.71,-0.6,11.0,2023,159
3.0,12:15,3.0,3.0,WAS 15,14.0,9.0,Sam Howell scrambles left end for 20 yards (tackle by Bobby Okereke),-0.6,1.27,11.0,2023,159
3.0,11:34,1.0,10.0,WAS 35,14.0,9.0,Chris Rodriguez up the middle for 4 yards (tackle by Bobby Okereke and Xavier McKinney),1.27,1.26,11.0,2023,159
3.0,10:56,2.0,6.0,WAS 39,14.0,9.0,Sam Howell pass complete short left to Dyami Brown for 7 yards (tackle by Xavier McKinney),1.26,1.99,11.0,2023,159
3.0,10:17,1.0,10.0,WAS 46,14.0,9.0,Brian Robinson right guard for 1 yard (tackle by D.J. Davidson and Dane Belton),1.99,1.59,11.0,2023,159
3.0,9:35,2.0,9.0,WAS 47,14.0,9.0,"Sam Howell pass incomplete short left. Penalty on D.J. Davidson: Defensive Offside, 5 yards (accepted) (no play)",1.59,2.26,11.0,2023,159
3.0,9:29,2.0,4.0,NYG 48,14.0,9.0,Sam Howell pass complete short middle to Chris Rodriguez for 5 yards (tackle by Bobby Okereke and Micah McFadden),2.26,2.72,11.0,2023,159
3.0,8:44,1.0,10.0,NYG 43,14.0,9.0,Sam Howell pass complete short right to John Bates for 7 yards (tackle by Dane Belton),2.72,3.12,11.0,2023,159
3.0,7:59,2.0,3.0,NYG 36,14.0,9.0,Chris Rodriguez right guard for 7 yards (tackle by A'Shawn Robinson),3.12,3.64,11.0,2023,159
3.0,7:15,1.0,10.0,NYG 29,14.0,9.0,Sam Howell pass incomplete deep right intended for Logan Thomas,3.64,3.1,11.0,2023,159
3.0,7:09,2.0,10.0,NYG 29,14.0,9.0,Brian Robinson right tackle for -2 yards (tackle by Micah McFadden),3.1,2.15,11.0,2023,159
3.0,6:27,3.0,12.0,NYG 31,14.0,9.0,Sam Howell pass complete short middle to Jamison Crowder for 7 yards (tackle by Isaiah Simmons),2.15,1.92,11.0,2023,159
3.0,5:47,4.0,5.0,NYG 24,14.0,12.0,Joey Slye 42 yard field goal good,1.92,3.0,11.0,2023,159
3.0,5:43,,,WAS 35,14.0,12.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,159
3.0,5:43,1.0,10.0,NYG 25,14.0,12.0,Tommy DeVito pass complete short left to Wan'Dale Robinson for 21 yards (tackle by Emmanuel Forbes),0.61,1.99,11.0,2023,159
3.0,5:14,1.0,10.0,NYG 46,14.0,12.0,"Tommy DeVito pass incomplete short left intended for Jalin Hyatt. Penalty on Tyre Phillips: Ineligible Downfield Pass, 5 yards (accepted) (no play)",1.99,1.66,11.0,2023,159
3.0,5:11,1.0,15.0,NYG 41,14.0,12.0,Tommy DeVito pass incomplete deep right intended for Jalin Hyatt,1.66,0.78,11.0,2023,159
3.0,5:05,2.0,15.0,NYG 41,14.0,12.0,Tommy DeVito sacked by Jamin Davis for -7 yards,0.78,-0.82,11.0,2023,159
3.0,4:20,3.0,22.0,NYG 34,14.0,12.0,Tommy DeVito pass complete short right to Sterling Shepard for 5 yards (tackle by Percy Butler),-0.82,-0.78,11.0,2023,159
3.0,3:51,4.0,17.0,NYG 39,14.0,12.0,"Jamie Gillan punts 38 yards, returned by Jamison Crowder for no gain (tackle by Isaiah Simmons)",-0.78,-0.48,11.0,2023,159
3.0,3:40,1.0,10.0,WAS 23,14.0,12.0,Brian Robinson left end for 18 yards (tackle by Rakeem Nunez-Roches),0.48,1.66,11.0,2023,159
3.0,2:53,1.0,10.0,WAS 41,14.0,12.0,Brian Robinson left tackle for no gain (tackle by Dexter Lawrence),1.66,1.12,11.0,2023,159
3.0,2:12,2.0,10.0,WAS 41,14.0,12.0,Sam Howell pass complete short middle to Logan Thomas for 8 yards (tackle by Bobby Okereke),1.12,1.49,11.0,2023,159
3.0,1:31,3.0,2.0,WAS 49,14.0,12.0,Chris Rodriguez left guard for 16 yards (tackle by Xavier McKinney and Jason Pinnock),1.49,3.25,11.0,2023,159
3.0,0:53,1.0,10.0,NYG 35,14.0,12.0,"Chris Rodriguez up the middle for 3 yards. Chris Rodriguez fumbles (forced by Bobby Okereke) (tackle by Xavier McKinney), recovered by Micah McFadden at NYG-32",3.25,-1.07,11.0,2023,159
3.0,0:42,1.0,10.0,NYG 32,14.0,12.0,Saquon Barkley left end for 36 yards (tackle by Kamren Curl),1.07,3.45,11.0,2023,159
4.0,15:00,1.0,10.0,WAS 32,14.0,12.0,Tommy DeVito pass complete deep left to Daniel Bellinger for 26 yards (tackle by Kamren Curl),3.45,5.83,11.0,2023,159
4.0,14:21,1.0,6.0,WAS 6,14.0,12.0,Saquon Barkley left tackle for 1 yard (tackle by David Mayo),5.83,5.15,11.0,2023,159
4.0,13:41,2.0,5.0,WAS 5,14.0,12.0,Tommy DeVito pass incomplete short middle intended for Sterling Shepard (defended by Emmanuel Forbes),5.15,4.26,11.0,2023,159
4.0,13:37,3.0,5.0,WAS 5,20.0,12.0,"Tommy DeVito pass complete short right to Saquon Barkley for 5 yards, touchdown",4.26,7.0,11.0,2023,159
4.0,13:32,,,WAS 15,21.0,12.0,Randy Bullock kicks extra point good,0.0,0.0,11.0,2023,159
4.0,13:32,,,NYG 35,21.0,12.0,"Randy Bullock kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,159
4.0,13:32,1.0,10.0,WAS 25,21.0,12.0,Sam Howell pass complete short left to Cole Turner for 7 yards (tackle by Deonte Banks),0.61,1.01,11.0,2023,159
4.0,12:51,2.0,3.0,WAS 32,21.0,12.0,Brian Robinson left end for 6 yards (tackle by Deonte Banks and Micah McFadden),1.01,1.47,11.0,2023,159
4.0,12:11,1.0,10.0,WAS 38,21.0,12.0,Sam Howell pass incomplete short middle intended for Brian Robinson (defended by Micah McFadden) (defended by Dexter Lawrence),1.47,0.92,11.0,2023,159
4.0,12:05,2.0,10.0,WAS 38,21.0,12.0,Brian Robinson left end for no gain (tackle by Micah McFadden and Bobby Okereke),0.92,0.23,11.0,2023,159
4.0,11:22,3.0,10.0,WAS 38,21.0,12.0,Sam Howell pass deep right (defended by Dexter Lawrence) intended for Jahan Dotson is intercepted by Darnay Holmes at NYG-34 and returned for 2 yards (tackle by Terry McLaurin),0.23,-1.33,11.0,2023,159
4.0,11:11,1.0,10.0,NYG 36,21.0,12.0,Saquon Barkley right end for 9 yards (tackle by Kamren Curl),1.33,2.01,11.0,2023,159
4.0,10:26,2.0,1.0,NYG 45,21.0,12.0,Saquon Barkley up the middle for 6 yards (tackle by Phidarian Mathis),2.01,2.32,11.0,2023,159
4.0,9:41,1.0,10.0,WAS 49,21.0,12.0,Saquon Barkley right end for 31 yards (tackle by Percy Butler),2.32,4.37,11.0,2023,159
4.0,9:00,1.0,10.0,WAS 18,21.0,12.0,Matt Breida right end for 3 yards (tackle by Jamin Davis),4.37,4.25,11.0,2023,159
4.0,8:16,2.0,7.0,WAS 15,21.0,12.0,Matt Breida right end for -4 yards (tackle by Daron Payne),4.25,2.97,11.0,2023,159
4.0,7:33,3.0,11.0,WAS 19,21.0,12.0,Saquon Barkley right tackle for 1 yard (tackle by Jamin Davis and Kamren Curl),2.97,2.25,11.0,2023,159
4.0,6:52,4.0,10.0,WAS 18,24.0,12.0,Randy Bullock 36 yard field goal good,2.25,3.0,11.0,2023,159
4.0,6:48,,,NYG 35,24.0,12.0,"Randy Bullock kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,159
4.0,6:48,1.0,10.0,WAS 25,24.0,12.0,Sam Howell pass complete short right to Brian Robinson for 3 yards (tackle by Darnay Holmes),0.61,0.47,11.0,2023,159
4.0,6:24,2.0,7.0,WAS 28,24.0,12.0,Sam Howell pass complete short right to Jahan Dotson for 12 yards (tackle by Isaiah Simmons),0.47,1.6,11.0,2023,159
4.0,6:01,1.0,10.0,WAS 40,24.0,12.0,Sam Howell sacked by Kayvon Thibodeaux for -5 yards,1.6,0.38,11.0,2023,159
4.0,5:34,2.0,15.0,WAS 35,24.0,12.0,Sam Howell sacked by Jihad Ward for -5 yards,0.38,-0.96,11.0,2023,159
4.0,4:55,3.0,20.0,WAS 30,24.0,12.0,Sam Howell pass complete short middle to Byron Pringle for 10 yards (tackle by Xavier McKinney and Bobby Okereke),-0.96,-0.72,11.0,2023,159
4.0,4:13,4.0,10.0,WAS 40,24.0,12.0,Sam Howell pass complete short right to Brian Robinson for 21 yards (tackle by Nick McCloud),-0.72,2.98,11.0,2023,159
4.0,3:39,1.0,10.0,NYG 39,24.0,12.0,Sam Howell pass complete short right to Terry McLaurin for 9 yards (tackle by Isaiah Simmons),2.98,3.66,11.0,2023,159
4.0,3:17,2.0,1.0,NYG 30,24.0,12.0,Sam Howell pass incomplete deep right,3.66,2.94,11.0,2023,159
4.0,3:08,3.0,1.0,NYG 30,24.0,12.0,Sam Howell pass incomplete short right intended for Dyami Brown,2.94,1.52,11.0,2023,159
4.0,3:05,4.0,1.0,NYG 30,24.0,12.0,"Sam Howell left end for no gain (tackle by Darnay Holmes). Penalty on Jihad Ward: Defensive Offside, 5 yards (accepted) (no play)",1.52,3.91,11.0,2023,159
4.0,3:00,1.0,10.0,NYG 25,24.0,12.0,Sam Howell pass incomplete deep right intended for Terry McLaurin,3.91,3.36,11.0,2023,159
4.0,2:54,2.0,10.0,NYG 25,24.0,12.0,"Sam Howell pass incomplete. Penalty on Kayvon Thibodeaux: Roughing the Passer, 13 yards (accepted) (no play)",3.36,4.78,11.0,2023,159
4.0,2:48,1.0,10.0,NYG 12,24.0,12.0,"Sam Howell pass complete short right to Brian Robinson for 4 yards. Brian Robinson fumbles (forced by Bobby Okereke), recovered by Jamison Crowder at NYG-10 and returned for 2 yards",4.78,4.83,11.0,2023,159
4.0,2:21,2.0,6.0,NYG 8,24.0,18.0,"Sam Howell pass complete short left to Jahan Dotson for 8 yards, touchdown",4.83,7.0,11.0,2023,159
4.0,2:16,,,NYG 15,24.0,19.0,Joey Slye kicks extra point good,0.0,0.0,11.0,2023,159
4.0,2:16,,,WAS 35,24.0,19.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,159
4.0,2:16,1.0,10.0,NYG 25,24.0,19.0,Saquon Barkley right end for 2 yards (tackle by Jonathan Allen),0.61,0.33,11.0,2023,159
4.0,2:11,,,,,,Timeout #1 by Washington Commanders,,,11.0,2023,159
4.0,2:11,2.0,8.0,NYG 27,24.0,19.0,Saquon Barkley left end for -1 yards (tackle by Kendall Fuller),0.33,-0.49,11.0,2023,159
4.0,2:06,,,,,,Timeout #2 by Washington Commanders,,,11.0,2023,159
4.0,2:06,3.0,9.0,NYG 26,24.0,19.0,Tommy DeVito scrambles left end for 7 yards (tackle by Jamin Davis),-0.49,-1.18,11.0,2023,159
4.0,1:57,4.0,2.0,NYG 33,24.0,19.0,"Jamie Gillan punts 48 yards, returned by Jamison Crowder for no gain (tackle by Nick McCloud)",-1.18,-0.15,11.0,2023,159
4.0,1:49,1.0,10.0,WAS 19,24.0,19.0,Sam Howell pass complete short right to Brian Robinson for 6 yards (tackle by Tre Hawkins),0.15,0.48,11.0,2023,159
4.0,1:43,2.0,4.0,WAS 25,24.0,19.0,Sam Howell pass complete short right to Byron Pringle for 14 yards (tackle by Tre Hawkins),0.48,1.53,11.0,2023,159
4.0,1:24,1.0,10.0,WAS 39,24.0,19.0,Sam Howell pass incomplete short right intended for Brian Robinson,1.53,0.99,11.0,2023,159
4.0,1:19,2.0,10.0,WAS 39,24.0,19.0,"Sam Howell pass deep right is intercepted by Tre Hawkins at NYG-30 and returned for no gain. Penalty on Tre Hawkins: Illegal Contact, 5 yards (accepted) (no play)",0.99,1.86,11.0,2023,159
4.0,1:12,1.0,10.0,WAS 44,24.0,19.0,Sam Howell pass incomplete short right,1.86,1.32,11.0,2023,159
4.0,1:07,2.0,10.0,WAS 44,24.0,19.0,Sam Howell pass complete short middle to Logan Thomas for 8 yards (tackle by Darnay Holmes),1.32,1.69,11.0,2023,159
4.0,0:46,,,,,,Timeout #1 by New York Giants,,,11.0,2023,159
