Quarter,Time,Down,ToGo,Location,PIT,CLE,Detail,EPB,EPA,week,year,game_id
1.0,4:38,3.0,1.0,PIT 1,0.0,6.0,"Jerome Ford right guard for no gain (tackle by Larry Ogunjobi) CLE challenged the short of the line to gain ruling, and the original play was overturned. Jerome Ford for 1 yard, touchdown",5.17,7.0,11.0,2023,153
1.0,4:35,,,PIT 15,0.0,7.0,Dustin Hopkins kicks extra point good,0.0,0.0,11.0,2023,153
1.0,4:35,,,CLE 35,0.0,7.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,153
1.0,4:35,1.0,10.0,PIT 25,0.0,7.0,Kenny Pickett pass complete short left to George Pickens for 6 yards (tackle by Martin Emerson and Rodney McLeod),0.61,0.87,11.0,2023,153
1.0,4:03,2.0,4.0,PIT 31,0.0,7.0,Najee Harris left guard for 5 yards (tackle by Grant Delpit),0.87,1.33,11.0,2023,153
1.0,3:24,1.0,10.0,PIT 36,0.0,7.0,George Pickens right end for -1 yards (tackle by Greg Newsome),1.33,0.66,11.0,2023,153
1.0,2:44,2.0,11.0,PIT 35,0.0,7.0,Kenny Pickett pass complete short left to Jaylen Warren for no gain (tackle by Greg Newsome and Martin Emerson),0.66,-0.03,11.0,2023,153
1.0,1:58,,,,,,Timeout #2 by Pittsburgh Steelers,,,11.0,2023,153
1.0,1:58,3.0,11.0,PIT 35,0.0,7.0,Kenny Pickett pass complete short right to Darnell Washington for 8 yards (tackle by Grant Delpit),-0.03,-0.52,11.0,2023,153
1.0,1:23,4.0,3.0,PIT 43,0.0,7.0,"Pressley Harvin punts 47 yards, fair catch by James Proche at CLE-10",-0.52,0.38,11.0,2023,153
1.0,1:16,1.0,10.0,CLE 10,0.0,7.0,Pierre Strong right end for 1 yard (tackle by Alex Highsmith),-0.38,-0.71,11.0,2023,153
1.0,0:38,2.0,9.0,CLE 11,0.0,7.0,Dorian Thompson-Robinson pass incomplete short left intended for David Njoku,-0.71,-1.3,11.0,2023,153
1.0,0:35,3.0,9.0,CLE 11,0.0,7.0,Dorian Thompson-Robinson pass complete short middle to David Njoku for 8 yards (tackle by Elandon Roberts and Damontae Kazee),-1.3,-2.14,11.0,2023,153
2.0,15:00,4.0,1.0,CLE 19,0.0,7.0,Corey Bojorquez punts 65 yards out of bounds,-2.14,0.14,11.0,2023,153
2.0,14:52,1.0,10.0,PIT 16,0.0,7.0,Najee Harris up the middle for 9 yards (tackle by Grant Delpit and Martin Emerson),-0.14,0.69,11.0,2023,153
2.0,14:11,2.0,1.0,PIT 25,0.0,7.0,Kenny Pickett pass incomplete short left intended for Najee Harris (defended by Shelby Harris),0.69,-0.2,11.0,2023,153
2.0,14:08,3.0,1.0,PIT 25,0.0,7.0,Jaylen Warren right end for 3 yards (tackle by Grant Delpit and Alex Wright),-0.2,0.81,11.0,2023,153
2.0,13:21,1.0,10.0,PIT 28,0.0,7.0,"Penalty on PIT: Delay of Game, 5 yards (accepted) (no play)",0.81,0.48,11.0,2023,153
2.0,13:10,1.0,15.0,PIT 23,0.0,7.0,Kenny Pickett pass complete short right to George Pickens for 14 yards,0.48,1.48,11.0,2023,153
2.0,12:38,2.0,1.0,PIT 37,0.0,7.0,Jaylen Warren right guard for 11 yards (tackle by Jeremiah Owusu-Koramoah),1.48,2.13,11.0,2023,153
2.0,12:00,1.0,10.0,PIT 48,0.0,7.0,Jaylen Warren right end for 5 yards (tackle by Jordan Elliott),2.13,2.26,11.0,2023,153
2.0,11:23,2.0,5.0,CLE 47,0.0,7.0,Kenny Pickett pass incomplete short right intended for George Pickens (defended by Shelby Harris),2.26,1.55,11.0,2023,153
2.0,11:20,3.0,5.0,CLE 47,0.0,7.0,Kenny Pickett pass incomplete short left intended for Diontae Johnson,1.55,0.13,11.0,2023,153
2.0,11:17,4.0,5.0,CLE 47,0.0,7.0,"Pressley Harvin punts 36 yards, fair catch by James Proche at CLE-11",0.13,0.37,11.0,2023,153
2.0,11:09,1.0,10.0,CLE 11,0.0,7.0,Kareem Hunt left end for 2 yards (tackle by Keeanu Benton and Nick Herbig),-0.37,-0.63,11.0,2023,153
2.0,10:28,2.0,8.0,CLE 13,0.0,7.0,Dorian Thompson-Robinson pass complete short left to Pierre Strong for 4 yards (tackle by Cameron Heyward),-0.63,-0.72,11.0,2023,153
2.0,9:41,3.0,4.0,CLE 17,0.0,7.0,Jerome Ford left guard for 1 yard (tackle by Cameron Heyward and Elandon Roberts),-0.72,-2.24,11.0,2023,153
2.0,9:00,4.0,3.0,CLE 18,0.0,7.0,"Corey Bojorquez punts 64 yards, returned by Calvin Austin for 15 yards (tackle by Rodney McLeod)",-2.24,-1.14,11.0,2023,153
2.0,8:49,1.0,10.0,PIT 33,0.0,7.0,Najee Harris right guard for 5 yards (tackle by Denzel Ward and Rodney McLeod),1.14,1.27,11.0,2023,153
2.0,8:12,2.0,5.0,PIT 38,0.0,7.0,Kenny Pickett scrambles right guard for 5 yards (tackle by Jeremiah Owusu-Koramoah),1.27,1.8,11.0,2023,153
2.0,7:30,1.0,10.0,PIT 43,0.0,7.0,Najee Harris left end for 4 yards (tackle by Maurice Hurst),1.8,1.79,11.0,2023,153
2.0,6:51,2.0,6.0,PIT 47,0.0,7.0,Kenny Pickett scrambles right end for 4 yards (tackle by Sione Takitaki),1.79,1.62,11.0,2023,153
2.0,6:10,3.0,2.0,CLE 49,0.0,7.0,Kenny Pickett sacked by Ogbonnia Okoronkwo for -11 yards,1.62,-0.72,11.0,2023,153
2.0,5:35,4.0,13.0,PIT 40,0.0,7.0,"Pressley Harvin punts 43 yards, fair catch by James Proche at CLE-17",-0.72,0.06,11.0,2023,153
2.0,5:29,1.0,10.0,CLE 17,0.0,7.0,Dorian Thompson-Robinson pass incomplete short left intended for Elijah Moore,-0.06,-0.58,11.0,2023,153
2.0,5:25,2.0,10.0,CLE 17,0.0,7.0,Dorian Thompson-Robinson pass complete short left to Elijah Moore for 12 yards (tackle by Damontae Kazee),-0.58,0.87,11.0,2023,153
2.0,4:40,1.0,10.0,CLE 29,0.0,7.0,Cedric Tillman left end for 8 yards (tackle by Trenton Thompson),0.87,1.41,11.0,2023,153
2.0,3:58,2.0,2.0,CLE 37,0.0,7.0,Kareem Hunt right guard for 2 yards (tackle by Elandon Roberts),1.41,1.53,11.0,2023,153
2.0,3:14,1.0,10.0,CLE 39,0.0,7.0,"Dorian Thompson-Robinson pass incomplete deep left intended for Amari Cooper. Penalty on Joey Porter: Defensive Holding, 5 yards (accepted) (no play)",1.53,1.86,11.0,2023,153
2.0,3:08,1.0,10.0,CLE 44,0.0,7.0,Kareem Hunt right guard for 6 yards (tackle by Elijah Riley and T.J. Watt),1.86,2.13,11.0,2023,153
2.0,2:30,2.0,4.0,PIT 50,0.0,7.0,Kareem Hunt left guard for no gain (tackle by Mykal Walker and Armon Watts),2.13,1.42,11.0,2023,153
2.0,2:00,3.0,4.0,PIT 50,0.0,7.0,Dorian Thompson-Robinson left end for 5 yards (tackle by Trenton Thompson),1.42,2.59,11.0,2023,153
2.0,1:38,1.0,10.0,PIT 45,0.0,7.0,Jerome Ford left guard for 6 yards (tackle by Damontae Kazee),2.59,2.85,11.0,2023,153
2.0,1:13,2.0,4.0,PIT 39,0.0,7.0,Dorian Thompson-Robinson pass complete short right to Amari Cooper for 7 yards (tackle by Joey Porter),2.85,3.45,11.0,2023,153
2.0,0:49,1.0,10.0,PIT 32,0.0,7.0,Dorian Thompson-Robinson pass complete short right to Amari Cooper for 8 yards (tackle by Joey Porter),3.45,3.98,11.0,2023,153
2.0,0:44,,,,,,Timeout #1 by Cleveland Browns,,,11.0,2023,153
2.0,0:44,2.0,2.0,PIT 24,0.0,7.0,Dorian Thompson-Robinson pass complete short left to David Njoku for -1 yards (tackle by Alex Highsmith and Elandon Roberts),3.98,3.14,11.0,2023,153
2.0,0:39,,,,,,Timeout #2 by Cleveland Browns,,,11.0,2023,153
2.0,0:39,3.0,3.0,PIT 25,0.0,7.0,Dorian Thompson-Robinson pass complete short left to David Njoku for 9 yards (tackle by Joey Porter and Chandon Sullivan),3.14,4.51,11.0,2023,153
2.0,0:32,,,,,,Timeout #3 by Cleveland Browns,,,11.0,2023,153
2.0,0:32,1.0,10.0,PIT 16,0.0,7.0,Dorian Thompson-Robinson pass complete short left to Elijah Moore for 10 yards (tackle by Elandon Roberts),4.51,5.83,11.0,2023,153
2.0,0:17,1.0,6.0,PIT 6,0.0,7.0,Dorian Thompson-Robinson spiked the ball,5.83,4.95,11.0,2023,153
2.0,0:16,2.0,6.0,PIT 6,0.0,7.0,Dorian Thompson-Robinson pass incomplete short left intended for David Njoku (defended by Trenton Thompson),4.95,4.04,11.0,2023,153
2.0,0:13,3.0,6.0,PIT 6,0.0,7.0,Dorian Thompson-Robinson pass incomplete short left intended for Amari Cooper,4.04,2.99,11.0,2023,153
2.0,0:09,4.0,6.0,PIT 6,0.0,10.0,Dustin Hopkins 25 yard field goal good,2.99,3.0,11.0,2023,153
2.0,0:05,,,CLE 35,0.0,10.0,"Dustin Hopkins kicks off 63 yards,",0.0,0.61,11.0,2023,153
2.0,0:05,1.0,10.0,PIT 25,0.0,10.0,Kenny Pickett kneels for -1 yards,0.61,-0.07,11.0,2023,153
3.0,15:00,,,CLE 35,0.0,10.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,153
3.0,15:00,1.0,10.0,PIT 25,0.0,10.0,Najee Harris left guard for 1 yard (tackle by Jeremiah Owusu-Koramoah),0.61,0.2,11.0,2023,153
3.0,14:22,2.0,9.0,PIT 26,6.0,10.0,"Jaylen Warren for 74 yards, touchdown",0.2,7.0,11.0,2023,153
3.0,14:10,,,CLE 15,7.0,10.0,Chris Boswell kicks extra point good,0.0,0.0,11.0,2023,153
3.0,14:10,,,PIT 35,7.0,10.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,153
3.0,14:10,1.0,10.0,CLE 25,7.0,10.0,Jerome Ford right guard for no gain (tackle by Mykal Walker and T.J. Watt),0.61,0.06,11.0,2023,153
3.0,13:32,2.0,10.0,CLE 25,7.0,10.0,Dorian Thompson-Robinson pass incomplete short right intended for Jerome Ford,0.06,-0.62,11.0,2023,153
3.0,13:29,3.0,10.0,CLE 25,7.0,10.0,Dorian Thompson-Robinson scrambles right end for 9 yards (tackle by Elandon Roberts),-0.62,-1.11,11.0,2023,153
3.0,12:38,4.0,1.0,CLE 34,7.0,10.0,Kareem Hunt left end for 4 yards (tackle by Elandon Roberts),-1.11,1.47,11.0,2023,153
3.0,11:57,1.0,10.0,CLE 38,7.0,10.0,Kareem Hunt right guard for 2 yards (tackle by Keeanu Benton),1.47,1.19,11.0,2023,153
3.0,11:20,2.0,8.0,CLE 40,7.0,10.0,Dorian Thompson-Robinson pass complete short middle to David Njoku for 8 yards (tackle by Chandon Sullivan),1.19,2.13,11.0,2023,153
3.0,10:38,1.0,10.0,CLE 48,7.0,10.0,Kareem Hunt up the middle for 2 yards (tackle by Elandon Roberts and Keeanu Benton),2.13,1.85,11.0,2023,153
3.0,9:58,2.0,8.0,PIT 50,7.0,10.0,Dorian Thompson-Robinson pass incomplete short right intended for Cedric Tillman,1.85,1.16,11.0,2023,153
3.0,9:55,3.0,8.0,PIT 50,7.0,10.0,Dorian Thompson-Robinson pass incomplete short left intended for Amari Cooper (defended by Trenton Thompson),1.16,-0.06,11.0,2023,153
3.0,9:49,4.0,8.0,PIT 50,7.0,10.0,"Corey Bojorquez punts 37 yards, fair catch by Calvin Austin at PIT-13",-0.06,0.32,11.0,2023,153
3.0,9:42,1.0,10.0,PIT 13,7.0,10.0,Kenny Pickett pass complete short right to Pat Freiermuth for 7 yards (tackle by Jeremiah Owusu-Koramoah),-0.32,0.22,11.0,2023,153
3.0,9:03,2.0,3.0,PIT 20,7.0,10.0,Najee Harris right guard for -1 yards (tackle by Ogbonnia Okoronkwo and Dalvin Tomlinson),0.22,-0.71,11.0,2023,153
3.0,8:37,3.0,4.0,PIT 19,7.0,10.0,Kenny Pickett pass complete short right to Najee Harris for 1 yard (tackle by Denzel Ward),-0.71,-2.03,11.0,2023,153
3.0,8:04,4.0,3.0,PIT 20,7.0,10.0,"Pressley Harvin punts 48 yards, returned by James Proche for 4 yards (tackle by Miles Killebrew and Mark Robinson)",-2.03,-1.33,11.0,2023,153
3.0,7:52,1.0,10.0,CLE 36,7.0,10.0,Dorian Thompson-Robinson pass incomplete short middle intended for Jerome Ford,1.33,0.79,11.0,2023,153
3.0,7:48,2.0,10.0,CLE 36,7.0,10.0,Dorian Thompson-Robinson pass complete short left to Elijah Moore for 5 yards (tackle by Patrick Peterson),0.79,0.76,11.0,2023,153
3.0,7:05,3.0,5.0,CLE 41,7.0,10.0,Dorian Thompson-Robinson pass incomplete short left intended for Amari Cooper (defended by Patrick Peterson),0.76,-0.65,11.0,2023,153
3.0,7:03,4.0,5.0,CLE 41,7.0,10.0,"Corey Bojorquez punts 59 yards, touchback.",-0.65,-0.28,11.0,2023,153
3.0,6:54,1.0,10.0,PIT 20,7.0,10.0,Kenny Pickett pass incomplete deep right intended for Diontae Johnson (defended by Denzel Ward),0.28,-0.27,11.0,2023,153
3.0,6:47,2.0,10.0,PIT 20,7.0,10.0,"Kenny Pickett pass complete short right to Jaylen Warren for no gain (tackle by Myles Garrett). Penalty on James Daniels: Ineligible Downfield Pass, 5 yards (declined) . Penalty on Diontae Johnson: Offensive Pass Interference, 10 yards (accepted) (no play)",-0.27,-1.51,11.0,2023,153
3.0,6:25,2.0,20.0,PIT 10,7.0,10.0,Jaylen Warren left guard for 8 yards (tackle by Sione Takitaki),-1.51,-1.33,11.0,2023,153
3.0,6:02,3.0,12.0,PIT 18,7.0,10.0,Kenny Pickett pass complete short left to Allen Robinson for 11 yards (tackle by Grant Delpit),-1.33,-1.44,11.0,2023,153
3.0,5:23,,,,,,Timeout #1 by Pittsburgh Steelers,,,11.0,2023,153
3.0,5:23,4.0,1.0,PIT 29,7.0,10.0,"Kenny Pickett left guard for 1 yard (tackle by Sione Takitaki) CLE challenged the first down ruling, and the play was upheld.",-1.44,0.94,11.0,2023,153
3.0,5:09,1.0,10.0,PIT 30,7.0,10.0,Najee Harris for -3 yards (tackle by Za'Darius Smith),0.94,-0.01,11.0,2023,153
3.0,4:26,2.0,13.0,PIT 27,7.0,10.0,Kenny Pickett pass incomplete short right,-0.01,-0.69,11.0,2023,153
3.0,4:20,3.0,13.0,PIT 27,7.0,10.0,Kenny Pickett pass incomplete short left,-0.69,-1.57,11.0,2023,153
3.0,4:16,4.0,13.0,PIT 27,7.0,10.0,"Pressley Harvin punts 42 yards, returned by James Proche for 21 yards (tackle by Rodney Williams)",-1.57,-2.39,11.0,2023,153
3.0,4:06,1.0,10.0,PIT 48,7.0,10.0,Dorian Thompson-Robinson pass incomplete short right intended for David Njoku,2.39,1.85,11.0,2023,153
3.0,4:01,2.0,10.0,PIT 48,7.0,10.0,Kareem Hunt left guard for no gain (tackle by Elandon Roberts and Armon Watts),1.85,1.16,11.0,2023,153
3.0,3:19,3.0,10.0,PIT 48,7.0,10.0,Dorian Thompson-Robinson pass complete short left to Cedric Tillman for 2 yards (tackle by Trenton Thompson),1.16,0.2,11.0,2023,153
3.0,3:19,4.0,8.0,PIT 46,7.0,10.0,"Penalty on Alex Highsmith: Roughing the Passer, 15 yards (accepted) (no play)",0.2,3.51,11.0,2023,153
3.0,3:02,1.0,10.0,PIT 31,7.0,10.0,Kareem Hunt left end for -2 yards (tackle by Cameron Heyward and Alex Highsmith),3.51,2.7,11.0,2023,153
3.0,2:18,2.0,12.0,PIT 33,7.0,10.0,Dorian Thompson-Robinson pass complete short right to Kareem Hunt for -3 yards (tackle by Elandon Roberts),2.7,1.62,11.0,2023,153
3.0,1:34,3.0,15.0,PIT 36,7.0,10.0,Dorian Thompson-Robinson pass short left (defended by Joey Porter) intended for Amari Cooper is intercepted by Chandon Sullivan at PIT-23 and returned for no gain (tackle by Elijah Moore),1.62,-0.48,11.0,2023,153
3.0,1:30,1.0,10.0,PIT 23,7.0,10.0,Kenny Pickett pass incomplete short left intended for Allen Robinson (defended by Sione Takitaki),0.48,-0.07,11.0,2023,153
3.0,1:24,2.0,10.0,PIT 23,7.0,10.0,Najee Harris right end for 2 yards (tackle by Rodney McLeod and Ogbonnia Okoronkwo),-0.07,-0.49,11.0,2023,153
3.0,0:59,3.0,8.0,PIT 25,7.0,10.0,Kenny Pickett pass incomplete deep right intended for Diontae Johnson,-0.49,-1.7,11.0,2023,153
3.0,0:55,4.0,8.0,PIT 25,7.0,10.0,Pressley Harvin punts 20 yards out of bounds,-1.7,-2.59,11.0,2023,153
3.0,0:50,1.0,10.0,PIT 45,7.0,10.0,Jerome Ford left end for -4 yards (tackle by T.J. Watt),2.59,1.5,11.0,2023,153
3.0,0:05,2.0,14.0,PIT 49,7.0,10.0,Dorian Thompson-Robinson pass incomplete short right intended for Jerome Ford,1.5,0.83,11.0,2023,153
3.0,0:01,3.0,14.0,PIT 49,7.0,10.0,Dorian Thompson-Robinson pass incomplete short right intended for David Njoku,0.83,0.0,11.0,2023,153
4.0,15:00,4.0,14.0,PIT 49,7.0,10.0,"Corey Bojorquez punts 36 yards, returned by Calvin Austin for 15 yards (tackle by Tony Fields)",0.0,-0.81,11.0,2023,153
4.0,14:50,1.0,10.0,PIT 28,7.0,10.0,Jaylen Warren right end for -3 yards (tackle by Ogbonnia Okoronkwo and Sione Takitaki),0.81,-0.14,11.0,2023,153
4.0,14:15,2.0,13.0,PIT 25,7.0,10.0,Kenny Pickett pass incomplete deep left intended for George Pickens,-0.14,-0.82,11.0,2023,153
4.0,14:09,3.0,13.0,PIT 25,7.0,10.0,Kenny Pickett pass complete short right to Jaylen Warren for 14 yards (tackle by Ronnie Hickman),-0.82,1.53,11.0,2023,153
4.0,13:26,1.0,10.0,PIT 39,7.0,10.0,Kenny Pickett pass complete short left to Diontae Johnson for 3 yards (tackle by Martin Emerson),1.53,1.39,11.0,2023,153
4.0,12:51,2.0,7.0,PIT 42,7.0,10.0,Kenny Pickett pass complete short right to Allen Robinson for 3 yards (tackle by Greg Newsome),1.39,1.09,11.0,2023,153
4.0,12:13,3.0,4.0,PIT 45,7.0,10.0,Kenny Pickett pass complete short right to Diontae Johnson for 6 yards (tackle by Denzel Ward),1.09,2.32,11.0,2023,153
4.0,11:43,1.0,10.0,CLE 49,7.0,10.0,Najee Harris right guard for 1 yard (tackle by Jeremiah Owusu-Koramoah and Dalvin Tomlinson),2.32,1.92,11.0,2023,153
4.0,11:09,2.0,9.0,CLE 48,7.0,10.0,Jaylen Warren right guard for 21 yards (tackle by Rodney McLeod and Martin Emerson),1.92,3.78,11.0,2023,153
4.0,10:31,1.0,10.0,CLE 27,7.0,10.0,Jaylen Warren left guard for 12 yards (tackle by Jeremiah Owusu-Koramoah and Ronnie Hickman),3.78,4.58,11.0,2023,153
4.0,9:53,1.0,10.0,CLE 15,7.0,10.0,Jaylen Warren left guard for -2 yards (tackle by Grant Delpit),4.58,3.68,11.0,2023,153
4.0,9:13,2.0,12.0,CLE 17,7.0,10.0,Kenny Pickett sacked by Myles Garrett for -10 yards,3.68,1.75,11.0,2023,153
4.0,8:30,3.0,22.0,CLE 27,7.0,10.0,Najee Harris right guard for 17 yards (tackle by Ronnie Hickman),1.75,2.81,11.0,2023,153
4.0,7:44,4.0,5.0,CLE 10,10.0,10.0,Chris Boswell 28 yard field goal good,2.81,3.0,11.0,2023,153
4.0,7:40,,,PIT 35,10.0,10.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,153
4.0,7:31,1.0,10.0,CLE 25,10.0,10.0,"Dorian Thompson-Robinson pass complete to Harrison Bryant for 13 yards (tackle by Trenton Thompson). Penalty on James Hudson: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)",0.61,-0.41,11.0,2023,153
4.0,7:17,1.0,20.0,CLE 15,10.0,10.0,Dorian Thompson-Robinson sacked by T.J. Watt for -2 yards,-0.41,-1.64,11.0,2023,153
4.0,6:35,2.0,22.0,CLE 13,10.0,10.0,Dorian Thompson-Robinson pass incomplete short left intended for David Njoku (defended by Chandon Sullivan),-1.64,-2.75,11.0,2023,153
4.0,6:29,3.0,22.0,CLE 13,10.0,10.0,Dorian Thompson-Robinson pass complete short left to Elijah Moore for 14 yards (tackle by Elandon Roberts),-2.75,-1.57,11.0,2023,153
4.0,5:52,4.0,8.0,CLE 27,10.0,10.0,Corey Bojorquez punts 25 yards out of bounds,-1.57,-2.13,11.0,2023,153
4.0,5:47,1.0,10.0,PIT 48,10.0,10.0,Kenny Pickett pass complete short right to George Pickens for 12 yards (tackle by Ronnie Hickman),2.13,2.92,11.0,2023,153
4.0,5:05,1.0,10.0,CLE 40,10.0,10.0,Kenny Pickett pass incomplete short left,2.92,2.37,11.0,2023,153
4.0,5:03,2.0,10.0,CLE 40,10.0,10.0,Najee Harris left guard for -5 yards (tackle by Ogbonnia Okoronkwo),2.37,1.03,11.0,2023,153
4.0,4:23,3.0,15.0,CLE 45,10.0,10.0,Kenny Pickett pass complete short right to Jaylen Warren for 2 yards (tackle by Za'Darius Smith),1.03,0.4,11.0,2023,153
4.0,3:36,4.0,13.0,CLE 43,10.0,10.0,"Pressley Harvin punts 29 yards, fair catch by James Proche at CLE-14",0.4,0.28,11.0,2023,153
4.0,3:29,,,,,,Timeout #2 by Pittsburgh Steelers,,,11.0,2023,153
4.0,3:29,1.0,10.0,CLE 14,10.0,10.0,Dorian Thompson-Robinson pass complete short left to Kareem Hunt for -1 yards (tackle by Elandon Roberts),-0.28,-0.85,11.0,2023,153
4.0,2:49,2.0,11.0,CLE 13,10.0,10.0,Kareem Hunt right guard for 16 yards (tackle by Cameron Heyward and Damontae Kazee),-0.85,0.87,11.0,2023,153
4.0,2:26,1.0,10.0,CLE 29,10.0,10.0,Dorian Thompson-Robinson pass incomplete short right intended for David Njoku,0.87,0.33,11.0,2023,153
4.0,2:23,2.0,10.0,CLE 29,10.0,10.0,Dorian Thompson-Robinson pass complete short right to David Njoku for 3 yards (tackle by Elandon Roberts),0.33,0.04,11.0,2023,153
4.0,2:00,3.0,7.0,CLE 32,10.0,10.0,Dorian Thompson-Robinson pass incomplete short right intended for David Njoku,0.04,-1.24,11.0,2023,153
4.0,1:56,4.0,7.0,CLE 32,10.0,10.0,"Corey Bojorquez punts 59 yards, returned by Calvin Austin for 21 yards (tackle by Grant Delpit and Charley Hughlett)",-1.24,-0.94,11.0,2023,153
4.0,1:42,1.0,10.0,PIT 30,10.0,10.0,Kenny Pickett pass incomplete short right intended for Diontae Johnson,0.94,0.39,11.0,2023,153
4.0,1:38,2.0,10.0,PIT 30,10.0,10.0,Kenny Pickett pass incomplete deep right intended for Diontae Johnson,0.39,-0.3,11.0,2023,153
4.0,1:32,3.0,10.0,PIT 30,10.0,10.0,Kenny Pickett pass incomplete short left intended for Diontae Johnson,-0.3,-1.37,11.0,2023,153
4.0,1:28,4.0,10.0,PIT 30,10.0,10.0,"Pressley Harvin punts 47 yards, returned by James Proche for 12 yards (tackle by Nick Herbig)",-1.37,-1.27,11.0,2023,153
4.0,1:18,1.0,10.0,CLE 35,10.0,10.0,Dorian Thompson-Robinson pass complete short left to Elijah Moore for 15 yards (tackle by Patrick Peterson),1.27,2.26,11.0,2023,153
4.0,0:58,1.0,10.0,PIT 50,10.0,10.0,Dorian Thompson-Robinson pass complete short left to Kareem Hunt for 5 yards (tackle by Miles Killebrew),2.26,2.39,11.0,2023,153
4.0,0:53,2.0,5.0,PIT 45,10.0,10.0,Dorian Thompson-Robinson pass complete short right to Amari Cooper for 8 yards (tackle by Joey Porter),2.39,3.12,11.0,2023,153
4.0,0:48,,,,,,Timeout #2 by Cleveland Browns,,,11.0,2023,153
4.0,0:48,1.0,10.0,PIT 37,10.0,10.0,Dorian Thompson-Robinson pass complete short right to David Njoku for 11 yards (tackle by Trenton Thompson),3.12,3.84,11.0,2023,153
