Quarter,Time,Down,ToGo,Location,LAC,GNB,Detail,EPB,EPA,week,year,game_id
1.0,10:25,2.0,10.0,GNB 49,0.0,0.0,Justin Herbert pass complete short right to Keenan Allen for 6 yards (tackle by Carrington Valentine),1.78,1.88,11.0,2023,154
1.0,9:47,3.0,4.0,GNB 43,0.0,0.0,"Justin Herbert pass incomplete short middle intended for Keenan Allen (defended by Carrington Valentine). Penalty on Trey Pipkins: Offensive Holding, 10 yards (declined)",1.88,0.4,11.0,2023,154
1.0,9:41,4.0,4.0,GNB 43,0.0,0.0,Justin Herbert pass incomplete short middle intended for Donald Parham,0.4,-1.8,11.0,2023,154
1.0,9:36,1.0,10.0,GNB 43,0.0,0.0,Aaron Jones left guard for 3 yards (tackle by Austin Johnson),1.8,1.66,11.0,2023,154
1.0,8:55,2.0,7.0,GNB 46,0.0,0.0,AJ Dillon left end for no gain (tackle by Khalil Mack),1.66,0.96,11.0,2023,154
1.0,8:11,3.0,7.0,GNB 46,0.0,0.0,Jordan Love pass incomplete short right intended for Jayden Reed (defended by Ja'Sir Taylor),0.96,-0.32,11.0,2023,154
1.0,8:07,4.0,7.0,GNB 46,0.0,0.0,"Daniel Whelan punts 40 yards, fair catch by Derius Davis at LAC-14",-0.32,0.28,11.0,2023,154
1.0,8:00,1.0,10.0,LAC 14,0.0,0.0,Austin Ekeler left end for 3 yards (tackle by Preston Smith),-0.28,-0.37,11.0,2023,154
1.0,7:20,2.0,7.0,LAC 17,0.0,0.0,Austin Ekeler right end for 3 yards (tackle by Devonte Wyatt),-0.37,-0.68,11.0,2023,154
1.0,6:37,3.0,4.0,LAC 20,0.0,0.0,Justin Herbert pass complete short middle to Donald Parham for 10 yards (tackle by Jonathan Owens and Keisean Nixon),-0.68,0.94,11.0,2023,154
1.0,6:07,1.0,10.0,LAC 30,0.0,0.0,Joshua Kelley up the middle for 3 yards (tackle by Lukas Van Ness),0.94,0.8,11.0,2023,154
1.0,5:30,2.0,7.0,LAC 33,0.0,0.0,Justin Herbert pass complete short middle to Keenan Allen for 9 yards (tackle by De'Vondre Campbell),0.8,1.73,11.0,2023,154
1.0,4:54,1.0,10.0,LAC 42,0.0,0.0,Justin Herbert scrambles right end for 8 yards (tackle by De'Vondre Campbell),1.73,2.27,11.0,2023,154
1.0,4:18,2.0,2.0,LAC 50,0.0,0.0,Austin Ekeler left end for 1 yard (tackle by Lukas Van Ness),2.27,1.69,11.0,2023,154
1.0,3:41,3.0,1.0,GNB 49,0.0,0.0,Austin Ekeler left end for 37 yards (tackle by Anthony Johnson),1.69,4.78,11.0,2023,154
1.0,2:54,1.0,10.0,GNB 12,0.0,0.0,Joshua Kelley right tackle for 1 yard (tackle by De'Vondre Campbell),4.78,4.27,11.0,2023,154
1.0,2:14,2.0,9.0,GNB 11,0.0,0.0,Justin Herbert pass complete short right to Quentin Johnston for 4 yards (tackle by Carrington Valentine and Quay Walker),4.27,4.16,11.0,2023,154
1.0,1:31,3.0,5.0,GNB 7,0.0,0.0,Justin Herbert pass incomplete short right intended for Keenan Allen (defended by Carrington Valentine),4.16,2.98,11.0,2023,154
1.0,1:24,4.0,5.0,GNB 7,3.0,0.0,Cameron Dicker 25 yard field goal good,2.98,3.0,11.0,2023,154
1.0,1:22,,,LAC 35,3.0,0.0,"Cameron Dicker kicks off 64 yards, returned by Keisean Nixon for 30 yards (tackle by Nick Niemann)",0.0,1.0,11.0,2023,154
1.0,1:17,1.0,10.0,GNB 31,3.0,0.0,Jordan Love pass incomplete deep left intended for Romeo Doubs (defended by Michael Davis),1.0,0.46,11.0,2023,154
1.0,1:10,2.0,10.0,GNB 31,3.0,0.0,Jayden Reed left end for 15 yards (tackle by Khalil Mack),0.46,1.99,11.0,2023,154
1.0,0:30,1.0,10.0,GNB 46,3.0,0.0,Jordan Love pass incomplete short left,1.99,1.45,11.0,2023,154
1.0,0:25,2.0,10.0,GNB 46,3.0,0.0,Jordan Love pass complete short right to AJ Dillon for 2 yards (tackle by Alohi Gilman),1.45,1.03,11.0,2023,154
1.0,0:02,,,,,,Timeout #1 by Los Angeles Chargers,,,11.0,2023,154
1.0,0:02,3.0,8.0,GNB 48,3.0,0.0,Jordan Love pass complete short right to AJ Dillon for 20 yards (tackle by Kenneth Murray),1.03,3.45,11.0,2023,154
2.0,15:00,1.0,10.0,LAC 32,3.0,6.0,"Jayden Reed right end for 32 yards, touchdown",3.45,7.0,11.0,2023,154
2.0,14:53,,,LAC 15,3.0,7.0,Anders Carlson kicks extra point good,0.0,0.0,11.0,2023,154
2.0,14:53,,,GNB 35,3.0,7.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,154
2.0,14:53,1.0,10.0,LAC 25,3.0,7.0,Justin Herbert sacked by Karl Brooks for -6 yards,0.61,-0.81,11.0,2023,154
2.0,14:11,2.0,16.0,LAC 19,3.0,7.0,Justin Herbert scrambles left end for 11 yards (tackle by De'Vondre Campbell),-0.81,0.04,11.0,2023,154
2.0,13:31,3.0,5.0,LAC 30,3.0,7.0,Justin Herbert pass complete short middle to Alex Erickson for 12 yards (tackle by Keisean Nixon),0.04,1.73,11.0,2023,154
2.0,12:56,1.0,10.0,LAC 42,3.0,7.0,Joshua Kelley right tackle for 7 yards (tackle by Preston Smith and Jonathan Owens),1.73,2.13,11.0,2023,154
2.0,12:33,2.0,3.0,LAC 49,3.0,7.0,Justin Herbert pass incomplete deep left intended for Quentin Johnston (defended by Corey Ballentine),2.13,1.42,11.0,2023,154
2.0,12:25,3.0,3.0,LAC 49,9.0,7.0,"Justin Herbert pass complete deep middle to Stone Smartt for 51 yards, touchdown",1.42,7.0,11.0,2023,154
2.0,12:16,,,GNB 15,10.0,7.0,Cameron Dicker kicks extra point good,0.0,0.0,11.0,2023,154
2.0,12:16,,,LAC 35,10.0,7.0,"Cameron Dicker kicks off 49 yards, returned by Malik Heath for 1 yard (tackle by Ja'Sir Taylor)",0.0,-0.06,11.0,2023,154
2.0,12:15,1.0,10.0,GNB 17,10.0,7.0,Jordan Love sacked by Sebastian Joseph-Day for -5 yards,-0.06,-1.15,11.0,2023,154
2.0,11:30,2.0,15.0,GNB 12,10.0,7.0,Jordan Love pass complete deep middle to Dontayvion Wicks for 29 yards (tackle by Derwin James),-1.15,1.66,11.0,2023,154
2.0,10:47,1.0,10.0,GNB 41,10.0,7.0,"Aaron Jones right guard for 9 yards (tackle by Derwin James and Kenneth Murray). Penalty on Austin Johnson: Face Mask (15 Yards), 15 yards (accepted)",1.66,3.25,11.0,2023,154
2.0,10:24,1.0,10.0,LAC 35,10.0,7.0,Emanuel Wilson right guard for 5 yards (tackle by Eric Kendricks),3.25,3.38,11.0,2023,154
2.0,9:44,2.0,5.0,LAC 30,10.0,7.0,Emanuel Wilson left guard for 4 yards (tackle by Kenneth Murray and Eric Kendricks),3.38,3.2,11.0,2023,154
2.0,9:03,3.0,1.0,LAC 26,10.0,7.0,AJ Dillon left guard for 3 yards (tackle by Kenneth Murray),3.2,4.04,11.0,2023,154
2.0,8:21,1.0,10.0,LAC 23,10.0,7.0,Jordan Love pass incomplete short left intended for Aaron Jones (defended by Khalil Mack),4.04,3.5,11.0,2023,154
2.0,8:16,2.0,10.0,LAC 23,10.0,7.0,Jordan Love pass incomplete short middle intended for Luke Musgrave,3.5,2.81,11.0,2023,154
2.0,8:12,3.0,10.0,LAC 23,10.0,7.0,"Penalty on Yosh Nijman: False Start, 5 yards (accepted) (no play)",2.81,2.15,11.0,2023,154
2.0,8:12,3.0,15.0,LAC 28,10.0,7.0,"Jordan Love aborted snap, recovered by Jordan Love at LAC-35 and returned for -6 yards (tackle by Eric Kendricks)",2.15,1.06,11.0,2023,154
2.0,7:21,4.0,21.0,LAC 34,10.0,7.0,Anders Carlson 52 yard field goal no good,1.06,-1.73,11.0,2023,154
2.0,7:16,1.0,10.0,LAC 42,10.0,7.0,Austin Ekeler left tackle for -2 yards (tackle by De'Vondre Campbell and Quay Walker),1.73,0.92,11.0,2023,154
2.0,6:41,2.0,12.0,LAC 40,10.0,7.0,Justin Herbert scrambles up the middle for 7 yards (tackle by Keisean Nixon),0.92,1.16,11.0,2023,154
2.0,6:07,3.0,5.0,LAC 47,10.0,7.0,Justin Herbert pass incomplete short right intended for Quentin Johnston (defended by Carrington Valentine),1.16,-0.26,11.0,2023,154
2.0,6:01,4.0,5.0,LAC 47,10.0,7.0,"JK Scott punts 41 yards, returned by Jayden Reed for 7 yards (tackle by Deane Leonard)",-0.26,-0.15,11.0,2023,154
2.0,5:51,1.0,10.0,GNB 19,10.0,7.0,Jordan Love pass complete short left to Malik Heath for 7 yards (tackle by Michael Davis),0.15,0.61,11.0,2023,154
2.0,5:19,2.0,3.0,GNB 26,10.0,7.0,AJ Dillon left guard for 5 yards (tackle by Eric Kendricks),0.61,1.0,11.0,2023,154
2.0,4:38,1.0,10.0,GNB 31,10.0,7.0,Jordan Love pass complete short right to Aaron Jones for 3 yards (tackle by Eric Kendricks),1.0,0.87,11.0,2023,154
2.0,3:54,2.0,7.0,GNB 34,10.0,7.0,Jordan Love pass incomplete short left intended for Dontayvion Wicks,0.87,0.17,11.0,2023,154
2.0,3:49,3.0,7.0,GNB 34,10.0,7.0,"Penalty on Christian Watson: False Start, 5 yards (accepted) (no play)",0.17,-0.49,11.0,2023,154
2.0,3:49,3.0,12.0,GNB 29,10.0,7.0,Jordan Love pass complete short middle to Jayden Reed for 17 yards (tackle by Ja'Sir Taylor),-0.49,1.99,11.0,2023,154
2.0,3:10,1.0,10.0,GNB 46,10.0,7.0,Aaron Jones left tackle for 2 yards (tackle by Kenneth Murray and Nick Williams),1.99,1.72,11.0,2023,154
2.0,2:47,2.0,8.0,GNB 48,10.0,7.0,Jordan Love pass complete short left to Jayden Reed for 6 yards (tackle by Alohi Gilman and Kenneth Murray),1.72,1.82,11.0,2023,154
2.0,2:19,3.0,2.0,LAC 46,10.0,7.0,AJ Dillon up the middle for 3 yards (tackle by Tuli Tuipulotu),1.82,2.72,11.0,2023,154
2.0,2:00,1.0,10.0,LAC 43,10.0,7.0,Jordan Love pass incomplete short right intended for Emanuel Wilson (defended by Asante Samuel),2.72,2.18,11.0,2023,154
2.0,1:56,2.0,10.0,LAC 43,10.0,7.0,Jordan Love pass complete short right to Jayden Reed for 19 yards (tackle by Eric Kendricks),2.18,3.97,11.0,2023,154
2.0,1:17,1.0,10.0,LAC 24,10.0,7.0,Emanuel Wilson up the middle for 3 yards (tackle by Khalil Mack),3.97,3.84,11.0,2023,154
2.0,0:42,2.0,7.0,LAC 21,10.0,7.0,Jordan Love pass complete short right to Emanuel Wilson for 9 yards (tackle by Kenneth Murray),3.84,4.78,11.0,2023,154
2.0,0:34,,,,,,Timeout #1 by Green Bay Packers,,,11.0,2023,154
2.0,0:34,1.0,10.0,LAC 12,10.0,7.0,Jordan Love pass complete short middle to AJ Dillon for 1 yard (tackle by Tuli Tuipulotu),4.78,4.27,11.0,2023,154
2.0,0:21,,,,,,Timeout #2 by Green Bay Packers,,,11.0,2023,154
2.0,0:21,2.0,9.0,LAC 11,10.0,7.0,Jordan Love scrambles right end for 1 yard (tackle by Derwin James),4.27,3.48,11.0,2023,154
2.0,0:11,,,,,,Timeout #3 by Green Bay Packers,,,11.0,2023,154
2.0,0:11,3.0,8.0,LAC 10,10.0,7.0,"Jordan Love pass complete to Christian Watson for 9 yards Replay Assistant challenged the pass completion ruling, and the original play was overturned. Jordan Love pass incomplete short left intended for Christian Watson",3.48,2.76,11.0,2023,154
2.0,0:11,4.0,8.0,LAC 10,10.0,10.0,Anders Carlson 28 yard field goal good,2.76,3.0,11.0,2023,154
2.0,0:07,,,GNB 35,10.0,10.0,"Anders Carlson kicks off 63 yards, returned by Derius Davis for 21 yards (tackle by Robert Rochell)",0.0,0.48,11.0,2023,154
2.0,0:03,1.0,10.0,LAC 23,10.0,10.0,Justin Herbert kneels for -1 yards,0.48,-0.2,11.0,2023,154
3.0,15:00,,,GNB 35,10.0,10.0,"Anders Carlson kicks off 63 yards, returned by Derius Davis for 20 yards (tackle by Malik Heath)",0.0,0.41,11.0,2023,154
3.0,14:56,1.0,10.0,LAC 22,10.0,10.0,Justin Herbert pass complete short right to Keenan Allen for 9 yards (tackle by Keisean Nixon),0.41,1.08,11.0,2023,154
3.0,14:17,2.0,1.0,LAC 31,10.0,10.0,Austin Ekeler up the middle for 14 yards (tackle by Carrington Valentine and Anthony Johnson),1.08,1.93,11.0,2023,154
3.0,13:43,1.0,10.0,LAC 45,10.0,10.0,Justin Herbert pass complete short right to Quentin Johnston for 17 yards (tackle by Jonathan Owens),1.93,3.05,11.0,2023,154
3.0,13:12,1.0,10.0,GNB 38,10.0,10.0,Justin Herbert pass incomplete deep right intended for Keenan Allen,3.05,2.51,11.0,2023,154
3.0,13:04,2.0,10.0,GNB 38,10.0,10.0,Joshua Kelley left end for 3 yards (tackle by Jonathan Owens),2.51,2.21,11.0,2023,154
3.0,12:29,3.0,7.0,GNB 35,10.0,10.0,Justin Herbert scrambles up the middle for 28 yards (tackle by Corey Ballentine),2.21,5.6,11.0,2023,154
3.0,12:02,1.0,7.0,GNB 7,10.0,10.0,Austin Ekeler right guard for 3 yards (tackle by Quay Walker and Rashan Gary),5.6,5.34,11.0,2023,154
3.0,11:28,2.0,4.0,GNB 4,10.0,10.0,Justin Herbert pass complete short left to Derius Davis for -3 yards (tackle by Keisean Nixon),5.34,3.81,11.0,2023,154
3.0,10:51,3.0,7.0,GNB 7,10.0,10.0,Justin Herbert pass incomplete short middle intended for Keenan Allen,3.81,2.97,11.0,2023,154
3.0,10:47,4.0,7.0,GNB 7,13.0,10.0,Cameron Dicker 26 yard field goal good,2.97,3.0,11.0,2023,154
3.0,10:44,,,LAC 35,13.0,10.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,154
3.0,10:44,1.0,10.0,GNB 25,13.0,10.0,AJ Dillon up the middle for -5 yards (tackle by Khalil Mack),0.61,-0.61,11.0,2023,154
3.0,10:06,2.0,15.0,GNB 20,13.0,10.0,Jordan Love pass complete short right to Tucker Kraft for 5 yards (tackle by Dean Marlowe),-0.61,-0.62,11.0,2023,154
3.0,9:20,3.0,10.0,GNB 25,13.0,10.0,Jordan Love pass complete short left to Luke Musgrave for 10 yards (tackle by Derwin James),-0.62,1.27,11.0,2023,154
3.0,8:39,1.0,10.0,GNB 35,13.0,10.0,AJ Dillon left end for 6 yards (tackle by Kenneth Murray),1.27,1.53,11.0,2023,154
3.0,8:01,2.0,4.0,GNB 41,13.0,10.0,AJ Dillon left end for 3 yards (tackle by Khalil Mack),1.53,1.22,11.0,2023,154
3.0,7:20,3.0,1.0,GNB 44,13.0,10.0,Jordan Love pass complete short right to Jayden Reed for 4 yards (tackle by Ja'Sir Taylor),1.22,2.13,11.0,2023,154
3.0,6:54,1.0,10.0,GNB 48,13.0,10.0,Jordan Love pass complete short left to Christian Watson for 10 yards (tackle by Kenneth Murray and Alohi Gilman),2.13,2.79,11.0,2023,154
3.0,6:13,1.0,10.0,LAC 42,13.0,10.0,Jordan Love pass complete short right to Luke Musgrave for 8 yards (tackle by Asante Samuel),2.79,3.32,11.0,2023,154
3.0,5:37,2.0,2.0,LAC 34,13.0,10.0,AJ Dillon up the middle for -4 yards (tackle by Tuli Tuipulotu),3.32,2.08,11.0,2023,154
3.0,4:54,3.0,6.0,LAC 38,13.0,10.0,Jordan Love sacked by Khalil Mack for -11 yards,2.08,0.0,11.0,2023,154
3.0,4:16,4.0,17.0,LAC 49,13.0,10.0,"Daniel Whelan punts 39 yards, fair catch by Derius Davis at LAC-10",0.0,0.38,11.0,2023,154
3.0,4:07,1.0,10.0,LAC 10,13.0,10.0,Justin Herbert pass complete short right to Keenan Allen for 8 yards (tackle by Jonathan Owens),-0.38,0.07,11.0,2023,154
3.0,3:34,2.0,2.0,LAC 18,13.0,10.0,Joshua Kelley up the middle for -3 yards (tackle by Kingsley Enagbare),0.07,-0.84,11.0,2023,154
3.0,3:11,3.0,5.0,LAC 15,13.0,10.0,Justin Herbert pass complete short right to Keenan Allen for 4 yards (tackle by Keisean Nixon),-0.84,-2.14,11.0,2023,154
3.0,2:35,4.0,1.0,LAC 19,13.0,10.0,"JK Scott punts 57 yards, recovered by Keisean Nixon at GB-29 (tackle by Deane Leonard)",-2.14,-0.94,11.0,2023,154
3.0,2:25,1.0,10.0,GNB 30,13.0,10.0,Jordan Love pass complete deep middle to Dontayvion Wicks for 27 yards (tackle by Alohi Gilman),0.94,2.72,11.0,2023,154
3.0,1:48,1.0,10.0,LAC 43,13.0,10.0,AJ Dillon up the middle for 4 yards (tackle by Dean Marlowe and Austin Johnson),2.72,2.72,11.0,2023,154
3.0,1:04,2.0,6.0,LAC 39,13.0,10.0,"Jordan Love pass complete short right to Tucker Kraft for no gain, touchdown Replay Assistant challenged the runner was in bounds ruling, and the original play was overturned. Jordan Love pass complete short right to Tucker Kraft for 27 yards (tackle by Dean Marlowe)",2.72,4.78,11.0,2023,154
3.0,0:58,1.0,10.0,LAC 12,13.0,10.0,Jordan Love pass complete short left to Romeo Doubs for 1 yard (tackle by Eric Kendricks and Alohi Gilman),4.78,4.27,11.0,2023,154
3.0,0:08,2.0,9.0,LAC 11,13.0,16.0,"Jordan Love pass complete short left to Christian Watson for 11 yards, touchdown",4.27,7.0,11.0,2023,154
3.0,0:04,,,LAC 15,13.0,16.0,Anders Carlson kicks extra point no good,0.0,-1.0,11.0,2023,154
3.0,0:04,,,GNB 35,13.0,16.0,"Anders Carlson kicks off 57 yards, returned by Derius Davis for 17 yards (tackle by Malik Heath)",0.0,0.61,11.0,2023,154
4.0,15:00,1.0,10.0,LAC 25,13.0,16.0,Justin Herbert pass complete deep right to Keenan Allen for 38 yards (tackle by Anthony Johnson),0.61,3.12,11.0,2023,154
4.0,14:18,1.0,10.0,GNB 37,13.0,16.0,Justin Herbert pass complete deep right to Donald Parham for 21 yards,3.12,4.51,11.0,2023,154
4.0,13:38,1.0,10.0,GNB 16,13.0,16.0,Justin Herbert pass complete short middle to Donald Parham for 14 yards (tackle by Anthony Johnson and Jonathan Owens),4.51,6.74,11.0,2023,154
4.0,12:58,1.0,2.0,GNB 2,13.0,16.0,Justin Herbert pass incomplete short left intended for Keenan Allen,6.74,5.72,11.0,2023,154
4.0,12:54,2.0,2.0,GNB 2,13.0,16.0,"Austin Ekeler up the middle for -1 yards. Austin Ekeler fumbles (forced by Kenny Clark), recovered by Rashan Gary at GB-6 (tackle by Kenny Clark)",5.72,0.38,11.0,2023,154
4.0,12:44,1.0,10.0,GNB 6,13.0,16.0,Jordan Love pass incomplete short right intended for Jayden Reed (defended by Tuli Tuipulotu),-0.38,-0.78,11.0,2023,154
4.0,12:41,2.0,10.0,GNB 6,13.0,16.0,AJ Dillon up the middle for 6 yards (tackle by Alohi Gilman and Eric Kendricks),-0.78,-0.72,11.0,2023,154
4.0,12:09,3.0,4.0,GNB 12,13.0,16.0,Jordan Love pass complete short left to Romeo Doubs for 5 yards (tackle by Dean Marlowe),-0.72,-0.06,11.0,2023,154
4.0,11:27,1.0,10.0,GNB 17,13.0,16.0,Jordan Love pass incomplete short left intended for Luke Musgrave,-0.06,-0.58,11.0,2023,154
4.0,11:19,2.0,10.0,GNB 17,13.0,16.0,Jordan Love pass incomplete short right intended for Dontayvion Wicks,-0.58,-1.25,11.0,2023,154
4.0,11:14,3.0,10.0,GNB 17,13.0,16.0,"Jordan Love pass incomplete short left. Penalty on Jordan Love: Intentional Grounding, 9 yards (accepted)",-1.25,-2.49,11.0,2023,154
4.0,11:10,4.0,19.0,GNB 8,13.0,16.0,"Daniel Whelan punts 61 yards, returned by Derius Davis for 6 yards (tackle by Zayne Anderson)",-2.49,-1.4,11.0,2023,154
4.0,11:00,1.0,10.0,LAC 37,13.0,16.0,Joshua Kelley right guard for 2 yards (tackle by Tedarrell Slaton and De'Vondre Campbell),1.4,1.13,11.0,2023,154
4.0,10:32,2.0,8.0,LAC 39,13.0,16.0,Justin Herbert pass incomplete short right intended for Donald Parham,1.13,0.43,11.0,2023,154
4.0,10:23,3.0,8.0,LAC 39,13.0,16.0,Justin Herbert pass complete short middle to Donald Parham for 12 yards (tackle by Jonathan Owens),0.43,2.32,11.0,2023,154
4.0,9:43,1.0,10.0,GNB 49,13.0,16.0,Justin Herbert pass complete short right to Keenan Allen for 11 yards (tackle by Carrington Valentine),2.32,3.05,11.0,2023,154
4.0,9:08,1.0,10.0,GNB 38,13.0,16.0,"Justin Herbert pass incomplete intended for Stone Smartt. Penalty on Stone Smartt: Offensive Pass Interference, 10 yards (accepted) (no play)",3.05,2.39,11.0,2023,154
4.0,8:58,1.0,20.0,GNB 48,13.0,16.0,Justin Herbert pass complete deep left to Keenan Allen for 17 yards (tackle by Corey Ballentine),2.39,3.45,11.0,2023,154
4.0,8:23,2.0,3.0,GNB 31,13.0,16.0,Justin Herbert scrambles left end for 9 yards (tackle by Corey Ballentine),3.45,4.11,11.0,2023,154
4.0,7:40,1.0,10.0,GNB 22,13.0,16.0,"Penalty on LAC: Delay of Game, 5 yards (accepted) (no play)",4.11,3.78,11.0,2023,154
4.0,7:40,1.0,15.0,GNB 27,13.0,16.0,Austin Ekeler up the middle for 5 yards (tackle by Quay Walker and Corey Ballentine),3.78,3.56,11.0,2023,154
4.0,7:01,2.0,10.0,GNB 22,13.0,16.0,Justin Herbert scrambles up the middle for 11 yards (tackle by Quay Walker),3.56,4.84,11.0,2023,154
4.0,6:14,1.0,10.0,GNB 11,13.0,16.0,Austin Ekeler left tackle for 1 yard (tackle by Corey Ballentine and Jonathan Owens),4.84,4.32,11.0,2023,154
4.0,5:32,2.0,9.0,GNB 10,13.0,16.0,Justin Herbert pass incomplete short middle intended for Stone Smartt,4.32,3.3,11.0,2023,154
4.0,5:29,3.0,9.0,GNB 10,19.0,16.0,"Justin Herbert pass complete short middle to Keenan Allen for 10 yards, touchdown",3.3,7.0,11.0,2023,154
4.0,5:24,,,GNB 15,20.0,16.0,Cameron Dicker kicks extra point good,0.0,0.0,11.0,2023,154
4.0,5:24,,,LAC 35,20.0,16.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,154
4.0,5:24,1.0,10.0,GNB 25,20.0,16.0,Christian Watson left end for 1 yard (tackle by Alohi Gilman),0.61,0.2,11.0,2023,154
4.0,4:43,2.0,9.0,GNB 26,20.0,16.0,"Jordan Love sacked by Khalil Mack for -11 yards. Jordan Love fumbles (forced by Khalil Mack), recovered by Zach Tom at GB-15 (tackle by Khalil Mack)",0.2,-2.35,11.0,2023,154
4.0,3:59,3.0,20.0,GNB 15,20.0,16.0,"Jordan Love pass incomplete deep middle intended for Dontayvion Wicks. Penalty on Asante Samuel: Defensive Pass Interference, 24 yards (accepted) (no play)",-2.35,1.53,11.0,2023,154
4.0,3:53,1.0,10.0,GNB 39,20.0,16.0,Jordan Love pass incomplete deep left intended for Christian Watson,1.53,0.99,11.0,2023,154
4.0,3:47,2.0,10.0,GNB 39,20.0,16.0,Jordan Love pass complete short middle to Dontayvion Wicks for 35 yards (tackle by Eric Kendricks),0.99,3.84,11.0,2023,154
4.0,2:59,1.0,10.0,LAC 26,20.0,16.0,AJ Dillon left guard for 2 yards (tackle by Derwin James),3.84,3.57,11.0,2023,154
4.0,2:38,2.0,8.0,LAC 24,20.0,22.0,"Jordan Love pass complete deep left to Romeo Doubs for 24 yards, touchdown",3.57,7.0,11.0,2023,154
4.0,2:33,,,LAC 15,20.0,23.0,Anders Carlson kicks extra point good,0.0,0.0,11.0,2023,154
4.0,2:33,,,GNB 35,20.0,23.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,154
4.0,2:33,1.0,10.0,LAC 25,20.0,23.0,Justin Herbert pass incomplete short left intended for Quentin Johnston,0.61,0.06,11.0,2023,154
4.0,2:29,2.0,10.0,LAC 25,20.0,23.0,Justin Herbert pass incomplete short right intended for Austin Ekeler,0.06,-0.62,11.0,2023,154
4.0,2:26,3.0,10.0,LAC 25,20.0,23.0,Justin Herbert sacked by Rashan Gary for -10 yards,-0.62,-2.44,11.0,2023,154
4.0,2:00,4.0,20.0,LAC 15,20.0,23.0,"JK Scott punts 45 yards, returned by Keisean Nixon for 1 yard (tackle by Deane Leonard)",-2.44,-1.66,11.0,2023,154
4.0,1:47,1.0,10.0,GNB 41,20.0,23.0,AJ Dillon left tackle for 4 yards (tackle by Alohi Gilman and Michael Davis),1.66,1.66,11.0,2023,154
4.0,1:42,,,,,,Timeout #1 by Los Angeles Chargers,,,11.0,2023,154
4.0,1:42,2.0,6.0,GNB 45,20.0,23.0,AJ Dillon right end for no gain (tackle by Kenneth Murray),1.66,0.96,11.0,2023,154
4.0,1:38,,,,,,Timeout #2 by Los Angeles Chargers,,,11.0,2023,154
4.0,1:38,3.0,6.0,GNB 45,20.0,23.0,AJ Dillon up the middle for 2 yards (tackle by Sebastian Joseph-Day and Derwin James),0.96,-0.26,11.0,2023,154
4.0,1:35,,,,,,Timeout #3 by Los Angeles Chargers,,,11.0,2023,154
4.0,1:35,4.0,4.0,GNB 47,20.0,23.0,"Daniel Whelan punts 53 yards, touchback.",-0.26,-0.28,11.0,2023,154
4.0,1:27,1.0,10.0,LAC 20,20.0,23.0,Justin Herbert pass complete short right to Austin Ekeler for 6 yards (tackle by Quay Walker),0.28,0.54,11.0,2023,154
4.0,1:20,2.0,4.0,LAC 26,20.0,23.0,"Justin Herbert aborted snap, recovered by Justin Herbert at LAC-22 and returned for -4 yards",0.54,-0.69,11.0,2023,154
4.0,0:59,3.0,8.0,LAC 22,20.0,23.0,"Justin Herbert pass incomplete short middle intended for Keenan Allen. Penalty on Anthony Johnson: Defensive Pass Interference, 4 yards (accepted) (no play)",-0.69,0.67,11.0,2023,154
