Quarter,Time,Down,ToGo,Location,TEN,JAX,Detail,EPB,EPA,week,year,game_id
1.0,0:36,1.0,10.0,TEN 37,0.0,7.0,Derrick Henry right end for 2 yards (tackle by Folorunso Fatukasi),1.4,1.13,11.0,2023,155
2.0,15:00,2.0,8.0,TEN 39,0.0,7.0,Derrick Henry left end for 3 yards (tackle by Foyesade Oluokun and Rayshawn Jenkins),1.13,0.83,11.0,2023,155
2.0,14:14,3.0,5.0,TEN 42,0.0,7.0,Will Levis pass incomplete short left intended for Josh Whyle (defended by Montaric Brown),0.83,-0.59,11.0,2023,155
2.0,14:05,4.0,5.0,TEN 42,0.0,7.0,"Ryan Stonehouse punts, fair catch by Parker Washington at JAC-12. Penalty on Tank Bigsby: Defensive Offside, 4 yards (accepted) (no play)",-0.59,-0.32,11.0,2023,155
2.0,13:58,4.0,1.0,TEN 46,0.0,7.0,Derrick Henry up the middle for 5 yards (tackle by Travon Walker and Foyesade Oluokun),-0.32,2.32,11.0,2023,155
2.0,13:25,1.0,10.0,JAX 49,0.0,7.0,Will Levis pass incomplete short middle intended for DeAndre Hopkins (defended by Darious Williams),2.32,1.78,11.0,2023,155
2.0,13:10,2.0,10.0,JAX 49,0.0,7.0,Tyjae Spears up the middle for 3 yards (tackle by Foyesade Oluokun and Jeremiah Ledbetter),1.78,1.49,11.0,2023,155
2.0,12:26,,,,,,Timeout #2 by Tennessee Titans,,,11.0,2023,155
2.0,12:26,3.0,7.0,JAX 46,0.0,7.0,Will Levis pass complete short left to Kyle Philips for 10 yards (tackle by Tre Herndon and K'Lavon Chaisson),1.49,3.18,11.0,2023,155
2.0,11:38,1.0,10.0,JAX 36,0.0,7.0,Derrick Henry up the middle for 1 yard (tackle by Devin Lloyd),3.18,2.77,11.0,2023,155
2.0,10:53,2.0,9.0,JAX 35,0.0,7.0,Will Levis pass complete short left to DeAndre Hopkins for 2 yards (tackle by Montaric Brown and Devin Lloyd),2.77,2.35,11.0,2023,155
2.0,10:11,3.0,7.0,JAX 33,0.0,7.0,Will Levis sacked by and Andre Cisco for -7 yards and Josh Allen for -7 yards,2.35,0.59,11.0,2023,155
2.0,9:22,4.0,14.0,JAX 40,0.0,7.0,"Penalty on TEN: Delay of Game, 5 yards (declined) (no play)",0.59,0.59,11.0,2023,155
2.0,9:12,4.0,14.0,JAX 40,0.0,7.0,"Ryan Stonehouse punts 39 yards downed by Chris Moore. Penalty on Anthony Kendall: Illegal Kick/Kicking Loose Ball / Defense, 10 yards (accepted)",0.59,0.37,11.0,2023,155
2.0,8:59,1.0,10.0,JAX 11,0.0,7.0,Travis Etienne right end for 5 yards (tackle by Terrell Edmunds),-0.37,-0.3,11.0,2023,155
2.0,8:26,2.0,5.0,JAX 16,0.0,7.0,Travis Etienne right guard for 8 yards (tackle by Azeez Al-Shaair),-0.3,0.54,11.0,2023,155
2.0,7:49,1.0,10.0,JAX 24,0.0,7.0,Trevor Lawrence pass incomplete deep right intended for Evan Engram (defended by Azeez Al-Shaair),0.54,0.0,11.0,2023,155
2.0,7:42,2.0,10.0,JAX 24,0.0,7.0,Trevor Lawrence pass complete short middle to Christian Kirk for 10 yards (tackle by Azeez Al-Shaair),0.0,1.2,11.0,2023,155
2.0,7:01,1.0,10.0,JAX 34,0.0,7.0,D'Ernest Johnson up the middle for 1 yard (tackle by Jeffery Simmons and Azeez Al-Shaair),1.2,0.79,11.0,2023,155
2.0,6:21,2.0,9.0,JAX 35,0.0,7.0,Trevor Lawrence pass complete short left to Travis Etienne for no gain (tackle by Harold Landry),0.79,0.1,11.0,2023,155
2.0,5:36,3.0,9.0,JAX 35,0.0,7.0,"Trevor Lawrence pass incomplete deep right intended for Zay Jones. Penalty on Roger McCreary: Defensive Pass Interference, 27 yards (accepted) (no play)",0.1,3.05,11.0,2023,155
2.0,5:29,1.0,10.0,TEN 38,0.0,7.0,Calvin Ridley left end for 18 yards (tackle by Terrell Edmunds),3.05,4.24,11.0,2023,155
2.0,4:50,1.0,10.0,TEN 20,0.0,7.0,Travis Etienne right end for 2 yards (tackle by Amani Hooker),4.24,3.96,11.0,2023,155
2.0,4:10,2.0,8.0,TEN 18,0.0,7.0,Travis Etienne right end for 7 yards (tackle by Monty Rice),3.96,4.59,11.0,2023,155
2.0,3:24,3.0,1.0,TEN 11,0.0,7.0,Travis Etienne up the middle for -1 yards (tackle by Jeffery Simmons),4.59,2.76,11.0,2023,155
2.0,2:47,4.0,2.0,TEN 12,0.0,10.0,Brandon McManus 30 yard field goal good,2.76,3.0,11.0,2023,155
2.0,2:43,,,JAX 35,0.0,10.0,"Brandon McManus kicks off 55 yards, returned by Tyjae Spears for 11 yards (tackle by Andrew Wingard)",0.0,0.34,11.0,2023,155
2.0,2:39,1.0,10.0,TEN 21,0.0,10.0,Will Levis pass incomplete short left intended for Derrick Henry (defended by Travon Walker),0.34,-0.2,11.0,2023,155
2.0,2:34,2.0,10.0,TEN 21,0.0,10.0,Will Levis pass complete short left to DeAndre Hopkins for 3 yards (tackle by Andre Cisco),-0.2,-0.49,11.0,2023,155
2.0,2:00,3.0,7.0,TEN 24,0.0,10.0,Will Levis pass complete short left to Chigoziem Okonkwo for 6 yards (tackle by Devin Lloyd and Montaric Brown),-0.49,-1.37,11.0,2023,155
2.0,1:54,,,,,,Timeout #1 by Jacksonville Jaguars,,,11.0,2023,155
2.0,1:54,4.0,1.0,TEN 30,0.0,10.0,Ryan Stonehouse punts 41 yards out of bounds,-1.37,-0.87,11.0,2023,155
2.0,1:48,1.0,10.0,JAX 29,0.0,10.0,Travis Etienne left guard for 9 yards (tackle by Azeez Al-Shaair),0.87,1.54,11.0,2023,155
2.0,1:21,2.0,1.0,JAX 38,0.0,10.0,Trevor Lawrence sacked by Terrell Edmunds for -1 yards,1.54,0.7,11.0,2023,155
2.0,1:14,3.0,2.0,JAX 37,0.0,10.0,"Penalty on Harold Landry: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.7,1.73,11.0,2023,155
2.0,1:14,1.0,10.0,JAX 42,0.0,10.0,Trevor Lawrence pass incomplete deep left intended for Calvin Ridley,1.73,1.19,11.0,2023,155
2.0,1:10,2.0,10.0,JAX 42,0.0,10.0,Trevor Lawrence pass complete short middle to Zay Jones for 8 yards (tackle by Kristian Fulton),1.19,1.55,11.0,2023,155
2.0,0:49,3.0,2.0,JAX 50,0.0,10.0,Trevor Lawrence pass complete short left to Travis Etienne for 2 yards (tackle by Elijah Molden),1.55,2.39,11.0,2023,155
2.0,0:45,1.0,10.0,TEN 48,0.0,10.0,Trevor Lawrence pass incomplete short right intended for Christian Kirk (defended by Rashad Weaver),2.39,1.85,11.0,2023,155
2.0,0:41,2.0,10.0,TEN 48,0.0,10.0,Trevor Lawrence pass complete deep left to Calvin Ridley for 34 yards (tackle by Amani Hooker),1.85,4.65,11.0,2023,155
2.0,0:35,1.0,10.0,TEN 14,0.0,10.0,Trevor Lawrence pass incomplete short right intended for Christian Kirk,4.65,4.0,11.0,2023,155
2.0,0:31,2.0,10.0,TEN 14,0.0,10.0,Trevor Lawrence pass complete short left to Evan Engram for 8 yards (tackle by Elijah Molden),4.0,4.73,11.0,2023,155
2.0,0:24,,,,,,Timeout #2 by Jacksonville Jaguars,,,11.0,2023,155
2.0,0:24,3.0,2.0,TEN 6,0.0,10.0,Trevor Lawrence pass incomplete short left intended for Calvin Ridley,4.73,3.01,11.0,2023,155
2.0,0:18,4.0,2.0,TEN 6,0.0,13.0,Brandon McManus 25 yard field goal good,3.01,3.0,11.0,2023,155
2.0,0:14,,,JAX 35,0.0,13.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,155
2.0,0:14,1.0,10.0,TEN 25,0.0,13.0,Will Levis kneels for -1 yards,0.61,-0.07,11.0,2023,155
3.0,15:00,,,TEN 35,0.0,13.0,"Nick Folk kicks off 56 yards, returned by D'Ernest Johnson for 18 yards (tackle by Terrell Edmunds)",0.0,0.74,11.0,2023,155
3.0,14:56,1.0,10.0,JAX 27,0.0,13.0,D'Ernest Johnson left end for 9 yards (tackle by K'Von Wallace and Azeez Al-Shaair),0.74,1.41,11.0,2023,155
3.0,14:16,2.0,1.0,JAX 36,0.0,13.0,Trevor Lawrence pass complete short left to Calvin Ridley for 4 yards (tackle by K'Von Wallace),1.41,1.6,11.0,2023,155
3.0,13:41,1.0,10.0,JAX 40,0.0,13.0,Trevor Lawrence pass complete short left to Luke Farrell for 14 yards (tackle by K'Von Wallace),1.6,2.52,11.0,2023,155
3.0,13:05,1.0,10.0,TEN 46,0.0,13.0,D'Ernest Johnson right end for 1 yard (tackle by Roger McCreary and Elijah Molden),2.52,2.11,11.0,2023,155
3.0,12:25,2.0,9.0,TEN 45,0.0,13.0,Trevor Lawrence scrambles up the middle for 5 yards (tackle by Teair Tart),2.11,2.08,11.0,2023,155
3.0,11:38,,,,,,Timeout #1 by Jacksonville Jaguars,,,11.0,2023,155
3.0,11:38,3.0,4.0,TEN 40,0.0,13.0,D'Ernest Johnson left end for no gain (tackle by Harold Landry and Arden Key),2.08,0.59,11.0,2023,155
3.0,10:56,4.0,4.0,TEN 40,0.0,13.0,Trevor Lawrence pass complete short left to D'Ernest Johnson for 34 yards (tackle by K'Von Wallace),0.59,5.83,11.0,2023,155
3.0,10:04,1.0,6.0,TEN 6,0.0,13.0,Trevor Lawrence left guard for -3 yards (tackle by Denico Autry),5.83,4.38,11.0,2023,155
3.0,9:21,2.0,9.0,TEN 9,0.0,19.0,"Trevor Lawrence scrambles left end for 9 yards, touchdown",4.38,7.0,11.0,2023,155
3.0,9:12,,,TEN 15,0.0,20.0,Brandon McManus kicks extra point good,0.0,0.0,11.0,2023,155
3.0,9:12,,,JAX 35,0.0,20.0,"Brandon McManus kicks off 66 yards, returned by Tyjae Spears for 19 yards (tackle by Andrew Wingard)",0.0,0.04,11.0,2023,155
3.0,9:06,1.0,10.0,TEN 18,0.0,20.0,"Penalty on Trevon Wesco: False Start, 5 yards (accepted) (no play)",0.04,-0.45,11.0,2023,155
3.0,9:06,1.0,15.0,TEN 13,0.0,20.0,Will Levis pass complete short right to Josh Whyle for 7 yards (tackle by Montaric Brown and Devin Lloyd),-0.45,-0.13,11.0,2023,155
3.0,8:29,2.0,8.0,TEN 20,0.0,20.0,Derrick Henry up the middle for 1 yard (tackle by Devin Lloyd and Folorunso Fatukasi),-0.13,-0.79,11.0,2023,155
3.0,7:41,3.0,7.0,TEN 21,0.0,20.0,Will Levis pass complete short right to Tyjae Spears for 6 yards (tackle by Devin Lloyd and Andre Cisco),-0.79,-1.57,11.0,2023,155
3.0,6:59,4.0,1.0,TEN 27,0.0,20.0,"Ryan Stonehouse punts 73 yards, touchback.",-1.57,-0.28,11.0,2023,155
3.0,6:51,1.0,10.0,JAX 20,0.0,20.0,Travis Etienne right end for 2 yards (tackle by Elijah Molden),0.28,0.0,11.0,2023,155
3.0,6:14,2.0,8.0,JAX 22,0.0,20.0,Travis Etienne left end for 11 yards (tackle by Jack Gibbens and Amani Hooker),0.0,1.14,11.0,2023,155
3.0,5:35,1.0,10.0,JAX 33,0.0,20.0,Trevor Lawrence pass complete deep right to Calvin Ridley for 26 yards (tackle by Roger McCreary),1.14,2.85,11.0,2023,155
3.0,4:53,1.0,10.0,TEN 41,0.0,20.0,D'Ernest Johnson up the middle for 3 yards (tackle by Jack Gibbens and Harold Landry),2.85,2.71,11.0,2023,155
3.0,4:14,2.0,7.0,TEN 38,0.0,20.0,Trevor Lawrence pass complete deep left to Christian Kirk for 18 yards (tackle by Tre Avery),2.71,4.24,11.0,2023,155
3.0,3:30,1.0,10.0,TEN 20,0.0,26.0,"Trevor Lawrence pass complete deep left to Calvin Ridley for 20 yards, touchdown",4.24,7.0,11.0,2023,155
3.0,3:22,,,TEN 15,0.0,27.0,Brandon McManus kicks extra point good,0.0,0.0,11.0,2023,155
3.0,3:22,,,JAX 35,0.0,27.0,"Brandon McManus kicks off 65 yards, returned by Tyjae Spears for 25 yards (tackle by Antonio Johnson and Andrew Wingard)",0.0,0.61,11.0,2023,155
3.0,3:15,1.0,10.0,TEN 25,0.0,27.0,Tyjae Spears up the middle for 5 yards (tackle by Josh Allen and Montaric Brown),0.61,0.74,11.0,2023,155
3.0,2:29,2.0,5.0,TEN 30,0.0,27.0,Will Levis pass complete short middle to Nick Westbrook-Ikhine for 7 yards (tackle by Foyesade Oluokun),0.74,1.4,11.0,2023,155
3.0,1:52,1.0,10.0,TEN 37,0.0,27.0,"Penalty on Dillon Radunz: False Start, 5 yards (accepted) (no play)",1.4,1.07,11.0,2023,155
3.0,1:33,1.0,15.0,TEN 32,0.0,27.0,Will Levis pass complete short right to Tyjae Spears for 6 yards (tackle by Devin Lloyd),1.07,0.99,11.0,2023,155
3.0,0:54,2.0,9.0,TEN 38,0.0,27.0,Tyjae Spears up the middle for 4 yards (tackle by Montaric Brown),0.99,0.83,11.0,2023,155
3.0,0:10,3.0,5.0,TEN 42,0.0,27.0,"Will Levis pass incomplete left. Penalty on K'Lavon Chaisson: Roughing the Passer, 15 yards (accepted) (no play)",0.83,2.72,11.0,2023,155
3.0,0:05,1.0,10.0,JAX 43,6.0,27.0,"Will Levis pass complete deep right to DeAndre Hopkins for 43 yards, touchdown",2.72,7.0,11.0,2023,155
3.0,0:00,,,JAX 15,7.0,27.0,Nick Folk kicks extra point good,0.0,0.0,11.0,2023,155
4.0,15:00,,,TEN 35,7.0,27.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,155
4.0,15:00,1.0,10.0,JAX 25,7.0,27.0,Travis Etienne left guard for -1 yards (tackle by Monty Rice and Teair Tart),0.61,-0.07,11.0,2023,155
4.0,14:19,2.0,11.0,JAX 24,7.0,27.0,Trevor Lawrence pass complete short right to Calvin Ridley for 2 yards (tackle by Roger McCreary),-0.07,-0.49,11.0,2023,155
4.0,13:40,3.0,9.0,JAX 26,7.0,27.0,Trevor Lawrence pass complete short left to Zay Jones for 4 yards (tackle by Eric Garror),-0.49,-1.37,11.0,2023,155
4.0,13:01,4.0,5.0,JAX 30,7.0,27.0,"Logan Cooke punts 49 yards, returned by Eric Garror for 15 yards. Eric Garror fumbles (forced by Ross Matiscik), recovered by Ross Matiscik at TEN-36 (tackle by Ross Matiscik) Replay Assistant challenged the fumble ruling, and the play was upheld.",-1.37,3.18,11.0,2023,155
4.0,12:54,1.0,10.0,TEN 36,7.0,27.0,Trevor Lawrence pass incomplete deep left intended for Evan Engram,3.18,2.64,11.0,2023,155
4.0,12:46,2.0,10.0,TEN 36,7.0,27.0,Trevor Lawrence pass complete short middle to Evan Engram for 3 yards (tackle by Monty Rice),2.64,2.35,11.0,2023,155
4.0,12:06,3.0,7.0,TEN 33,7.0,27.0,Trevor Lawrence pass complete short middle to Evan Engram for 13 yards (tackle by Mike Brown and Monty Rice),2.35,4.24,11.0,2023,155
4.0,11:17,1.0,10.0,TEN 20,7.0,27.0,Trevor Lawrence pass complete short left to Zay Jones for 2 yards (tackle by Tre Avery),4.24,3.96,11.0,2023,155
4.0,10:33,2.0,8.0,TEN 18,7.0,27.0,Trevor Lawrence pass complete short right to Travis Etienne for 5 yards (tackle by Monty Rice),3.96,4.1,11.0,2023,155
4.0,9:44,3.0,3.0,TEN 13,7.0,27.0,Travis Etienne up the middle for 2 yards (tackle by Monty Rice),4.1,2.85,11.0,2023,155
4.0,8:59,4.0,1.0,TEN 11,7.0,27.0,Tank Bigsby right guard for 3 yards (tackle by Harold Landry and Monty Rice),2.85,5.37,11.0,2023,155
4.0,8:15,1.0,8.0,TEN 8,7.0,27.0,D'Ernest Johnson right end for 3 yards (tackle by Roger McCreary),5.37,5.15,11.0,2023,155
4.0,7:34,2.0,5.0,TEN 5,7.0,33.0,"Trevor Lawrence scrambles right end for 5 yards, touchdown Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",5.15,7.0,11.0,2023,155
4.0,7:28,,,TEN 15,7.0,34.0,Brandon McManus kicks extra point good,0.0,0.0,11.0,2023,155
4.0,7:28,,,JAX 35,7.0,34.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,155
4.0,7:28,1.0,10.0,TEN 25,7.0,34.0,"Will Levis pass complete short left to Derrick Henry for 10 yards (tackle by Roy Robertson-Harris). Penalty on Peter Skoronski: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.61,0.28,11.0,2023,155
4.0,7:06,1.0,15.0,TEN 20,7.0,34.0,"Derrick Henry up the middle for 6 yards (tackle by Devin Lloyd and Travon Walker). Penalty on Adam Gotsis: Defensive Holding, 5 yards (accepted)",0.28,1.0,11.0,2023,155
4.0,6:42,1.0,10.0,TEN 31,7.0,34.0,Will Levis pass complete deep left to Chris Moore for 49 yards (tackle by Montaric Brown),1.0,4.24,11.0,2023,155
4.0,5:56,1.0,10.0,JAX 20,7.0,34.0,Derrick Henry left end for 16 yards (tackle by Andre Cisco and Devin Lloyd),4.24,6.28,11.0,2023,155
4.0,5:14,1.0,4.0,JAX 4,7.0,34.0,Tyjae Spears left guard for 2 yards (tackle by Tyler Lacy and Travon Walker),6.28,5.72,11.0,2023,155
4.0,4:34,2.0,2.0,JAX 2,13.0,34.0,"Will Levis pass complete short right to Jeffery Simmons for 2 yards, touchdown",5.72,7.0,11.0,2023,155
4.0,4:28,,,JAX 15,14.0,34.0,Nick Folk kicks extra point good,0.0,0.0,11.0,2023,155
4.0,4:28,,,TEN 35,14.0,34.0,"Nick Folk kicks onside 11 yards, returned by Evan Engram for no gain",0.0,2.52,11.0,2023,155
4.0,4:27,1.0,10.0,TEN 46,14.0,34.0,Tank Bigsby right guard for 2 yards (tackle by TK McLendon and Eric Garror),2.52,2.25,11.0,2023,155
4.0,3:44,2.0,8.0,TEN 44,14.0,34.0,Tank Bigsby up the middle for 1 yard (tackle by Harold Landry and Kyle Peko),2.25,1.68,11.0,2023,155
4.0,3:01,3.0,7.0,TEN 43,14.0,34.0,Tank Bigsby right end for 6 yards (tackle by Jack Gibbens),1.68,0.79,11.0,2023,155
4.0,2:54,4.0,1.0,TEN 37,14.0,34.0,Tank Bigsby up the middle for 6 yards (tackle by Mike Brown and Terrell Edmunds),0.79,3.51,11.0,2023,155
4.0,2:07,1.0,10.0,TEN 31,14.0,34.0,Tank Bigsby left end for -3 yards (tackle by Rashad Weaver),3.51,2.56,11.0,2023,155
4.0,2:00,2.0,13.0,TEN 34,14.0,34.0,Tank Bigsby left guard for no gain (tackle by Harold Landry and Rashad Weaver),2.56,1.88,11.0,2023,155
4.0,1:17,3.0,13.0,TEN 34,14.0,34.0,Tank Bigsby left end for 6 yards (tackle by Jaleel Johnson and Monty Rice),1.88,1.59,11.0,2023,155
4.0,0:33,4.0,7.0,TEN 28,14.0,34.0,Tank Bigsby right guard for no gain (tackle by Harold Landry),1.59,-0.81,11.0,2023,155
4.0,0:27,1.0,10.0,TEN 28,14.0,34.0,Will Levis kneels for -1 yards,0.81,0.13,11.0,2023,155
