Quarter,Time,Down,ToGo,Location,TAM,SFO,Detail,EPB,EPA,week,year,game_id
3.0,12:42,3.0,3.0,TAM 42,7.0,13.0,Baker Mayfield pass incomplete deep right intended for Trey Palmer (defended by Charvarius Ward),0.96,-0.59,11.0,2023,160
3.0,12:36,4.0,3.0,TAM 42,7.0,13.0,Jake Camarda punts 56 yards out of bounds,-0.59,0.38,11.0,2023,160
3.0,12:28,1.0,10.0,SFO 2,7.0,13.0,Christian McCaffrey up the middle for 1 yard (tackle by Antoine Winfield and Shaquil Barrett),-0.38,-0.71,11.0,2023,160
3.0,11:46,2.0,9.0,SFO 3,7.0,13.0,Brock Purdy pass complete short left to George Kittle for 21 yards (tackle by Jamel Dean),-0.71,0.54,11.0,2023,160
3.0,11:06,1.0,10.0,SFO 24,7.0,19.0,"Brock Purdy pass complete deep left to Brandon Aiyuk for 76 yards, touchdown",0.54,7.0,11.0,2023,160
3.0,10:54,,,TAM 15,7.0,20.0,Jake Moody kicks extra point good,0.0,0.0,11.0,2023,160
3.0,10:54,,,SFO 35,7.0,20.0,"Jake Moody kicks off 62 yards, returned by Deven Thompkins for 16 yards (tackle by Charlie Woerner). Penalty on Payne Durham: Offensive Illegal Block Above the Waist, 10 yards (declined) . Penalty on SirVocea Dennis: Offensive Illegal Block Above the Waist, 9 yards (accepted)",0.0,-0.38,11.0,2023,160
3.0,10:48,1.0,10.0,TAM 10,7.0,20.0,Rachaad White left tackle for no gain (tackle by Javon Kinlaw and Dre Greenlaw),-0.38,-0.78,11.0,2023,160
3.0,10:04,2.0,10.0,TAM 10,7.0,20.0,Baker Mayfield pass complete short right to Trey Palmer for -1 yards (tackle by Charvarius Ward),-0.78,-1.54,11.0,2023,160
3.0,9:21,3.0,11.0,TAM 9,7.0,20.0,Baker Mayfield pass complete short right to Mike Evans for 13 yards (tackle by Charvarius Ward),-1.54,0.41,11.0,2023,160
3.0,8:40,1.0,10.0,TAM 22,7.0,20.0,Baker Mayfield pass complete short right to Rachaad White for 11 yards (tackle by Arik Armstead),0.41,1.14,11.0,2023,160
3.0,7:56,1.0,10.0,TAM 33,7.0,20.0,Baker Mayfield pass complete short middle to Chris Godwin for no gain (tackle by Fred Warner),1.14,0.59,11.0,2023,160
3.0,7:15,2.0,10.0,TAM 33,7.0,20.0,Baker Mayfield pass incomplete short middle intended for Rachaad White,0.59,-0.1,11.0,2023,160
3.0,7:12,3.0,10.0,TAM 33,7.0,20.0,Baker Mayfield pass incomplete deep middle intended for Mike Evans (defended by Dre Greenlaw),-0.1,-1.18,11.0,2023,160
3.0,7:08,4.0,10.0,TAM 33,7.0,20.0,"Jake Camarda aborted snap, recovered by Jake Camarda at TB-33 Jake Camarda punts 46 yards, fair catch by Ray-Ray McCloud at SF-21",-1.18,-0.34,11.0,2023,160
3.0,7:00,1.0,10.0,SFO 21,7.0,20.0,Christian McCaffrey right end for 12 yards (tackle by Carlton Davis),0.34,1.14,11.0,2023,160
3.0,6:16,1.0,10.0,SFO 33,7.0,20.0,Brock Purdy pass complete short left to George Kittle for 11 yards (tackle by Antoine Winfield),1.14,1.86,11.0,2023,160
3.0,5:36,1.0,10.0,SFO 44,7.0,20.0,Christian McCaffrey left tackle for -4 yards (tackle by Shaquil Barrett),1.86,0.78,11.0,2023,160
3.0,4:58,2.0,14.0,SFO 40,7.0,20.0,Brock Purdy pass complete deep right to Deebo Samuel for 40 yards (tackle by Dee Delaney),0.78,4.24,11.0,2023,160
3.0,4:17,1.0,10.0,TAM 20,7.0,20.0,Christian McCaffrey up the middle for 6 yards (tackle by Logan Hall and Kaevon Merriweather),4.24,4.64,11.0,2023,160
3.0,3:35,2.0,4.0,TAM 14,7.0,20.0,Christian McCaffrey right tackle for 3 yards (tackle by Greg Gaines and Antoine Winfield),4.64,4.59,11.0,2023,160
3.0,2:52,3.0,1.0,TAM 11,7.0,20.0,Christian McCaffrey left tackle for 5 yards (tackle by Antoine Winfield),4.59,5.83,11.0,2023,160
3.0,2:24,1.0,6.0,TAM 6,7.0,20.0,Christian McCaffrey up the middle for 3 yards (tackle by Vita Vea),5.83,5.53,11.0,2023,160
3.0,1:46,2.0,3.0,TAM 3,7.0,26.0,"Brock Purdy pass complete short left to George Kittle for 3 yards, touchdown",5.53,7.0,11.0,2023,160
3.0,1:42,,,TAM 15,7.0,27.0,Jake Moody kicks extra point good,0.0,0.0,11.0,2023,160
3.0,1:42,,,SFO 35,7.0,27.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,160
3.0,1:42,1.0,10.0,TAM 25,7.0,27.0,Baker Mayfield pass complete short left to Mike Evans for 6 yards (tackle by Ji'Ayir Brown),0.61,0.87,11.0,2023,160
3.0,1:04,2.0,4.0,TAM 31,7.0,27.0,Chase Edmonds left end for 1 yard (tackle by Chase Young),0.87,0.3,11.0,2023,160
3.0,0:22,3.0,3.0,TAM 32,7.0,27.0,Baker Mayfield pass complete short left to Chris Godwin for 4 yards (tackle by Ambry Thomas),0.3,1.33,11.0,2023,160
4.0,15:00,1.0,10.0,TAM 36,7.0,27.0,Baker Mayfield pass complete deep middle to Rakim Jarrett for 41 yards (tackle by Ji'Ayir Brown),1.33,4.04,11.0,2023,160
4.0,14:27,1.0,10.0,SFO 23,7.0,27.0,"Baker Mayfield pass incomplete deep middle intended for Cade Otton. Penalty on Fred Warner: Defensive Pass Interference, 22 yards (accepted) (no play)",4.04,6.97,11.0,2023,160
4.0,14:22,1.0,1.0,SFO 1,13.0,27.0,"Rachaad White right guard for 1 yard, touchdown",6.97,7.0,11.0,2023,160
4.0,14:16,,,SFO 15,14.0,27.0,Chase McLaughlin kicks extra point good,0.0,0.0,11.0,2023,160
4.0,14:16,,,TAM 35,14.0,27.0,"Jake Camarda kicks off 47 yards, returned by Jordan Mason for 12 yards (tackle by SirVocea Dennis)",0.0,0.94,11.0,2023,160
4.0,14:11,1.0,10.0,SFO 30,14.0,27.0,"Penalty on Kyle Juszczyk: False Start, 5 yards (accepted) (no play)",0.94,0.61,11.0,2023,160
4.0,14:11,1.0,15.0,SFO 25,14.0,27.0,Christian McCaffrey up the middle for 2 yards (tackle by William Gholston and Antoine Winfield),0.61,-0.01,11.0,2023,160
4.0,13:24,,,,,,Timeout #1 by San Francisco 49ers,,,11.0,2023,160
4.0,13:24,2.0,13.0,SFO 27,14.0,27.0,Brock Purdy pass complete short left to Christian McCaffrey for 6 yards (tackle by Josh Hayes and SirVocea Dennis),-0.01,0.1,11.0,2023,160
4.0,12:41,3.0,7.0,SFO 33,14.0,27.0,Brock Purdy pass incomplete short right intended for Brandon Aiyuk,0.1,-1.18,11.0,2023,160
4.0,12:36,4.0,7.0,SFO 33,14.0,27.0,"Mitch Wishnowsky punts 60 yards, returned by Deven Thompkins for 13 yards (tackle by George Odum)",-1.18,-0.28,11.0,2023,160
4.0,12:25,1.0,10.0,TAM 20,14.0,27.0,Baker Mayfield pass incomplete short middle intended for Trey Palmer (defended by Fred Warner),0.28,-0.27,11.0,2023,160
4.0,12:20,2.0,10.0,TAM 20,14.0,27.0,Baker Mayfield pass complete short right to Mike Evans for 12 yards (tackle by Charvarius Ward),-0.27,1.07,11.0,2023,160
4.0,12:00,1.0,10.0,TAM 32,14.0,27.0,Baker Mayfield pass complete short right to Chris Godwin for 9 yards,1.07,1.74,11.0,2023,160
4.0,11:45,2.0,1.0,TAM 41,14.0,27.0,Rachaad White up the middle for 3 yards (tackle by Fred Warner),1.74,1.86,11.0,2023,160
4.0,11:16,1.0,10.0,TAM 44,14.0,27.0,Baker Mayfield pass complete short middle to Trey Palmer for 3 yards (tackle by Fred Warner),1.86,1.72,11.0,2023,160
4.0,10:47,2.0,7.0,TAM 47,14.0,27.0,Baker Mayfield pass complete short right to Chris Godwin for 8 yards (tackle by Charvarius Ward),1.72,2.59,11.0,2023,160
4.0,10:24,1.0,10.0,SFO 45,14.0,27.0,Baker Mayfield pass complete short right to Rachaad White for no gain (tackle by Fred Warner),2.59,2.04,11.0,2023,160
4.0,9:49,2.0,10.0,SFO 45,14.0,27.0,Baker Mayfield pass complete short right to Rachaad White for no gain (tackle by Deommodore Lenoir),2.04,1.36,11.0,2023,160
4.0,9:03,3.0,10.0,SFO 45,14.0,27.0,Baker Mayfield pass complete short middle to Chris Godwin for 11 yards (tackle by Charvarius Ward),1.36,3.31,11.0,2023,160
4.0,8:32,1.0,10.0,SFO 34,14.0,27.0,Baker Mayfield pass complete short right to Payne Durham for 5 yards,3.31,3.45,11.0,2023,160
4.0,7:58,2.0,5.0,SFO 29,14.0,27.0,Baker Mayfield pass incomplete deep middle intended for Mike Evans,3.45,2.74,11.0,2023,160
4.0,7:54,3.0,5.0,SFO 29,14.0,27.0,Baker Mayfield pass incomplete short middle intended for Mike Evans (defended by Fred Warner),2.74,1.54,11.0,2023,160
4.0,7:50,4.0,5.0,SFO 29,14.0,27.0,Baker Mayfield pass complete short right to Mike Evans for 11 yards (tackle by Ambry Thomas and Ji'Ayir Brown),1.54,4.37,11.0,2023,160
4.0,7:17,1.0,10.0,SFO 18,14.0,27.0,Baker Mayfield pass complete short right to Cade Otton for 6 yards (tackle by Dre Greenlaw and Charvarius Ward),4.37,4.81,11.0,2023,160
4.0,6:53,2.0,4.0,SFO 12,14.0,27.0,Baker Mayfield pass incomplete short middle intended for Deven Thompkins,4.81,4.03,11.0,2023,160
4.0,6:49,3.0,4.0,SFO 12,14.0,27.0,Baker Mayfield pass incomplete short right intended for Mike Evans (defended by Tashaun Gipson),4.03,2.71,11.0,2023,160
4.0,6:45,4.0,4.0,SFO 12,14.0,27.0,Baker Mayfield pass incomplete short left intended for Mike Evans (defended by Ji'Ayir Brown),2.71,0.35,11.0,2023,160
4.0,6:39,1.0,10.0,SFO 12,14.0,27.0,Christian McCaffrey left tackle for -1 yards (tackle by YaYa Diaby and Antoine Winfield),-0.35,-0.85,11.0,2023,160
4.0,5:57,2.0,11.0,SFO 11,14.0,27.0,Brock Purdy sacked by YaYa Diaby for -8 yards,-0.85,-2.47,11.0,2023,160
4.0,5:12,3.0,19.0,SFO 3,14.0,27.0,Christian McCaffrey up the middle for 12 yards (tackle by SirVocea Dennis and Antoine Winfield),-2.47,-2.44,11.0,2023,160
4.0,4:27,4.0,7.0,SFO 15,14.0,27.0,"Mitch Wishnowsky punts 49 yards, returned by Deven Thompkins for 51 yards (tackle by Dee Winters)",-2.44,-4.71,11.0,2023,160
4.0,4:12,1.0,10.0,SFO 13,14.0,27.0,Baker Mayfield pass complete short left to Rachaad White for 4 yards (tackle by Dre Greenlaw and Ambry Thomas),4.71,4.77,11.0,2023,160
4.0,3:46,2.0,6.0,SFO 9,14.0,27.0,Baker Mayfield pass incomplete short middle intended for Cade Otton (defended by Ji'Ayir Brown),4.77,3.88,11.0,2023,160
4.0,3:42,3.0,6.0,SFO 9,14.0,27.0,Baker Mayfield pass short left (defended by Dre Greenlaw) intended for Chris Godwin is intercepted by Ji'Ayir Brown in end zone and returned for no gain,3.88,-0.28,11.0,2023,160
4.0,3:38,1.0,10.0,SFO 20,14.0,27.0,Christian McCaffrey up the middle for -1 yards (tackle by Vita Vea),0.28,-0.46,11.0,2023,160
4.0,3:33,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,11.0,2023,160
4.0,3:33,2.0,11.0,SFO 19,14.0,27.0,Brock Purdy left end for 13 yards (tackle by Josh Hayes),-0.46,1.07,11.0,2023,160
4.0,2:52,1.0,10.0,SFO 32,14.0,27.0,Brock Purdy pass complete short right to George Kittle for 12 yards (tackle by Antoine Winfield),1.07,1.86,11.0,2023,160
4.0,2:43,1.0,10.0,SFO 44,14.0,27.0,Christian McCaffrey left end for 6 yards (tackle by Kaevon Merriweather),1.86,2.13,11.0,2023,160
4.0,2:34,2.0,4.0,SFO 50,14.0,27.0,Christian McCaffrey left guard for 2 yards (tackle by Shaquil Barrett),2.13,1.69,11.0,2023,160
4.0,2:30,,,,,,Timeout #2 by Tampa Bay Buccaneers,,,11.0,2023,160
4.0,2:30,3.0,2.0,TAM 48,14.0,27.0,Christian McCaffrey left guard for 1 yard (tackle by Shaquil Barrett and Kaevon Merriweather),1.69,0.13,11.0,2023,160
4.0,2:19,,,,,,Timeout #3 by Tampa Bay Buccaneers,,,11.0,2023,160
4.0,2:19,4.0,1.0,TAM 47,14.0,27.0,Christian McCaffrey left guard for no gain (tackle by Josh Hayes and Antoine Winfield),0.13,-2.06,11.0,2023,160
4.0,2:13,1.0,10.0,TAM 47,14.0,27.0,Baker Mayfield pass complete short right to Cade Otton for 8 yards (tackle by Dre Greenlaw),2.06,2.6,11.0,2023,160
4.0,2:08,2.0,2.0,SFO 45,14.0,27.0,Baker Mayfield pass incomplete short right,2.6,1.88,11.0,2023,160
4.0,2:02,3.0,2.0,SFO 45,14.0,27.0,Rachaad White up the middle for 5 yards (tackle by Arik Armstead and Ji'Ayir Brown),1.88,2.92,11.0,2023,160
4.0,1:57,1.0,10.0,SFO 40,14.0,27.0,"Baker Mayfield sacked by and Nick Bosa for -7 yards and Dre Greenlaw for -7 yards. Penalty on Luke Goedeke: Offensive Holding, 10 yards (declined)",2.92,1.43,11.0,2023,160
4.0,1:50,2.0,17.0,SFO 47,14.0,27.0,Baker Mayfield pass complete short right to Cade Otton for 8 yards (tackle by Deommodore Lenoir and Fred Warner),1.43,1.82,11.0,2023,160
4.0,1:44,3.0,9.0,SFO 39,14.0,27.0,Baker Mayfield sacked by Chase Young for -9 yards,1.82,0.07,11.0,2023,160
4.0,1:11,4.0,18.0,SFO 48,14.0,27.0,Baker Mayfield pass incomplete deep right (defended by Charvarius Ward),0.07,-2.13,11.0,2023,160
4.0,1:02,1.0,10.0,SFO 48,14.0,27.0,Brock Purdy kneels for -1 yards,2.13,1.45,11.0,2023,160
4.0,0:32,2.0,11.0,SFO 47,14.0,27.0,Brock Purdy kneels for -1 yards,1.45,0.63,11.0,2023,160
