Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,EXP,year,week
11.0,Dallas Cowboys,17.0,398.0,637.0,62.5,3862.0,23.0,3.6,14.0,2.2,65.0,6.4,6.2,10.3,227.2,83.8,38.0,230.0,5.6,5.7,5.5,1.0,1.0,10.52,2024,18
12.0,Green Bay Packers,17.0,308.0,479.0,64.3,3807.0,28.0,5.8,11.0,2.3,70.0,8.2,8.4,12.8,223.9,99.8,22.0,132.0,4.4,7.6,7.7,2.0,3.0,127.15,2024,18
13.0,Las Vegas Raiders,17.0,410.0,635.0,64.6,3797.0,19.0,3.0,16.0,2.5,58.0,6.5,5.9,10.0,223.4,82.4,50.0,320.0,7.3,5.5,5.0,2.0,2.0,10.13,2024,18
14.0,Kansas City Chiefs,17.0,404.0,600.0,67.3,3780.0,26.0,4.3,11.0,1.8,54.0,6.7,6.8,10.0,222.4,93.1,41.0,266.0,6.4,5.9,5.9,5.0,7.0,116.94,2024,18
15.0,Miami Dolphins,17.0,413.0,591.0,69.9,3737.0,22.0,3.7,10.0,1.7,80.0,6.8,6.8,9.8,219.8,94.1,43.0,299.0,6.8,5.9,5.9,3.0,3.0,79.47,2024,18
16.0,New York Jets,17.0,385.0,607.0,63.4,3714.0,31.0,5.1,11.0,1.8,71.0,6.6,6.8,10.4,218.5,92.0,40.0,302.0,6.2,5.7,5.9,2.0,3.0,52.87,2024,18
17.0,Washington Commanders,17.0,365.0,525.0,69.5,3665.0,29.0,5.5,9.0,1.7,86.0,7.5,7.8,10.8,215.6,102.5,50.0,267.0,8.7,6.4,6.7,5.0,5.0,171.29,2024,18
18.0,Arizona Cardinals,17.0,374.0,543.0,68.9,3639.0,21.0,3.9,11.0,2.0,60.0,7.1,7.0,10.3,214.1,93.5,30.0,220.0,5.2,6.4,6.2,3.0,3.0,81.61,2024,18
19.0,Los Angeles Chargers,17.0,336.0,510.0,65.9,3629.0,23.0,4.5,3.0,0.6,66.0,7.6,8.3,11.6,213.5,101.4,44.0,272.0,7.9,6.6,7.1,1.0,2.0,95.84,2024,18
20.0,Denver Broncos,17.0,379.0,570.0,66.5,3610.0,30.0,5.3,12.0,2.1,93.0,6.7,6.8,10.0,212.4,94.1,24.0,198.0,4.0,6.1,6.2,3.0,3.0,63.8,2024,18
21.0,Houston Texans,17.0,357.0,570.0,62.6,3526.0,20.0,3.5,12.0,2.1,67.0,6.9,6.7,11.1,207.4,86.1,54.0,426.0,8.7,5.7,5.4,1.0,2.0,46.5,2024,18
22.0,Cleveland Browns,17.0,395.0,661.0,59.8,3506.0,19.0,2.9,23.0,3.5,89.0,5.9,4.9,9.8,206.2,71.4,66.0,373.0,9.1,4.8,3.9,2.0,2.0,-127.71,2024,18
23.0,New Orleans Saints,17.0,340.0,551.0,61.7,3488.0,21.0,3.8,12.0,2.2,71.0,6.8,6.6,11.0,205.2,85.3,37.0,242.0,6.3,5.9,5.7,0.0,1.0,3.53,2024,18
24.0,Jacksonville Jaguars,17.0,343.0,546.0,62.8,3477.0,19.0,3.5,15.0,2.7,85.0,6.8,6.3,10.8,204.5,83.0,32.0,240.0,5.5,6.0,5.5,1.0,2.0,22.01,2024,18
25.0,Indianapolis Colts,17.0,289.0,513.0,56.3,3361.0,20.0,3.9,19.0,3.7,69.0,7.0,6.1,12.5,197.7,75.8,32.0,238.0,5.9,6.2,5.3,3.0,5.0,17.17,2024,18
26.0,Tennessee Titans,17.0,336.0,530.0,63.4,3317.0,22.0,4.2,21.0,4.0,98.0,6.8,5.9,10.8,195.1,80.7,52.0,304.0,8.9,5.7,4.8,1.0,2.0,-28.43,2024,18
27.0,Pittsburgh Steelers,17.0,321.0,499.0,64.3,3264.0,21.0,4.2,6.0,1.2,55.0,7.2,7.5,11.2,192.0,94.8,49.0,343.0,8.9,6.0,6.2,1.0,2.0,56.49,2024,18
28.0,New York Giants,17.0,366.0,591.0,61.9,3228.0,15.0,2.5,13.0,2.2,59.0,6.0,5.5,9.6,189.9,77.8,48.0,293.0,7.5,5.1,4.6,,,-50.74,2024,18
29.0,Philadelphia Eagles,17.0,303.0,448.0,67.6,3194.0,24.0,5.4,6.0,1.3,67.0,7.9,8.3,11.6,187.9,103.4,45.0,323.0,9.1,6.5,6.9,3.0,4.0,125.69,2024,18
30.0,Carolina Panthers,17.0,341.0,547.0,62.3,3188.0,22.0,4.0,15.0,2.7,83.0,6.2,5.8,10.0,187.5,82.0,36.0,223.0,6.2,5.5,5.1,1.0,4.0,-12.71,2024,18
31.0,Chicago Bears,17.0,353.0,566.0,62.4,3086.0,20.0,3.5,7.0,1.2,47.0,6.3,6.4,10.1,181.5,86.8,68.0,466.0,10.7,4.9,5.0,2.0,1.0,3.09,2024,18
32.0,New England Patriots,17.0,342.0,529.0,64.7,2995.0,18.0,3.4,11.0,2.1,50.0,6.3,6.1,9.8,176.2,85.0,52.0,348.0,9.0,5.2,4.9,1.0,1.0,-18.01,2024,18
,Avg Team,,363.4,556.6,65.3,3699.5,25.3,4.5,12.1,2.2,71.0,7.1,7.1,10.9,217.6,92.3,41.1,270.0,6.9,6.19,6.1,2.1,2.8,72.4,2024,18
,League Total,,11629.0,17811.0,65.3,118384.0,809.0,4.5,387.0,2.2,98.0,7.1,7.1,10.9,217.6,92.3,1314.0,8640.0,6.9,6.19,6.1,66.0,88.0,,2024,18
,Avg Tm/G,,21.4,32.7,65.3,217.6,1.5,4.5,0.7,2.2,,7.1,7.1,10.9,217.6,92.3,2.4,15.9,6.9,6.19,6.1,,,,2024,18
