Quarter,Time,Down,ToGo,Location,TAM,PIT,Detail,EPB,EPA,week,year,game_id
3.0,7:38,2.0,11.0,PIT 11,9.0,13.0,Tom Brady pass incomplete short right intended for Russell Gage,4.02,3.12,6.0,2022,89
3.0,7:31,3.0,11.0,PIT 11,9.0,13.0,Tom Brady pass incomplete short middle intended for Russell Gage,3.12,2.7,6.0,2022,89
3.0,7:26,4.0,11.0,PIT 11,9.0,13.0,"Penalty on James Pierre: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.7,2.99,6.0,2022,89
3.0,7:26,4.0,6.0,PIT 6,12.0,13.0,Ryan Succop 24 yard field goal good,2.99,3.0,6.0,2022,89
3.0,7:24,,,TAM 35,12.0,13.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,6.0,2022,89
3.0,7:24,1.0,10.0,PIT 25,12.0,13.0,"Kenny Pickett pass complete deep right to Diontae Johnson for no gain (tackle by Carlton Davis). Penalty on Kevin Dotson: Offensive Holding, 10 yards (accepted) (no play)",0.61,-0.41,6.0,2022,89
3.0,7:01,1.0,20.0,PIT 15,12.0,13.0,Mitchell Trubisky pass incomplete short middle intended for Najee Harris (defended by Devin White),-0.41,-1.43,6.0,2022,89
3.0,6:55,2.0,20.0,PIT 15,12.0,13.0,Mitchell Trubisky pass complete short left to George Pickens for 5 yards (tackle by Jamel Dean),-1.43,-1.29,6.0,2022,89
3.0,6:17,3.0,15.0,PIT 20,12.0,13.0,Mitchell Trubisky pass complete short middle to Chase Claypool for 16 yards (tackle by Lavonte David),-1.29,1.33,6.0,2022,89
3.0,5:37,1.0,10.0,PIT 36,12.0,13.0,Jaylen Warren up the middle for 1 yard (tackle by Dee Delaney),1.33,0.93,6.0,2022,89
3.0,4:56,2.0,9.0,PIT 37,12.0,13.0,Mitchell Trubisky pass complete short left to Connor Heyward for 4 yards (tackle by Lavonte David),0.93,0.76,6.0,2022,89
3.0,4:29,3.0,5.0,PIT 41,12.0,13.0,Mitchell Trubisky pass incomplete short right intended for Diontae Johnson (defended by Carlton Davis),0.76,-0.65,6.0,2022,89
3.0,4:25,4.0,5.0,PIT 41,12.0,13.0,Pressley Harvin punts 44 yards,-0.65,0.22,6.0,2022,89
3.0,4:14,1.0,10.0,TAM 15,12.0,13.0,"Rachaad White left tackle for no gain (tackle by Josh Jackson and Arthur Maulet). Penalty on Ko Kieft: Offensive Holding, 7 yards (accepted) (no play)",-0.22,-0.65,6.0,2022,89
3.0,3:59,1.0,17.0,TAM 8,12.0,13.0,Rachaad White right guard for 4 yards (tackle by Malik Reed and Devin Bush),-0.65,-1.0,6.0,2022,89
3.0,3:22,2.0,13.0,TAM 12,12.0,13.0,Tom Brady pass complete short middle to Cameron Brate for 6 yards (tackle by Myles Jack),-1.0,-1.0,6.0,2022,89
3.0,3:00,3.0,7.0,TAM 18,12.0,13.0,Tom Brady pass complete to Rachaad White for 6 yards (tackle by Myles Jack),-1.0,-1.77,6.0,2022,89
3.0,2:21,4.0,1.0,TAM 24,12.0,13.0,"Jake Camarda punts 52 yards, returned by Steven Sims for 24 yards (tackle by Genard Avery and Rachaad White)",-1.77,-2.13,6.0,2022,89
3.0,2:07,1.0,10.0,PIT 48,12.0,13.0,Mitchell Trubisky sacked by Carl Nassib for -6 yards,2.13,0.77,6.0,2022,89
3.0,1:24,2.0,16.0,PIT 42,12.0,13.0,Mitchell Trubisky pass complete short middle to Chase Claypool for 11 yards (tackle by Devin White and Lavonte David),0.77,1.55,6.0,2022,89
3.0,0:43,3.0,5.0,TAM 47,12.0,13.0,Mitchell Trubisky pass incomplete short left intended for Connor Heyward (defended by Carl Nassib),1.55,0.13,6.0,2022,89
3.0,0:38,4.0,5.0,TAM 47,12.0,13.0,Pressley Harvin punts 30 yards out of bounds,0.13,0.06,6.0,2022,89
3.0,0:30,1.0,10.0,TAM 17,12.0,13.0,Leonard Fournette left end for 3 yards (tackle by Terrell Edmunds),-0.06,-0.06,6.0,2022,89
4.0,15:00,2.0,7.0,TAM 20,12.0,13.0,Tom Brady pass complete short middle to Cade Otton for 6 yards (tackle by Myles Jack),-0.06,-0.12,6.0,2022,89
4.0,14:27,,,,,,Timeout #1 by Pittsburgh Steelers,,,6.0,2022,89
4.0,14:27,3.0,1.0,TAM 26,12.0,13.0,Leonard Fournette left tackle for -1 yards (tackle by Chris Wormley and Terrell Edmunds),-0.12,-1.7,6.0,2022,89
4.0,13:49,4.0,2.0,TAM 25,12.0,13.0,"Jake Camarda punts 39 yards, returned by Steven Sims for -7 yards (tackle by Cade Otton and Zyon McCollum)",-1.7,-0.87,6.0,2022,89
4.0,13:38,1.0,10.0,PIT 29,12.0,13.0,Najee Harris right end for 2 yards (tackle by Lavonte David and Dee Delaney),0.87,0.6,6.0,2022,89
4.0,12:58,2.0,8.0,PIT 31,12.0,13.0,Steven Sims left end for -5 yards (tackle by Joe Tryon-Shoyinka),0.6,-0.76,6.0,2022,89
4.0,12:16,3.0,13.0,PIT 26,12.0,13.0,Mitchell Trubisky pass complete short right to George Pickens for 14 yards (tackle by Carlton Davis),-0.76,1.6,6.0,2022,89
4.0,11:42,1.0,10.0,PIT 40,12.0,13.0,Najee Harris up the middle for 5 yards (tackle by Vita Vea and Shaquil Barrett),1.6,1.73,6.0,2022,89
4.0,11:21,2.0,5.0,PIT 45,12.0,13.0,Najee Harris up the middle for -1 yards (tackle by Lavonte David and William Gholston),1.73,0.89,6.0,2022,89
4.0,10:59,3.0,6.0,PIT 44,12.0,13.0,"Mitchell Trubisky pass complete short middle to Connor Heyward for 45 yards (tackle by Lavonte David). Penalty on Vita Vea: Defensive Too Many Men on Field, 5 yards (declined) . Penalty on Vita Vea: Defensive Offside, 5 yards (declined)",0.89,4.84,6.0,2022,89
4.0,10:43,1.0,10.0,TAM 11,12.0,13.0,Najee Harris left guard for 5 yards (tackle by Devin White and Lavonte David),4.84,5.08,6.0,2022,89
4.0,9:59,2.0,5.0,TAM 6,12.0,19.0,"Mitchell Trubisky pass complete short right to Chase Claypool for 6 yards, touchdown",5.08,7.0,6.0,2022,89
4.0,9:55,,,TAM 15,12.0,20.0,Chris Boswell kicks extra point good,0.0,0.0,6.0,2022,89
4.0,9:55,,,PIT 35,12.0,20.0,"Chris Boswell kicks off 65 yards, returned by Rachaad White for 27 yards (tackle by Derek Watt)",0.0,0.74,6.0,2022,89
4.0,9:48,1.0,10.0,TAM 27,12.0,20.0,Tom Brady pass complete short right to Leonard Fournette for 1 yard (tackle by Terrell Edmunds and Malik Reed),0.74,0.33,6.0,2022,89
4.0,9:23,2.0,9.0,TAM 28,12.0,20.0,Tom Brady pass complete short middle to Chris Godwin for 11 yards (tackle by Robert Spillane),0.33,1.53,6.0,2022,89
4.0,8:54,1.0,10.0,TAM 39,12.0,20.0,Leonard Fournette right guard for 2 yards (tackle by Chris Wormley and Cameron Heyward),1.53,1.26,6.0,2022,89
4.0,8:35,2.0,8.0,TAM 41,12.0,20.0,Tom Brady pass complete to Mike Evans for 4 yards (tackle by Josh Jackson),1.26,1.09,6.0,2022,89
4.0,8:12,3.0,4.0,TAM 45,12.0,20.0,Tom Brady pass complete deep middle to Cade Otton for 17 yards (tackle by Terrell Edmunds),1.09,3.05,6.0,2022,89
4.0,7:50,1.0,10.0,PIT 38,12.0,20.0,"Tom Brady pass complete short left to Leonard Fournette for 9 yards (tackle by Devin Bush). Penalty on Malik Reed: Defensive Too Many Men on Field, 5 yards (declined) . Penalty on Malik Reed: Defensive Offside, 5 yards (declined)",3.05,3.72,6.0,2022,89
4.0,7:38,2.0,1.0,PIT 29,12.0,20.0,Rachaad White up the middle for no gain (tackle by Arthur Maulet),3.72,3.01,6.0,2022,89
4.0,7:07,3.0,1.0,PIT 29,12.0,20.0,Tom Brady up the middle for no gain (tackle by Tyson Alualu and Devin Bush),3.01,1.62,6.0,2022,89
4.0,6:25,4.0,1.0,PIT 29,12.0,20.0,Leonard Fournette right end for 7 yards (tackle by Tre Norwood),1.62,4.11,6.0,2022,89
4.0,5:59,1.0,10.0,PIT 22,12.0,20.0,"Penalty on Cade Otton: False Start, 5 yards (accepted) (no play)",4.11,3.78,6.0,2022,89
4.0,5:59,1.0,15.0,PIT 27,12.0,20.0,Tom Brady pass complete short right to Leonard Fournette for 4 yards (tackle by Malik Reed and James Pierre),3.78,3.43,6.0,2022,89
4.0,5:37,2.0,11.0,PIT 23,12.0,20.0,Tom Brady pass incomplete short right intended for Chris Godwin (defended by Malik Reed),3.43,2.74,6.0,2022,89
4.0,5:34,3.0,11.0,PIT 23,12.0,20.0,Tom Brady pass complete short middle to Chris Godwin for 10 yards (tackle by Tre Norwood),2.74,2.72,6.0,2022,89
4.0,5:09,4.0,1.0,PIT 13,12.0,20.0,Tom Brady pass complete short left to Rachaad White for 2 yards (tackle by Elijah Riley),2.72,4.84,6.0,2022,89
4.0,4:45,1.0,10.0,PIT 11,18.0,20.0,"Tom Brady pass complete short right to Leonard Fournette for 11 yards, touchdown",4.84,7.0,6.0,2022,89
4.0,4:38,,,PIT 2,18.0,20.0,Two Point Attempt: Tom Brady pass incomplete intended for intended for Chris Godwin,1.0,-1.0,6.0,2022,89
4.0,4:38,,,TAM 35,18.0,20.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,6.0,2022,89
4.0,4:38,1.0,10.0,PIT 25,18.0,20.0,Najee Harris right tackle for 8 yards (tackle by Carlton Davis and Shaquil Barrett),0.61,1.14,6.0,2022,89
4.0,3:51,2.0,2.0,PIT 33,18.0,20.0,"Mason Cole aborted snap, recovered by Mitchell Trubisky at PIT-20",1.14,-1.29,6.0,2022,89
4.0,3:07,3.0,15.0,PIT 20,18.0,20.0,Mitchell Trubisky pass complete short middle to Chase Claypool for 17 yards (tackle by Antoine Winfield),-1.29,1.4,6.0,2022,89
