Quarter,Time,Down,ToGo,Location,CAR,LAR,Detail,EPB,EPA,week,year,game_id
1.0,6:25,2.0,8.0,LAR 48,3.0,0.0,"Darrell Henderson left end for no gain. Penalty on Joseph Noteboom: Offensive Holding, 10 yards (accepted) (no play)",1.72,0.37,6.0,2022,90
1.0,5:56,2.0,18.0,LAR 38,3.0,0.0,Matthew Stafford pass complete short right to Brandon Powell for 2 yards (tackle by Myles Hartsfield),0.37,-0.03,6.0,2022,90
1.0,5:11,3.0,16.0,LAR 40,3.0,0.0,Matthew Stafford pass incomplete short right,-0.03,-0.72,6.0,2022,90
1.0,5:07,4.0,16.0,LAR 40,3.0,0.0,"Riley Dixon punts 49 yards, returned by Shi Smith for 2 yards (tackle by Grant Haley)",-0.72,0.32,6.0,2022,90
1.0,4:57,1.0,10.0,CAR 13,3.0,0.0,Christian McCaffrey up the middle for 8 yards (tackle by Ernest Jones and Marquise Copeland),-0.32,0.35,6.0,2022,90
1.0,4:12,2.0,2.0,CAR 21,3.0,0.0,Chuba Hubbard up the middle for 4 yards (tackle by A'Shawn Robinson and Jonah Williams),0.35,0.61,6.0,2022,90
1.0,3:31,1.0,10.0,CAR 25,3.0,0.0,D'Onta Foreman up the middle for 8 yards (tackle by Ernest Jones and A'Shawn Robinson),0.61,1.14,6.0,2022,90
1.0,2:53,2.0,2.0,CAR 33,3.0,0.0,Christian McCaffrey left end for 17 yards (tackle by Derion Kendrick),1.14,2.26,6.0,2022,90
1.0,2:17,1.0,10.0,CAR 50,3.0,0.0,D'Onta Foreman up the middle for 2 yards (tackle by A'Shawn Robinson),2.26,1.98,6.0,2022,90
1.0,1:37,2.0,8.0,LAR 48,3.0,0.0,P.J. Walker pass incomplete short left intended for D.J. Moore (defended by Derion Kendrick),1.98,1.29,6.0,2022,90
1.0,1:33,3.0,8.0,LAR 48,3.0,0.0,P.J. Walker pass complete short right to Christian McCaffrey for 5 yards (tackle by Ernest Jones),1.29,0.4,6.0,2022,90
1.0,0:31,4.0,3.0,LAR 43,3.0,0.0,"Penalty on CAR: Delay of Game, 5 yards (accepted) (no play)",0.4,0.07,6.0,2022,90
1.0,0:21,4.0,8.0,LAR 48,3.0,0.0,"Johnny Hekker punts 41 yards, fair catch by Brandon Powell at LA-7",0.07,0.38,6.0,2022,90
1.0,0:14,1.0,10.0,LAR 7,3.0,0.0,Tutu Atwell left end for 9 yards (tackle by Myles Hartsfield),-0.38,-0.02,6.0,2022,90
2.0,15:00,2.0,1.0,LAR 16,3.0,0.0,Ronnie Rivers right guard for no gain (tackle by Matthew Ioannidis and Cory Littleton),-0.02,-0.37,6.0,2022,90
2.0,14:18,3.0,1.0,LAR 16,3.0,0.0,Malcolm Brown right tackle for no gain (tackle by Henry Anderson and Damien Wilson),-0.37,-2.39,6.0,2022,90
2.0,13:48,4.0,1.0,LAR 16,3.0,0.0,Riley Dixon punts 60 yards out of bounds,-2.39,-0.54,6.0,2022,90
2.0,13:41,1.0,10.0,CAR 24,3.0,0.0,P.J. Walker pass complete short left to D.J. Moore for no gain (tackle by Justin Hollins),0.54,0.0,6.0,2022,90
2.0,12:57,2.0,10.0,CAR 24,3.0,0.0,D'Onta Foreman left tackle for 2 yards (tackle by Aaron Donald and Marquise Copeland),0.0,-0.43,6.0,2022,90
2.0,12:22,3.0,8.0,CAR 26,3.0,0.0,P.J. Walker pass complete short right to D.J. Moore for 2 yards (tackle by Leonard Floyd),-0.43,-1.5,6.0,2022,90
2.0,11:41,4.0,6.0,CAR 28,3.0,0.0,"Johnny Hekker punts 45 yards, fair catch by Brandon Powell at LA-27",-1.5,-0.74,6.0,2022,90
2.0,11:32,1.0,10.0,LAR 27,3.0,0.0,Matthew Stafford pass complete short middle to Allen Robinson for 13 yards (tackle by Keith Taylor),0.74,1.6,6.0,2022,90
2.0,10:54,1.0,10.0,LAR 40,3.0,0.0,Darrell Henderson right tackle for 2 yards (tackle by Shaq Thompson),1.6,1.32,6.0,2022,90
2.0,10:14,2.0,8.0,LAR 42,3.0,0.0,Darrell Henderson up the middle for no gain (tackle by Shaq Thompson and Henry Anderson),1.32,0.63,6.0,2022,90
2.0,9:32,3.0,8.0,LAR 42,3.0,0.0,"Penalty on Rob Havenstein: False Start, 5 yards (accepted) (no play)",0.63,-0.03,6.0,2022,90
2.0,9:05,3.0,13.0,LAR 37,3.0,0.0,Matthew Stafford pass complete short right to Cooper Kupp for 22 yards (tackle by C.J. Henderson),-0.03,2.85,6.0,2022,90
2.0,8:18,1.0,10.0,CAR 41,3.0,0.0,Darrell Henderson right guard for 3 yards (tackle by Brian Burns),2.85,2.71,6.0,2022,90
2.0,7:32,2.0,7.0,CAR 38,3.0,0.0,Matthew Stafford pass complete short left to Cooper Kupp for 12 yards (tackle by Keith Taylor and Myles Hartsfield),2.71,3.84,6.0,2022,90
2.0,6:47,1.0,10.0,CAR 26,3.0,0.0,Brandon Powell up the middle for 5 yards (tackle by Cory Littleton),3.84,3.97,6.0,2022,90
2.0,6:04,2.0,5.0,CAR 21,3.0,0.0,"intended for Cooper Kupp. Penalty on Donte Jackson: Defensive Pass Interference, 15 yards (offset) . Penalty on Oday Aboushi: Offensive Holding, 10 yards (offset) (no play)",3.97,3.97,6.0,2022,90
2.0,5:55,2.0,5.0,CAR 21,3.0,0.0,"Matthew Stafford pass incomplete short right. Penalty on Matthew Stafford: Intentional Grounding, 10 yards (accepted)",3.97,1.95,6.0,2022,90
2.0,5:49,3.0,15.0,CAR 31,3.0,0.0,Darrell Henderson left tackle for 16 yards (tackle by Juston Burris),1.95,4.58,6.0,2022,90
2.0,5:07,1.0,10.0,CAR 15,3.0,0.0,Brandon Powell left end for 3 yards (tackle by C.J. Henderson),4.58,4.45,6.0,2022,90
2.0,4:25,2.0,7.0,CAR 12,3.0,0.0,Matthew Stafford pass incomplete short middle intended for Darrell Henderson (defended by Shaq Thompson),4.45,3.58,6.0,2022,90
2.0,4:21,,,,,,Timeout #1 by Los Angeles Rams,,,6.0,2022,90
2.0,4:21,3.0,7.0,CAR 12,3.0,0.0,Matthew Stafford pass complete short right to Darrell Henderson for 7 yards (tackle by Donte Jackson),3.58,6.06,6.0,2022,90
2.0,3:39,1.0,5.0,CAR 5,3.0,6.0,"Matthew Stafford pass complete short left to Allen Robinson for 5 yards, touchdown",6.06,7.0,6.0,2022,90
2.0,3:34,,,CAR 15,3.0,7.0,Matt Gay kicks extra point good,0.0,0.0,6.0,2022,90
2.0,3:34,,,LAR 35,3.0,7.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,6.0,2022,90
2.0,3:34,1.0,10.0,CAR 25,3.0,7.0,Christian McCaffrey right tackle for 3 yards (tackle by Aaron Donald and Bobby Wagner),0.61,0.47,6.0,2022,90
2.0,2:58,2.0,7.0,CAR 28,3.0,7.0,Chuba Hubbard up the middle for 2 yards (tackle by Justin Hollins and Marquise Copeland),0.47,0.04,6.0,2022,90
2.0,2:50,,,,,,Timeout #2 by Los Angeles Rams,,,6.0,2022,90
2.0,2:50,3.0,5.0,CAR 30,3.0,7.0,Christian McCaffrey up the middle for 4 yards (tackle by Ernest Jones),0.04,-1.11,6.0,2022,90
2.0,2:41,,,,,,Timeout #3 by Los Angeles Rams,,,6.0,2022,90
2.0,2:41,4.0,1.0,CAR 34,3.0,7.0,"Johnny Hekker punts 66 yards, touchback.",-1.11,-0.28,6.0,2022,90
2.0,2:35,1.0,10.0,LAR 20,3.0,7.0,Darrell Henderson left guard for 3 yards (tackle by Matthew Ioannidis and Derrick Brown),0.28,0.14,6.0,2022,90
2.0,2:08,2.0,7.0,LAR 23,9.0,7.0,"Matthew Stafford pass short left intended for Cooper Kupp is intercepted by Donte Jackson at LA-30 and returned for 30 yards, touchdown",0.14,-7.0,6.0,2022,90
2.0,1:58,,,LAR 15,10.0,7.0,Eddy Pineiro kicks extra point good,0.0,0.0,6.0,2022,90
2.0,1:58,,,CAR 35,10.0,7.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,6.0,2022,90
2.0,1:58,1.0,10.0,LAR 25,10.0,7.0,Matthew Stafford pass incomplete short right intended for Tyler Higbee (defended by Shaq Thompson),0.61,0.06,6.0,2022,90
2.0,1:54,2.0,10.0,LAR 25,10.0,7.0,Malcolm Brown up the middle for 3 yards (tackle by Cory Littleton and Matthew Ioannidis),0.06,-0.23,6.0,2022,90
2.0,1:08,3.0,7.0,LAR 28,10.0,7.0,"Penalty on LAR: Delay of Game, 5 yards (accepted) (no play)",-0.23,-0.89,6.0,2022,90
2.0,1:08,3.0,12.0,LAR 23,10.0,7.0,Malcolm Brown up the middle for 10 yards (tackle by Brian Burns and Cory Littleton),-0.89,-1.18,6.0,2022,90
2.0,0:23,4.0,2.0,LAR 33,10.0,7.0,Riley Dixon punts 32 yards out of bounds,-1.18,-1.27,6.0,2022,90
2.0,0:16,1.0,10.0,CAR 35,10.0,7.0,P.J. Walker kneels for -1 yards,1.27,0.59,6.0,2022,90
3.0,15:00,,,CAR 35,10.0,7.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,6.0,2022,90
3.0,15:00,1.0,10.0,LAR 25,10.0,7.0,Matthew Stafford pass complete short right to Ben Skowronek for 7 yards (tackle by Cory Littleton),0.61,1.01,6.0,2022,90
3.0,14:19,2.0,3.0,LAR 32,10.0,7.0,Malcolm Brown left guard for -2 yards (tackle by Shaq Thompson),1.01,0.04,6.0,2022,90
3.0,13:38,3.0,5.0,LAR 30,10.0,7.0,"Penalty on Rob Havenstein: False Start, 5 yards (accepted) (no play)",0.04,-0.62,6.0,2022,90
3.0,13:11,3.0,10.0,LAR 25,10.0,7.0,Matthew Stafford sacked by and Derrick Brown for -4 yards and Cory Littleton for -4 yards,-0.62,-1.96,6.0,2022,90
3.0,12:38,4.0,14.0,LAR 21,10.0,7.0,"Riley Dixon punts 53 yards, returned by Shi Smith for 11 yards (tackle by Christian Rozeboom and Jake Hummel)",-1.96,-1.4,6.0,2022,90
3.0,12:24,1.0,10.0,CAR 37,10.0,7.0,Christian McCaffrey up the middle for 4 yards (tackle by Marquise Copeland and Nick Scott),1.4,1.4,6.0,2022,90
3.0,11:38,2.0,6.0,CAR 41,10.0,7.0,P.J. Walker pass incomplete deep left intended for D.J. Moore,1.4,0.7,6.0,2022,90
3.0,11:33,3.0,6.0,CAR 41,10.0,7.0,P.J. Walker pass incomplete short right intended for Christian McCaffrey,0.7,-0.65,6.0,2022,90
3.0,11:30,4.0,6.0,CAR 41,10.0,7.0,"Johnny Hekker punts 40 yards, fair catch by Brandon Powell at LA-19. Penalty on Jalen Ramsey: Offensive Holding, 9 yards (accepted)",-0.65,0.38,6.0,2022,90
3.0,11:23,1.0,10.0,LAR 10,10.0,7.0,Matthew Stafford pass complete short right to Cooper Kupp for 13 yards (tackle by Donte Jackson),-0.38,0.48,6.0,2022,90
3.0,10:41,1.0,10.0,LAR 23,10.0,7.0,Matthew Stafford pass complete deep left to Ben Skowronek for 19 yards (tackle by Myles Hartsfield),0.48,1.73,6.0,2022,90
3.0,9:58,1.0,10.0,LAR 42,10.0,7.0,Brandon Powell left end for 5 yards (tackle by Xavier Woods),1.73,1.86,6.0,2022,90
3.0,9:16,2.0,5.0,LAR 47,10.0,7.0,Darrell Henderson right tackle for no gain (tackle by Juston Burris and Derrick Brown),1.86,1.16,6.0,2022,90
3.0,8:33,3.0,5.0,LAR 47,10.0,7.0,"Matthew Stafford pass complete short right to Allen Robinson for 15 yards (tackle by Keith Taylor) CAR challenged the pass completion ruling, and the play was upheld.",1.16,3.05,6.0,2022,90
3.0,8:08,1.0,10.0,CAR 38,10.0,7.0,Matthew Stafford pass complete short left to Ben Skowronek for -1 yards (tackle by Myles Hartsfield),3.05,2.37,6.0,2022,90
3.0,7:35,2.0,11.0,CAR 39,10.0,7.0,"Matthew Stafford pass complete short middle to Brandon Powell for 5 yards (tackle by Cory Littleton). Penalty on Matthew Ioannidis: Roughing the Passer, 15 yards (accepted)",2.37,4.31,6.0,2022,90
3.0,6:53,1.0,10.0,CAR 19,10.0,7.0,Matthew Stafford pass complete short right to Ronnie Rivers for 14 yards (tackle by Yetur Gross-Matos),4.31,6.06,6.0,2022,90
3.0,6:09,1.0,5.0,CAR 5,10.0,7.0,Malcolm Brown up the middle for -2 yards (tackle by Shaq Thompson),6.06,4.76,6.0,2022,90
3.0,5:31,2.0,7.0,CAR 7,10.0,7.0,Matthew Stafford pass complete short right to Brandon Powell for 4 yards (tackle by Cory Littleton),4.76,4.72,6.0,2022,90
3.0,4:43,,,,,,Timeout #1 by Los Angeles Rams,,,6.0,2022,90
3.0,4:43,3.0,3.0,CAR 3,10.0,7.0,Matthew Stafford pass incomplete short right intended for Allen Robinson,4.72,3.04,6.0,2022,90
3.0,4:40,4.0,3.0,CAR 3,10.0,10.0,Matt Gay 21 yard field goal good,3.04,3.0,6.0,2022,90
3.0,4:37,,,LAR 35,10.0,10.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,6.0,2022,90
3.0,4:37,1.0,10.0,CAR 25,10.0,10.0,Christian McCaffrey right tackle for 2 yards (tackle by Ernest Jones and A'Shawn Robinson),0.61,0.33,6.0,2022,90
3.0,3:58,2.0,8.0,CAR 27,10.0,10.0,D'Onta Foreman up the middle for 5 yards (tackle by Bobby Wagner and Leonard Floyd),0.33,0.3,6.0,2022,90
3.0,3:13,3.0,3.0,CAR 32,10.0,10.0,"P.J. Walker pass incomplete short left intended for D.J. Moore. Penalty on D.J. Moore: Illegal Shift, 5 yards (declined)",0.3,-1.24,6.0,2022,90
3.0,3:09,4.0,3.0,CAR 32,10.0,10.0,"Johnny Hekker punts 68 yards, touchback.",-1.24,-0.28,6.0,2022,90
3.0,3:01,1.0,10.0,LAR 20,10.0,10.0,Matthew Stafford pass complete short right to Ben Skowronek for 8 yards (tackle by C.J. Henderson),0.28,0.81,6.0,2022,90
3.0,2:24,2.0,2.0,LAR 28,10.0,10.0,Cooper Kupp right end for 13 yards (tackle by Xavier Woods),0.81,1.66,6.0,2022,90
3.0,1:45,1.0,10.0,LAR 41,10.0,10.0,Matthew Stafford pass complete deep left to Cooper Kupp for 20 yards (tackle by Keith Taylor),1.66,2.98,6.0,2022,90
3.0,1:06,1.0,10.0,CAR 39,10.0,10.0,Matthew Stafford pass complete short left to Allen Robinson for 22 yards (tackle by Keith Taylor),2.98,4.44,6.0,2022,90
3.0,0:16,1.0,10.0,CAR 17,10.0,16.0,"Ben Skowronek right end for 17 yards, touchdown",4.44,7.0,6.0,2022,90
3.0,0:11,,,CAR 15,10.0,17.0,Matt Gay kicks extra point good,0.0,0.0,6.0,2022,90
3.0,0:11,,,LAR 35,10.0,17.0,"Matt Gay kicks off 69 yards, returned by Raheem Blackshear for 24 yards (tackle by Russ Yeast and Jake Gervase)",0.0,0.28,6.0,2022,90
3.0,0:06,1.0,10.0,CAR 20,10.0,17.0,P.J. Walker pass complete short right to Ian Thomas for 6 yards (tackle by Ernest Jones and Taylor Rapp),0.28,0.54,6.0,2022,90
4.0,15:00,2.0,4.0,CAR 26,10.0,17.0,Christian McCaffrey right guard for no gain (tackle by Bobby Wagner and Aaron Donald),0.54,-0.16,6.0,2022,90
4.0,14:21,3.0,4.0,CAR 26,10.0,17.0,P.J. Walker pass complete short right to Christian McCaffrey for -1 yards (tackle by Jalen Ramsey),-0.16,-1.7,6.0,2022,90
4.0,13:43,4.0,5.0,CAR 25,10.0,17.0,"Johnny Hekker punts 51 yards, returned by Brandon Powell for 15 yards (tackle by J.J. Jansen)",-1.7,-1.53,6.0,2022,90
4.0,13:32,1.0,10.0,LAR 39,10.0,17.0,Matthew Stafford pass complete short right to Tyler Higbee for 7 yards (tackle by C.J. Henderson and Cory Littleton),1.53,1.93,6.0,2022,90
4.0,13:01,2.0,3.0,LAR 46,10.0,17.0,Matthew Stafford pass complete short middle to Ben Skowronek for 7 yards (tackle by Arron Mosby),1.93,2.46,6.0,2022,90
4.0,12:30,1.0,10.0,CAR 47,10.0,17.0,Matthew Stafford pass complete short left to Cooper Kupp for 4 yards (tackle by Shaq Thompson),2.46,2.45,6.0,2022,90
4.0,11:49,2.0,6.0,CAR 43,10.0,17.0,Darrell Henderson up the middle for 2 yards (tackle by Yetur Gross-Matos and Matthew Ioannidis),2.45,2.01,6.0,2022,90
4.0,11:03,3.0,4.0,CAR 41,10.0,17.0,Matthew Stafford pass complete short middle to Allen Robinson for 8 yards (tackle by Damien Wilson),2.01,3.38,6.0,2022,90
4.0,10:17,1.0,10.0,CAR 33,10.0,17.0,Matthew Stafford pass complete short left to Malcolm Brown for 13 yards (tackle by C.J. Henderson and Keith Taylor),3.38,4.24,6.0,2022,90
4.0,9:31,1.0,10.0,CAR 20,10.0,17.0,Matthew Stafford pass incomplete deep left intended for Brandon Powell,4.24,3.69,6.0,2022,90
4.0,9:26,2.0,10.0,CAR 20,10.0,17.0,Matthew Stafford pass complete short left to Brandon Powell for 16 yards (tackle by Derrick Brown),3.69,6.28,6.0,2022,90
4.0,8:59,1.0,4.0,CAR 4,10.0,17.0,Darrell Henderson right tackle for 2 yards (tackle by Juston Burris and Yetur Gross-Matos),6.28,5.72,6.0,2022,90
4.0,8:20,2.0,2.0,CAR 2,10.0,23.0,"Darrell Henderson right tackle for 2 yards, touchdown",5.72,7.0,6.0,2022,90
4.0,8:15,,,CAR 15,10.0,24.0,Matt Gay kicks extra point good,0.0,0.0,6.0,2022,90
4.0,8:15,,,LAR 35,10.0,24.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,6.0,2022,90
4.0,8:15,1.0,10.0,CAR 25,10.0,24.0,P.J. Walker pass complete short right to Ian Thomas for 16 yards (tackle by Derion Kendrick and Leonard Floyd),0.61,1.66,6.0,2022,90
4.0,7:40,1.0,10.0,CAR 41,10.0,24.0,P.J. Walker pass incomplete short right intended for D.J. Moore (defended by Aaron Donald),1.66,1.12,6.0,2022,90
4.0,7:38,2.0,10.0,CAR 41,10.0,24.0,P.J. Walker sacked by Jalen Ramsey for -9 yards,1.12,-0.76,6.0,2022,90
4.0,6:52,,,,,,Timeout #2 by Carolina Panthers,,,6.0,2022,90
4.0,6:52,3.0,19.0,CAR 32,10.0,24.0,Christian McCaffrey up the middle for 3 yards (tackle by Bobby Wagner and Terrell Lewis),-0.76,-1.04,6.0,2022,90
4.0,6:11,4.0,16.0,CAR 35,10.0,24.0,"Johnny Hekker punts 51 yards, fair catch by Brandon Powell at LA-14",-1.04,0.28,6.0,2022,90
4.0,6:04,1.0,10.0,LAR 14,10.0,24.0,Darrell Henderson right tackle for no gain (tackle by Derrick Brown and Brian Burns),-0.28,-0.75,6.0,2022,90
4.0,5:20,2.0,10.0,LAR 14,10.0,24.0,Matthew Stafford pass complete short left to Darrell Henderson for 2 yards (tackle by Myles Hartsfield),-0.75,-1.16,6.0,2022,90
4.0,4:33,3.0,8.0,LAR 16,10.0,24.0,"Penalty on LAR: Delay of Game, 5 yards (accepted) (no play)",-1.16,-1.77,6.0,2022,90
4.0,4:33,3.0,13.0,LAR 11,10.0,24.0,Darrell Henderson up the middle for 9 yards (tackle by Derrick Brown),-1.77,-2.03,6.0,2022,90
4.0,4:28,4.0,4.0,LAR 20,10.0,24.0,"Riley Dixon punts 46 yards, returned by Shi Smith for -1 yards (tackle by Russ Yeast)",-2.03,-1.14,6.0,2022,90
4.0,4:19,1.0,10.0,CAR 33,10.0,24.0,Christian McCaffrey right end for 1 yard (tackle by Ernest Jones and Leonard Floyd),1.14,0.73,6.0,2022,90
4.0,3:53,2.0,9.0,CAR 34,10.0,24.0,Jacob Eason pass complete short right to Christian McCaffrey for 49 yards (tackle by Jalen Ramsey),0.73,4.44,6.0,2022,90
4.0,3:18,1.0,10.0,LAR 17,10.0,24.0,Jacob Eason pass complete short left to D.J. Moore for 5 yards (tackle by David Long),4.44,4.69,6.0,2022,90
4.0,2:52,2.0,5.0,LAR 12,10.0,24.0,Jacob Eason pass incomplete short right intended for Terrace Marshall,4.69,3.88,6.0,2022,90
4.0,2:48,3.0,5.0,LAR 12,10.0,24.0,Jacob Eason pass complete short left to Christian McCaffrey for 5 yards (tackle by Taylor Rapp and Bobby Wagner),3.88,5.6,6.0,2022,90
4.0,2:25,1.0,7.0,LAR 7,10.0,24.0,Jacob Eason pass short right (defended by Ernest Jones) intended for Shi Smith is intercepted by Nick Scott in end zone and returned for no gain,5.6,-0.28,6.0,2022,90
4.0,2:20,1.0,10.0,LAR 20,10.0,24.0,Malcolm Brown right tackle for 5 yards (tackle by Myles Hartsfield and Henry Anderson),0.28,0.41,6.0,2022,90
4.0,2:00,2.0,5.0,LAR 25,10.0,24.0,Malcolm Brown up the middle for 1 yard (tackle by Derrick Brown),0.41,-0.16,6.0,2022,90
4.0,1:56,,,,,,Timeout #3 by Carolina Panthers,,,6.0,2022,90
4.0,1:56,,,,,,Timeout #2 by Los Angeles Rams,,,6.0,2022,90
4.0,1:56,3.0,4.0,LAR 26,10.0,24.0,"Cooper Kupp right end for 4 yards (tackle by Tae Hayes) Replay Assistant challenged the first down ruling, and the play was upheld.",-0.16,0.94,6.0,2022,90
4.0,1:23,1.0,10.0,LAR 30,10.0,24.0,Matthew Stafford kneels for -1 yards,0.94,0.26,6.0,2022,90
4.0,0:41,2.0,11.0,LAR 29,10.0,24.0,Matthew Stafford kneels for -2 yards,0.26,-0.69,6.0,2022,90
