Quarter,Time,Down,ToGo,Location,WAS,PHI,Detail,EPB,EPA,week,year,game_id
2,7:53,1.0,10.0,PHI 43,14.0,7.0,Jalen Hurts scrambles right end for 2 yards (tackle by Benjamin St-Juste),1.8,1.52,4.0,2023,59
2,7:06,2.0,8.0,PHI 45,14.0,7.0,Jalen Hurts sacked by Chase Young for -5 yards,1.52,0.17,4.0,2023,59
2,6:25,3.0,13.0,PHI 40,14.0,7.0,Jalen Hurts pass incomplete deep left intended for DeVonta Smith,0.17,-0.72,4.0,2023,59
2,6:17,4.0,13.0,PHI 40,14.0,7.0,"Braden Mann punts 48 yards, returned by Jamison Crowder for 14 yards (tackle by Terrell Edmunds)",-0.72,-0.67,4.0,2023,59
2,6:06,1.0,10.0,WAS 26,14.0,7.0,Sam Howell pass complete short left to Jahan Dotson for 9 yards,0.67,1.35,4.0,2023,59
2,5:34,2.0,1.0,WAS 35,14.0,7.0,Brian Robinson right tackle for 3 yards (tackle by Fletcher Cox and Josh Sweat),1.35,1.47,4.0,2023,59
2,4:57,1.0,10.0,WAS 38,14.0,7.0,Sam Howell pass complete short middle to Logan Thomas for 6 yards (tackle by Reed Blankenship),1.47,1.73,4.0,2023,59
2,4:20,2.0,4.0,WAS 44,14.0,7.0,Sam Howell pass incomplete deep middle intended for Terry McLaurin,1.73,1.02,4.0,2023,59
2,4:13,3.0,4.0,WAS 44,14.0,7.0,Sam Howell pass complete short right to Dyami Brown for 35 yards (tackle by Darius Slay),1.02,4.17,4.0,2023,59
2,3:15,1.0,10.0,PHI 21,14.0,7.0,Brian Robinson right tackle for 2 yards (tackle by Jalen Carter and Kentavius Street),4.17,3.9,4.0,2023,59
2,2:34,2.0,8.0,PHI 19,14.0,7.0,Sam Howell pass complete short right to Brian Robinson for no gain (tackle by Zach Cunningham),3.9,3.18,4.0,2023,59
2,2:00,3.0,8.0,PHI 19,14.0,7.0,"Sam Howell pass incomplete deep left intended for Jahan Dotson. Penalty on James Bradberry: Defensive Pass Interference, 9 yards (accepted) (no play)",3.18,4.91,4.0,2023,59
2,1:55,1.0,10.0,PHI 10,14.0,7.0,Sam Howell sacked by Josh Sweat for -5 yards,4.91,3.46,4.0,2023,59
2,1:52,,,,,,Timeout #1 by Philadelphia Eagles,,,4.0,2023,59
2,1:52,2.0,15.0,PHI 15,14.0,7.0,"Antonio Gibson left end for 3 yards. Antonio Gibson fumbles, recovered by Antonio Gibson at PHI-12 (tackle by Zach Cunningham)",3.46,3.1,4.0,2023,59
2,1:48,3.0,12.0,PHI 12,14.0,7.0,Sam Howell pass complete short middle to Jahan Dotson for 3 yards (tackle by Nicholas Morrow),3.1,2.83,4.0,2023,59
2,1:42,,,,,,Timeout #2 by Philadelphia Eagles,,,4.0,2023,59
2,1:42,4.0,9.0,PHI 9,17.0,7.0,Joey Slye 27 yard field goal good,2.83,3.0,4.0,2023,59
2,1:39,,,WAS 35,17.0,7.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,59
2,1:39,1.0,10.0,PHI 25,17.0,7.0,Jalen Hurts scrambles left end for 2 yards (tackle by Benjamin St-Juste),0.61,0.33,4.0,2023,59
2,1:32,2.0,8.0,PHI 27,17.0,7.0,Jalen Hurts pass incomplete short left intended for Dallas Goedert,0.33,-0.36,4.0,2023,59
2,1:27,3.0,8.0,PHI 27,17.0,7.0,Jalen Hurts pass complete short right to A.J. Brown for 7 yards (tackle by Kendall Fuller),-0.36,-1.11,4.0,2023,59
2,1:01,4.0,1.0,PHI 34,17.0,7.0,Jalen Hurts left end for 3 yards (tackle by Kamren Curl),-1.11,1.4,4.0,2023,59
2,0:43,1.0,10.0,PHI 37,17.0,7.0,"Jalen Hurts pass complete deep left to DeVonta Smith for 37 yards (tackle by Emmanuel Forbes) Replay Assistant challenged the pass completion ruling, and the play was upheld.",1.4,3.84,4.0,2023,59
2,0:18,,,,,,Timeout #1 by Washington Commanders,,,4.0,2023,59
2,0:18,1.0,10.0,WAS 26,17.0,7.0,Jalen Hurts pass complete short left to Kenneth Gainwell for 3 yards (tackle by Emmanuel Forbes),3.84,3.7,4.0,2023,59
2,0:10,2.0,7.0,WAS 23,17.0,7.0,Jalen Hurts pass incomplete short right,3.7,3.01,4.0,2023,59
2,0:04,,,,,,Timeout #1 by Washington Commanders,,,4.0,2023,59
2,0:04,3.0,7.0,WAS 23,17.0,10.0,Jake Elliott 41 yard field goal good,3.01,3.0,4.0,2023,59
3,15:00,,,WAS 35,17.0,10.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,59
3,15:00,1.0,10.0,PHI 25,17.0,10.0,D'Andre Swift up the middle for 6 yards (tackle by Cody Barton and Jamin Davis),0.61,0.87,4.0,2023,59
3,14:30,2.0,4.0,PHI 31,17.0,10.0,D'Andre Swift up the middle for 3 yards (tackle by Cody Barton),0.87,0.56,4.0,2023,59
3,14:03,3.0,1.0,PHI 34,17.0,10.0,Jalen Hurts up the middle for 1 yard (tackle by Cody Barton),0.56,1.27,4.0,2023,59
3,13:23,1.0,10.0,PHI 35,17.0,10.0,Jalen Hurts pass incomplete short right,1.27,0.72,4.0,2023,59
3,13:13,2.0,10.0,PHI 35,17.0,10.0,Jalen Hurts pass complete deep left to A.J. Brown for 28 yards (tackle by Kamren Curl),0.72,3.12,4.0,2023,59
3,12:40,1.0,10.0,WAS 37,17.0,10.0,D'Andre Swift up the middle for 4 yards (tackle by Darrick Forrest),3.12,3.11,4.0,2023,59
3,12:16,2.0,6.0,WAS 33,17.0,10.0,D'Andre Swift left guard for 3 yards (tackle by Casey Toohill),3.11,2.81,4.0,2023,59
3,11:49,3.0,3.0,WAS 30,17.0,10.0,Jalen Hurts pass incomplete short left intended for DeVonta Smith (defended by Daron Payne),2.81,1.48,4.0,2023,59
3,11:43,4.0,3.0,WAS 30,17.0,13.0,Jake Elliott 47 yard field goal good,1.48,3.0,4.0,2023,59
3,11:38,,,PHI 35,17.0,13.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,59
3,11:38,1.0,10.0,WAS 25,17.0,13.0,Brian Robinson right tackle for no gain (tackle by Zach Cunningham),0.61,0.06,4.0,2023,59
3,11:00,2.0,10.0,WAS 25,17.0,13.0,"Sam Howell pass incomplete short middle intended for Terry McLaurin. Penalty on Darius Slay: Defensive Pass Interference, 5 yards (accepted) (no play)",0.06,0.94,4.0,2023,59
3,10:56,1.0,10.0,WAS 30,17.0,13.0,Antonio Gibson right guard for 2 yards (tackle by Zach Cunningham),0.94,0.66,4.0,2023,59
3,10:20,2.0,8.0,WAS 32,17.0,13.0,Sam Howell pass complete short right to Terry McLaurin for 4 yards (tackle by Nicholas Morrow),0.66,0.5,4.0,2023,59
3,9:34,3.0,4.0,WAS 36,17.0,13.0,Sam Howell pass incomplete short middle intended for Jahan Dotson,0.5,-0.98,4.0,2023,59
3,9:31,4.0,4.0,WAS 36,17.0,13.0,"Tress Way punts 38 yards, fair catch by Britain Covey at PHI-26",-0.98,-0.67,4.0,2023,59
3,9:24,1.0,10.0,PHI 26,17.0,13.0,Kenneth Gainwell right guard for no gain (tackle by Jamin Davis),0.67,0.13,4.0,2023,59
3,8:46,2.0,10.0,PHI 26,17.0,13.0,"Jalen Hurts pass incomplete deep right intended for DeVonta Smith. Penalty on Jamin Davis: Defensive Holding, 5 yards (accepted) (no play)",0.13,1.0,4.0,2023,59
3,8:40,1.0,10.0,PHI 31,17.0,13.0,Jalen Hurts pass complete short left to DeVonta Smith for 6 yards (tackle by Kendall Fuller),1.0,1.27,4.0,2023,59
3,8:02,2.0,4.0,PHI 37,17.0,13.0,Jalen Hurts pass complete short left to Kenneth Gainwell for 4 yards (tackle by Emmanuel Forbes),1.27,1.66,4.0,2023,59
3,7:24,1.0,10.0,PHI 41,17.0,19.0,"Jalen Hurts pass complete deep left to A.J. Brown for 59 yards, touchdown",1.66,7.0,4.0,2023,59
3,7:11,,,WAS 22,17.0,19.0,"Penalty on Montez Sweat: Roughing the Passer, 1 yard (accepted) (no play)",0.0,1.0,4.0,2023,59
3,7:11,,,WAS 1,17.0,21.0,"Two Point Attempt: Kenneth Gainwell rushes, conversion succeeds.",1.0,1.0,4.0,2023,59
3,7:11,,,PHI 35,17.0,21.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,59
3,7:11,1.0,10.0,WAS 25,17.0,21.0,Sam Howell pass complete short right to Logan Thomas for 8 yards (tackle by Zach Cunningham and Darius Slay),0.61,1.14,4.0,2023,59
3,6:40,2.0,2.0,WAS 33,17.0,21.0,Brian Robinson right end for 1 yard (tackle by Darius Slay),1.14,0.56,4.0,2023,59
3,6:04,,,,,,Timeout #1 by Washington Commanders,,,4.0,2023,59
3,6:04,3.0,1.0,WAS 34,17.0,21.0,Logan Thomas up the middle for 2 yards (tackle by Fletcher Cox),0.56,1.33,4.0,2023,59
3,5:25,1.0,10.0,WAS 36,17.0,21.0,Sam Howell pass complete short right to John Bates for 6 yards (tackle by Darius Slay),1.33,1.6,4.0,2023,59
3,5:00,2.0,4.0,WAS 42,17.0,21.0,Sam Howell pass incomplete deep middle intended for Dyami Brown (defended by Reed Blankenship),1.6,0.89,4.0,2023,59
3,4:51,3.0,4.0,WAS 42,17.0,21.0,"Sam Howell sacked by Nicholas Morrow for -5 yards. Penalty on Andrew Wylie: Offensive Holding, 10 yards (declined)",0.89,-0.91,4.0,2023,59
3,4:24,4.0,9.0,WAS 37,17.0,21.0,"Tress Way punts 43 yards, returned by Britain Covey for 11 yards (tackle by Cole Turner and Jartavius Martin)",-0.91,-1.0,4.0,2023,59
3,4:14,1.0,10.0,PHI 31,17.0,21.0,Kenneth Gainwell up the middle for 3 yards (tackle by Darrick Forrest and Cody Barton),1.0,0.87,4.0,2023,59
3,3:30,2.0,7.0,PHI 34,17.0,21.0,Kenneth Gainwell right end for 13 yards (tackle by Cody Barton),0.87,2.06,4.0,2023,59
3,2:50,1.0,10.0,PHI 47,17.0,21.0,"Jalen Hurts pass complete deep left to Dallas Goedert for 17 yards (tackle by Kamren Curl). Penalty on Kamren Curl: Illegal Contact, 5 yards (declined)",2.06,3.18,4.0,2023,59
3,2:15,1.0,10.0,WAS 36,17.0,21.0,Jalen Hurts sacked by Jonathan Allen for -3 yards,3.18,2.23,4.0,2023,59
3,1:57,2.0,13.0,WAS 39,17.0,21.0,D'Andre Swift up the middle for 8 yards (tackle by Kamren Curl),2.23,2.61,4.0,2023,59
3,1:17,3.0,5.0,WAS 31,17.0,21.0,"Jalen Hurts pass incomplete deep right intended for A.J. Brown. Penalty on Kendall Fuller: Defensive Pass Interference, 5 yards (accepted) (no play)",2.61,3.84,4.0,2023,59
3,1:11,1.0,10.0,WAS 26,17.0,21.0,Jalen Hurts pass complete short left to DeVonta Smith for 11 yards (tackle by Cody Barton),3.84,4.58,4.0,2023,59
3,0:35,1.0,10.0,WAS 15,17.0,21.0,Jalen Hurts pass incomplete short right intended for Dallas Goedert,4.58,3.95,4.0,2023,59
3,0:32,2.0,10.0,WAS 15,17.0,21.0,Jalen Hurts up the middle for -1 yards (tackle by Jonathan Allen),3.95,3.04,4.0,2023,59
4,15:00,3.0,11.0,WAS 16,17.0,21.0,"Kenneth Gainwell right guard for -2 yards. Kenneth Gainwell fumbles (forced by Benjamin St-Juste), recovered by Lane Johnson at WAS-18 (tackle by Montez Sweat and Benjamin St-Juste)",3.04,2.25,4.0,2023,59
4,14:17,4.0,13.0,WAS 18,17.0,24.0,Jake Elliott 36 yard field goal good,2.25,3.0,4.0,2023,59
4,14:15,,,PHI 35,17.0,24.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,59
4,14:15,1.0,10.0,WAS 25,17.0,24.0,Sam Howell pass complete short right to Terry McLaurin for 5 yards (tackle by Nicholas Morrow),0.61,0.74,4.0,2023,59
4,13:38,2.0,5.0,WAS 30,17.0,24.0,Sam Howell pass complete short left to Curtis Samuel for 3 yards (tackle by Reed Blankenship),0.74,0.37,4.0,2023,59
4,12:57,3.0,3.0,WAS 33,17.0,24.0,Sam Howell pass complete short right to Antonio Gibson for 7 yards (tackle by Darius Slay),0.37,1.6,4.0,2023,59
4,12:15,1.0,10.0,WAS 40,17.0,24.0,Sam Howell scrambles right end for 2 yards (tackle by Zach Cunningham),1.6,1.32,4.0,2023,59
4,11:37,2.0,8.0,WAS 42,17.0,24.0,Sam Howell pass complete short left to Curtis Samuel for 4 yards (tackle by James Bradberry and Reed Blankenship),1.32,1.16,4.0,2023,59
4,10:54,3.0,4.0,WAS 46,17.0,24.0,"Sam Howell scrambles left end for 4 yards (tackle by Josh Sweat). Penalty on Terrell Edmunds: Unnecessary Roughness / Defense, 15 yards (accepted)",1.16,3.25,4.0,2023,59
4,10:32,1.0,10.0,PHI 35,17.0,24.0,Sam Howell pass complete short left to Curtis Samuel for 9 yards (tackle by Zach Cunningham),3.25,3.92,4.0,2023,59
4,9:47,2.0,1.0,PHI 26,17.0,24.0,Sam Howell pass incomplete deep right intended for Jahan Dotson,3.92,3.2,4.0,2023,59
4,9:41,3.0,1.0,PHI 26,17.0,24.0,"Penalty on Dyami Brown: Illegal Formation, 5 yards (accepted) (no play)",3.2,2.54,4.0,2023,59
4,9:21,3.0,6.0,PHI 31,17.0,24.0,Sam Howell pass complete short right to Curtis Samuel for 7 yards (tackle by Nicholas Morrow),2.54,3.97,4.0,2023,59
4,8:44,1.0,10.0,PHI 24,17.0,24.0,Brian Robinson left guard for 9 yards (tackle by Terrell Edmunds and Reed Blankenship),3.97,4.85,4.0,2023,59
4,8:07,2.0,1.0,PHI 15,23.0,24.0,"Brian Robinson left guard for 15 yards, touchdown",4.85,7.0,4.0,2023,59
4,8:01,,,PHI 15,24.0,24.0,Joey Slye kicks extra point good,0.0,0.0,4.0,2023,59
4,8:01,,,WAS 35,24.0,24.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,59
4,8:01,1.0,10.0,PHI 25,24.0,24.0,Jalen Hurts scrambles up the middle for 24 yards (tackle by Emmanuel Forbes),0.61,2.19,4.0,2023,59
4,7:24,1.0,10.0,PHI 49,24.0,24.0,D'Andre Swift up the middle for 2 yards (tackle by Jamin Davis),2.19,1.92,4.0,2023,59
4,6:49,2.0,8.0,WAS 49,24.0,24.0,"Penalty on Jordan Mailata: False Start, 5 yards (accepted) (no play)",1.92,1.24,4.0,2023,59
4,6:49,2.0,13.0,PHI 46,24.0,24.0,Jalen Hurts pass incomplete short left intended for A.J. Brown (defended by Emmanuel Forbes),1.24,0.56,4.0,2023,59
4,6:44,3.0,13.0,PHI 46,24.0,24.0,Jalen Hurts pass incomplete deep left intended for A.J. Brown (defended by Emmanuel Forbes),0.56,-0.32,4.0,2023,59
4,6:35,4.0,13.0,PHI 46,24.0,24.0,"Braden Mann punts 47 yards, fair catch by Jamison Crowder at WAS-7",-0.32,0.38,4.0,2023,59
4,6:28,1.0,10.0,WAS 7,24.0,24.0,Brian Robinson left guard for 3 yards (tackle by Haason Reddick and Jordan Davis),-0.38,-0.56,4.0,2023,59
4,5:54,2.0,7.0,WAS 10,24.0,24.0,Sam Howell pass incomplete deep right intended for Byron Pringle,-0.56,-1.07,4.0,2023,59
4,5:46,3.0,7.0,WAS 10,24.0,24.0,Sam Howell scrambles up the middle for 20 yards (tackle by Josh Jobe),-1.07,0.94,4.0,2023,59
4,5:04,1.0,10.0,WAS 30,24.0,24.0,Antonio Gibson left end for no gain (tackle by Zach Cunningham),0.94,0.39,4.0,2023,59
4,4:23,2.0,10.0,WAS 30,24.0,24.0,Sam Howell sacked by Haason Reddick for -7 yards,0.39,-1.22,4.0,2023,59
4,3:38,3.0,17.0,WAS 23,24.0,24.0,"Penalty on Andrew Wylie: False Start, 5 yards (accepted) (no play)",-1.22,-2.12,4.0,2023,59
4,3:38,3.0,22.0,WAS 18,24.0,24.0,Sam Howell scrambles right end for 5 yards (tackle by Milton Williams),-2.12,-1.83,4.0,2023,59
4,3:31,4.0,17.0,WAS 23,24.0,24.0,"Tress Way punts 54 yards, returned by Britain Covey for 20 yards (tackle by Jeremy Reaves and Derrick Gore)",-1.83,-1.8,4.0,2023,59
4,3:20,1.0,10.0,PHI 43,24.0,24.0,Jalen Hurts left tackle for 2 yards (tackle by Jamin Davis),1.8,1.52,4.0,2023,59
4,2:40,2.0,8.0,PHI 45,24.0,24.0,Jalen Hurts pass incomplete short left intended for Olamide Zaccheaus,1.52,0.83,4.0,2023,59
4,2:34,,,,,,Timeout #1 by Philadelphia Eagles,,,4.0,2023,59
4,2:34,3.0,8.0,PHI 45,24.0,24.0,Jalen Hurts pass complete short middle to Olamide Zaccheaus for 11 yards (tackle by Darrick Forrest),0.83,2.65,4.0,2023,59
4,2:00,1.0,10.0,WAS 44,24.0,24.0,Jalen Hurts pass complete short left to A.J. Brown for 10 yards (tackle by Emmanuel Forbes),2.65,3.31,4.0,2023,59
4,1:54,1.0,10.0,WAS 34,24.0,24.0,D'Andre Swift right tackle for 6 yards (tackle by Montez Sweat),3.31,3.58,4.0,2023,59
4,1:49,,,,,,Timeout #2 by Washington Commanders,,,4.0,2023,59
4,1:49,2.0,4.0,WAS 28,24.0,30.0,"Jalen Hurts pass complete deep right to A.J. Brown for 28 yards, touchdown",3.58,7.0,4.0,2023,59
4,1:43,,,WAS 15,24.0,31.0,Jake Elliott kicks extra point good,0.0,0.0,4.0,2023,59
4,1:43,,,PHI 35,24.0,31.0,"Penalty on A.J. Brown: Taunting / Offense, 15 yards (accepted) (no play)",0.0,0.0,4.0,2023,59
4,1:43,,,PHI 20,24.0,31.0,"Jake Elliott kicks off 73 yards, returned by Antonio Gibson for 29 yards (tackle by Terrell Edmunds and Christian Elliss)",0.0,1.33,4.0,2023,59
4,1:36,1.0,10.0,WAS 36,24.0,31.0,Sam Howell pass complete short left to Curtis Samuel for 11 yards (tackle by James Bradberry),1.33,2.06,4.0,2023,59
4,1:13,1.0,10.0,WAS 47,24.0,31.0,Sam Howell sacked by Nicholas Morrow for -7 yards,2.06,0.57,4.0,2023,59
4,1:09,,,,,,Timeout #3 by Washington Commanders,,,4.0,2023,59
4,1:09,2.0,17.0,WAS 40,24.0,31.0,Sam Howell pass incomplete deep left,0.57,-0.1,4.0,2023,59
4,1:02,3.0,17.0,WAS 40,24.0,31.0,Sam Howell pass complete short middle to Byron Pringle for 15 yards (tackle by James Bradberry),-0.1,0.27,4.0,2023,59
