Quarter,Time,Down,ToGo,Location,KAN,NYJ,Detail,EPB,EPA,week,year,game_id
1.0,9:51,1.0,10.0,KAN 43,3.0,0.0,Clyde Edwards-Helaire left end for 4 yards (tackle by D.J. Reed and Quincy Williams),1.8,1.79,4.0,2023,63
1.0,9:19,2.0,6.0,KAN 47,3.0,0.0,Patrick Mahomes scrambles left end for 5 yards (tackle by Quincy Williams),1.79,1.75,4.0,2023,63
1.0,8:41,3.0,1.0,NYJ 48,9.0,0.0,"Isiah Pacheco left tackle for 48 yards, touchdown",1.75,7.0,4.0,2023,63
1.0,8:32,,,NYJ 15,10.0,0.0,Harrison Butker kicks extra point good,0.0,0.0,4.0,2023,63
1.0,8:32,,,KAN 35,10.0,0.0,"Harrison Butker kicks off 66 yards, returned by Xavier Gipson for 22 yards (tackle by Cam Jones and Leo Chenal)",0.0,0.34,4.0,2023,63
1.0,8:24,1.0,10.0,NYJ 21,10.0,0.0,Breece Hall right guard for 11 yards (tackle by Trent McDuffie),0.34,1.07,4.0,2023,63
1.0,7:46,1.0,10.0,NYJ 32,10.0,0.0,Zach Wilson pass complete short right to Breece Hall for 7 yards (tackle by Justin Reid),1.07,1.47,4.0,2023,63
1.0,7:09,2.0,3.0,NYJ 39,10.0,0.0,Dalvin Cook right guard for 2 yards (tackle by Derrick Nnadi and Michael Danna),1.47,1.03,4.0,2023,63
1.0,6:24,3.0,1.0,NYJ 41,10.0,0.0,Zach Wilson pass incomplete short middle intended for Tyler Conklin,1.03,-0.65,4.0,2023,63
1.0,6:18,4.0,1.0,NYJ 41,10.0,0.0,"Thomas Morstead punts 48 yards, fair catch by Montrell Washington at KC-11",-0.65,0.37,4.0,2023,63
1.0,6:12,1.0,10.0,KAN 11,10.0,0.0,Isiah Pacheco up the middle for 6 yards (tackle by C.J. Mosley),-0.37,-0.16,4.0,2023,63
1.0,5:42,2.0,4.0,KAN 17,10.0,0.0,Patrick Mahomes pass complete short left to Travis Kelce for 8 yards (tackle by Quinnen Williams),-0.16,0.61,4.0,2023,63
1.0,4:51,1.0,10.0,KAN 25,10.0,0.0,"Patrick Mahomes pass complete short right to Isiah Pacheco for 33 yards (tackle by Jordan Whitehead). Penalty on Quincy Williams: Defensive Holding, 5 yards (declined)",0.61,2.79,4.0,2023,63
1.0,4:43,1.0,10.0,NYJ 42,10.0,0.0,Clyde Edwards-Helaire right guard for 9 yards (tackle by Micheal Clemons),2.79,3.46,4.0,2023,63
1.0,4:11,2.0,1.0,NYJ 33,10.0,0.0,Clyde Edwards-Helaire left end for -1 yards (tackle by Quincy Williams),3.46,2.61,4.0,2023,63
1.0,3:32,3.0,2.0,NYJ 34,16.0,0.0,"Patrick Mahomes pass complete deep right to Noah Gray for 34 yards, touchdown",2.61,7.0,4.0,2023,63
1.0,3:24,,,NYJ 15,17.0,0.0,Harrison Butker kicks extra point good,0.0,0.0,4.0,2023,63
1.0,3:24,,,KAN 35,17.0,0.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,63
1.0,3:24,1.0,10.0,NYJ 25,17.0,0.0,Xavier Gipson right end for -1 yards (tackle by Leo Chenal),0.61,-0.07,4.0,2023,63
1.0,2:45,2.0,11.0,NYJ 24,17.0,0.0,Zach Wilson pass complete short middle to Breece Hall for 4 yards (tackle by Drue Tranquill),-0.07,-0.23,4.0,2023,63
1.0,2:02,3.0,7.0,NYJ 28,17.0,0.0,Zach Wilson pass complete short left to Garrett Wilson for 10 yards (tackle by L'Jarius Sneed and Felix Anudike-Uzomah),-0.23,1.47,4.0,2023,63
1.0,1:15,1.0,10.0,NYJ 38,17.0,0.0,Zach Wilson sacked by Mike Edwards for -10 yards,1.47,-0.43,4.0,2023,63
1.0,0:31,2.0,20.0,NYJ 28,17.0,0.0,Zach Wilson pass complete short left to Xavier Gipson for 4 yards (tackle by Chamarri Conner),-0.43,-0.56,4.0,2023,63
2.0,15:00,3.0,16.0,NYJ 32,17.0,0.0,Zach Wilson pass complete short right to Tyler Conklin for 11 yards (tackle by Justin Reid),-0.56,-0.52,4.0,2023,63
2.0,14:22,4.0,5.0,NYJ 43,17.0,0.0,"Thomas Morstead punts 49 yards downed by Ashtyn Davis. Penalty on Joshua Williams: Offensive Illegal Block Above the Waist, 4 yards (accepted)",-0.52,0.38,4.0,2023,63
2.0,14:11,1.0,10.0,KAN 4,17.0,0.0,Patrick Mahomes pass incomplete short middle intended for Travis Kelce,-0.38,-0.78,4.0,2023,63
2.0,14:06,2.0,10.0,KAN 4,17.0,0.0,Jerick McKinnon up the middle for 3 yards (tackle by Quincy Williams),-0.78,-1.07,4.0,2023,63
2.0,13:27,3.0,7.0,KAN 7,17.0,2.0,"Patrick Mahomes pass incomplete deep right (defended by Jordan Whitehead). Penalty on Jawaan Taylor: Offensive Facemask, 7 yards (accepted) (no play)",-1.07,-2.0,4.0,2023,63
2.0,13:20,,,KAN 20,17.0,2.0,"Harrison Butker kicks off 80 yards, touchback.",0.0,0.61,4.0,2023,63
2.0,13:20,1.0,10.0,NYJ 25,17.0,2.0,Breece Hall right end for 2 yards (tackle by Michael Danna),0.61,0.33,4.0,2023,63
2.0,12:43,2.0,8.0,NYJ 27,17.0,2.0,Zach Wilson pass complete short left to Garrett Wilson for 14 yards (tackle by Mike Edwards),0.33,1.66,4.0,2023,63
2.0,11:57,1.0,10.0,NYJ 41,17.0,2.0,Zach Wilson pass complete deep left to Allen Lazard for 39 yards (tackle by Trent McDuffie),1.66,4.24,4.0,2023,63
2.0,11:12,1.0,10.0,KAN 20,17.0,2.0,Zach Wilson pass complete short left to Jeremy Ruckert for 3 yards (tackle by Leo Chenal),4.24,4.12,4.0,2023,63
2.0,10:37,2.0,7.0,KAN 17,17.0,2.0,Zach Wilson pass complete short right to Garrett Wilson for 4 yards (tackle by Willie Gay),4.12,4.1,4.0,2023,63
2.0,10:01,,,,,,Timeout #1 by Kansas City Chiefs,,,4.0,2023,63
2.0,10:01,3.0,3.0,KAN 13,17.0,2.0,Zach Wilson pass incomplete short left intended for Tyler Conklin,4.1,2.67,4.0,2023,63
2.0,9:53,4.0,3.0,KAN 13,17.0,5.0,Greg Zuerlein 31 yard field goal good,2.67,3.0,4.0,2023,63
2.0,9:50,,,NYJ 35,17.0,5.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,63
2.0,9:50,1.0,10.0,KAN 25,17.0,5.0,Patrick Mahomes pass deep right intended for Noah Gray is intercepted by Ashtyn Davis at KC-42 and returned for 1 yard (tackle by Noah Gray),0.61,-2.85,4.0,2023,63
2.0,9:42,1.0,10.0,KAN 41,17.0,5.0,"Penalty on Mekhi Becton: False Start, 5 yards (accepted) (no play)",2.85,2.52,4.0,2023,63
2.0,9:42,1.0,15.0,KAN 46,17.0,5.0,"Zach Wilson pass complete short left to Breece Hall for 2 yards (tackle by Derrick Nnadi). Penalty on Derrick Nnadi: Horse Collar Tackle, 15 yards (accepted)",2.52,3.64,4.0,2023,63
2.0,9:18,1.0,10.0,KAN 29,17.0,5.0,Zach Wilson pass incomplete deep right intended for Garrett Wilson,3.64,3.1,4.0,2023,63
2.0,9:13,2.0,10.0,KAN 29,17.0,5.0,Dalvin Cook left tackle for 5 yards (tackle by Michael Danna and Bryan Cook),3.1,3.07,4.0,2023,63
2.0,8:30,3.0,5.0,KAN 24,17.0,5.0,Zach Wilson pass complete short right to Randall Cobb for 5 yards (tackle by Joshua Williams),3.07,4.31,4.0,2023,63
2.0,7:55,1.0,10.0,KAN 19,17.0,5.0,Xavier Gipson left end for 14 yards. Xavier Gipson fumbles (forced by Drue Tranquill),4.31,6.06,4.0,2023,63
2.0,7:10,1.0,5.0,KAN 5,17.0,5.0,Dalvin Cook up the middle for 4 yards (tackle by Chris Jones),6.06,5.91,4.0,2023,63
2.0,6:31,2.0,1.0,KAN 1,17.0,11.0,"Zach Wilson pass complete short right to C.J. Uzomah for 1 yard, touchdown",5.91,7.0,4.0,2023,63
2.0,6:26,,,KAN 15,17.0,12.0,Greg Zuerlein kicks extra point good,0.0,0.0,4.0,2023,63
2.0,6:26,,,NYJ 35,17.0,12.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,63
2.0,6:26,1.0,10.0,KAN 25,17.0,12.0,Patrick Mahomes pass complete short left to Isiah Pacheco for 9 yards (tackle by Jamien Sherwood and C.J. Mosley),0.61,1.28,4.0,2023,63
2.0,5:52,2.0,1.0,KAN 34,17.0,12.0,Isiah Pacheco right end for 10 yards (tackle by Quincy Williams and Sauce Gardner),1.28,1.86,4.0,2023,63
2.0,5:15,1.0,10.0,KAN 44,17.0,12.0,Isiah Pacheco right end for 11 yards (tackle by C.J. Mosley and D.J. Reed),1.86,2.59,4.0,2023,63
2.0,4:31,1.0,10.0,NYJ 45,17.0,12.0,Patrick Mahomes pass incomplete short middle intended for Travis Kelce,2.59,2.04,4.0,2023,63
2.0,4:27,2.0,10.0,NYJ 45,17.0,12.0,Isiah Pacheco up the middle for 4 yards (tackle by Quincy Williams),2.04,1.88,4.0,2023,63
2.0,3:48,3.0,6.0,NYJ 41,17.0,12.0,Patrick Mahomes pass complete short right to Kadarius Toney for 15 yards (tackle by Jordan Whitehead),1.88,3.84,4.0,2023,63
2.0,3:08,1.0,10.0,NYJ 26,17.0,12.0,Patrick Mahomes pass complete short middle to Kadarius Toney for 7 yards (tackle by Ashtyn Davis and John Franklin-Myers),3.84,4.27,4.0,2023,63
2.0,2:28,2.0,3.0,NYJ 19,17.0,12.0,Patrick Mahomes pass incomplete short left intended for Rashee Rice,4.27,3.57,4.0,2023,63
2.0,2:24,3.0,3.0,NYJ 19,17.0,12.0,Patrick Mahomes pass incomplete short right intended for Rashee Rice,3.57,2.28,4.0,2023,63
2.0,2:18,4.0,3.0,NYJ 19,20.0,12.0,Harrison Butker 37 yard field goal good,2.28,3.0,4.0,2023,63
2.0,2:15,,,KAN 35,20.0,12.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,63
2.0,2:15,1.0,10.0,NYJ 25,20.0,12.0,Zach Wilson pass complete short right to Garrett Wilson for 4 yards (tackle by Trent McDuffie),0.61,0.6,4.0,2023,63
2.0,2:00,2.0,6.0,NYJ 29,20.0,12.0,Zach Wilson pass incomplete short middle intended for Breece Hall (defended by Michael Danna),0.6,-0.1,4.0,2023,63
2.0,1:57,3.0,6.0,NYJ 29,20.0,12.0,Zach Wilson pass complete short middle to Michael Carter for 10 yards (tackle by Mike Edwards),-0.1,1.53,4.0,2023,63
2.0,1:36,1.0,10.0,NYJ 39,20.0,12.0,Zach Wilson pass complete short right to Tyler Conklin for 9 yards (tackle by L'Jarius Sneed),1.53,2.2,4.0,2023,63
2.0,1:30,2.0,1.0,NYJ 48,20.0,12.0,Michael Carter up the middle for 9 yards (tackle by Michael Danna),2.2,2.72,4.0,2023,63
2.0,1:08,1.0,10.0,KAN 43,20.0,12.0,Zach Wilson pass complete short left to Randall Cobb for 3 yards (tackle by Trent McDuffie),2.72,2.58,4.0,2023,63
2.0,0:43,2.0,7.0,KAN 40,20.0,12.0,Zach Wilson pass incomplete short right intended for Michael Carter,2.58,1.88,4.0,2023,63
2.0,0:35,3.0,7.0,KAN 40,20.0,12.0,Zach Wilson pass complete short right to Garrett Wilson for 6 yards,1.88,1.1,4.0,2023,63
2.0,0:30,,,,,,Timeout #1 by New York Jets,,,4.0,2023,63
2.0,0:30,4.0,1.0,KAN 34,20.0,12.0,Greg Zuerlein 52 yard field goal no good,1.1,-1.73,4.0,2023,63
2.0,0:26,1.0,10.0,KAN 42,20.0,12.0,Patrick Mahomes pass deep left intended for Travis Kelce is intercepted by C.J. Mosley at NYJ-35 and returned for no gain (tackle by Travis Kelce),1.73,-1.27,4.0,2023,63
2.0,0:18,1.0,10.0,NYJ 35,20.0,12.0,Zach Wilson scrambles right end for 14 yards (tackle by Willie Gay),1.27,2.19,4.0,2023,63
2.0,0:08,,,,,,Timeout #2 by New York Jets,,,4.0,2023,63
2.0,0:08,,,,,,Timeout #2 by Kansas City Chiefs,,,4.0,2023,63
2.0,0:08,1.0,10.0,NYJ 49,20.0,12.0,Zach Wilson pass incomplete deep middle intended for Garrett Wilson,2.19,1.65,4.0,2023,63
2.0,0:04,2.0,10.0,NYJ 49,20.0,12.0,Zach Wilson sacked by Chris Jones for -7 yards,1.65,0.04,4.0,2023,63
3.0,15:00,,,KAN 35,20.0,12.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,63
3.0,15:00,1.0,10.0,NYJ 25,20.0,12.0,Zach Wilson pass complete deep right to Tyler Conklin for 25 yards (tackle by Drue Tranquill),0.61,2.26,4.0,2023,63
3.0,14:24,1.0,10.0,NYJ 50,20.0,12.0,Zach Wilson pass complete short left to Allen Lazard for 12 yards (tackle by Willie Gay),2.26,3.05,4.0,2023,63
3.0,13:38,1.0,10.0,KAN 38,20.0,12.0,Breece Hall up the middle for 3 yards (tackle by Drue Tranquill),3.05,2.91,4.0,2023,63
3.0,12:55,2.0,7.0,KAN 35,20.0,12.0,Zach Wilson pass complete deep right to Jeremy Ruckert for 23 yards (tackle by Leo Chenal),2.91,4.78,4.0,2023,63
3.0,12:09,1.0,10.0,KAN 12,20.0,12.0,Breece Hall left end for -3 yards (tackle by Joshua Williams),4.78,3.66,4.0,2023,63
3.0,11:25,2.0,13.0,KAN 15,20.0,12.0,Zach Wilson pass complete short right to Garrett Wilson for 5 yards (tackle by Trent McDuffie and L'Jarius Sneed),3.66,3.48,4.0,2023,63
3.0,10:44,3.0,8.0,KAN 10,20.0,18.0,"Zach Wilson pass complete short left to Allen Lazard for 10 yards, touchdown",3.48,7.0,4.0,2023,63
3.0,10:40,,,KAN 2,20.0,20.0,"Two Point Attempt: Zach Wilson rushes, conversion succeeds.",1.0,1.0,4.0,2023,63
3.0,10:40,,,NYJ 35,20.0,20.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,63
3.0,10:40,1.0,10.0,KAN 25,20.0,20.0,Isiah Pacheco left tackle for no gain (tackle by Quinton Jefferson),0.61,0.06,4.0,2023,63
3.0,9:58,2.0,10.0,KAN 25,20.0,20.0,Patrick Mahomes sacked by and Quinnen Williams for -6 yards and Quinton Jefferson for -6 yards,0.06,-1.51,4.0,2023,63
3.0,9:11,3.0,16.0,KAN 19,20.0,20.0,Patrick Mahomes pass incomplete deep right intended for Marquez Valdes-Scantling,-1.51,-2.14,4.0,2023,63
3.0,9:04,4.0,16.0,KAN 19,20.0,20.0,"Tommy Townsend punts 45 yards, returned by Xavier Gipson for 11 yards (tackle by James Winchester and Leo Chenal)",-2.14,-2.06,4.0,2023,63
3.0,8:54,1.0,10.0,NYJ 47,20.0,20.0,Zach Wilson pass incomplete deep left intended for Garrett Wilson,2.06,1.52,4.0,2023,63
3.0,8:50,2.0,10.0,NYJ 47,20.0,20.0,Zach Wilson pass complete short left to Dalvin Cook for 2 yards (tackle by L'Jarius Sneed and Drue Tranquill),1.52,1.09,4.0,2023,63
3.0,8:12,3.0,8.0,NYJ 49,20.0,20.0,Zach Wilson pass complete short middle to Michael Carter for 2 yards (tackle by Mike Edwards and Willie Gay),1.09,0.0,4.0,2023,63
3.0,7:29,4.0,6.0,KAN 49,20.0,20.0,"Thomas Morstead punts 37 yards, fair catch by Montrell Washington at KC-12",0.0,0.35,4.0,2023,63
3.0,7:21,1.0,10.0,KAN 12,20.0,20.0,Isiah Pacheco right end for 17 yards (tackle by Quincy Williams),-0.35,0.87,4.0,2023,63
3.0,6:49,1.0,10.0,KAN 29,20.0,20.0,Isiah Pacheco up the middle for 2 yards (tackle by Quinnen Williams and C.J. Mosley),0.87,0.6,4.0,2023,63
3.0,6:16,2.0,8.0,KAN 31,20.0,20.0,Patrick Mahomes pass complete short right to Clyde Edwards-Helaire for 1 yard (tackle by C.J. Mosley),0.6,0.04,4.0,2023,63
3.0,5:36,3.0,7.0,KAN 32,20.0,20.0,"Patrick Mahomes pass incomplete short left intended for Jerick McKinnon. Penalty on Trey Smith: Offensive Holding, 10 yards (declined)",0.04,-1.24,4.0,2023,63
3.0,5:23,4.0,7.0,KAN 32,20.0,20.0,"Tommy Townsend punts 53 yards, fair catch by Xavier Gipson at NYJ-15",-1.24,0.22,4.0,2023,63
3.0,5:19,1.0,10.0,NYJ 15,20.0,20.0,Breece Hall right end for 43 yards (tackle by Bryan Cook),-0.22,2.79,4.0,2023,63
3.0,4:34,1.0,10.0,KAN 42,20.0,20.0,"Zach Wilson pass complete short right to C.J. Uzomah for no gain (tackle by Leo Chenal and Bryan Cook). Penalty on Connor McGovern: Ineligible Downfield Pass, 5 yards (accepted) (no play)",2.79,2.46,4.0,2023,63
3.0,4:06,1.0,15.0,KAN 47,20.0,20.0,Dalvin Cook up the middle for 4 yards (tackle by Trent McDuffie),2.46,2.11,4.0,2023,63
3.0,3:34,2.0,11.0,KAN 43,20.0,20.0,Zach Wilson pass incomplete short right intended for Randall Cobb,2.11,1.42,4.0,2023,63
3.0,3:27,3.0,11.0,KAN 43,20.0,20.0,Zach Wilson pass incomplete short right intended for Randall Cobb (defended by Mike Edwards),1.42,0.4,4.0,2023,63
3.0,3:21,4.0,11.0,KAN 43,20.0,20.0,"Thomas Morstead punts 31 yards, fair catch by Montrell Washington at KC-12",0.4,0.35,4.0,2023,63
3.0,3:14,1.0,10.0,KAN 12,20.0,20.0,Patrick Mahomes pass complete short right to Rashee Rice for 9 yards (tackle by Michael Carter),-0.35,0.42,4.0,2023,63
3.0,2:40,2.0,1.0,KAN 21,20.0,20.0,"Patrick Mahomes aborted snap, recovered by Patrick Mahomes at KC-20 Patrick Mahomes for 2 yards (tackle by Quincy Williams)",0.42,0.48,4.0,2023,63
3.0,2:06,1.0,10.0,KAN 23,20.0,20.0,Patrick Mahomes pass complete short right to Isiah Pacheco for 1 yard (tackle by Quincy Williams),0.48,0.07,4.0,2023,63
3.0,1:32,2.0,9.0,KAN 24,20.0,20.0,Patrick Mahomes pass complete short right to Travis Kelce for 5 yards (tackle by Sauce Gardner and C.J. Mosley),0.07,0.04,4.0,2023,63
3.0,0:53,3.0,4.0,KAN 29,20.0,20.0,Patrick Mahomes pass complete short left to Marquez Valdes-Scantling for 6 yards,0.04,1.27,4.0,2023,63
3.0,0:24,1.0,10.0,KAN 35,20.0,20.0,Patrick Mahomes pass complete short right to Justin Watson for 5 yards (tackle by Michael Carter),1.27,1.4,4.0,2023,63
4.0,15:00,2.0,5.0,KAN 40,20.0,20.0,Patrick Mahomes pass complete short right to Travis Kelce for 10 yards (tackle by C.J. Mosley),1.4,2.26,4.0,2023,63
4.0,14:23,1.0,10.0,KAN 50,20.0,20.0,"Penalty on Quinnen Williams: Encroachment, 5 yards (accepted) (no play)",2.26,2.99,4.0,2023,63
4.0,14:04,1.0,5.0,NYJ 45,20.0,20.0,Isiah Pacheco right end for 2 yards (tackle by Sauce Gardner),2.99,2.66,4.0,2023,63
4.0,13:33,2.0,3.0,NYJ 43,20.0,20.0,Patrick Mahomes pass complete short left to Rashee Rice for 18 yards (tackle by D.J. Reed),2.66,3.91,4.0,2023,63
4.0,12:56,1.0,10.0,NYJ 25,20.0,20.0,Skyy Moore right end for 11 yards (tackle by Quinton Jefferson),3.91,4.65,4.0,2023,63
4.0,12:20,1.0,10.0,NYJ 14,20.0,20.0,Isiah Pacheco right tackle for 1 yard (tackle by Quincy Williams and Jordan Whitehead),4.65,4.16,4.0,2023,63
4.0,11:41,2.0,9.0,NYJ 13,20.0,20.0,Patrick Mahomes pass incomplete short right,4.16,3.26,4.0,2023,63
4.0,11:36,3.0,9.0,NYJ 13,20.0,20.0,Patrick Mahomes pass complete short right to Rashee Rice for 5 yards,3.26,2.98,4.0,2023,63
4.0,10:54,4.0,4.0,NYJ 8,23.0,20.0,Harrison Butker 26 yard field goal good,2.98,3.0,4.0,2023,63
4.0,10:51,,,KAN 35,23.0,20.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,63
4.0,10:51,1.0,10.0,NYJ 25,23.0,20.0,Breece Hall right tackle for no gain (tackle by Leo Chenal and Chris Jones),0.61,0.06,4.0,2023,63
4.0,10:12,2.0,10.0,NYJ 25,23.0,20.0,Zach Wilson pass complete short left to Garrett Wilson for 4 yards (tackle by Drue Tranquill),0.06,-0.1,4.0,2023,63
4.0,9:35,3.0,6.0,NYJ 29,23.0,20.0,Zach Wilson pass complete short right to Garrett Wilson for 8 yards (tackle by George Karlaftis),-0.1,1.4,4.0,2023,63
4.0,8:55,1.0,10.0,NYJ 37,23.0,20.0,Zach Wilson pass complete short right to Tyler Conklin for 13 yards (tackle by Drue Tranquill),1.4,2.26,4.0,2023,63
4.0,8:15,1.0,10.0,NYJ 50,23.0,20.0,Dalvin Cook left tackle for 1 yard (tackle by Drue Tranquill),2.26,1.85,4.0,2023,63
4.0,7:31,2.0,9.0,KAN 49,23.0,20.0,"Zach Wilson aborted snap, recovered by Tershawn Wharton at NYJ-47",1.85,-2.46,4.0,2023,63
4.0,7:24,1.0,10.0,NYJ 47,23.0,20.0,Isiah Pacheco right end for -3 yards (tackle by Quincy Williams),2.46,1.51,4.0,2023,63
4.0,6:47,2.0,13.0,NYJ 50,23.0,20.0,Patrick Mahomes pass incomplete short right intended for Skyy Moore (defended by Quincy Williams),1.51,0.83,4.0,2023,63
4.0,6:42,3.0,13.0,NYJ 50,23.0,20.0,"Patrick Mahomes scrambles right end for no gain (tackle by Jordan Whitehead). Penalty on Jawaan Taylor: Offensive Holding, 10 yards (accepted) (no play)",0.83,-0.49,4.0,2023,63
4.0,6:25,3.0,23.0,KAN 40,23.0,20.0,"Patrick Mahomes scrambles up the middle for 25 yards (tackle by Adrian Amos). Penalty on C.J. Mosley: Illegal Contact, 5 yards (accepted)",-0.49,3.58,4.0,2023,63
4.0,5:57,1.0,10.0,NYJ 30,23.0,20.0,Isiah Pacheco up the middle for 4 yards (tackle by C.J. Mosley and Jordan Whitehead),3.58,3.57,4.0,2023,63
4.0,5:20,2.0,6.0,NYJ 26,23.0,20.0,Isiah Pacheco left end for -4 yards (tackle by Jermaine Johnson),3.57,2.34,4.0,2023,63
4.0,4:49,3.0,10.0,NYJ 30,23.0,20.0,"Patrick Mahomes pass complete deep right to Travis Kelce for no gain. Penalty on Trey Smith: Offensive Holding, 10 yards (accepted) (no play)",2.34,1.02,4.0,2023,63
4.0,4:29,3.0,20.0,NYJ 40,23.0,20.0,"Patrick Mahomes pass is intercepted by Michael Carter at NYJ-30 and returned for no gain. Penalty on Sauce Gardner: Defensive Holding, 5 yards (accepted) (no play)",1.02,3.25,4.0,2023,63
4.0,4:19,1.0,10.0,NYJ 35,23.0,20.0,Isiah Pacheco right end for 1 yard (tackle by Quincy Williams),3.25,2.84,4.0,2023,63
4.0,4:11,2.0,9.0,NYJ 34,23.0,20.0,Patrick Mahomes pass complete short left to Travis Kelce for 8 yards (tackle by D.J. Reed),2.84,3.2,4.0,2023,63
4.0,3:30,3.0,1.0,NYJ 26,23.0,20.0,Jerick McKinnon left tackle for 2 yards (tackle by Adrian Amos),3.2,3.97,4.0,2023,63
4.0,2:50,1.0,10.0,NYJ 24,23.0,20.0,Isiah Pacheco left end for 5 yards (tackle by Adrian Amos),3.97,4.12,4.0,2023,63
4.0,2:45,,,,,,Timeout #1 by New York Jets,,,4.0,2023,63
4.0,2:45,2.0,5.0,NYJ 19,23.0,20.0,Isiah Pacheco right tackle for 6 yards (tackle by Micheal Clemons),4.12,4.71,4.0,2023,63
4.0,2:39,,,,,,Timeout #2 by New York Jets,,,4.0,2023,63
4.0,2:39,1.0,10.0,NYJ 13,23.0,20.0,Isiah Pacheco left guard for no gain (tackle by Quinnen Williams),4.71,4.05,4.0,2023,63
4.0,2:09,,,,,,Timeout #3 by New York Jets,,,4.0,2023,63
4.0,2:09,2.0,10.0,NYJ 13,23.0,20.0,Jerick McKinnon right end for 2 yards (tackle by Michael Carter and C.J. Mosley),4.05,3.45,4.0,2023,63
4.0,2:00,3.0,8.0,NYJ 11,23.0,20.0,Patrick Mahomes scrambles left end for 9 yards,3.45,6.74,4.0,2023,63
4.0,1:12,1.0,2.0,NYJ 2,23.0,20.0,Patrick Mahomes kneels for -1 yards,6.74,5.53,4.0,2023,63
4.0,0:35,2.0,3.0,NYJ 3,23.0,20.0,Patrick Mahomes kneels for -1 yards,5.53,4.49,4.0,2023,63
