Quarter,Time,Down,ToGo,Location,LVR,LAC,Detail,EPB,EPA,week,year,game_id
2.0,11:33,1.0,7.0,LVR 7,7.0,7.0,Justin Herbert pass incomplete short right intended for Quentin Johnston (defended by Marcus Peters),5.6,4.76,4.0,2023,60
2.0,11:32,2.0,7.0,LVR 7,7.0,7.0,Justin Herbert sacked by Maxx Crosby for -8 yards,4.76,2.93,4.0,2023,60
2.0,10:49,3.0,15.0,LVR 15,7.0,7.0,Justin Herbert pass incomplete short middle intended for Donald Parham (defended by Tre'von Moehrig) (defended by Bilal Nichols),2.93,2.44,4.0,2023,60
2.0,10:45,4.0,15.0,LVR 15,7.0,10.0,Cameron Dicker 33 yard field goal good,2.44,3.0,4.0,2023,60
2.0,10:42,,,LAC 35,7.0,10.0,"Cameron Dicker kicks off 68 yards, returned by DeAndre Carter for 40 yards (tackle by Cameron Dicker)",0.0,1.4,4.0,2023,60
2.0,10:37,1.0,10.0,LVR 37,7.0,10.0,Aidan O'Connell pass incomplete deep left intended for Davante Adams,1.4,0.86,4.0,2023,60
2.0,10:30,2.0,10.0,LVR 37,7.0,10.0,Aidan O'Connell pass complete short right to Josh Jacobs for 4 yards (tackle by Michael Davis),0.86,0.7,4.0,2023,60
2.0,9:48,3.0,6.0,LVR 41,7.0,10.0,"Aidan O'Connell sacked by Morgan Fox for -5 yards. Aidan O'Connell fumbles, recovered by Chris Rumph at LV-36 (tackle by Ameer Abdullah)",0.7,-3.18,4.0,2023,60
2.0,9:39,1.0,10.0,LVR 36,7.0,10.0,Isaiah Spiller right end for 4 yards (tackle by Maxx Crosby and Robert Spillane),3.18,3.18,4.0,2023,60
2.0,8:58,2.0,6.0,LVR 32,7.0,10.0,"Justin Herbert scrambles right end for 3 yards (tackle by Jerry Tillery). Penalty on Jerry Tillery: Disqualification / Defense, 15 yards (accepted)",3.18,4.65,4.0,2023,60
2.0,8:37,1.0,10.0,LVR 14,7.0,10.0,Isaiah Spiller right end for 4 yards (tackle by Divine Deablo),4.65,4.71,4.0,2023,60
2.0,8:02,2.0,6.0,LVR 10,7.0,10.0,Isaiah Spiller up the middle for 3 yards (tackle by John Jenkins),4.71,4.5,4.0,2023,60
2.0,7:23,3.0,3.0,LVR 7,7.0,16.0,"Justin Herbert pass complete short middle to Keenan Allen for 7 yards, touchdown",4.5,7.0,4.0,2023,60
2.0,7:20,,,LVR 15,7.0,17.0,Cameron Dicker kicks extra point good,0.0,0.0,4.0,2023,60
2.0,7:20,,,LAC 35,7.0,17.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,60
2.0,7:20,1.0,10.0,LVR 25,7.0,17.0,Josh Jacobs up the middle for 3 yards (tackle by Eric Kendricks),0.61,0.47,4.0,2023,60
2.0,6:45,2.0,7.0,LVR 28,7.0,17.0,Aidan O'Connell pass complete short right to Josh Jacobs for 16 yards (tackle by Ja'Sir Taylor),0.47,1.86,4.0,2023,60
2.0,6:02,1.0,10.0,LVR 44,7.0,17.0,Zamir White left tackle for 4 yards (tackle by Tuli Tuipulotu and Austin Johnson),1.86,1.86,4.0,2023,60
2.0,5:21,2.0,6.0,LVR 48,7.0,17.0,"Aidan O'Connell sacked by Khalil Mack for -13 yards. Aidan O'Connell fumbles (forced by Khalil Mack), recovered by Austin Johnson at LV-35 (tackle by Khalil Mack)",1.86,-3.25,4.0,2023,60
2.0,5:15,1.0,10.0,LVR 35,7.0,17.0,"Joshua Kelley left tackle for 3 yards (tackle by John Jenkins and Maxx Crosby). Penalty on Tyree Wilson: Illegal Use of Hands / Defense, 5 yards (accepted)",3.25,3.78,4.0,2023,60
2.0,4:49,1.0,10.0,LVR 27,7.0,17.0,Justin Herbert pass complete short middle to Josh Palmer for 19 yards (tackle by Robert Spillane),3.78,5.37,4.0,2023,60
2.0,4:27,1.0,8.0,LVR 8,7.0,17.0,Joshua Kelley right guard for 6 yards (tackle by Marcus Peters),5.37,5.72,4.0,2023,60
2.0,4:09,2.0,2.0,LVR 2,7.0,17.0,Joshua Kelley up the middle for 1 yard (tackle by Marcus Epps and Luke Masterson),5.72,5.17,4.0,2023,60
2.0,3:48,3.0,1.0,LVR 1,7.0,17.0,Justin Herbert up the middle for no gain (tackle by Bilal Nichols),5.17,3.55,4.0,2023,60
2.0,3:06,4.0,1.0,LVR 1,7.0,23.0,"Justin Herbert up the middle for 1 yard, touchdown",3.55,7.0,4.0,2023,60
2.0,3:05,,,LVR 15,7.0,24.0,Cameron Dicker kicks extra point good,0.0,0.0,4.0,2023,60
2.0,3:05,,,LAC 35,7.0,24.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,60
2.0,3:05,1.0,10.0,LVR 25,7.0,24.0,Josh Jacobs up the middle for -2 yards (tackle by Dean Marlowe),0.61,-0.21,4.0,2023,60
2.0,2:24,2.0,12.0,LVR 23,7.0,24.0,Aidan O'Connell pass incomplete short left intended for Josh Jacobs,-0.21,-0.89,4.0,2023,60
2.0,2:20,3.0,12.0,LVR 23,7.0,24.0,Aidan O'Connell pass incomplete deep middle intended for Hunter Renfrow,-0.89,-1.83,4.0,2023,60
2.0,2:15,4.0,12.0,LVR 23,7.0,24.0,"AJ Cole punts 61 yards, returned by Derius Davis for 12 yards (tackle by Divine Deablo)",-1.83,-0.81,4.0,2023,60
2.0,2:03,1.0,10.0,LAC 28,7.0,24.0,Joshua Kelley right end for 6 yards (tackle by Marcus Peters),0.81,1.07,4.0,2023,60
2.0,1:59,2.0,4.0,LAC 34,7.0,24.0,Joshua Kelley right guard for no gain (tackle by John Jenkins),1.07,0.37,4.0,2023,60
2.0,1:27,3.0,4.0,LAC 34,7.0,24.0,Justin Herbert pass incomplete short right intended for Josh Palmer,0.37,-1.11,4.0,2023,60
2.0,1:16,4.0,4.0,LAC 34,7.0,24.0,JK Scott punts 42 yards out of bounds,-1.11,-0.54,4.0,2023,60
2.0,1:11,1.0,10.0,LVR 24,7.0,24.0,Aidan O'Connell pass complete short right to Jakobi Meyers for 8 yards (tackle by Michael Davis),0.54,1.08,4.0,2023,60
2.0,0:52,2.0,2.0,LVR 32,7.0,24.0,"Aidan O'Connell pass complete deep middle to Jakobi Meyers for no gain (tackle by Michael Davis). Penalty on Jakobi Meyers: Offensive Pass Interference, 10 yards (accepted) (no play)",1.08,-0.27,4.0,2023,60
2.0,0:43,2.0,12.0,LVR 22,7.0,24.0,Aidan O'Connell pass complete short left to Austin Hooper for 11 yards (tackle by Ja'Sir Taylor and Eric Kendricks),-0.27,0.5,4.0,2023,60
2.0,0:33,,,,,,Timeout #1 by Las Vegas Raiders,,,4.0,2023,60
2.0,0:33,3.0,1.0,LVR 33,7.0,24.0,Aidan O'Connell pass incomplete short left intended for Hunter Renfrow,0.5,-1.18,4.0,2023,60
2.0,0:29,4.0,1.0,LVR 33,7.0,24.0,"AJ Cole punts 52 yards, returned by Derius Davis for 6 yards (tackle by Ameer Abdullah)",-1.18,-0.34,4.0,2023,60
2.0,0:20,1.0,10.0,LAC 21,7.0,24.0,Justin Herbert kneels for -1 yards,0.34,-0.34,4.0,2023,60
3.0,15:00,,,LAC 35,7.0,24.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,60
3.0,15:00,1.0,10.0,LVR 25,7.0,24.0,"Aidan O'Connell sacked by Khalil Mack for -3 yards. Aidan O'Connell fumbles (forced by Khalil Mack), recovered by Dylan Parham at LV-22 (tackle by Khalil Mack)",0.61,-0.34,4.0,2023,60
3.0,14:10,2.0,13.0,LVR 22,7.0,24.0,Aidan O'Connell pass complete short left to Jakob Johnson for 12 yards (tackle by Asante Samuel),-0.34,0.56,4.0,2023,60
3.0,13:32,3.0,1.0,LVR 34,7.0,24.0,"Penalty on Kolton Miller: False Start, 5 yards (accepted) (no play)",0.56,-0.1,4.0,2023,60
3.0,13:11,3.0,6.0,LVR 29,7.0,24.0,Aidan O'Connell sacked by Khalil Mack for -4 yards,-0.1,-1.7,4.0,2023,60
3.0,12:28,4.0,10.0,LVR 25,7.0,24.0,AJ Cole punts 70 yards downed by Roderic Teamer,-1.7,0.38,4.0,2023,60
3.0,12:15,1.0,10.0,LAC 5,7.0,24.0,Joshua Kelley left end for -2 yards (tackle by Malcolm Koonce),-0.38,-0.93,4.0,2023,60
3.0,11:42,2.0,12.0,LAC 3,7.0,24.0,Justin Herbert pass incomplete deep left intended for Quentin Johnston (defended by David Long),-0.93,-1.65,4.0,2023,60
3.0,11:32,3.0,12.0,LAC 3,7.0,24.0,Justin Herbert pass incomplete deep left intended for Josh Palmer,-1.65,-2.49,4.0,2023,60
3.0,11:27,4.0,12.0,LAC 3,7.0,24.0,"JK Scott punts 49 yards, fair catch by DeAndre Carter at LV-48",-2.49,-2.13,4.0,2023,60
3.0,11:20,1.0,10.0,LVR 48,7.0,24.0,Josh Jacobs left end for no gain (tackle by Eric Kendricks),2.13,1.58,4.0,2023,60
3.0,10:40,2.0,10.0,LVR 48,7.0,24.0,Aidan O'Connell sacked by Khalil Mack for -9 yards,1.58,-0.29,4.0,2023,60
3.0,9:49,3.0,19.0,LVR 39,7.0,24.0,Aidan O'Connell pass complete short middle to Josh Jacobs for 21 yards (tackle by Kenneth Murray),-0.29,2.92,4.0,2023,60
3.0,9:04,1.0,10.0,LAC 40,7.0,24.0,Aidan O'Connell pass incomplete short right intended for Jakob Johnson,2.92,2.37,4.0,2023,60
3.0,8:58,2.0,10.0,LAC 40,7.0,24.0,Josh Jacobs up the middle for 9 yards (tackle by Khalil Mack and Raheem Layne),2.37,2.87,4.0,2023,60
3.0,8:26,3.0,1.0,LAC 31,7.0,24.0,Josh Jacobs right end for -1 yards (tackle by Tuli Tuipulotu),2.87,1.3,4.0,2023,60
3.0,7:47,4.0,2.0,LAC 32,7.0,24.0,Aidan O'Connell pass complete short left to Davante Adams for 12 yards (tackle by Asante Samuel and Khalil Mack),1.3,4.24,4.0,2023,60
3.0,7:12,1.0,10.0,LAC 20,7.0,24.0,Zamir White up the middle for no gain (tackle by Sebastian Joseph-Day and Chris Rumph),4.24,3.69,4.0,2023,60
3.0,6:35,2.0,10.0,LAC 20,7.0,24.0,"Aidan O'Connell pass complete short right to Hunter Renfrow for no gain (tackle by Asante Samuel). Penalty on Asante Samuel: Personal Foul / Defense, 10 yards (accepted)",3.69,4.91,4.0,2023,60
3.0,6:15,1.0,10.0,LAC 10,7.0,24.0,Josh Jacobs up the middle for 2 yards (tackle by Sebastian Joseph-Day),4.91,4.57,4.0,2023,60
3.0,5:40,2.0,8.0,LAC 8,7.0,24.0,Aidan O'Connell pass complete short left to Davante Adams for 4 yards (tackle by Asante Samuel),4.57,4.49,4.0,2023,60
3.0,5:04,3.0,4.0,LAC 4,7.0,24.0,Aidan O'Connell pass incomplete short left intended for Josh Jacobs (defended by Kenneth Murray),4.49,3.03,4.0,2023,60
3.0,4:54,4.0,4.0,LAC 4,10.0,24.0,Daniel Carlson 22 yard field goal good,3.03,3.0,4.0,2023,60
3.0,4:51,,,LVR 35,10.0,24.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,60
3.0,4:51,1.0,10.0,LAC 25,10.0,24.0,"Derius Davis left end for 1 yard (tackle by Robert Spillane). Penalty on Stone Smartt: Offensive Holding, 10 yards (accepted)",0.61,-0.28,4.0,2023,60
3.0,4:34,1.0,19.0,LAC 16,10.0,24.0,Justin Herbert pass complete short right to Derius Davis for 11 yards (tackle by Marcus Epps),-0.28,0.33,4.0,2023,60
3.0,3:55,2.0,8.0,LAC 27,10.0,24.0,Joshua Kelley right end for 8 yards (tackle by Marcus Epps and Maxx Crosby),0.33,1.27,4.0,2023,60
3.0,3:31,1.0,10.0,LAC 35,10.0,24.0,Justin Herbert scrambles right end for 15 yards (tackle by Divine Deablo),1.27,2.26,4.0,2023,60
3.0,2:55,1.0,10.0,LVR 50,10.0,24.0,Joshua Kelley left end for no gain (tackle by John Jenkins),2.26,1.71,4.0,2023,60
3.0,2:17,2.0,10.0,LVR 50,10.0,24.0,Justin Herbert pass incomplete deep left intended for Josh Palmer (defended by Jakorian Bennett),1.71,1.03,4.0,2023,60
3.0,2:11,3.0,10.0,LVR 50,10.0,24.0,"Justin Herbert pass deep right intended for Josh Palmer is intercepted by Tre'von Moehrig at LV-23 and returned for 16 yards (tackle by Trey Pipkins). Penalty on Robert Spillane: Defensive Illegal Blindside Block, 15 yards (accepted)",1.03,-0.54,4.0,2023,60
3.0,1:59,1.0,10.0,LVR 24,10.0,24.0,Josh Jacobs right end for 2 yards (tackle by Tuli Tuipulotu),0.54,0.27,4.0,2023,60
3.0,1:23,2.0,8.0,LVR 26,10.0,24.0,Aidan O'Connell pass complete short right to Josh Jacobs for 9 yards (tackle by Tuli Tuipulotu),0.27,1.27,4.0,2023,60
3.0,0:49,1.0,10.0,LVR 35,10.0,24.0,Zamir White right tackle for 11 yards (tackle by Dean Marlowe),1.27,1.99,4.0,2023,60
3.0,0:10,1.0,10.0,LVR 46,10.0,24.0,Aidan O'Connell pass incomplete deep middle intended for Davante Adams,1.99,1.45,4.0,2023,60
3.0,0:03,2.0,10.0,LVR 46,10.0,24.0,Aidan O'Connell pass complete short middle to Josh Jacobs for 14 yards (tackle by Eric Kendricks),1.45,2.92,4.0,2023,60
4.0,15:00,1.0,10.0,LAC 40,10.0,24.0,Josh Jacobs up the middle for 9 yards (tackle by Dean Marlowe),2.92,3.59,4.0,2023,60
4.0,14:30,2.0,1.0,LAC 31,10.0,24.0,Aidan O'Connell up the middle for 2 yards (tackle by Austin Johnson),3.59,3.64,4.0,2023,60
4.0,13:56,1.0,10.0,LAC 29,10.0,24.0,Josh Jacobs right guard for 5 yards (tackle by Sebastian Joseph-Day and Kenneth Murray),3.64,3.78,4.0,2023,60
4.0,13:18,2.0,5.0,LAC 24,10.0,24.0,Josh Jacobs left tackle for 6 yards (tackle by Andrew Farmer and Raheem Layne),3.78,4.37,4.0,2023,60
4.0,12:39,1.0,10.0,LAC 18,10.0,24.0,Aidan O'Connell pass incomplete deep left intended for Davante Adams,4.37,3.8,4.0,2023,60
4.0,12:33,2.0,10.0,LAC 18,10.0,24.0,"Josh Jacobs up the middle for no gain (tackle by Nick Williams and Sebastian Joseph-Day). Penalty on Jakobi Meyers: Illegal Crackback, 15 yards (accepted) (no play)",3.8,1.8,4.0,2023,60
4.0,12:15,2.0,25.0,LAC 33,10.0,24.0,Aidan O'Connell sacked by Khalil Mack for -9 yards,1.8,-0.03,4.0,2023,60
4.0,11:33,3.0,34.0,LAC 42,10.0,24.0,Aidan O'Connell pass complete short left to Ameer Abdullah for 4 yards (tackle by Kenneth Murray),-0.03,0.72,4.0,2023,60
4.0,10:43,4.0,30.0,LAC 38,10.0,24.0,"AJ Cole punts 25 yards, fair catch by Derius Davis at LAC-13",0.72,0.32,4.0,2023,60
4.0,10:37,1.0,10.0,LAC 13,10.0,24.0,Joshua Kelley right end for 1 yard (tackle by Adam Butler),-0.32,-0.68,4.0,2023,60
4.0,10:02,2.0,9.0,LAC 14,10.0,24.0,Justin Herbert sacked by Maxx Crosby for -9 yards,-0.68,-2.36,4.0,2023,60
4.0,9:24,3.0,18.0,LAC 5,10.0,24.0,Joshua Kelley up the middle for 10 yards (tackle by Tre'von Moehrig and Robert Spillane),-2.36,-2.44,4.0,2023,60
4.0,8:38,4.0,8.0,LAC 15,10.0,24.0,"JK Scott punts 46 yards, returned by DeAndre Carter for 1 yard (tackle by Simi Fehoko)",-2.44,-1.6,4.0,2023,60
4.0,8:28,1.0,10.0,LVR 40,10.0,24.0,"Aidan O'Connell pass incomplete short right intended for Austin Hooper. Penalty on Ja'Sir Taylor: Illegal Contact, 5 yards (accepted) (no play)",1.6,1.93,4.0,2023,60
4.0,8:23,1.0,10.0,LVR 45,10.0,24.0,Aidan O'Connell pass complete short left to Josh Jacobs for 4 yards (tackle by Raheem Layne),1.93,1.92,4.0,2023,60
4.0,7:54,2.0,6.0,LVR 49,10.0,24.0,Aidan O'Connell pass complete short left to Davante Adams for 10 yards (tackle by Michael Davis),1.92,2.85,4.0,2023,60
4.0,7:34,1.0,10.0,LAC 41,10.0,24.0,Aidan O'Connell pass incomplete short right intended for Austin Hooper,2.85,2.31,4.0,2023,60
4.0,7:26,2.0,10.0,LAC 41,10.0,24.0,Aidan O'Connell pass complete short middle to Ameer Abdullah for 10 yards (tackle by Ja'Sir Taylor),2.31,3.51,4.0,2023,60
4.0,6:59,1.0,10.0,LAC 31,10.0,24.0,Aidan O'Connell pass incomplete short left intended for Davante Adams,3.51,2.97,4.0,2023,60
4.0,6:57,2.0,10.0,LAC 31,10.0,24.0,Aidan O'Connell pass complete short left to Davante Adams for 13 yards (tackle by Michael Davis),2.97,4.37,4.0,2023,60
4.0,6:16,1.0,10.0,LAC 18,10.0,24.0,Aidan O'Connell pass complete short right to Davante Adams for 7 yards (tackle by Asante Samuel),4.37,5.01,4.0,2023,60
4.0,5:45,2.0,3.0,LAC 11,10.0,24.0,Aidan O'Connell pass complete short right to Davante Adams for 8 yards (tackle by Michael Davis),5.01,6.51,4.0,2023,60
4.0,5:20,1.0,3.0,LAC 3,10.0,24.0,Aidan O'Connell pass incomplete short right,6.51,5.53,4.0,2023,60
4.0,5:14,2.0,3.0,LAC 3,10.0,24.0,Aidan O'Connell pass complete short right to Davante Adams for 2 yards (tackle by Michael Davis),5.53,5.17,4.0,2023,60
4.0,4:56,3.0,1.0,LAC 1,10.0,24.0,Aidan O'Connell up the middle for no gain (tackle by Khalil Mack and Nick Williams),5.17,3.55,4.0,2023,60
4.0,4:04,4.0,1.0,LAC 1,16.0,24.0,"Josh Jacobs up the middle for 1 yard, touchdown",3.55,7.0,4.0,2023,60
4.0,3:59,,,LAC 15,17.0,24.0,Daniel Carlson kicks extra point good,0.0,0.0,4.0,2023,60
4.0,3:59,,,LVR 35,17.0,24.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,60
4.0,3:59,1.0,10.0,LAC 25,17.0,24.0,Justin Herbert pass complete short right to Gerald Everett for 3 yards (tackle by John Jenkins),0.61,0.47,4.0,2023,60
4.0,3:54,,,,,,Timeout #1 by Las Vegas Raiders,,,4.0,2023,60
4.0,3:54,2.0,7.0,LAC 28,17.0,24.0,Justin Herbert pass incomplete deep left intended for Keenan Allen,0.47,-0.23,4.0,2023,60
4.0,3:45,3.0,7.0,LAC 28,17.0,24.0,Justin Herbert scrambles up the middle for 6 yards (tackle by Bilal Nichols),-0.23,-1.11,4.0,2023,60
4.0,3:34,,,,,,Timeout #2 by Las Vegas Raiders,,,4.0,2023,60
4.0,3:34,4.0,1.0,LAC 34,17.0,24.0,Justin Herbert up the middle for no gain (tackle by Maxx Crosby),-1.11,-3.31,4.0,2023,60
4.0,3:30,1.0,10.0,LAC 34,17.0,24.0,Aidan O'Connell pass complete short middle to Hunter Renfrow for 12 yards (tackle by Ja'Sir Taylor),3.31,4.11,4.0,2023,60
4.0,2:59,1.0,10.0,LAC 22,17.0,24.0,Aidan O'Connell pass incomplete short left intended for Davante Adams,4.11,3.56,4.0,2023,60
4.0,2:56,2.0,10.0,LAC 22,17.0,24.0,Aidan O'Connell pass incomplete short middle intended for Josh Jacobs (defended by Khalil Mack),3.56,2.87,4.0,2023,60
4.0,2:52,3.0,10.0,LAC 22,17.0,24.0,Aidan O'Connell pass incomplete deep right intended for Jakobi Meyers,2.87,1.99,4.0,2023,60
4.0,2:47,4.0,10.0,LAC 22,17.0,24.0,Aidan O'Connell pass complete deep left to Davante Adams for 19 yards (tackle by Michael Davis),1.99,6.51,4.0,2023,60
4.0,2:39,1.0,3.0,LAC 3,17.0,24.0,Aidan O'Connell pass short right intended for Jakobi Meyers is intercepted by Asante Samuel at LAC-3 and returned for 8 yards,6.51,0.37,4.0,2023,60
4.0,2:33,1.0,10.0,LAC 11,17.0,24.0,Joshua Kelley up the middle for 1 yard (tackle by Marcus Peters and Adam Butler),-0.37,-0.71,4.0,2023,60
4.0,2:27,,,,,,Timeout #3 by Las Vegas Raiders,,,4.0,2023,60
4.0,2:27,2.0,9.0,LAC 12,17.0,24.0,Derius Davis right end for -1 yards (tackle by Adam Butler),-0.71,-1.42,4.0,2023,60
