Quarter,Time,Down,ToGo,Location,PIT,HOU,Detail,EPB,EPA,week,year,game_id
1.0,10:08,1.0,5.0,PIT 5,0.0,0.0,"C.J. Stroud pass complete short middle to Dameon Pierce for no gain, touchdown. Penalty on Shaq Mason: Ineligible Downfield Pass, 5 yards (accepted) (no play)",6.06,4.91,4.0,2023,57
1.0,10:08,1.0,10.0,PIT 10,0.0,0.0,Dameon Pierce right tackle for no gain (tackle by T.J. Watt and Minkah Fitzpatrick),4.91,4.19,4.0,2023,57
1.0,9:26,2.0,10.0,PIT 10,0.0,0.0,"C.J. Stroud pass incomplete short left intended for Brevin Jordan. Penalty on Minkah Fitzpatrick: Defensive Pass Interference, 8 yards (accepted) (no play)",4.19,6.74,4.0,2023,57
1.0,9:20,1.0,2.0,PIT 2,0.0,0.0,Dameon Pierce right guard for no gain (tackle by Elandon Roberts and Montravius Adams),6.74,5.72,4.0,2023,57
1.0,8:58,2.0,2.0,PIT 2,0.0,6.0,"C.J. Stroud pass complete short middle to Nico Collins for 2 yards, touchdown",5.72,7.0,4.0,2023,57
1.0,8:55,,,PIT 15,0.0,7.0,Ka'imi Fairbairn kicks extra point good,0.0,0.0,4.0,2023,57
1.0,8:55,,,HOU 35,0.0,7.0,"Ka'imi Fairbairn kicks off 67 yards, returned by Desmond King for 21 yards (tackle by Neville Hewitt)",0.0,0.15,4.0,2023,57
1.0,8:50,1.0,10.0,PIT 19,0.0,7.0,Najee Harris left guard for 3 yards (tackle by Christian Harris and Jonathan Greenard),0.15,0.07,4.0,2023,57
1.0,8:19,2.0,7.0,PIT 22,0.0,7.0,Kenny Pickett pass incomplete short right intended for Pat Freiermuth,0.07,-0.68,4.0,2023,57
1.0,8:16,3.0,7.0,PIT 22,0.0,7.0,Kenny Pickett scrambles left end for 8 yards (tackle by Will Anderson and Jimmie Ward),-0.68,0.94,4.0,2023,57
1.0,7:32,1.0,10.0,PIT 30,0.0,7.0,Najee Harris left tackle for 4 yards (tackle by Steven Nelson),0.94,0.93,4.0,2023,57
1.0,6:59,2.0,6.0,PIT 34,0.0,7.0,Calvin Austin left end for 5 yards (tackle by Steven Nelson and Christian Harris),0.93,0.89,4.0,2023,57
1.0,6:23,3.0,1.0,PIT 39,0.0,7.0,Kenny Pickett up the middle for 1 yard (tackle by Jerry Hughes),0.89,1.6,4.0,2023,57
1.0,5:43,1.0,10.0,PIT 40,0.0,7.0,Kenny Pickett sacked by Jerry Hughes for -8 yards,1.6,-0.03,4.0,2023,57
1.0,5:01,2.0,18.0,PIT 32,0.0,7.0,"Kenny Pickett pass deep middle intended for Calvin Austin is intercepted by Steven Nelson at HOU-22 and returned for 33 yards (tackle by Allen Robinson). Penalty on Chukwuma Okorafor: Offensive Holding, 10 yards (declined) . Penalty on George Pickens: Unsportsmanlike Conduct / Offense, 15 yards (offset) . Penalty on Cory Littleton: Unsportsmanlike Conduct / Defense, 15 yards (offset)",-0.03,-2.59,4.0,2023,57
1.0,4:46,1.0,10.0,PIT 45,0.0,7.0,Dameon Pierce left end for 8 yards (tackle by Cole Holcomb),2.59,3.12,4.0,2023,57
1.0,4:18,2.0,2.0,PIT 37,0.0,7.0,Dameon Pierce right guard for 3 yards (tackle by Kwon Alexander and Cole Holcomb),3.12,3.31,4.0,2023,57
1.0,3:42,1.0,10.0,PIT 34,0.0,7.0,C.J. Stroud pass incomplete deep left,3.31,2.77,4.0,2023,57
1.0,3:34,2.0,10.0,PIT 34,0.0,7.0,Tank Dell left end for 7 yards (tackle by Levi Wallace),2.77,3.01,4.0,2023,57
1.0,2:57,3.0,3.0,PIT 27,0.0,7.0,C.J. Stroud pass complete short right to Robert Woods for 5 yards (tackle by Patrick Peterson),3.01,4.11,4.0,2023,57
1.0,2:17,1.0,10.0,PIT 22,0.0,7.0,C.J. Stroud pass incomplete short middle intended for Tank Dell (defended by Levi Wallace),4.11,3.56,4.0,2023,57
1.0,2:10,2.0,10.0,PIT 22,0.0,7.0,Dameon Pierce up the middle for 4 yards (tackle by Minkah Fitzpatrick and Alex Highsmith),3.56,3.4,4.0,2023,57
1.0,1:29,3.0,6.0,PIT 18,0.0,7.0,C.J. Stroud pass incomplete deep left intended for Robert Woods,3.4,2.27,4.0,2023,57
1.0,1:23,4.0,6.0,PIT 18,0.0,10.0,Ka'imi Fairbairn 36 yard field goal good,2.27,3.0,4.0,2023,57
1.0,1:20,,,HOU 35,0.0,10.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,57
1.0,1:20,1.0,10.0,PIT 25,0.0,10.0,"Kenny Pickett pass complete short right to George Pickens for 3 yards. George Pickens fumbles, ball out of bounds at PIT-28 (forced by Jimmie Ward). George Pickens fumbles out of bounds",0.61,0.47,4.0,2023,57
1.0,0:52,2.0,7.0,PIT 28,0.0,10.0,Najee Harris right tackle for -3 yards (tackle by Henry To'oTo'o),0.47,-0.62,4.0,2023,57
1.0,0:14,3.0,10.0,PIT 25,0.0,10.0,Kenny Pickett pass complete short right to Jaylen Warren for 2 yards (tackle by Sheldon Rankins and Henry To'oTo'o),-0.62,-1.57,4.0,2023,57
2.0,15:00,4.0,8.0,PIT 27,0.0,10.0,"Brad Wing punts 41 yards, recovered by Tank Dell at HOU-32 (tackle by Nick Herbig)",-1.57,-1.07,4.0,2023,57
2.0,14:52,1.0,10.0,HOU 32,0.0,10.0,Dameon Pierce up the middle for 3 yards (tackle by Elandon Roberts and Keeanu Benton),1.07,0.93,4.0,2023,57
2.0,14:11,2.0,7.0,HOU 35,0.0,10.0,C.J. Stroud pass complete deep middle to Dalton Schultz for 29 yards (tackle by Minkah Fitzpatrick and Elandon Roberts),0.93,3.18,4.0,2023,57
2.0,13:41,1.0,10.0,PIT 36,0.0,10.0,Dameon Pierce right guard for 12 yards (tackle by Patrick Peterson),3.18,3.97,4.0,2023,57
2.0,13:05,1.0,10.0,PIT 24,0.0,10.0,Dameon Pierce up the middle for 4 yards (tackle by Keeanu Benton),3.97,3.97,4.0,2023,57
2.0,12:23,2.0,6.0,PIT 20,0.0,10.0,C.J. Stroud pass incomplete deep right intended for John Metchie,3.97,3.27,4.0,2023,57
2.0,12:17,3.0,6.0,PIT 20,0.0,10.0,C.J. Stroud pass incomplete short left intended for Robert Woods,3.27,2.15,4.0,2023,57
2.0,12:13,4.0,6.0,PIT 20,0.0,13.0,Ka'imi Fairbairn 38 yard field goal good,2.15,3.0,4.0,2023,57
2.0,12:09,,,HOU 35,0.0,13.0,"Ka'imi Fairbairn kicks off 65 yards, returned by Desmond King for 21 yards (tackle by Christian Harris)",0.0,0.34,4.0,2023,57
2.0,12:05,1.0,10.0,PIT 21,0.0,13.0,Kenny Pickett pass complete short middle to Pat Freiermuth for -6 yards (tackle by Dylan Horton),0.34,-1.14,4.0,2023,57
2.0,11:25,2.0,16.0,PIT 15,0.0,13.0,Kenny Pickett pass complete short right to Allen Robinson for 8 yards,-1.14,-0.63,4.0,2023,57
2.0,10:51,3.0,8.0,PIT 23,0.0,13.0,Kenny Pickett pass incomplete short middle intended for George Pickens (defended by Shaquill Griffin),-0.63,-1.83,4.0,2023,57
2.0,10:45,4.0,8.0,PIT 23,0.0,13.0,Brad Wing punts 44 yards out of bounds,-1.83,-1.14,4.0,2023,57
2.0,10:37,1.0,10.0,HOU 33,0.0,13.0,C.J. Stroud pass complete short left to Nico Collins for 19 yards (tackle by Damontae Kazee),1.14,2.39,4.0,2023,57
2.0,9:57,1.0,10.0,PIT 48,0.0,13.0,C.J. Stroud pass complete short left to Devin Singletary for 11 yards (tackle by Montravius Adams and Kwon Alexander),2.39,3.12,4.0,2023,57
2.0,9:18,1.0,10.0,PIT 37,0.0,13.0,Devin Singletary left tackle for 2 yards (tackle by Isaiahh Loudermilk),3.12,2.84,4.0,2023,57
2.0,8:42,2.0,8.0,PIT 35,0.0,13.0,C.J. Stroud pass complete short right to Dalton Schultz for 7 yards (tackle by Chandon Sullivan and Minkah Fitzpatrick),2.84,3.07,4.0,2023,57
2.0,7:56,3.0,1.0,PIT 28,0.0,13.0,C.J. Stroud up the middle for no gain (tackle by Elandon Roberts),3.07,1.72,4.0,2023,57
2.0,7:09,,,,,,Timeout #2 by Houston Texans,,,4.0,2023,57
2.0,7:09,4.0,1.0,PIT 28,0.0,13.0,C.J. Stroud pass incomplete short left intended for Andrew Beck,1.72,-0.81,4.0,2023,57
2.0,7:05,1.0,10.0,PIT 28,0.0,13.0,Najee Harris left guard for 4 yards (tackle by Jonathan Greenard),0.81,0.8,4.0,2023,57
2.0,6:44,2.0,6.0,PIT 32,0.0,13.0,Najee Harris up the middle for 8 yards (tackle by Kurt Hinish),0.8,1.6,4.0,2023,57
2.0,6:04,1.0,10.0,PIT 40,0.0,13.0,Kenny Pickett pass incomplete short right,1.6,1.05,4.0,2023,57
2.0,5:57,2.0,10.0,PIT 40,0.0,13.0,Kenny Pickett pass complete short right to Jaylen Warren for 2 yards (tackle by Christian Harris and Maliek Collins),1.05,0.63,4.0,2023,57
2.0,5:13,3.0,8.0,PIT 42,0.0,13.0,Kenny Pickett pass complete short right to Jaylen Warren for 7 yards (tackle by Sheldon Rankins),0.63,-0.13,4.0,2023,57
2.0,4:34,4.0,1.0,PIT 49,0.0,13.0,"Brad Wing punts 51 yards, touchback.",-0.13,-0.28,4.0,2023,57
2.0,4:26,1.0,10.0,HOU 20,0.0,13.0,"Penalty on Brevin Jordan: False Start, 5 yards (accepted) (no play)",0.28,-0.31,4.0,2023,57
2.0,4:26,1.0,15.0,HOU 15,0.0,13.0,Dameon Pierce up the middle for 3 yards (tackle by Keeanu Benton and Alex Highsmith),-0.31,-0.63,4.0,2023,57
2.0,4:07,2.0,12.0,HOU 18,0.0,13.0,C.J. Stroud pass complete short middle to John Metchie for 22 yards (tackle by Cole Holcomb),-0.63,1.6,4.0,2023,57
2.0,3:26,1.0,10.0,HOU 40,0.0,13.0,Dameon Pierce up the middle for no gain (tackle by Keanu Neal and Elandon Roberts),1.6,1.05,4.0,2023,57
2.0,2:49,2.0,10.0,HOU 40,0.0,13.0,Dameon Pierce up the middle for 5 yards (tackle by Patrick Peterson),1.05,1.03,4.0,2023,57
2.0,2:10,3.0,5.0,HOU 45,0.0,13.0,C.J. Stroud pass incomplete short right intended for Nico Collins,1.03,-0.39,4.0,2023,57
2.0,2:06,4.0,5.0,HOU 45,0.0,13.0,"Ty Zentner punts 42 yards, returned by Calvin Austin for 2 yards (tackle by Xavier Hutchinson)",-0.39,0.22,4.0,2023,57
2.0,1:57,1.0,10.0,PIT 15,0.0,13.0,Kenny Pickett pass complete short right to George Pickens for 5 yards (tackle by Shaquill Griffin),-0.22,0.08,4.0,2023,57
2.0,1:38,2.0,5.0,PIT 20,0.0,13.0,Kenny Pickett pass incomplete short left intended for Calvin Austin,0.08,-0.76,4.0,2023,57
2.0,1:33,3.0,5.0,PIT 20,0.0,13.0,"Kenny Pickett pass incomplete deep right intended for George Pickens. Penalty on Shaquill Griffin: Defensive Pass Interference, 15 yards (accepted) (no play)",-0.76,1.27,4.0,2023,57
2.0,1:28,1.0,10.0,PIT 35,0.0,13.0,Kenny Pickett pass complete short right to Jaylen Warren for 5 yards (tackle by Christian Harris),1.27,1.4,4.0,2023,57
2.0,1:24,2.0,5.0,PIT 40,0.0,13.0,Kenny Pickett sacked by Jonathan Greenard for -4 yards,1.4,0.17,4.0,2023,57
2.0,1:19,,,,,,Timeout #1 by Pittsburgh Steelers,,,4.0,2023,57
2.0,1:19,3.0,9.0,PIT 36,0.0,13.0,"Kenny Pickett pass incomplete short right intended for Connor Heyward. Penalty on Maliek Collins: Defensive Offside, 5 yards (accepted) (no play)",0.17,0.83,4.0,2023,57
2.0,1:15,3.0,4.0,PIT 41,0.0,13.0,"Kenny Pickett pass complete short right to George Pickens for no gain. Penalty on Pat Freiermuth: Offensive Pass Interference, 10 yards (accepted) (no play)",0.83,-0.49,4.0,2023,57
2.0,1:06,3.0,14.0,PIT 31,0.0,13.0,Kenny Pickett pass complete short left to Pat Freiermuth for 9 yards (tackle by Christian Harris and Henry To'oTo'o),-0.49,-0.72,4.0,2023,57
2.0,0:53,,,,,,Timeout #3 by Houston Texans,,,4.0,2023,57
2.0,0:53,4.0,5.0,PIT 40,0.0,13.0,"Brad Wing punts 52 yards, returned by Tank Dell for 14 yards (tackle by Miles Killebrew)",-0.72,-0.41,4.0,2023,57
2.0,0:41,1.0,10.0,HOU 22,0.0,13.0,C.J. Stroud pass complete short right to Nico Collins for 42 yards (tackle by Damontae Kazee),0.41,3.18,4.0,2023,57
2.0,0:22,1.0,10.0,PIT 36,0.0,13.0,C.J. Stroud spiked the ball,3.18,2.64,4.0,2023,57
2.0,0:21,2.0,10.0,PIT 36,0.0,13.0,C.J. Stroud pass complete short left to Nico Collins for 15 yards (tackle by Minkah Fitzpatrick),2.64,4.17,4.0,2023,57
2.0,0:04,1.0,10.0,PIT 21,0.0,13.0,C.J. Stroud spiked the ball,4.17,3.63,4.0,2023,57
2.0,0:04,2.0,10.0,PIT 21,0.0,16.0,Ka'imi Fairbairn 39 yard field goal good,3.63,3.0,4.0,2023,57
3.0,15:00,,,HOU 35,0.0,16.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,57
3.0,15:00,1.0,10.0,PIT 25,0.0,16.0,Najee Harris up the middle for 15 yards (tackle by Jimmie Ward),0.61,1.6,4.0,2023,57
3.0,14:24,1.0,10.0,PIT 40,0.0,16.0,Najee Harris up the middle for 4 yards (tackle by Sheldon Rankins and Christian Harris),1.6,1.59,4.0,2023,57
3.0,13:59,2.0,6.0,PIT 44,0.0,16.0,Najee Harris left guard for -1 yards (tackle by Jonathan Greenard and Sheldon Rankins),1.59,0.76,4.0,2023,57
3.0,13:19,3.0,7.0,PIT 43,0.0,16.0,Kenny Pickett pass complete short right to Calvin Austin for 12 yards,0.76,2.59,4.0,2023,57
3.0,12:47,1.0,10.0,HOU 45,0.0,16.0,Kenny Pickett pass complete short left to Calvin Austin for 4 yards (tackle by Blake Cashman and Steven Nelson),2.59,2.58,4.0,2023,57
3.0,12:11,2.0,6.0,HOU 41,0.0,16.0,Jaylen Warren left tackle for 18 yards (tackle by Jalen Pitre),2.58,4.04,4.0,2023,57
3.0,11:33,1.0,10.0,HOU 23,0.0,16.0,Najee Harris up the middle for 4 yards (tackle by Khalil Davis and Christian Harris),4.04,4.05,4.0,2023,57
3.0,10:55,2.0,6.0,HOU 19,0.0,16.0,Najee Harris left guard for 4 yards (tackle by Jimmie Ward),4.05,4.05,4.0,2023,57
3.0,10:15,3.0,2.0,HOU 15,0.0,16.0,Jaylen Warren up the middle for -2 yards (tackle by Grayland Arnold and Will Anderson),4.05,2.39,4.0,2023,57
3.0,9:35,4.0,4.0,HOU 17,3.0,16.0,Chris Boswell 35 yard field goal good,2.39,3.0,4.0,2023,57
3.0,9:31,,,PIT 35,3.0,16.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,57
3.0,9:31,1.0,10.0,HOU 25,3.0,16.0,Dameon Pierce up the middle for 4 yards (tackle by DeMarvin Leal),0.61,0.6,4.0,2023,57
3.0,8:58,2.0,6.0,HOU 29,3.0,16.0,C.J. Stroud pass incomplete short right intended for Nico Collins (defended by Patrick Peterson),0.6,-0.1,4.0,2023,57
3.0,8:49,3.0,6.0,HOU 29,3.0,16.0,"C.J. Stroud pass incomplete short right. Penalty on C.J. Stroud: Intentional Grounding, 14 yards (accepted)",-0.1,-2.44,4.0,2023,57
3.0,8:49,4.0,20.0,HOU 15,3.0,16.0,"Ty Zentner punts 38 yards, returned by Calvin Austin for 7 yards (tackle by Neville Hewitt)",-2.44,-2.52,4.0,2023,57
3.0,8:40,1.0,10.0,HOU 46,3.0,16.0,Kenny Pickett pass complete short left to Pat Freiermuth for 4 yards (tackle by Henry To'oTo'o),2.52,2.52,4.0,2023,57
3.0,7:57,2.0,6.0,HOU 42,3.0,16.0,Najee Harris left guard for 2 yards (tackle by Henry To'oTo'o and Dylan Horton),2.52,2.08,4.0,2023,57
3.0,7:17,3.0,4.0,HOU 40,3.0,16.0,Kenny Pickett pass complete short left to Najee Harris for 32 yards (tackle by Christian Harris),2.08,5.37,4.0,2023,57
3.0,6:41,1.0,8.0,HOU 8,3.0,16.0,Kenny Pickett pass incomplete short middle intended for George Pickens (defended by Henry To'oTo'o),5.37,4.57,4.0,2023,57
3.0,6:37,2.0,8.0,HOU 8,3.0,16.0,Najee Harris right guard for 3 yards (tackle by Henry To'oTo'o and Grayland Arnold),4.57,4.26,4.0,2023,57
3.0,5:54,3.0,5.0,HOU 5,3.0,16.0,Kenny Pickett pass incomplete short left intended for Allen Robinson,4.26,3.01,4.0,2023,57
3.0,5:50,4.0,5.0,HOU 5,6.0,16.0,Chris Boswell 23 yard field goal good,3.01,3.0,4.0,2023,57
3.0,5:47,,,PIT 35,6.0,16.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,57
3.0,5:47,1.0,10.0,HOU 25,6.0,16.0,C.J. Stroud pass complete short right to Tank Dell for 16 yards (tackle by Minkah Fitzpatrick and Patrick Peterson),0.61,1.66,4.0,2023,57
3.0,5:26,1.0,10.0,HOU 41,6.0,16.0,Dameon Pierce left guard for 1 yard (tackle by Larry Ogunjobi and Kwon Alexander),1.66,1.26,4.0,2023,57
3.0,4:57,2.0,9.0,HOU 42,6.0,16.0,C.J. Stroud pass incomplete short middle intended for Dameon Pierce,1.26,0.56,4.0,2023,57
3.0,4:54,3.0,9.0,HOU 42,6.0,16.0,C.J. Stroud pass incomplete short left intended for Robert Woods,0.56,-0.59,4.0,2023,57
3.0,4:50,4.0,9.0,HOU 42,6.0,16.0,Ty Zentner punts 34 yards out of bounds,-0.59,-0.54,4.0,2023,57
3.0,4:43,1.0,10.0,PIT 24,6.0,16.0,Najee Harris up the middle for 23 yards (tackle by Grayland Arnold),0.54,2.06,4.0,2023,57
3.0,4:04,1.0,10.0,PIT 47,6.0,16.0,Najee Harris left guard for 1 yard (tackle by Kurt Hinish and Christian Harris),2.06,1.65,4.0,2023,57
3.0,3:26,2.0,9.0,PIT 48,6.0,16.0,Kenny Pickett pass complete short left to Darnell Washington for 10 yards (tackle by Christian Harris),1.65,2.79,4.0,2023,57
3.0,2:45,1.0,10.0,HOU 42,6.0,16.0,"Jaylen Warren left guard for -8 yards. Jaylen Warren fumbles (forced by Jalen Pitre), recovered by Kenny Pickett at 50",2.79,1.16,4.0,2023,57
3.0,2:06,2.0,18.0,HOU 50,6.0,16.0,Kenny Pickett pass incomplete deep right intended for Najee Harris,1.16,0.5,4.0,2023,57
3.0,1:58,3.0,18.0,HOU 50,6.0,16.0,Kenny Pickett pass complete short left to George Pickens for 17 yards (tackle by Steven Nelson and Eric Murray),0.5,1.21,4.0,2023,57
3.0,1:16,,,,,,Timeout #1 by Pittsburgh Steelers,,,4.0,2023,57
3.0,1:16,4.0,1.0,HOU 33,6.0,16.0,Kenny Pickett sacked by Jonathan Greenard for -9 yards,1.21,-1.73,4.0,2023,57
3.0,1:10,1.0,10.0,HOU 42,6.0,16.0,"Dameon Pierce left end for 3 yards (tackle by Minkah Fitzpatrick). Penalty on Kendrick Green: Offensive Holding, 10 yards (accepted)",1.73,1.27,4.0,2023,57
3.0,0:55,1.0,17.0,HOU 35,6.0,16.0,Dameon Pierce left guard for 6 yards (tackle by Elandon Roberts and Cole Holcomb),1.27,1.05,4.0,2023,57
3.0,0:14,2.0,11.0,HOU 41,6.0,16.0,C.J. Stroud pass complete deep right to Nico Collins for 24 yards (tackle by Levi Wallace),1.05,3.25,4.0,2023,57
4.0,15:00,1.0,10.0,PIT 35,6.0,16.0,Dameon Pierce up the middle for 4 yards (tackle by Montravius Adams and Alex Highsmith),3.25,3.24,4.0,2023,57
4.0,14:25,2.0,6.0,PIT 31,6.0,16.0,Dameon Pierce up the middle for -5 yards (tackle by Elandon Roberts and Montravius Adams),3.24,1.88,4.0,2023,57
4.0,13:41,3.0,11.0,PIT 36,6.0,16.0,C.J. Stroud pass complete short left to Nico Collins for 14 yards (tackle by Levi Wallace),1.88,4.11,4.0,2023,57
4.0,13:00,1.0,10.0,PIT 22,6.0,16.0,Devin Singletary left tackle for 6 yards (tackle by Larry Ogunjobi),4.11,4.46,4.0,2023,57
4.0,12:18,2.0,4.0,PIT 16,6.0,16.0,Devin Singletary left guard for 9 yards (tackle by Minkah Fitzpatrick),4.46,5.6,4.0,2023,57
4.0,11:36,1.0,7.0,PIT 7,6.0,16.0,Devin Singletary left tackle for 1 yard (tackle by Larry Ogunjobi and T.J. Watt),5.6,4.95,4.0,2023,57
4.0,10:54,2.0,6.0,PIT 6,6.0,22.0,"Devin Singletary pass complete short right to Dalton Schultz for 6 yards, touchdown",4.95,7.0,4.0,2023,57
4.0,10:50,,,PIT 15,6.0,23.0,Ka'imi Fairbairn kicks extra point good,0.0,0.0,4.0,2023,57
4.0,10:50,,,HOU 35,6.0,23.0,"Ka'imi Fairbairn kicks off 64 yards, returned by Desmond King for 27 yards (tackle by Neville Hewitt and Brevin Jordan)",0.0,0.81,4.0,2023,57
4.0,10:44,1.0,10.0,PIT 28,6.0,23.0,Mitchell Trubisky pass complete short right to Calvin Austin for 8 yards,0.81,1.34,4.0,2023,57
4.0,10:21,2.0,2.0,PIT 36,6.0,23.0,Mitchell Trubisky pass incomplete deep right intended for George Pickens (defended by Shaquill Griffin),1.34,0.63,4.0,2023,57
4.0,10:15,3.0,2.0,PIT 36,6.0,23.0,Mitchell Trubisky pass incomplete short right intended for George Pickens (defended by Shaquill Griffin),0.63,-0.98,4.0,2023,57
4.0,10:10,4.0,2.0,PIT 36,6.0,23.0,"Brad Wing punts 50 yards, fair catch by Robert Woods at HOU-14",-0.98,0.28,4.0,2023,57
4.0,10:03,1.0,10.0,HOU 14,6.0,23.0,Dameon Pierce right end for 1 yard (tackle by Elandon Roberts and Patrick Peterson),-0.28,-0.64,4.0,2023,57
4.0,9:26,2.0,9.0,HOU 15,6.0,23.0,Dameon Pierce right tackle for 10 yards (tackle by Cole Holcomb),-0.64,0.61,4.0,2023,57
4.0,8:47,1.0,10.0,HOU 25,6.0,23.0,"Penalty on Geron Christian: False Start, 5 yards (accepted) (no play)",0.61,0.28,4.0,2023,57
4.0,8:47,1.0,15.0,HOU 20,6.0,23.0,Dameon Pierce left tackle for 1 yard (tackle by Keanu Neal and Cole Holcomb),0.28,-0.48,4.0,2023,57
4.0,8:04,2.0,14.0,HOU 21,6.0,23.0,C.J. Stroud pass complete short left to Robert Woods for 13 yards (tackle by Levi Wallace),-0.48,0.56,4.0,2023,57
4.0,7:24,3.0,1.0,HOU 34,6.0,23.0,C.J. Stroud left guard for 1 yard (tackle by Elandon Roberts),0.56,1.27,4.0,2023,57
4.0,6:43,1.0,10.0,HOU 35,6.0,23.0,Devin Singletary left tackle for 8 yards (tackle by Keanu Neal),1.27,1.8,4.0,2023,57
4.0,6:00,2.0,2.0,HOU 43,6.0,23.0,Devin Singletary left tackle for -2 yards (tackle by Kwon Alexander),1.8,0.83,4.0,2023,57
4.0,5:18,3.0,4.0,HOU 41,6.0,23.0,"Mike Boone left guard for 4 yards. Mike Boone fumbles (forced by Keeanu Benton), recovered by Nico Collins at HOU-45",0.83,1.93,4.0,2023,57
4.0,4:35,1.0,10.0,HOU 45,6.0,23.0,Dameon Pierce right end for -5 yards (tackle by Keanu Neal),1.93,0.71,4.0,2023,57
4.0,3:51,2.0,15.0,HOU 40,6.0,23.0,C.J. Stroud pass complete short right to Robert Woods for 8 yards,0.71,1.09,4.0,2023,57
4.0,3:46,3.0,7.0,HOU 48,6.0,29.0,"C.J. Stroud pass complete deep right to Nico Collins for 52 yards, touchdown",1.09,7.0,4.0,2023,57
4.0,3:39,,,PIT 15,6.0,30.0,Ka'imi Fairbairn kicks extra point good,0.0,0.0,4.0,2023,57
4.0,3:39,,,HOU 35,6.0,30.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,57
4.0,3:29,1.0,10.0,PIT 25,6.0,30.0,"Jaylen Warren for no gain. Jaylen Warren fumbles (forced by Christian Harris), recovered by Will Anderson at PIT-28, touchdown Replay Assistant challenged the fumble ruling, and the original play was overturned. Jaylen Warren right guard for 5 yards (tackle by Christian Harris)",0.61,0.74,4.0,2023,57
4.0,3:23,2.0,5.0,PIT 30,6.0,30.0,Jaylen Warren left guard for 4 yards (tackle by Henry To'oTo'o),0.74,0.56,4.0,2023,57
4.0,2:47,3.0,1.0,PIT 34,6.0,30.0,Jaylen Warren right guard for 6 yards (tackle by Jerry Hughes and Christian Harris),0.56,1.6,4.0,2023,57
4.0,2:08,1.0,10.0,PIT 40,6.0,30.0,Mitchell Trubisky pass complete short middle to Jaylen Warren for 4 yards (tackle by Grayland Arnold),1.6,1.59,4.0,2023,57
4.0,2:00,2.0,6.0,PIT 44,6.0,30.0,Jaylen Warren up the middle for 2 yards (tackle by Grayland Arnold and Khalil Davis),1.59,1.16,4.0,2023,57
4.0,1:22,3.0,4.0,PIT 46,6.0,30.0,Mitchell Trubisky pass complete short left to Jaylen Warren for 6 yards (tackle by Grayland Arnold),1.16,2.39,4.0,2023,57
4.0,0:43,1.0,10.0,HOU 48,6.0,30.0,Jaylen Warren up the middle for 4 yards (tackle by Blake Cashman),2.39,2.39,4.0,2023,57
