Quarter,Time,Down,ToGo,Location,DEN,CHI,Detail,EPB,EPA,week,year,game_id
2.0,6:08,1.0,10.0,DEN 25,7.0,21.0,Russell Wilson pass complete short left to Courtland Sutton for 6 yards (tackle by Tyrique Stevenson),0.61,0.87,4.0,2023,53
2.0,5:33,2.0,4.0,DEN 31,7.0,21.0,Samaje Perine left guard for 5 yards (tackle by Justin Jones and T.J. Edwards),0.87,1.33,4.0,2023,53
2.0,4:58,1.0,10.0,DEN 36,7.0,21.0,Russell Wilson pass complete short right to Nate Adkins for 2 yards (tackle by Terell Smith and T.J. Edwards),1.33,1.06,4.0,2023,53
2.0,4:18,,,,,,Timeout #3 by Denver Broncos,,,4.0,2023,53
2.0,4:18,2.0,8.0,DEN 38,7.0,21.0,Jaleel McLaughlin right end for 1 yard (tackle by T.J. Edwards),1.06,0.5,4.0,2023,53
2.0,3:40,3.0,7.0,DEN 39,7.0,21.0,"Penalty on Lloyd Cushenberry: False Start, 5 yards (accepted) (no play)",0.5,-0.16,4.0,2023,53
2.0,3:18,3.0,12.0,DEN 34,7.0,21.0,Russell Wilson scrambles right guard for 10 yards (tackle by Tremaine Edmunds),-0.16,-0.46,4.0,2023,53
2.0,2:36,4.0,2.0,DEN 44,7.0,21.0,"Riley Dixon punts 40 yards, fair catch by Trent Taylor at CHI-16",-0.46,0.14,4.0,2023,53
2.0,2:29,1.0,10.0,CHI 16,7.0,21.0,"Penalty on Larry Borom: False Start, 5 yards (accepted) (no play)",-0.14,-0.54,4.0,2023,53
2.0,2:29,1.0,15.0,CHI 11,7.0,21.0,Justin Fields pass complete deep right to D.J. Moore for 24 yards (tackle by Delarrin Turner-Yell),-0.54,1.27,4.0,2023,53
2.0,2:05,1.0,10.0,CHI 35,7.0,21.0,Roschon Johnson right guard for 1 yard (tackle by Zach Allen and Alex Singleton),1.27,0.86,4.0,2023,53
2.0,2:00,2.0,9.0,CHI 36,7.0,21.0,Justin Fields pass complete short middle to Cole Kmet for 11 yards (tackle by Alex Singleton and Drew Sanders),0.86,2.06,4.0,2023,53
2.0,1:26,1.0,10.0,CHI 47,7.0,21.0,Justin Fields sacked by Jonathon Cooper for -6 yards,2.06,0.71,4.0,2023,53
2.0,0:59,2.0,16.0,CHI 41,7.0,21.0,Justin Fields pass complete short right to Roschon Johnson for 2 yards (tackle by Patrick Surtain),0.71,0.3,4.0,2023,53
2.0,0:54,3.0,14.0,CHI 43,7.0,21.0,Justin Fields pass complete short left to Robert Tonyan for 9 yards (tackle by Ja'Quan McMillian and Alex Singleton),0.3,0.07,4.0,2023,53
2.0,0:06,4.0,5.0,DEN 48,7.0,21.0,"Penalty on Lucas Patrick: False Start, 5 yards (accepted) (no play)",0.07,-0.26,4.0,2023,53
2.0,0:06,,,,,,Timeout #1 by Chicago Bears,,,4.0,2023,53
2.0,0:06,4.0,10.0,CHI 47,7.0,21.0,Justin Fields pass incomplete deep right (defended by Patrick Surtain),-0.26,2.06,4.0,2023,53
3.0,15:00,,,CHI 35,7.0,21.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,53
3.0,15:00,1.0,10.0,DEN 25,7.0,21.0,Russell Wilson pass incomplete short right intended for Jerry Jeudy,0.61,0.06,4.0,2023,53
3.0,14:54,2.0,10.0,DEN 25,7.0,21.0,Jaleel McLaughlin right guard for 9 yards (tackle by Elijah Hicks and Tremaine Edmunds),0.06,0.56,4.0,2023,53
3.0,14:16,3.0,1.0,DEN 34,7.0,21.0,"Penalty on Quinn Meinerz: False Start, 5 yards (accepted) (no play)",0.56,-0.1,4.0,2023,53
3.0,13:54,3.0,6.0,DEN 29,7.0,21.0,Russell Wilson pass incomplete deep left intended for Jerry Jeudy,-0.1,-1.44,4.0,2023,53
3.0,13:46,4.0,6.0,DEN 29,7.0,21.0,"Riley Dixon punts 45 yards, returned by Trent Taylor for 8 yards (tackle by Michael Burton)",-1.44,-1.2,4.0,2023,53
3.0,13:37,1.0,10.0,CHI 34,7.0,21.0,Khalil Herbert right guard for 4 yards (tackle by Kareem Jackson and Zach Allen),1.2,1.2,4.0,2023,53
3.0,13:00,2.0,6.0,CHI 38,7.0,21.0,Khalil Herbert right guard for 4 yards (tackle by Kareem Jackson),1.2,1.03,4.0,2023,53
3.0,12:17,3.0,2.0,CHI 42,7.0,21.0,Justin Fields pass complete short right to D.J. Moore for 8 yards (tackle by Ja'Quan McMillian),1.03,2.26,4.0,2023,53
3.0,11:34,1.0,10.0,CHI 50,7.0,21.0,Justin Fields sacked by and Nik Bonitto for -8 yards and Zach Allen for -8 yards,2.26,0.63,4.0,2023,53
3.0,10:40,2.0,18.0,CHI 42,7.0,21.0,Justin Fields pass complete short right to Cole Kmet for 8 yards (tackle by Drew Sanders),0.63,1.09,4.0,2023,53
3.0,10:05,3.0,9.0,CHI 50,7.0,21.0,Justin Fields pass complete short left to D.J. Moore for 11 yards (tackle by Damarri Mathis),1.09,2.98,4.0,2023,53
3.0,9:22,1.0,10.0,DEN 39,7.0,21.0,"Velus Jones right end for 10 yards (tackle by Randy Gregory). Penalty on Darnell Wright: Offensive Illegal Block Above the Waist, 10 yards (accepted)",2.98,2.98,4.0,2023,53
3.0,8:57,1.0,10.0,DEN 39,7.0,21.0,Justin Fields pass complete short right to Marcedes Lewis for 8 yards (tackle by Alex Singleton and Jonathon Cooper),2.98,3.52,4.0,2023,53
3.0,8:15,2.0,2.0,DEN 31,7.0,21.0,Khalil Herbert right guard for 2 yards (tackle by Delarrin Turner-Yell),3.52,3.64,4.0,2023,53
3.0,7:34,1.0,10.0,DEN 29,7.0,21.0,Khalil Herbert left tackle for 3 yards (tackle by D.J. Jones and Ja'Quan McMillian),3.64,3.51,4.0,2023,53
3.0,6:51,2.0,7.0,DEN 26,7.0,21.0,Justin Fields pass complete short right to Khalil Herbert for no gain (tackle by Alex Singleton and Ja'Quan McMillian),3.51,2.81,4.0,2023,53
3.0,6:15,3.0,7.0,DEN 26,7.0,21.0,Justin Fields pass complete short right to Darnell Mooney for 17 yards (tackle by Delarrin Turner-Yell),2.81,5.14,4.0,2023,53
3.0,5:36,1.0,9.0,DEN 9,7.0,21.0,Roschon Johnson right guard for 7 yards (tackle by Kareem Jackson),5.14,5.72,4.0,2023,53
3.0,4:56,2.0,2.0,DEN 2,7.0,21.0,Roschon Johnson right tackle for no gain (tackle by Matt Henningsen and Alex Singleton),5.72,4.95,4.0,2023,53
3.0,4:18,3.0,2.0,DEN 2,7.0,27.0,"Justin Fields pass complete short left to Khalil Herbert for 2 yards, touchdown",4.95,7.0,4.0,2023,53
3.0,4:11,,,DEN 15,7.0,28.0,Cairo Santos kicks extra point good,0.0,0.0,4.0,2023,53
3.0,4:11,,,CHI 35,7.0,28.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,53
3.0,4:11,1.0,10.0,DEN 25,7.0,28.0,"Russell Wilson pass complete short right to Jaleel McLaughlin for 3 yards (tackle by Tyrique Stevenson). Penalty on Jaquan Brisker: Roughing the Passer, 15 yards (accepted)",0.61,1.8,4.0,2023,53
3.0,3:45,1.0,10.0,DEN 43,7.0,28.0,Jaleel McLaughlin right end for 31 yards (tackle by Jaquan Brisker),1.8,3.84,4.0,2023,53
3.0,3:06,1.0,10.0,CHI 26,7.0,28.0,Russell Wilson pass complete short right to Samaje Perine for 11 yards (tackle by Jaquan Brisker),3.84,4.58,4.0,2023,53
3.0,2:25,1.0,10.0,CHI 15,7.0,28.0,"Penalty on Mike McGlinchey: False Start, 5 yards (accepted) (no play)",4.58,4.24,4.0,2023,53
3.0,2:03,1.0,15.0,CHI 20,7.0,28.0,Russell Wilson pass complete short middle to Jaleel McLaughlin for 11 yards (tackle by T.J. Edwards),4.24,5.03,4.0,2023,53
3.0,1:26,2.0,4.0,CHI 9,7.0,28.0,Samaje Perine right tackle for 3 yards (tackle by Jack Sanborn),5.03,4.9,4.0,2023,53
3.0,0:47,3.0,1.0,CHI 6,7.0,28.0,Russell Wilson right guard for 2 yards (tackle by Justin Jones),4.9,6.28,4.0,2023,53
3.0,0:20,1.0,4.0,CHI 4,13.0,28.0,"Russell Wilson pass complete short left to Brandon Johnson for 4 yards, touchdown",6.28,7.0,4.0,2023,53
3.0,0:14,,,CHI 15,14.0,28.0,Wil Lutz kicks extra point good,0.0,0.0,4.0,2023,53
3.0,0:14,,,DEN 35,14.0,28.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,53
3.0,0:14,1.0,10.0,CHI 25,14.0,28.0,"Justin Fields pass incomplete short right intended for Robert Tonyan. Penalty on Patrick Surtain: Defensive Holding, 5 yards (accepted) (no play)",0.61,0.94,4.0,2023,53
3.0,0:09,1.0,10.0,CHI 30,14.0,28.0,Roschon Johnson right guard for 2 yards (tackle by D.J. Jones),0.94,0.66,4.0,2023,53
4.0,15:00,2.0,8.0,CHI 32,14.0,28.0,Justin Fields scrambles left end for 3 yards (tackle by Zach Allen and Drew Sanders),0.66,0.37,4.0,2023,53
4.0,14:15,3.0,5.0,CHI 35,14.0,28.0,Justin Fields pass incomplete short middle intended for Cole Kmet (defended by Delarrin Turner-Yell),0.37,-1.04,4.0,2023,53
4.0,14:10,4.0,5.0,CHI 35,14.0,28.0,"Trenton Gill punts 56 yards, returned by Marvin Mims for 25 yards (tackle by Velus Jones)",-1.04,-1.2,4.0,2023,53
4.0,13:56,1.0,10.0,DEN 34,14.0,28.0,Jaleel McLaughlin right tackle for 12 yards (tackle by Elijah Hicks and Jaquan Brisker),1.2,1.99,4.0,2023,53
4.0,13:18,1.0,10.0,DEN 46,14.0,28.0,Russell Wilson pass incomplete short left,1.99,1.45,4.0,2023,53
4.0,13:12,2.0,10.0,DEN 46,14.0,28.0,Russell Wilson pass complete short right to Jerry Jeudy for 9 yards (tackle by Tremaine Edmunds),1.45,1.95,4.0,2023,53
4.0,12:38,3.0,1.0,CHI 45,14.0,28.0,"Penalty on Garett Bolles: False Start, 4 yards (accepted) (no play)",1.95,1.42,4.0,2023,53
4.0,12:38,3.0,5.0,CHI 49,14.0,28.0,Russell Wilson pass complete deep left to Jerry Jeudy for 25 yards (tackle by Jaquan Brisker),1.42,3.97,4.0,2023,53
4.0,11:53,1.0,10.0,CHI 24,14.0,28.0,Russell Wilson pass incomplete deep right,3.97,3.43,4.0,2023,53
4.0,11:45,2.0,10.0,CHI 24,14.0,28.0,Jaleel McLaughlin right end for -1 yards (tackle by Terell Smith),3.43,2.61,4.0,2023,53
4.0,11:04,3.0,11.0,CHI 25,14.0,28.0,Russell Wilson pass complete short middle to Lil'Jordan Humphrey for 11 yards (tackle by T.J. Edwards),2.61,4.65,4.0,2023,53
4.0,10:25,1.0,10.0,CHI 14,14.0,28.0,Samaje Perine right guard for 1 yard (tackle by Justin Jones),4.65,4.16,4.0,2023,53
4.0,9:47,2.0,9.0,CHI 13,14.0,28.0,Russell Wilson pass incomplete short right intended for Courtland Sutton,4.16,3.26,4.0,2023,53
4.0,9:40,3.0,9.0,CHI 13,20.0,28.0,"Russell Wilson pass complete short middle to Courtland Sutton for 13 yards, touchdown",3.26,7.0,4.0,2023,53
4.0,9:36,,,CHI 15,21.0,28.0,Wil Lutz kicks extra point good,0.0,0.0,4.0,2023,53
4.0,9:36,,,DEN 35,21.0,28.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,53
4.0,9:36,1.0,10.0,CHI 25,21.0,28.0,Justin Fields pass complete short right to Khalil Herbert for 7 yards (tackle by Drew Sanders),0.61,1.01,4.0,2023,53
4.0,9:00,2.0,3.0,CHI 32,21.0,28.0,Khalil Herbert left guard for 5 yards (tackle by Drew Sanders),1.01,1.4,4.0,2023,53
4.0,8:18,1.0,10.0,CHI 37,21.0,28.0,Tyler Scott for 8 yards (tackle by Patrick Surtain),1.4,1.94,4.0,2023,53
4.0,7:42,2.0,2.0,CHI 45,21.0,28.0,Khalil Herbert left tackle for 7 yards (tackle by Kareem Jackson and Jonathan Harris),1.94,2.39,4.0,2023,53
4.0,7:05,1.0,10.0,DEN 48,27.0,28.0,"Justin Fields sacked by Nik Bonitto for -17 yards. Justin Fields fumbles (forced by Nik Bonitto), recovered by Jonathon Cooper at CHI-35 and returned for 35 yards, touchdown",2.39,-7.0,4.0,2023,53
4.0,6:55,,,CHI 15,28.0,28.0,Wil Lutz kicks extra point good,0.0,0.0,4.0,2023,53
4.0,6:55,,,DEN 35,28.0,28.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,53
4.0,6:55,1.0,10.0,CHI 25,28.0,28.0,"Justin Fields pass complete short right to Khalil Herbert for 10 yards (tackle by D.J. Jones). Penalty on Marcedes Lewis: Offensive Holding, 10 yards (accepted)",0.61,0.61,4.0,2023,53
4.0,6:30,1.0,10.0,CHI 25,28.0,28.0,Khalil Herbert left guard for 5 yards (tackle by Kareem Jackson),0.61,0.74,4.0,2023,53
4.0,5:53,2.0,5.0,CHI 30,28.0,28.0,Justin Fields pass incomplete short left intended for Khalil Herbert,0.74,0.04,4.0,2023,53
4.0,5:49,3.0,5.0,CHI 30,28.0,28.0,"Penalty on Larry Borom: False Start, 5 yards (accepted) (no play)",0.04,-0.62,4.0,2023,53
4.0,5:49,3.0,10.0,CHI 25,28.0,28.0,Justin Fields scrambles left end for 20 yards (tackle by Jonathon Cooper),-0.62,1.93,4.0,2023,53
4.0,5:10,1.0,10.0,CHI 45,28.0,28.0,Khalil Herbert left tackle for 7 yards (tackle by Jonathan Harris and Kareem Jackson),1.93,2.33,4.0,2023,53
4.0,4:36,2.0,3.0,DEN 48,28.0,28.0,Khalil Herbert right guard for 21 yards (tackle by Damarri Mathis and Randy Gregory),2.33,3.78,4.0,2023,53
4.0,4:07,,,,,,Timeout #1 by Denver Broncos,,,4.0,2023,53
4.0,4:07,1.0,10.0,DEN 27,28.0,28.0,"Khalil Herbert right end for 3 yards (tackle by Alex Singleton and Elijah Garcia). Penalty on Darnell Wright: Offensive Holding, 10 yards (accepted)",3.78,3.31,4.0,2023,53
4.0,3:50,1.0,17.0,DEN 34,28.0,28.0,Khalil Herbert left tackle for 1 yard (tackle by D.J. Jones),3.31,2.42,4.0,2023,53
4.0,3:24,2.0,16.0,DEN 33,28.0,28.0,Tyler Scott right end for 11 yards (tackle by Delarrin Turner-Yell),2.42,3.2,4.0,2023,53
4.0,3:13,3.0,5.0,DEN 22,28.0,28.0,Khalil Herbert right tackle for 4 yards (tackle by Delarrin Turner-Yell and Jonathon Cooper),3.2,2.4,4.0,2023,53
4.0,2:57,,,,,,Timeout #2 by Denver Broncos,,,4.0,2023,53
4.0,2:57,,,,,,Timeout #1 by Chicago Bears,,,4.0,2023,53
4.0,2:57,4.0,1.0,DEN 18,28.0,28.0,Khalil Herbert left tackle for no gain (tackle by Alex Singleton),2.4,-0.04,4.0,2023,53
4.0,2:52,1.0,10.0,DEN 18,28.0,28.0,Russell Wilson pass complete deep right to Marvin Mims for 48 yards (tackle by Terell Smith),0.04,3.38,4.0,2023,53
4.0,2:08,1.0,10.0,CHI 33,28.0,28.0,Samaje Perine right guard for 1 yard (tackle by Andrew Billings),3.38,2.97,4.0,2023,53
4.0,2:00,2.0,9.0,CHI 32,28.0,28.0,Samaje Perine right end for -1 yards (tackle by Tremaine Edmunds and DeMarcus Walker),2.97,2.15,4.0,2023,53
4.0,1:55,,,,,,Timeout #2 by Chicago Bears,,,4.0,2023,53
4.0,1:55,3.0,10.0,CHI 33,28.0,28.0,Russell Wilson pass incomplete short left intended for Courtland Sutton (defended by Terell Smith),2.15,1.15,4.0,2023,53
4.0,1:51,4.0,10.0,CHI 33,31.0,28.0,Wil Lutz 51 yard field goal good,1.15,3.0,4.0,2023,53
4.0,1:46,,,DEN 35,31.0,28.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,53
4.0,1:46,1.0,10.0,CHI 25,31.0,28.0,Justin Fields pass complete short middle to Cole Kmet for 11 yards (tackle by Alex Singleton),0.61,1.33,4.0,2023,53
4.0,1:24,1.0,10.0,CHI 36,31.0,28.0,Justin Fields pass incomplete deep left,1.33,0.79,4.0,2023,53
4.0,1:18,2.0,10.0,CHI 36,31.0,28.0,Justin Fields pass incomplete short middle intended for D.J. Moore (defended by Patrick Surtain),0.79,0.1,4.0,2023,53
4.0,1:14,3.0,10.0,CHI 36,31.0,28.0,Justin Fields pass complete short left to D.J. Moore for 14 yards (tackle by Patrick Surtain),0.1,2.26,4.0,2023,53
4.0,0:51,1.0,10.0,CHI 50,31.0,28.0,"Justin Fields pass incomplete short left. Penalty on Justin Fields: Intentional Grounding, 11 yards (accepted)",2.26,0.23,4.0,2023,53
4.0,0:45,,,,,,Timeout #3 by Chicago Bears,,,4.0,2023,53
4.0,0:45,2.0,21.0,CHI 39,31.0,28.0,Justin Fields pass complete short middle to Cole Kmet for 8 yards (tackle by Ja'Quan McMillian),0.23,0.56,4.0,2023,53
4.0,0:38,3.0,14.0,CHI 47,31.0,28.0,Justin Fields pass deep middle intended for Cole Kmet is intercepted by Kareem Jackson at DEN-36 and returned for 5 yards,0.56,-1.66,4.0,2023,53
4.0,0:32,1.0,10.0,DEN 41,31.0,28.0,Russell Wilson kneels for -1 yards,1.66,0.99,4.0,2023,53
