Quarter,Time,Down,ToGo,Location,NWE,DAL,Detail,EPB,EPA,week,year,game_id
2.0,14:23,2.0,10.0,DAL 50,3.0,10.0,Mac Jones pass incomplete short left intended for JuJu Smith-Schuster,1.71,1.03,4.0,2023,62
2.0,14:19,3.0,10.0,DAL 50,3.0,10.0,"Penalty on Michael Onwenu: False Start, 5 yards (accepted) (no play)",1.03,0.37,4.0,2023,62
2.0,14:19,3.0,15.0,NWE 45,3.0,10.0,Mac Jones pass complete short left to JuJu Smith-Schuster for 14 yards (tackle by Jourdan Lewis),0.37,0.53,4.0,2023,62
2.0,13:48,4.0,1.0,DAL 41,3.0,10.0,Mac Jones up the middle for no gain (tackle by Damone Clark and Leighton Vander Esch),0.53,-1.66,4.0,2023,62
2.0,13:43,1.0,10.0,DAL 41,3.0,10.0,Dak Prescott pass complete short left to Michael Gallup for no gain (tackle by Jabrill Peppers and Marte Mapu),1.66,1.12,4.0,2023,62
2.0,13:22,2.0,10.0,DAL 41,3.0,10.0,Dak Prescott pass complete short left to Deuce Vaughn for 2 yards (tackle by Shaun Wade),1.12,0.7,4.0,2023,62
2.0,12:51,3.0,8.0,DAL 43,3.0,10.0,Dak Prescott sacked by Josh Uche for -10 yards,0.7,-1.18,4.0,2023,62
2.0,12:03,4.0,18.0,DAL 33,3.0,10.0,"Bryan Anger punts 55 yards, returned by Demario Douglas for -2 yards (tackle by Jalen Tolbert)",-1.18,0.38,4.0,2023,62
2.0,11:54,1.0,10.0,NWE 10,3.0,10.0,"Penalty on Michael Onwenu: False Start, 5 yards (accepted) (no play)",-0.38,-0.57,4.0,2023,62
2.0,11:54,1.0,15.0,NWE 5,3.0,10.0,Rhamondre Stevenson left guard for 3 yards (tackle by Donovan Wilson and DaRon Bland),-0.57,-0.93,4.0,2023,62
2.0,11:17,2.0,12.0,NWE 8,3.0,16.0,"Mac Jones sacked by Dante Fowler for no gain. Mac Jones fumbles (forced by Dante Fowler), recovered by Leighton Vander Esch at NE-11 and returned for 11 yards, touchdown",-0.93,-7.0,4.0,2023,62
2.0,11:09,,,NWE 2,3.0,18.0,Two Point Attempt: Bryan Anger pass complete to to Chauncey Golston for no gain,1.0,1.0,4.0,2023,62
