Quarter,Time,Down,ToGo,Location,BAL,CLE,Detail,EPB,EPA,week,year,game_id
1.0,9:36,1.0,10.0,BAL 20,0.0,0.0,Lamar Jackson pass complete short right to Gus Edwards for 7 yards (tackle by Anthony Walker),0.28,0.68,4.0,2023,55
1.0,9:11,2.0,3.0,BAL 27,0.0,0.0,Lamar Jackson sacked by and Jordan Elliott for -5 yards and Dalvin Tomlinson for -5 yards,0.68,-0.69,4.0,2023,55
1.0,8:41,3.0,8.0,BAL 22,0.0,0.0,"Penalty on Tyler Linderbaum: False Start, 5 yards (accepted) (no play)",-0.69,-1.51,4.0,2023,55
1.0,8:02,3.0,13.0,BAL 17,0.0,0.0,Lamar Jackson pass complete short left to Mark Andrews for 7 yards (tackle by Greg Newsome and Anthony Walker),-1.51,-1.77,4.0,2023,55
1.0,7:47,4.0,6.0,BAL 24,0.0,0.0,"Jordan Stout punts 44 yards, returned by Donovan Peoples-Jones for 6 yards (tackle by Malik Harrison)",-1.77,-1.47,4.0,2023,55
1.0,7:33,1.0,10.0,CLE 38,0.0,0.0,Jerome Ford right tackle for 7 yards (tackle by Tavius Robinson and Roquan Smith),1.47,1.87,4.0,2023,55
1.0,7:06,2.0,3.0,CLE 45,0.0,0.0,Dorian Thompson-Robinson pass incomplete deep middle intended for Amari Cooper,1.87,1.16,4.0,2023,55
1.0,6:59,3.0,3.0,CLE 45,0.0,0.0,Dorian Thompson-Robinson pass deep left (defended by Arthur Maulet) intended for Amari Cooper is intercepted by Brandon Stephens at BAL-38 and returned for 52 yards (tackle by Dorian Thompson-Robinson),1.16,-4.91,4.0,2023,55
1.0,6:42,1.0,10.0,CLE 10,6.0,0.0,"Lamar Jackson left guard for 10 yards, touchdown",4.91,7.0,4.0,2023,55
1.0,6:38,,,CLE 15,7.0,0.0,Justin Tucker kicks extra point good,0.0,0.0,4.0,2023,55
1.0,6:38,,,BAL 35,7.0,0.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,55
1.0,6:38,1.0,10.0,CLE 25,7.0,0.0,Kareem Hunt left guard for 6 yards (tackle by Tavius Robinson),0.61,0.87,4.0,2023,55
1.0,6:11,2.0,4.0,CLE 31,7.0,0.0,Kareem Hunt left guard for 4 yards (tackle by Broderick Washington),0.87,1.27,4.0,2023,55
1.0,5:35,1.0,10.0,CLE 35,7.0,0.0,Kareem Hunt right tackle for 2 yards (tackle by Justin Madubuike and Malik Harrison),1.27,0.99,4.0,2023,55
1.0,4:59,2.0,8.0,CLE 37,7.0,0.0,Dorian Thompson-Robinson pass complete short right to Elijah Moore for 7 yards (tackle by Ronald Darby),0.99,1.22,4.0,2023,55
1.0,4:19,3.0,1.0,CLE 44,7.0,0.0,"Dorian Thompson-Robinson pass incomplete intended for Amari Cooper. Penalty on Brandon Stephens: Defensive Pass Interference, 37 yards (accepted) (no play)",1.22,4.31,4.0,2023,55
1.0,4:11,1.0,10.0,BAL 19,7.0,0.0,Elijah Moore for -20 yards (tackle by Tavius Robinson),4.31,1.06,4.0,2023,55
1.0,3:15,2.0,30.0,BAL 39,7.0,0.0,"Dorian Thompson-Robinson scrambles up the middle for 4 yards. Penalty on Dorian Thompson-Robinson: Illegal Forward Pass, 5 yards (accepted)",1.06,0.3,4.0,2023,55
1.0,3:10,3.0,31.0,BAL 40,7.0,0.0,Dorian Thompson-Robinson pass complete short middle to Jerome Ford for 5 yards (tackle by Roquan Smith),0.3,0.97,4.0,2023,55
1.0,2:26,4.0,26.0,BAL 35,7.0,3.0,Dustin Hopkins 53 yard field goal good,0.97,3.0,4.0,2023,55
1.0,2:21,,,CLE 35,7.0,3.0,"Dustin Hopkins kicks off 67 yards, returned by Devin Duvernay for 28 yards (tackle by Mike Ford and Jeremiah Owusu-Koramoah)",0.0,0.67,4.0,2023,55
1.0,2:17,1.0,10.0,BAL 26,7.0,3.0,Lamar Jackson pass incomplete short left intended for Zay Flowers (defended by Martin Emerson),0.67,0.13,4.0,2023,55
1.0,2:11,2.0,10.0,BAL 26,7.0,3.0,Gus Edwards left end for -1 yards (tackle by Rodney McLeod),0.13,-0.69,4.0,2023,55
1.0,1:28,3.0,11.0,BAL 25,7.0,3.0,Lamar Jackson pass complete short right to Devin Duvernay for -2 yards (tackle by Greg Newsome),-0.69,-1.83,4.0,2023,55
1.0,0:53,4.0,13.0,BAL 23,7.0,3.0,"Jordan Stout punts 59 yards, returned by Donovan Peoples-Jones for 10 yards (tackle by Kevon Seymour)",-1.83,-0.81,4.0,2023,55
1.0,0:41,1.0,10.0,CLE 28,7.0,3.0,Dorian Thompson-Robinson pass complete short right to Marquise Goodwin for no gain (tackle by Rock Ya-Sin),0.81,0.26,4.0,2023,55
2.0,15:00,2.0,10.0,CLE 28,7.0,3.0,Jerome Ford left tackle for -2 yards (tackle by Jadeveon Clowney),0.26,-0.69,4.0,2023,55
2.0,14:19,3.0,12.0,CLE 26,7.0,3.0,Dorian Thompson-Robinson pass complete short right to David Njoku for 6 yards (tackle by Arthur Maulet),-0.69,-1.24,4.0,2023,55
2.0,13:41,4.0,6.0,CLE 32,7.0,3.0,"Corey Bojorquez punts 46 yards, fair catch by Devin Duvernay at BAL-22",-1.24,-0.41,4.0,2023,55
2.0,13:34,1.0,10.0,BAL 22,7.0,3.0,Justice Hill right end for 11 yards (tackle by Dalvin Tomlinson),0.41,1.14,4.0,2023,55
2.0,12:56,1.0,10.0,BAL 33,7.0,3.0,Lamar Jackson pass complete short right to Mark Andrews for 12 yards (tackle by Juan Thornhill and Jeremiah Owusu-Koramoah),1.14,1.93,4.0,2023,55
2.0,12:16,1.0,10.0,BAL 45,7.0,3.0,Gus Edwards right guard for 5 yards (tackle by Sione Takitaki),1.93,2.06,4.0,2023,55
2.0,11:39,2.0,5.0,CLE 50,7.0,3.0,"Lamar Jackson pass incomplete intended for Zay Flowers. Penalty on Martin Emerson: Illegal Use of Hands / Defense, 5 yards (declined) . Penalty on Denzel Ward: Defensive Pass Interference, 7 yards (accepted) (no play)",2.06,2.72,4.0,2023,55
2.0,11:34,1.0,10.0,CLE 43,7.0,3.0,Lamar Jackson pass complete short right to Zay Flowers for 7 yards (tackle by Maurice Hurst and Alex Wright),2.72,3.12,4.0,2023,55
2.0,10:53,2.0,3.0,CLE 36,7.0,3.0,"Lamar Jackson aborted snap, recovered by Maurice Hurst at CLE-39",3.12,-1.53,4.0,2023,55
2.0,10:49,1.0,10.0,CLE 39,7.0,3.0,Jerome Ford left tackle for 4 yards (tackle by Patrick Queen),1.53,1.53,4.0,2023,55
2.0,10:20,2.0,6.0,CLE 43,7.0,3.0,Dorian Thompson-Robinson pass incomplete short right intended for Jerome Ford,1.53,0.83,4.0,2023,55
2.0,10:17,3.0,6.0,CLE 43,7.0,3.0,Dorian Thompson-Robinson pass complete short right to David Njoku for 6 yards (tackle by Roquan Smith),0.83,2.19,4.0,2023,55
2.0,10:00,1.0,10.0,CLE 49,7.0,3.0,Jerome Ford right tackle for no gain (tackle by Kyle Hamilton),2.19,1.65,4.0,2023,55
2.0,9:35,2.0,10.0,CLE 49,7.0,3.0,Dorian Thompson-Robinson pass complete short right to Jerome Ford for 6 yards (tackle by Kyle Hamilton),1.65,1.75,4.0,2023,55
2.0,8:59,3.0,4.0,BAL 45,7.0,3.0,Dorian Thompson-Robinson pass incomplete short right intended for Elijah Moore (defended by Kyle Van Noy),1.75,0.27,4.0,2023,55
2.0,8:51,4.0,4.0,BAL 45,7.0,3.0,Corey Bojorquez punts 38 yards,0.27,0.38,4.0,2023,55
2.0,8:42,1.0,10.0,BAL 7,7.0,3.0,Gus Edwards right guard for 4 yards (tackle by Sione Takitaki),-0.38,-0.49,4.0,2023,55
2.0,8:09,2.0,6.0,BAL 11,7.0,3.0,Gus Edwards right guard for 6 yards (tackle by Anthony Walker and Greg Newsome),-0.49,-0.06,4.0,2023,55
2.0,7:26,1.0,10.0,BAL 17,7.0,3.0,Lamar Jackson pass complete short left to Mark Andrews for 36 yards (tackle by Greg Newsome),-0.06,2.46,4.0,2023,55
2.0,6:44,1.0,10.0,CLE 47,7.0,3.0,Justice Hill left guard for 15 yards (tackle by Grant Delpit),2.46,3.45,4.0,2023,55
2.0,5:59,1.0,10.0,CLE 32,7.0,3.0,Justice Hill left tackle for 7 yards (tackle by Sione Takitaki),3.45,3.85,4.0,2023,55
2.0,5:24,2.0,3.0,CLE 25,7.0,3.0,Melvin Gordon left guard for 22 yards (tackle by Juan Thornhill),3.85,6.51,4.0,2023,55
2.0,5:05,1.0,3.0,CLE 3,7.0,3.0,Lamar Jackson right tackle for 1 yard (tackle by Maurice Hurst and Juan Thornhill),6.51,5.72,4.0,2023,55
2.0,4:21,2.0,2.0,CLE 2,13.0,3.0,"Lamar Jackson right tackle for 2 yards, touchdown. Penalty on Myles Garrett: Defensive Offside, 5 yards (declined)",5.72,7.0,4.0,2023,55
2.0,4:18,,,CLE 15,14.0,3.0,Justin Tucker kicks extra point good,0.0,0.0,4.0,2023,55
2.0,4:18,,,BAL 35,14.0,3.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,55
2.0,4:18,1.0,10.0,CLE 25,14.0,3.0,Dorian Thompson-Robinson pass complete short right to Jordan Akins for 6 yards (tackle by Arthur Maulet),0.61,0.87,4.0,2023,55
2.0,3:43,2.0,4.0,CLE 31,14.0,3.0,Kareem Hunt left tackle for -2 yards (tackle by Travis Jones),0.87,-0.1,4.0,2023,55
2.0,3:03,3.0,6.0,CLE 29,14.0,3.0,Dorian Thompson-Robinson pass incomplete short left,-0.1,-1.44,4.0,2023,55
2.0,2:52,4.0,6.0,CLE 29,14.0,3.0,"Corey Bojorquez punts 45 yards, fair catch by Devin Duvernay at BAL-26",-1.44,-0.67,4.0,2023,55
2.0,2:45,1.0,10.0,BAL 26,14.0,3.0,"Lamar Jackson pass complete short left to Justice Hill for no gain (tackle by Juan Thornhill). Penalty on Patrick Mekari: Offensive Holding, 10 yards (accepted) (no play)",0.67,-0.3,4.0,2023,55
2.0,2:04,1.0,20.0,BAL 16,14.0,3.0,Gus Edwards right guard for 16 yards (tackle by Anthony Walker),-0.3,0.94,4.0,2023,55
2.0,2:00,2.0,4.0,BAL 32,14.0,3.0,"Lamar Jackson pass complete short right to Zay Flowers for 6 yards (tackle by Dalvin Tomlinson and Jordan Elliott). Penalty on Myles Garrett: Defensive Offside, 5 yards (declined)",0.94,1.47,4.0,2023,55
2.0,1:53,1.0,10.0,BAL 38,14.0,3.0,Lamar Jackson scrambles left tackle for 3 yards (tackle by Martin Emerson),1.47,1.33,4.0,2023,55
2.0,1:43,2.0,7.0,BAL 41,14.0,3.0,Gus Edwards left guard for 1 yard (tackle by Myles Garrett and Grant Delpit),1.33,0.76,4.0,2023,55
2.0,1:26,,,,,,Timeout #1 by Baltimore Ravens,,,4.0,2023,55
2.0,1:26,3.0,6.0,BAL 42,14.0,3.0,Lamar Jackson pass complete short left to Melvin Gordon for 23 yards (tackle by Juan Thornhill),0.76,3.25,4.0,2023,55
2.0,1:20,1.0,10.0,CLE 35,14.0,3.0,Lamar Jackson sacked by Myles Garrett for -9 yards,3.25,1.49,4.0,2023,55
2.0,0:44,2.0,19.0,CLE 44,14.0,3.0,"Lamar Jackson pass complete to Melvin Gordon for no gain. Penalty on John Simpson: Offensive Holding, 10 yards (accepted) (no play)",1.49,0.14,4.0,2023,55
2.0,0:36,2.0,29.0,BAL 46,14.0,3.0,Lamar Jackson pass complete deep right to Zay Flowers for 43 yards (tackle by Martin Emerson),0.14,4.84,4.0,2023,55
2.0,0:25,,,,,,Timeout #1 by Cleveland Browns,,,4.0,2023,55
2.0,0:25,1.0,10.0,CLE 11,14.0,3.0,Lamar Jackson right guard for 4 yards (tackle by Jeremiah Owusu-Koramoah),4.84,4.89,4.0,2023,55
2.0,0:21,,,,,,Timeout #2 by Baltimore Ravens,,,4.0,2023,55
2.0,0:21,2.0,6.0,CLE 7,14.0,3.0,Lamar Jackson pass incomplete short left intended for Nelson Agholor (defended by Greg Newsome),4.89,3.98,4.0,2023,55
2.0,0:17,,,,,,Timeout #2 by Cleveland Browns,,,4.0,2023,55
2.0,0:17,3.0,6.0,CLE 7,20.0,3.0,"Lamar Jackson pass complete short right to Mark Andrews for 7 yards, touchdown",3.98,7.0,4.0,2023,55
2.0,0:11,,,CLE 15,21.0,3.0,Justin Tucker kicks extra point good,0.0,0.0,4.0,2023,55
2.0,0:11,,,BAL 35,21.0,3.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,55
2.0,0:11,1.0,10.0,CLE 25,21.0,3.0,Dorian Thompson-Robinson kneels for -1 yards,0.61,-0.07,4.0,2023,55
3.0,15:00,,,BAL 35,21.0,3.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,55
3.0,15:00,1.0,10.0,CLE 25,21.0,3.0,Dorian Thompson-Robinson pass complete short middle to Jerome Ford for 4 yards (tackle by Roquan Smith),0.61,0.6,4.0,2023,55
3.0,14:21,2.0,6.0,CLE 29,21.0,3.0,Dorian Thompson-Robinson scrambles right end for 9 yards (tackle by Roquan Smith),0.6,1.47,4.0,2023,55
3.0,13:41,1.0,10.0,CLE 38,21.0,3.0,Dorian Thompson-Robinson sacked by Patrick Queen for -11 yards,1.47,-0.56,4.0,2023,55
3.0,13:11,2.0,21.0,CLE 27,21.0,3.0,Dorian Thompson-Robinson pass incomplete short middle intended for Amari Cooper (defended by Roquan Smith),-0.56,-1.22,4.0,2023,55
3.0,13:10,3.0,21.0,CLE 27,21.0,3.0,"Dorian Thompson-Robinson sacked by. Dorian Thompson-Robinson fumbles, recovered by Jedrick Wills at CLE-9",-1.22,-2.49,4.0,2023,55
3.0,12:25,4.0,39.0,CLE 9,21.0,3.0,"Corey Bojorquez punts 48 yards, returned by Devin Duvernay for 11 yards (tackle by Anthony Walker)",-2.49,-2.52,4.0,2023,55
3.0,12:18,1.0,10.0,CLE 46,21.0,3.0,Gus Edwards right guard for 2 yards (tackle by Anthony Walker),2.52,2.25,4.0,2023,55
3.0,11:36,2.0,8.0,CLE 44,21.0,3.0,"Lamar Jackson for -7 yards. Lamar Jackson fumbles, recovered by Lamar Jackson at CLE-44 Lamar Jackson pass complete short right to Nelson Agholor for 4 yards (tackle by Jeremiah Owusu-Koramoah)",2.25,2.08,4.0,2023,55
3.0,10:48,,,,,,Timeout #1 by Baltimore Ravens,,,4.0,2023,55
3.0,10:48,3.0,4.0,CLE 40,21.0,3.0,Lamar Jackson left guard for 3 yards (tackle by Anthony Walker),2.08,0.79,4.0,2023,55
3.0,10:00,4.0,1.0,CLE 37,21.0,3.0,Lamar Jackson scrambles right end for 2 yards (tackle by Grant Delpit),0.79,3.25,4.0,2023,55
3.0,9:33,1.0,10.0,CLE 35,21.0,3.0,Lamar Jackson sacked by Ogbonnia Okoronkwo for -7 yards,3.25,1.76,4.0,2023,55
3.0,8:51,2.0,17.0,CLE 42,21.0,3.0,Lamar Jackson pass complete short right to Gus Edwards for -6 yards (tackle by Jeremiah Owusu-Koramoah),1.76,0.43,4.0,2023,55
3.0,8:08,3.0,22.0,CLE 47,21.0,3.0,Lamar Jackson pass incomplete short right intended for Gus Edwards (defended by Maurice Hurst),0.43,0.07,4.0,2023,55
3.0,8:01,4.0,23.0,CLE 48,21.0,3.0,"Jordan Stout punts 40 yards, fair catch by Donovan Peoples-Jones at CLE-8",0.07,0.38,4.0,2023,55
3.0,7:54,1.0,10.0,CLE 8,21.0,3.0,Dorian Thompson-Robinson pass complete deep left to Amari Cooper for 16 yards,-0.38,0.54,4.0,2023,55
3.0,7:32,1.0,10.0,CLE 24,21.0,3.0,"Penalty on Jedrick Wills: False Start, 5 yards (accepted) (no play)",0.54,0.13,4.0,2023,55
3.0,7:12,1.0,15.0,CLE 19,21.0,3.0,Dorian Thompson-Robinson pass incomplete deep right intended for Amari Cooper (defended by Ronald Darby),0.13,-0.74,4.0,2023,55
3.0,7:05,2.0,15.0,CLE 19,21.0,3.0,Dorian Thompson-Robinson pass complete short right to Elijah Moore for 13 yards (tackle by Ronald Darby),-0.74,0.37,4.0,2023,55
3.0,6:15,3.0,2.0,CLE 32,21.0,3.0,Jerome Ford left guard for 1 yard (tackle by Roquan Smith and Arthur Maulet),0.37,-1.18,4.0,2023,55
3.0,5:33,4.0,1.0,CLE 33,21.0,3.0,Harrison Bryant up the middle for 2 yards (tackle by Geno Stone),-1.18,1.27,4.0,2023,55
3.0,5:12,1.0,10.0,CLE 35,21.0,3.0,Kareem Hunt left tackle for 2 yards (tackle by Jadeveon Clowney),1.27,0.99,4.0,2023,55
3.0,4:35,2.0,8.0,CLE 37,21.0,3.0,Dorian Thompson-Robinson sacked by Justin Madubuike for -13 yards,0.99,-1.42,4.0,2023,55
3.0,4:15,3.0,21.0,CLE 24,21.0,3.0,Dorian Thompson-Robinson pass incomplete deep left intended for David Njoku (defended by Patrick Queen),-1.42,-1.77,4.0,2023,55
3.0,4:12,4.0,21.0,CLE 24,21.0,3.0,"Corey Bojorquez punts 48 yards, returned by Devin Duvernay for 8 yards (tackle by Harrison Bryant and Rodney McLeod)",-1.77,-1.33,4.0,2023,55
3.0,4:01,1.0,10.0,BAL 36,21.0,3.0,Melvin Gordon right guard for no gain (tackle by Shelby Harris),1.33,0.79,4.0,2023,55
3.0,3:23,2.0,10.0,BAL 36,21.0,3.0,Melvin Gordon left guard for -1 yards (tackle by Shelby Harris),0.79,-0.03,4.0,2023,55
3.0,2:44,3.0,11.0,BAL 35,21.0,3.0,Lamar Jackson pass complete short left to Devin Duvernay for 10 yards (tackle by Martin Emerson),-0.03,-0.39,4.0,2023,55
3.0,2:01,4.0,1.0,BAL 45,21.0,3.0,Jordan Stout punts 51 yards out of bounds,-0.39,0.38,4.0,2023,55
3.0,1:57,1.0,10.0,CLE 4,21.0,3.0,"Jerome Ford for no gain. Penalty on Jedrick Wills: Offensive Holding, 2 yards (accepted) (no play)",-0.38,-0.46,4.0,2023,55
3.0,1:33,1.0,12.0,CLE 2,21.0,3.0,Dorian Thompson-Robinson pass complete short right to David Njoku for 9 yards (tackle by Roquan Smith),-0.46,-0.27,4.0,2023,55
3.0,1:08,2.0,3.0,CLE 11,21.0,3.0,Jerome Ford left tackle for -2 yards (tackle by Arthur Maulet),-0.27,-0.84,4.0,2023,55
3.0,0:42,3.0,5.0,CLE 9,21.0,3.0,Dorian Thompson-Robinson pass complete short middle to Jerome Ford for 8 yards (tackle by Arthur Maulet and Roquan Smith),-0.84,-0.06,4.0,2023,55
3.0,0:11,1.0,10.0,CLE 17,21.0,3.0,"Dorian Thompson-Robinson scrambles for no gain. Penalty on Wyatt Teller: Offensive Holding, 8 yards (accepted) (no play)",-0.06,-0.68,4.0,2023,55
4.0,15:00,1.0,18.0,CLE 9,21.0,3.0,Dorian Thompson-Robinson sacked by Broderick Washington for -6 yards,-0.68,-1.8,4.0,2023,55
4.0,14:21,2.0,24.0,CLE 3,21.0,3.0,Dorian Thompson-Robinson scrambles right end for 12 yards (tackle by Malik Harrison),-1.8,-1.57,4.0,2023,55
4.0,13:33,3.0,12.0,CLE 15,21.0,3.0,Dorian Thompson-Robinson pass incomplete deep right intended for Amari Cooper,-1.57,-2.44,4.0,2023,55
4.0,13:30,4.0,12.0,CLE 15,21.0,3.0,"Penalty on BAL: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",-2.44,-2.03,4.0,2023,55
4.0,13:30,4.0,7.0,CLE 20,21.0,3.0,"Penalty on Dawand Jones: False Start, 5 yards (accepted) (no play)",-2.03,-2.44,4.0,2023,55
4.0,13:30,4.0,12.0,CLE 15,21.0,3.0,Corey Bojorquez punts 48 yards out of bounds,-2.44,-1.4,4.0,2023,55
4.0,13:23,1.0,10.0,BAL 37,21.0,3.0,Gus Edwards left tackle for -2 yards (tackle by Ogbonnia Okoronkwo),1.4,0.59,4.0,2023,55
4.0,12:47,2.0,12.0,BAL 35,21.0,3.0,Gus Edwards left tackle for 2 yards (tackle by Anthony Walker),0.59,0.17,4.0,2023,55
4.0,12:07,3.0,10.0,BAL 37,21.0,3.0,Lamar Jackson pass incomplete short right,0.17,-0.91,4.0,2023,55
4.0,11:59,4.0,10.0,BAL 37,21.0,3.0,"Jordan Stout punts 56 yards, returned by Donovan Peoples-Jones for 8 yards (tackle by Laquon Treadwell) Penalty on CLE: Illegal Formation, 5 yards (declined)",-0.91,0.22,4.0,2023,55
4.0,11:48,1.0,10.0,CLE 15,21.0,3.0,Jerome Ford right tackle for 10 yards (tackle by Brent Urban),-0.22,0.61,4.0,2023,55
4.0,11:25,1.0,10.0,CLE 25,21.0,3.0,Dorian Thompson-Robinson pass complete short left to Jerome Ford for -4 yards (tackle by Roquan Smith),0.61,-0.48,4.0,2023,55
4.0,10:58,2.0,14.0,CLE 21,21.0,3.0,"Dorian Thompson-Robinson pass complete short left to Jerome Ford for no gain (tackle by Patrick Queen). Penalty on Patrick Queen: Face Mask (15 Yards), 15 yards (accepted) (no play)",-0.48,1.33,4.0,2023,55
4.0,10:42,1.0,10.0,CLE 36,21.0,3.0,Dorian Thompson-Robinson pass complete short left to David Njoku for 9 yards (tackle by Tavius Robinson),1.33,2.01,4.0,2023,55
4.0,10:21,2.0,1.0,CLE 45,21.0,3.0,Dorian Thompson-Robinson pass complete short right to David Njoku for 1 yard (tackle by Kevon Seymour),2.01,1.99,4.0,2023,55
4.0,9:54,1.0,10.0,CLE 46,21.0,3.0,Dorian Thompson-Robinson pass incomplete short right intended for Donovan Peoples-Jones,1.99,1.45,4.0,2023,55
4.0,9:51,2.0,10.0,CLE 46,21.0,3.0,"Dorian Thompson-Robinson pass incomplete short right Penalty on CLE: Illegal Shift, 5 yards (declined)",1.45,0.76,4.0,2023,55
4.0,9:46,3.0,10.0,CLE 46,21.0,3.0,Dorian Thompson-Robinson pass deep right intended for Donovan Peoples-Jones is intercepted by Geno Stone at BAL-26 and returned for 36 yards (tackle by James Hudson),0.76,-3.05,4.0,2023,55
4.0,9:36,1.0,10.0,CLE 38,21.0,3.0,Gus Edwards right guard for 4 yards (tackle by Sione Takitaki and Maurice Hurst),3.05,3.05,4.0,2023,55
4.0,8:49,2.0,6.0,CLE 34,21.0,3.0,Gus Edwards right guard for -3 yards (tackle by Sione Takitaki),3.05,1.95,4.0,2023,55
4.0,8:14,3.0,9.0,CLE 37,21.0,3.0,Lamar Jackson pass complete short right to Patrick Ricard for 14 yards (tackle by Jeremiah Owusu-Koramoah),1.95,4.04,4.0,2023,55
4.0,7:26,1.0,10.0,CLE 23,21.0,3.0,Gus Edwards right guard for no gain (tackle by Za'Darius Smith and Anthony Walker),4.04,3.5,4.0,2023,55
4.0,6:44,2.0,10.0,CLE 23,21.0,3.0,Gus Edwards left guard for 5 yards (tackle by Martin Emerson and Grant Delpit),3.5,3.49,4.0,2023,55
4.0,6:02,3.0,5.0,CLE 18,27.0,3.0,"Lamar Jackson pass complete short left to Mark Andrews for 18 yards, touchdown",3.49,7.0,4.0,2023,55
4.0,5:56,,,CLE 15,28.0,3.0,Justin Tucker kicks extra point good,0.0,0.0,4.0,2023,55
4.0,5:56,,,BAL 35,28.0,3.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,55
4.0,5:56,1.0,10.0,CLE 25,28.0,3.0,Pierre Strong right guard for 3 yards (tackle by Kyle Hamilton),0.61,0.47,4.0,2023,55
4.0,5:30,2.0,7.0,CLE 28,28.0,3.0,Pierre Strong right guard for -2 yards (tackle by Patrick Queen),0.47,-0.49,4.0,2023,55
4.0,4:55,3.0,9.0,CLE 26,28.0,3.0,Dorian Thompson-Robinson pass incomplete short left intended for Jordan Akins (defended by Brent Urban),-0.49,-1.63,4.0,2023,55
4.0,4:47,4.0,9.0,CLE 26,28.0,3.0,"Corey Bojorquez punts 67 yards, returned by Devin Duvernay for 28 yards (tackle by Mohamoud Diabate)",-1.63,-1.27,4.0,2023,55
4.0,4:34,1.0,10.0,BAL 35,28.0,3.0,Zay Flowers left end for -6 yards (tackle by Jeremiah Owusu-Koramoah),1.27,-0.09,4.0,2023,55
4.0,3:51,2.0,16.0,BAL 29,28.0,3.0,Tyler Huntley up the middle for 2 yards (tackle by Maurice Hurst),-0.09,-0.49,4.0,2023,55
4.0,3:10,3.0,14.0,BAL 31,28.0,3.0,Tyler Huntley scrambles up the middle for 6 yards (tackle by Jeremiah Owusu-Koramoah),-0.49,-0.91,4.0,2023,55
4.0,2:22,4.0,8.0,BAL 37,28.0,3.0,"Penalty on Isaiah Likely: False Start, 5 yards (accepted) (no play)",-0.91,-1.24,4.0,2023,55
4.0,2:22,4.0,13.0,BAL 32,28.0,3.0,"Jordan Stout punts 39 yards, fair catch by Donovan Peoples-Jones at CLE-29",-1.24,-0.87,4.0,2023,55
4.0,2:15,1.0,10.0,CLE 29,28.0,3.0,Pierre Strong right guard for 3 yards (tackle by Travis Jones),0.87,0.73,4.0,2023,55
4.0,2:00,2.0,7.0,CLE 32,28.0,3.0,Pierre Strong right guard for 5 yards (tackle by Broderick Washington),0.73,0.7,4.0,2023,55
