Quarter,Time,Down,ToGo,Location,NWE,GNB,Detail,EPB,EPA,week,year,game_id
1,1:14,4.0,8.0,NWE 10,3.0,0.0,"Jake Bailey punts 59 yards, returned by Amari Rodgers for 4 yards (tackle by Brenden Schooler). Penalty on Brenden Schooler: Horse Collar Tackle, 15 yards (accepted)",-2.49,-2.26,4.0,2022,62
1,1:03,1.0,10.0,GNB 50,3.0,0.0,Aaron Jones right end for 10 yards (tackle by Jahlani Tavai),2.26,2.92,4.0,2022,62
1,0:24,1.0,10.0,NWE 40,3.0,0.0,Aaron Jones left tackle for 5 yards (tackle by Jahlani Tavai and Ja'Whaun Bentley),2.92,3.05,4.0,2022,62
2,15:00,2.0,5.0,NWE 35,3.0,0.0,AJ Dillon up the middle for 3 yards (tackle by Adrian Phillips and Matt Judon),3.05,2.74,4.0,2022,62
2,14:22,3.0,2.0,NWE 32,3.0,0.0,Aaron Jones right end for 7 yards (tackle by Devin McCourty),2.74,3.91,4.0,2022,62
2,13:45,1.0,10.0,NWE 25,3.0,0.0,Aaron Jones left end for 10 yards (tackle by Jahlani Tavai),3.91,4.58,4.0,2022,62
2,13:05,1.0,10.0,NWE 15,3.0,6.0,"Christian Watson right end for 15 yards, touchdown",4.58,7.0,4.0,2022,62
2,13:00,,,NWE 15,3.0,7.0,Mason Crosby kicks extra point good,0.0,0.0,4.0,2022,62
2,13:00,,,GNB 35,3.0,7.0,"Mason Crosby kicks off 63 yards, returned by Marcus Jones for 25 yards (tackle by Tyler Davis)",0.0,0.74,4.0,2022,62
2,12:55,1.0,10.0,NWE 27,3.0,7.0,Bailey Zappe pass complete short right to Lil'Jordan Humphrey for 9 yards (tackle by Eric Stokes),0.74,1.41,4.0,2022,62
2,12:24,2.0,1.0,NWE 36,3.0,7.0,Bailey Zappe pass complete short left to Nelson Agholor for -2 yards (tackle by Darnell Savage),1.41,0.43,4.0,2022,62
2,12:10,3.0,3.0,NWE 34,3.0,7.0,Rhamondre Stevenson left guard for 4 yards (tackle by De'Vondre Campbell and Preston Smith),0.43,1.47,4.0,2022,62
2,11:23,1.0,10.0,NWE 38,3.0,7.0,Rhamondre Stevenson left end for -2 yards (tackle by Quay Walker),1.47,0.65,4.0,2022,62
2,10:46,2.0,12.0,NWE 36,3.0,7.0,Bailey Zappe pass incomplete short middle intended for Nelson Agholor,0.65,-0.03,4.0,2022,62
2,10:40,3.0,12.0,NWE 36,3.0,7.0,Bailey Zappe pass complete short left to Rhamondre Stevenson for 2 yards (tackle by Rashan Gary),-0.03,-0.85,4.0,2022,62
2,10:03,4.0,9.0,NWE 38,3.0,7.0,"Jake Bailey punts 62 yards, touchback.",-0.85,-0.28,4.0,2022,62
2,9:52,1.0,10.0,GNB 20,3.0,7.0,Aaron Rodgers pass incomplete deep right intended for Christian Watson,0.28,-0.27,4.0,2022,62
2,9:47,2.0,10.0,GNB 20,3.0,7.0,AJ Dillon up the middle for 2 yards (tackle by Christian Barmore),-0.27,-0.69,4.0,2022,62
2,9:05,3.0,8.0,GNB 22,3.0,7.0,Aaron Rodgers pass incomplete deep left intended for Allen Lazard,-0.69,-1.9,4.0,2022,62
2,8:59,4.0,8.0,GNB 22,3.0,7.0,"Pat O'Donnell punts 38 yards out of bounds. Penalty on Cody Davis: Illegal Blindside Block, 15 yards (accepted)",-1.9,-0.61,4.0,2022,62
2,8:52,1.0,10.0,NWE 25,3.0,7.0,Damien Harris right tackle for 5 yards (tackle by Rudy Ford),0.61,0.74,4.0,2022,62
2,8:12,2.0,5.0,NWE 30,3.0,7.0,Kendrick Bourne left end for 15 yards (tackle by Quay Walker),0.74,1.93,4.0,2022,62
2,7:29,1.0,10.0,NWE 45,3.0,7.0,Bailey Zappe pass incomplete short right intended for Kendrick Bourne,1.93,1.38,4.0,2022,62
2,7:22,2.0,10.0,NWE 45,3.0,7.0,Damien Harris left end for 2 yards (tackle by Rashan Gary),1.38,0.96,4.0,2022,62
2,6:40,3.0,8.0,NWE 47,3.0,7.0,Bailey Zappe pass complete short right to Hunter Henry for 7 yards (tackle by Eric Stokes),0.96,0.2,4.0,2022,62
2,5:48,4.0,1.0,GNB 46,3.0,7.0,"Jake Bailey punts 37 yards, fair catch by Amari Rodgers at GB-9",0.2,0.38,4.0,2022,62
2,5:46,1.0,10.0,GNB 9,3.0,7.0,Aaron Jones left end for 2 yards (tackle by Christian Barmore and Deatrich Wise),-0.38,-0.63,4.0,2022,62
2,5:09,2.0,8.0,GNB 11,3.0,7.0,Aaron Rodgers pass complete short right to Allen Lazard for 13 yards (tackle by Jack Jones),-0.63,0.54,4.0,2022,62
2,4:29,1.0,10.0,GNB 24,3.0,7.0,AJ Dillon left guard for 7 yards (tackle by Devin McCourty and Adrian Phillips),0.54,0.94,4.0,2022,62
2,3:46,,,,,,Timeout #1 by Green Bay Packers,,,4.0,2022,62
2,3:46,2.0,3.0,GNB 31,3.0,7.0,Aaron Rodgers pass incomplete deep left,0.94,0.23,4.0,2022,62
2,3:41,3.0,3.0,GNB 31,3.0,7.0,Aaron Rodgers pass incomplete deep right,0.23,-1.31,4.0,2022,62
2,3:35,4.0,3.0,GNB 31,3.0,7.0,"Pat O'Donnell punts 48 yards, returned by Marcus Jones for 29 yards (tackle by Patrick Taylor)",-1.31,-2.26,4.0,2022,62
2,3:22,1.0,10.0,GNB 50,3.0,7.0,Bailey Zappe pass incomplete short right,2.26,1.71,4.0,2022,62
2,3:15,2.0,10.0,GNB 50,3.0,7.0,Bailey Zappe pass complete short right to Rhamondre Stevenson for 7 yards (tackle by Quay Walker),1.71,1.95,4.0,2022,62
2,2:35,3.0,3.0,GNB 43,3.0,7.0,Rhamondre Stevenson right end for 8 yards (tackle by Rudy Ford),1.95,3.25,4.0,2022,62
2,2:00,1.0,10.0,GNB 35,3.0,7.0,Rhamondre Stevenson right tackle for 5 yards (tackle by Tedarrell Slaton and Quay Walker),3.25,3.38,4.0,2022,62
2,1:15,2.0,5.0,GNB 30,3.0,7.0,Bailey Zappe pass complete short left to Rhamondre Stevenson for 8 yards (tackle by De'Vondre Campbell),3.38,4.11,4.0,2022,62
2,1:04,,,,,,Timeout #2 by New England Patriots,,,4.0,2022,62
2,1:04,1.0,10.0,GNB 22,3.0,7.0,"Bailey Zappe sacked by Rashan Gary for -9 yards. Bailey Zappe fumbles (forced by Rashan Gary), recovered by Rashan Gary at GB-31",4.11,-1.0,4.0,2022,62
2,0:54,1.0,10.0,GNB 31,3.0,7.0,Aaron Rodgers pass incomplete deep left intended for Randall Cobb,1.0,0.46,4.0,2022,62
2,0:49,2.0,10.0,GNB 31,3.0,7.0,Aaron Rodgers scrambles left tackle for 1 yard (tackle by Ja'Whaun Bentley),0.46,-0.1,4.0,2022,62
2,0:22,3.0,9.0,GNB 32,9.0,7.0,"Aaron Rodgers pass intended for Allen Lazard is intercepted by Jack Jones at GB-40 and returned for 40 yards, touchdown",-0.1,-7.0,4.0,2022,62
2,0:13,,,GNB 15,10.0,7.0,Nick Folk kicks extra point good,0.0,0.0,4.0,2022,62
2,0:13,,,NWE 35,10.0,7.0,"Nick Folk kicks off 64 yards, returned by Amari Rodgers for 34 yards (tackle by Myles Bryant)",0.0,1.27,4.0,2022,62
2,0:07,1.0,10.0,GNB 35,10.0,7.0,Aaron Rodgers pass complete short left to Allen Lazard for 6 yards (tackle by Myles Bryant),1.27,1.53,4.0,2022,62
3,15:00,,,NWE 35,10.0,7.0,"Jake Bailey kicks off 62 yards, returned by Amari Rodgers for 16 yards (tackle by Cody Davis)",0.0,0.15,4.0,2022,62
3,14:55,1.0,10.0,GNB 19,10.0,7.0,Aaron Rodgers pass incomplete short left intended for Christian Watson,0.15,-0.39,4.0,2022,62
3,14:51,2.0,10.0,GNB 19,10.0,7.0,Aaron Rodgers pass incomplete short middle intended for Romeo Doubs (defended by Jonathan Jones),-0.39,-1.07,4.0,2022,62
3,14:48,3.0,10.0,GNB 19,10.0,7.0,Aaron Rodgers pass complete deep right to Allen Lazard for 32 yards (tackle by Jonathan Jones),-1.07,2.32,4.0,2022,62
3,14:05,1.0,10.0,NWE 49,10.0,7.0,Aaron Jones right end for 12 yards (tackle by Jonathan Jones),2.32,3.12,4.0,2022,62
3,13:26,1.0,10.0,NWE 37,10.0,7.0,Aaron Jones left end for no gain (tackle by Devin McCourty),3.12,2.57,4.0,2022,62
3,12:45,2.0,10.0,NWE 37,10.0,7.0,Aaron Rodgers pass complete short middle to Christian Watson for 8 yards (tackle by Ja'Whaun Bentley and Myles Bryant),2.57,2.94,4.0,2022,62
3,12:05,3.0,2.0,NWE 29,10.0,7.0,AJ Dillon right tackle for 1 yard (tackle by Christian Barmore and Matt Judon),2.94,1.72,4.0,2022,62
3,11:20,4.0,1.0,NWE 28,10.0,7.0,Aaron Jones left end for 17 yards (tackle by Devin McCourty),1.72,4.84,4.0,2022,62
3,10:44,1.0,10.0,NWE 11,10.0,7.0,AJ Dillon left guard for 1 yard (tackle by Matt Judon and Deatrich Wise),4.84,4.32,4.0,2022,62
3,9:52,,,,,,Timeout #1 by Green Bay Packers,,,4.0,2022,62
3,9:52,2.0,9.0,NWE 10,10.0,7.0,"Aaron Jones for no gain (tackle by Deatrich Wise). Penalty on David Bakhtiari: Offensive Holding, 10 yards (accepted) (no play)",4.32,3.07,4.0,2022,62
3,9:24,2.0,19.0,NWE 20,10.0,13.0,"Aaron Rodgers pass complete deep middle to Robert Tonyan for 20 yards, touchdown",3.07,7.0,4.0,2022,62
3,9:20,,,NWE 15,10.0,14.0,Mason Crosby kicks extra point good,0.0,0.0,4.0,2022,62
3,9:20,,,GNB 35,10.0,14.0,"Mason Crosby kicks off 58 yards, returned by Marcus Jones for 28 yards (tackle by Rasul Douglas). Penalty on Raekwon McMillan: Offensive Holding, 10 yards (accepted)",0.0,0.61,4.0,2022,62
3,9:14,1.0,10.0,NWE 25,10.0,14.0,Bailey Zappe pass complete short right to Kendrick Bourne for 16 yards (tackle by Rudy Ford),0.61,1.66,4.0,2022,62
3,8:19,1.0,10.0,NWE 41,10.0,14.0,"Bailey Zappe sacked by and Dean Lowry for -6 yards and Preston Smith for -6 yards. Penalty on Kenny Clark: Unnecessary Roughness / Defense, 15 yards (accepted)",1.66,2.26,4.0,2022,62
3,8:19,1.0,10.0,NWE 50,10.0,14.0,Damien Harris up the middle for 5 yards (tackle by Jarran Reed and Dean Lowry),2.26,2.39,4.0,2022,62
3,7:41,2.0,5.0,GNB 45,10.0,14.0,Damien Harris right guard for 14 yards (tackle by Rudy Ford),2.39,3.51,4.0,2022,62
3,7:01,1.0,10.0,GNB 31,10.0,14.0,Damien Harris left end for 7 yards (tackle by Quay Walker),3.51,3.91,4.0,2022,62
3,6:22,2.0,3.0,GNB 24,10.0,14.0,Damien Harris left end for 4 yards (tackle by Preston Smith),3.91,4.24,4.0,2022,62
3,5:26,1.0,10.0,GNB 20,10.0,14.0,"Penalty on NWE: Delay of Game, 5 yards (accepted) (no play)",4.24,3.91,4.0,2022,62
3,4:59,1.0,15.0,GNB 25,16.0,14.0,"Bailey Zappe pass complete deep right to DeVante Parker for 25 yards, touchdown",3.91,7.0,4.0,2022,62
3,4:52,,,GNB 15,17.0,14.0,Nick Folk kicks extra point good,0.0,0.0,4.0,2022,62
3,4:52,,,NWE 35,17.0,14.0,"Jake Bailey kicks off 60 yards, returned by Amari Rodgers for 16 yards (tackle by Cody Davis and Matthew Slater)",0.0,0.34,4.0,2022,62
3,4:48,1.0,10.0,GNB 21,17.0,14.0,Aaron Rodgers pass complete short right to Romeo Doubs for 16 yards (tackle by Ja'Whaun Bentley and Jack Jones),0.34,1.4,4.0,2022,62
3,4:19,1.0,10.0,GNB 37,17.0,14.0,AJ Dillon left tackle for 9 yards (tackle by Matt Judon),1.4,2.07,4.0,2022,62
3,3:37,2.0,1.0,GNB 46,17.0,14.0,Aaron Jones left tackle for 8 yards (tackle by Adrian Phillips),2.07,2.52,4.0,2022,62
3,2:58,1.0,10.0,NWE 46,17.0,14.0,Aaron Rodgers pass complete short middle to Allen Lazard for 19 yards (tackle by Adrian Phillips),2.52,3.78,4.0,2022,62
3,2:12,1.0,10.0,NWE 27,17.0,14.0,AJ Dillon up the middle for 5 yards (tackle by Jabrill Peppers and Ja'Whaun Bentley),3.78,3.91,4.0,2022,62
3,1:32,2.0,5.0,NWE 22,17.0,14.0,AJ Dillon right tackle for 1 yard (tackle by Daniel Ekuale and Ja'Whaun Bentley),3.91,3.27,4.0,2022,62
3,0:49,3.0,5.0,NWE 21,17.0,14.0,Aaron Rodgers pass complete short left to Aaron Jones for 1 yard (tackle by Adrian Phillips),3.27,2.22,4.0,2022,62
3,0:09,,,,,,Timeout #1 by New England Patriots,,,4.0,2022,62
3,0:09,4.0,3.0,NWE 20,17.0,17.0,Mason Crosby 38 yard field goal good,2.22,3.0,4.0,2022,62
3,0:05,,,GNB 35,17.0,17.0,"Mason Crosby kicks off 68 yards, returned by Marcus Jones for 37 yards (tackle by Quay Walker)",0.0,1.2,4.0,2022,62
4,15:00,1.0,10.0,NWE 34,17.0,17.0,Rhamondre Stevenson right tackle for 12 yards (tackle by Darnell Savage and Kenny Clark),1.2,1.99,4.0,2022,62
4,14:26,1.0,10.0,NWE 46,17.0,17.0,Rhamondre Stevenson left tackle for 5 yards (tackle by Jarran Reed),1.99,2.13,4.0,2022,62
4,13:51,2.0,5.0,GNB 49,17.0,17.0,Rhamondre Stevenson right tackle for 17 yards (tackle by Rudy Ford),2.13,3.45,4.0,2022,62
4,13:15,1.0,10.0,GNB 32,17.0,17.0,Rhamondre Stevenson left tackle for 2 yards (tackle by Kenny Clark),3.45,3.17,4.0,2022,62
4,12:37,2.0,8.0,GNB 30,17.0,17.0,Bailey Zappe pass complete deep left to Nelson Agholor for 21 yards (tackle by Rudy Ford),3.17,5.14,4.0,2022,62
4,12:00,1.0,9.0,GNB 9,17.0,17.0,Damien Harris left end for 4 yards (tackle by De'Vondre Campbell and Quay Walker),5.14,5.15,4.0,2022,62
4,11:19,2.0,5.0,GNB 5,23.0,17.0,"Damien Harris left tackle for 5 yards, touchdown",5.15,7.0,4.0,2022,62
4,11:14,,,GNB 15,24.0,17.0,Nick Folk kicks extra point good,0.0,0.0,4.0,2022,62
4,11:14,,,NWE 35,24.0,17.0,"Jake Bailey kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,62
4,11:14,1.0,10.0,GNB 25,24.0,17.0,Aaron Rodgers pass incomplete deep right intended for Romeo Doubs,0.61,0.06,4.0,2022,62
4,11:08,2.0,10.0,GNB 25,24.0,17.0,Aaron Jones right guard for 4 yards (tackle by Josh Uche and Ja'Whaun Bentley),0.06,-0.16,4.0,2022,62
4,10:35,3.0,7.0,GNB 29,24.0,17.0,Aaron Rodgers pass complete deep left to Randall Cobb for 24 yards (tackle by Devin McCourty),-0.16,2.46,4.0,2022,62
4,9:49,1.0,10.0,NWE 47,24.0,17.0,Aaron Jones left end for 3 yards (tackle by Jahlani Tavai and Kyle Dugger),2.46,2.32,4.0,2022,62
4,9:10,2.0,7.0,NWE 44,24.0,17.0,Aaron Rodgers pass complete short middle to AJ Dillon for 11 yards (tackle by Kyle Dugger),2.32,3.38,4.0,2022,62
4,8:30,1.0,10.0,NWE 33,24.0,17.0,AJ Dillon right tackle for 13 yards (tackle by Kyle Dugger),3.38,4.24,4.0,2022,62
4,7:47,1.0,10.0,NWE 20,24.0,17.0,Aaron Rodgers pass complete short left to Robert Tonyan for 2 yards (tackle by Jabrill Peppers),4.24,3.96,4.0,2022,62
4,7:10,2.0,8.0,NWE 18,24.0,17.0,Aaron Jones right guard for 5 yards (tackle by Deatrich Wise and Ja'Whaun Bentley),3.96,4.1,4.0,2022,62
4,6:17,3.0,3.0,NWE 13,24.0,23.0,"Aaron Rodgers pass complete short right to Romeo Doubs for 13 yards, touchdown",4.1,7.0,4.0,2022,62
4,6:14,,,NWE 15,24.0,24.0,Mason Crosby kicks extra point good,0.0,0.0,4.0,2022,62
4,6:14,,,GNB 35,24.0,24.0,"Mason Crosby kicks off 61 yards, returned by Marcus Jones for 21 yards (tackle by Shemar Jean-Charles and Tyler Davis)",0.0,0.61,4.0,2022,62
4,6:09,1.0,10.0,NWE 25,24.0,24.0,Damien Harris left guard for 4 yards (tackle by Rasul Douglas and Kenny Clark),0.61,0.6,4.0,2022,62
4,5:25,2.0,6.0,NWE 29,24.0,24.0,Bailey Zappe sacked by Jarran Reed for -9 yards,0.6,-1.29,4.0,2022,62
4,4:40,3.0,15.0,NWE 20,24.0,24.0,Bailey Zappe pass complete short right to Hunter Henry for 6 yards (tackle by Eric Stokes),-1.29,-1.63,4.0,2022,62
4,4:03,4.0,9.0,NWE 26,24.0,24.0,Jake Bailey punts 31 yards out of bounds,-1.63,-1.8,4.0,2022,62
4,3:50,1.0,10.0,GNB 43,24.0,24.0,Aaron Rodgers pass incomplete short right,1.8,1.25,4.0,2022,62
4,3:44,2.0,10.0,GNB 43,24.0,24.0,Aaron Rodgers pass complete short left to Aaron Jones for 4 yards (tackle by Jack Jones),1.25,1.09,4.0,2022,62
4,3:01,3.0,6.0,GNB 47,24.0,24.0,"Aaron Rodgers pass incomplete intended for Randall Cobb. Penalty on Myles Bryant: Defensive Pass Interference, 11 yards (accepted) (no play)",1.09,2.79,4.0,2022,62
4,2:56,1.0,10.0,NWE 42,24.0,24.0,AJ Dillon right tackle for 2 yards (tackle by Davon Godchaux),2.79,2.51,4.0,2022,62
4,2:14,2.0,8.0,NWE 40,24.0,24.0,Aaron Rodgers pass incomplete short left intended for Josiah Deguara,2.51,1.82,4.0,2022,62
4,2:08,3.0,8.0,NWE 40,24.0,24.0,"Aaron Rodgers pass incomplete deep right intended for Romeo Doubs GNB challenged the pass completion ruling, and the play was upheld.",1.82,0.59,4.0,2022,62
4,2:02,4.0,8.0,NWE 40,24.0,24.0,"Penalty on GNB: Delay of Game, 5 yards (accepted) (no play)",0.59,0.27,4.0,2022,62
4,2:02,4.0,13.0,NWE 45,24.0,24.0,Pat O'Donnell punts 43 yards downed by Keisean Nixon,0.27,0.38,4.0,2022,62
4,1:52,1.0,10.0,NWE 2,24.0,24.0,Rhamondre Stevenson left guard for 2 yards (tackle by De'Vondre Campbell),-0.38,-0.63,4.0,2022,62
4,1:47,,,,,,Timeout #3 by Green Bay Packers,,,4.0,2022,62
4,1:47,2.0,8.0,NWE 4,24.0,24.0,Rhamondre Stevenson left end for 5 yards (tackle by Jarran Reed and Darnell Savage),-0.63,-0.6,4.0,2022,62
4,1:01,,,,,,Timeout #2 by New England Patriots,,,4.0,2022,62
4,1:01,3.0,3.0,NWE 9,24.0,24.0,Rhamondre Stevenson right tackle for 2 yards (tackle by Jarran Reed and Kenny Clark),-0.6,-2.49,4.0,2022,62
4,0:13,,,,,,Timeout #3 by New England Patriots,,,4.0,2022,62
4,0:13,4.0,1.0,NWE 11,24.0,24.0,"Jake Bailey punts 44 yards, returned by Amari Rodgers for 7 yards (tackle by Mack Wilson and Matthew Slater). Penalty on Tariq Carpenter: Offensive Illegal Block Above the Waist, 10 yards (accepted)",-2.49,-1.73,4.0,2022,62
4,0:04,1.0,10.0,GNB 42,24.0,24.0,"Aaron Rodgers pass complete short middle to Randall Cobb for 7 yards. Randall Cobb fumbles, recovered by Elgton Jenkins at NE-49 (tackle by Ja'Whaun Bentley)",1.73,0.0,4.0,2022,62
,,,,,,,"Packers won the coin toss, Packers to receive the overtime kickoff.",,,4.0,2022,62
OT,10:00,,,NWE 35,24.0,24.0,"Jake Bailey kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,62
OT,10:00,1.0,10.0,GNB 25,24.0,24.0,Aaron Jones left end for 3 yards (tackle by Davon Godchaux and Deatrich Wise),0.61,0.47,4.0,2022,62
OT,9:23,2.0,7.0,GNB 28,24.0,24.0,Aaron Rodgers pass complete short right to Aaron Jones for no gain (tackle by Jahlani Tavai),0.47,-0.23,4.0,2022,62
OT,8:33,,,,,,Timeout #1 by Green Bay Packers,,,4.0,2022,62
OT,8:33,3.0,7.0,GNB 28,24.0,24.0,Aaron Rodgers pass incomplete short right intended for AJ Dillon,-0.23,-1.5,4.0,2022,62
OT,8:26,4.0,7.0,GNB 28,24.0,24.0,"Pat O'Donnell punts 43 yards, returned by Marcus Jones for 20 yards (tackle by Isaiah McDuffie)",-1.5,-2.19,4.0,2022,62
OT,8:16,1.0,10.0,NWE 49,24.0,24.0,Damien Harris up the middle for 5 yards (tackle by Jarran Reed),2.19,2.32,4.0,2022,62
OT,7:45,2.0,5.0,GNB 46,24.0,24.0,Damien Harris left tackle for no gain (tackle by Dean Lowry),2.32,1.62,4.0,2022,62
OT,7:00,,,,,,Timeout #1 by New England Patriots,,,4.0,2022,62
OT,7:00,3.0,5.0,GNB 46,24.0,24.0,Bailey Zappe pass incomplete short right intended for Hunter Henry,1.62,0.2,4.0,2022,62
OT,6:54,4.0,5.0,GNB 46,24.0,24.0,"Jake Bailey punts 36 yards, fair catch by Amari Rodgers at GB-10",0.2,0.38,4.0,2022,62
OT,6:47,1.0,10.0,GNB 10,24.0,24.0,Aaron Jones right tackle for 3 yards (tackle by Jahlani Tavai),-0.38,-0.56,4.0,2022,62
OT,6:07,2.0,7.0,GNB 13,24.0,24.0,Aaron Rodgers pass complete deep left to Allen Lazard for 22 yards (tackle by Adrian Phillips),-0.56,1.27,4.0,2022,62
OT,5:30,1.0,10.0,GNB 35,24.0,24.0,AJ Dillon left guard for 7 yards (tackle by Jonathan Jones),1.27,1.67,4.0,2022,62
OT,4:54,2.0,3.0,GNB 42,24.0,24.0,AJ Dillon up the middle for 2 yards (tackle by Davon Godchaux and Ja'Whaun Bentley),1.67,1.22,4.0,2022,62
OT,4:08,3.0,1.0,GNB 44,24.0,24.0,Aaron Rodgers pass complete short middle to Randall Cobb for 11 yards (tackle by Myles Bryant),1.22,2.59,4.0,2022,62
OT,3:24,1.0,10.0,NWE 45,24.0,24.0,Aaron Rodgers pass complete short left to Romeo Doubs for 8 yards (tackle by Jack Jones),2.59,3.12,4.0,2022,62
OT,3:12,2.0,2.0,NWE 37,24.0,24.0,Aaron Rodgers pass complete short left to Romeo Doubs for 9 yards (tackle by Jonathan Jones),3.12,3.71,4.0,2022,62
OT,2:34,1.0,10.0,NWE 28,24.0,24.0,AJ Dillon right tackle for 4 yards (tackle by Jack Jones and Jahlani Tavai),3.71,3.71,4.0,2022,62
