Quarter,Time,Down,ToGo,Location,MIA,CIN,Detail,EPB,EPA,week,year,game_id
1.0,6:05,1.0,10.0,CIN 25,3.0,7.0,Joe Burrow pass incomplete short middle intended for Ja'Marr Chase,0.61,0.06,4.0,2022,49
1.0,6:01,2.0,10.0,CIN 25,3.0,7.0,Joe Burrow pass complete short middle to Joe Mixon for 9 yards (tackle by Duke Riley),0.06,0.56,4.0,2022,49
1.0,5:17,3.0,1.0,CIN 34,3.0,7.0,Joe Mixon left end for 3 yards (tackle by Brandon Jones and Keion Crossen),0.56,1.4,4.0,2022,49
1.0,4:36,1.0,10.0,CIN 37,3.0,7.0,Joe Mixon right tackle for 2 yards (tackle by Elandon Roberts),1.4,1.13,4.0,2022,49
1.0,3:53,2.0,8.0,CIN 39,3.0,7.0,Joe Burrow pass incomplete short right intended for Hayden Hurst,1.13,0.43,4.0,2022,49
1.0,3:47,3.0,8.0,CIN 39,3.0,7.0,Joe Burrow pass incomplete short left intended for Samaje Perine,0.43,-0.78,4.0,2022,49
1.0,3:43,4.0,8.0,CIN 39,3.0,7.0,"Kevin Huber punts 48 yards, fair catch by Tyreek Hill at MIA-13",-0.78,0.32,4.0,2022,49
1.0,3:36,1.0,10.0,MIA 13,3.0,7.0,"Raheem Mostert for no gain. Penalty on Tyreek Hill: Offensive Holding, 6 yards (accepted) (no play)",-0.32,-0.61,4.0,2022,49
1.0,3:12,,,,,,Timeout #1 by Miami Dolphins,,,4.0,2022,49
1.0,3:12,1.0,16.0,MIA 7,3.0,7.0,Tua Tagovailoa pass complete short right to Tyreek Hill for 3 yards (tackle by Vonn Bell),-0.61,-1.0,4.0,2022,49
1.0,2:29,,,,,,Timeout #2 by Miami Dolphins,,,4.0,2022,49
1.0,2:29,2.0,13.0,MIA 10,3.0,7.0,Tua Tagovailoa pass complete deep left to Mike Gesicki for 21 yards (tackle by Jessie Bates),-1.0,1.0,4.0,2022,49
1.0,1:52,1.0,10.0,MIA 31,3.0,7.0,Raheem Mostert right guard for 2 yards (tackle by Logan Wilson),1.0,0.73,4.0,2022,49
1.0,1:15,2.0,8.0,MIA 33,3.0,7.0,Tua Tagovailoa pass deep middle intended for Tyreek Hill is intercepted by Vonn Bell at CIN-29 and returned for no gain (tackle by Tyreek Hill),0.73,-0.87,4.0,2022,49
1.0,1:06,1.0,10.0,CIN 29,3.0,7.0,Joe Mixon right tackle for 7 yards (tackle by Eric Rowe),0.87,1.27,4.0,2022,49
1.0,0:32,2.0,3.0,CIN 36,3.0,7.0,Joe Mixon right guard for 2 yards (tackle by Raekwon Davis and Christian Wilkins),1.27,0.83,4.0,2022,49
2.0,15:00,3.0,1.0,CIN 38,3.0,7.0,Joe Burrow pass complete short middle to Mitchell Wilcox for 18 yards (tackle by Jevon Holland),0.83,2.65,4.0,2022,49
2.0,14:19,1.0,10.0,MIA 44,3.0,7.0,Joe Mixon up the middle for 5 yards (tackle by Jerome Baker),2.65,2.78,4.0,2022,49
2.0,13:43,2.0,5.0,MIA 39,3.0,7.0,Joe Mixon left tackle for 4 yards (tackle by John Jenkins and Elandon Roberts),2.78,2.61,4.0,2022,49
2.0,13:01,3.0,1.0,MIA 35,3.0,7.0,Joe Mixon left guard for 2 yards (tackle by John Jenkins),2.61,3.38,4.0,2022,49
2.0,12:18,1.0,10.0,MIA 33,3.0,7.0,Joe Burrow pass incomplete deep right intended for Devin Asiasi,3.38,2.84,4.0,2022,49
2.0,12:12,2.0,10.0,MIA 33,3.0,7.0,Joe Burrow scrambles right end for 5 yards (tackle by Kader Kohou),2.84,2.81,4.0,2022,49
2.0,11:35,3.0,5.0,MIA 28,3.0,7.0,Joe Burrow scrambles up the middle for 4 yards (tackle by Jerome Baker and Nik Needham),2.81,2.02,4.0,2022,49
2.0,10:46,4.0,1.0,MIA 24,3.0,7.0,Joe Mixon right end for no gain (tackle by Eric Rowe and Jevon Holland),2.02,-0.54,4.0,2022,49
2.0,10:39,1.0,10.0,MIA 24,3.0,7.0,"Tua Tagovailoa pass incomplete intended for Jaylen Waddle. Penalty on Robert Hunt: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.54,0.13,4.0,2022,49
2.0,10:37,1.0,15.0,MIA 19,3.0,7.0,Chase Edmonds right guard for 4 yards (tackle by Mike Hilton),0.13,-0.14,4.0,2022,49
2.0,10:01,2.0,11.0,MIA 23,3.0,7.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 17 yards (tackle by Jessie Bates),-0.14,1.6,4.0,2022,49
2.0,9:20,1.0,10.0,MIA 40,3.0,7.0,Chase Edmonds right end for 1 yard (tackle by Logan Wilson),1.6,1.19,4.0,2022,49
2.0,8:36,2.0,9.0,MIA 41,3.0,7.0,Tua Tagovailoa pass complete short left to Tyreek Hill for 5 yards (tackle by Chidobe Awuzie),1.19,1.16,4.0,2022,49
2.0,7:56,3.0,4.0,MIA 46,3.0,7.0,"Tua Tagovailoa pass incomplete intended for Tyreek Hill. Penalty on Chidobe Awuzie: Defensive Pass Interference, 24 yards (accepted) . Penalty on Chidobe Awuzie: Illegal Use of Hands / Defense, 5 yards (declined) (no play)",1.16,3.58,4.0,2022,49
2.0,7:52,1.0,10.0,CIN 30,3.0,7.0,Tua Tagovailoa pass incomplete short middle intended for Jaylen Waddle,3.58,3.03,4.0,2022,49
2.0,7:48,2.0,10.0,CIN 30,3.0,7.0,Tua Tagovailoa pass incomplete short middle intended for Jaylen Waddle (defended by Akeem Davis-Gaither),3.03,2.34,4.0,2022,49
2.0,7:43,3.0,10.0,CIN 30,3.0,7.0,Tua Tagovailoa pass incomplete deep middle intended for Tyreek Hill,2.34,1.41,4.0,2022,49
2.0,7:36,4.0,10.0,CIN 30,6.0,7.0,Jason Sanders 48 yard field goal good,1.41,3.0,4.0,2022,49
2.0,7:31,,,MIA 35,6.0,7.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,49
2.0,7:31,1.0,10.0,CIN 25,6.0,7.0,Joe Burrow pass complete short right to Joe Mixon for 5 yards (tackle by Brandon Jones),0.61,0.74,4.0,2022,49
2.0,6:57,2.0,5.0,CIN 30,6.0,7.0,Joe Burrow pass incomplete short right intended for Tyler Boyd,0.74,0.04,4.0,2022,49
2.0,6:52,3.0,5.0,CIN 30,6.0,7.0,Joe Burrow pass incomplete short left intended for Tee Higgins,0.04,-1.37,4.0,2022,49
2.0,6:47,4.0,5.0,CIN 30,6.0,7.0,Kevin Huber punts 28 yards downed by Cal Adomitis,-1.37,-1.73,4.0,2022,49
2.0,6:38,1.0,10.0,MIA 42,6.0,7.0,"Tua Tagovailoa pass incomplete deep right intended for Tyreek Hill. Penalty on Joseph Ossai: Roughing the Passer, 15 yards (accepted) (no play)",1.73,2.72,4.0,2022,49
2.0,6:31,1.0,10.0,CIN 43,6.0,7.0,Raheem Mostert right tackle for 3 yards (tackle by B.J. Hill and Germaine Pratt),2.72,2.58,4.0,2022,49
2.0,5:57,2.0,7.0,CIN 40,6.0,7.0,Tua Tagovailoa sacked by Josh Tupou for -10 yards,2.58,0.56,4.0,2022,49
2.0,5:15,3.0,17.0,CIN 50,6.0,7.0,Teddy Bridgewater pass complete deep right to Trent Sherfield for 16 yards (tackle by Jessie Bates),0.56,1.1,4.0,2022,49
2.0,4:27,4.0,1.0,CIN 34,6.0,7.0,Jason Sanders 52 yard field goal no good blocked by Jeff Gunter,1.1,-1.73,4.0,2022,49
2.0,4:22,1.0,10.0,CIN 42,6.0,7.0,Joe Mixon left tackle for 1 yard (tackle by Christian Wilkins),1.73,1.32,4.0,2022,49
2.0,3:44,2.0,9.0,CIN 43,6.0,7.0,Joe Burrow pass complete short left to Joe Mixon for -2 yards (tackle by Duke Riley),1.32,0.37,4.0,2022,49
2.0,2:58,3.0,11.0,CIN 41,6.0,13.0,"Joe Burrow pass complete deep left to Tee Higgins for 59 yards, touchdown",0.37,7.0,4.0,2022,49
2.0,2:50,,,MIA 15,6.0,14.0,Evan McPherson kicks extra point good,0.0,0.0,4.0,2022,49
2.0,2:50,,,CIN 35,6.0,14.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,49
2.0,2:50,1.0,10.0,MIA 25,6.0,14.0,Raheem Mostert left tackle for 2 yards (tackle by Sam Hubbard),0.61,0.33,4.0,2022,49
2.0,2:05,2.0,8.0,MIA 27,6.0,14.0,"Raheem Mostert left tackle for 4 yards (tackle by Zachary Carter and B.J. Hill). Penalty on Sam Hubbard: Unnecessary Roughness / Defense, 15 yards (accepted)",0.33,1.99,4.0,2022,49
2.0,2:00,1.0,10.0,MIA 46,6.0,14.0,Teddy Bridgewater pass complete short middle to Jaylen Waddle for 19 yards (tackle by Vonn Bell),1.99,3.25,4.0,2022,49
2.0,1:22,1.0,10.0,CIN 35,6.0,14.0,Teddy Bridgewater pass incomplete short left intended for Trent Sherfield,3.25,2.7,4.0,2022,49
2.0,1:15,2.0,10.0,CIN 35,6.0,14.0,Teddy Bridgewater pass complete short left to Tyreek Hill for 11 yards (tackle by Vonn Bell),2.7,3.97,4.0,2022,49
2.0,1:09,1.0,10.0,CIN 24,6.0,14.0,Teddy Bridgewater pass complete short left to Raheem Mostert for 6 yards (tackle by Germaine Pratt),3.97,4.29,4.0,2022,49
2.0,1:05,2.0,4.0,CIN 18,6.0,14.0,"Penalty on MIA: Delay of Game, 5 yards (accepted) (no play)",4.29,3.57,4.0,2022,49
2.0,1:05,2.0,9.0,CIN 23,6.0,14.0,Raheem Mostert right guard for 4 yards (tackle by Akeem Davis-Gaither and Logan Wilson),3.57,3.41,4.0,2022,49
2.0,0:23,3.0,5.0,CIN 19,6.0,14.0,Teddy Bridgewater pass complete short right to Trent Sherfield for 12 yards (tackle by Mike Hilton),3.41,5.6,4.0,2022,49
2.0,0:15,1.0,7.0,CIN 7,12.0,14.0,"Teddy Bridgewater pass complete short middle to Chase Edmonds for 7 yards, touchdown",5.6,7.0,4.0,2022,49
2.0,0:09,,,CIN 15,12.0,14.0,Jason Sanders kicks extra point no good,0.0,-1.0,4.0,2022,49
2.0,0:09,,,MIA 35,12.0,14.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,49
2.0,0:09,1.0,10.0,CIN 25,12.0,14.0,Joe Burrow kneels for -1 yards,0.61,-0.07,4.0,2022,49
3.0,15:00,,,CIN 35,12.0,14.0,"Evan McPherson kicks off 59 yards, returned by Raheem Mostert for 18 yards (tackle by Markus Bailey)",0.0,0.54,4.0,2022,49
3.0,14:57,1.0,10.0,MIA 24,12.0,14.0,Chase Edmonds left end for no gain (tackle by Mike Hilton and B.J. Hill),0.54,0.0,4.0,2022,49
3.0,14:14,2.0,10.0,MIA 24,12.0,14.0,"Penalty on Terron Armstead: False Start, 5 yards (accepted) (no play)",0.0,-0.74,4.0,2022,49
3.0,13:50,2.0,15.0,MIA 19,12.0,14.0,Teddy Bridgewater pass incomplete deep right intended for Trent Sherfield,-0.74,-1.43,4.0,2022,49
3.0,13:42,3.0,15.0,MIA 19,12.0,14.0,Teddy Bridgewater pass incomplete deep left intended for River Cracraft,-1.43,-2.14,4.0,2022,49
3.0,13:37,4.0,15.0,MIA 19,12.0,14.0,"Thomas Morstead punts 45 yards, fair catch by Trent Taylor at CIN-36",-2.14,-1.33,4.0,2022,49
3.0,13:30,1.0,10.0,CIN 36,12.0,14.0,Joe Burrow pass complete short left to Tee Higgins for 8 yards (tackle by Jerome Baker),1.33,1.87,4.0,2022,49
3.0,12:54,2.0,2.0,CIN 44,12.0,14.0,Joe Mixon right tackle for 2 yards (tackle by Raekwon Davis),1.87,1.99,4.0,2022,49
3.0,12:18,1.0,10.0,CIN 46,12.0,14.0,Joe Mixon right guard for 3 yards (tackle by Zach Sieler),1.99,1.86,4.0,2022,49
3.0,11:40,2.0,7.0,CIN 49,12.0,14.0,Joe Burrow pass complete short left to Joe Mixon for 1 yard (tackle by Jerome Baker and Duke Riley),1.86,1.29,4.0,2022,49
3.0,11:00,3.0,6.0,CIN 50,12.0,14.0,"Joe Burrow sacked by Jaelan Phillips for -6 yards. Penalty on Cordell Volson: Offensive Holding, 10 yards (declined)",1.29,-0.46,4.0,2022,49
3.0,10:22,4.0,12.0,CIN 44,12.0,14.0,"Kevin Huber punts 48 yards, returned by Jevon Holland for 6 yards (tackle by Tre Flowers)",-0.46,0.28,4.0,2022,49
3.0,10:11,1.0,10.0,MIA 14,12.0,14.0,Raheem Mostert right tackle for 5 yards (tackle by Eli Apple and Sam Hubbard),-0.28,-0.04,4.0,2022,49
3.0,9:32,2.0,5.0,MIA 19,12.0,14.0,Raheem Mostert right guard for 1 yard (tackle by Germaine Pratt and Logan Wilson),-0.04,-0.68,4.0,2022,49
3.0,8:54,3.0,4.0,MIA 20,12.0,14.0,Teddy Bridgewater pass complete short left to Mike Gesicki for 2 yards (tackle by Mike Hilton),-0.68,-1.9,4.0,2022,49
3.0,8:19,4.0,2.0,MIA 22,12.0,14.0,"Thomas Morstead punts 66 yards, returned by Trent Taylor for 23 yards (tackle by Durham Smythe and Duke Riley)",-1.9,-1.27,4.0,2022,49
3.0,8:01,1.0,10.0,CIN 35,12.0,14.0,Joe Burrow pass complete short middle to Tee Higgins for 16 yards (tackle by Xavien Howard),1.27,2.32,4.0,2022,49
3.0,7:25,1.0,10.0,MIA 49,12.0,14.0,Joe Mixon left end for 4 yards (tackle by Jerome Baker),2.32,2.32,4.0,2022,49
3.0,6:40,2.0,6.0,MIA 45,12.0,14.0,Joe Burrow pass incomplete deep right intended for Ja'Marr Chase (defended by Nik Needham),2.32,1.62,4.0,2022,49
3.0,6:29,3.0,6.0,MIA 45,12.0,14.0,Joe Burrow pass incomplete intended for Chris Evans,1.62,0.27,4.0,2022,49
3.0,6:22,4.0,6.0,MIA 45,12.0,14.0,"Kevin Huber punts 35 yards, fair catch by Jevon Holland at MIA-10",0.27,0.38,4.0,2022,49
3.0,6:18,1.0,10.0,MIA 10,12.0,14.0,Raheem Mostert left end for 5 yards (tackle by Germaine Pratt and Joseph Ossai),-0.38,-0.35,4.0,2022,49
3.0,5:36,2.0,5.0,MIA 15,12.0,14.0,Teddy Bridgewater pass complete short middle to Trent Sherfield for 16 yards (tackle by Germaine Pratt),-0.35,1.0,4.0,2022,49
3.0,4:57,1.0,10.0,MIA 31,12.0,14.0,Teddy Bridgewater pass complete deep middle to Tyreek Hill for 64 yards (tackle by Chidobe Awuzie),1.0,6.06,4.0,2022,49
3.0,4:11,1.0,5.0,CIN 5,12.0,14.0,Raheem Mostert right guard for 3 yards (tackle by Josh Tupou),6.06,5.72,4.0,2022,49
3.0,3:36,2.0,2.0,CIN 2,12.0,14.0,Raheem Mostert right guard for no gain (tackle by Logan Wilson and Sam Hubbard),5.72,4.95,4.0,2022,49
3.0,2:53,3.0,2.0,CIN 2,12.0,14.0,Teddy Bridgewater pass incomplete short left intended for Tyreek Hill (defended by Jessie Bates),4.95,3.25,4.0,2022,49
3.0,2:43,4.0,2.0,CIN 2,15.0,14.0,Jason Sanders 20 yard field goal good,3.25,3.0,4.0,2022,49
3.0,2:40,,,MIA 35,15.0,14.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,49
3.0,2:40,1.0,10.0,CIN 25,15.0,14.0,"Joe Burrow pass complete short middle to Hayden Hurst for no gain (tackle by Eric Rowe and Jevon Holland). Penalty on La'el Collins: Offensive Holding, 10 yards (accepted) (no play)",0.61,-0.41,4.0,2022,49
3.0,2:13,1.0,20.0,CIN 15,15.0,14.0,Joe Burrow pass complete short right to Tee Higgins for 9 yards (tackle by Duke Riley and Eric Rowe),-0.41,-0.07,4.0,2022,49
3.0,1:37,2.0,11.0,CIN 24,15.0,14.0,Samaje Perine left tackle for no gain (tackle by Duke Riley and Christian Wilkins),-0.07,-0.76,4.0,2022,49
3.0,0:57,3.0,11.0,CIN 24,15.0,14.0,Tyler Boyd pass complete deep right to Ja'Marr Chase for 23 yards (tackle by Jevon Holland),-0.76,2.06,4.0,2022,49
3.0,0:21,1.0,10.0,CIN 47,15.0,14.0,Joe Burrow pass complete short left to Tyler Boyd for 4 yards (tackle by Kader Kohou),2.06,2.06,4.0,2022,49
4.0,15:00,2.0,6.0,MIA 49,15.0,14.0,Joe Burrow pass complete deep left to Tyler Boyd for 43 yards (tackle by Kader Kohou),2.06,5.83,4.0,2022,49
4.0,14:14,1.0,6.0,MIA 6,15.0,14.0,Joe Mixon right tackle for 3 yards (tackle by Eric Rowe),5.83,5.53,4.0,2022,49
4.0,13:34,,,,,,Timeout #1 by Cincinnati Bengals,,,4.0,2022,49
4.0,13:34,2.0,3.0,MIA 3,15.0,14.0,Joe Mixon up the middle for 2 yards (tackle by Jerome Baker and Elandon Roberts),5.53,5.17,4.0,2022,49
4.0,12:50,3.0,1.0,MIA 1,15.0,14.0,Joe Mixon left guard for no gain (tackle by Andrew Van Ginkel),5.17,3.55,4.0,2022,49
4.0,12:03,4.0,1.0,MIA 1,15.0,17.0,Evan McPherson 19 yard field goal good,3.55,3.0,4.0,2022,49
4.0,12:00,,,CIN 35,15.0,17.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,49
4.0,12:00,1.0,10.0,MIA 25,15.0,17.0,Teddy Bridgewater pass complete to Tyreek Hill for 7 yards (tackle by Eli Apple),0.61,1.01,4.0,2022,49
4.0,11:24,2.0,3.0,MIA 32,15.0,17.0,Chase Edmonds right tackle for 2 yards (tackle by Josh Tupou),1.01,0.56,4.0,2022,49
4.0,10:45,3.0,1.0,MIA 34,15.0,17.0,Chase Edmonds right guard for -1 yards (tackle by Logan Wilson),0.56,-1.18,4.0,2022,49
4.0,9:56,4.0,2.0,MIA 33,15.0,17.0,Thomas Morstead punts 39 yards downed by Justin Bethel,-1.18,-0.81,4.0,2022,49
4.0,9:49,1.0,10.0,CIN 28,15.0,17.0,Joe Burrow pass complete short right to Tee Higgins for no gain (tackle by Jaelan Phillips and Jevon Holland),0.81,0.26,4.0,2022,49
4.0,9:16,2.0,10.0,CIN 28,15.0,17.0,Joe Burrow pass complete deep middle to Tee Higgins for 22 yards (tackle by Kader Kohou),0.26,2.26,4.0,2022,49
4.0,8:35,1.0,10.0,CIN 50,15.0,17.0,Joe Mixon right tackle for no gain (tackle by Melvin Ingram),2.26,1.71,4.0,2022,49
4.0,7:56,2.0,10.0,CIN 50,15.0,17.0,Joe Burrow pass complete short left to Ja'Marr Chase for 14 yards,1.71,3.18,4.0,2022,49
4.0,7:11,1.0,10.0,MIA 36,15.0,17.0,Joe Mixon right tackle for 2 yards (tackle by Zach Sieler),3.18,2.91,4.0,2022,49
4.0,6:27,2.0,8.0,MIA 34,15.0,17.0,Joe Burrow pass incomplete deep right intended for Tee Higgins,2.91,2.21,4.0,2022,49
4.0,6:20,3.0,8.0,MIA 34,15.0,17.0,"Penalty on Jonah Williams: False Start, 5 yards (accepted) (no play)",2.21,1.55,4.0,2022,49
4.0,6:20,3.0,13.0,MIA 39,15.0,17.0,Joe Burrow pass incomplete short middle intended for Tyler Boyd (defended by Kader Kohou),1.55,0.66,4.0,2022,49
4.0,6:17,4.0,13.0,MIA 39,15.0,20.0,Evan McPherson 57 yard field goal good,0.66,3.0,4.0,2022,49
4.0,6:13,,,CIN 35,15.0,20.0,"Evan McPherson kicks off 67 yards, returned by Raheem Mostert for 24 yards (tackle by Markus Bailey)",0.0,0.41,4.0,2022,49
4.0,6:07,1.0,10.0,MIA 22,15.0,20.0,Raheem Mostert right end for 25 yards (tackle by Jessie Bates),0.41,2.06,4.0,2022,49
4.0,5:33,1.0,10.0,MIA 47,15.0,20.0,Raheem Mostert right tackle for -3 yards (tackle by Sam Hubbard),2.06,1.11,4.0,2022,49
4.0,5:00,2.0,13.0,MIA 44,15.0,20.0,Teddy Bridgewater pass complete short right to Tyreek Hill for 3 yards (tackle by Germaine Pratt),1.11,0.83,4.0,2022,49
4.0,4:18,3.0,10.0,MIA 47,15.0,20.0,"Teddy Bridgewater scrambles left end for 11 yards (tackle by Chidobe Awuzie). Penalty on Eli Apple: Illegal Contact, 5 yards (accepted)",0.83,3.12,4.0,2022,49
4.0,4:15,1.0,10.0,CIN 37,15.0,20.0,Raheem Mostert right end for 8 yards (tackle by Cameron Sample),3.12,3.65,4.0,2022,49
4.0,3:45,2.0,2.0,CIN 29,15.0,20.0,Raheem Mostert right guard for 3 yards (tackle by Germaine Pratt),3.65,3.84,4.0,2022,49
4.0,3:29,1.0,10.0,CIN 26,15.0,20.0,Teddy Bridgewater pass incomplete deep left intended for Jaylen Waddle,3.84,3.3,4.0,2022,49
4.0,3:17,2.0,10.0,CIN 26,15.0,20.0,Teddy Bridgewater pass deep middle intended for Mike Gesicki is intercepted by Vonn Bell at CIN-9 and returned for 46 yards (tackle by River Cracraft),3.3,-2.59,4.0,2022,49
4.0,3:05,1.0,10.0,MIA 45,15.0,20.0,Joe Mixon right tackle for 3 yards (tackle by Kader Kohou),2.59,2.45,4.0,2022,49
4.0,2:58,,,,,,Timeout #1 by Miami Dolphins,,,4.0,2022,49
4.0,2:58,2.0,7.0,MIA 42,15.0,20.0,Joe Burrow pass complete deep left to Ja'Marr Chase for 36 yards (tackle by Keion Crossen),2.45,5.83,4.0,2022,49
4.0,2:13,1.0,6.0,MIA 6,15.0,20.0,Joe Mixon left guard for 4 yards (tackle by Raekwon Davis),5.83,5.72,4.0,2022,49
4.0,2:00,2.0,2.0,MIA 2,15.0,20.0,Joe Mixon right tackle for no gain (tackle by Nik Needham and Christian Wilkins),5.72,4.95,4.0,2022,49
4.0,1:56,,,,,,Timeout #2 by Miami Dolphins,,,4.0,2022,49
4.0,1:56,3.0,2.0,MIA 2,15.0,26.0,"Joe Burrow pass complete to Hayden Hurst for 2 yards, touchdown. Penalty on Duke Riley: Defensive Holding, 5 yards (declined)",4.95,7.0,4.0,2022,49
4.0,1:52,,,MIA 15,15.0,27.0,Evan McPherson kicks extra point good,0.0,0.0,4.0,2022,49
4.0,1:52,,,CIN 35,15.0,27.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,49
4.0,1:52,1.0,10.0,MIA 25,15.0,27.0,Teddy Bridgewater pass complete short middle to Tyreek Hill for 10 yards (tackle by Logan Wilson),0.61,1.27,4.0,2022,49
4.0,1:33,1.0,10.0,MIA 35,15.0,27.0,Teddy Bridgewater pass complete short middle to Tyreek Hill for 14 yards (tackle by Chidobe Awuzie),1.27,2.19,4.0,2022,49
4.0,1:23,1.0,10.0,MIA 49,15.0,27.0,Teddy Bridgewater pass incomplete short left intended for Raheem Mostert,2.19,1.65,4.0,2022,49
4.0,1:18,2.0,10.0,MIA 49,15.0,27.0,Teddy Bridgewater pass incomplete short right,1.65,0.96,4.0,2022,49
4.0,1:13,3.0,10.0,MIA 49,15.0,27.0,Teddy Bridgewater pass complete short left to Raheem Mostert for 6 yards (tackle by Tre Flowers),0.96,0.27,4.0,2022,49
4.0,0:57,,,,,,Timeout #3 by Miami Dolphins,,,4.0,2022,49
4.0,0:57,,,,,,Timeout #2 by Cincinnati Bengals,,,4.0,2022,49
4.0,0:57,4.0,4.0,CIN 45,15.0,27.0,Teddy Bridgewater pass incomplete short right intended for Tyreek Hill,0.27,-1.93,4.0,2022,49
4.0,0:53,1.0,10.0,CIN 45,15.0,27.0,Joe Burrow kneels for -1 yards,1.93,1.25,4.0,2022,49
4.0,0:31,2.0,11.0,CIN 44,15.0,27.0,Joe Burrow kneels for -1 yards,1.25,0.43,4.0,2022,49
