Quarter,Time,Down,ToGo,Location,ARI,CAR,Detail,EPB,EPA,week,year,game_id
2.0,0:02,3.0,4.0,ARI 36,3.0,10.0,Eddy Pineiro 54 yard field goal good,2.34,3.0,4.0,2022,60
3.0,15:00,,,ARI 35,3.0,10.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,60
3.0,15:00,1.0,10.0,CAR 25,3.0,10.0,Christian McCaffrey right guard for 5 yards (tackle by Budda Baker and J.J. Watt),0.61,0.74,4.0,2022,60
3.0,14:26,2.0,5.0,CAR 30,3.0,10.0,Christian McCaffrey left guard for no gain (tackle by Markus Golden and Ben Niemann),0.74,0.04,4.0,2022,60
3.0,13:43,3.0,5.0,CAR 30,3.0,10.0,Baker Mayfield sacked by Zach Allen for -9 yards,0.04,-1.96,4.0,2022,60
3.0,13:02,4.0,14.0,CAR 21,3.0,10.0,"Johnny Hekker punts 57 yards, returned by Greg Dortch for no gain (tackle by Sean Chandler). Penalty on Christian Matthew: Unnecessary Roughness / Offense, 11 yards (accepted)",-1.96,0.37,4.0,2022,60
3.0,12:50,1.0,10.0,ARI 11,3.0,10.0,"James Conner left end for no gain (tackle by Myles Hartsfield). Penalty on Rodney Hudson: Offensive Holding, 5 yards (accepted) (no play)",-0.37,-0.57,4.0,2022,60
3.0,12:16,,,,,,Timeout #1 by Arizona Cardinals,,,4.0,2022,60
3.0,12:16,1.0,15.0,ARI 6,3.0,10.0,Kyler Murray pass incomplete short left intended for Marquise Brown (defended by Derrick Brown),-0.57,-1.15,4.0,2022,60
3.0,12:13,2.0,15.0,ARI 6,3.0,10.0,Kyler Murray pass complete short right to James Conner for 14 yards (tackle by Sean Chandler),-1.15,-0.37,4.0,2022,60
3.0,11:48,3.0,1.0,ARI 20,3.0,10.0,Kyler Murray right end for 2 yards (tackle by Jaycee Horn),-0.37,0.41,4.0,2022,60
3.0,11:09,1.0,10.0,ARI 22,3.0,10.0,Kyler Murray pass complete short right to Zach Ertz for 23 yards (tackle by Jaycee Horn),0.41,1.93,4.0,2022,60
3.0,10:39,1.0,10.0,ARI 45,3.0,10.0,Eno Benjamin right end for 3 yards (tackle by Marquan McCall and Shaq Thompson),1.93,1.79,4.0,2022,60
3.0,10:08,2.0,7.0,ARI 48,3.0,10.0,Kyler Murray pass complete short left to Eno Benjamin for 9 yards (tackle by Sean Chandler),1.79,2.72,4.0,2022,60
3.0,9:17,1.0,10.0,CAR 43,3.0,10.0,"Kyler Murray pass incomplete deep left intended for Marquise Brown. Penalty on C.J. Henderson: Defensive Pass Interference, 37 yards (accepted) (no play)",2.72,5.83,4.0,2022,60
3.0,9:10,1.0,6.0,CAR 6,3.0,10.0,"Penalty on Trey McBride: False Start, 5 yards (accepted) (no play)",5.83,4.77,4.0,2022,60
3.0,9:10,1.0,11.0,CAR 11,3.0,10.0,Eno Benjamin right end for 8 yards (tackle by Frankie Luvu),4.77,5.53,4.0,2022,60
3.0,8:26,2.0,3.0,CAR 3,3.0,10.0,James Conner left tackle for 1 yard (tackle by C.J. Henderson),5.53,4.95,4.0,2022,60
3.0,7:46,,,,,,Timeout #1 by Carolina Panthers,,,4.0,2022,60
3.0,7:46,3.0,2.0,CAR 2,9.0,10.0,"Kyler Murray pass complete short left to Zach Ertz for 2 yards, touchdown",4.95,7.0,4.0,2022,60
3.0,7:42,,,CAR 15,10.0,10.0,Matt Prater kicks extra point good,0.0,0.0,4.0,2022,60
3.0,7:42,,,ARI 35,10.0,10.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,60
3.0,7:42,1.0,10.0,CAR 25,10.0,10.0,Baker Mayfield pass complete short left to Robbie Anderson for 13 yards (tackle by Marco Wilson),0.61,1.47,4.0,2022,60
3.0,7:22,1.0,10.0,CAR 38,10.0,10.0,Baker Mayfield pass incomplete deep right intended for Robbie Anderson,1.47,0.92,4.0,2022,60
3.0,7:14,2.0,10.0,CAR 38,10.0,10.0,Baker Mayfield pass incomplete short right intended for Tommy Tremble (defended by Zach Allen),0.92,0.23,4.0,2022,60
3.0,7:09,3.0,10.0,CAR 38,10.0,10.0,Baker Mayfield pass complete short left to Christian McCaffrey for 3 yards (tackle by Zaven Collins),0.23,-0.65,4.0,2022,60
3.0,6:16,4.0,7.0,CAR 41,10.0,10.0,"Johnny Hekker pass complete short right to Sam Franklin for no gain. Penalty on Damien Wilson: Ineligible Downfield Pass, 5 yards (accepted) (no play)",-0.65,-0.98,4.0,2022,60
3.0,5:59,4.0,12.0,CAR 36,10.0,10.0,"Johnny Hekker punts 49 yards, returned by Greg Dortch for 7 yards (tackle by Sean Chandler and J.J. Jansen)",-0.98,-0.41,4.0,2022,60
3.0,5:48,1.0,10.0,ARI 22,10.0,10.0,Kyler Murray pass incomplete deep right intended for Rondale Moore,0.41,-0.13,4.0,2022,60
3.0,5:42,2.0,10.0,ARI 22,10.0,10.0,Kyler Murray pass complete short left to Marquise Brown for 16 yards (tackle by C.J. Henderson),-0.13,1.47,4.0,2022,60
3.0,4:56,1.0,10.0,ARI 38,10.0,10.0,Darrel Williams left guard for no gain (tackle by Shaq Thompson and Cory Littleton),1.47,0.92,4.0,2022,60
3.0,4:15,2.0,10.0,ARI 38,10.0,10.0,Darrel Williams up the middle for 13 yards (tackle by Myles Hartsfield),0.92,2.32,4.0,2022,60
3.0,3:57,1.0,10.0,CAR 49,10.0,10.0,"Kyler Murray pass complete to Darrel Williams for no gain (tackle by Derrick Brown). Penalty on D.J. Humphries: Ineligible Downfield Pass, 5 yards (accepted) (no play)",2.32,1.99,4.0,2022,60
3.0,3:46,1.0,15.0,ARI 46,10.0,10.0,Kyler Murray right guard for 10 yards (tackle by Xavier Woods),1.99,2.46,4.0,2022,60
3.0,2:38,2.0,5.0,CAR 44,10.0,10.0,Kyler Murray left end for 7 yards. Kyler Murray fumbles (forced by Myles Hartsfield),2.46,3.12,4.0,2022,60
3.0,2:00,1.0,10.0,CAR 37,10.0,10.0,James Conner left tackle for 5 yards (tackle by Marquis Haynes),3.12,3.25,4.0,2022,60
3.0,1:20,2.0,5.0,CAR 32,10.0,10.0,Kyler Murray pass complete short right to Greg Dortch for 6 yards (tackle by C.J. Henderson),3.25,3.84,4.0,2022,60
3.0,0:48,1.0,10.0,CAR 26,10.0,10.0,Eno Benjamin right tackle for 5 yards (tackle by Xavier Woods and Matthew Ioannidis),3.84,3.97,4.0,2022,60
3.0,0:11,2.0,5.0,CAR 21,10.0,10.0,Kyler Murray pass complete short middle to Trey McBride for 11 yards (tackle by Myles Hartsfield),3.97,4.91,4.0,2022,60
4.0,15:00,1.0,10.0,CAR 10,10.0,10.0,"James Conner right guard for 3 yards (tackle by Frankie Luvu and Jaycee Horn). Penalty on Frankie Luvu: Unnecessary Roughness / Defense, 4 yards (accepted) . Penalty on Will Hernandez: Disqualification / Offense, 15 yards (accepted)",4.91,4.24,4.0,2022,60
4.0,14:04,1.0,18.0,CAR 18,10.0,10.0,Kyler Murray sacked by Brian Burns for -1 yards,4.24,3.07,4.0,2022,60
4.0,13:32,,,,,,Timeout #2 by Arizona Cardinals,,,4.0,2022,60
4.0,13:32,2.0,19.0,CAR 19,10.0,10.0,Kyler Murray right end for 2 yards (tackle by Xavier Woods),3.07,2.74,4.0,2022,60
4.0,12:42,3.0,17.0,CAR 17,10.0,10.0,"Kyler Murray scrambles right end for no gain. Penalty on James Conner: Offensive Holding, 10 yards (accepted) (no play)",2.74,1.42,4.0,2022,60
4.0,12:12,,,,,,Timeout #2 by Carolina Panthers,,,4.0,2022,60
4.0,12:12,3.0,27.0,CAR 27,10.0,10.0,Kyler Murray pass complete short right to Rondale Moore for 6 yards (tackle by Frankie Luvu),1.42,2.06,4.0,2022,60
4.0,11:26,4.0,21.0,CAR 21,13.0,10.0,Matt Prater 39 yard field goal good,2.06,3.0,4.0,2022,60
4.0,11:22,,,ARI 35,13.0,10.0,"Eno Benjamin kicks off 45 yards, returned by Stephen Sullivan for 5 yards (tackle by Eno Benjamin)",0.0,0.61,4.0,2022,60
4.0,11:17,1.0,10.0,CAR 25,13.0,10.0,Baker Mayfield pass short right (defended by J.J. Watt) intended for D.J. Moore is intercepted by Dennis Gardeck at CAR-29 and returned for 24 yards (tackle by Baker Mayfield),0.61,-6.06,4.0,2022,60
4.0,11:08,1.0,5.0,CAR 5,13.0,10.0,James Conner up the middle for 1 yard (tackle by Matthew Ioannidis),6.06,5.34,4.0,2022,60
4.0,10:32,2.0,4.0,CAR 4,19.0,10.0,"Kyler Murray right end for 4 yards, touchdown",5.34,7.0,4.0,2022,60
4.0,10:26,,,CAR 15,20.0,10.0,Matt Prater kicks extra point good,0.0,0.0,4.0,2022,60
4.0,10:26,,,ARI 35,20.0,10.0,"Eno Benjamin kicks off 61 yards, recovered by Chuba Hubbard at CAR-5 (tackle by Dennis Gardeck)",0.0,0.41,4.0,2022,60
4.0,10:20,1.0,10.0,CAR 22,20.0,10.0,"Baker Mayfield pass complete short right to Christian McCaffrey for no gain (tackle by J.J. Watt). Penalty on Brady Christensen: Ineligible Downfield Pass, 5 yards (declined)",0.41,-0.13,4.0,2022,60
4.0,10:03,2.0,10.0,CAR 22,20.0,10.0,Baker Mayfield pass incomplete deep right intended for Tommy Tremble,-0.13,-0.82,4.0,2022,60
4.0,10:00,3.0,10.0,CAR 22,20.0,10.0,Baker Mayfield pass complete short right to Christian McCaffrey for 9 yards (tackle by J.J. Watt and Trayvon Mullen),-0.82,-1.31,4.0,2022,60
4.0,9:17,4.0,1.0,CAR 31,20.0,10.0,Baker Mayfield pass incomplete short right intended for D.J. Moore (defended by Zach Allen),-1.31,-3.51,4.0,2022,60
4.0,9:13,1.0,10.0,CAR 31,20.0,10.0,Darrel Williams left guard for 1 yard (tackle by Cory Littleton),3.51,3.1,4.0,2022,60
4.0,8:30,2.0,9.0,CAR 30,20.0,10.0,Kyler Murray pass complete short left to Trey McBride for 7 yards (tackle by Frankie Luvu),3.1,3.34,4.0,2022,60
4.0,7:44,3.0,2.0,CAR 23,26.0,10.0,"Kyler Murray pass complete deep right to Marquise Brown for 23 yards, touchdown",3.34,7.0,4.0,2022,60
4.0,7:37,,,CAR 2,26.0,10.0,"Two Point Attempt: Kyler Murray pass incomplete, sacked by Kyler Murray sacked by",1.0,-1.0,4.0,2022,60
4.0,7:37,,,ARI 35,26.0,10.0,"Eno Benjamin kicks off 52 yards, recovered by Chuba Hubbard at CAR-14 and returned for 4 yards (tackle by Stephen Anderson)",0.0,0.67,4.0,2022,60
4.0,7:33,1.0,10.0,CAR 26,26.0,10.0,Baker Mayfield pass complete short right to Robbie Anderson for 5 yards (tackle by Jalen Thompson),0.67,0.81,4.0,2022,60
4.0,7:16,2.0,5.0,CAR 31,26.0,10.0,Baker Mayfield pass complete short right to Christian McCaffrey for 34 yards (tackle by Zaven Collins),0.81,3.25,4.0,2022,60
4.0,6:39,1.0,10.0,ARI 35,26.0,10.0,Baker Mayfield pass incomplete short right intended for D.J. Moore (defended by J.J. Watt),3.25,2.7,4.0,2022,60
4.0,6:31,2.0,10.0,ARI 35,26.0,10.0,Baker Mayfield pass complete short middle to D.J. Moore for 3 yards (tackle by Zaven Collins),2.7,2.41,4.0,2022,60
4.0,6:08,3.0,7.0,ARI 32,26.0,10.0,Baker Mayfield pass incomplete short right intended for Shi Smith,2.41,1.24,4.0,2022,60
4.0,6:04,4.0,7.0,ARI 32,26.0,10.0,Baker Mayfield pass complete short middle to D.J. Moore for 16 yards (tackle by Budda Baker),1.24,4.51,4.0,2022,60
4.0,5:33,1.0,10.0,ARI 16,26.0,10.0,"Baker Mayfield sacked by Dennis Gardeck for -8 yards. Penalty on Taylor Moton: Offensive Holding, 10 yards (declined)",4.51,2.88,4.0,2022,60
4.0,5:15,2.0,18.0,ARI 24,26.0,10.0,Baker Mayfield pass complete short right to Tommy Tremble for 11 yards (tackle by Zaven Collins),2.88,3.54,4.0,2022,60
4.0,4:53,3.0,7.0,ARI 13,26.0,16.0,"Baker Mayfield pass complete short middle to Christian McCaffrey for 13 yards, touchdown",3.54,7.0,4.0,2022,60
4.0,4:47,,,ARI 2,26.0,16.0,Two Point Attempt: Baker Mayfield pass incomplete intended for Shi Smith,1.0,-1.0,4.0,2022,60
4.0,4:47,,,CAR 35,26.0,16.0,"Eddy Pineiro kicks onside 12 yards, returned by Zach Ertz for -2 yards",0.0,2.32,4.0,2022,60
4.0,4:44,1.0,10.0,CAR 49,26.0,16.0,James Conner left guard for 8 yards (tackle by Yetur Gross-Matos and Xavier Woods),2.32,2.86,4.0,2022,60
4.0,3:59,2.0,2.0,CAR 41,26.0,16.0,James Conner left tackle for 4 yards (tackle by Cory Littleton and Brian Burns),2.86,3.12,4.0,2022,60
4.0,3:15,1.0,10.0,CAR 37,26.0,16.0,James Conner left guard for 6 yards (tackle by Jaycee Horn and Xavier Woods),3.12,3.38,4.0,2022,60
4.0,3:09,,,,,,Timeout #3 by Carolina Panthers,,,4.0,2022,60
4.0,3:09,2.0,4.0,CAR 31,26.0,16.0,James Conner left guard for 3 yards (tackle by Jaycee Horn and Shaq Thompson),3.38,3.07,4.0,2022,60
4.0,2:27,3.0,1.0,CAR 28,26.0,16.0,James Conner up the middle for 2 yards (tackle by Matthew Ioannidis and Frankie Luvu),3.07,3.84,4.0,2022,60
4.0,2:00,1.0,10.0,CAR 26,26.0,16.0,Kyler Murray kneels for -1 yards,3.84,3.16,4.0,2022,60
4.0,1:13,2.0,11.0,CAR 27,26.0,16.0,Kyler Murray kneels for -1 yards,3.16,2.35,4.0,2022,60
4.0,0:35,3.0,12.0,CAR 28,26.0,16.0,Kyler Murray kneels for -1 yards,2.35,1.5,4.0,2022,60
