Quarter,Time,Down,ToGo,Location,KAN,TAM,Detail,EPB,EPA,week,year,game_id
1.0,10:12,,,TAM 35,7.0,3.0,"Jake Camarda kicks off 67 yards, returned by Isiah Pacheco for 23 yards (tackle by Olakunle Fatukasi)",0.0,0.34,4.0,2022,63
1.0,10:03,1.0,10.0,KAN 21,7.0,3.0,Patrick Mahomes pass complete short middle to Travis Kelce for 12 yards (tackle by Mike Edwards),0.34,1.14,4.0,2022,63
1.0,9:30,1.0,10.0,KAN 33,7.0,3.0,Patrick Mahomes pass complete short left to Mecole Hardman for 4 yards (tackle by Joe Tryon-Shoyinka and Devin White),1.14,1.13,4.0,2022,63
1.0,8:59,2.0,6.0,KAN 37,7.0,3.0,Patrick Mahomes pass complete short right to Travis Kelce for 5 yards (tackle by Lavonte David),1.13,1.09,4.0,2022,63
1.0,8:16,,,,,,Timeout #1 by Kansas City Chiefs,,,4.0,2022,63
1.0,8:16,3.0,1.0,KAN 42,7.0,3.0,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 4 yards (tackle by Antoine Winfield),1.09,1.99,4.0,2022,63
1.0,7:39,1.0,10.0,KAN 46,7.0,3.0,Patrick Mahomes pass incomplete short left,1.99,1.45,4.0,2022,63
1.0,7:32,2.0,10.0,KAN 46,7.0,3.0,Patrick Mahomes pass incomplete short left intended for Travis Kelce (defended by Devin White),1.45,0.76,4.0,2022,63
1.0,7:28,3.0,10.0,KAN 46,7.0,3.0,Patrick Mahomes pass complete short right to Travis Kelce for 13 yards (tackle by Carlton Davis),0.76,2.85,4.0,2022,63
1.0,6:51,1.0,10.0,TAM 41,7.0,3.0,Isiah Pacheco left tackle for 8 yards (tackle by Lavonte David),2.85,3.39,4.0,2022,63
1.0,6:07,2.0,2.0,TAM 33,7.0,3.0,Patrick Mahomes pass complete short middle to JuJu Smith-Schuster for 1 yard (tackle by Devin White),3.39,2.81,4.0,2022,63
1.0,5:30,3.0,1.0,TAM 32,7.0,3.0,Clyde Edwards-Helaire up the middle for 20 yards (tackle by Jamel Dean),2.81,4.78,4.0,2022,63
1.0,4:48,1.0,10.0,TAM 12,7.0,3.0,Patrick Mahomes left end for 9 yards (tackle by Logan Ryan),4.78,5.79,4.0,2022,63
1.0,4:07,2.0,1.0,TAM 3,13.0,3.0,"Clyde Edwards-Helaire up the middle for 3 yards, touchdown",5.79,7.0,4.0,2022,63
1.0,4:01,,,TAM 15,14.0,3.0,Matthew Wright kicks extra point good,0.0,0.0,4.0,2022,63
1.0,4:01,,,KAN 35,14.0,3.0,"Matthew Wright kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,63
1.0,4:01,1.0,10.0,TAM 25,14.0,3.0,Leonard Fournette right end for -2 yards (tackle by Nick Bolton),0.61,-0.21,4.0,2022,63
1.0,3:21,2.0,12.0,TAM 23,14.0,3.0,Tom Brady pass incomplete short middle intended for Cameron Brate,-0.21,-0.89,4.0,2022,63
1.0,3:14,3.0,12.0,TAM 23,14.0,3.0,Tom Brady pass complete short left to Russell Gage for 10 yards (tackle by Rashad Fenton),-0.89,-1.18,4.0,2022,63
1.0,2:29,4.0,2.0,TAM 33,14.0,3.0,"Jake Camarda punts 49 yards, fair catch by Skyy Moore at KC-18",-1.18,-0.04,4.0,2022,63
1.0,2:18,1.0,10.0,KAN 18,14.0,3.0,Clyde Edwards-Helaire right tackle for 3 yards (tackle by William Gholston) (no play),0.04,-0.45,4.0,2022,63
1.0,2:03,1.0,15.0,KAN 13,14.0,3.0,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 13 yards (tackle by Keanu Neal),-0.45,0.68,4.0,2022,63
1.0,1:27,2.0,2.0,KAN 26,14.0,3.0,Patrick Mahomes pass complete short left to Travis Kelce for 7 yards (tackle by William Gholston),0.68,1.14,4.0,2022,63
1.0,0:48,1.0,10.0,KAN 33,14.0,3.0,Patrick Mahomes pass incomplete short middle intended for Skyy Moore (defended by Lavonte David),1.14,0.59,4.0,2022,63
1.0,0:43,2.0,10.0,KAN 33,14.0,3.0,Isiah Pacheco left end for 8 yards (tackle by Lavonte David),0.59,0.96,4.0,2022,63
2.0,15:00,3.0,2.0,KAN 41,14.0,3.0,Patrick Mahomes scrambles up the middle for 7 yards (tackle by Devin White),0.96,2.13,4.0,2022,63
2.0,14:25,1.0,10.0,KAN 48,14.0,3.0,Patrick Mahomes pass complete deep middle to Marquez Valdes-Scantling for 36 yards (tackle by Lavonte David),2.13,4.51,4.0,2022,63
2.0,13:41,1.0,10.0,TAM 16,14.0,3.0,Isiah Pacheco left tackle for 8 yards (tackle by Devin White and Mike Edwards),4.51,5.35,4.0,2022,63
2.0,13:02,2.0,2.0,TAM 8,14.0,3.0,Patrick Mahomes pass incomplete short middle intended for Marquez Valdes-Scantling (defended by Jamel Dean),5.35,4.62,4.0,2022,63
2.0,12:56,3.0,2.0,TAM 8,14.0,3.0,Patrick Mahomes pass complete short left to Travis Kelce for 6 yards (tackle by Lavonte David),4.62,6.74,4.0,2022,63
2.0,12:15,1.0,2.0,TAM 2,14.0,3.0,"Patrick Mahomes pass incomplete short right intended for Jerick McKinnon. Penalty on Jamel Dean: Defensive Holding, 1 yard (accepted) (no play)",6.74,6.97,4.0,2022,63
2.0,12:15,1.0,1.0,TAM 1,14.0,3.0,Jerick McKinnon left tackle for -1 yards (tackle by Devin White and Lavonte David),6.97,5.72,4.0,2022,63
2.0,11:35,2.0,2.0,TAM 2,20.0,3.0,"Patrick Mahomes pass complete short right to Clyde Edwards-Helaire for 2 yards, touchdown",5.72,7.0,4.0,2022,63
2.0,11:26,,,TAM 15,21.0,3.0,Matthew Wright kicks extra point good,0.0,0.0,4.0,2022,63
2.0,11:26,,,KAN 35,21.0,3.0,"Matthew Wright kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,63
2.0,11:26,1.0,10.0,TAM 25,21.0,3.0,Tom Brady pass complete short right to Rachaad White for 11 yards (tackle by L'Jarius Sneed),0.61,1.33,4.0,2022,63
2.0,10:52,1.0,10.0,TAM 36,21.0,3.0,Tom Brady pass complete deep middle to Mike Evans for 30 yards (tackle by Justin Reid),1.33,3.31,4.0,2022,63
2.0,10:15,1.0,10.0,KAN 34,21.0,3.0,Tom Brady pass complete short middle to Cameron Brate for 11 yards (tackle by Nick Bolton),3.31,4.04,4.0,2022,63
2.0,9:36,1.0,10.0,KAN 23,21.0,3.0,Tom Brady pass incomplete short middle intended for Cameron Brate,4.04,3.5,4.0,2022,63
2.0,9:31,2.0,10.0,KAN 23,21.0,3.0,Tom Brady pass complete short right to Rachaad White for 10 yards (tackle by Nick Bolton),3.5,4.71,4.0,2022,63
2.0,8:55,1.0,10.0,KAN 13,21.0,9.0,"Tom Brady pass complete short middle to Mike Evans for 13 yards, touchdown",4.71,7.0,4.0,2022,63
2.0,8:50,,,KAN 15,21.0,10.0,Ryan Succop kicks extra point good,0.0,0.0,4.0,2022,63
2.0,8:50,,,TAM 35,21.0,10.0,"Jake Camarda kicks off 65 yards, returned by Isiah Pacheco for 26 yards (tackle by Sean Murphy-Bunting and Anthony Nelson)",0.0,0.67,4.0,2022,63
2.0,8:44,1.0,10.0,KAN 26,21.0,10.0,Clyde Edwards-Helaire up the middle for 7 yards (tackle by Keanu Neal and Mike Edwards),0.67,1.07,4.0,2022,63
2.0,8:13,2.0,3.0,KAN 33,21.0,10.0,Patrick Mahomes pass incomplete short left intended for JuJu Smith-Schuster,1.07,0.37,4.0,2022,63
2.0,8:04,3.0,3.0,KAN 33,21.0,10.0,Patrick Mahomes pass complete short left to Travis Kelce for 6 yards (tackle by Shaquil Barrett and Mike Edwards),0.37,1.53,4.0,2022,63
2.0,6:48,1.0,10.0,KAN 39,21.0,10.0,"Clyde Edwards-Helaire right end for 3 yards (tackle by Carl Nassib). Penalty on Carl Nassib: Horse Collar Tackle, 15 yards (accepted)",1.53,2.72,4.0,2022,63
2.0,7:14,1.0,10.0,TAM 43,21.0,10.0,Isiah Pacheco up the middle for 9 yards (tackle by Carlton Davis and Mike Edwards),2.72,3.39,4.0,2022,63
2.0,6:35,2.0,1.0,TAM 34,21.0,10.0,Isiah Pacheco right end for no gain (tackle by Shaquil Barrett),3.39,2.68,4.0,2022,63
2.0,5:57,3.0,1.0,TAM 34,21.0,10.0,Jerick McKinnon up the middle for no gain (tackle by Keanu Neal),2.68,1.1,4.0,2022,63
2.0,5:15,4.0,1.0,TAM 34,21.0,10.0,Patrick Mahomes pass incomplete short right intended for Clyde Edwards-Helaire,1.1,-1.2,4.0,2022,63
2.0,5:09,1.0,10.0,TAM 34,21.0,10.0,"Tom Brady sacked by L'Jarius Sneed for -12 yards. Tom Brady fumbles (forced by L'Jarius Sneed), recovered by Chris Jones at TB-22 and returned for 2 yards (tackle by Luke Goedeke)",1.2,-4.24,4.0,2022,63
2.0,5:02,1.0,10.0,TAM 20,21.0,10.0,Clyde Edwards-Helaire left tackle for 3 yards (tackle by Mike Edwards and Shaquil Barrett),4.24,4.12,4.0,2022,63
2.0,4:26,2.0,7.0,TAM 17,21.0,10.0,Patrick Mahomes pass incomplete short right,4.12,3.36,4.0,2022,63
2.0,4:21,3.0,7.0,TAM 17,21.0,10.0,Patrick Mahomes scrambles left end for 7 yards (tackle by Devin White),3.36,4.91,4.0,2022,63
2.0,3:46,1.0,10.0,TAM 10,21.0,10.0,Isiah Pacheco up the middle for 8 yards (tackle by Antoine Winfield),4.91,5.72,4.0,2022,63
2.0,2:58,,,,,,Timeout #2 by Kansas City Chiefs,,,4.0,2022,63
2.0,2:58,2.0,2.0,TAM 2,21.0,10.0,Patrick Mahomes pass complete short middle to Jerick McKinnon for 1 yard (tackle by Lavonte David and Mike Edwards),5.72,5.17,4.0,2022,63
2.0,2:15,3.0,1.0,TAM 1,27.0,10.0,"Noah Gray up the middle for 1 yard, touchdown",5.17,7.0,4.0,2022,63
2.0,2:11,,,TAM 15,28.0,10.0,Matthew Wright kicks extra point good,0.0,0.0,4.0,2022,63
2.0,2:11,,,KAN 35,28.0,10.0,"Matthew Wright kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,63
2.0,2:11,1.0,10.0,TAM 25,28.0,10.0,Tom Brady pass complete to Chris Godwin for 8 yards (tackle by Bryan Cook and Nick Bolton),0.61,1.14,4.0,2022,63
2.0,2:00,2.0,2.0,TAM 33,28.0,10.0,Tom Brady pass incomplete short middle intended for Chris Godwin,1.14,0.43,4.0,2022,63
2.0,1:57,3.0,2.0,TAM 33,28.0,10.0,Tom Brady pass complete short left to Cameron Brate for 2 yards (tackle by Juan Thornhill),0.43,1.27,4.0,2022,63
2.0,1:29,1.0,10.0,TAM 35,28.0,10.0,Tom Brady pass incomplete deep middle intended for Chris Godwin,1.27,0.72,4.0,2022,63
2.0,1:28,2.0,10.0,TAM 35,28.0,10.0,Tom Brady pass complete short right to Cameron Brate for 9 yards (tackle by Justin Reid),0.72,1.22,4.0,2022,63
2.0,1:13,3.0,1.0,TAM 44,28.0,10.0,Leonard Fournette right end for no gain (tackle by George Karlaftis) (no play),1.22,0.7,4.0,2022,63
2.0,1:10,3.0,5.0,TAM 40,28.0,10.0,Tom Brady pass complete short left to Julio Jones for 7 yards (tackle by George Karlaftis),0.7,2.06,4.0,2022,63
2.0,0:53,1.0,10.0,TAM 47,28.0,10.0,Tom Brady pass complete short middle to Chris Godwin for 12 yards (tackle by Nick Bolton),2.06,2.85,4.0,2022,63
2.0,0:46,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,4.0,2022,63
2.0,0:46,1.0,10.0,KAN 41,28.0,10.0,Tom Brady pass incomplete short right intended for Cameron Brate,2.85,2.31,4.0,2022,63
2.0,0:42,2.0,10.0,KAN 41,28.0,10.0,Tom Brady pass complete short middle to Leonard Fournette for 9 yards (tackle by Bryan Cook and Frank Clark),2.31,2.81,4.0,2022,63
2.0,0:28,,,,,,Timeout #3 by Kansas City Chiefs,,,4.0,2022,63
2.0,0:28,3.0,1.0,KAN 32,28.0,10.0,Tom Brady pass complete short left to Mike Evans for 16 yards (tackle by Rashad Fenton),2.81,4.51,4.0,2022,63
2.0,0:21,1.0,10.0,KAN 16,28.0,10.0,"Tom Brady pass incomplete deep middle intended for Cameron Brate. Penalty on Juan Thornhill: Defensive Pass Interference, 15 yards (accepted) (no play)",4.51,6.97,4.0,2022,63
2.0,0:18,1.0,1.0,KAN 1,28.0,10.0,Tom Brady pass incomplete short middle intended for Cameron Brate (defended by Bryan Cook),6.97,5.91,4.0,2022,63
2.0,0:15,2.0,1.0,KAN 1,28.0,16.0,"Tom Brady pass complete short right to Mike Evans for 1 yard, touchdown",5.91,7.0,4.0,2022,63
2.0,0:10,,,KAN 15,28.0,17.0,Ryan Succop kicks extra point good,0.0,0.0,4.0,2022,63
2.0,0:10,,,TAM 35,28.0,17.0,"Jake Camarda kicks off 65 yards, returned by Isiah Pacheco for 42 yards (tackle by Jake Camarda)",0.0,1.73,4.0,2022,63
2.0,0:04,1.0,10.0,KAN 42,28.0,17.0,Patrick Mahomes sacked by Carl Nassib for -11 yards,1.73,-0.3,4.0,2022,63
3.0,15:00,,,TAM 35,28.0,17.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,63
3.0,15:00,1.0,10.0,KAN 25,28.0,17.0,Patrick Mahomes pass complete short middle to Skyy Moore for 15 yards (tackle by Mike Edwards),0.61,1.6,4.0,2022,63
3.0,14:29,1.0,10.0,KAN 40,28.0,17.0,Clyde Edwards-Helaire up the middle for 8 yards (tackle by Keanu Neal),1.6,2.13,4.0,2022,63
3.0,13:53,2.0,2.0,KAN 48,28.0,17.0,Clyde Edwards-Helaire right tackle for 3 yards (tackle by Vita Vea),2.13,2.32,4.0,2022,63
3.0,13:14,1.0,10.0,TAM 49,28.0,17.0,Patrick Mahomes pass incomplete short left,2.32,1.78,4.0,2022,63
3.0,13:08,2.0,10.0,TAM 49,28.0,17.0,Patrick Mahomes pass incomplete short left intended for JuJu Smith-Schuster,1.78,1.09,4.0,2022,63
3.0,13:05,3.0,10.0,TAM 49,28.0,17.0,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 19 yards (tackle by Antoine Winfield),1.09,3.58,4.0,2022,63
3.0,12:26,1.0,10.0,TAM 30,28.0,17.0,Patrick Mahomes pass incomplete short middle intended for Noah Gray,3.58,3.03,4.0,2022,63
3.0,12:20,2.0,10.0,TAM 30,28.0,17.0,Isiah Pacheco up the middle for 4 yards (tackle by Keanu Neal),3.03,2.87,4.0,2022,63
3.0,11:39,3.0,6.0,TAM 26,28.0,17.0,Patrick Mahomes pass incomplete deep right intended for Skyy Moore,2.87,1.76,4.0,2022,63
3.0,11:31,4.0,6.0,TAM 26,31.0,17.0,Matthew Wright 44 yard field goal good,1.76,3.0,4.0,2022,63
3.0,11:26,,,KAN 35,31.0,17.0,"Matthew Wright kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,63
3.0,11:26,1.0,10.0,TAM 25,31.0,17.0,Tom Brady pass incomplete deep middle intended for Julio Jones,0.61,0.06,4.0,2022,63
3.0,11:19,2.0,10.0,TAM 25,31.0,17.0,Tom Brady pass complete short right to Chris Godwin for 10 yards (tackle by Nick Bolton),0.06,1.27,4.0,2022,63
3.0,10:53,1.0,10.0,TAM 35,31.0,17.0,Tom Brady pass incomplete short middle intended for Cade Otton,1.27,0.72,4.0,2022,63
3.0,10:48,2.0,10.0,TAM 35,31.0,17.0,Tom Brady pass incomplete short right intended for Russell Gage (defended by Jaylen Watson),0.72,0.04,4.0,2022,63
3.0,10:43,3.0,10.0,TAM 35,31.0,17.0,Tom Brady pass incomplete short left intended for Chris Godwin (defended by Juan Thornhill),0.04,-1.04,4.0,2022,63
3.0,10:38,4.0,10.0,TAM 35,31.0,17.0,Jake Camarda punts 30 yards out of bounds,-1.04,-1.27,4.0,2022,63
3.0,10:31,1.0,10.0,KAN 35,31.0,17.0,Clyde Edwards-Helaire left tackle for 2 yards (tackle by Anthony Nelson and Vita Vea),1.27,0.99,4.0,2022,63
3.0,9:56,2.0,8.0,KAN 37,31.0,17.0,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 9 yards (tackle by Lavonte David),0.99,1.99,4.0,2022,63
3.0,9:24,1.0,10.0,KAN 46,31.0,17.0,Isiah Pacheco left end for 3 yards (tackle by Antoine Winfield and Mike Edwards),1.99,1.86,4.0,2022,63
3.0,8:41,2.0,7.0,KAN 49,31.0,17.0,Patrick Mahomes pass complete short right to Marquez Valdes-Scantling for 25 yards (tackle by Mike Edwards),1.86,3.84,4.0,2022,63
3.0,7:56,1.0,10.0,TAM 26,31.0,17.0,Patrick Mahomes pass incomplete deep left intended for Justin Watson,3.84,3.3,4.0,2022,63
3.0,7:50,2.0,10.0,TAM 26,31.0,17.0,Clyde Edwards-Helaire right guard for 5 yards (tackle by Devin White),3.3,3.27,4.0,2022,63
3.0,7:10,3.0,5.0,TAM 21,31.0,17.0,Patrick Mahomes pass complete short right to Skyy Moore for 16 yards (tackle by Carlton Davis),3.27,6.06,4.0,2022,63
3.0,6:29,1.0,5.0,TAM 5,31.0,17.0,Patrick Mahomes sacked by Anthony Nelson for -5 yards,6.06,4.19,4.0,2022,63
3.0,5:46,2.0,10.0,TAM 10,37.0,17.0,"Patrick Mahomes pass complete short right to Jody Fortson for 10 yards, touchdown",4.19,7.0,4.0,2022,63
3.0,5:42,,,TAM 15,38.0,17.0,Matthew Wright kicks extra point good,0.0,0.0,4.0,2022,63
3.0,5:42,,,KAN 35,38.0,17.0,"Matthew Wright kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,63
3.0,5:42,1.0,10.0,TAM 25,38.0,17.0,Tom Brady pass complete short right to Mike Evans for 7 yards (tackle by L'Jarius Sneed),0.61,1.01,4.0,2022,63
3.0,5:15,2.0,3.0,TAM 32,38.0,17.0,Rachaad White right guard for 4 yards (tackle by Chris Jones),1.01,1.33,4.0,2022,63
3.0,4:39,1.0,10.0,TAM 36,38.0,17.0,"Tom Brady pass complete short right to Mike Evans for 15 yards (tackle by Jaylen Watson). Penalty on Jaylen Watson: Defensive Pass Interference, 15 yards (declined)",1.33,2.32,4.0,2022,63
3.0,4:17,1.0,10.0,KAN 49,38.0,17.0,Tom Brady pass complete short right to Cade Otton for 6 yards (tackle by Jaylen Watson),2.32,2.59,4.0,2022,63
3.0,3:44,2.0,4.0,KAN 43,38.0,17.0,Tom Brady pass complete short left to Chris Godwin for 2 yards (tackle by Rashad Fenton),2.59,2.15,4.0,2022,63
3.0,3:12,3.0,2.0,KAN 41,38.0,17.0,Tom Brady pass complete short right to Rachaad White for 9 yards (tackle by Juan Thornhill and L'Jarius Sneed),2.15,3.45,4.0,2022,63
3.0,2:34,1.0,10.0,KAN 32,38.0,17.0,Tom Brady pass complete short middle to Rachaad White for 9 yards (tackle by L'Jarius Sneed and Bryan Cook),3.45,4.12,4.0,2022,63
3.0,1:54,2.0,1.0,KAN 23,38.0,17.0,Tom Brady pass complete deep right to Ko Kieft for 19 yards (tackle by Jaylen Watson),4.12,6.28,4.0,2022,63
3.0,1:15,1.0,4.0,KAN 4,38.0,17.0,"Tom Brady pass incomplete short middle intended for Mike Evans. Penalty on Juan Thornhill: Personal Foul / Defense, 2 yards (accepted) (no play)",6.28,6.74,4.0,2022,63
3.0,1:08,1.0,2.0,KAN 2,38.0,17.0,Rachaad White up the middle for 1 yard (tackle by Derrick Nnadi),6.74,5.91,4.0,2022,63
3.0,0:58,2.0,1.0,KAN 1,38.0,17.0,Tom Brady pass incomplete short left intended for Mike Evans,5.91,5.17,4.0,2022,63
3.0,0:47,3.0,1.0,KAN 1,38.0,23.0,"Rachaad White right tackle for 1 yard, touchdown",5.17,7.0,4.0,2022,63
3.0,0:44,,,KAN 15,38.0,24.0,Ryan Succop kicks extra point good,0.0,0.0,4.0,2022,63
3.0,0:44,,,TAM 35,38.0,24.0,"Jake Camarda kicks off 60 yards, out of bounds",0.0,1.6,4.0,2022,63
3.0,0:44,1.0,10.0,KAN 40,38.0,24.0,Clyde Edwards-Helaire up the middle for 5 yards (tackle by Joe Tryon-Shoyinka and Vita Vea),1.6,1.73,4.0,2022,63
4.0,15:00,2.0,5.0,KAN 45,38.0,24.0,Patrick Mahomes pass complete short middle to Travis Kelce for 5 yards (tackle by Mike Edwards),1.73,2.26,4.0,2022,63
4.0,14:28,1.0,10.0,TAM 50,38.0,24.0,Patrick Mahomes sacked by Mike Edwards for -5 yards,2.26,1.04,4.0,2022,63
4.0,13:43,2.0,15.0,KAN 45,38.0,24.0,Patrick Mahomes scrambles right end for 11 yards (tackle by Joe Tryon-Shoyinka),1.04,1.82,4.0,2022,63
4.0,13:03,3.0,4.0,TAM 44,38.0,24.0,Patrick Mahomes pass complete deep middle to Travis Kelce for 22 yards (tackle by Devin White),1.82,4.11,4.0,2022,63
4.0,12:23,1.0,10.0,TAM 22,38.0,24.0,Isiah Pacheco right guard for 6 yards (tackle by Devin White),4.11,4.46,4.0,2022,63
4.0,11:43,2.0,4.0,TAM 16,38.0,24.0,Isiah Pacheco up the middle for 2 yards (tackle by Deadrin Senat and Carl Nassib),4.46,4.15,4.0,2022,63
4.0,10:56,,,,,,Timeout #1 by Kansas City Chiefs,,,4.0,2022,63
4.0,10:56,3.0,2.0,TAM 14,38.0,24.0,Patrick Mahomes pass incomplete short middle intended for Marquez Valdes-Scantling,4.15,2.63,4.0,2022,63
4.0,10:51,4.0,2.0,TAM 14,41.0,24.0,Matthew Wright 32 yard field goal good,2.63,3.0,4.0,2022,63
4.0,10:47,,,KAN 35,41.0,24.0,"Matthew Wright kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,63
4.0,10:47,1.0,10.0,TAM 25,41.0,24.0,Tom Brady pass complete short right to Chris Godwin for 6 yards (tackle by L'Jarius Sneed and Khalen Saunders),0.61,0.87,4.0,2022,63
4.0,10:21,2.0,4.0,TAM 31,41.0,24.0,"Tom Brady pass complete short right to Cade Otton for 12 yards (tackle by Jaylen Watson). Penalty on Frank Clark: Defensive Offside, 5 yards (declined)",0.87,1.8,4.0,2022,63
4.0,10:01,1.0,10.0,TAM 43,41.0,24.0,Tom Brady pass complete short right to Leonard Fournette for 1 yard (tackle by Justin Reid and Nick Bolton),1.8,1.39,4.0,2022,63
4.0,9:39,2.0,9.0,TAM 44,41.0,24.0,Tom Brady pass complete short left to Leonard Fournette for 3 yards (tackle by L'Jarius Sneed),1.39,1.09,4.0,2022,63
4.0,9:13,3.0,6.0,TAM 47,41.0,24.0,"Tom Brady pass complete to Russell Gage for no gain. Penalty on Chris Godwin: Offensive Pass Interference, 10 yards (accepted) (no play)",1.09,-0.23,4.0,2022,63
4.0,9:09,3.0,16.0,TAM 37,41.0,24.0,"Tom Brady pass complete to Chris Godwin for no gain. Penalty on Luke Goedeke: Offensive Holding, 10 yards (accepted) (no play)",-0.23,-1.55,4.0,2022,63
4.0,8:55,3.0,26.0,TAM 27,41.0,24.0,Tom Brady pass complete short right to Cole Beasley for 5 yards (tackle by Tershawn Wharton),-1.55,-1.24,4.0,2022,63
4.0,7:58,4.0,21.0,TAM 32,41.0,24.0,"Jake Camarda punts 46 yards, returned by Skyy Moore for 12 yards (tackle by Sean Murphy-Bunting and Zach Triner)",-1.24,-1.2,4.0,2022,63
4.0,7:48,1.0,10.0,KAN 34,41.0,24.0,Clyde Edwards-Helaire right end for 8 yards (tackle by Keanu Neal),1.2,1.74,4.0,2022,63
4.0,7:06,2.0,2.0,KAN 42,41.0,24.0,Clyde Edwards-Helaire left tackle for 3 yards (tackle by Jamel Dean),1.74,1.93,4.0,2022,63
4.0,6:24,1.0,10.0,KAN 45,41.0,24.0,Clyde Edwards-Helaire right guard for 3 yards (tackle by Antoine Winfield and Carl Nassib),1.93,1.79,4.0,2022,63
4.0,5:39,2.0,7.0,KAN 48,41.0,24.0,Patrick Mahomes pass complete short right to Marquez Valdes-Scantling for 2 yards (tackle by Lavonte David),1.79,1.36,4.0,2022,63
4.0,4:59,3.0,5.0,TAM 50,41.0,24.0,Patrick Mahomes pass deep right intended for JuJu Smith-Schuster is intercepted by Sean Murphy-Bunting at TB-33 and returned for 33 yards (tackle by Patrick Mahomes),1.36,-3.31,4.0,2022,63
4.0,4:42,1.0,10.0,KAN 34,41.0,24.0,Tom Brady pass complete short left to Leonard Fournette for 13 yards (tackle by Bryan Cook),3.31,4.17,4.0,2022,63
4.0,4:18,1.0,10.0,KAN 21,41.0,24.0,Tom Brady pass incomplete short right intended for Russell Gage,4.17,3.63,4.0,2022,63
4.0,4:12,2.0,10.0,KAN 21,41.0,24.0,Tom Brady pass complete short middle to Mike Evans for 9 yards (tackle by Bryan Cook),3.63,4.49,4.0,2022,63
4.0,3:54,3.0,1.0,KAN 12,41.0,24.0,Tom Brady pass complete to Chris Godwin for 7 yards (tackle by Nick Bolton),4.49,6.06,4.0,2022,63
4.0,3:35,1.0,5.0,KAN 5,41.0,30.0,"Tom Brady pass complete short left to Leonard Fournette for 5 yards, touchdown",6.06,7.0,4.0,2022,63
4.0,3:30,,,KAN 15,41.0,31.0,Ryan Succop kicks extra point good,0.0,0.0,4.0,2022,63
4.0,3:30,,,TAM 35,41.0,31.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,63
4.0,3:30,1.0,10.0,KAN 25,41.0,31.0,Clyde Edwards-Helaire left tackle for 8 yards (tackle by Devin White),0.61,1.14,4.0,2022,63
