Quarter,Time,Down,ToGo,Location,CHI,NYG,Detail,EPB,EPA,week,year,game_id
2.0,6:46,3.0,9.0,CHI 27,6.0,7.0,Daniel Jones pass complete short right to Saquon Barkley for 15 yards (tackle by Jaylon Jones),2.61,4.78,4.0,2022,53
2.0,5:59,1.0,10.0,CHI 12,6.0,7.0,Matt Breida right tackle for 4 yards (tackle by Kindle Vildor and Roquan Smith),4.78,4.83,4.0,2022,53
2.0,5:24,2.0,6.0,CHI 8,6.0,13.0,"Daniel Jones scrambles left end for 8 yards, touchdown",4.83,7.0,4.0,2022,53
2.0,5:17,,,CHI 15,6.0,14.0,Graham Gano kicks extra point good,0.0,0.0,4.0,2022,53
2.0,5:17,,,NYG 35,6.0,14.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,53
2.0,5:17,1.0,10.0,CHI 25,6.0,14.0,Khalil Herbert up the middle for 4 yards (tackle by Jihad Ward),0.61,0.6,4.0,2022,53
2.0,4:40,2.0,6.0,CHI 29,6.0,14.0,"Justin Fields pass complete to Darnell Mooney for 21 yards NYG challenged the pass completion ruling, and the original play was overturned. Justin Fields pass incomplete deep left intended for Darnell Mooney",0.6,-0.1,4.0,2022,53
2.0,4:35,3.0,6.0,CHI 29,6.0,14.0,Justin Fields sacked by Dexter Lawrence for -9 yards,-0.1,-2.03,4.0,2022,53
2.0,4:01,4.0,15.0,CHI 20,6.0,14.0,"Trenton Gill punts 50 yards, returned by Richie James for 5 yards. Richie James fumbles (forced by Josh Blackwell), recovered by Josh Blackwell at NYG-35 (tackle by Josh Blackwell)",-2.03,3.25,4.0,2022,53
2.0,3:48,1.0,10.0,NYG 35,6.0,14.0,Khalil Herbert up the middle for no gain (tackle by Nick Williams and Tae Crowder),3.25,2.7,4.0,2022,53
2.0,3:15,2.0,10.0,NYG 35,6.0,14.0,Justin Fields pass incomplete short right intended for Dante Pettis (defended by Nick Williams),2.7,2.01,4.0,2022,53
2.0,3:11,3.0,10.0,NYG 35,6.0,14.0,Justin Fields scrambles right guard for 12 yards (tackle by Tae Crowder),2.01,4.04,4.0,2022,53
2.0,2:36,1.0,10.0,NYG 23,6.0,14.0,Justin Fields pass incomplete deep right intended for Equanimeous St. Brown (defended by Fabian Moreau),4.04,3.5,4.0,2022,53
2.0,2:33,2.0,10.0,NYG 23,6.0,14.0,Khalil Herbert right guard for no gain (tackle by Nick Williams and Darnay Holmes),3.5,2.81,4.0,2022,53
2.0,2:00,3.0,10.0,NYG 23,6.0,14.0,"Penalty on Braxton Jones: False Start, 5 yards (accepted) (no play)",2.81,2.15,4.0,2022,53
2.0,2:00,3.0,15.0,NYG 28,6.0,14.0,Justin Fields pass complete to Cole Kmet for 6 yards (tackle by Tae Crowder and Dexter Lawrence),2.15,1.99,4.0,2022,53
2.0,1:49,,,,,,Timeout #1 by New York Giants,,,4.0,2022,53
2.0,1:49,4.0,9.0,NYG 22,9.0,14.0,Michael Badgley 40 yard field goal good,1.99,3.0,4.0,2022,53
2.0,1:44,,,CHI 35,9.0,14.0,"Trenton Gill kicks off 66 yards, returned by Gary Brightwell for 19 yards (tackle by Jaylon Jones)",0.0,0.04,4.0,2022,53
2.0,1:40,1.0,10.0,NYG 18,9.0,14.0,Saquon Barkley up the middle for 6 yards (tackle by Jaylon Jones and Angelo Blackson),0.04,0.41,4.0,2022,53
2.0,1:20,2.0,4.0,NYG 24,9.0,14.0,Saquon Barkley right guard for 3 yards (tackle by Justin Jones and Robert Quinn),0.41,-0.02,4.0,2022,53
2.0,1:08,,,,,,Timeout #1 by Chicago Bears,,,4.0,2022,53
2.0,1:08,3.0,1.0,NYG 27,9.0,14.0,Daniel Jones right end for 7 yards (tackle by Jaquan Brisker),-0.02,1.2,4.0,2022,53
2.0,1:02,1.0,10.0,NYG 34,9.0,14.0,Daniel Jones pass incomplete short right intended for Tanner Hudson,1.2,0.66,4.0,2022,53
2.0,0:55,2.0,10.0,NYG 34,9.0,14.0,Saquon Barkley for 4 yards (tackle by Angelo Blackson),0.66,0.5,4.0,2022,53
2.0,0:50,,,,,,Timeout #2 by Chicago Bears,,,4.0,2022,53
2.0,0:50,3.0,6.0,NYG 38,9.0,14.0,Daniel Jones pass complete short right to David Sills for 5 yards (tackle by Kindle Vildor and Jaquan Brisker),0.5,-0.52,4.0,2022,53
2.0,0:44,,,,,,Timeout #3 by Chicago Bears,,,4.0,2022,53
2.0,0:44,4.0,1.0,NYG 43,9.0,14.0,"Jamie Gillan punts 57 yards, touchback.",-0.52,-0.28,4.0,2022,53
2.0,0:36,1.0,10.0,CHI 20,9.0,14.0,"Justin Fields scrambles for 2 yards (tackle by Micah McFadden). Penalty on Dane Belton: Illegal Contact, 5 yards (accepted)",0.28,0.74,4.0,2022,53
2.0,0:29,1.0,10.0,CHI 27,9.0,14.0,Justin Fields scrambles left end for 2 yards (tackle by Kayvon Thibodeaux),0.74,0.47,4.0,2022,53
2.0,0:23,2.0,8.0,CHI 29,9.0,14.0,Justin Fields sacked by Dexter Lawrence for no gain,0.47,-0.23,4.0,2022,53
3.0,15:00,,,NYG 35,9.0,14.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,53
3.0,15:00,1.0,10.0,CHI 25,9.0,14.0,Justin Fields pass complete short right to Trevon Wesco for 23 yards (tackle by Jaylon Smith),0.61,2.13,4.0,2022,53
3.0,14:23,1.0,10.0,CHI 48,9.0,14.0,Trestan Ebner right end for -1 yards (tackle by Adoree' Jackson),2.13,1.45,4.0,2022,53
3.0,13:50,2.0,11.0,CHI 47,9.0,14.0,Trestan Ebner right end for 2 yards (tackle by Tae Crowder),1.45,1.02,4.0,2022,53
3.0,13:07,3.0,9.0,CHI 49,9.0,14.0,Justin Fields pass complete to Darnell Mooney for 18 yards (tackle by Dane Belton),1.02,3.38,4.0,2022,53
3.0,12:32,1.0,10.0,NYG 33,9.0,14.0,Khalil Herbert left tackle for 15 yards (tackle by Darnay Holmes),3.38,4.37,4.0,2022,53
3.0,12:05,1.0,10.0,NYG 18,9.0,14.0,Khalil Herbert up the middle for 4 yards (tackle by Jihad Ward),4.37,4.43,4.0,2022,53
3.0,11:45,2.0,6.0,NYG 14,9.0,14.0,Justin Fields pass incomplete short right intended for Equanimeous St. Brown,4.43,3.63,4.0,2022,53
3.0,11:40,3.0,6.0,NYG 14,9.0,14.0,Justin Fields pass complete to Cole Kmet for -3 yards (tackle by Jaylon Smith),3.63,2.31,4.0,2022,53
3.0,11:05,4.0,9.0,NYG 17,12.0,14.0,Michael Badgley 35 yard field goal good,2.31,3.0,4.0,2022,53
3.0,11:02,,,CHI 35,12.0,14.0,"Trenton Gill kicks off 66 yards, returned by Gary Brightwell for 14 yards (tackle by Sterling Weatherford and DeAndre Houston-Carson)",0.0,-0.32,4.0,2022,53
3.0,10:54,1.0,10.0,NYG 13,12.0,14.0,Saquon Barkley left guard for 2 yards (tackle by Justin Jones and Armon Watts),-0.32,-0.57,4.0,2022,53
3.0,10:33,2.0,8.0,NYG 15,12.0,14.0,"Penalty on Justin Jones: Defensive Offside, 5 yards (accepted) (no play)",-0.57,0.22,4.0,2022,53
3.0,10:15,2.0,3.0,NYG 20,12.0,14.0,"Daniel Jones pass complete to Daniel Bellinger for no gain. Penalty on Mark Glowinski: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.22,-0.57,4.0,2022,53
3.0,9:44,2.0,8.0,NYG 15,12.0,14.0,Saquon Barkley right end for 1 yard (tackle by Joe Thomas and Roquan Smith),-0.57,-1.06,4.0,2022,53
3.0,8:59,3.0,7.0,NYG 16,12.0,14.0,Daniel Jones pass complete short left to Richie James for 9 yards (tackle by Roquan Smith),-1.06,0.61,4.0,2022,53
3.0,8:18,1.0,10.0,NYG 25,12.0,14.0,Saquon Barkley up the middle for 4 yards (tackle by Mike Pennel),0.61,0.6,4.0,2022,53
3.0,7:44,2.0,6.0,NYG 29,12.0,14.0,Daniel Jones pass complete short right to Saquon Barkley for 1 yard (tackle by Kindle Vildor),0.6,0.04,4.0,2022,53
3.0,6:59,3.0,5.0,NYG 30,12.0,14.0,Daniel Jones pass incomplete short middle intended for Richie James,0.04,-1.37,4.0,2022,53
3.0,6:55,4.0,5.0,NYG 30,12.0,14.0,"Jamie Gillan punts, returned by Velus Jones for no gain. Penalty on Jason Pinnock: Player Out of Bounds on a Punt, 5 yards (accepted) (no play)",-1.37,-1.7,4.0,2022,53
3.0,6:45,4.0,10.0,NYG 25,12.0,14.0,"Jamie Gillan punts 55 yards, returned by Velus Jones for 19 yards (tackle by Matt Breida)",-1.7,-1.53,4.0,2022,53
3.0,6:32,1.0,10.0,CHI 39,12.0,14.0,"Khalil Herbert for no gain. Penalty on Cole Kmet: Offensive Holding, 10 yards (accepted) (no play)",1.53,0.87,4.0,2022,53
3.0,6:12,1.0,20.0,CHI 29,12.0,14.0,Justin Fields scrambles left end for 5 yards (tackle by Jaylon Smith),0.87,0.31,4.0,2022,53
3.0,5:26,2.0,15.0,CHI 34,12.0,14.0,Khalil Herbert left tackle for 4 yards (tackle by Kayvon Thibodeaux and Nick Williams),0.31,0.17,4.0,2022,53
3.0,4:41,3.0,11.0,CHI 38,12.0,14.0,Justin Fields pass incomplete short right,0.17,-0.85,4.0,2022,53
3.0,4:32,4.0,11.0,CHI 38,12.0,14.0,"Trenton Gill punts 48 yards, fair catch by Richie James at NYG-14",-0.85,0.28,4.0,2022,53
3.0,4:23,1.0,10.0,NYG 14,12.0,14.0,"Daniel Jones pass incomplete intended for Daniel Bellinger. Penalty on Kyler Gordon: Illegal Contact, 5 yards (accepted) (no play)",-0.28,0.15,4.0,2022,53
3.0,4:16,1.0,10.0,NYG 19,12.0,14.0,Daniel Jones left end for 19 yards (tackle by Eddie Jackson),0.15,1.47,4.0,2022,53
3.0,3:43,1.0,10.0,NYG 38,12.0,14.0,"Daniel Jones pass incomplete intended for Darius Slayton. Penalty on Kyler Gordon: Defensive Pass Interference, 40 yards (accepted) (no play)",1.47,4.11,4.0,2022,53
3.0,3:35,1.0,10.0,CHI 22,12.0,14.0,Daniel Jones sacked by Jaquan Brisker for -11 yards,4.11,2.08,4.0,2022,53
3.0,2:53,2.0,21.0,CHI 33,12.0,14.0,Saquon Barkley left guard for 5 yards (tackle by Nicholas Morrow),2.08,2.08,4.0,2022,53
3.0,2:19,3.0,16.0,CHI 28,12.0,14.0,Saquon Barkley up the middle for 2 yards (tackle by Roquan Smith),2.08,1.74,4.0,2022,53
3.0,1:37,4.0,14.0,CHI 26,12.0,17.0,Graham Gano 44 yard field goal good,1.74,3.0,4.0,2022,53
3.0,1:33,,,NYG 35,12.0,17.0,"Graham Gano kicks off 63 yards, returned by Velus Jones for 22 yards (tackle by Xavier McKinney)",0.0,0.54,4.0,2022,53
3.0,1:27,1.0,10.0,CHI 24,12.0,17.0,Trestan Ebner left end for 6 yards (tackle by Kayvon Thibodeaux),0.54,0.81,4.0,2022,53
3.0,1:00,2.0,4.0,CHI 30,12.0,17.0,Justin Fields pass incomplete short right intended for Trevon Wesco,0.81,0.1,4.0,2022,53
3.0,0:50,3.0,4.0,CHI 30,12.0,17.0,Justin Fields pass incomplete deep left intended for Dante Pettis (defended by Fabian Moreau),0.1,-1.37,4.0,2022,53
3.0,0:45,4.0,4.0,CHI 30,12.0,17.0,"Trenton Gill punts 56 yards, fair catch by Richie James at NYG-14",-1.37,0.28,4.0,2022,53
3.0,0:38,1.0,10.0,NYG 14,12.0,17.0,Saquon Barkley right guard for -1 yards (tackle by Justin Jones and Eddie Jackson),-0.28,-0.85,4.0,2022,53
4.0,15:00,2.0,11.0,NYG 13,12.0,17.0,Saquon Barkley right tackle for 9 yards (tackle by Nicholas Morrow),-0.85,-0.44,4.0,2022,53
4.0,14:21,3.0,2.0,NYG 22,12.0,17.0,Tyrod Taylor right end for 13 yards (tackle by Al-Quadin Muhammad and Eddie Jackson),-0.44,1.27,4.0,2022,53
4.0,13:45,1.0,10.0,NYG 35,12.0,17.0,"Tyrod Taylor pass intended for Darius Slayton is intercepted by Eddie Jackson at CHI-7 and returned for -3 yards (tackle by Darius Slayton). Penalty on Devery Hamilton: Offensive Holding, 10 yards (declined)",1.27,0.38,4.0,2022,53
4.0,13:33,1.0,10.0,CHI 4,12.0,17.0,Khalil Herbert up the middle for 5 yards (tackle by Dexter Lawrence and Fabian Moreau),-0.38,-0.42,4.0,2022,53
4.0,13:04,2.0,5.0,CHI 9,12.0,17.0,Khalil Herbert left tackle for 2 yards (tackle by Tomon Fox),-0.42,-0.6,4.0,2022,53
4.0,12:26,3.0,3.0,CHI 11,12.0,17.0,Justin Fields pass incomplete short left,-0.6,-2.49,4.0,2022,53
4.0,12:18,4.0,3.0,CHI 11,12.0,17.0,"Trenton Gill punts 58 yards, returned by Richie James for no gain (tackle by Jack Sanborn). Penalty on Justin Layne: Offensive Holding, 10 yards (accepted)",-2.49,-0.34,4.0,2022,53
4.0,12:05,1.0,10.0,NYG 21,12.0,17.0,Saquon Barkley right guard for 3 yards (tackle by Mike Pennel and Joe Thomas),0.34,0.21,4.0,2022,53
4.0,11:32,2.0,7.0,NYG 24,12.0,17.0,Saquon Barkley left guard for 3 yards (tackle by Angelo Blackson),0.21,-0.1,4.0,2022,53
4.0,11:01,3.0,4.0,NYG 27,12.0,17.0,Tyrod Taylor scrambles left end for 9 yards (tackle by Jaquan Brisker),-0.1,1.33,4.0,2022,53
4.0,10:23,1.0,10.0,NYG 36,12.0,17.0,Saquon Barkley up the middle for -1 yards (tackle by Justin Jones and Trevis Gipson),1.33,0.66,4.0,2022,53
4.0,9:52,2.0,11.0,NYG 35,12.0,17.0,Tyrod Taylor pass complete short left to Darius Slayton for 11 yards (tackle by Roquan Smith),0.66,1.99,4.0,2022,53
4.0,9:31,1.0,10.0,NYG 46,12.0,17.0,Saquon Barkley right end for 3 yards (tackle by Kindle Vildor),1.99,1.86,4.0,2022,53
4.0,9:02,2.0,7.0,NYG 49,12.0,17.0,Tyrod Taylor pass incomplete short middle intended for David Sills,1.86,1.16,4.0,2022,53
4.0,8:15,3.0,7.0,NYG 49,12.0,17.0,Tyrod Taylor scrambles for 8 yards. Tyrod Taylor fumbles out of bounds. Tyrod Taylor fumbles (forced by Kyler Gordon),1.16,2.72,4.0,2022,53
4.0,8:22,1.0,10.0,CHI 43,12.0,17.0,Matt Breida right end for 13 yards (tackle by Eddie Jackson),2.72,3.58,4.0,2022,53
4.0,7:42,1.0,10.0,CHI 30,12.0,17.0,Saquon Barkley left guard for 4 yards (tackle by Nicholas Morrow),3.58,3.57,4.0,2022,53
4.0,6:58,2.0,6.0,CHI 26,12.0,17.0,Matt Breida right end for 1 yard (tackle by Nicholas Morrow),3.57,3.01,4.0,2022,53
4.0,6:16,,,,,,Timeout #1 by New York Giants,,,4.0,2022,53
4.0,6:16,3.0,5.0,CHI 25,12.0,17.0,Gary Brightwell right tackle for no gain (tackle by Dominique Robinson and Al-Quadin Muhammad),3.01,1.85,4.0,2022,53
4.0,5:34,4.0,5.0,CHI 25,12.0,20.0,Graham Gano 43 yard field goal good,1.85,3.0,4.0,2022,53
4.0,5:31,,,NYG 35,12.0,20.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,53
4.0,5:31,1.0,10.0,CHI 25,12.0,20.0,Khalil Herbert left end for 12 yards (tackle by Dane Belton),0.61,1.4,4.0,2022,53
4.0,5:00,1.0,10.0,CHI 37,12.0,20.0,Khalil Herbert right guard for 6 yards (tackle by Jaylon Smith and Fabian Moreau),1.4,1.67,4.0,2022,53
4.0,4:30,2.0,4.0,CHI 43,12.0,20.0,Justin Fields pass complete short left to Darnell Mooney for 2 yards (tackle by Adoree' Jackson),1.67,1.22,4.0,2022,53
4.0,3:54,3.0,2.0,CHI 45,12.0,20.0,Khalil Herbert right guard for no gain (tackle by Tae Crowder and Nick Williams),1.22,-0.39,4.0,2022,53
4.0,3:16,4.0,2.0,CHI 45,12.0,20.0,Trenton Gill punts 52 yards downed by Jaylon Jones,-0.39,0.38,4.0,2022,53
4.0,3:04,1.0,10.0,NYG 3,12.0,20.0,Saquon Barkley up the middle for 1 yard (tackle by Trevis Gipson),-0.38,-0.71,4.0,2022,53
4.0,2:59,,,,,,Timeout #1 by Chicago Bears,,,4.0,2022,53
4.0,2:59,2.0,9.0,NYG 4,12.0,20.0,Saquon Barkley left tackle for no gain (tackle by Roquan Smith),-0.71,-1.3,4.0,2022,53
4.0,2:55,,,,,,Timeout #2 by Chicago Bears,,,4.0,2022,53
4.0,2:55,3.0,9.0,NYG 4,12.0,20.0,Saquon Barkley right tackle for 3 yards (tackle by Armon Watts),-1.3,-2.49,4.0,2022,53
4.0,2:14,4.0,6.0,NYG 7,12.0,20.0,"Jamie Gillan punts 59 yards, recovered by Gary Brightwell at CHI-37. Penalty on Sterling Weatherford: Offensive Holding, 10 yards (declined)",-2.49,3.12,4.0,2022,53
4.0,2:01,1.0,10.0,CHI 37,12.0,20.0,Saquon Barkley up the middle for 13 yards (tackle by Joe Thomas and Al-Quadin Muhammad),3.12,3.97,4.0,2022,53
4.0,1:56,1.0,10.0,CHI 24,12.0,20.0,Saquon Barkley right tackle for 5 yards (tackle by Al-Quadin Muhammad and Angelo Blackson),3.97,4.12,4.0,2022,53
4.0,1:50,,,,,,Timeout #3 by Chicago Bears,,,4.0,2022,53
4.0,1:50,2.0,5.0,CHI 19,12.0,20.0,Saquon Barkley right tackle for no gain (tackle by Mike Pennel and Angelo Blackson),4.12,3.41,4.0,2022,53
4.0,1:08,3.0,5.0,CHI 19,12.0,20.0,Saquon Barkley right guard for no gain (tackle by Mike Pennel and Dominique Robinson),3.41,2.24,4.0,2022,53
4.0,0:21,,,,,,Timeout #2 by New York Giants,,,4.0,2022,53
4.0,0:21,4.0,5.0,CHI 19,12.0,20.0,Graham Gano 37 yard field goal no good,2.24,-0.74,4.0,2022,53
4.0,0:17,1.0,10.0,CHI 27,12.0,20.0,Justin Fields pass complete short left to Trestan Ebner for 6 yards,0.74,1.01,4.0,2022,53
4.0,0:08,2.0,4.0,CHI 33,12.0,20.0,Justin Fields sacked,1.01,0.3,4.0,2022,53
4.0,0:03,,,,,,Timeout #3 by New York Giants,,,4.0,2022,53
