Quarter,Time,Down,ToGo,Location,MIN,NOR,Detail,EPB,EPA,week,year,game_id
1.0,0:16,2.0,8.0,MIN 47,7.0,0.0,Kirk Cousins pass intended for Irv Smith is intercepted by Tyrann Mathieu at NO-37 and returned for 3 yards,1.65,-1.6,4.0,2022,50
1.0,0:10,1.0,10.0,NOR 40,7.0,0.0,Latavius Murray left guard for 7 yards (tackle by Jordan Hicks and Eric Kendricks),1.6,2.0,4.0,2022,50
2.0,15:00,2.0,3.0,NOR 47,7.0,0.0,Taysom Hill left guard for 4 yards (tackle by D.J. Wonnum),2.0,2.32,4.0,2022,50
2.0,14:27,1.0,10.0,MIN 49,7.0,0.0,Latavius Murray left guard for 5 yards (tackle by D.J. Wonnum),2.32,2.46,4.0,2022,50
2.0,13:53,2.0,5.0,MIN 44,7.0,0.0,Latavius Murray left end for -3 yards (tackle by D.J. Wonnum and James Lynch),2.46,1.36,4.0,2022,50
2.0,13:16,3.0,8.0,MIN 47,7.0,0.0,Andy Dalton pass complete short left to Chris Olave for 11 yards (tackle by Cameron Dantzler),1.36,3.18,4.0,2022,50
2.0,12:40,1.0,10.0,MIN 36,7.0,0.0,Andy Dalton pass complete short right to Juwan Johnson for 13 yards (tackle by Camryn Bynum),3.18,4.04,4.0,2022,50
2.0,12:06,1.0,10.0,MIN 23,7.0,0.0,Taysom Hill left tackle for 2 yards (tackle by Cameron Dantzler and Eric Kendricks),4.04,3.77,4.0,2022,50
2.0,11:35,2.0,8.0,MIN 21,7.0,0.0,Andy Dalton pass complete short left to Jarvis Landry for 6 yards (tackle by Cameron Dantzler),3.77,4.17,4.0,2022,50
2.0,10:54,3.0,1.0,MIN 15,7.0,0.0,Mark Ingram right guard for 5 yards (tackle by Jordan Hicks and Troy Dye),4.17,4.91,4.0,2022,50
2.0,10:18,1.0,10.0,MIN 10,7.0,0.0,Mark Ingram up the middle for 2 yards (tackle by Chandon Sullivan and D.J. Wonnum),4.91,4.57,4.0,2022,50
2.0,9:43,2.0,8.0,MIN 8,7.0,0.0,Andy Dalton pass complete short middle to Mark Ingram for 4 yards (tackle by Jordan Hicks),4.57,4.49,4.0,2022,50
2.0,9:03,3.0,4.0,MIN 4,7.0,6.0,"Andy Dalton pass complete short middle to Chris Olave for 4 yards, touchdown Replay Assistant challenged the pass completion ruling, and the play was upheld.",4.49,7.0,4.0,2022,50
2.0,8:57,,,MIN 15,7.0,7.0,Wil Lutz kicks extra point good,0.0,0.0,4.0,2022,50
2.0,8:57,,,NOR 35,7.0,7.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,50
2.0,8:57,1.0,10.0,MIN 25,7.0,7.0,Dalvin Cook right tackle for 2 yards (tackle by Pete Werner),0.61,0.33,4.0,2022,50
2.0,8:33,2.0,8.0,MIN 27,7.0,7.0,Kirk Cousins pass complete short middle to Adam Thielen for 16 yards (tackle by Tyrann Mathieu),0.33,1.8,4.0,2022,50
2.0,7:58,1.0,10.0,MIN 43,7.0,7.0,Dalvin Cook right guard for 5 yards (tackle by Demario Davis),1.8,1.93,4.0,2022,50
2.0,7:31,2.0,5.0,MIN 48,7.0,7.0,Dalvin Cook left guard for 2 yards (tackle by Pete Werner),1.93,1.49,4.0,2022,50
2.0,6:50,3.0,3.0,MIN 50,7.0,7.0,Kirk Cousins sacked by and Cameron Jordan for -7 yards and Marcus Davenport for -7 yards,1.49,-0.52,4.0,2022,50
2.0,6:08,4.0,10.0,MIN 43,7.0,7.0,Ryan Wright punts 51 yards downed by Brian Asamoah,-0.52,0.38,4.0,2022,50
2.0,5:51,1.0,10.0,NOR 6,7.0,7.0,Mark Ingram right guard for 2 yards (tackle by Eric Kendricks and Dalvin Tomlinson),-0.38,-0.63,4.0,2022,50
2.0,5:17,2.0,8.0,NOR 8,7.0,7.0,Mark Ingram right tackle for 5 yards (tackle by Patrick Peterson and Harrison Phillips),-0.63,-0.6,4.0,2022,50
2.0,4:33,3.0,3.0,NOR 13,7.0,7.0,Andy Dalton pass complete short left to Jarvis Landry for 1 yard (tackle by Chandon Sullivan),-0.6,-2.47,4.0,2022,50
2.0,3:51,4.0,2.0,NOR 14,7.0,7.0,"Blake Gillikin punts 42 yards, fair catch by Jalen Reagor at MIN-44",-2.47,-1.86,4.0,2022,50
2.0,3:42,1.0,10.0,MIN 44,7.0,7.0,Kirk Cousins pass incomplete deep right intended for C.J. Ham,1.86,1.32,4.0,2022,50
2.0,3:36,2.0,10.0,MIN 44,7.0,7.0,Dalvin Cook left guard for 2 yards (tackle by Payton Turner and Kentavius Street),1.32,0.89,4.0,2022,50
2.0,2:58,3.0,8.0,MIN 46,7.0,7.0,Kirk Cousins pass complete short middle to Adam Thielen for 10 yards (tackle by Paulson Adebo),0.89,2.65,4.0,2022,50
2.0,2:25,1.0,10.0,NOR 44,7.0,7.0,Kirk Cousins pass complete short left to Justin Jefferson for 14 yards (tackle by Marshon Lattimore),2.65,3.58,4.0,2022,50
2.0,2:01,1.0,10.0,NOR 30,7.0,7.0,Kirk Cousins pass complete middle to Justin Jefferson for 11 yards (tackle by Marshon Lattimore),3.58,4.31,4.0,2022,50
2.0,1:53,1.0,10.0,NOR 19,7.0,7.0,Dalvin Cook up the middle for 8 yards (tackle by Demario Davis and Tyrann Mathieu),4.31,5.14,4.0,2022,50
2.0,1:17,2.0,2.0,NOR 11,7.0,7.0,Dalvin Cook right tackle for 1 yard (tackle by Cameron Jordan),5.14,4.69,4.0,2022,50
2.0,1:10,,,,,,Timeout #1 by New Orleans Saints,,,4.0,2022,50
2.0,1:10,3.0,1.0,NOR 10,7.0,7.0,Kirk Cousins pass incomplete short right intended for Johnny Mundt,4.69,2.91,4.0,2022,50
2.0,1:07,4.0,1.0,NOR 10,10.0,7.0,Greg Joseph 28 yard field goal good,2.91,3.0,4.0,2022,50
2.0,1:04,,,MIN 35,10.0,7.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,50
2.0,1:03,1.0,10.0,NOR 25,10.0,7.0,"Andy Dalton sacked by Dalvin Tomlinson for -5 yards. Andy Dalton fumbles (forced by Dalvin Tomlinson), recovered by Harrison Phillips at NO-20 (tackle by Dalvin Tomlinson)",0.61,-4.24,4.0,2022,50
2.0,0:56,1.0,10.0,NOR 20,10.0,7.0,Kirk Cousins pass complete short right to Justin Jefferson for no gain (tackle by Paulson Adebo),4.24,3.69,4.0,2022,50
2.0,0:22,2.0,10.0,NOR 20,10.0,7.0,Kirk Cousins pass incomplete short right,3.69,3.01,4.0,2022,50
2.0,0:16,3.0,10.0,NOR 20,10.0,7.0,"Penalty on Brian O'Neill: False Start, 5 yards (accepted) (no play)",3.01,2.34,4.0,2022,50
2.0,0:16,3.0,15.0,NOR 25,10.0,7.0,Kirk Cousins pass complete short left to Irv Smith for 7 yards (tackle by Bradley Roby and Marshon Lattimore),2.34,2.25,4.0,2022,50
2.0,0:03,4.0,8.0,NOR 18,13.0,7.0,Greg Joseph 36 yard field goal good,2.25,3.0,4.0,2022,50
3.0,15:00,,,MIN 35,13.0,7.0,"Greg Joseph kicks off 66 yards, returned by Deonte Harty for 21 yards (tackle by Troy Dye)",0.0,0.28,4.0,2022,50
3.0,14:55,1.0,10.0,NOR 20,13.0,7.0,"Andy Dalton pass complete deep middle to Chris Olave for 20 yards (tackle by Camryn Bynum). Penalty on Harrison Smith: Illegal Contact, 5 yards (declined)",0.28,1.6,4.0,2022,50
3.0,14:36,1.0,10.0,NOR 40,13.0,7.0,Mark Ingram left end for -4 yards (tackle by Cameron Dantzler),1.6,0.51,4.0,2022,50
3.0,13:54,2.0,14.0,NOR 36,13.0,7.0,Andy Dalton pass incomplete deep left intended for Marquez Callaway (defended by Cameron Dantzler),0.51,-0.16,4.0,2022,50
3.0,13:49,3.0,14.0,NOR 36,13.0,7.0,Andy Dalton pass complete short left to Mark Ingram for 7 yards (tackle by Josh Metellus and Eric Kendricks),-0.16,-0.52,4.0,2022,50
3.0,13:10,4.0,7.0,NOR 43,13.0,7.0,"Blake Gillikin punts 42 yards, returned by Jalen Reagor for no gain (tackle by J.T. Gray)",-0.52,0.22,4.0,2022,50
3.0,13:00,1.0,10.0,MIN 15,13.0,7.0,Dalvin Cook right guard for 1 yard (tackle by Cameron Jordan and Shy Tuttle),-0.22,-0.58,4.0,2022,50
3.0,12:20,2.0,9.0,MIN 16,13.0,7.0,Kirk Cousins pass incomplete short right intended for Justin Jefferson,-0.58,-1.25,4.0,2022,50
3.0,12:15,3.0,9.0,MIN 16,13.0,7.0,Kirk Cousins pass incomplete short right,-1.25,-2.39,4.0,2022,50
3.0,12:09,4.0,9.0,MIN 16,13.0,7.0,"Ryan Wright punts 42 yards, returned by Deonte Harty for 2 yards. Deonte Harty fumbles (forced by Kris Boyd) (tackle by Josh Metellus), recovered by Kris Boyd at NO-44 (tackle by Kris Boyd) (tackle by Kris Boyd) (tackle by Josh Metellus)",-2.39,2.65,4.0,2022,50
3.0,11:54,1.0,10.0,NOR 44,13.0,7.0,Kirk Cousins pass complete deep right to Justin Jefferson for 41 yards (tackle by Marshon Lattimore),2.65,6.51,4.0,2022,50
3.0,11:08,1.0,3.0,NOR 3,13.0,7.0,"Penalty on MIN: Delay of Game, 5 yards (accepted) (no play)",6.51,5.37,4.0,2022,50
3.0,10:52,1.0,8.0,NOR 8,13.0,7.0,Dalvin Cook right tackle for 1 yard (tackle by Pete Werner),5.37,4.76,4.0,2022,50
3.0,10:14,2.0,7.0,NOR 7,13.0,7.0,Kirk Cousins pass incomplete short right intended for Justin Jefferson,4.76,3.81,4.0,2022,50
3.0,10:09,3.0,7.0,NOR 7,13.0,7.0,Kirk Cousins pass complete short right to Adam Thielen for 1 yard (tackle by Marshon Lattimore),3.81,2.99,4.0,2022,50
3.0,9:26,4.0,6.0,NOR 6,16.0,7.0,Greg Joseph 24 yard field goal good,2.99,3.0,4.0,2022,50
3.0,9:23,,,MIN 35,16.0,7.0,"Greg Joseph kicks off 63 yards, returned by Deonte Harty for 20 yards (tackle by C.J. Ham)",0.0,0.41,4.0,2022,50
3.0,9:14,1.0,10.0,NOR 22,16.0,7.0,Latavius Murray up the middle for 6 yards (tackle by Jonathan Bullard and Danielle Hunter),0.41,0.68,4.0,2022,50
3.0,8:47,2.0,4.0,NOR 28,16.0,7.0,Andy Dalton pass complete short left to Marquez Callaway for 15 yards (tackle by Cameron Dantzler),0.68,1.8,4.0,2022,50
3.0,8:08,1.0,10.0,NOR 43,16.0,7.0,Latavius Murray right tackle for 10 yards (tackle by Jordan Hicks and Camryn Bynum),1.8,2.46,4.0,2022,50
3.0,7:36,1.0,10.0,MIN 47,16.0,7.0,Latavius Murray right end for 6 yards (tackle by Eric Kendricks),2.46,2.72,4.0,2022,50
3.0,7:02,2.0,4.0,MIN 41,16.0,7.0,Andy Dalton pass incomplete short right intended for Juwan Johnson (defended by Patrick Peterson),2.72,2.01,4.0,2022,50
3.0,6:57,3.0,4.0,MIN 41,16.0,7.0,Andy Dalton pass incomplete deep right intended for Chris Olave (defended by Patrick Peterson),2.01,0.53,4.0,2022,50
3.0,6:51,4.0,4.0,MIN 41,16.0,7.0,Andy Dalton pass complete short middle to Marquez Callaway for 5 yards (tackle by Patrick Peterson),0.53,3.18,4.0,2022,50
3.0,6:14,1.0,10.0,MIN 36,16.0,7.0,Taysom Hill left tackle for no gain (tackle by Dalvin Tomlinson and D.J. Wonnum),3.18,2.64,4.0,2022,50
3.0,5:38,2.0,10.0,MIN 36,16.0,7.0,"Penalty on Calvin Throckmorton: False Start, 5 yards (accepted) (no play)",2.64,1.96,4.0,2022,50
3.0,5:20,2.0,15.0,MIN 41,16.0,7.0,Andy Dalton pass complete deep left to Marquez Callaway for 33 yards (tackle by Akayleb Evans),1.96,5.37,4.0,2022,50
3.0,5:05,1.0,8.0,MIN 8,16.0,7.0,Andy Dalton pass complete short left to Juwan Johnson for 4 yards (tackle by Harrison Smith),5.37,5.34,4.0,2022,50
3.0,4:29,2.0,4.0,MIN 4,16.0,7.0,Andy Dalton left end for 3 yards (tackle by Danielle Hunter),5.34,5.17,4.0,2022,50
3.0,3:52,3.0,1.0,MIN 1,16.0,13.0,"Latavius Murray left guard for 1 yard, touchdown",5.17,7.0,4.0,2022,50
3.0,3:49,,,MIN 15,16.0,14.0,Wil Lutz kicks extra point good,0.0,0.0,4.0,2022,50
3.0,3:49,,,NOR 35,16.0,14.0,"Wil Lutz kicks off 68 yards, returned by Kene Nwangwu for 33 yards (tackle by Chase Hansen). Penalty on Andrew Dowell: Unnecessary Roughness / Defense, 15 yards (accepted)",0.0,1.93,4.0,2022,50
3.0,3:42,1.0,10.0,MIN 45,16.0,14.0,Dalvin Cook right end for no gain (tackle by Paulson Adebo),1.93,1.38,4.0,2022,50
3.0,3:16,2.0,10.0,MIN 45,16.0,14.0,Kirk Cousins pass complete short left to Justin Jefferson for 2 yards (tackle by Payton Turner and Marshon Lattimore),1.38,0.96,4.0,2022,50
3.0,2:49,3.0,8.0,MIN 47,16.0,14.0,Kirk Cousins pass complete short middle to Justin Jefferson for 6 yards (tackle by Demario Davis),0.96,0.13,4.0,2022,50
3.0,2:02,4.0,2.0,NOR 47,16.0,14.0,Ryan Wright pass complete short right to Jalen Nailor for 13 yards (tackle by Daniel Sorensen),0.13,3.31,4.0,2022,50
3.0,1:10,1.0,10.0,NOR 34,16.0,14.0,Dalvin Cook right end for 11 yards (tackle by Paulson Adebo),3.31,4.04,4.0,2022,50
3.0,0:47,1.0,10.0,NOR 23,16.0,14.0,"Kirk Cousins pass incomplete short left. Penalty on Kirk Cousins: Intentional Grounding, 10 yards (accepted)",4.04,2.15,4.0,2022,50
3.0,0:41,2.0,20.0,NOR 33,16.0,14.0,"Penalty on Brian O'Neill: False Start, 5 yards (accepted) (no play)",2.15,1.47,4.0,2022,50
3.0,0:41,2.0,25.0,NOR 38,16.0,14.0,Kirk Cousins pass complete short right to Adam Thielen for 4 yards (tackle by Paulson Adebo),1.47,1.35,4.0,2022,50
4.0,15:00,3.0,21.0,NOR 34,16.0,14.0,Dalvin Cook right end for 7 yards (tackle by P.J. Williams),1.35,1.67,4.0,2022,50
4.0,14:19,4.0,14.0,NOR 27,19.0,14.0,Greg Joseph 46 yard field goal good,1.67,3.0,4.0,2022,50
4.0,14:14,,,MIN 35,19.0,14.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,50
4.0,14:14,1.0,10.0,NOR 25,19.0,14.0,Andy Dalton pass complete short right to Latavius Murray for 8 yards (tackle by Patrick Peterson),0.61,1.14,4.0,2022,50
4.0,13:40,2.0,2.0,NOR 33,19.0,14.0,Latavius Murray right guard for 6 yards (tackle by Eric Kendricks),1.14,1.53,4.0,2022,50
4.0,13:11,1.0,10.0,NOR 39,19.0,14.0,Latavius Murray up the middle for 7 yards (tackle by Eric Kendricks),1.53,1.93,4.0,2022,50
4.0,12:38,2.0,3.0,NOR 46,19.0,14.0,Taysom Hill right tackle for 13 yards (tackle by Harrison Smith and Camryn Bynum),1.93,2.85,4.0,2022,50
4.0,12:04,1.0,10.0,MIN 41,19.0,14.0,Mark Ingram right tackle for 2 yards (tackle by Danielle Hunter),2.85,2.58,4.0,2022,50
4.0,11:27,2.0,8.0,MIN 39,19.0,14.0,Andy Dalton pass complete deep right to Tre'Quan Smith for 18 yards (tackle by Chandon Sullivan),2.58,4.17,4.0,2022,50
4.0,10:57,1.0,10.0,MIN 21,19.0,14.0,Mark Ingram up the middle for 8 yards (tackle by Camryn Bynum and Harrison Smith),4.17,4.95,4.0,2022,50
4.0,10:17,2.0,2.0,MIN 13,19.0,14.0,Andy Dalton pass complete short right to Adam Trautman for 11 yards (tackle by Jordan Hicks),4.95,6.74,4.0,2022,50
4.0,9:32,1.0,2.0,MIN 2,19.0,20.0,"Taysom Hill right tackle for 2 yards, touchdown",6.74,7.0,4.0,2022,50
4.0,9:29,,,MIN 2,19.0,22.0,Two Point Attempt: Andy Dalton pass complete to to Jarvis Landry for no gain,1.0,1.0,4.0,2022,50
4.0,9:29,,,NOR 35,19.0,22.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,50
4.0,9:29,1.0,10.0,MIN 25,19.0,22.0,Kirk Cousins pass incomplete short left intended for Adam Thielen (defended by Paulson Adebo),0.61,0.06,4.0,2022,50
4.0,9:23,2.0,10.0,MIN 25,19.0,22.0,Dalvin Cook right tackle for 7 yards (tackle by Demario Davis and Tyrann Mathieu),0.06,0.3,4.0,2022,50
4.0,8:41,3.0,3.0,MIN 32,19.0,22.0,"Kirk Cousins pass complete short left to Justin Jefferson for no gain. Penalty on Bradley Roby: Defensive Holding, 5 yards (accepted) (no play)",0.3,1.4,4.0,2022,50
4.0,8:13,1.0,10.0,MIN 37,19.0,22.0,Kirk Cousins sacked by Demario Davis for -11 yards,1.4,-0.63,4.0,2022,50
4.0,7:33,2.0,21.0,MIN 26,19.0,22.0,Kirk Cousins pass complete short left to Justin Jefferson for 17 yards (tackle by Marshon Lattimore),-0.63,0.96,4.0,2022,50
4.0,7:01,3.0,4.0,MIN 43,19.0,22.0,Kirk Cousins pass complete short right to K.J. Osborn for 6 yards,0.96,2.19,4.0,2022,50
4.0,6:19,1.0,10.0,MIN 49,19.0,22.0,Kirk Cousins pass incomplete short left intended for Justin Jefferson,2.19,1.65,4.0,2022,50
4.0,6:14,2.0,10.0,MIN 49,19.0,22.0,Dalvin Cook left tackle for no gain (tackle by Cameron Jordan),1.65,0.96,4.0,2022,50
4.0,5:38,3.0,10.0,MIN 49,19.0,22.0,"Kirk Cousins pass incomplete deep right intended for Adam Thielen. Penalty on Tyrann Mathieu: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",0.96,2.52,4.0,2022,50
4.0,5:29,1.0,10.0,NOR 46,19.0,22.0,Alexander Mattison left guard for 1 yard (tackle by Cameron Jordan),2.52,2.11,4.0,2022,50
4.0,5:08,2.0,9.0,NOR 45,19.0,22.0,Kirk Cousins pass complete short right to Adam Thielen for 1 yard,2.11,1.55,4.0,2022,50
4.0,4:27,3.0,8.0,NOR 44,19.0,22.0,"Kirk Cousins pass incomplete intended for Adam Thielen. Penalty on Paulson Adebo: Defensive Holding, 5 yards (declined) . Penalty on Marshon Lattimore: Defensive Pass Interference, 41 yards (accepted) (no play)",1.55,6.51,4.0,2022,50
4.0,4:20,1.0,3.0,NOR 3,25.0,22.0,"Justin Jefferson left end for 3 yards, touchdown",6.51,7.0,4.0,2022,50
4.0,4:15,,,NOR 15,25.0,22.0,Greg Joseph kicks extra point no good,0.0,-1.0,4.0,2022,50
4.0,4:15,,,MIN 35,25.0,22.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,50
4.0,4:15,1.0,10.0,NOR 25,25.0,22.0,"Latavius Murray right tackle for no gain. Penalty on J.P. Holtz: Offensive Holding, 10 yards (accepted) (no play)",0.61,-0.41,4.0,2022,50
4.0,4:09,1.0,20.0,NOR 15,25.0,22.0,Andy Dalton pass complete short right to Juwan Johnson for 16 yards (tackle by Harrison Smith),-0.41,0.87,4.0,2022,50
4.0,3:41,2.0,4.0,NOR 31,25.0,22.0,Latavius Murray right end for 10 yards (tackle by Danielle Hunter),0.87,1.66,4.0,2022,50
4.0,3:10,1.0,10.0,NOR 41,25.0,22.0,Latavius Murray up the middle for 2 yards (tackle by Chandon Sullivan),1.66,1.39,4.0,2022,50
4.0,2:47,2.0,8.0,NOR 43,25.0,22.0,Andy Dalton pass complete short right to Adam Trautman for 14 yards,1.39,2.72,4.0,2022,50
4.0,2:43,1.0,10.0,MIN 43,25.0,22.0,Mark Ingram up the middle for 1 yard (tackle by Harrison Smith),2.72,2.31,4.0,2022,50
4.0,2:11,2.0,9.0,MIN 42,25.0,22.0,Andy Dalton pass incomplete deep left intended for Chris Olave (defended by Cameron Dantzler),2.31,1.62,4.0,2022,50
4.0,2:01,3.0,9.0,MIN 42,25.0,22.0,Andy Dalton pass incomplete deep right intended for Marquez Callaway,1.62,0.46,4.0,2022,50
4.0,1:56,4.0,9.0,MIN 42,25.0,25.0,Wil Lutz 60 yard field goal good,0.46,3.0,4.0,2022,50
4.0,1:51,,,NOR 35,25.0,25.0,"Wil Lutz kicks off 67 yards, returned by Kene Nwangwu for 20 yards (tackle by J.T. Gray and Kaden Elliss)",0.0,0.04,4.0,2022,50
4.0,1:45,1.0,10.0,MIN 18,25.0,25.0,Dalvin Cook right end for 14 yards (tackle by Pete Werner),0.04,1.07,4.0,2022,50
4.0,1:38,1.0,10.0,MIN 32,25.0,25.0,Kirk Cousins pass complete deep left to Justin Jefferson for 39 yards (tackle by Marshon Lattimore),1.07,3.64,4.0,2022,50
4.0,1:24,,,,,,Timeout #1 by New Orleans Saints,,,4.0,2022,50
4.0,1:24,1.0,10.0,NOR 29,25.0,25.0,Dalvin Cook left guard for no gain (tackle by Pete Werner),3.64,3.1,4.0,2022,50
4.0,1:19,,,,,,Timeout #2 by New Orleans Saints,,,4.0,2022,50
4.0,1:19,2.0,10.0,NOR 29,25.0,25.0,Dalvin Cook right guard for 1 yard (tackle by Pete Werner and Cameron Jordan),3.1,2.54,4.0,2022,50
4.0,1:14,,,,,,Timeout #3 by New Orleans Saints,,,4.0,2022,50
