Quarter,Time,Down,ToGo,Location,JAX,PHI,Detail,EPB,EPA,week,year,game_id
1.0,11:30,2.0,7.0,PHI 36,6.0,0.0,"Jalen Hurts pass deep left (defended by Darious Williams) intended for Zach Pascal is intercepted by Andre Cisco at JAC-41 and returned for 59 yards, touchdown",1.0,-7.0,4.0,2022,58
1.0,11:15,,,PHI 15,7.0,0.0,Riley Patterson kicks extra point good,0.0,0.0,4.0,2022,58
1.0,11:15,,,JAX 35,7.0,0.0,"Riley Patterson kicks off 59 yards, returned by Britain Covey for 23 yards (tackle by Andrew Wingard)",0.0,0.87,4.0,2022,58
1.0,11:09,1.0,10.0,PHI 29,7.0,0.0,Miles Sanders left end for -1 yards (tackle by Roy Robertson-Harris),0.87,0.19,4.0,2022,58
1.0,10:31,2.0,11.0,PHI 28,7.0,0.0,Jalen Hurts pass complete short middle to Miles Sanders for 16 yards (tackle by Devin Lloyd),0.19,1.86,4.0,2022,58
1.0,9:58,1.0,10.0,PHI 44,7.0,0.0,Jalen Hurts scrambles left end for 4 yards (tackle by Foyesade Oluokun),1.86,1.86,4.0,2022,58
1.0,9:19,2.0,6.0,PHI 48,7.0,0.0,Jalen Hurts left guard for -1 yards (tackle by Foyesade Oluokun),1.86,1.03,4.0,2022,58
1.0,8:36,3.0,7.0,PHI 47,7.0,0.0,Jalen Hurts pass incomplete deep right intended for DeVonta Smith (defended by Rayshawn Jenkins),1.03,-0.26,4.0,2022,58
1.0,8:29,4.0,7.0,PHI 47,7.0,0.0,"Arryn Siposs punts 53 yards, touchback.",-0.26,-0.28,4.0,2022,58
1.0,8:22,1.0,10.0,JAX 20,7.0,0.0,James Robinson left tackle for 7 yards (tackle by Marcus Epps),0.28,0.68,4.0,2022,58
1.0,7:51,2.0,3.0,JAX 27,7.0,0.0,James Robinson right end for -2 yards (tackle by Haason Reddick),0.68,-0.3,4.0,2022,58
1.0,7:07,3.0,5.0,JAX 25,7.0,0.0,Trevor Lawrence pass complete deep left to Jamal Agnew for 24 yards (tackle by C.J. Gardner-Johnson),-0.3,2.19,4.0,2022,58
1.0,6:25,1.0,10.0,JAX 49,7.0,0.0,Trevor Lawrence pass complete short right to Dan Arnold for 26 yards (tackle by Josiah Scott),2.19,3.91,4.0,2022,58
1.0,5:59,1.0,10.0,PHI 25,7.0,0.0,James Robinson right tackle for 5 yards (tackle by Haason Reddick),3.91,4.04,4.0,2022,58
1.0,5:22,2.0,5.0,PHI 20,7.0,0.0,"James Robinson left end for 9 yards. James Robinson fumbles (forced by Patrick Johnson), recovered by Christian Kirk at PHI-3 (tackle by Patrick Johnson)",4.04,6.51,4.0,2022,58
1.0,4:36,1.0,3.0,PHI 3,7.0,0.0,James Robinson right guard for -1 yards (tackle by Josh Sweat and Jordan Davis),6.51,5.34,4.0,2022,58
1.0,3:56,2.0,4.0,PHI 4,13.0,0.0,"Trevor Lawrence pass complete short right to Jamal Agnew for 4 yards, touchdown",5.34,7.0,4.0,2022,58
1.0,3:50,,,PHI 15,14.0,0.0,Riley Patterson kicks extra point good,0.0,0.0,4.0,2022,58
1.0,3:50,,,JAX 35,14.0,0.0,"Riley Patterson kicks off 66 yards, returned by Britain Covey for 23 yards (tackle by Ty Summers and Caleb Johnson)",0.0,0.41,4.0,2022,58
1.0,3:44,1.0,10.0,PHI 22,14.0,0.0,Jalen Hurts pass complete deep right to A.J. Brown for 31 yards (tackle by Devin Lloyd and Shaquill Griffin),0.41,2.46,4.0,2022,58
1.0,3:14,1.0,10.0,JAX 47,14.0,0.0,Miles Sanders up the middle for no gain (tackle by Foyesade Oluokun),2.46,1.91,4.0,2022,58
1.0,2:42,2.0,10.0,JAX 47,14.0,0.0,Jalen Hurts pass complete short left to DeVonta Smith for 5 yards (tackle by Devin Lloyd and Tyson Campbell),1.91,1.88,4.0,2022,58
1.0,2:04,3.0,5.0,JAX 42,14.0,0.0,Miles Sanders up the middle for 2 yards (tackle by Foyesade Oluokun),1.88,0.59,4.0,2022,58
1.0,1:22,4.0,3.0,JAX 40,14.0,0.0,Jalen Hurts pass incomplete deep left intended for A.J. Brown,0.59,-1.6,4.0,2022,58
1.0,1:14,1.0,10.0,JAX 40,14.0,0.0,Travis Etienne right guard for 5 yards (tackle by Josh Sweat and Jordan Davis),1.6,1.73,4.0,2022,58
1.0,0:37,2.0,5.0,JAX 45,14.0,0.0,Trevor Lawrence pass complete short left to Jamal Agnew for 14 yards (tackle by T.J. Edwards),1.73,2.85,4.0,2022,58
2.0,15:00,1.0,10.0,PHI 41,14.0,0.0,Trevor Lawrence pass incomplete deep right intended for Jamal Agnew,2.85,2.31,4.0,2022,58
2.0,14:53,2.0,10.0,PHI 41,14.0,0.0,Trevor Lawrence pass complete short left to Jamycal Hasty for 7 yards (tackle by Kyzir White),2.31,2.54,4.0,2022,58
2.0,14:16,3.0,3.0,PHI 34,14.0,0.0,Travis Etienne left end for no gain (tackle by Josh Sweat),2.54,1.09,4.0,2022,58
2.0,13:34,4.0,3.0,PHI 34,14.0,0.0,"Trevor Lawrence sacked by. Trevor Lawrence fumbles, recovered by Fletcher Cox at PHI-43",1.09,-1.8,4.0,2022,58
2.0,13:26,1.0,10.0,PHI 43,14.0,0.0,Jalen Hurts pass complete short right to Kenneth Gainwell for -2 yards (tackle by Foyesade Oluokun),1.8,0.98,4.0,2022,58
2.0,12:45,2.0,12.0,PHI 41,14.0,0.0,"Jalen Hurts pass incomplete short right intended for Zach Pascal. Penalty on Shaquill Griffin: Defensive Holding, 5 yards (accepted) (no play)",0.98,1.99,4.0,2022,58
2.0,12:38,1.0,10.0,PHI 46,14.0,0.0,Jalen Hurts pass complete short middle to A.J. Brown for 18 yards (tackle by Devin Lloyd and Shaquill Griffin),1.99,3.18,4.0,2022,58
2.0,12:03,1.0,10.0,JAX 36,14.0,0.0,Jalen Hurts pass complete short middle to Dallas Goedert for 26 yards (tackle by Rayshawn Jenkins),3.18,4.91,4.0,2022,58
2.0,11:36,1.0,10.0,JAX 10,14.0,0.0,"Jalen Hurts pass complete short left to A.J. Brown for no gain, touchdown. Penalty on Dallas Goedert: Offensive Pass Interference, 10 yards (accepted) (no play)",4.91,4.24,4.0,2022,58
2.0,11:28,1.0,20.0,JAX 20,14.0,0.0,Miles Sanders left end for -1 yards (tackle by Foyesade Oluokun),4.24,2.87,4.0,2022,58
2.0,10:48,2.0,21.0,JAX 21,14.0,0.0,Jalen Hurts pass complete short left to DeVonta Smith for 5 yards (tackle by Tyson Campbell and Devin Lloyd),2.87,2.85,4.0,2022,58
2.0,10:04,3.0,16.0,JAX 16,14.0,0.0,Jalen Hurts scrambles up the middle for 13 yards (tackle by Arden Key),2.85,3.04,4.0,2022,58
2.0,9:20,4.0,3.0,JAX 3,14.0,6.0,"Jalen Hurts scrambles up the middle for 3 yards, touchdown",3.04,7.0,4.0,2022,58
2.0,9:13,,,JAX 15,14.0,7.0,Jake Elliott kicks extra point good,0.0,0.0,4.0,2022,58
2.0,9:13,,,PHI 35,14.0,7.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,58
2.0,9:13,1.0,10.0,JAX 25,14.0,7.0,Trevor Lawrence pass incomplete short left intended for Christian Kirk,0.61,0.06,4.0,2022,58
2.0,9:11,2.0,10.0,JAX 25,14.0,7.0,Trevor Lawrence pass incomplete short left intended for Tim Jones,0.06,-0.62,4.0,2022,58
2.0,9:08,3.0,10.0,JAX 25,14.0,7.0,Travis Etienne right tackle for no gain (tackle by Brandon Graham and Fletcher Cox),-0.62,-1.7,4.0,2022,58
2.0,8:35,4.0,10.0,JAX 25,14.0,7.0,Logan Cooke punts 46 yards out of bounds,-1.7,-0.87,4.0,2022,58
2.0,8:24,1.0,10.0,PHI 29,14.0,7.0,"Penalty on Folorunso Fatukasi: Encroachment, 5 yards (accepted) (no play)",0.87,1.6,4.0,2022,58
2.0,8:24,1.0,5.0,PHI 34,14.0,7.0,Miles Sanders right tackle for 8 yards (tackle by Foyesade Oluokun),1.6,1.73,4.0,2022,58
2.0,7:48,1.0,10.0,PHI 42,14.0,7.0,Jalen Hurts pass complete short left to Dallas Goedert for 7 yards (tackle by Shaquill Griffin),1.73,2.13,4.0,2022,58
2.0,7:04,2.0,3.0,PHI 49,14.0,7.0,Miles Sanders right tackle for 13 yards (tackle by Foyesade Oluokun),2.13,3.05,4.0,2022,58
2.0,6:38,1.0,10.0,JAX 38,14.0,7.0,Miles Sanders right tackle for 5 yards (tackle by Travon Walker),3.05,3.18,4.0,2022,58
2.0,6:09,2.0,5.0,JAX 33,14.0,7.0,Miles Sanders left tackle for 4 yards (tackle by Travon Walker),3.18,3.01,4.0,2022,58
2.0,5:48,3.0,1.0,JAX 29,14.0,7.0,Jalen Hurts up the middle for 1 yard (tackle by Josh Allen and Devin Lloyd),3.01,3.71,4.0,2022,58
2.0,5:08,1.0,10.0,JAX 28,14.0,7.0,Trey Sermon left end for 14 yards (tackle by Foyesade Oluokun),3.71,4.65,4.0,2022,58
2.0,4:42,1.0,10.0,JAX 14,14.0,7.0,Jalen Hurts up the middle for 4 yards (tackle by Darious Williams),4.65,4.71,4.0,2022,58
2.0,3:59,2.0,6.0,JAX 10,14.0,13.0,"Miles Sanders right end for 10 yards, touchdown",4.71,7.0,4.0,2022,58
2.0,3:55,,,JAX 15,14.0,14.0,Jake Elliott kicks extra point good,0.0,0.0,4.0,2022,58
2.0,3:55,,,PHI 35,14.0,14.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,58
2.0,3:55,1.0,10.0,JAX 25,14.0,14.0,Trevor Lawrence pass incomplete short right intended for Christian Kirk (defended by Kyzir White),0.61,0.06,4.0,2022,58
2.0,3:51,2.0,10.0,JAX 25,14.0,14.0,Travis Etienne for 9 yards (tackle by Kyzir White),0.06,0.56,4.0,2022,58
2.0,3:10,3.0,1.0,JAX 34,14.0,14.0,"Trevor Lawrence aborted snap, recovered by Haason Reddick at JAC-35",0.56,-3.25,4.0,2022,58
2.0,3:00,1.0,10.0,JAX 35,14.0,14.0,Jalen Hurts left tackle for 1 yard (tackle by DaVon Hamilton),3.25,2.84,4.0,2022,58
2.0,2:25,2.0,9.0,JAX 34,14.0,14.0,Jalen Hurts pass complete short left to A.J. Brown for 13 yards (tackle by Andre Cisco),2.84,4.17,4.0,2022,58
2.0,2:00,1.0,10.0,JAX 21,14.0,14.0,Miles Sanders right end for -2 yards (tackle by Travon Walker),4.17,3.36,4.0,2022,58
2.0,1:21,2.0,12.0,JAX 23,14.0,14.0,Miles Sanders left guard for 10 yards (tackle by Roy Robertson-Harris and Devin Lloyd),3.36,4.24,4.0,2022,58
2.0,1:15,,,,,,Timeout #1 by Jacksonville Jaguars,,,4.0,2022,58
2.0,1:15,3.0,2.0,JAX 13,14.0,14.0,Miles Sanders up the middle for 1 yard (tackle by DaVon Hamilton),4.24,2.78,4.0,2022,58
2.0,1:10,,,,,,Timeout #2 by Jacksonville Jaguars,,,4.0,2022,58
2.0,1:10,4.0,1.0,JAX 12,14.0,14.0,Jalen Hurts up the middle for 2 yards (tackle by Josh Allen),2.78,4.91,4.0,2022,58
2.0,0:34,1.0,10.0,JAX 10,14.0,14.0,Jalen Hurts pass incomplete short left intended for Kenneth Gainwell,4.91,4.19,4.0,2022,58
2.0,0:30,2.0,10.0,JAX 10,14.0,20.0,"Kenneth Gainwell right guard for 10 yards, touchdown",4.19,7.0,4.0,2022,58
2.0,0:26,,,JAX 15,14.0,20.0,Jake Elliott kicks extra point no good,0.0,-1.0,4.0,2022,58
2.0,0:26,,,PHI 35,14.0,20.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,58
2.0,0:26,1.0,10.0,JAX 25,14.0,20.0,James Robinson up the middle for 3 yards (tackle by Brandon Graham and Milton Williams),0.61,0.47,4.0,2022,58
3.0,15:00,,,JAX 35,14.0,20.0,"Riley Patterson kicks off 58 yards, returned by Britain Covey for 23 yards (tackle by Andre Cisco)",0.0,0.94,4.0,2022,58
3.0,14:53,1.0,10.0,PHI 30,14.0,20.0,Jalen Hurts pass complete short middle to A.J. Brown for 22 yards (tackle by Rayshawn Jenkins),0.94,2.39,4.0,2022,58
3.0,14:27,1.0,10.0,JAX 48,14.0,20.0,Jalen Hurts sacked by Josh Allen for -10 yards,2.39,0.5,4.0,2022,58
3.0,13:42,2.0,20.0,PHI 42,14.0,20.0,Jalen Hurts pass incomplete short left,0.5,-0.16,4.0,2022,58
3.0,13:38,3.0,20.0,PHI 42,14.0,20.0,Jalen Hurts pass complete short left to A.J. Brown for 11 yards (tackle by Tyson Campbell),-0.16,0.13,4.0,2022,58
3.0,12:54,4.0,9.0,JAX 47,14.0,20.0,"Arryn Siposs punts 38 yards, returned by Jamal Agnew for 8 yards (tackle by Zach Pascal)",0.13,0.06,4.0,2022,58
3.0,12:41,1.0,10.0,JAX 17,14.0,20.0,Trevor Lawrence sacked by T.J. Edwards for no gain,-0.06,-0.58,4.0,2022,58
3.0,12:02,2.0,10.0,JAX 17,14.0,20.0,Trevor Lawrence pass incomplete short middle intended for Christian Kirk (defended by Josiah Scott),-0.58,-1.25,4.0,2022,58
3.0,11:57,3.0,10.0,JAX 17,14.0,20.0,Trevor Lawrence pass incomplete short middle intended for Jamal Agnew,-1.25,-2.32,4.0,2022,58
3.0,11:52,4.0,10.0,JAX 17,14.0,20.0,Logan Cooke punts 61 yards downed by Daniel Thomas,-2.32,-0.41,4.0,2022,58
3.0,11:39,1.0,10.0,PHI 22,14.0,20.0,"Miles Sanders left end for no gain. Penalty on Isaac Seumalo: Offensive Holding, 10 yards (offset) . Penalty on Josh Allen: Illegal Use of Hands / Defense, 5 yards (offset) (no play)",0.41,0.41,4.0,2022,58
3.0,11:22,1.0,10.0,PHI 22,14.0,20.0,Jalen Hurts pass complete short left to Miles Sanders for 6 yards (tackle by Shaquill Griffin),0.41,0.68,4.0,2022,58
3.0,10:34,2.0,4.0,PHI 28,14.0,20.0,Kenneth Gainwell right tackle for 1 yard (tackle by Roy Robertson-Harris and Foyesade Oluokun),0.68,0.1,4.0,2022,58
3.0,9:55,3.0,3.0,PHI 29,14.0,20.0,Jalen Hurts pass incomplete short left intended for Quez Watkins (defended by Adam Gotsis),0.1,-1.44,4.0,2022,58
3.0,9:51,4.0,3.0,PHI 29,14.0,20.0,"Arryn Siposs punts 43 yards, returned by Jamal Agnew for no gain (tackle by Andre Chachere)",-1.44,-0.81,4.0,2022,58
3.0,9:42,1.0,10.0,JAX 28,14.0,20.0,Travis Etienne up the middle for -1 yards (tackle by Jordan Davis),0.81,0.13,4.0,2022,58
3.0,9:07,2.0,11.0,JAX 27,14.0,20.0,Trevor Lawrence pass complete short middle to Evan Engram for 16 yards (tackle by Josh Sweat),0.13,1.8,4.0,2022,58
3.0,8:33,1.0,10.0,JAX 43,14.0,20.0,Travis Etienne left end for 2 yards (tackle by T.J. Edwards),1.8,1.52,4.0,2022,58
3.0,7:51,,,,,,Timeout #1 by Jacksonville Jaguars,,,4.0,2022,58
3.0,7:51,2.0,8.0,JAX 45,14.0,20.0,Trevor Lawrence pass complete short left to Jamycal Hasty for 15 yards (tackle by Josiah Scott and T.J. Edwards),1.52,2.92,4.0,2022,58
3.0,7:05,1.0,10.0,PHI 40,14.0,20.0,Travis Etienne left guard for 6 yards (tackle by T.J. Edwards and Marlon Tuipulotu),2.92,3.18,4.0,2022,58
3.0,6:24,2.0,4.0,PHI 34,14.0,20.0,"Trevor Lawrence pass incomplete short right intended for Evan Engram. Penalty on Josiah Scott: Defensive Holding, 5 yards (accepted) (no play)",3.18,3.64,4.0,2022,58
3.0,6:16,1.0,10.0,PHI 29,14.0,20.0,Christian Kirk left end for 3 yards (tackle by James Bradberry),3.64,3.44,4.0,2022,58
3.0,5:44,2.0,8.0,PHI 26,14.0,20.0,Trevor Lawrence right end for 7 yards (tackle by Josiah Scott and Kyzir White),3.44,4.31,4.0,2022,58
3.0,5:01,1.0,10.0,PHI 19,14.0,20.0,James Robinson right tackle for 3 yards (tackle by Josh Sweat and Kyzir White),4.31,4.18,4.0,2022,58
3.0,4:23,2.0,7.0,PHI 16,14.0,20.0,Trevor Lawrence pass short left intended for Christian Kirk is intercepted by James Bradberry at PHI-7 and returned for 5 yards (tackle by Jamal Agnew),4.18,0.35,4.0,2022,58
3.0,4:17,1.0,10.0,PHI 12,14.0,20.0,Miles Sanders left tackle for 3 yards (tackle by Devin Lloyd and Roy Robertson-Harris),-0.35,-0.5,4.0,2022,58
3.0,3:43,2.0,7.0,PHI 15,14.0,20.0,Miles Sanders left tackle for 35 yards (tackle by Rayshawn Jenkins and Tyson Campbell),-0.5,2.26,4.0,2022,58
3.0,2:58,1.0,10.0,JAX 50,14.0,20.0,Miles Sanders left tackle for 6 yards (tackle by Devin Lloyd and Foyesade Oluokun),2.26,2.52,4.0,2022,58
3.0,2:17,2.0,4.0,JAX 44,14.0,20.0,"Trey Sermon left guard for 5 yards (tackle by Josh Allen and Roy Robertson-Harris). Penalty on Roy Robertson-Harris: Face Mask (15 Yards), 15 yards (accepted)",2.52,3.97,4.0,2022,58
3.0,1:57,1.0,10.0,JAX 24,14.0,20.0,"Jalen Hurts aborted snap, recovered by Miles Sanders at JAC-29 Miles Sanders for no gain",3.97,2.49,4.0,2022,58
3.0,1:21,2.0,17.0,JAX 31,14.0,20.0,Jalen Hurts pass complete short left to Dallas Goedert for 9 yards (tackle by Foyesade Oluokun),2.49,3.01,4.0,2022,58
3.0,0:35,3.0,8.0,JAX 22,14.0,20.0,Jalen Hurts sacked by and Adam Gotsis for -3 yards and Dawuane Smoot for -3 yards,3.01,1.8,4.0,2022,58
3.0,0:02,,,,,,Timeout #1 by Philadelphia Eagles,,,4.0,2022,58
3.0,0:02,4.0,11.0,JAX 25,14.0,20.0,"Jake Elliott yard field goal good. Penalty on Tyson Campbell: Roughing the Kicker, 13 yards (accepted) (no play)",1.8,4.78,4.0,2022,58
4.0,15:00,1.0,10.0,JAX 12,14.0,20.0,Miles Sanders left end for no gain (tackle by Tyson Campbell),4.78,4.1,4.0,2022,58
4.0,14:31,2.0,10.0,JAX 12,14.0,20.0,Miles Sanders for 2 yards (tackle by Adam Gotsis and Travon Walker),4.1,3.48,4.0,2022,58
4.0,13:49,3.0,8.0,JAX 10,14.0,20.0,Jalen Hurts pass incomplete short middle intended for Dallas Goedert,3.48,2.76,4.0,2022,58
4.0,13:45,4.0,8.0,JAX 10,14.0,23.0,Jake Elliott 28 yard field goal good,2.76,3.0,4.0,2022,58
4.0,13:42,,,PHI 35,14.0,23.0,"Jake Elliott kicks off 67 yards, returned by Jamal Agnew for 22 yards (tackle by Kyron Johnson)",0.0,0.28,4.0,2022,58
4.0,13:36,1.0,10.0,JAX 20,14.0,23.0,Travis Etienne left end for 11 yards (tackle by Jordan Davis),0.28,1.0,4.0,2022,58
4.0,12:52,1.0,10.0,JAX 31,14.0,23.0,Trevor Lawrence pass complete to Chris Manhertz for no gain (tackle by Javon Hargrave and Brandon Graham),1.0,0.46,4.0,2022,58
4.0,12:15,2.0,10.0,JAX 31,14.0,23.0,"Trevor Lawrence sacked by Haason Reddick for -8 yards. Trevor Lawrence fumbles (forced by Haason Reddick), recovered by Haason Reddick at JAC-24 (tackle by Jawaan Taylor)",0.46,-3.97,4.0,2022,58
4.0,12:06,1.0,10.0,JAX 24,14.0,23.0,Miles Sanders right end for 5 yards (tackle by Foyesade Oluokun),3.97,4.12,4.0,2022,58
4.0,11:32,2.0,5.0,JAX 19,14.0,23.0,Jalen Hurts up the middle for no gain (tackle by Devin Lloyd),4.12,3.41,4.0,2022,58
4.0,11:03,3.0,5.0,JAX 19,14.0,23.0,Jalen Hurts pass complete short middle to DeVonta Smith for 7 yards (tackle by Shaquill Griffin),3.41,4.78,4.0,2022,58
4.0,10:26,1.0,10.0,JAX 12,14.0,23.0,Kenneth Gainwell left guard for 3 yards (tackle by Foyesade Oluokun),4.78,4.64,4.0,2022,58
4.0,9:53,2.0,7.0,JAX 9,14.0,23.0,"Kenneth Gainwell for no gain (tackle by Josh Allen). Penalty on Jack Driscoll: Offensive Holding, 10 yards (offset) . Penalty on Roy Robertson-Harris: Illegal Use of Hands / Defense, 5 yards (offset) (no play)",4.64,4.64,4.0,2022,58
4.0,9:35,2.0,7.0,JAX 9,14.0,23.0,Miles Sanders right tackle for 4 yards (tackle by Rayshawn Jenkins and Josh Allen),4.64,4.61,4.0,2022,58
4.0,8:55,3.0,3.0,JAX 5,14.0,29.0,"Miles Sanders left tackle for 5 yards, touchdown",4.61,7.0,4.0,2022,58
4.0,8:49,,,JAX 2,14.0,29.0,Two Point Attempt: Jalen Hurts pass incomplete,1.0,-1.0,4.0,2022,58
4.0,8:49,,,PHI 35,14.0,29.0,"Jake Elliott kicks off 60 yards, returned by Jamal Agnew for 27 yards (tackle by Nakobe Dean)",0.0,1.07,4.0,2022,58
4.0,8:43,1.0,10.0,JAX 32,14.0,29.0,Trevor Lawrence pass incomplete short left intended for Christian Kirk,1.07,0.53,4.0,2022,58
4.0,8:39,2.0,10.0,JAX 32,14.0,29.0,Trevor Lawrence pass complete short middle to Christian Kirk for 15 yards (tackle by James Bradberry),0.53,2.06,4.0,2022,58
4.0,8:20,1.0,10.0,JAX 47,14.0,29.0,Trevor Lawrence pass incomplete short right intended for Marvin Jones,2.06,1.52,4.0,2022,58
4.0,8:14,2.0,10.0,JAX 47,14.0,29.0,Trevor Lawrence pass incomplete deep left intended for Travis Etienne,1.52,0.83,4.0,2022,58
4.0,8:07,3.0,10.0,JAX 47,14.0,29.0,Trevor Lawrence pass complete deep middle to Christian Kirk for 45 yards (tackle by C.J. Gardner-Johnson),0.83,5.37,4.0,2022,58
4.0,7:26,1.0,8.0,PHI 8,20.0,29.0,"Trevor Lawrence pass complete short right to Jamal Agnew for 8 yards, touchdown",5.37,7.0,4.0,2022,58
4.0,7:19,,,PHI 15,21.0,29.0,Riley Patterson kicks extra point good,0.0,0.0,4.0,2022,58
4.0,7:19,,,JAX 35,21.0,29.0,"Riley Patterson kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,58
4.0,7:19,1.0,10.0,PHI 25,21.0,29.0,Jalen Hurts right end for 8 yards (tackle by Shaquill Griffin),0.61,1.14,4.0,2022,58
4.0,6:36,,,,,,Timeout #2 by Philadelphia Eagles,,,4.0,2022,58
4.0,6:36,2.0,2.0,PHI 33,21.0,29.0,Miles Sanders left tackle for 3 yards (tackle by Adam Gotsis and Devin Lloyd),1.14,1.33,4.0,2022,58
4.0,5:55,1.0,10.0,PHI 36,21.0,29.0,Miles Sanders up the middle for 2 yards (tackle by DaVon Hamilton),1.33,1.06,4.0,2022,58
4.0,5:14,2.0,8.0,PHI 38,21.0,29.0,Jalen Hurts pass complete short middle to Dallas Goedert for 22 yards (tackle by Andre Cisco),1.06,2.92,4.0,2022,58
4.0,4:29,1.0,10.0,JAX 40,21.0,29.0,Kenneth Gainwell right guard for 4 yards (tackle by Roy Robertson-Harris and Foyesade Oluokun),2.92,2.91,4.0,2022,58
4.0,3:48,2.0,6.0,JAX 36,21.0,29.0,Kenneth Gainwell left guard for 1 yard (tackle by DaVon Hamilton and Adam Gotsis),2.91,2.34,4.0,2022,58
4.0,3:03,3.0,5.0,JAX 35,21.0,29.0,Miles Sanders right guard for 7 yards (tackle by Foyesade Oluokun and DaVon Hamilton),2.34,3.71,4.0,2022,58
4.0,2:19,1.0,10.0,JAX 28,21.0,29.0,Miles Sanders right guard for 2 yards (tackle by Roy Robertson-Harris),3.71,3.44,4.0,2022,58
4.0,2:15,,,,,,Timeout #2 by Jacksonville Jaguars,,,4.0,2022,58
4.0,2:15,2.0,8.0,JAX 26,21.0,29.0,Miles Sanders left end for 2 yards (tackle by Devin Lloyd and Josh Allen),3.44,3.01,4.0,2022,58
4.0,2:10,,,,,,Timeout #3 by Jacksonville Jaguars,,,4.0,2022,58
4.0,2:10,3.0,6.0,JAX 24,21.0,29.0,Jalen Hurts right end for 3 yards (tackle by Devin Lloyd and Rayshawn Jenkins),3.01,2.16,4.0,2022,58
4.0,2:00,4.0,3.0,JAX 21,21.0,29.0,Jalen Hurts pass incomplete short middle intended for A.J. Brown (defended by Tyson Campbell),2.16,-0.34,4.0,2022,58
4.0,1:54,1.0,10.0,JAX 21,21.0,29.0,"Trevor Lawrence sacked by Haason Reddick for -7 yards. Trevor Lawrence fumbles (forced by Haason Reddick), recovered by Javon Hargrave at JAC-13 (tackle by Haason Reddick)",0.34,-4.71,4.0,2022,58
4.0,1:48,1.0,10.0,JAX 13,21.0,29.0,Jalen Hurts kneels for -1 yards,4.71,3.9,4.0,2022,58
4.0,1:06,2.0,11.0,JAX 14,21.0,29.0,Jalen Hurts kneels for -1 yards,3.9,3.03,4.0,2022,58
4.0,0:33,3.0,12.0,JAX 15,21.0,29.0,Jalen Hurts kneels for -1 yards,3.03,2.38,4.0,2022,58
