Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,EXP,year,week
14.0,Seattle Seahawks,17.0,371.0,575.0,64.5,3910.0,23.0,4.0,12.0,2.1,73.0,7.2,7.1,11.2,230.0,90.7,38.0,257.0,6.2,6.4,6.2,5.0,6.0,88.74,2023,18
15.0,Cincinnati Bengals,17.0,420.0,615.0,68.3,3895.0,27.0,4.4,14.0,2.3,80.0,6.9,6.8,10.1,229.1,93.0,50.0,362.0,7.5,5.9,5.7,2.0,2.0,51.61,2023,18
16.0,Philadelphia Eagles,17.0,369.0,563.0,65.5,3834.0,24.0,4.3,16.0,2.8,63.0,7.2,6.8,11.0,225.5,89.2,39.0,233.0,6.5,6.4,6.0,3.0,4.0,78.86,2023,18
17.0,Tampa Bay Buccaneers,17.0,364.0,568.0,64.1,3812.0,28.0,4.9,10.0,1.8,75.0,7.1,7.3,11.1,224.2,94.2,40.0,232.0,6.6,6.3,6.5,1.0,2.0,113.44,2023,18
18.0,Washington Commanders,17.0,407.0,636.0,64.0,3725.0,24.0,3.8,21.0,3.3,51.0,6.6,5.8,10.3,219.1,81.6,65.0,449.0,9.3,5.3,4.7,2.0,2.0,-26.38,2023,18
19.0,Cleveland Browns,17.0,355.0,624.0,56.9,3693.0,24.0,3.8,23.0,3.7,75.0,6.4,5.5,11.3,217.2,73.7,45.0,318.0,6.7,5.5,4.7,4.0,5.0,-73.14,2023,18
20.0,Indianapolis Colts,17.0,355.0,574.0,61.8,3666.0,18.0,3.1,10.0,1.7,75.0,6.8,6.6,10.9,215.6,85.0,41.0,216.0,6.7,6.0,5.8,2.0,2.0,42.57,2023,18
21.0,Baltimore Ravens,17.0,328.0,494.0,66.4,3635.0,27.0,5.5,7.0,1.4,80.0,7.9,8.3,11.8,213.8,102.5,41.0,246.0,7.7,6.8,7.2,1.0,0.0,81.07,2023,18
22.0,Atlanta Falcons,17.0,327.0,530.0,61.7,3524.0,17.0,3.2,17.0,3.2,75.0,7.1,6.3,11.5,207.3,80.5,40.0,251.0,7.0,6.2,5.4,2.0,4.0,7.53,2023,18
23.0,Las Vegas Raiders,17.0,348.0,557.0,62.5,3380.0,20.0,3.6,18.0,3.2,50.0,6.6,5.8,10.5,198.8,80.1,40.0,286.0,6.7,5.7,5.0,2.0,3.0,17.05,2023,18
24.0,Denver Broncos,17.0,337.0,513.0,65.7,3262.0,28.0,5.5,9.0,1.8,60.0,7.0,7.3,10.6,191.9,96.7,52.0,304.0,9.2,5.8,6.0,4.0,4.0,19.36,2023,18
25.0,Pittsburgh Steelers,17.0,323.0,506.0,63.8,3163.0,13.0,2.6,9.0,1.8,86.0,6.8,6.5,10.6,186.1,84.6,36.0,258.0,6.6,5.8,5.6,3.0,4.0,-2.76,2023,18
26.0,Arizona Cardinals,17.0,355.0,555.0,64.0,3144.0,18.0,3.2,12.0,2.2,69.0,6.2,5.9,9.7,184.9,82.9,42.0,286.0,7.0,5.3,5.0,2.0,2.0,-25.1,2023,18
27.0,Chicago Bears,17.0,321.0,513.0,62.6,3096.0,19.0,3.7,15.0,2.9,58.0,6.7,6.1,10.7,182.1,82.2,50.0,325.0,8.9,5.5,5.0,1.0,1.0,-27.07,2023,18
28.0,New England Patriots,17.0,351.0,557.0,63.0,3069.0,16.0,2.9,21.0,3.8,58.0,6.1,5.0,9.7,180.5,73.8,48.0,323.0,7.9,5.1,4.0,1.0,2.0,-123.49,2023,18
29.0,Tennessee Titans,17.0,304.0,494.0,61.5,3067.0,14.0,2.8,11.0,2.2,70.0,7.1,6.7,11.6,180.4,83.2,64.0,445.0,11.5,5.5,5.1,2.0,2.0,19.75,2023,18
30.0,New York Jets,17.0,356.0,601.0,59.2,2919.0,11.0,1.8,15.0,2.5,68.0,5.6,4.9,9.5,171.7,70.5,64.0,454.0,9.6,4.4,3.7,4.0,3.0,-140.32,2023,18
31.0,New York Giants,17.0,338.0,518.0,65.3,2886.0,15.0,2.9,12.0,2.3,80.0,6.5,6.0,9.9,169.8,83.4,85.0,465.0,14.1,4.8,4.4,2.0,3.0,-75.86,2023,18
32.0,Carolina Panthers,17.0,350.0,586.0,59.7,2741.0,13.0,2.2,10.0,1.7,48.0,5.5,5.2,9.3,161.2,75.2,65.0,504.0,10.0,4.2,3.9,2.0,2.0,-111.18,2023,18
,Avg Team,,369.0,572.3,64.5,3721.7,23.6,4.1,13.4,2.3,70.0,7.0,6.8,10.9,218.9,89.0,44.1,296.0,7.1,6.04,5.8,2.0,2.7,47.7,2023,18
,League Total,,11808.0,18315.0,64.5,119095.0,754.0,4.1,430.0,2.3,92.0,7.0,6.8,10.9,218.9,89.0,1410.0,9472.0,7.1,6.04,5.8,64.0,85.0,,2023,18
,Avg Tm/G,,21.7,33.7,64.5,218.9,1.4,4.1,0.8,2.3,,7.0,6.8,10.9,218.9,89.0,2.6,17.4,7.1,6.04,5.8,,,,2023,18
