Quarter,Time,Down,ToGo,Location,CAR,PHI,Detail,EPB,EPA,week,year,game_id
2.0,4:04,4.0,3.0,PHI 3,9.0,7.0,"Bryce Young pass complete short right to Tommy Tremble for 3 yards, touchdown",3.04,7.0,14.0,2024,198
2.0,4:00,,,PHI 15,10.0,7.0,Eddy Piñeiro kicks extra point good,0.0,0.0,14.0,2024,198
2.0,4:00,,,CAR 35,10.0,7.0,"Eddy Piñeiro kicks off 68 yards, returned by Isaiah Rodgers for 27 yards (tackle by Sam Franklin and Jon Rhattigan)",0.0,0.54,14.0,2024,198
2.0,3:55,1.0,10.0,PHI 24,10.0,7.0,Saquon Barkley right tackle for 3 yards (tackle by DeShawn Williams),0.54,0.4,14.0,2024,198
2.0,3:19,2.0,7.0,PHI 27,10.0,7.0,Jalen Hurts pass incomplete short left,0.4,-0.3,14.0,2024,198
2.0,3:11,3.0,7.0,PHI 27,10.0,7.0,Jalen Hurts pass incomplete deep middle intended for Johnny Wilson,-0.3,-1.57,14.0,2024,198
2.0,3:05,4.0,7.0,PHI 27,10.0,7.0,Braden Mann punts 44 yards downed by Oren Burks,-1.57,-0.87,14.0,2024,198
2.0,2:55,1.0,10.0,CAR 29,10.0,7.0,Chuba Hubbard left end for 3 yards (tackle by Nakobe Dean),0.87,0.73,14.0,2024,198
2.0,2:16,2.0,7.0,CAR 32,10.0,7.0,Bryce Young scrambles left end for 4 yards (tackle by Jordan Davis),0.73,0.56,14.0,2024,198
2.0,2:00,3.0,3.0,CAR 36,10.0,7.0,Bryce Young pass deep right intended for Adam Thielen is intercepted by C.J. Gardner-Johnson at PHI-41 and returned for 15 yards (tackle by David Moore),0.56,-2.65,14.0,2024,198
2.0,1:50,1.0,10.0,CAR 44,10.0,7.0,Jalen Hurts pass complete short middle to Kenneth Gainwell for 2 yards (tackle by Jaycee Horn and Josey Jewell),2.65,2.38,14.0,2024,198
2.0,1:26,2.0,8.0,CAR 42,10.0,7.0,Jalen Hurts pass complete short left to A.J. Brown for 10 yards (tackle by Jaycee Horn),2.38,3.45,14.0,2024,198
2.0,0:56,1.0,10.0,CAR 32,10.0,7.0,Jalen Hurts scrambles up the middle for 15 yards (tackle by Trevin Wallace),3.45,4.44,14.0,2024,198
2.0,0:48,,,,,,Timeout #1 by Philadelphia Eagles,,,14.0,2024,198
2.0,0:48,1.0,10.0,CAR 17,10.0,7.0,Jalen Hurts pass complete short left to Kenneth Gainwell for 5 yards (tackle by Trevin Wallace),4.44,4.69,14.0,2024,198
2.0,0:42,,,,,,Timeout #2 by Philadelphia Eagles,,,14.0,2024,198
2.0,0:42,2.0,5.0,CAR 12,10.0,7.0,Jalen Hurts pass complete short right to A.J. Brown for 7 yards (tackle by Josey Jewell and Michael Jackson),4.69,6.06,14.0,2024,198
2.0,0:23,1.0,5.0,CAR 5,10.0,7.0,Saquon Barkley left guard for 1 yard (tackle by DeShawn Williams and D.J. Wonnum),6.06,5.34,14.0,2024,198
2.0,0:18,,,,,,Timeout #3 by Philadelphia Eagles,,,14.0,2024,198
2.0,0:18,2.0,4.0,CAR 4,10.0,13.0,"Jalen Hurts pass complete short left to DeVonta Smith for 4 yards, touchdown",5.34,7.0,14.0,2024,198
2.0,0:14,,,CAR 15,10.0,14.0,Jake Elliott kicks extra point good,0.0,0.0,14.0,2024,198
2.0,0:14,,,PHI 35,10.0,14.0,"Braden Mann kicks off 61 yards, returned by Deven Thompkins for 17 yards (tackle by Oren Burks)",0.0,0.34,14.0,2024,198
2.0,0:04,1.0,10.0,CAR 21,10.0,14.0,Bryce Young kneels for -1 yards,0.34,-0.34,14.0,2024,198
3.0,15:00,,,CAR 35,10.0,14.0,"Eddy Piñeiro kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,198
3.0,15:00,1.0,10.0,PHI 30,10.0,14.0,Jalen Hurts pass incomplete short right,0.94,0.39,14.0,2024,198
3.0,14:50,2.0,10.0,PHI 30,10.0,14.0,Saquon Barkley left tackle for 18 yards (tackle by Jaycee Horn),0.39,2.13,14.0,2024,198
3.0,14:20,1.0,10.0,PHI 48,10.0,14.0,Saquon Barkley left end for 4 yards (tackle by D.J. Wonnum),2.13,2.12,14.0,2024,198
3.0,13:57,2.0,6.0,CAR 48,10.0,14.0,Saquon Barkley right tackle for 4 yards (tackle by D.J. Wonnum),2.12,1.95,14.0,2024,198
3.0,13:32,3.0,2.0,CAR 44,10.0,14.0,Saquon Barkley right guard for 4 yards (tackle by Chau Smith-Wade and Cam Gill),1.95,2.92,14.0,2024,198
3.0,12:52,1.0,10.0,CAR 40,10.0,14.0,Kenneth Gainwell right tackle for 3 yards (tackle by Josey Jewell and LaBryan Ray),2.92,2.78,14.0,2024,198
3.0,12:15,2.0,7.0,CAR 37,10.0,14.0,Kenneth Gainwell left guard for 3 yards (tackle by Jaden Crumedy),2.78,2.48,14.0,2024,198
3.0,11:32,3.0,4.0,CAR 34,10.0,14.0,"Jalen Hurts sacked by D.J. Wonnum for no gain. Jalen Hurts fumbles (forced by Chau Smith-Wade), recovered by Cam Jurgens at CAR-34 (tackle by D.J. Wonnum)",2.48,1.08,14.0,2024,198
3.0,10:47,4.0,4.0,CAR 34,10.0,14.0,Jake Elliott 52 yard field goal no good,1.08,-1.73,14.0,2024,198
3.0,10:42,1.0,10.0,CAR 42,10.0,14.0,Chuba Hubbard right guard for 7 yards (tackle by Josh Sweat and Zack Baun),1.73,2.13,14.0,2024,198
3.0,9:56,2.0,3.0,CAR 49,10.0,14.0,"Chuba Hubbard left tackle for 2 yards (tackle by Nakobe Dean and Quinyon Mitchell). Penalty on Milton Williams: Defensive Holding, 5 yards (accepted)",2.13,2.65,14.0,2024,198
3.0,9:33,1.0,10.0,PHI 44,10.0,14.0,Bryce Young pass complete short right to Adam Thielen for 15 yards (tackle by Darius Slay),2.65,3.64,14.0,2024,198
3.0,8:47,1.0,10.0,PHI 29,10.0,14.0,Chuba Hubbard right guard for 4 yards (tackle by Zack Baun and Nakobe Dean),3.64,3.64,14.0,2024,198
3.0,8:03,2.0,6.0,PHI 25,10.0,14.0,Chuba Hubbard left guard for 6 yards (tackle by Nakobe Dean),3.64,4.31,14.0,2024,198
3.0,7:22,1.0,10.0,PHI 19,10.0,14.0,Chuba Hubbard right guard for 2 yards (tackle by Nakobe Dean),4.31,4.03,14.0,2024,198
3.0,6:42,2.0,8.0,PHI 17,10.0,14.0,Bryce Young pass complete short right to Chuba Hubbard for -5 yards (tackle by Jalen Carter),4.03,2.68,14.0,2024,198
3.0,5:55,,,,,,Timeout #1 by Carolina Panthers,,,14.0,2024,198
3.0,5:55,3.0,13.0,PHI 22,10.0,14.0,"Bryce Young pass incomplete deep left intended for Xavier Legette (defended by Nakobe Dean). Penalty on Milton Williams: Defensive Offside, 5 yards (accepted) (no play)",2.68,3.26,14.0,2024,198
3.0,5:45,3.0,8.0,PHI 17,10.0,14.0,Bryce Young pass complete short left to Chuba Hubbard for 6 yards (tackle by Zack Baun),3.26,2.82,14.0,2024,198
3.0,4:59,4.0,2.0,PHI 11,10.0,14.0,Bryce Young pass complete short middle to Adam Thielen for 6 yards (tackle by C.J. Gardner-Johnson and Nakobe Dean),2.82,6.06,14.0,2024,198
3.0,4:19,1.0,5.0,PHI 5,10.0,14.0,Bryce Young scrambles right end for 4 yards (tackle by Moro Ojomo and C.J. Gardner-Johnson),6.06,5.91,14.0,2024,198
3.0,3:34,2.0,1.0,PHI 1,10.0,14.0,"Chuba Hubbard up the middle for no gain (tackle by Jalyx Hunt) CAR challenged the runner broke the plane ruling, and the play was upheld.",5.91,5.17,14.0,2024,198
3.0,2:52,3.0,1.0,PHI 1,16.0,14.0,"Chuba Hubbard up the middle for 1 yard, touchdown",5.17,7.0,14.0,2024,198
3.0,2:49,,,PHI 15,16.0,14.0,Eddy Piñeiro kicks extra point no good,0.0,-1.0,14.0,2024,198
3.0,2:49,,,CAR 35,16.0,14.0,"Eddy Piñeiro kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,198
3.0,2:49,1.0,10.0,PHI 30,16.0,14.0,Saquon Barkley left tackle for 11 yards (tackle by A'Shawn Robinson),0.94,1.66,14.0,2024,198
3.0,2:19,1.0,10.0,PHI 41,16.0,14.0,Saquon Barkley right end for 15 yards (tackle by Jordan Fuller),1.66,2.65,14.0,2024,198
3.0,1:50,1.0,10.0,CAR 44,16.0,14.0,Jalen Hurts right end for 8 yards (tackle by Xavier Woods and Jaycee Horn),2.65,3.19,14.0,2024,198
3.0,1:14,2.0,2.0,CAR 36,16.0,14.0,Jalen Hurts sacked by A'Shawn Robinson for -8 yards,3.19,1.42,14.0,2024,198
3.0,0:29,3.0,10.0,CAR 44,16.0,14.0,Jalen Hurts scrambles up the middle for 35 yards (tackle by Chau Smith-Wade),1.42,5.14,14.0,2024,198
4.0,15:00,1.0,9.0,CAR 9,16.0,14.0,Saquon Barkley left guard for 2 yards (tackle by LaBryan Ray),5.14,4.76,14.0,2024,198
4.0,14:33,2.0,7.0,CAR 7,16.0,14.0,Jalen Hurts pass complete short right to DeVonta Smith for 3 yards (tackle by Xavier Woods),4.76,4.49,14.0,2024,198
4.0,13:50,3.0,4.0,CAR 4,16.0,20.0,"Jalen Hurts pass complete short middle to Grant Calcaterra for 4 yards, touchdown",4.49,7.0,14.0,2024,198
4.0,13:45,,,CAR 15,16.0,20.0,"Jake Elliott kicks extra point no good. Penalty on Chau Smith-Wade: Defensive Offside, 1 yard (accepted) (no play)",0.0,1.0,14.0,2024,198
4.0,13:45,,,CAR 1,16.0,22.0,"Two Point Attempt: Saquon Barkley rushes, conversion succeeds.",1.0,1.0,14.0,2024,198
4.0,13:45,,,PHI 35,16.0,22.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,198
4.0,13:45,1.0,10.0,CAR 30,16.0,22.0,Chuba Hubbard right tackle for no gain (tackle by Darius Slay and Josh Sweat),0.94,0.39,14.0,2024,198
4.0,13:05,2.0,10.0,CAR 30,16.0,22.0,Bryce Young pass complete short left to Adam Thielen for 5 yards (tackle by Cooper DeJean),0.39,0.37,14.0,2024,198
4.0,12:26,3.0,5.0,CAR 35,16.0,22.0,Bryce Young pass complete short middle to Adam Thielen for 9 yards (tackle by Tristin McCollum),0.37,1.86,14.0,2024,198
4.0,11:48,1.0,10.0,CAR 44,16.0,22.0,Bryce Young pass complete short right to David Moore for 6 yards (tackle by Nakobe Dean),1.86,2.06,14.0,2024,198
4.0,11:06,2.0,5.0,CAR 50,16.0,22.0,Chuba Hubbard left end for -1 yards (tackle by Zack Baun and C.J. Gardner-Johnson),2.06,1.29,14.0,2024,198
4.0,10:18,3.0,5.0,CAR 49,16.0,22.0,"Bryce Young scrambles right end for 11 yards (tackle by Nakobe Dean). Penalty on Darius Slay: Defensive Holding, 5 yards (accepted)",1.29,3.25,14.0,2024,198
4.0,9:49,1.0,10.0,PHI 35,16.0,22.0,Chuba Hubbard right end for 2 yards (tackle by C.J. Gardner-Johnson),3.25,2.97,14.0,2024,198
4.0,9:19,2.0,8.0,PHI 33,16.0,22.0,Bryce Young pass incomplete short right intended for Chuba Hubbard,2.97,2.28,14.0,2024,198
4.0,9:15,3.0,8.0,PHI 33,16.0,22.0,Chuba Hubbard up the middle for 6 yards (tackle by Nakobe Dean),2.28,1.8,14.0,2024,198
4.0,8:39,4.0,2.0,PHI 27,16.0,22.0,Bryce Young pass incomplete short right intended for Xavier Legette,1.8,-0.81,14.0,2024,198
4.0,8:35,1.0,10.0,PHI 28,16.0,22.0,Jalen Hurts pass complete short left to A.J. Brown for 11 yards (tackle by Michael Jackson),0.81,1.53,14.0,2024,198
4.0,7:56,1.0,10.0,PHI 39,16.0,22.0,Saquon Barkley left tackle for 9 yards (tackle by Chau Smith-Wade),1.53,2.2,14.0,2024,198
4.0,7:20,2.0,1.0,PHI 48,16.0,22.0,Saquon Barkley left tackle for no gain (tackle by DJ Johnson),2.2,1.49,14.0,2024,198
4.0,6:54,3.0,1.0,PHI 48,16.0,22.0,Jalen Hurts up the middle for 2 yards (tackle by LaBryan Ray and A'Shawn Robinson),1.49,2.26,14.0,2024,198
4.0,6:12,1.0,10.0,CAR 50,16.0,22.0,Jalen Hurts sacked by and A'Shawn Robinson for -9 yards and Josey Jewell for -9 yards,2.26,0.5,14.0,2024,198
4.0,5:30,2.0,19.0,PHI 41,16.0,22.0,Saquon Barkley right tackle for 6 yards (tackle by Trevin Wallace and Jonathan Harris),0.5,0.63,14.0,2024,198
4.0,4:49,3.0,13.0,PHI 47,16.0,22.0,Jalen Hurts pass complete short right to A.J. Brown for 15 yards (tackle by Chau Smith-Wade),0.63,3.05,14.0,2024,198
4.0,4:05,1.0,10.0,CAR 38,16.0,22.0,Saquon Barkley right guard for 2 yards (tackle by Jordan Fuller),3.05,2.78,14.0,2024,198
4.0,3:19,2.0,8.0,CAR 36,16.0,22.0,"Penalty on Jalen Hurts: Delay of Game, 5 yards (accepted) (no play)",2.78,2.1,14.0,2024,198
4.0,3:19,2.0,13.0,CAR 41,16.0,22.0,Jalen Hurts pass incomplete short left intended for DeVonta Smith (defended by Michael Jackson),2.1,1.42,14.0,2024,198
4.0,3:14,3.0,13.0,CAR 41,16.0,22.0,Jalen Hurts pass complete short left to Grant Calcaterra for 5 yards (tackle by Josey Jewell),1.42,0.88,14.0,2024,198
4.0,3:05,,,,,,Timeout #3 by Carolina Panthers,,,14.0,2024,198
4.0,3:05,4.0,8.0,CAR 36,16.0,22.0,"Penalty on Jalen Hurts: Delay of Game, 5 yards (accepted) (no play)",0.88,0.53,14.0,2024,198
4.0,3:05,4.0,13.0,CAR 41,16.0,22.0,Braden Mann punts 38 yards downed by Avonte Maddox,0.53,0.38,14.0,2024,198
4.0,2:58,1.0,10.0,CAR 3,16.0,22.0,Bryce Young pass incomplete short middle intended for Xavier Legette,-0.38,-0.78,14.0,2024,198
4.0,2:54,2.0,10.0,CAR 3,16.0,22.0,"Bryce Young scrambles left end for 1 yard Bryce Young pass incomplete short left intended for Xavier Legette. Penalty on Bryce Young: Illegal Forward Pass, 2 yards (accepted)",-0.78,-1.54,14.0,2024,198
4.0,2:47,3.0,11.0,CAR 2,16.0,22.0,Bryce Young pass complete deep left to Xavier Legette for 31 yards (tackle by C.J. Gardner-Johnson),-1.54,1.14,14.0,2024,198
4.0,2:13,1.0,10.0,CAR 33,16.0,22.0,Bryce Young pass complete short right to Chuba Hubbard for 6 yards (tackle by Darius Slay),1.14,1.4,14.0,2024,198
4.0,2:07,2.0,4.0,CAR 39,16.0,22.0,Bryce Young pass complete short middle to Deven Thompkins for 7 yards (tackle by Quinyon Mitchell),1.4,1.99,14.0,2024,198
4.0,2:00,1.0,10.0,CAR 46,16.0,22.0,Bryce Young scrambles right end for 3 yards (tackle by Jalyx Hunt),1.99,1.86,14.0,2024,198
4.0,1:34,2.0,7.0,CAR 49,16.0,22.0,Bryce Young pass incomplete short middle intended for Xavier Legette (defended by Darius Slay),1.86,1.16,14.0,2024,198
4.0,1:29,3.0,7.0,CAR 49,16.0,22.0,Bryce Young pass incomplete deep right intended for Xavier Legette,1.16,-0.13,14.0,2024,198
4.0,1:23,4.0,7.0,CAR 49,16.0,22.0,Bryce Young pass complete short left to Adam Thielen for 13 yards (tackle by Tristin McCollum),-0.13,3.05,14.0,2024,198
4.0,0:57,1.0,10.0,PHI 38,16.0,22.0,Bryce Young pass complete short left to Adam Thielen for 6 yards (tackle by Quinyon Mitchell),3.05,3.32,14.0,2024,198
4.0,0:52,2.0,4.0,PHI 32,16.0,22.0,Bryce Young pass incomplete deep middle intended for Xavier Legette,3.32,2.61,14.0,2024,198
4.0,0:44,3.0,4.0,PHI 32,16.0,22.0,Bryce Young pass incomplete short right,2.61,1.27,14.0,2024,198
4.0,0:37,4.0,4.0,PHI 32,16.0,22.0,"Penalty on Bryce Young: Delay of Game, 5 yards (accepted) (no play)",1.27,0.79,14.0,2024,198
4.0,0:37,4.0,9.0,PHI 37,16.0,22.0,"Bryce Young pass incomplete deep left intended for Adam Thielen (defended by Darius Slay). Penalty on Ikem Ekwonu: Illegal Blindside Block, 15 yards (accepted)",0.79,-2.39,14.0,2024,198
4.0,0:29,1.0,10.0,CAR 48,16.0,22.0,Jalen Hurts kneels for -1 yards,2.39,1.71,14.0,2024,198
