Quarter,Time,Down,ToGo,Location,NOR,NYG,Detail,EPB,EPA,week,year,game_id
1.0,7:56,4.0,10.0,NYG 35,0.0,0.0,Blake Grupe 53 yard field goal no good,0.97,-1.8,14.0,2024,202
1.0,7:51,1.0,10.0,NYG 43,0.0,0.0,Tyrone Tracy up the middle for 5 yards (tackle by Payton Turner),1.8,1.93,14.0,2024,202
1.0,7:27,2.0,5.0,NYG 48,0.0,0.0,Tyrone Tracy right tackle for 3 yards (tackle by Pete Werner),1.93,1.62,14.0,2024,202
1.0,6:43,3.0,2.0,NOR 49,0.0,0.0,Drew Lock pass incomplete short right intended for Tyrone Tracy,1.62,0.0,14.0,2024,202
1.0,6:38,4.0,2.0,NOR 49,0.0,0.0,Jamie Gillan punts 47 yards out of bounds,0.0,0.38,14.0,2024,202
1.0,6:30,1.0,10.0,NOR 2,0.0,0.0,Derek Carr pass incomplete deep left intended for Marquez Valdes-Scantling (defended by Adoree' Jackson),-0.38,-0.78,14.0,2024,202
1.0,6:23,2.0,10.0,NOR 2,0.0,0.0,Alvin Kamara up the middle for 5 yards (tackle by Jason Pinnock and Elijah Garcia),-0.78,-0.84,14.0,2024,202
1.0,5:41,3.0,5.0,NOR 7,0.0,0.0,Derek Carr pass complete deep middle to Marquez Valdes-Scantling for 22 yards (tackle by Greg Stroman),-0.84,0.87,14.0,2024,202
1.0,5:00,1.0,10.0,NOR 29,0.0,0.0,Derek Carr pass complete deep middle to Juwan Johnson for 30 yards (tackle by Jason Pinnock),0.87,2.85,14.0,2024,202
1.0,4:16,1.0,10.0,NYG 41,0.0,0.0,Derek Carr scrambles right end for 3 yards (tackle by Tyler Nubin),2.85,2.71,14.0,2024,202
1.0,3:37,2.0,7.0,NYG 38,0.0,0.0,Kendre Miller right end for 8 yards (tackle by Tyler Nubin),2.71,3.58,14.0,2024,202
1.0,2:52,1.0,10.0,NYG 30,0.0,0.0,Derek Carr pass complete short left to Dallin Holker for 10 yards (tackle by Jason Pinnock and Brian Burns),3.58,4.24,14.0,2024,202
1.0,2:09,1.0,10.0,NYG 20,0.0,0.0,Alvin Kamara left end for 12 yards (tackle by Tyler Nubin),4.24,5.37,14.0,2024,202
1.0,1:27,1.0,8.0,NYG 8,6.0,0.0,"Kendre Miller left tackle for 8 yards, touchdown",5.37,7.0,14.0,2024,202
1.0,1:19,,,NYG 15,7.0,0.0,Blake Grupe kicks extra point good,0.0,0.0,14.0,2024,202
1.0,1:19,,,NOR 35,7.0,0.0,"Blake Grupe kicks off 63 yards, returned by Ihmir Smith-Marsette for 25 yards (tackle by J.T. Gray and Cedrick Wilson). Penalty on Nephi Sewell: Illegal Formation, 5 yards (accepted)",0.0,1.07,14.0,2024,202
1.0,1:09,1.0,10.0,NYG 32,7.0,0.0,Drew Lock pass incomplete short middle intended for Daniel Bellinger (defended by Bryan Bresee),1.07,0.53,14.0,2024,202
1.0,1:06,2.0,10.0,NYG 32,7.0,0.0,Devin Singletary right tackle for 4 yards (tackle by Pete Werner),0.53,0.37,14.0,2024,202
1.0,0:24,3.0,6.0,NYG 36,7.0,0.0,Drew Lock pass incomplete deep left intended for Jalin Hyatt,0.37,-0.98,14.0,2024,202
1.0,0:17,4.0,6.0,NYG 36,7.0,0.0,"Jamie Gillan punts 36 yards, fair catch by Dante Pettis at NO-28",-0.98,-0.81,14.0,2024,202
1.0,0:11,1.0,10.0,NOR 28,7.0,0.0,Derek Carr pass complete short middle to Juwan Johnson for -5 yards (tackle by Micah McFadden and Elijah Garcia),0.81,-0.41,14.0,2024,202
2.0,15:00,2.0,15.0,NOR 23,7.0,0.0,Derek Carr pass complete short left to Foster Moreau for 8 yards (tackle by Darius Muasau),-0.41,-0.03,14.0,2024,202
2.0,14:16,3.0,7.0,NOR 31,7.0,0.0,Derek Carr pass incomplete short middle intended for Kendre Miller,-0.03,-1.31,14.0,2024,202
2.0,14:12,4.0,7.0,NOR 31,7.0,0.0,"Matthew Hayball punts 46 yards, returned by Ihmir Smith-Marsette for 11 yards (tackle by Isaiah Foskey). Penalty on Jamaal Williams: Unnecessary Roughness / Defense, 15 yards (accepted)",-1.31,-2.19,14.0,2024,202
2.0,14:02,1.0,10.0,NYG 49,7.0,0.0,Drew Lock pass complete short right to Daniel Bellinger for 11 yards (tackle by Alontae Taylor),2.19,2.92,14.0,2024,202
2.0,13:32,1.0,10.0,NOR 40,7.0,0.0,Tyrone Tracy right tackle for 3 yards (tackle by Carl Granderson),2.92,2.78,14.0,2024,202
2.0,13:07,2.0,7.0,NOR 37,7.0,0.0,Drew Lock pass complete deep left to Malik Nabers for 17 yards (tackle by Demario Davis),2.78,4.24,14.0,2024,202
2.0,12:32,1.0,10.0,NOR 20,7.0,0.0,Tyrone Tracy left tackle for 1 yard (tackle by Cameron Jordan and Ugo Amadi),4.24,3.82,14.0,2024,202
2.0,12:07,2.0,9.0,NOR 19,7.0,0.0,Drew Lock pass incomplete short right,3.82,3.1,14.0,2024,202
2.0,12:03,3.0,9.0,NOR 19,7.0,0.0,Drew Lock sacked by Bryan Bresee for -6 yards,3.1,1.8,14.0,2024,202
2.0,11:24,4.0,15.0,NOR 25,7.0,3.0,Graham Gano 43 yard field goal good,1.8,3.0,14.0,2024,202
2.0,11:20,,,NYG 35,7.0,3.0,"Graham Gano kicks off 57 yards, returned by Kendre Miller for 31 yards (tackle by Ty Summers)",0.0,1.53,14.0,2024,202
2.0,11:14,1.0,10.0,NOR 39,7.0,3.0,Alvin Kamara left end for 5 yards (tackle by Micah McFadden),1.53,1.66,14.0,2024,202
2.0,10:36,2.0,5.0,NOR 44,7.0,3.0,Alvin Kamara up the middle for -2 yards (tackle by Cory Durden and Micah McFadden),1.66,0.7,14.0,2024,202
2.0,9:51,3.0,7.0,NOR 42,7.0,3.0,Derek Carr pass complete short middle to Alvin Kamara for 4 yards (tackle by Kayvon Thibodeaux and Micah McFadden),0.7,-0.32,14.0,2024,202
2.0,9:17,4.0,3.0,NOR 46,7.0,3.0,Jamaal Williams right end for 2 yards (tackle by Patrick Johnson and Dane Belton),-0.32,-2.39,14.0,2024,202
2.0,9:12,1.0,10.0,NOR 48,7.0,3.0,Tyrone Tracy up the middle for 1 yard (tackle by Khalen Saunders),2.39,1.98,14.0,2024,202
2.0,8:47,2.0,9.0,NOR 47,7.0,3.0,Drew Lock pass complete short middle to Tyrone Tracy for 5 yards (tackle by Pete Werner),1.98,1.95,14.0,2024,202
2.0,8:11,3.0,4.0,NOR 42,7.0,3.0,Drew Lock pass incomplete short left intended for Malik Nabers (defended by Kool-Aid McKinstry),1.95,0.46,14.0,2024,202
2.0,8:07,4.0,4.0,NOR 42,7.0,3.0,Jamie Gillan punts 34 yards out of bounds,0.46,0.38,14.0,2024,202
2.0,7:59,1.0,10.0,NOR 8,7.0,3.0,Kendre Miller right tackle for no gain (tackle by Tre Hawkins),-0.38,-0.78,14.0,2024,202
2.0,7:22,2.0,10.0,NOR 8,7.0,3.0,Derek Carr pass complete short left to Kevin Austin for 5 yards (tackle by Tre Hawkins),-0.78,-0.84,14.0,2024,202
2.0,6:40,3.0,5.0,NOR 13,7.0,3.0,Derek Carr pass incomplete deep right intended for Kevin Austin,-0.84,-2.49,14.0,2024,202
2.0,6:33,4.0,5.0,NOR 13,7.0,3.0,"Matthew Hayball punts 43 yards, returned by Ihmir Smith-Marsette for 15 yards, touchdown. Penalty on Greg Stroman: Offensive Holding, 10 yards (accepted)",-2.49,-2.19,14.0,2024,202
2.0,6:17,1.0,10.0,NYG 49,7.0,3.0,Drew Lock pass incomplete short left intended for Darius Slayton (defended by Ugo Amadi),2.19,1.65,14.0,2024,202
2.0,6:10,2.0,10.0,NYG 49,7.0,3.0,Devin Singletary right guard for 4 yards (tackle by Isaiah Foskey and John Ridgeway),1.65,1.49,14.0,2024,202
2.0,5:27,3.0,6.0,NOR 47,7.0,3.0,Drew Lock scrambles up the middle for 2 yards (tackle by Will Harris),1.49,0.27,14.0,2024,202
2.0,4:36,4.0,4.0,NOR 45,7.0,3.0,"Penalty on Drew Lock: Delay of Game, 5 yards (accepted) (no play)",0.27,-0.06,14.0,2024,202
2.0,4:24,4.0,9.0,NOR 50,7.0,3.0,"Jamie Gillan punts 30 yards, fair catch by Dante Pettis at NO-20",-0.06,-0.28,14.0,2024,202
2.0,4:17,1.0,10.0,NOR 20,7.0,3.0,Alvin Kamara left tackle for 1 yard (tackle by Tyler Nubin),0.28,-0.13,14.0,2024,202
2.0,3:52,2.0,9.0,NOR 21,7.0,3.0,Derek Carr pass complete short middle to Alvin Kamara for 11 yards (tackle by Darius Muasau),-0.13,1.07,14.0,2024,202
2.0,3:20,1.0,10.0,NOR 32,7.0,3.0,Alvin Kamara right guard for 4 yards (tackle by Greg Stroman),1.07,1.07,14.0,2024,202
2.0,2:45,2.0,6.0,NOR 36,7.0,3.0,"Derek Carr sacked by Brian Burns for -9 yards. Derek Carr fumbles (forced by Brian Burns), recovered by Derek Carr at NO-27",1.07,-0.82,14.0,2024,202
2.0,2:00,3.0,15.0,NOR 27,7.0,3.0,Alvin Kamara right end for -2 yards (tackle by Brian Burns and Elijah Chatman),-0.82,-1.7,14.0,2024,202
2.0,1:54,,,,,,Timeout #1 by New York Giants,,,14.0,2024,202
2.0,1:54,4.0,17.0,NOR 25,7.0,3.0,"Matthew Hayball punts 38 yards, fair catch by Ihmir Smith-Marsette at NYG-37",-1.7,-1.4,14.0,2024,202
2.0,1:49,1.0,10.0,NYG 37,7.0,3.0,Drew Lock pass complete short middle to Daniel Bellinger for 5 yards (tackle by Demario Davis),1.4,1.53,14.0,2024,202
2.0,1:33,2.0,5.0,NYG 42,7.0,3.0,Drew Lock pass complete short middle to Tyrone Tracy for 9 yards (tackle by Will Harris and Ugo Amadi),1.53,2.32,14.0,2024,202
2.0,1:08,1.0,10.0,NOR 49,7.0,3.0,Drew Lock pass complete short middle to Tyrone Tracy for 5 yards (tackle by Demario Davis and Tyrann Mathieu),2.32,2.46,14.0,2024,202
2.0,0:45,2.0,5.0,NOR 44,7.0,3.0,Drew Lock pass incomplete short middle intended for Tyrone Tracy (defended by Cameron Jordan),2.46,1.75,14.0,2024,202
2.0,0:41,3.0,5.0,NOR 44,7.0,3.0,Drew Lock pass incomplete short left intended for Jalin Hyatt,1.75,0.33,14.0,2024,202
2.0,0:36,,,,,,Timeout #1 by New Orleans Saints,,,14.0,2024,202
2.0,0:36,4.0,5.0,NOR 44,7.0,3.0,"Penalty on Casey Kreiter: False Start, 5 yards (accepted) (no play)",0.33,0.0,14.0,2024,202
2.0,0:36,4.0,10.0,NOR 49,7.0,3.0,"Jamie Gillan punts 33 yards, fair catch by Dante Pettis at NO-16",0.0,0.14,14.0,2024,202
2.0,0:29,1.0,10.0,NOR 16,7.0,3.0,Derek Carr pass complete short left to Marquez Valdes-Scantling for 7 yards,-0.14,0.42,14.0,2024,202
2.0,0:26,2.0,3.0,NOR 23,7.0,3.0,Derek Carr pass complete short middle to Alvin Kamara for 8 yards (tackle by Isaiah Simmons),0.42,1.0,14.0,2024,202
2.0,0:19,,,,,,Timeout #2 by New Orleans Saints,,,14.0,2024,202
2.0,0:19,1.0,10.0,NOR 31,7.0,3.0,Derek Carr pass incomplete deep middle intended for Marquez Valdes-Scantling,1.0,0.46,14.0,2024,202
2.0,0:14,2.0,10.0,NOR 31,7.0,3.0,Derek Carr pass incomplete short middle intended for Dante Pettis,0.46,-0.23,14.0,2024,202
2.0,0:10,3.0,10.0,NOR 31,7.0,3.0,"Derek Carr pass incomplete deep right intended for Marquez Valdes-Scantling. Penalty on Tyler Nubin: Defensive Pass Interference, 27 yards (accepted) (no play)",-0.23,2.79,14.0,2024,202
2.0,0:04,,,,,,Timeout #2 by New York Giants,,,14.0,2024,202
2.0,0:04,1.0,10.0,NYG 42,7.0,3.0,Blake Grupe 60 yard field goal no good blocked by Casey Rogers,2.79,2.19,14.0,2024,202
3.0,15:00,,,NOR 35,7.0,3.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,202
3.0,15:00,1.0,10.0,NYG 30,7.0,3.0,Tyrone Tracy right guard for 7 yards (tackle by Khalen Saunders and Carl Granderson),0.94,1.34,14.0,2024,202
3.0,14:24,2.0,3.0,NYG 37,7.0,3.0,Tyrone Tracy right guard for 1 yard (tackle by Ugo Amadi),1.34,0.76,14.0,2024,202
3.0,13:57,3.0,2.0,NYG 38,7.0,3.0,Tyrone Tracy left guard for no gain (tackle by Chase Young and Will Harris),0.76,-0.85,14.0,2024,202
3.0,13:32,4.0,2.0,NYG 38,7.0,3.0,"Jamie Gillan punts 41 yards, fair catch by Dante Pettis at NO-21",-0.85,-0.34,14.0,2024,202
3.0,13:25,1.0,10.0,NOR 21,7.0,3.0,"Alvin Kamara left tackle for no gain (tackle by Tre Hawkins). Penalty on Brian Burns: Defensive Offside, 5 yards (accepted) (no play)",0.34,1.07,14.0,2024,202
3.0,13:03,1.0,5.0,NOR 26,7.0,3.0,Alvin Kamara left tackle for 3 yards (tackle by Darius Muasau and Brian Burns),1.07,0.88,14.0,2024,202
3.0,12:26,2.0,2.0,NOR 29,7.0,3.0,Alvin Kamara right tackle for 1 yard (tackle by Elijah Garcia),0.88,0.3,14.0,2024,202
3.0,11:50,3.0,1.0,NOR 30,7.0,3.0,Jamaal Williams right guard for 2 yards (tackle by Tre Hawkins),0.3,1.07,14.0,2024,202
3.0,11:15,1.0,10.0,NOR 32,7.0,3.0,"Derek Carr pass complete deep right to Juwan Johnson for 15 yards. Juwan Johnson fumbles (tackle by Micah McFadden), recovered by Marquez Valdes-Scantling at NO-47 and returned for 1 yard (tackle by Micah McFadden). Penalty on Elijah Garcia: Defensive Offside, 5 yards (declined)",1.07,2.13,14.0,2024,202
3.0,10:50,1.0,10.0,NOR 48,7.0,3.0,Derek Carr pass incomplete short right intended for Kevin Austin,2.13,1.58,14.0,2024,202
3.0,10:46,2.0,10.0,NOR 48,7.0,3.0,"Derek Carr pass complete short left to Alvin Kamara for no gain (tackle by Elijah Chatman). Penalty on Taliese Fuaga: Illegal Formation, 5 yards (accepted) (no play)",1.58,0.91,14.0,2024,202
3.0,10:24,2.0,15.0,NOR 43,7.0,3.0,Derek Carr pass complete short middle to Jamaal Williams for 5 yards (tackle by Darius Muasau),0.91,0.89,14.0,2024,202
3.0,9:41,3.0,10.0,NOR 48,7.0,3.0,Derek Carr pass deep left intended for Kevin Austin is intercepted by Tre Hawkins at NYG-17 and returned for no gain (tackle by Kevin Austin),0.89,0.06,14.0,2024,202
3.0,9:33,1.0,10.0,NYG 17,7.0,3.0,"Penalty on Malik Nabers: False Start, 5 yards (accepted) (no play)",-0.06,-0.51,14.0,2024,202
3.0,9:33,1.0,15.0,NYG 12,7.0,3.0,"Drew Lock pass incomplete deep left intended for Darius Slayton. Penalty on Payton Turner: Defensive Offside, 5 yards (accepted) (no play)",-0.51,-0.06,14.0,2024,202
3.0,9:26,1.0,10.0,NYG 17,7.0,3.0,Drew Lock pass incomplete short right intended for Tyrone Tracy,-0.06,-0.58,14.0,2024,202
3.0,9:21,2.0,10.0,NYG 17,7.0,3.0,Drew Lock pass complete short middle to Wan'Dale Robinson for 8 yards (tackle by Ugo Amadi),-0.58,-0.24,14.0,2024,202
3.0,8:35,3.0,2.0,NYG 25,7.0,3.0,Drew Lock pass incomplete short middle intended for Wan'Dale Robinson (defended by Chase Young),-0.24,-1.7,14.0,2024,202
3.0,8:30,4.0,2.0,NYG 25,7.0,3.0,Jamie Gillan punts 44 yards out of bounds,-1.7,-1.0,14.0,2024,202
3.0,8:21,1.0,10.0,NOR 31,7.0,3.0,"Penalty on Lucas Patrick: False Start, 5 yards (accepted) (no play)",1.0,0.67,14.0,2024,202
3.0,8:21,1.0,15.0,NOR 26,7.0,3.0,Alvin Kamara right end for -2 yards (tackle by Micah McFadden),0.67,-0.49,14.0,2024,202
3.0,7:43,2.0,17.0,NOR 24,7.0,3.0,Derek Carr pass complete short middle to Alvin Kamara for 5 yards (tackle by Darius Muasau),-0.49,-0.49,14.0,2024,202
3.0,7:01,3.0,12.0,NOR 29,7.0,3.0,Derek Carr pass complete deep right to Cedrick Wilson for 18 yards (tackle by Tre Hawkins),-0.49,2.06,14.0,2024,202
3.0,6:18,1.0,10.0,NOR 47,7.0,3.0,Derek Carr pass incomplete short right intended for Kevin Austin,2.06,1.52,14.0,2024,202
3.0,6:13,2.0,10.0,NOR 47,7.0,3.0,Kendre Miller left end for 9 yards (tackle by Dane Belton and Cory Durden),1.52,2.02,14.0,2024,202
3.0,5:31,3.0,1.0,NYG 44,7.0,3.0,Kendre Miller right guard for 3 yards (tackle by Cory Durden),2.02,2.85,14.0,2024,202
3.0,4:52,1.0,10.0,NYG 41,7.0,3.0,Alvin Kamara left end for -2 yards (tackle by Jordon Riley),2.85,2.04,14.0,2024,202
3.0,4:13,2.0,12.0,NYG 43,7.0,3.0,Derek Carr pass complete short left to Foster Moreau for 32 yards (tackle by Jason Pinnock),2.04,4.84,14.0,2024,202
3.0,3:43,1.0,10.0,NYG 11,13.0,3.0,"Derek Carr pass complete short middle to Juwan Johnson for 11 yards, touchdown",4.84,7.0,14.0,2024,202
3.0,3:40,,,NYG 15,14.0,3.0,Blake Grupe kicks extra point good,0.0,0.0,14.0,2024,202
3.0,3:40,,,NOR 35,14.0,3.0,"Blake Grupe kicks off 60 yards, returned by Ihmir Smith-Marsette for 24 yards (tackle by Rico Payton)",0.0,0.87,14.0,2024,202
3.0,3:36,1.0,10.0,NYG 29,14.0,3.0,Tyrone Tracy up the middle for 5 yards (tackle by Pete Werner and Demario Davis),0.87,1.0,14.0,2024,202
3.0,3:06,2.0,5.0,NYG 34,14.0,3.0,Tyrone Tracy left tackle for 4 yards (tackle by Khalen Saunders),1.0,0.83,14.0,2024,202
3.0,2:33,3.0,1.0,NYG 38,14.0,3.0,Drew Lock pass complete short right to Wan'Dale Robinson for 8 yards (tackle by Ugo Amadi),0.83,1.99,14.0,2024,202
3.0,1:51,1.0,10.0,NYG 46,14.0,3.0,Drew Lock pass complete short left to Wan'Dale Robinson for 4 yards (tackle by Ugo Amadi),1.99,1.99,14.0,2024,202
3.0,1:24,2.0,6.0,NYG 50,14.0,3.0,Tyrone Tracy up the middle for 3 yards (tackle by Kool-Aid McKinstry),1.99,1.69,14.0,2024,202
3.0,0:51,3.0,3.0,NOR 47,14.0,3.0,Drew Lock pass complete short left to Daniel Bellinger for 9 yards (tackle by Demario Davis),1.69,3.05,14.0,2024,202
3.0,0:12,1.0,10.0,NOR 38,14.0,3.0,"Drew Lock scrambles up the middle for no gain (tackle by Pete Werner). Penalty on John Michael Schmitz: Offensive Holding, 10 yards (accepted) (no play)",3.05,2.39,14.0,2024,202
4.0,15:00,1.0,20.0,NOR 48,14.0,3.0,Drew Lock pass complete short middle to Malik Nabers for 14 yards (tackle by Ugo Amadi),2.39,3.05,14.0,2024,202
4.0,14:22,2.0,6.0,NOR 34,14.0,3.0,Tyrone Tracy left tackle for 4 yards (tackle by Nathan Shepherd and Khalen Saunders),3.05,2.87,14.0,2024,202
4.0,13:52,3.0,2.0,NOR 30,14.0,3.0,Drew Lock pass incomplete short left intended for Tyrone Tracy,2.87,1.5,14.0,2024,202
4.0,13:47,4.0,2.0,NOR 30,14.0,3.0,"Graham Gano yard field goal good. Penalty on Jake Kubas: Unnecessary Roughness / Offense, 15 yards (accepted) (no play)",1.5,0.27,14.0,2024,202
4.0,13:42,4.0,17.0,NOR 45,14.0,3.0,"Jamie Gillan punts 34 yards, fair catch by Dante Pettis at NO-11. Penalty on Jordan Howden: Running Into the Kicker, 5 yards (declined)",0.27,0.37,14.0,2024,202
4.0,13:35,1.0,10.0,NOR 11,14.0,3.0,Kendre Miller right end for 7 yards (tackle by Darius Muasau),-0.37,0.0,14.0,2024,202
4.0,12:59,2.0,3.0,NOR 18,14.0,3.0,Kendre Miller right end for 4 yards (tackle by Dane Belton),0.0,0.41,14.0,2024,202
4.0,12:25,1.0,10.0,NOR 22,14.0,3.0,Derek Carr pass complete short middle to Marquez Valdes-Scantling for 16 yards (tackle by Jason Pinnock and Tre Hawkins),0.41,1.47,14.0,2024,202
4.0,11:46,1.0,10.0,NOR 38,14.0,3.0,Kendre Miller right end for -3 yards (tackle by Micah McFadden and Tre Hawkins),1.47,0.52,14.0,2024,202
4.0,11:15,2.0,13.0,NOR 35,14.0,3.0,Derek Carr pass incomplete short right intended for Juwan Johnson,0.52,-0.16,14.0,2024,202
4.0,11:12,3.0,13.0,NOR 35,14.0,3.0,"Penalty on Derek Carr: Delay of Game, 5 yards (accepted) (no play)",-0.16,-0.82,14.0,2024,202
4.0,11:12,3.0,18.0,NOR 30,14.0,3.0,Alvin Kamara up the middle for 16 yards (tackle by Jason Pinnock and Art Green),-0.82,-0.32,14.0,2024,202
4.0,10:24,4.0,2.0,NOR 46,14.0,3.0,Matthew Hayball punts 36 yards downed by Payton Turner,-0.32,-0.04,14.0,2024,202
4.0,10:14,1.0,10.0,NYG 18,14.0,3.0,Drew Lock pass complete short left to Malik Nabers for 3 yards (tackle by Ugo Amadi),0.04,0.01,14.0,2024,202
4.0,9:46,2.0,7.0,NYG 21,14.0,3.0,Drew Lock pass complete short middle to Daniel Bellinger for 12 yards (tackle by Will Harris),0.01,1.14,14.0,2024,202
4.0,9:02,1.0,10.0,NYG 33,14.0,3.0,Tyrone Tracy up the middle for 1 yard (tackle by Carl Granderson),1.14,0.73,14.0,2024,202
4.0,8:25,2.0,9.0,NYG 34,14.0,3.0,Drew Lock pass incomplete deep left intended for Malik Nabers,0.73,0.04,14.0,2024,202
4.0,8:20,3.0,9.0,NYG 34,14.0,3.0,Drew Lock scrambles up the middle for 14 yards (tackle by Alontae Taylor and Demario Davis),0.04,2.13,14.0,2024,202
4.0,7:46,1.0,10.0,NYG 48,14.0,3.0,Tyrone Tracy left guard for 4 yards (tackle by Nathan Shepherd),2.13,2.12,14.0,2024,202
4.0,7:17,2.0,6.0,NOR 48,14.0,3.0,Drew Lock pass complete short left to Darius Slayton for 7 yards (tackle by Kool-Aid McKinstry),2.12,2.85,14.0,2024,202
4.0,6:41,1.0,10.0,NOR 41,14.0,3.0,Drew Lock sacked by Khalen Saunders for -8 yards,2.85,1.23,14.0,2024,202
4.0,6:01,2.0,18.0,NOR 49,14.0,3.0,Drew Lock pass incomplete deep left intended for Wan'Dale Robinson (defended by Demario Davis),1.23,0.56,14.0,2024,202
4.0,5:56,3.0,18.0,NOR 49,14.0,3.0,Drew Lock pass complete short right to Daniel Bellinger for 8 yards (tackle by Will Harris),0.56,0.53,14.0,2024,202
4.0,5:12,4.0,10.0,NOR 41,14.0,3.0,Drew Lock pass complete deep middle to Wan'Dale Robinson for 18 yards (tackle by Alontae Taylor),0.53,4.04,14.0,2024,202
4.0,4:40,1.0,10.0,NOR 23,14.0,3.0,Drew Lock pass complete deep left to Malik Nabers for 22 yards (tackle by Kool-Aid McKinstry),4.04,6.97,14.0,2024,202
4.0,4:14,,,,,,Timeout #1 by New Orleans Saints,,,14.0,2024,202
4.0,4:14,1.0,1.0,NOR 1,14.0,9.0,"Tyrone Tracy right guard for no gain Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Tyrone Tracy right guard for 1 yard, touchdown",6.97,7.0,14.0,2024,202
4.0,4:11,,,NOR 2,14.0,11.0,Two Point Attempt: Drew Lock pass complete to to Malik Nabers for no gain,1.0,1.0,14.0,2024,202
4.0,4:11,,,NYG 35,14.0,11.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,202
4.0,4:11,1.0,10.0,NOR 30,14.0,11.0,Derek Carr pass incomplete deep left intended for Marquez Valdes-Scantling,0.94,0.39,14.0,2024,202
4.0,4:06,2.0,10.0,NOR 30,14.0,11.0,Derek Carr right end for 9 yards (tackle by Adoree' Jackson and Dane Belton),0.39,0.89,14.0,2024,202
4.0,3:59,3.0,1.0,NOR 39,14.0,11.0,Kendre Miller left end for -1 yards (tackle by Micah McFadden),0.89,-0.85,14.0,2024,202
