Quarter,Time,Down,ToGo,Location,CIN,DAL,Detail,EPB,EPA,week,year,game_id
2.0,9:15,2.0,5.0,DAL 49,7.0,7.0,Cooper Rush pass complete short middle to Rico Dowdle for 10 yards (tackle by Jordan Battle),1.99,2.85,14.0,2024,208
2.0,8:38,1.0,10.0,CIN 41,7.0,7.0,Rico Dowdle left guard for 19 yards (tackle by Germaine Pratt),2.85,4.11,14.0,2024,208
2.0,7:56,1.0,10.0,CIN 22,7.0,7.0,Ezekiel Elliott left guard for 1 yard (tackle by Myles Murphy and McKinnley Jackson),4.11,3.7,14.0,2024,208
2.0,7:18,2.0,9.0,CIN 21,7.0,7.0,Cooper Rush pass complete short right to Jake Ferguson for 4 yards (tackle by Mike Hilton),3.7,3.56,14.0,2024,208
2.0,6:32,3.0,5.0,CIN 17,7.0,7.0,Cooper Rush pass incomplete short right intended for Jalen Tolbert,3.56,2.36,14.0,2024,208
2.0,6:26,4.0,5.0,CIN 17,7.0,10.0,Brandon Aubrey 35 yard field goal good,2.36,3.0,14.0,2024,208
2.0,6:23,,,DAL 35,7.0,10.0,"Brandon Aubrey kicks off 64 yards, returned by Khalil Herbert for 35 yards (tackle by C.J. Goodwin)",0.0,1.33,14.0,2024,208
2.0,6:17,1.0,10.0,CIN 36,7.0,10.0,Chase Brown right end for 3 yards (tackle by Chauncey Golston),1.33,1.2,14.0,2024,208
2.0,5:38,2.0,7.0,CIN 39,7.0,10.0,Joe Burrow pass incomplete short left intended for Tee Higgins,1.2,0.5,14.0,2024,208
2.0,5:34,3.0,7.0,CIN 39,7.0,10.0,Joe Burrow pass complete short right to Andrei Iosivas for 23 yards (tackle by Malik Hooker and Eric Kendricks),0.5,3.05,14.0,2024,208
2.0,4:53,1.0,10.0,DAL 38,7.0,10.0,Joe Burrow pass complete short left to Ja'Marr Chase for 14 yards,3.05,3.97,14.0,2024,208
2.0,4:12,1.0,10.0,DAL 24,7.0,10.0,Joe Burrow pass complete short right to Mike Gesicki for 5 yards (tackle by DeMarvion Overshown),3.97,4.12,14.0,2024,208
2.0,3:36,2.0,5.0,DAL 19,13.0,10.0,"Joe Burrow pass complete short left to Chase Brown for 13 yards (tackle by Donovan Wilson) CIN challenged the runner was in bounds ruling, and the original play was overturned. Joe Burrow pass complete short left to Chase Brown for 19 yards, touchdown",4.12,7.0,14.0,2024,208
2.0,3:30,,,DAL 15,14.0,10.0,Cade York kicks extra point good,0.0,0.0,14.0,2024,208
2.0,3:30,,,CIN 35,14.0,10.0,"Cade York kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,208
2.0,3:30,1.0,10.0,DAL 30,14.0,10.0,Cooper Rush pass incomplete short middle intended for Jonathan Mingo,0.94,0.39,14.0,2024,208
2.0,3:26,2.0,10.0,DAL 30,14.0,10.0,Rico Dowdle left guard for 3 yards (tackle by B.J. Hill and Germaine Pratt),0.39,0.1,14.0,2024,208
2.0,2:48,3.0,7.0,DAL 33,14.0,10.0,"Penalty on Jake Ferguson: False Start, 5 yards (accepted) (no play)",0.1,-0.56,14.0,2024,208
2.0,2:32,3.0,12.0,DAL 28,14.0,10.0,Cooper Rush sacked by Joseph Ossai for -8 yards,-0.56,-2.03,14.0,2024,208
2.0,2:00,4.0,20.0,DAL 20,14.0,10.0,"Bryan Anger punts 47 yards, returned by Isaiah Williams for 12 yards (tackle by C.J. Goodwin)",-2.03,-1.93,14.0,2024,208
2.0,1:50,1.0,10.0,CIN 45,14.0,10.0,Joe Burrow pass complete short middle to Ja'Marr Chase for 11 yards (tackle by Eric Kendricks and Jourdan Lewis),1.93,2.65,14.0,2024,208
2.0,1:25,1.0,10.0,DAL 44,14.0,10.0,Joe Burrow pass complete short left to Andrei Iosivas for 6 yards (tackle by Eric Kendricks),2.65,2.92,14.0,2024,208
2.0,1:02,2.0,4.0,DAL 38,14.0,10.0,Joe Burrow pass complete short left to Ja'Marr Chase for 16 yards (tackle by Jourdan Lewis),2.92,4.11,14.0,2024,208
2.0,0:52,,,,,,Timeout #1 by Cincinnati Bengals,,,14.0,2024,208
2.0,0:52,1.0,10.0,DAL 22,14.0,10.0,Joe Burrow pass incomplete deep left intended for Ja'Marr Chase (defended by Trevon Diggs),4.11,3.56,14.0,2024,208
2.0,0:47,2.0,10.0,DAL 22,14.0,10.0,Joe Burrow pass complete short left to Chase Brown for 3 yards (tackle by Jourdan Lewis and DaRon Bland),3.56,3.26,14.0,2024,208
2.0,0:38,,,,,,Timeout #2 by Cincinnati Bengals,,,14.0,2024,208
2.0,0:38,3.0,7.0,DAL 19,14.0,10.0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase,3.26,2.18,14.0,2024,208
2.0,0:34,4.0,7.0,DAL 19,17.0,10.0,Cade York 37 yard field goal good,2.18,3.0,14.0,2024,208
2.0,0:30,,,CIN 35,17.0,10.0,"Cade York kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,208
2.0,0:30,1.0,10.0,DAL 30,17.0,10.0,Cooper Rush pass complete short right to Hunter Luepke for 5 yards (tackle by Josh Newton),0.94,1.07,14.0,2024,208
2.0,0:24,2.0,5.0,DAL 35,17.0,10.0,Cooper Rush pass incomplete short right intended for Jake Ferguson (defended by Germaine Pratt),1.07,0.37,14.0,2024,208
2.0,0:20,3.0,5.0,DAL 35,17.0,10.0,Cooper Rush pass incomplete short right intended for Brandin Cooks,0.37,-1.04,14.0,2024,208
2.0,0:15,4.0,5.0,DAL 35,17.0,10.0,"Bryan Anger punts 51 yards, returned by Isaiah Williams for no gain (tackle by Luke Schoonmaker and Brevyn Spann-Ford). Penalty on Tycen Anderson: Offensive Illegal Block Above the Waist, 7 yards (accepted)",-1.04,0.38,14.0,2024,208
2.0,0:03,1.0,10.0,CIN 7,17.0,10.0,Joe Burrow kneels for -1 yards,-0.38,-0.85,14.0,2024,208
3.0,15:00,,,CIN 35,17.0,10.0,"Cade York kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,208
3.0,15:00,1.0,10.0,DAL 30,17.0,10.0,Cooper Rush pass incomplete short right intended for Jalen Tolbert,0.94,0.39,14.0,2024,208
3.0,14:54,2.0,10.0,DAL 30,17.0,10.0,"Cooper Rush pass complete short right to Brandin Cooks for no gain (tackle by Josh Newton). Penalty on Josh Newton: Illegal Contact, 5 yards (accepted) (no play)",0.39,1.27,14.0,2024,208
3.0,14:34,1.0,10.0,DAL 35,17.0,10.0,Rico Dowdle left tackle for 3 yards (tackle by B.J. Hill and Akeem Davis-Gaither),1.27,1.13,14.0,2024,208
3.0,14:01,2.0,7.0,DAL 38,17.0,10.0,KaVontae Turpin right end for 5 yards (tackle by Kris Jenkins),1.13,1.09,14.0,2024,208
3.0,13:26,3.0,2.0,DAL 43,17.0,10.0,Cooper Rush pass complete deep middle to KaVontae Turpin for 16 yards (tackle by Geno Stone),1.09,2.85,14.0,2024,208
3.0,12:43,1.0,10.0,CIN 41,17.0,10.0,Cooper Rush pass complete short right to Luke Schoonmaker for 8 yards (tackle by Josh Newton),2.85,3.39,14.0,2024,208
3.0,12:03,2.0,2.0,CIN 33,17.0,10.0,Rico Dowdle right tackle for 27 yards (tackle by Geno Stone),3.39,5.83,14.0,2024,208
3.0,11:19,1.0,6.0,CIN 6,17.0,10.0,Ezekiel Elliott left guard for 3 yards (tackle by Myles Murphy),5.83,5.53,14.0,2024,208
3.0,10:37,2.0,3.0,CIN 3,17.0,16.0,"Cooper Rush pass complete short right to Brandin Cooks for 3 yards, touchdown. Penalty on Josh Newton: Defensive Holding, 5 yards (declined)",5.53,7.0,14.0,2024,208
3.0,10:32,,,CIN 15,17.0,17.0,Brandon Aubrey kicks extra point good,0.0,0.0,14.0,2024,208
3.0,10:32,,,DAL 35,17.0,17.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,208
3.0,10:32,1.0,10.0,CIN 30,17.0,17.0,Joe Burrow pass complete short left to Ja'Marr Chase for 8 yards (tackle by Trevon Diggs),0.94,1.47,14.0,2024,208
3.0,9:57,2.0,2.0,CIN 38,17.0,17.0,Chase Brown left guard for 9 yards (tackle by Jourdan Lewis),1.47,2.06,14.0,2024,208
3.0,9:17,1.0,10.0,CIN 47,17.0,17.0,Joe Burrow pass complete short middle to Ja'Marr Chase for 6 yards (tackle by DeMarvion Overshown),2.06,2.33,14.0,2024,208
3.0,8:33,2.0,4.0,DAL 47,17.0,17.0,Joe Burrow pass incomplete short right,2.33,1.62,14.0,2024,208
3.0,8:22,3.0,4.0,DAL 47,17.0,17.0,Joe Burrow pass complete short left to Ja'Marr Chase for 8 yards (tackle by Jourdan Lewis),1.62,2.98,14.0,2024,208
3.0,7:44,1.0,10.0,DAL 39,17.0,17.0,Chase Brown left guard for 6 yards (tackle by Osa Odighizuwa),2.98,3.25,14.0,2024,208
3.0,7:01,2.0,4.0,DAL 33,17.0,17.0,"Joe Burrow pass incomplete short right intended for Chase Brown. Penalty on Cordell Volson: Ineligible Downfield Pass, 5 yards (accepted) (no play)",3.25,2.58,14.0,2024,208
3.0,7:01,2.0,9.0,DAL 38,17.0,17.0,Joe Burrow pass deep middle intended for Ja'Marr Chase is intercepted by Malik Hooker at DAL-18 and returned for -1 yards (tackle by Ja'Marr Chase),2.58,0.06,14.0,2024,208
3.0,6:50,1.0,10.0,DAL 17,17.0,17.0,Cooper Rush pass complete short middle to Jake Ferguson for 20 yards (tackle by Jordan Battle and Akeem Davis-Gaither),-0.06,1.4,14.0,2024,208
3.0,6:18,1.0,10.0,DAL 37,17.0,17.0,Rico Dowdle left guard for 7 yards (tackle by Jordan Battle),1.4,1.8,14.0,2024,208
3.0,5:39,2.0,3.0,DAL 44,17.0,17.0,CeeDee Lamb left end for 1 yard (tackle by Akeem Davis-Gaither),1.8,1.22,14.0,2024,208
3.0,5:16,3.0,2.0,DAL 45,17.0,17.0,Cooper Rush up the middle for 2 yards (tackle by Joseph Ossai),1.22,2.06,14.0,2024,208
3.0,4:32,1.0,10.0,DAL 47,17.0,17.0,Rico Dowdle right guard for no gain (tackle by Akeem Davis-Gaither),2.06,1.52,14.0,2024,208
3.0,4:00,2.0,10.0,DAL 47,17.0,17.0,KaVontae Turpin right end for 10 yards (tackle by Akeem Davis-Gaither),1.52,2.72,14.0,2024,208
3.0,3:19,1.0,10.0,CIN 43,17.0,17.0,Cooper Rush pass incomplete short right intended for KaVontae Turpin (defended by Mike Hilton),2.72,2.18,14.0,2024,208
3.0,3:12,2.0,10.0,CIN 43,17.0,17.0,Cooper Rush pass complete short left to CeeDee Lamb for 7 yards (tackle by Cam Taylor-Britt),2.18,2.41,14.0,2024,208
3.0,2:33,3.0,3.0,CIN 36,17.0,17.0,Rico Dowdle up the middle for 7 yards (tackle by Myles Murphy),2.41,3.64,14.0,2024,208
3.0,1:57,1.0,10.0,CIN 29,17.0,17.0,"Cooper Rush sacked by B.J. Hill for -1 yards. Penalty on T.J. Bass: Offensive Holding, 10 yards (declined) . Penalty on Luke Schoonmaker: Unnecessary Roughness / Offense, 15 yards (accepted)",3.64,0.94,14.0,2024,208
3.0,1:26,2.0,26.0,CIN 45,17.0,17.0,Cooper Rush pass complete short middle to Ezekiel Elliott for 2 yards (tackle by Akeem Davis-Gaither),0.94,0.56,14.0,2024,208
3.0,0:45,3.0,24.0,CIN 43,17.0,17.0,Rico Dowdle left guard for 14 yards (tackle by Geno Stone),0.56,1.5,14.0,2024,208
4.0,15:00,4.0,10.0,CIN 29,17.0,20.0,Brandon Aubrey 47 yard field goal good,1.5,3.0,14.0,2024,208
4.0,14:55,,,DAL 35,17.0,20.0,"Brandon Aubrey kicks off 65 yards, returned by Khalil Herbert for 32 yards (tackle by Kemon Hall and Princeton Fant)",0.0,1.07,14.0,2024,208
4.0,14:49,1.0,10.0,CIN 32,17.0,20.0,Joe Burrow pass complete short right to Chase Brown for 15 yards (tackle by Donovan Wilson),1.07,2.06,14.0,2024,208
4.0,14:15,1.0,10.0,CIN 47,17.0,20.0,Joe Burrow pass complete short middle to Ja'Marr Chase for 11 yards (tackle by DaRon Bland),2.06,2.79,14.0,2024,208
4.0,13:42,1.0,10.0,DAL 42,17.0,20.0,Chase Brown left guard for 9 yards (tackle by Malik Hooker),2.79,3.46,14.0,2024,208
4.0,13:04,2.0,1.0,DAL 33,17.0,20.0,Chase Brown up the middle for 2 yards (tackle by Eric Kendricks and Donovan Wilson),3.46,3.51,14.0,2024,208
4.0,12:40,1.0,10.0,DAL 31,17.0,20.0,Joe Burrow pass complete short middle to Mike Gesicki for 13 yards (tackle by Donovan Wilson),3.51,4.37,14.0,2024,208
4.0,11:54,1.0,10.0,DAL 18,17.0,20.0,Joe Burrow pass complete short right to Mike Gesicki for 6 yards (tackle by DaRon Bland),4.37,4.81,14.0,2024,208
4.0,11:17,2.0,4.0,DAL 12,17.0,20.0,Chase Brown up the middle for 2 yards (tackle by Malik Hooker),4.81,4.51,14.0,2024,208
4.0,10:36,3.0,2.0,DAL 10,17.0,20.0,Joe Burrow pass incomplete short right intended for Tee Higgins,4.51,2.89,14.0,2024,208
4.0,10:28,4.0,2.0,DAL 10,20.0,20.0,Cade York 29 yard field goal good,2.89,3.0,14.0,2024,208
4.0,10:24,,,CIN 35,20.0,20.0,"Cade York kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,208
4.0,10:24,1.0,10.0,DAL 30,20.0,20.0,Rico Dowdle up the middle for -1 yards (tackle by Germaine Pratt),0.94,0.26,14.0,2024,208
4.0,9:52,2.0,11.0,DAL 29,20.0,20.0,Cooper Rush pass incomplete deep right intended for KaVontae Turpin (defended by Marco Wilson),0.26,-0.43,14.0,2024,208
4.0,9:47,3.0,11.0,DAL 29,20.0,20.0,Cooper Rush pass incomplete short left intended for Jalen Tolbert,-0.43,-1.44,14.0,2024,208
4.0,9:43,4.0,11.0,DAL 29,20.0,20.0,"Bryan Anger punts 52 yards, returned by Isaiah Williams for 7 yards (tackle by Kemon Hall)",-1.44,-0.67,14.0,2024,208
4.0,9:33,1.0,10.0,CIN 26,20.0,20.0,Chase Brown up the middle for 4 yards (tackle by Mazi Smith and Osa Odighizuwa),0.67,0.67,14.0,2024,208
4.0,8:54,2.0,6.0,CIN 30,20.0,20.0,Joe Burrow pass complete short middle to Tanner Hudson for 19 yards (tackle by Donovan Wilson),0.67,2.19,14.0,2024,208
4.0,8:17,1.0,10.0,CIN 49,20.0,20.0,Chase Brown right end for -3 yards (tackle by Eric Kendricks),2.19,1.24,14.0,2024,208
4.0,7:32,2.0,13.0,CIN 46,20.0,20.0,"Joe Burrow pass complete short left to Andrei Iosivas for no gain. Andrei Iosivas fumbles (forced by Trevon Diggs), recovered by Donovan Wilson at CIN-46 (tackle by Alex Cappa) Replay Assistant challenged the pass completion ruling, and the original play was overturned. Joe Burrow pass incomplete short left intended for Andrei Iosivas (defended by Trevon Diggs)",1.24,0.56,14.0,2024,208
4.0,7:28,3.0,13.0,CIN 46,20.0,20.0,"Joe Burrow sacked by and Donovan Wilson for -2 yards and Marist Liufau for -2 yards. Joe Burrow fumbles (forced by Donovan Wilson), recovered by Tanner Hudson at CIN-44",0.56,-0.46,14.0,2024,208
4.0,6:42,4.0,15.0,CIN 44,20.0,20.0,"Penalty on Ryan Rehkow: Delay of Game, 5 yards (accepted) (no play)",-0.46,-0.78,14.0,2024,208
4.0,6:42,4.0,20.0,CIN 39,20.0,20.0,"Ryan Rehkow punts 61 yards, touchback.",-0.78,-0.28,14.0,2024,208
4.0,6:31,1.0,10.0,DAL 20,20.0,20.0,Rico Dowdle up the middle for 14 yards (tackle by Geno Stone and Akeem Davis-Gaither),0.28,1.2,14.0,2024,208
4.0,5:56,1.0,10.0,DAL 34,20.0,20.0,Cooper Rush pass incomplete short left intended for Jake Ferguson,1.2,0.66,14.0,2024,208
4.0,5:53,2.0,10.0,DAL 34,20.0,20.0,Cooper Rush pass incomplete deep left intended for Brandin Cooks,0.66,-0.03,14.0,2024,208
4.0,5:48,3.0,10.0,DAL 34,20.0,20.0,Cooper Rush pass incomplete short middle intended for KaVontae Turpin (defended by Akeem Davis-Gaither),-0.03,-1.11,14.0,2024,208
4.0,5:34,4.0,10.0,DAL 34,20.0,20.0,"Bryan Anger punts 48 yards, returned by Isaiah Williams for 6 yards (tackle by Hunter Luepke). Penalty on Tanner Hudson: Offensive Illegal Block Above the Waist, 10 yards (accepted)",-1.11,0.28,14.0,2024,208
4.0,5:31,1.0,10.0,CIN 14,20.0,20.0,Joe Burrow pass complete deep left to Ja'Marr Chase for 16 yards,-0.28,0.94,14.0,2024,208
4.0,4:55,1.0,10.0,CIN 30,20.0,20.0,Joe Burrow pass complete short left to Andrei Iosivas for 5 yards (tackle by Jourdan Lewis),0.94,1.07,14.0,2024,208
4.0,4:12,2.0,5.0,CIN 35,20.0,20.0,"Joe Burrow pass incomplete short middle intended for Ja'Marr Chase. Penalty on Jourdan Lewis: Defensive Pass Interference, 11 yards (accepted) (no play)",1.07,1.99,14.0,2024,208
4.0,4:06,1.0,10.0,CIN 46,20.0,20.0,Chase Brown right guard for 3 yards (tackle by Eric Kendricks and Malik Hooker),1.99,1.86,14.0,2024,208
4.0,3:24,2.0,7.0,CIN 49,20.0,20.0,"Joe Burrow pass complete short left to Ja'Marr Chase for 1 yard (tackle by Trevon Diggs). Penalty on Andrei Iosivas: Offensive Holding, 10 yards (accepted)",1.86,0.64,14.0,2024,208
4.0,3:18,2.0,16.0,CIN 40,20.0,20.0,"Joe Burrow pass complete short right to Drew Sample for no gain. Drew Sample fumbles (tackle by Donovan Wilson. Penalty on Cody Ford: Offensive Holding, 10 yards (accepted) . Drew Sample fumbles out of bounds (no play)",0.64,-0.71,14.0,2024,208
4.0,3:07,2.0,26.0,CIN 30,20.0,20.0,Joe Burrow pass complete short middle to Chase Brown for 7 yards (tackle by Eric Kendricks and DaRon Bland),-0.71,-0.43,14.0,2024,208
4.0,2:25,3.0,19.0,CIN 37,20.0,20.0,Joe Burrow sacked by Marist Liufau for -8 yards,-0.43,-1.44,14.0,2024,208
4.0,2:00,4.0,27.0,CIN 29,20.0,20.0,"Ryan Rehkow punts 14 yards, recovered by Maema Njongmeta at CIN-43",-1.44,1.8,14.0,2024,208
4.0,1:53,1.0,10.0,CIN 43,20.0,20.0,Joe Burrow pass complete short left to Andrei Iosivas for 7 yards,1.8,2.2,14.0,2024,208
4.0,1:49,2.0,3.0,CIN 50,20.0,20.0,Chase Brown up the middle for 10 yards (tackle by Malik Hooker and Donovan Wilson),2.2,2.92,14.0,2024,208
4.0,1:09,1.0,10.0,DAL 40,26.0,20.0,"Joe Burrow pass complete short right to Ja'Marr Chase for 40 yards, touchdown",2.92,7.0,14.0,2024,208
4.0,1:01,,,DAL 15,27.0,20.0,Cade York kicks extra point good,0.0,0.0,14.0,2024,208
4.0,1:01,,,CIN 35,27.0,20.0,"Cade York kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,208
4.0,1:01,1.0,10.0,DAL 30,27.0,20.0,Cooper Rush pass complete short right to CeeDee Lamb for 15 yards (tackle by Mike Hilton),0.94,1.93,14.0,2024,208
