Quarter,Time,Down,ToGo,Location,LAC,KAN,Detail,EPB,EPA,week,year,game_id
2.0,2:00,2.0,3.0,KAN 44,0.0,6.0,Patrick Mahomes pass complete short left to Noah Gray for 8 yards (tackle by Junior Colson),1.8,2.39,14.0,2024,207
2.0,1:43,1.0,10.0,LAC 48,0.0,6.0,"Patrick Mahomes pass incomplete deep left intended for JuJu Smith-Schuster. Penalty on Kristian Fulton: Defensive Pass Interference, 15 yards (accepted) (no play)",2.39,3.38,14.0,2024,207
2.0,1:37,1.0,10.0,LAC 33,0.0,6.0,Patrick Mahomes pass complete short right to Travis Kelce for 13 yards (tackle by Junior Colson),3.38,4.24,14.0,2024,207
2.0,1:18,1.0,10.0,LAC 20,0.0,6.0,Patrick Mahomes pass complete short left to Noah Gray for 8 yards (tackle by Daiyan Henley),4.24,5.04,14.0,2024,207
2.0,0:56,2.0,2.0,LAC 12,0.0,6.0,Samaje Perine up the middle for 3 yards (tackle by Marcus Maye and Troy Dye),5.04,5.14,14.0,2024,207
2.0,0:50,,,,,,Timeout #1 by Kansas City Chiefs,,,14.0,2024,207
2.0,0:50,1.0,9.0,LAC 9,0.0,12.0,"Patrick Mahomes pass complete short right to DeAndre Hopkins for 9 yards, touchdown",5.14,7.0,14.0,2024,207
2.0,0:47,,,LAC 15,0.0,13.0,Matthew Wright kicks extra point good,0.0,0.0,14.0,2024,207
2.0,0:47,,,KAN 35,0.0,13.0,"Justin Reid kicks off 65 yards, returned by Derius Davis for 21 yards (tackle by Chamarri Conner)",0.0,0.34,14.0,2024,207
2.0,0:42,1.0,10.0,LAC 21,0.0,13.0,Justin Herbert pass complete short left to Quentin Johnston for 6 yards (tackle by Drue Tranquill and Joshua Williams),0.34,0.61,14.0,2024,207
2.0,0:36,,,,,,Timeout #2 by Los Angeles Chargers,,,14.0,2024,207
2.0,0:36,2.0,4.0,LAC 27,0.0,13.0,Justin Herbert pass complete short left to Josh Palmer for 3 yards (tackle by Joshua Williams),0.61,0.3,14.0,2024,207
2.0,0:18,3.0,1.0,LAC 30,0.0,13.0,Kimani Vidal left guard for 7 yards (tackle by Drue Tranquill),0.3,1.4,14.0,2024,207
2.0,0:11,,,,,,Timeout #3 by Los Angeles Chargers,,,14.0,2024,207
2.0,0:11,1.0,10.0,LAC 37,0.0,13.0,Justin Herbert pass incomplete deep right intended for Derius Davis,1.4,0.86,14.0,2024,207
2.0,0:05,2.0,10.0,LAC 37,0.0,13.0,Justin Herbert pass complete short middle to Will Dissly for 15 yards (tackle by Justin Reid),0.86,2.39,14.0,2024,207
3.0,15:00,,,KAN 35,0.0,13.0,"Justin Reid kicks off 65 yards, returned by Derius Davis for 21 yards (tackle by Jack Cochrane and Christian Roland-Wallace)",0.0,0.34,14.0,2024,207
3.0,14:55,1.0,10.0,LAC 21,0.0,13.0,Gus Edwards left end for 3 yards (tackle by Leo Chenal and Mike Pennel),0.34,0.21,14.0,2024,207
3.0,14:16,2.0,7.0,LAC 24,0.0,13.0,Justin Herbert pass complete short right to Josh Palmer for 6 yards (tackle by Chamarri Conner),0.21,0.3,14.0,2024,207
3.0,13:39,3.0,1.0,LAC 30,0.0,13.0,Justin Herbert up the middle for 1 yard (tackle by Leo Chenal and Michael Danna),0.3,1.0,14.0,2024,207
3.0,13:02,1.0,10.0,LAC 31,0.0,13.0,Kimani Vidal left end for 8 yards (tackle by Nick Bolton),1.0,1.54,14.0,2024,207
3.0,12:25,2.0,2.0,LAC 39,0.0,13.0,"Kimani Vidal left end for 8 yards (tackle by Nick Bolton). Penalty on Derrick Nnadi: Defensive Holding, 5 yards (accepted)",1.54,2.39,14.0,2024,207
3.0,11:59,1.0,10.0,KAN 48,0.0,13.0,Kimani Vidal right end for 1 yard (tackle by Chris Jones),2.39,1.98,14.0,2024,207
3.0,11:17,2.0,9.0,KAN 47,0.0,13.0,Justin Herbert pass complete short left to Derius Davis for 7 yards (tackle by Chamarri Conner),1.98,2.21,14.0,2024,207
3.0,10:40,3.0,2.0,KAN 40,0.0,13.0,Derius Davis left end for no gain (tackle by Justin Reid),2.21,0.59,14.0,2024,207
3.0,10:00,,,,,,Timeout #1 by Kansas City Chiefs,,,14.0,2024,207
3.0,10:00,4.0,2.0,KAN 40,0.0,13.0,Justin Herbert pass complete short left to Josh Palmer for 15 yards (tackle by Trent McDuffie),0.59,3.91,14.0,2024,207
3.0,9:18,1.0,10.0,KAN 25,0.0,13.0,Justin Herbert pass complete short left to Derius Davis for -6 yards (tackle by Chris Jones),3.91,2.55,14.0,2024,207
3.0,8:38,2.0,16.0,KAN 31,0.0,13.0,Justin Herbert pass complete deep right to Stone Smartt for 21 yards (tackle by Chamarri Conner),2.55,4.91,14.0,2024,207
3.0,7:56,1.0,10.0,KAN 10,0.0,13.0,Gus Edwards right end for 7 yards (tackle by Mike Pennel),4.91,5.53,14.0,2024,207
3.0,7:15,2.0,3.0,KAN 3,6.0,13.0,"Gus Edwards left guard for 3 yards, touchdown",5.53,7.0,14.0,2024,207
3.0,7:12,,,KAN 15,7.0,13.0,Cameron Dicker kicks extra point good,0.0,0.0,14.0,2024,207
3.0,7:12,,,LAC 35,7.0,13.0,"Cameron Dicker kicks off 65 yards, returned by Nikko Remigio for 25 yards (tackle by Elijah Molden). Penalty on Jack Cochrane: Offensive Holding, 10 yards (accepted)",0.0,-0.22,14.0,2024,207
3.0,7:04,1.0,10.0,KAN 15,7.0,13.0,Patrick Mahomes pass complete short left to Isiah Pacheco for 6 yards (tackle by Daiyan Henley),-0.22,0.21,14.0,2024,207
3.0,6:33,2.0,4.0,KAN 21,7.0,13.0,Isiah Pacheco right guard for 3 yards (tackle by Otito Ogbonnia and Teair Tart),0.21,-0.27,14.0,2024,207
3.0,5:58,3.0,1.0,KAN 24,7.0,13.0,Patrick Mahomes pass incomplete short left intended for DeAndre Hopkins (defended by Khalil Mack),-0.27,-1.77,14.0,2024,207
3.0,5:49,4.0,1.0,KAN 24,7.0,13.0,"Matt Araiza punts 50 yards, fair catch by Derius Davis at LAC-26",-1.77,-0.67,14.0,2024,207
3.0,5:42,1.0,10.0,LAC 26,7.0,13.0,"Justin Herbert pass incomplete deep right intended for Quentin Johnston. Penalty on Justin Reid: Defensive Pass Interference, 39 yards (accepted) (no play)",0.67,3.25,14.0,2024,207
3.0,5:35,1.0,10.0,KAN 35,7.0,13.0,Justin Herbert pass complete deep left to Stone Smartt for 24 yards (tackle by Nick Bolton),3.25,4.84,14.0,2024,207
3.0,4:55,1.0,10.0,KAN 11,7.0,13.0,Gus Edwards left guard for 7 yards (tackle by George Karlaftis and Jaden Hicks),4.84,5.47,14.0,2024,207
3.0,4:21,2.0,3.0,KAN 4,7.0,13.0,Gus Edwards right tackle for no gain (tackle by Mike Pennel and Chamarri Conner),5.47,4.67,14.0,2024,207
3.0,3:36,3.0,3.0,KAN 4,13.0,13.0,"Justin Herbert pass complete short right to Quentin Johnston for 4 yards, touchdown",4.67,7.0,14.0,2024,207
3.0,3:30,,,KAN 15,14.0,13.0,Cameron Dicker kicks extra point good,0.0,0.0,14.0,2024,207
3.0,3:30,,,LAC 35,14.0,13.0,"Cameron Dicker kicks off 69 yards, returned by Nikko Remigio for 27 yards (tackle by Marcus Maye)",0.0,0.48,14.0,2024,207
3.0,3:25,1.0,10.0,KAN 23,14.0,13.0,Kareem Hunt left guard for 2 yards (tackle by Bud Dupree),0.48,0.2,14.0,2024,207
3.0,2:52,2.0,8.0,KAN 25,14.0,13.0,Patrick Mahomes pass incomplete short left intended for DeAndre Hopkins,0.2,-0.49,14.0,2024,207
3.0,2:48,3.0,8.0,KAN 25,14.0,13.0,"Patrick Mahomes pass deep right is intercepted by Elijah Molden at LAC-43 and returned for no gain (tackle by Xavier Worthy). Penalty on Joey Bosa: Defensive Offside, 5 yards (accepted) (no play)",-0.49,0.17,14.0,2024,207
3.0,2:39,3.0,3.0,KAN 30,14.0,13.0,Patrick Mahomes pass complete short right to Samaje Perine for 16 yards (tackle by Kristian Fulton and Marcus Maye),0.17,1.99,14.0,2024,207
3.0,2:00,1.0,10.0,KAN 46,14.0,13.0,Patrick Mahomes pass complete short right to Travis Kelce for 7 yards (tackle by Daiyan Henley),1.99,2.4,14.0,2024,207
3.0,1:21,2.0,3.0,LAC 47,14.0,13.0,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 5 yards (tackle by Elijah Molden),2.4,2.79,14.0,2024,207
3.0,0:44,1.0,10.0,LAC 42,14.0,13.0,Patrick Mahomes pass incomplete deep right intended for DeAndre Hopkins,2.79,2.24,14.0,2024,207
3.0,0:38,2.0,10.0,LAC 42,14.0,13.0,Isiah Pacheco up the middle for 7 yards (tackle by Daiyan Henley),2.24,2.48,14.0,2024,207
4.0,15:00,3.0,3.0,LAC 35,14.0,13.0,Isiah Pacheco up the middle for 9 yards (tackle by Daiyan Henley and Elijah Molden),2.48,3.84,14.0,2024,207
4.0,14:22,1.0,10.0,LAC 26,14.0,13.0,Isiah Pacheco right end for 6 yards (tackle by Tarheeb Still),3.84,4.11,14.0,2024,207
4.0,13:39,2.0,4.0,LAC 20,14.0,13.0,"Isiah Pacheco right guard for 3 yards (tackle by Troy Dye). Penalty on Trey Smith: Unnecessary Roughness / Offense, 15 yards (accepted)",4.11,1.82,14.0,2024,207
4.0,13:18,3.0,16.0,LAC 32,14.0,13.0,Patrick Mahomes pass incomplete deep left intended for DeAndre Hopkins (defended by Cam Hart) (defended by Ja'Sir Taylor),1.82,1.24,14.0,2024,207
4.0,13:09,4.0,16.0,LAC 32,14.0,16.0,Matthew Wright 50 yard field goal good,1.24,3.0,14.0,2024,207
4.0,13:04,,,KAN 35,14.0,16.0,"Justin Reid kicks off 68 yards, returned by Derius Davis for 27 yards (tackle by Justin Reid)",0.0,0.54,14.0,2024,207
4.0,12:58,1.0,10.0,LAC 24,14.0,16.0,Justin Herbert sacked by Nick Bolton for -8 yards,0.54,-1.22,14.0,2024,207
4.0,12:15,2.0,18.0,LAC 16,14.0,16.0,Justin Herbert pass complete short left to Quentin Johnston for 20 yards (tackle by Joshua Williams),-1.22,1.33,14.0,2024,207
4.0,11:41,1.0,10.0,LAC 36,14.0,16.0,Kimani Vidal left end for 3 yards (tackle by Bryan Cook and Michael Danna),1.33,1.2,14.0,2024,207
4.0,10:55,2.0,7.0,LAC 39,14.0,16.0,Justin Herbert pass complete short left to Stone Smartt for 9 yards (tackle by Drue Tranquill),1.2,2.13,14.0,2024,207
4.0,10:16,1.0,10.0,LAC 48,14.0,16.0,Gus Edwards right guard for 10 yards (tackle by Bryan Cook and Justin Reid),2.13,2.79,14.0,2024,207
4.0,9:39,1.0,10.0,KAN 42,14.0,16.0,Kimani Vidal left end for 1 yard (tackle by Drue Tranquill),2.79,2.38,14.0,2024,207
4.0,8:59,2.0,9.0,KAN 41,14.0,16.0,Justin Herbert scrambles up the middle for 2 yards (tackle by Charles Omenihu),2.38,1.95,14.0,2024,207
4.0,8:16,3.0,7.0,KAN 39,14.0,16.0,Justin Herbert pass complete short middle to Josh Palmer for 8 yards (tackle by Chamarri Conner),1.95,3.51,14.0,2024,207
4.0,7:35,1.0,10.0,KAN 31,14.0,16.0,"Penalty on Chris Jones: Neutral Zone Infraction, 5 yards (accepted) (no play)",3.51,4.24,14.0,2024,207
4.0,7:26,1.0,5.0,KAN 26,14.0,16.0,Justin Herbert pass incomplete short left intended for Josh Palmer,4.24,3.64,14.0,2024,207
4.0,7:22,2.0,5.0,KAN 26,14.0,16.0,Justin Herbert pass complete short middle to Josh Palmer for 8 yards (tackle by Bryan Cook),3.64,4.37,14.0,2024,207
4.0,6:42,1.0,10.0,KAN 18,14.0,16.0,Kimani Vidal up the middle for 1 yard (tackle by Drue Tranquill),4.37,3.94,14.0,2024,207
4.0,6:04,2.0,9.0,KAN 17,14.0,16.0,Justin Herbert sacked by Tershawn Wharton for -7 yards,3.94,2.34,14.0,2024,207
4.0,5:22,3.0,16.0,KAN 24,14.0,16.0,Kimani Vidal up the middle for 5 yards (tackle by Chamarri Conner),2.34,2.18,14.0,2024,207
4.0,4:39,4.0,11.0,KAN 19,17.0,16.0,Cameron Dicker 37 yard field goal good,2.18,3.0,14.0,2024,207
4.0,4:35,,,LAC 35,17.0,16.0,"Cameron Dicker kicks off 25 yards,. Penalty on Cameron Dicker: Kickoff Short of Landing Zone (accepted)",0.0,1.6,14.0,2024,207
4.0,4:35,1.0,10.0,KAN 40,17.0,16.0,Patrick Mahomes pass incomplete short left intended for Isiah Pacheco (defended by Daiyan Henley),1.6,1.05,14.0,2024,207
4.0,4:31,2.0,10.0,KAN 40,17.0,16.0,Patrick Mahomes pass incomplete short middle intended for Isiah Pacheco (defended by Marcus Maye),1.05,0.37,14.0,2024,207
4.0,4:26,3.0,10.0,KAN 40,17.0,16.0,Patrick Mahomes pass complete short middle to Xavier Worthy for 14 yards (tackle by Tarheeb Still),0.37,2.52,14.0,2024,207
4.0,3:53,1.0,10.0,LAC 46,17.0,16.0,Isiah Pacheco right end for 2 yards (tackle by Morgan Fox),2.52,2.25,14.0,2024,207
4.0,3:27,2.0,8.0,LAC 44,17.0,16.0,Patrick Mahomes scrambles right end for 10 yards (tackle by Troy Dye),2.25,3.31,14.0,2024,207
4.0,3:20,1.0,10.0,LAC 34,17.0,16.0,Xavier Worthy left end for 5 yards (tackle by Derwin James),3.31,3.45,14.0,2024,207
4.0,2:40,2.0,5.0,LAC 29,17.0,16.0,Isiah Pacheco up the middle for 4 yards (tackle by Troy Dye and Elijah Molden),3.45,3.27,14.0,2024,207
4.0,2:32,,,,,,Timeout #1 by Los Angeles Chargers,,,14.0,2024,207
4.0,2:32,3.0,1.0,LAC 25,17.0,16.0,Isiah Pacheco up the middle for 2 yards (tackle by Marcus Maye),3.27,4.04,14.0,2024,207
4.0,2:29,,,,,,Timeout #2 by Los Angeles Chargers,,,14.0,2024,207
4.0,2:29,1.0,10.0,LAC 23,17.0,16.0,Kareem Hunt left guard for 2 yards (tackle by Khalil Mack),4.04,3.77,14.0,2024,207
4.0,2:26,,,,,,Timeout #3 by Los Angeles Chargers,,,14.0,2024,207
4.0,2:26,2.0,8.0,LAC 21,17.0,16.0,Kareem Hunt up the middle for 1 yard (tackle by Poona Ford),3.77,3.2,14.0,2024,207
4.0,2:00,3.0,7.0,LAC 20,17.0,16.0,Patrick Mahomes pass complete short right to Travis Kelce for 9 yards (tackle by Tarheeb Still),3.2,4.84,14.0,2024,207
4.0,1:11,,,,,,Timeout #2 by Kansas City Chiefs,,,14.0,2024,207
4.0,1:11,1.0,10.0,LAC 11,17.0,16.0,Patrick Mahomes kneels for -1 yards,4.84,3.98,14.0,2024,207
4.0,0:32,2.0,11.0,LAC 12,17.0,16.0,Patrick Mahomes kneels for -1 yards,3.98,3.08,14.0,2024,207
4.0,0:01,,,,,,Timeout #3 by Kansas City Chiefs,,,14.0,2024,207
