Quarter,Time,Down,ToGo,Location,ATL,MIN,Detail,EPB,EPA,week,year,game_id
2.0,8:07,1.0,15.0,ATL 39,7.0,7.0,Kirk Cousins pass complete short right to Bijan Robinson for 5 yards (tackle by Jalen Redmond),1.53,1.32,14.0,2024,197
2.0,7:28,2.0,10.0,ATL 44,7.0,7.0,Kirk Cousins pass complete short right to Ray-Ray McCloud for 9 yards (tackle by Dallas Turner),1.32,1.82,14.0,2024,197
2.0,6:50,3.0,1.0,MIN 47,7.0,7.0,"Kirk Cousins sacked by Jamin Davis for -6 yards. Penalty on Bijan Robinson: Offensive Holding, 10 yards (declined)",1.82,-0.26,14.0,2024,197
2.0,6:26,4.0,7.0,ATL 47,7.0,7.0,"Bradley Pinion punts 41 yards, fair catch by Brandon Powell at MIN-13. Penalty on C.J. Ham: Defensive Offside, 5 yards (accepted) (no play)",-0.26,0.07,14.0,2024,197
2.0,6:26,4.0,2.0,MIN 48,7.0,7.0,"Penalty on Kirk Cousins: Delay of Game, 5 yards (accepted) (no play)",0.07,-0.26,14.0,2024,197
2.0,6:26,4.0,7.0,ATL 47,7.0,7.0,"Bradley Pinion punts 53 yards, touchback.",-0.26,-0.28,14.0,2024,197
2.0,6:17,1.0,10.0,MIN 20,7.0,7.0,Sam Darnold scrambles left tackle for 3 yards (tackle by Kaden Elliss),0.28,0.14,14.0,2024,197
2.0,5:39,2.0,7.0,MIN 23,7.0,7.0,Sam Darnold sacked by Matt Judon for -6 yards,0.14,-1.51,14.0,2024,197
2.0,5:02,3.0,13.0,MIN 17,7.0,7.0,Sam Darnold pass complete deep middle to Justin Jefferson for 20 yards (tackle by Troy Andersen),-1.51,1.4,14.0,2024,197
2.0,4:34,1.0,10.0,MIN 37,7.0,7.0,"Sam Darnold pass incomplete deep left intended for Jordan Addison. Penalty on Mike Hughes: Defensive Pass Interference, 47 yards (accepted) (no play)",1.4,4.51,14.0,2024,197
2.0,4:25,1.0,10.0,ATL 16,7.0,7.0,Sam Darnold pass complete short left to Jordan Addison for -5 yards (tackle by David Onyemata),4.51,3.28,14.0,2024,197
2.0,3:39,2.0,15.0,ATL 21,7.0,7.0,Sam Darnold pass incomplete short left intended for Josh Oliver,3.28,2.61,14.0,2024,197
2.0,3:35,3.0,15.0,ATL 21,7.0,7.0,"Sam Darnold sacked by Arnold Ebiketie for no gain. Sam Darnold fumbles (forced by Arnold Ebiketie), recovered by Clark Phillips at ATL-30 Replay Assistant challenged the fumble ruling, and the original play was overturned. Sam Darnold pass incomplete short right intended for Jordan Addison (defended by Arnold Ebiketie)",2.61,2.06,14.0,2024,197
2.0,3:30,4.0,15.0,ATL 21,7.0,7.0,"Will Reichard yard field goal good. Penalty on Kentavius Street: Defensive Holding, 5 yards (accepted) (no play)",2.06,4.51,14.0,2024,197
2.0,3:27,1.0,10.0,ATL 16,7.0,7.0,Cam Akers left guard for -1 yards (tackle by Lorenzo Carter),4.51,3.77,14.0,2024,197
2.0,2:49,2.0,11.0,ATL 17,7.0,7.0,Sam Darnold pass complete short right to Jordan Addison for 5 yards (tackle by DeAundre Alford and Jessie Bates),3.77,3.73,14.0,2024,197
2.0,2:05,3.0,6.0,ATL 12,7.0,13.0,"Sam Darnold pass complete short middle to Justin Jefferson for 12 yards, touchdown",3.73,7.0,14.0,2024,197
2.0,2:01,,,ATL 15,7.0,14.0,Will Reichard kicks extra point good,0.0,0.0,14.0,2024,197
