Quarter,Time,Down,ToGo,Location,LVR,TAM,Detail,EPB,EPA,week,year,game_id
1.0,2:39,2.0,6.0,LVR 45,0.0,14.0,"Aidan O'Connell pass complete short left to Sincere McCormick for no gain (tackle by Jamel Dean). Penalty on Jackson Powers-Johnson: Personal Foul / Offense, 15 yards (accepted) (no play)",1.66,-0.37,14.0,2024,203
1.0,2:06,2.0,21.0,LVR 30,0.0,14.0,Aidan O'Connell pass incomplete short left intended for Sincere McCormick,-0.37,-1.02,14.0,2024,203
1.0,2:05,3.0,21.0,LVR 30,0.0,14.0,Aidan O'Connell pass complete short right to Jakobi Meyers for 9 yards (tackle by Anthony Nelson),-1.02,-0.78,14.0,2024,203
1.0,1:28,4.0,12.0,LVR 39,0.0,14.0,AJ Cole punts 40 yards downed by Amari Burney,-0.78,-0.34,14.0,2024,203
1.0,1:18,1.0,10.0,TAM 21,0.0,14.0,Rachaad White left guard for -1 yards (tackle by K'Lavon Chaisson and Tre'von Moehrig),0.34,-0.34,14.0,2024,203
1.0,0:38,2.0,11.0,TAM 20,0.0,14.0,Baker Mayfield pass incomplete deep left intended for Jalen McMillan (defended by Darnay Holmes),-0.34,-1.02,14.0,2024,203
1.0,0:31,3.0,11.0,TAM 20,0.0,14.0,Baker Mayfield pass complete short middle to Sterling Shepard for 18 yards (tackle by Darnay Holmes),-1.02,1.47,14.0,2024,203
2.0,15:00,1.0,10.0,TAM 38,0.0,14.0,Baker Mayfield scrambles right end for 5 yards (tackle by Robert Spillane),1.47,1.6,14.0,2024,203
2.0,14:24,2.0,5.0,TAM 43,0.0,14.0,Bucky Irving left guard for -3 yards (tackle by Maxx Crosby),1.6,0.5,14.0,2024,203
2.0,13:40,3.0,8.0,TAM 40,0.0,14.0,Baker Mayfield pass short left intended for Jalen McMillan is intercepted by K'Lavon Chaisson at TB-36 and returned for no gain (tackle by Jalen McMillan),0.5,-3.18,14.0,2024,203
2.0,13:36,1.0,10.0,TAM 36,0.0,14.0,"Aidan O'Connell aborted snap, recovered by Lavonte David at TB-35",3.18,-1.27,14.0,2024,203
2.0,13:33,1.0,10.0,TAM 35,0.0,14.0,Baker Mayfield pass complete short right to Rachaad White for 14 yards (tackle by Charles Snowden),1.27,2.19,14.0,2024,203
2.0,12:52,1.0,10.0,TAM 49,0.0,14.0,Baker Mayfield scrambles right end for 7 yards (tackle by Jack Jones),2.19,2.59,14.0,2024,203
2.0,12:14,2.0,3.0,LVR 44,0.0,14.0,Baker Mayfield pass incomplete short left intended for Sterling Shepard (defended by Tre'von Moehrig),2.59,1.88,14.0,2024,203
2.0,12:08,3.0,3.0,LVR 44,0.0,14.0,"Baker Mayfield sacked by Amari Burney for -11 yards. Baker Mayfield fumbles (forced by Amari Burney), recovered by Tre'von Moehrig at TB-45",1.88,-2.59,14.0,2024,203
2.0,12:03,1.0,10.0,TAM 45,0.0,14.0,"Aidan O'Connell pass incomplete deep left intended for Tre Tucker LVR challenged the runner was in bounds ruling, and the play was upheld.",2.59,2.04,14.0,2024,203
2.0,11:57,2.0,10.0,TAM 45,0.0,14.0,Aidan O'Connell pass complete short middle to Brock Bowers for 12 yards (tackle by Zyon McCollum and Kaevon Merriweather),2.04,3.38,14.0,2024,203
2.0,11:24,1.0,10.0,TAM 33,0.0,14.0,Aidan O'Connell pass complete deep right to Michael Mayer for 29 yards (tackle by Zyon McCollum),3.38,6.28,14.0,2024,203
2.0,10:35,1.0,4.0,TAM 4,0.0,14.0,Sincere McCormick up the middle for 2 yards (tackle by Greg Gaines and YaYa Diaby),6.28,5.72,14.0,2024,203
2.0,10:13,2.0,2.0,TAM 2,0.0,14.0,Sincere McCormick left guard for no gain (tackle by Greg Gaines and Christian Izien),5.72,4.95,14.0,2024,203
2.0,9:32,3.0,2.0,TAM 2,0.0,14.0,"Aidan O'Connell pass incomplete short left intended for Brock Bowers. Penalty on Vi Jones: Defensive Pass Interference, 1 yard (accepted) (no play)",4.95,6.97,14.0,2024,203
2.0,9:28,1.0,1.0,TAM 1,6.0,14.0,"Aidan O'Connell up the middle for 1 yard, touchdown",6.97,7.0,14.0,2024,203
2.0,9:21,,,TAM 15,7.0,14.0,Daniel Carlson kicks extra point good,0.0,0.0,14.0,2024,203
2.0,9:21,,,LVR 35,7.0,14.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.28,14.0,2024,203
2.0,9:21,1.0,10.0,TAM 20,7.0,14.0,Baker Mayfield sacked by Adam Butler for -8 yards,0.28,-1.36,14.0,2024,203
2.0,8:39,2.0,18.0,TAM 12,7.0,14.0,"Penalty on Ben Bredeson: False Start, 5 yards (accepted) (no play)",-1.36,-1.73,14.0,2024,203
2.0,8:31,2.0,23.0,TAM 7,7.0,14.0,Baker Mayfield pass incomplete short left intended for Sean Tucker (defended by Tre'von Moehrig),-1.73,-2.94,14.0,2024,203
2.0,8:21,3.0,23.0,TAM 7,7.0,14.0,Rachaad White right tackle for 12 yards (tackle by Robert Spillane),-2.94,-2.14,14.0,2024,203
2.0,8:03,4.0,11.0,TAM 19,7.0,14.0,"Jack Browning punts 49 yards, returned by Ameer Abdullah for 16 yards (tackle by Vi Jones and Ryan Miller)",-2.14,-2.13,14.0,2024,203
2.0,7:42,1.0,10.0,LVR 48,7.0,14.0,Aidan O'Connell pass complete short middle to Tre Tucker for 6 yards (tackle by Jamel Dean),2.13,2.39,14.0,2024,203
2.0,7:22,2.0,4.0,TAM 46,7.0,14.0,Brock Bowers left end for 3 yards (tackle by Chris Braswell),2.39,2.08,14.0,2024,203
2.0,6:41,3.0,1.0,TAM 43,7.0,14.0,Sincere McCormick left guard for 29 yards (tackle by Zyon McCollum),2.08,4.65,14.0,2024,203
2.0,5:56,1.0,10.0,TAM 14,7.0,14.0,Aidan O'Connell pass complete short left to Sincere McCormick for 3 yards (tackle by Chris Braswell),4.65,4.52,14.0,2024,203
2.0,5:19,2.0,7.0,TAM 11,7.0,14.0,Sincere McCormick up the middle for 5 yards (tackle by Lavonte David and Christian Izien),4.52,4.73,14.0,2024,203
2.0,4:36,3.0,2.0,TAM 6,7.0,14.0,Aidan O'Connell pass incomplete short right,4.73,3.01,14.0,2024,203
2.0,4:31,4.0,2.0,TAM 6,10.0,14.0,Daniel Carlson 25 yard field goal good,3.01,3.0,14.0,2024,203
2.0,4:28,,,LVR 35,10.0,14.0,"Daniel Carlson kicks off 59 yards, returned by Sean Tucker for 25 yards (tackle by Christopher Smith and Thomas Harper)",0.0,1.0,14.0,2024,203
2.0,4:20,1.0,10.0,TAM 31,10.0,14.0,Rachaad White left end for 1 yard (tackle by Jonah Laulu),1.0,0.6,14.0,2024,203
2.0,3:43,2.0,9.0,TAM 32,10.0,14.0,Baker Mayfield pass complete deep middle to Sterling Shepard for 22 yards (tackle by K'Lavon Chaisson),0.6,2.52,14.0,2024,203
2.0,3:16,1.0,10.0,LVR 46,10.0,14.0,"Baker Mayfield pass complete short right to Jalen McMillan for 9 yards (tackle by Darnay Holmes). Penalty on K'Lavon Chaisson: Defensive Offside, 5 yards (declined)",2.52,3.19,14.0,2024,203
2.0,2:55,2.0,1.0,LVR 37,10.0,14.0,"Baker Mayfield pass complete short left to Rachaad White for no gain (tackle by John Jenkins and Robert Spillane). Penalty on Tristan Wirfs: Offensive Holding, 10 yards (accepted) (no play)",3.19,1.84,14.0,2024,203
2.0,2:33,2.0,11.0,LVR 47,10.0,14.0,Baker Mayfield sacked by Darnay Holmes for -8 yards,1.84,0.1,14.0,2024,203
2.0,2:00,3.0,19.0,TAM 45,10.0,14.0,Baker Mayfield pass complete short right to Mike Evans for 15 yards (tackle by Jack Jones),0.1,0.59,14.0,2024,203
2.0,1:14,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,14.0,2024,203
2.0,1:14,,,,,,Timeout #2 by Las Vegas Raiders,,,14.0,2024,203
2.0,1:14,4.0,4.0,LVR 40,10.0,14.0,"Baker Mayfield pass incomplete short right intended for Jalen McMillan. Penalty on Jack Jones: Defensive Pass Interference, 11 yards (accepted) (no play)",0.59,3.64,14.0,2024,203
2.0,1:10,1.0,10.0,LVR 29,10.0,14.0,Sean Tucker right guard for 9 yards (tackle by Adam Butler and Robert Spillane),3.64,4.32,14.0,2024,203
2.0,0:39,2.0,1.0,LVR 20,10.0,14.0,"Baker Mayfield pass deep right intended for Cade Otton is intercepted by Jack Jones in end zone and returned for 24 yards (tackle by Luke Goedeke). Penalty on Jalen McMillan: Offensive Offside, 5 yards (declined)",4.32,0.14,14.0,2024,203
2.0,0:25,1.0,10.0,LVR 16,10.0,14.0,Aidan O'Connell kneels for -1 yards,-0.14,-0.78,14.0,2024,203
3.0,15:00,,,TAM 35,10.0,14.0,"Jack Browning kicks off 66 yards, returned by Ameer Abdullah for 30 yards (tackle by Ryan Miller and Payne Durham)",0.0,0.87,14.0,2024,203
3.0,14:55,1.0,10.0,LVR 29,10.0,14.0,Sincere McCormick left guard for 6 yards (tackle by Logan Hall and Vi Jones),0.87,1.14,14.0,2024,203
3.0,14:19,2.0,4.0,LVR 35,10.0,14.0,Aidan O'Connell scrambles right end for 4 yards (tackle by Calijah Kancey),1.14,1.53,14.0,2024,203
3.0,13:31,1.0,10.0,LVR 39,10.0,14.0,Sincere McCormick up the middle for 6 yards (tackle by Vi Jones and Zyon McCollum),1.53,1.8,14.0,2024,203
3.0,12:49,2.0,4.0,LVR 45,10.0,14.0,Sincere McCormick right tackle for 3 yards (tackle by Vita Vea),1.8,1.49,14.0,2024,203
3.0,12:08,3.0,1.0,LVR 48,10.0,14.0,Sincere McCormick right guard for 2 yards (tackle by Lavonte David),1.49,2.26,14.0,2024,203
3.0,11:32,1.0,10.0,LVR 50,10.0,14.0,Aidan O'Connell pass complete short right to Michael Mayer for 5 yards (tackle by Zyon McCollum),2.26,2.39,14.0,2024,203
3.0,10:49,2.0,5.0,TAM 45,10.0,14.0,Sincere McCormick up the middle for 4 yards (tackle by Anthony Nelson),2.39,2.21,14.0,2024,203
3.0,10:08,3.0,1.0,TAM 41,10.0,14.0,Aidan O'Connell up the middle for 1 yard (tackle by C.J. Brewer),2.21,2.92,14.0,2024,203
3.0,9:30,1.0,10.0,TAM 40,10.0,14.0,Aidan O'Connell pass complete short right to Jakobi Meyers for 6 yards (tackle by Kaevon Merriweather),2.92,3.18,14.0,2024,203
3.0,8:50,2.0,4.0,TAM 34,10.0,14.0,Sincere McCormick right end for 11 yards (tackle by Christian Izien),3.18,4.04,14.0,2024,203
3.0,8:07,1.0,10.0,TAM 23,10.0,14.0,Aidan O'Connell pass complete short right to Sincere McCormick for 8 yards (tackle by Vi Jones),4.04,4.75,14.0,2024,203
3.0,7:40,2.0,2.0,TAM 15,10.0,14.0,Sincere McCormick up the middle for no gain (tackle by Calijah Kancey and Lavonte David),4.75,4.05,14.0,2024,203
3.0,7:00,3.0,2.0,TAM 15,10.0,14.0,Aidan O'Connell up the middle for 1 yard (tackle by Chris Braswell),4.05,2.66,14.0,2024,203
3.0,6:32,4.0,1.0,TAM 14,10.0,14.0,Sincere McCormick left guard for 2 yards (tackle by Lavonte David),2.66,4.78,14.0,2024,203
3.0,5:49,1.0,10.0,TAM 12,10.0,14.0,Sincere McCormick left guard for no gain (tackle by Vi Jones) (no play),4.78,4.32,14.0,2024,203
3.0,5:26,1.0,15.0,TAM 17,10.0,14.0,Aidan O'Connell pass complete short middle to Michael Mayer for 7 yards (tackle by Lavonte David and Tykee Smith),4.32,4.45,14.0,2024,203
3.0,4:48,2.0,8.0,TAM 10,10.0,14.0,Aidan O'Connell pass short left intended for Brock Bowers is intercepted by Tykee Smith at TB-7 and returned for no gain (tackle by Brock Bowers),4.45,0.38,14.0,2024,203
3.0,4:40,1.0,10.0,TAM 7,10.0,14.0,Rachaad White right guard for 7 yards (tackle by John Jenkins),-0.38,-0.25,14.0,2024,203
3.0,4:02,2.0,3.0,TAM 14,10.0,14.0,Rachaad White left tackle for 12 yards (tackle by Isaiah Pola-Mao),-0.25,0.67,14.0,2024,203
3.0,3:19,1.0,10.0,TAM 26,10.0,14.0,"Penalty on Luke Goedeke: False Start, 5 yards (accepted) (no play)",0.67,0.34,14.0,2024,203
3.0,2:59,1.0,15.0,TAM 21,10.0,14.0,Baker Mayfield pass complete short middle to Cade Otton for 6 yards (tackle by K'Lavon Chaisson and Robert Spillane),0.34,0.27,14.0,2024,203
3.0,2:19,2.0,9.0,TAM 27,10.0,14.0,Baker Mayfield pass incomplete short right intended for Sean Tucker (defended by Maxx Crosby),0.27,-0.43,14.0,2024,203
3.0,2:16,3.0,9.0,TAM 27,10.0,14.0,"Baker Mayfield sacked by and Tre'von Moehrig for no gain and K'Lavon Chaisson for no gain. Penalty on Graham Barton: Illegal Shift, 5 yards (declined)",-0.43,-1.57,14.0,2024,203
3.0,2:06,4.0,9.0,TAM 27,10.0,14.0,"Jack Browning punts 39 yards, returned by Ameer Abdullah for 14 yards (tackle by Evan Deckers)",-1.57,-2.13,14.0,2024,203
3.0,1:51,1.0,10.0,LVR 48,10.0,14.0,Aidan O'Connell pass incomplete deep left,2.13,1.58,14.0,2024,203
3.0,1:46,2.0,10.0,LVR 48,10.0,14.0,"Aidan O'Connell pass short right intended for Tre Tucker is intercepted by Kaevon Merriweather at LV-47 and returned for no gain (tackle by Tre Tucker) Replay Assistant challenged the pass interception ruling, and the original play was overturned. Aidan O'Connell pass incomplete short right intended for Tre Tucker",1.58,0.89,14.0,2024,203
3.0,1:41,3.0,10.0,LVR 48,10.0,14.0,Aidan O'Connell pass complete short right to Jakobi Meyers for 8 yards (tackle by Tykee Smith),0.89,0.33,14.0,2024,203
3.0,1:17,4.0,2.0,TAM 44,10.0,14.0,"AJ Cole punts 44 yards, touchback.",0.33,-0.28,14.0,2024,203
3.0,1:04,1.0,10.0,TAM 20,10.0,14.0,Baker Mayfield pass incomplete deep left,0.28,-0.27,14.0,2024,203
3.0,0:57,2.0,10.0,TAM 20,10.0,14.0,Rachaad White left tackle for 2 yards (tackle by Robert Spillane),-0.27,-0.69,14.0,2024,203
3.0,0:19,3.0,8.0,TAM 22,10.0,14.0,Baker Mayfield pass complete short left to Sterling Shepard for 14 yards (tackle by Decamerion Richardson),-0.69,1.33,14.0,2024,203
4.0,15:00,1.0,10.0,TAM 36,10.0,14.0,Baker Mayfield pass incomplete short left intended for Mike Evans,1.33,0.79,14.0,2024,203
4.0,14:56,2.0,10.0,TAM 36,10.0,14.0,Sean Tucker up the middle for 4 yards (tackle by Tyree Wilson),0.79,0.63,14.0,2024,203
4.0,14:16,3.0,6.0,TAM 40,10.0,14.0,Baker Mayfield pass incomplete short middle intended for Sterling Shepard,0.63,-0.72,14.0,2024,203
4.0,14:11,4.0,6.0,TAM 40,10.0,14.0,"Jack Browning punts 40 yards, fair catch by Ameer Abdullah at LV-20",-0.72,-0.28,14.0,2024,203
4.0,14:03,1.0,10.0,LVR 20,10.0,14.0,Sincere McCormick right guard for 4 yards (tackle by Chris Braswell),0.28,0.27,14.0,2024,203
4.0,13:28,2.0,6.0,LVR 24,10.0,14.0,"Desmond Ridder aborted snap, recovered by Desmond Ridder at LV-21 and returned for -3 yards",0.27,-0.82,14.0,2024,203
4.0,12:47,3.0,9.0,LVR 21,10.0,14.0,Desmond Ridder pass complete short middle to Jakobi Meyers for 8 yards (tackle by Zyon McCollum),-0.82,-1.44,14.0,2024,203
4.0,12:00,4.0,1.0,LVR 29,10.0,14.0,"AJ Cole punts 51 yards, recovered by Trey Palmer at TB-20 (tackle by Ramel Keyton)",-1.44,-0.48,14.0,2024,203
4.0,11:46,1.0,10.0,TAM 23,10.0,14.0,Rachaad White left tackle for 1 yard (tackle by Jonah Laulu),0.48,0.07,14.0,2024,203
4.0,11:08,2.0,9.0,TAM 24,10.0,14.0,Baker Mayfield pass incomplete short left intended for Jalen McMillan,0.07,-0.63,14.0,2024,203
4.0,11:03,3.0,9.0,TAM 24,10.0,14.0,Baker Mayfield pass complete short middle to Mike Evans for 32 yards (tackle by Decamerion Richardson),-0.63,2.65,14.0,2024,203
4.0,10:17,1.0,10.0,LVR 44,10.0,14.0,Rachaad White right end for 7 yards (tackle by Tre'von Moehrig),2.65,3.06,14.0,2024,203
4.0,9:39,2.0,3.0,LVR 37,10.0,14.0,Sean Tucker right end for 34 yards (tackle by Decamerion Richardson and Jonah Laulu),3.06,6.51,14.0,2024,203
4.0,8:52,1.0,3.0,LVR 3,10.0,20.0,"Rachaad White up the middle for 3 yards, touchdown",6.51,7.0,14.0,2024,203
4.0,8:47,,,LVR 15,10.0,21.0,Chase McLaughlin kicks extra point good,0.0,0.0,14.0,2024,203
4.0,8:47,,,TAM 35,10.0,21.0,"Jack Browning kicks off 59 yards, returned by Ameer Abdullah for 29 yards (tackle by Ryan Miller)",0.0,1.27,14.0,2024,203
4.0,8:42,1.0,10.0,LVR 35,10.0,21.0,Desmond Ridder pass complete short middle to Terrace Marshall for 6 yards (tackle by YaYa Diaby),1.27,1.53,14.0,2024,203
4.0,8:13,2.0,4.0,LVR 41,10.0,21.0,"Desmond Ridder pass deep right intended for Jakobi Meyers is intercepted by Zyon McCollum at TB-36 and returned for no gain (tackle by Jakobi Meyers) Replay Assistant challenged the pass interception ruling, and the original play was overturned. Desmond Ridder pass incomplete deep right intended for Jakobi Meyers",1.53,0.83,14.0,2024,203
4.0,8:08,3.0,4.0,LVR 41,10.0,21.0,Desmond Ridder pass complete short middle to Brock Bowers for 25 yards (tackle by Kaevon Merriweather),0.83,3.31,14.0,2024,203
4.0,7:35,1.0,10.0,TAM 34,10.0,21.0,Desmond Ridder pass complete short middle to Michael Mayer for 4 yards (tackle by Jamel Dean),3.31,3.31,14.0,2024,203
4.0,7:08,2.0,6.0,TAM 30,10.0,21.0,Desmond Ridder pass complete short right to Tre Tucker for 1 yard (tackle by Kaevon Merriweather),3.31,2.74,14.0,2024,203
4.0,6:28,3.0,5.0,TAM 29,10.0,21.0,Desmond Ridder sacked by Kaevon Merriweather for no gain,2.74,1.54,14.0,2024,203
4.0,5:42,4.0,5.0,TAM 29,10.0,21.0,Desmond Ridder pass complete short left to Jakobi Meyers for 20 yards (tackle by Tykee Smith),1.54,5.14,14.0,2024,203
4.0,4:56,1.0,9.0,TAM 9,10.0,21.0,Ameer Abdullah left tackle for 1 yard (tackle by Logan Hall),5.14,4.57,14.0,2024,203
4.0,4:22,2.0,8.0,TAM 8,10.0,21.0,Desmond Ridder scrambles up the middle for 3 yards (tackle by Vi Jones),4.57,4.26,14.0,2024,203
4.0,3:46,3.0,5.0,TAM 5,10.0,21.0,Desmond Ridder pass complete short right to Ameer Abdullah for -3 yards (tackle by Christian Izien),4.26,2.95,14.0,2024,203
4.0,3:08,4.0,8.0,TAM 8,13.0,21.0,Daniel Carlson 27 yard field goal good,2.95,3.0,14.0,2024,203
4.0,3:05,,,LVR 35,13.0,21.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.28,14.0,2024,203
4.0,3:05,1.0,10.0,TAM 20,13.0,21.0,Rachaad White up the middle for 3 yards (tackle by Jonah Laulu),0.28,0.14,14.0,2024,203
4.0,3:01,,,,,,Timeout #1 by Las Vegas Raiders,,,14.0,2024,203
4.0,3:01,2.0,7.0,TAM 23,13.0,21.0,Baker Mayfield pass complete short left to Cade Otton for 44 yards (tackle by Robert Spillane),0.14,3.38,14.0,2024,203
4.0,2:12,1.0,10.0,LVR 33,13.0,21.0,Rachaad White right guard for 3 yards (tackle by Jonah Laulu),3.38,3.24,14.0,2024,203
4.0,2:07,,,,,,Timeout #2 by Las Vegas Raiders,,,14.0,2024,203
4.0,2:07,2.0,7.0,LVR 30,13.0,21.0,Rachaad White left tackle for 1 yard (tackle by Tre'von Moehrig),3.24,2.68,14.0,2024,203
4.0,2:03,,,,,,Timeout #3 by Las Vegas Raiders,,,14.0,2024,203
4.0,2:03,3.0,6.0,LVR 29,13.0,27.0,"Baker Mayfield pass complete short right to Jalen McMillan for 29 yards, touchdown",2.68,7.0,14.0,2024,203
4.0,1:56,,,LVR 15,13.0,28.0,Chase McLaughlin kicks extra point good,0.0,0.0,14.0,2024,203
4.0,1:56,,,TAM 35,13.0,28.0,"Jack Browning kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,203
4.0,1:56,1.0,10.0,LVR 30,13.0,28.0,Desmond Ridder pass complete short middle to Michael Mayer for 6 yards (tackle by Tavierre Thomas),0.94,1.2,14.0,2024,203
4.0,1:35,2.0,4.0,LVR 36,13.0,28.0,Desmond Ridder pass complete short middle to Jakobi Meyers for 5 yards (tackle by Kaevon Merriweather and Tavierre Thomas),1.2,1.66,14.0,2024,203
4.0,1:15,1.0,10.0,LVR 41,13.0,28.0,Desmond Ridder pass incomplete short right intended for Michael Mayer,1.66,1.12,14.0,2024,203
4.0,1:11,2.0,10.0,LVR 41,13.0,28.0,Desmond Ridder pass complete short right to Michael Mayer for 9 yards (tackle by Lavonte David),1.12,1.62,14.0,2024,203
4.0,0:53,3.0,1.0,LVR 50,13.0,28.0,Desmond Ridder pass incomplete short left intended for Brock Bowers (defended by Tykee Smith),1.62,-0.06,14.0,2024,203
4.0,0:49,4.0,1.0,LVR 50,13.0,28.0,Desmond Ridder pass complete short middle to Michael Mayer for 8 yards (tackle by Tavierre Thomas),-0.06,2.79,14.0,2024,203
4.0,0:29,1.0,10.0,TAM 42,13.0,28.0,Desmond Ridder pass incomplete short middle intended for Ameer Abdullah,2.79,2.24,14.0,2024,203
4.0,0:27,2.0,10.0,TAM 42,13.0,28.0,Desmond Ridder pass complete short middle to Brock Bowers for 12 yards (tackle by Kaevon Merriweather and Tavierre Thomas),2.24,3.58,14.0,2024,203
4.0,0:10,1.0,10.0,TAM 30,13.0,28.0,Desmond Ridder pass incomplete short right intended for Jakobi Meyers,3.58,3.03,14.0,2024,203
4.0,0:05,2.0,10.0,TAM 30,13.0,28.0,Desmond Ridder pass incomplete deep left intended for Jakobi Meyers,3.03,2.34,14.0,2024,203
