Quarter,Time,Down,ToGo,Location,NYJ,MIN,Detail,EPB,EPA,week,year,game_id
1.0,10:13,2.0,7.0,NYJ 40,0.0,0.0,Sam Darnold pass incomplete short left intended for Justin Jefferson (defended by D.J. Reed),2.58,1.88,5.0,2024,66
1.0,10:08,3.0,7.0,NYJ 40,0.0,0.0,Sam Darnold pass complete short right to Justin Jefferson for 8 yards (tackle by Tony Adams),1.88,3.45,5.0,2024,66
1.0,9:44,1.0,10.0,NYJ 32,0.0,0.0,C.J. Ham left end for 8 yards (tackle by Jamien Sherwood and Javon Kinlaw),3.45,4.05,5.0,2024,66
1.0,9:03,2.0,1.0,NYJ 24,0.0,0.0,Aaron Jones left tackle for no gain (tackle by Jamien Sherwood),4.05,3.34,5.0,2024,66
1.0,8:25,3.0,1.0,NYJ 24,0.0,0.0,Sam Darnold sacked by Will McDonald for -12 yards,3.34,0.88,5.0,2024,66
1.0,7:45,4.0,13.0,NYJ 36,0.0,3.0,Will Reichard 54 yard field goal good,0.88,3.0,5.0,2024,66
1.0,7:41,,,MIN 35,0.0,3.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,66
1.0,7:41,1.0,10.0,NYJ 30,0.0,3.0,Aaron Rodgers pass complete short left to Garrett Wilson for 4 yards (tackle by Stephon Gilmore),0.94,0.93,5.0,2024,66
1.0,7:08,2.0,6.0,NYJ 34,0.0,3.0,Breece Hall right guard for no gain (tackle by Ivan Pace),0.93,0.23,5.0,2024,66
1.0,6:29,3.0,6.0,NYJ 34,0.0,3.0,Aaron Rodgers pass incomplete deep right intended for Garrett Wilson,0.23,-1.11,5.0,2024,66
1.0,6:24,4.0,6.0,NYJ 34,0.0,3.0,Thomas Morstead punts 44 yards downed by Irvin Charles,-1.11,-0.41,5.0,2024,66
1.0,6:14,1.0,10.0,MIN 22,0.0,3.0,Aaron Jones right tackle for 2 yards (tackle by Micheal Clemons),0.41,0.14,5.0,2024,66
1.0,5:39,2.0,8.0,MIN 24,0.0,3.0,Sam Darnold scrambles right end for 10 yards (tackle by Jamien Sherwood),0.14,1.2,5.0,2024,66
1.0,4:55,1.0,10.0,MIN 34,0.0,3.0,Aaron Jones right tackle for 6 yards (tackle by D.J. Reed and Chuck Clark),1.2,1.47,5.0,2024,66
1.0,4:13,2.0,4.0,MIN 40,0.0,3.0,Sam Darnold pass incomplete short left intended for Justin Jefferson,1.47,0.76,5.0,2024,66
1.0,4:07,3.0,4.0,MIN 40,0.0,3.0,Nick Mullens pass complete deep left to Aaron Jones for 24 yards (tackle by Quincy Williams),0.76,3.18,5.0,2024,66
1.0,3:22,1.0,10.0,NYJ 36,0.0,3.0,"Sam Darnold aborted snap, recovered by Quincy Williams at NYJ-43 and returned for 15 yards (tackle by Sam Darnold)",3.18,-2.79,5.0,2024,66
1.0,3:14,1.0,10.0,MIN 42,0.0,3.0,Aaron Rodgers pass complete short left to Garrett Wilson for 4 yards (tackle by Byron Murphy),2.79,2.78,5.0,2024,66
1.0,2:36,2.0,6.0,MIN 38,0.0,3.0,Aaron Rodgers pass incomplete short right intended for Allen Lazard (defended by Byron Murphy),2.78,2.08,5.0,2024,66
1.0,2:30,3.0,6.0,MIN 38,0.0,9.0,"Aaron Rodgers pass short right intended for Garrett Wilson is intercepted by Andrew Van Ginkel at MIN-37 and returned for 63 yards, touchdown",2.08,-7.0,5.0,2024,66
1.0,2:18,,,NYJ 15,0.0,10.0,Will Reichard kicks extra point good,0.0,0.0,5.0,2024,66
1.0,2:18,,,MIN 35,0.0,10.0,"Will Reichard kicks off 62 yards, returned by Isaiah Davis for 27 yards (tackle by Ivan Pace and C.J. Ham)",0.0,0.94,5.0,2024,66
1.0,2:12,1.0,10.0,NYJ 30,0.0,10.0,Braelon Allen right tackle for 2 yards (tackle by Blake Cashman),0.94,0.66,5.0,2024,66
1.0,1:35,2.0,8.0,NYJ 32,0.0,10.0,Aaron Rodgers pass incomplete short left intended for Braelon Allen,0.66,-0.03,5.0,2024,66
1.0,1:30,3.0,8.0,NYJ 32,0.0,10.0,Aaron Rodgers pass deep middle intended for Allen Lazard is intercepted by Camryn Bynum at MIN-43 and returned for no gain (tackle by Allen Lazard),-0.03,-1.8,5.0,2024,66
1.0,1:24,1.0,10.0,MIN 43,0.0,10.0,Aaron Jones right guard for 7 yards (tackle by Chuck Clark),1.8,2.2,5.0,2024,66
1.0,1:05,2.0,3.0,NYJ 50,0.0,10.0,Aaron Jones right end for 2 yards (tackle by Jamien Sherwood and Isaiah Oliver),2.2,1.75,5.0,2024,66
1.0,0:43,3.0,1.0,NYJ 48,0.0,10.0,Sam Darnold up the middle for 3 yards (tackle by Quinnen Williams),1.75,2.59,5.0,2024,66
1.0,0:15,1.0,10.0,NYJ 45,0.0,10.0,"Penalty on Javon Kinlaw: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.59,3.32,5.0,2024,66
2.0,15:00,1.0,5.0,NYJ 40,0.0,10.0,Ty Chandler right tackle for -1 yards (tackle by Takkarist McKinley and Jamien Sherwood),3.32,2.58,5.0,2024,66
2.0,14:23,2.0,6.0,NYJ 41,0.0,10.0,Sam Darnold sacked by Isaiah Oliver for -6 yards,2.58,1.09,5.0,2024,66
2.0,13:44,3.0,12.0,NYJ 47,0.0,10.0,"Sam Darnold pass incomplete deep middle intended for Justin Jefferson. Penalty on Sauce Gardner: Illegal Contact, 6 yards (accepted) (no play)",1.09,2.85,5.0,2024,66
2.0,13:37,1.0,10.0,NYJ 41,0.0,10.0,Ty Chandler left guard for 3 yards (tackle by Jamien Sherwood),2.85,2.78,5.0,2024,66
2.0,13:05,2.0,6.0,NYJ 38,0.0,10.0,Ty Chandler left tackle for 5 yards (tackle by Jamien Sherwood),2.78,2.74,5.0,2024,66
2.0,12:27,3.0,1.0,NYJ 33,0.0,10.0,Sam Darnold pass incomplete short right intended for Justin Jefferson (defended by Tony Adams),2.74,1.21,5.0,2024,66
2.0,12:20,4.0,1.0,NYJ 33,0.0,10.0,Sam Darnold pass incomplete deep left intended for Jordan Addison (defended by D.J. Reed),1.21,-1.14,5.0,2024,66
2.0,12:15,1.0,10.0,NYJ 33,0.0,10.0,Breece Hall left end for 1 yard (tackle by Jonathan Greenard),1.14,0.79,5.0,2024,66
2.0,11:39,2.0,9.0,NYJ 35,0.0,10.0,Aaron Rodgers pass complete short middle to Breece Hall for 6 yards (tackle by Kamu Grugier-Hill and Blake Cashman),0.79,0.89,5.0,2024,66
2.0,10:57,3.0,3.0,NYJ 41,0.0,10.0,Aaron Rodgers pass complete deep middle to Tyler Conklin for 25 yards (tackle by Camryn Bynum),0.89,3.31,5.0,2024,66
2.0,10:18,1.0,10.0,MIN 34,0.0,10.0,Aaron Rodgers pass incomplete short left,3.31,2.77,5.0,2024,66
2.0,10:11,2.0,10.0,MIN 34,0.0,10.0,Aaron Rodgers pass complete short right to Mike Williams for 7 yards (tackle by Kamu Grugier-Hill),2.77,3.01,5.0,2024,66
2.0,9:32,3.0,3.0,MIN 27,0.0,10.0,Braelon Allen right guard for 1 yard (tackle by Ivan Pace),3.01,1.86,5.0,2024,66
2.0,8:49,4.0,2.0,MIN 26,0.0,10.0,Braelon Allen up the middle for no gain (tackle by Dallas Turner and Blake Cashman),1.86,-0.67,5.0,2024,66
2.0,8:46,1.0,10.0,MIN 26,0.0,10.0,Sam Darnold pass incomplete deep left intended for Jordan Addison,0.67,0.13,5.0,2024,66
2.0,8:41,2.0,10.0,MIN 26,0.0,10.0,Sam Darnold pass complete deep right to Justin Jefferson for 27 yards (tackle by Isaiah Oliver),0.13,2.46,5.0,2024,66
2.0,7:59,1.0,10.0,NYJ 47,0.0,10.0,"Ty Chandler right end for 32 yards (tackle by Chazz Surratt and Tony Adams). Penalty on Justin Jefferson: Illegal Shift, 5 yards (accepted) (no play)",2.46,2.13,5.0,2024,66
2.0,7:16,1.0,15.0,MIN 48,0.0,10.0,Sam Darnold pass complete short right to Myles Gaskin for 11 yards (tackle by Quincy Williams),2.13,2.72,5.0,2024,66
2.0,6:51,2.0,4.0,NYJ 41,0.0,10.0,Ty Chandler left guard for 5 yards (tackle by Will McDonald and Tony Adams),2.72,3.18,5.0,2024,66
2.0,6:12,1.0,10.0,NYJ 36,0.0,10.0,Ty Chandler right tackle for 5 yards (tackle by D.J. Reed),3.18,3.31,5.0,2024,66
2.0,5:34,2.0,5.0,NYJ 31,0.0,10.0,"Sam Darnold pass incomplete deep left intended for Justin Jefferson. Penalty on D.J. Reed: Defensive Pass Interference, 18 yards (accepted) (no play)",3.31,4.71,5.0,2024,66
2.0,5:28,1.0,10.0,NYJ 13,0.0,10.0,Myles Gaskin left tackle for no gain (tackle by Isaiah Oliver),4.71,4.05,5.0,2024,66
2.0,4:53,2.0,10.0,NYJ 13,0.0,10.0,"Sam Darnold pass incomplete short left intended for Justin Jefferson. Penalty on Sauce Gardner: Defensive Pass Interference, 11 yards (accepted) (no play)",4.05,6.74,5.0,2024,66
2.0,4:49,1.0,2.0,NYJ 2,0.0,10.0,"Sam Darnold pass incomplete short left intended for Ty Chandler. Penalty on Brian O'Neill: Illegal Formation, 5 yards (accepted) (no play)",6.74,5.6,5.0,2024,66
2.0,4:46,1.0,7.0,NYJ 7,0.0,10.0,Ty Chandler right end for 3 yards (tackle by Solomon Thomas),5.6,5.34,5.0,2024,66
2.0,4:06,2.0,4.0,NYJ 4,0.0,10.0,"Sam Darnold pass incomplete short right intended for Justin Jefferson. Penalty on Sauce Gardner: Defensive Holding, 2 yards (accepted) (no play)",5.34,6.74,5.0,2024,66
2.0,4:01,1.0,2.0,NYJ 2,0.0,16.0,"C.J. Ham left guard for 2 yards, touchdown",6.74,7.0,5.0,2024,66
2.0,3:58,,,NYJ 15,0.0,17.0,Will Reichard kicks extra point good,0.0,0.0,5.0,2024,66
2.0,3:58,,,MIN 35,0.0,17.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,66
2.0,3:58,1.0,10.0,NYJ 30,0.0,17.0,Aaron Rodgers pass complete short right to Tyler Conklin for 13 yards (tackle by Shaquill Griffin),0.94,1.8,5.0,2024,66
2.0,3:33,1.0,10.0,NYJ 43,0.0,17.0,Aaron Rodgers pass complete short left to Garrett Wilson for 4 yards (tackle by Josh Metellus and Patrick Jones),1.8,1.79,5.0,2024,66
2.0,2:56,2.0,6.0,NYJ 47,0.0,17.0,Aaron Rodgers pass incomplete short right intended for Tyler Conklin,1.79,1.09,5.0,2024,66
2.0,2:51,3.0,6.0,NYJ 47,0.0,17.0,Aaron Rodgers sacked by Harrison Smith for -8 yards,1.09,-0.78,5.0,2024,66
2.0,2:05,4.0,14.0,NYJ 39,0.0,17.0,"Penalty on Thomas Morstead: Delay of Game, 5 yards (accepted) (no play)",-0.78,-1.11,5.0,2024,66
2.0,2:00,4.0,19.0,NYJ 34,0.0,17.0,"Thomas Morstead punts 56 yards, returned by Brandon Powell for no gain (tackle by Samuel Eguavoen). Penalty on Jay Ward: Illegal Block Above the Waist, 5 yards (accepted)",-1.11,0.38,5.0,2024,66
2.0,1:50,1.0,10.0,MIN 5,0.0,17.0,Ty Chandler left guard for 4 yards (tackle by Jamien Sherwood and Quincy Williams),-0.38,-0.49,5.0,2024,66
2.0,1:42,,,,,,Timeout #1 by New York Jets,,,5.0,2024,66
2.0,1:42,2.0,6.0,MIN 9,0.0,17.0,Sam Darnold pass incomplete short right intended for Justin Jefferson (defended by Sauce Gardner),-0.49,-0.95,5.0,2024,66
2.0,1:39,3.0,6.0,MIN 9,0.0,17.0,"Penalty on Sam Darnold: Delay of Game, 4 yards (accepted) (no play)",-0.95,-1.42,5.0,2024,66
2.0,1:39,3.0,10.0,MIN 5,0.0,17.0,Ty Chandler right tackle for -1 yards (tackle by Jamien Sherwood and Javon Kinlaw),-1.42,-2.49,5.0,2024,66
2.0,1:36,,,,,,Timeout #2 by New York Jets,,,5.0,2024,66
2.0,1:36,4.0,11.0,MIN 4,0.0,17.0,"Ryan Wright punts 58 yards, returned by Xavier Gipson for 31 yards (tackle by Theo Jackson)",-2.49,-3.51,5.0,2024,66
2.0,1:22,1.0,10.0,MIN 31,0.0,17.0,Breece Hall left tackle for 7 yards (tackle by Harrison Smith),3.51,3.91,5.0,2024,66
2.0,0:53,2.0,3.0,MIN 24,0.0,17.0,Aaron Rodgers pass complete short left to Garrett Wilson for 10 yards (tackle by Stephon Gilmore),3.91,4.65,5.0,2024,66
2.0,0:48,1.0,10.0,MIN 14,0.0,17.0,Aaron Rodgers pass incomplete short middle intended for Allen Lazard,4.65,4.0,5.0,2024,66
2.0,0:45,2.0,10.0,MIN 14,0.0,17.0,Aaron Rodgers pass incomplete short left intended for Garrett Wilson,4.0,3.11,5.0,2024,66
2.0,0:42,3.0,10.0,MIN 14,6.0,17.0,"Aaron Rodgers pass complete short middle to Allen Lazard for 14 yards, touchdown",3.11,7.0,5.0,2024,66
2.0,0:36,,,MIN 15,7.0,17.0,Greg Zuerlein kicks extra point good,0.0,0.0,5.0,2024,66
2.0,0:36,,,NYJ 35,7.0,17.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,66
2.0,0:36,1.0,10.0,MIN 30,7.0,17.0,Sam Darnold pass incomplete short left,0.94,0.39,5.0,2024,66
2.0,0:29,2.0,10.0,MIN 30,7.0,17.0,Sam Darnold sacked by Micheal Clemons for -9 yards,0.39,-1.48,5.0,2024,66
3.0,15:00,,,NYJ 35,7.0,17.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,66
3.0,15:00,1.0,10.0,MIN 30,7.0,17.0,Ty Chandler right guard for 1 yard (tackle by Jamien Sherwood),0.94,0.53,5.0,2024,66
3.0,14:25,2.0,9.0,MIN 31,7.0,17.0,Sam Darnold pass complete short right to Ty Chandler for 1 yard (tackle by Tony Adams and Jamien Sherwood),0.53,-0.03,5.0,2024,66
3.0,13:41,3.0,8.0,MIN 32,7.0,17.0,Sam Darnold pass incomplete short left,-0.03,-1.24,5.0,2024,66
3.0,13:29,4.0,8.0,MIN 32,7.0,17.0,"Ryan Wright punts 43 yards, fair catch by Xavier Gipson at NYJ-25. Penalty on Akayleb Evans: Fair Catch Interference, 15 yards (accepted)",-1.24,-1.6,5.0,2024,66
3.0,13:21,1.0,10.0,NYJ 40,7.0,17.0,Breece Hall left end for 3 yards (tackle by Jonathan Bullard),1.6,1.46,5.0,2024,66
3.0,12:44,2.0,7.0,NYJ 43,7.0,17.0,Breece Hall up the middle for -5 yards (tackle by Ivan Pace),1.46,0.1,5.0,2024,66
3.0,12:00,3.0,12.0,NYJ 38,7.0,17.0,Aaron Rodgers pass complete short right to Tyler Conklin for 7 yards (tackle by Josh Metellus),0.1,-0.39,5.0,2024,66
3.0,11:21,4.0,5.0,NYJ 45,7.0,17.0,"Thomas Morstead punts 55 yards, touchback.",-0.39,-0.28,5.0,2024,66
3.0,11:10,1.0,10.0,MIN 20,7.0,17.0,Sam Darnold pass complete short right to Jordan Addison for 5 yards (tackle by Sauce Gardner),0.28,0.41,5.0,2024,66
3.0,10:37,2.0,5.0,MIN 25,7.0,17.0,Sam Darnold pass complete deep left to Jordan Addison for 26 yards (tackle by Tony Adams),0.41,2.32,5.0,2024,66
3.0,10:13,1.0,10.0,NYJ 49,7.0,17.0,"Penalty on Blake Brandel: False Start, 5 yards (accepted) (no play)",2.32,1.99,5.0,2024,66
3.0,9:54,1.0,15.0,MIN 46,7.0,17.0,Sam Darnold pass complete short left to Jordan Addison for 5 yards (tackle by D.J. Reed),1.99,1.78,5.0,2024,66
3.0,9:18,2.0,10.0,NYJ 49,7.0,17.0,Sam Darnold sacked by Leonard Taylor for -5 yards,1.78,0.43,5.0,2024,66
3.0,8:33,3.0,15.0,MIN 46,7.0,17.0,Sam Darnold pass complete short left to Ty Chandler for 8 yards (tackle by Isaiah Oliver),0.43,0.2,5.0,2024,66
3.0,7:51,4.0,7.0,NYJ 46,7.0,17.0,"Ryan Wright punts 43 yards, returned by Xavier Gipson for no gain (tackle by Jay Ward and Andrew DePaola)",0.2,0.38,5.0,2024,66
3.0,7:41,1.0,10.0,NYJ 3,7.0,17.0,Aaron Rodgers pass complete short left to Tyler Conklin for 1 yard (tackle by Byron Murphy and Patrick Jones),-0.38,-0.71,5.0,2024,66
3.0,6:59,2.0,9.0,NYJ 4,7.0,17.0,Aaron Rodgers pass complete short left to Garrett Wilson for 10 yards (tackle by Stephon Gilmore),-0.71,-0.28,5.0,2024,66
3.0,6:22,1.0,10.0,NYJ 14,7.0,17.0,Aaron Rodgers pass incomplete short left intended for Garrett Wilson,-0.28,-0.75,5.0,2024,66
3.0,6:19,2.0,10.0,NYJ 14,7.0,17.0,Aaron Rodgers pass incomplete deep right intended for Garrett Wilson (defended by Blake Cashman),-0.75,-1.4,5.0,2024,66
3.0,6:11,3.0,10.0,NYJ 14,7.0,17.0,Aaron Rodgers pass incomplete short right intended for Breece Hall,-1.4,-2.47,5.0,2024,66
3.0,6:07,4.0,10.0,NYJ 14,7.0,17.0,"Thomas Morstead punts, returned by Brandon Powell for no gain (tackle by Irvin Charles). Penalty on Ivan Pace: Roughing the Kicker, 15 yards (accepted) (no play)",-2.47,0.87,5.0,2024,66
3.0,5:59,1.0,10.0,NYJ 29,7.0,17.0,Breece Hall right tackle for 10 yards (tackle by Camryn Bynum and Byron Murphy),0.87,1.53,5.0,2024,66
3.0,5:21,1.0,10.0,NYJ 39,7.0,17.0,Breece Hall right guard for no gain (tackle by Jonathan Greenard),1.53,0.99,5.0,2024,66
3.0,4:42,2.0,10.0,NYJ 39,7.0,17.0,Aaron Rodgers pass complete short middle to Garrett Wilson for 11 yards (tackle by Josh Metellus and Kamu Grugier-Hill),0.99,2.26,5.0,2024,66
3.0,3:59,1.0,10.0,NYJ 50,7.0,17.0,Aaron Rodgers pass complete short left to Breece Hall for 3 yards (tackle by Josh Metellus),2.26,2.12,5.0,2024,66
3.0,3:17,2.0,7.0,MIN 47,7.0,17.0,Aaron Rodgers pass complete short left to Braelon Allen for 15 yards (tackle by Blake Cashman),2.12,3.45,5.0,2024,66
3.0,2:39,1.0,10.0,MIN 32,7.0,17.0,Braelon Allen left tackle for 7 yards (tackle by Blake Cashman and Camryn Bynum),3.45,3.85,5.0,2024,66
3.0,2:00,2.0,3.0,MIN 25,7.0,17.0,Aaron Rodgers pass incomplete short middle,3.85,3.14,5.0,2024,66
3.0,1:57,3.0,3.0,MIN 25,7.0,17.0,Aaron Rodgers pass complete short middle to Garrett Wilson for 9 yards (tackle by Harrison Smith),3.14,4.51,5.0,2024,66
3.0,1:36,1.0,10.0,MIN 16,7.0,17.0,Aaron Rodgers pass complete short right to Tyler Conklin for 2 yards (tackle by Byron Murphy),4.51,4.21,5.0,2024,66
3.0,1:00,2.0,8.0,MIN 14,7.0,17.0,Aaron Rodgers pass incomplete short right intended for Garrett Wilson (defended by Stephon Gilmore),4.21,3.37,5.0,2024,66
3.0,0:56,3.0,8.0,MIN 14,7.0,17.0,Aaron Rodgers pass incomplete short left intended for Allen Lazard,3.37,2.51,5.0,2024,66
3.0,0:53,4.0,8.0,MIN 14,10.0,17.0,Greg Zuerlein 32 yard field goal good,2.51,3.0,5.0,2024,66
3.0,0:50,,,NYJ 35,10.0,17.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,66
3.0,0:50,1.0,10.0,MIN 30,10.0,17.0,Ty Chandler left end for no gain (tackle by Quincy Williams),0.94,0.39,5.0,2024,66
3.0,0:08,2.0,10.0,MIN 30,10.0,17.0,"Sam Darnold pass incomplete deep left intended for Justin Jefferson. Penalty on D.J. Reed: Defensive Pass Interference, 24 yards (accepted) (no play)",0.39,2.52,5.0,2024,66
3.0,0:02,1.0,10.0,NYJ 46,10.0,17.0,Sam Darnold pass incomplete deep left intended for Justin Jefferson,2.52,1.98,5.0,2024,66
4.0,15:00,2.0,10.0,NYJ 46,10.0,17.0,Sam Darnold pass incomplete short left,1.98,1.29,5.0,2024,66
4.0,14:57,3.0,10.0,NYJ 46,10.0,17.0,Sam Darnold pass incomplete short left,1.29,0.2,5.0,2024,66
4.0,14:50,4.0,10.0,NYJ 46,10.0,17.0,Ryan Wright punts 39 yards downed by Kamu Grugier-Hill,0.2,0.38,5.0,2024,66
4.0,14:41,1.0,10.0,NYJ 7,10.0,17.0,Braelon Allen left guard for 3 yards (tackle by Andrew Van Ginkel and Jerry Tillery),-0.38,-0.56,5.0,2024,66
4.0,14:01,2.0,7.0,NYJ 10,10.0,17.0,Aaron Rodgers sacked by Ivan Pace for -6 yards,-0.56,-1.77,5.0,2024,66
4.0,13:17,3.0,13.0,NYJ 4,10.0,17.0,Aaron Rodgers pass incomplete deep right,-1.77,-2.49,5.0,2024,66
4.0,13:11,4.0,13.0,NYJ 4,10.0,17.0,"Thomas Morstead punts 39 yards, returned by Brandon Powell for 6 yards (tackle by Ashtyn Davis)",-2.49,-3.12,5.0,2024,66
4.0,13:03,1.0,10.0,NYJ 37,10.0,17.0,Sam Darnold pass incomplete deep right intended for Justin Jefferson,3.12,2.57,5.0,2024,66
4.0,12:57,2.0,10.0,NYJ 37,10.0,17.0,Myles Gaskin left guard for 2 yards (tackle by Eric Watts),2.57,2.15,5.0,2024,66
4.0,12:18,3.0,8.0,NYJ 35,10.0,17.0,Sam Darnold pass incomplete short left intended for Jordan Addison,2.15,0.97,5.0,2024,66
4.0,12:12,4.0,8.0,NYJ 35,10.0,20.0,Will Reichard 53 yard field goal good,0.97,3.0,5.0,2024,66
4.0,12:07,,,MIN 35,10.0,20.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,66
4.0,12:07,1.0,10.0,NYJ 30,10.0,20.0,Aaron Rodgers pass complete short right to Tyler Conklin for 7 yards (tackle by Harrison Smith),0.94,1.34,5.0,2024,66
4.0,11:32,2.0,3.0,NYJ 37,10.0,20.0,"Aaron Rodgers sacked by Harrison Phillips for -12 yards. Aaron Rodgers fumbles (forced by Harrison Phillips), recovered by Aaron Rodgers at NYJ-25 (tackle by Harrison Phillips)",1.34,-0.96,5.0,2024,66
4.0,10:56,3.0,15.0,NYJ 25,10.0,20.0,Aaron Rodgers pass incomplete deep left intended for Garrett Wilson,-0.96,-1.7,5.0,2024,66
4.0,10:52,4.0,15.0,NYJ 25,10.0,20.0,"Thomas Morstead punts 48 yards, returned by Brandon Powell for no gain (tackle by Qwan'tez Stiggers). Penalty on Dallas Turner: Offensive Holding, 10 yards (accepted)",-1.7,0.06,5.0,2024,66
4.0,10:43,1.0,10.0,MIN 17,10.0,20.0,Ty Chandler left end for no gain (tackle by D.J. Reed and Jamien Sherwood),-0.06,-0.58,5.0,2024,66
4.0,9:59,2.0,10.0,MIN 17,10.0,20.0,Sam Darnold pass incomplete deep middle intended for Jordan Addison,-0.58,-1.25,5.0,2024,66
4.0,9:54,3.0,10.0,MIN 17,10.0,20.0,"Penalty on Christian Darrisaw: False Start, 5 yards (accepted) (no play)",-1.25,-2.01,5.0,2024,66
4.0,9:54,3.0,15.0,MIN 12,10.0,20.0,Sam Darnold pass deep right intended for Jordan Addison is intercepted by Brandin Echols at MIN-42 and returned for no gain (tackle by Jordan Addison),-2.01,-2.79,5.0,2024,66
4.0,9:47,1.0,10.0,MIN 42,10.0,20.0,Aaron Rodgers pass complete short right to Allen Lazard for 7 yards (tackle by Josh Metellus),2.79,3.19,5.0,2024,66
4.0,9:11,2.0,3.0,MIN 35,10.0,20.0,Aaron Rodgers pass complete short right to Garrett Wilson for 10 yards (tackle by Stephon Gilmore and Harrison Smith),3.19,3.91,5.0,2024,66
4.0,8:28,1.0,10.0,MIN 25,10.0,20.0,Aaron Rodgers pass incomplete deep middle intended for Tyler Conklin (defended by Camryn Bynum),3.91,3.36,5.0,2024,66
4.0,8:20,2.0,10.0,MIN 25,10.0,20.0,Aaron Rodgers pass incomplete deep right intended for Mike Williams,3.36,2.68,5.0,2024,66
4.0,8:17,3.0,10.0,MIN 25,10.0,20.0,Aaron Rodgers pass complete deep middle to Mike Williams for 18 yards (tackle by Harrison Smith),2.68,5.6,5.0,2024,66
4.0,7:32,1.0,7.0,MIN 7,10.0,20.0,"Penalty on Aaron Rodgers: Delay of Game, 5 yards (accepted) (no play)",5.6,4.64,5.0,2024,66
4.0,7:32,1.0,12.0,MIN 12,10.0,20.0,Aaron Rodgers pass complete short left to Breece Hall for 5 yards (tackle by Stephon Gilmore),4.64,4.76,5.0,2024,66
4.0,6:55,2.0,7.0,MIN 7,10.0,20.0,Aaron Rodgers pass complete short right to Garrett Wilson for 5 yards (tackle by Byron Murphy),4.76,4.95,5.0,2024,66
4.0,6:15,3.0,2.0,MIN 2,10.0,20.0,"Aaron Rodgers pass incomplete short right intended for Garrett Wilson. Penalty on Stephon Gilmore: Defensive Pass Interference, 1 yard (accepted) (no play)",4.95,6.97,5.0,2024,66
4.0,6:10,1.0,1.0,MIN 1,16.0,20.0,"Aaron Rodgers pass complete short left to Garrett Wilson for 1 yard, touchdown",6.97,7.0,5.0,2024,66
4.0,6:04,,,MIN 15,17.0,20.0,Greg Zuerlein kicks extra point good,0.0,0.0,5.0,2024,66
4.0,6:04,,,NYJ 35,17.0,20.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,66
4.0,6:04,1.0,10.0,MIN 30,17.0,20.0,Ty Chandler right end for 1 yard (tackle by Quinnen Williams and Sauce Gardner),0.94,0.53,5.0,2024,66
4.0,5:43,2.0,9.0,MIN 31,17.0,20.0,Sam Darnold pass complete deep middle to Justin Jefferson for 25 yards (tackle by Chuck Clark),0.53,2.65,5.0,2024,66
