Quarter,Time,Down,ToGo,Location,NOR,KAN,Detail,EPB,EPA,week,year,game_id
2.0,1:44,3.0,14.0,NOR 25,7.0,10.0,Patrick Mahomes pass complete short left to Samaje Perine for 9 yards (tackle by Marshon Lattimore and Cameron Jordan),2.41,2.43,5.0,2024,78
2.0,1:35,,,,,,Timeout #3 by New Orleans Saints,,,5.0,2024,78
2.0,1:35,4.0,5.0,NOR 16,7.0,13.0,Harrison Butker 34 yard field goal good,2.43,3.0,5.0,2024,78
2.0,1:32,,,KAN 35,7.0,13.0,"Harrison Butker kicks off 66 yards, returned by Jamaal Williams for 22 yards (tackle by Cole Christiansen)",0.0,0.34,5.0,2024,78
2.0,1:26,1.0,10.0,NOR 21,7.0,13.0,Derek Carr pass incomplete deep left intended for Mason Tipton,0.34,-0.2,5.0,2024,78
2.0,1:20,2.0,10.0,NOR 21,7.0,13.0,Derek Carr pass complete short right to Juwan Johnson for 3 yards (tackle by Justin Reid),-0.2,-0.49,5.0,2024,78
2.0,1:14,,,,,,Timeout #1 by Kansas City Chiefs,,,5.0,2024,78
2.0,1:14,3.0,7.0,NOR 24,7.0,13.0,Derek Carr pass complete short right to Alvin Kamara for -3 yards (tackle by Nick Bolton),-0.49,-1.96,5.0,2024,78
2.0,1:10,,,,,,Timeout #2 by Kansas City Chiefs,,,5.0,2024,78
2.0,1:10,4.0,10.0,NOR 21,7.0,13.0,"Matthew Hayball punts 49 yards, returned by Mecole Hardman for 6 yards (tackle by J.T. Gray)",-1.96,-1.33,5.0,2024,78
2.0,0:58,1.0,10.0,KAN 36,7.0,13.0,Patrick Mahomes pass incomplete short left intended for Xavier Worthy,1.33,0.79,5.0,2024,78
2.0,0:53,2.0,10.0,KAN 36,7.0,13.0,Patrick Mahomes pass complete deep right to JuJu Smith-Schuster for 31 yards (tackle by Paulson Adebo),0.79,3.38,5.0,2024,78
2.0,0:45,1.0,10.0,NOR 33,7.0,13.0,Patrick Mahomes pass incomplete short right intended for Xavier Worthy,3.38,2.84,5.0,2024,78
2.0,0:41,2.0,10.0,NOR 33,7.0,13.0,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 7 yards (tackle by Alontae Taylor),2.84,3.07,5.0,2024,78
2.0,0:34,3.0,3.0,NOR 26,7.0,13.0,Patrick Mahomes pass complete short middle to JuJu Smith-Schuster for 8 yards (tackle by Cameron Jordan),3.07,4.37,5.0,2024,78
2.0,0:27,,,,,,Timeout #3 by Kansas City Chiefs,,,5.0,2024,78
2.0,0:27,1.0,10.0,NOR 18,7.0,13.0,Patrick Mahomes pass complete short left to Travis Kelce for 9 yards (tackle by Marshon Lattimore),4.37,5.42,5.0,2024,78
2.0,0:21,2.0,1.0,NOR 9,7.0,13.0,Patrick Mahomes pass incomplete short left,5.42,4.74,5.0,2024,78
2.0,0:15,3.0,1.0,NOR 9,7.0,13.0,Patrick Mahomes pass incomplete short right,4.74,2.98,5.0,2024,78
2.0,0:09,4.0,1.0,NOR 9,7.0,16.0,Harrison Butker 28 yard field goal good,2.98,3.0,5.0,2024,78
2.0,0:06,,,KAN 35,7.0,16.0,"Harrison Butker kicks off 71 yards, returned by Rashid Shaheed for 38 yards (tackle by Nazeeh Johnson)",0.0,1.27,5.0,2024,78
3.0,15:00,,,NOR 35,7.0,16.0,"Blake Grupe kicks off 65 yards, returned by Carson Steele for 29 yards (tackle by J.T. Gray and Isaiah Foskey)",0.0,0.87,5.0,2024,78
3.0,14:55,1.0,10.0,KAN 29,7.0,16.0,Kareem Hunt left end for 4 yards (tackle by Johnathan Abram),0.87,0.87,5.0,2024,78
3.0,14:22,2.0,6.0,KAN 33,7.0,16.0,Kareem Hunt left guard for 4 yards (tackle by Anfernee Orji and Khalen Saunders),0.87,0.7,5.0,2024,78
3.0,13:42,3.0,2.0,KAN 37,7.0,16.0,Kareem Hunt right guard for 5 yards (tackle by Khalen Saunders and Johnathan Abram),0.7,1.73,5.0,2024,78
3.0,13:04,1.0,10.0,KAN 42,7.0,16.0,Carson Steele up the middle for 6 yards (tackle by Nathan Shepherd and Carl Granderson),1.73,2.0,5.0,2024,78
3.0,12:31,2.0,4.0,KAN 48,7.0,16.0,Carson Steele left end for 5 yards (tackle by Alontae Taylor and John Ridgeway),2.0,2.46,5.0,2024,78
3.0,11:46,1.0,10.0,NOR 47,7.0,16.0,Patrick Mahomes pass complete short left to Noah Gray for 14 yards (tackle by Paulson Adebo),2.46,3.38,5.0,2024,78
3.0,11:04,1.0,10.0,NOR 33,7.0,16.0,Kareem Hunt up the middle for no gain (tackle by Bryan Bresee),3.38,2.84,5.0,2024,78
3.0,10:30,2.0,10.0,NOR 33,7.0,16.0,Patrick Mahomes pass incomplete short middle,2.84,2.15,5.0,2024,78
3.0,10:23,3.0,10.0,NOR 33,7.0,16.0,Patrick Mahomes pass incomplete deep right intended for Xavier Worthy,2.15,1.15,5.0,2024,78
3.0,10:18,4.0,10.0,NOR 33,7.0,16.0,Harrison Butker 51 yard field goal no good,1.15,-1.66,5.0,2024,78
3.0,10:14,1.0,10.0,NOR 41,7.0,16.0,Alvin Kamara right end for 3 yards (tackle by Trent McDuffie),1.66,1.53,5.0,2024,78
3.0,9:54,2.0,7.0,NOR 44,7.0,16.0,Alvin Kamara left guard for 1 yard (tackle by Nick Bolton),1.53,0.96,5.0,2024,78
3.0,9:13,3.0,6.0,NOR 45,7.0,16.0,Derek Carr pass complete short middle to Foster Moreau for 7 yards (tackle by Nick Bolton),0.96,2.39,5.0,2024,78
3.0,8:48,1.0,10.0,KAN 48,7.0,16.0,Alvin Kamara right end for 3 yards (tackle by George Karlaftis and Nick Bolton),2.39,2.25,5.0,2024,78
3.0,8:13,2.0,7.0,KAN 45,7.0,16.0,Derek Carr pass incomplete deep right intended for Rashid Shaheed (defended by Trent McDuffie),2.25,1.55,5.0,2024,78
3.0,8:06,3.0,7.0,KAN 45,7.0,16.0,"Derek Carr pass complete short left to Mason Tipton for no gain (tackle by Michael Danna and Chamarri Conner). Penalty on Chris Olave: Illegal Shift, 5 yards (accepted) (no play)",1.55,0.89,5.0,2024,78
3.0,7:38,3.0,12.0,KAN 50,7.0,16.0,Derek Carr sacked by Tershawn Wharton for -8 yards,0.89,-0.59,5.0,2024,78
3.0,6:59,4.0,20.0,NOR 42,7.0,16.0,"Matthew Hayball punts 48 yards, returned by Mecole Hardman for 6 yards (tackle by Adam Prentice)",-0.59,0.14,5.0,2024,78
3.0,6:48,1.0,10.0,KAN 16,7.0,16.0,Patrick Mahomes pass complete short right to Mecole Hardman for 5 yards (tackle by Johnathan Abram),-0.14,0.15,5.0,2024,78
3.0,6:18,2.0,5.0,KAN 21,7.0,16.0,Kareem Hunt right end for 7 yards (tackle by Isaiah Foskey and Tyrann Mathieu),0.15,0.81,5.0,2024,78
3.0,5:48,1.0,10.0,KAN 28,7.0,16.0,Patrick Mahomes pass complete short right to Xavier Worthy for 5 yards (tackle by Paulson Adebo),0.81,0.94,5.0,2024,78
3.0,5:26,2.0,5.0,KAN 33,7.0,16.0,Kareem Hunt right tackle for 4 yards (tackle by Tyrann Mathieu and Demario Davis),0.94,0.76,5.0,2024,78
3.0,4:35,3.0,1.0,KAN 37,7.0,16.0,Carson Steele left guard for 2 yards (tackle by Nathan Shepherd and Demario Davis),0.76,1.53,5.0,2024,78
3.0,3:55,1.0,10.0,KAN 39,7.0,16.0,"Patrick Mahomes pass incomplete deep right intended for Xavier Worthy. Penalty on Paulson Adebo: Defensive Pass Interference, 46 yards (accepted) (no play)",1.53,4.58,5.0,2024,78
3.0,3:47,1.0,10.0,NOR 15,7.0,16.0,Patrick Mahomes pass complete short middle to Xavier Worthy for 2 yards (tackle by Marshon Lattimore),4.58,4.28,5.0,2024,78
3.0,3:13,2.0,8.0,NOR 13,7.0,16.0,Patrick Mahomes pass complete short left to Mecole Hardman for 8 yards (tackle by Demario Davis),4.28,6.06,5.0,2024,78
3.0,2:30,1.0,5.0,NOR 5,7.0,16.0,Patrick Mahomes pass complete short middle to Travis Kelce for 3 yards (tackle by Carl Granderson and Khalen Saunders),6.06,5.72,5.0,2024,78
3.0,1:54,,,,,,Timeout #1 by Kansas City Chiefs,,,5.0,2024,78
3.0,1:54,2.0,2.0,NOR 2,7.0,16.0,Patrick Mahomes pass short middle (defended by Paulson Adebo) intended for JuJu Smith-Schuster is intercepted by Khalen Saunders in end zone and returned for 37 yards (tackle by Joe Thuney),5.72,-1.27,5.0,2024,78
3.0,1:43,1.0,10.0,NOR 35,7.0,16.0,Derek Carr pass complete short right to Rashid Shaheed for 7 yards (tackle by Jaylen Watson),1.27,1.67,5.0,2024,78
3.0,1:12,2.0,3.0,NOR 42,7.0,16.0,"Derek Carr pass complete short right to Rashid Shaheed for 21 yards (tackle by Jaylen Watson). Penalty on Trent McDuffie: Defensive Holding, 5 yards (declined)",1.67,3.12,5.0,2024,78
