Quarter,Time,Down,ToGo,Location,NYG,SEA,Detail,EPB,EPA,week,year,game_id
1.0,4:00,2.0,3.0,SEA 3,0.0,0.0,Daniel Jones right guard for 2 yards (tackle by Uchenna Nwosu and Jerome Baker),5.53,5.17,5.0,2024,76
1.0,3:16,3.0,1.0,SEA 1,0.0,0.0,Eric Gray right guard for no gain (tackle by Jerome Baker),5.17,3.55,5.0,2024,76
1.0,2:33,4.0,1.0,SEA 1,0.0,6.0,"Eric Gray right guard for no gain. Eric Gray fumbles (tackle by Julian Love, recovered by Rayshawn Jenkins in end zone and returned for 102 yards, touchdown Replay Assistant challenged the fumble ruling, and the play was upheld.",3.55,-7.0,5.0,2024,76
1.0,2:14,,,NYG 15,0.0,7.0,Jason Myers kicks extra point good,0.0,0.0,5.0,2024,76
1.0,2:14,,,SEA 35,0.0,7.0,"Jason Myers kicks off 66 yards, returned by Eric Gray for 25 yards (tackle by Drake Thomas and Coby Bryant)",0.0,0.54,5.0,2024,76
1.0,2:09,1.0,10.0,NYG 24,0.0,7.0,Daniel Jones pass complete short right to Tyrone Tracy for 1 yard (tackle by Devon Witherspoon),0.54,0.13,5.0,2024,76
1.0,1:26,2.0,9.0,NYG 25,0.0,7.0,Daniel Jones right end for 1 yard (tackle by Jerome Baker),0.13,-0.43,5.0,2024,76
1.0,0:49,3.0,8.0,NYG 26,0.0,7.0,Daniel Jones pass complete short left to Wan'Dale Robinson for 6 yards (tackle by Rayshawn Jenkins),-0.43,-1.24,5.0,2024,76
1.0,0:03,4.0,2.0,NYG 32,0.0,7.0,"Jamie Gillan punts 46 yards, fair catch by Dee Williams at SEA-22",-1.24,-0.41,5.0,2024,76
2.0,15:00,1.0,10.0,SEA 22,0.0,7.0,Kenneth Walker right end for -1 yards (tackle by Tyler Nubin),0.41,-0.27,5.0,2024,76
2.0,14:20,2.0,11.0,SEA 21,0.0,7.0,Geno Smith pass complete short left to Jaxon Smith-Njigba for 3 yards (tackle by Nick McCloud),-0.27,-0.56,5.0,2024,76
2.0,13:47,3.0,8.0,SEA 24,0.0,7.0,Geno Smith pass incomplete short right,-0.56,-1.77,5.0,2024,76
2.0,13:43,4.0,8.0,SEA 24,0.0,7.0,"Michael Dickson punts 55 yards, returned by Ihmir Smith-Marsette for -2 yards (tackle by Tre Brown)",-1.77,-0.15,5.0,2024,76
2.0,13:35,1.0,10.0,NYG 19,0.0,7.0,Tyrone Tracy up the middle for 2 yards (tackle by Tyrel Dodson and Jerome Baker),0.15,-0.06,5.0,2024,76
2.0,12:58,2.0,8.0,NYG 21,0.0,7.0,Daniel Jones pass complete short left to Darius Slayton for 7 yards (tackle by Tre Brown),-0.06,0.1,5.0,2024,76
2.0,12:32,3.0,1.0,NYG 28,0.0,7.0,Daniel Jones left guard for 3 yards (tackle by Derick Hall),0.1,1.0,5.0,2024,76
2.0,11:52,1.0,10.0,NYG 31,0.0,7.0,Tyrone Tracy left tackle for 27 yards (tackle by Riq Woolen),1.0,2.79,5.0,2024,76
2.0,11:16,1.0,10.0,SEA 42,0.0,7.0,Eric Gray right guard for 2 yards (tackle by Uchenna Nwosu),2.79,2.51,5.0,2024,76
2.0,10:38,2.0,8.0,SEA 40,0.0,7.0,Daniel Jones pass complete deep left to Theo Johnson for 22 yards (tackle by Julian Love),2.51,4.37,5.0,2024,76
2.0,9:52,1.0,10.0,SEA 18,0.0,7.0,Daniel Jones right guard for 11 yards (tackle by Devon Witherspoon),4.37,5.6,5.0,2024,76
2.0,9:15,1.0,7.0,SEA 7,6.0,7.0,"Daniel Jones pass complete short left to Wan'Dale Robinson for 7 yards, touchdown",5.6,7.0,5.0,2024,76
2.0,9:09,,,SEA 15,7.0,7.0,Greg Joseph kicks extra point good,0.0,0.0,5.0,2024,76
2.0,9:09,,,NYG 35,7.0,7.0,"Greg Joseph kicks off 66 yards, returned by Laviska Shenault for 29 yards (tackle by Matthew Adams)",0.0,0.81,5.0,2024,76
2.0,9:04,1.0,10.0,SEA 28,7.0,7.0,Geno Smith pass complete short middle to Zach Charbonnet for 7 yards (tackle by Rakeem Nunez-Roches),0.81,1.21,5.0,2024,76
2.0,8:25,2.0,3.0,SEA 35,7.0,7.0,Geno Smith pass incomplete short right intended for Tyler Lockett (defended by Brian Burns) (defended by Deonte Banks),1.21,0.5,5.0,2024,76
2.0,8:22,3.0,3.0,SEA 35,7.0,7.0,Geno Smith pass complete short left to Kenneth Walker for 4 yards (tackle by Adoree' Jackson),0.5,1.53,5.0,2024,76
2.0,7:53,1.0,10.0,SEA 39,7.0,7.0,Geno Smith pass complete short middle to AJ Barner for 13 yards (tackle by Jason Pinnock),1.53,2.39,5.0,2024,76
2.0,7:09,1.0,10.0,NYG 48,7.0,7.0,Geno Smith pass incomplete short left intended for Zach Charbonnet,2.39,1.85,5.0,2024,76
2.0,7:06,2.0,10.0,NYG 48,7.0,7.0,Geno Smith pass complete short middle to Jake Bobo for 3 yards (tackle by Bobby Okereke),1.85,1.55,5.0,2024,76
2.0,6:21,3.0,7.0,NYG 45,7.0,7.0,Geno Smith sacked by Dexter Lawrence for -9 yards,1.55,-0.32,5.0,2024,76
2.0,5:44,4.0,16.0,SEA 46,7.0,7.0,"Michael Dickson punts 40 yards, returned by Ihmir Smith-Marsette for 8 yards (tackle by Jake Bobo and Pharaoh Brown)",-0.32,-0.41,5.0,2024,76
2.0,5:34,1.0,10.0,NYG 22,7.0,7.0,Tyrone Tracy right end for 3 yards (tackle by Riq Woolen and Tyrel Dodson),0.41,0.27,5.0,2024,76
2.0,5:07,2.0,7.0,NYG 25,7.0,7.0,Daniel Jones pass complete short right to Wan'Dale Robinson for 8 yards (tackle by Tyrel Dodson),0.27,1.14,5.0,2024,76
2.0,4:24,1.0,10.0,NYG 33,7.0,7.0,Daniel Jones pass incomplete short left intended for Tyrone Tracy,1.14,0.59,5.0,2024,76
2.0,4:21,2.0,10.0,NYG 33,7.0,7.0,Wan'Dale Robinson left end for 4 yards (tackle by Dre'Mont Jones),0.59,0.43,5.0,2024,76
2.0,3:38,3.0,6.0,NYG 37,7.0,7.0,"Daniel Jones scrambles right tackle for 1 yard (tackle by Derick Hall). Penalty on Tre Brown: Defensive Holding, 5 yards (accepted)",0.43,1.8,5.0,2024,76
2.0,3:07,1.0,10.0,NYG 43,7.0,7.0,Daniel Jones pass complete short left to Darius Slayton for 16 yards (tackle by Devon Witherspoon),1.8,2.85,5.0,2024,76
2.0,2:30,1.0,10.0,SEA 41,7.0,7.0,Daniel Jones pass complete short right to Theo Johnson for 6 yards (tackle by Tyrel Dodson and Derick Hall),2.85,3.12,5.0,2024,76
2.0,2:00,2.0,4.0,SEA 35,7.0,7.0,Tyrone Tracy left end for 7 yards (tackle by Julian Love),3.12,3.71,5.0,2024,76
2.0,1:18,1.0,10.0,SEA 28,7.0,7.0,Daniel Jones pass incomplete short right,3.71,3.17,5.0,2024,76
2.0,1:13,2.0,10.0,SEA 28,7.0,7.0,Daniel Jones up the middle for 8 yards (tackle by Riq Woolen and Julian Love),3.17,3.53,5.0,2024,76
2.0,0:27,3.0,2.0,SEA 20,7.0,7.0,Daniel Jones pass incomplete short middle intended for Wan'Dale Robinson,3.53,2.25,5.0,2024,76
2.0,0:25,4.0,2.0,SEA 20,10.0,7.0,Greg Joseph 38 yard field goal good,2.25,3.0,5.0,2024,76
2.0,0:22,,,NYG 35,10.0,7.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,76
2.0,0:22,1.0,10.0,SEA 30,10.0,7.0,Geno Smith pass complete short middle to Kenneth Walker for 17 yards (tackle by Deonte Banks),0.94,2.06,5.0,2024,76
2.0,0:14,1.0,10.0,SEA 47,10.0,7.0,"Geno Smith pass complete deep middle to Tyler Lockett for 28 yards (tackle by Tyler Nubin). Penalty on Adoree' Jackson: Defensive Pass Interference, 15 yards (declined)",2.06,3.91,5.0,2024,76
2.0,0:06,,,,,,Timeout #1 by Seattle Seahawks,,,5.0,2024,76
2.0,0:06,1.0,10.0,NYG 25,10.0,10.0,Jason Myers 43 yard field goal good,3.91,3.0,5.0,2024,76
2.0,0:02,,,SEA 35,10.0,10.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,76
2.0,0:02,1.0,10.0,NYG 30,10.0,10.0,Daniel Jones kneels for -1 yards,0.94,0.26,5.0,2024,76
3.0,15:00,,,SEA 35,10.0,10.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,76
3.0,15:00,1.0,10.0,NYG 30,10.0,10.0,Tyrone Tracy left guard for 1 yard (tackle by Jerome Baker),0.94,0.53,5.0,2024,76
3.0,14:18,2.0,9.0,NYG 31,10.0,10.0,Daniel Jones pass complete short left to Wan'Dale Robinson for 4 yards (tackle by Tyrel Dodson and Devon Witherspoon),0.53,0.37,5.0,2024,76
3.0,13:37,3.0,5.0,NYG 35,10.0,10.0,Daniel Jones pass incomplete short left intended for Wan'Dale Robinson,0.37,-1.04,5.0,2024,76
3.0,13:30,4.0,5.0,NYG 35,10.0,10.0,"Jamie Gillan punts 36 yards, fair catch by Dee Williams at SEA-29",-1.04,-0.87,5.0,2024,76
3.0,13:23,1.0,10.0,SEA 29,10.0,10.0,Geno Smith pass complete deep left to Tyler Lockett for 33 yards (tackle by Micah McFadden),0.87,3.05,5.0,2024,76
3.0,12:39,1.0,10.0,NYG 38,10.0,10.0,Kenneth Walker right end for 7 yards (tackle by Tyler Nubin),3.05,3.45,5.0,2024,76
3.0,12:16,2.0,3.0,NYG 31,10.0,10.0,"Geno Smith pass complete short right to D.K. Metcalf for 10 yards. D.K. Metcalf fumbles (tackle by Bobby Okereke, recovered by Tyler Nubin at NYG-21 and returned for 2 yards (tackle by Kenneth Walker)",3.45,-0.48,5.0,2024,76
3.0,12:11,1.0,10.0,NYG 23,10.0,10.0,"Daniel Jones pass complete deep right to Darius Slayton for 41 yards (tackle by Tre Brown). Penalty on Darius Slayton: Unsportsmanlike Conduct / Offense, 15 yards (accepted)",0.48,2.19,5.0,2024,76
3.0,11:51,1.0,10.0,NYG 49,10.0,10.0,"Daniel Jones scrambles right end for 5 yards (tackle by Jerome Baker and Derick Hall). Penalty on Tre Brown: Defensive Holding, 5 yards (accepted)",2.19,2.85,5.0,2024,76
3.0,11:30,1.0,10.0,SEA 41,10.0,10.0,Tyrone Tracy left tackle for 11 yards (tackle by Devon Witherspoon and Jerome Baker),2.85,3.58,5.0,2024,76
3.0,10:47,1.0,10.0,SEA 30,16.0,10.0,"Daniel Jones pass complete deep left to Darius Slayton for 30 yards, touchdown",3.58,7.0,5.0,2024,76
3.0,10:41,,,SEA 15,17.0,10.0,Greg Joseph kicks extra point good,0.0,0.0,5.0,2024,76
3.0,10:41,,,NYG 35,17.0,10.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,76
3.0,10:41,1.0,10.0,SEA 30,17.0,10.0,Geno Smith pass complete short left to Kenneth Walker for 7 yards (tackle by Deonte Banks),0.94,1.34,5.0,2024,76
3.0,9:53,2.0,3.0,SEA 37,17.0,10.0,"Penalty on SEA: Delay of Game, 5 yards (accepted) (no play)",1.34,0.66,5.0,2024,76
3.0,9:38,2.0,8.0,SEA 32,17.0,10.0,Geno Smith scrambles right end for 21 yards (tackle by Tyler Nubin),0.66,2.46,5.0,2024,76
3.0,9:05,1.0,10.0,NYG 47,17.0,10.0,Geno Smith pass complete short middle to Pharaoh Brown for 7 yards (tackle by Micah McFadden and Nick McCloud),2.46,2.86,5.0,2024,76
3.0,8:30,2.0,3.0,NYG 40,17.0,10.0,Geno Smith pass complete short left to Tyler Lockett for 8 yards (tackle by Cordale Flott),2.86,3.45,5.0,2024,76
3.0,7:56,1.0,10.0,NYG 32,17.0,10.0,Geno Smith sacked by D.J. Davidson for -4 yards,3.45,2.36,5.0,2024,76
3.0,7:20,2.0,14.0,NYG 36,17.0,10.0,Kenneth Walker left guard for 7 yards (tackle by Kayvon Thibodeaux),2.36,2.61,5.0,2024,76
3.0,6:42,3.0,7.0,NYG 29,17.0,10.0,Geno Smith pass incomplete short left intended for D.K. Metcalf (defended by Deonte Banks),2.61,1.5,5.0,2024,76
3.0,6:38,4.0,7.0,NYG 29,17.0,13.0,Jason Myers 48 yard field goal good,1.5,3.0,5.0,2024,76
3.0,6:33,,,SEA 35,17.0,13.0,"Jason Myers kicks off 62 yards, returned by Ihmir Smith-Marsette for 24 yards (tackle by Coby Bryant)",0.0,0.74,5.0,2024,76
3.0,6:28,1.0,10.0,NYG 27,17.0,13.0,Tyrone Tracy up the middle for 25 yards (tackle by Riq Woolen and Julian Love),0.74,2.39,5.0,2024,76
3.0,6:01,1.0,10.0,SEA 48,17.0,13.0,Daniel Jones pass complete short left to Darius Slayton for 6 yards (tackle by Tre Brown),2.39,2.66,5.0,2024,76
3.0,5:22,2.0,4.0,SEA 42,17.0,13.0,Tyrone Tracy right end for 3 yards (tackle by Tre Brown),2.66,2.34,5.0,2024,76
3.0,4:40,3.0,1.0,SEA 39,17.0,13.0,Tyrone Tracy left end for 13 yards (tackle by Johnathan Hankins),2.34,3.84,5.0,2024,76
3.0,3:53,1.0,10.0,SEA 26,17.0,13.0,Daniel Jones pass complete short right to Theo Johnson for 5 yards (tackle by Rayshawn Jenkins),3.84,3.97,5.0,2024,76
3.0,3:06,2.0,5.0,SEA 21,17.0,13.0,Daniel Jones pass incomplete short middle,3.97,3.27,5.0,2024,76
3.0,3:02,3.0,5.0,SEA 21,17.0,13.0,Daniel Jones pass complete short left to Darius Slayton for 9 yards (tackle by Tre Brown and Tyrel Dodson),3.27,4.78,5.0,2024,76
3.0,2:20,1.0,10.0,SEA 12,17.0,13.0,Daniel Jones sacked by Tyrel Dodson for -2 yards,4.78,3.79,5.0,2024,76
3.0,1:33,2.0,12.0,SEA 14,17.0,13.0,Tyrone Tracy up the middle for 1 yard (tackle by Jarran Reed and Dre'Mont Jones),3.79,3.1,5.0,2024,76
3.0,0:53,3.0,11.0,SEA 13,17.0,13.0,Daniel Jones pass incomplete short left intended for Darius Slayton,3.1,2.57,5.0,2024,76
3.0,0:49,4.0,11.0,SEA 13,20.0,13.0,Greg Joseph 31 yard field goal good,2.57,3.0,5.0,2024,76
3.0,0:46,,,NYG 35,20.0,13.0,"Greg Joseph kicks off 63 yards, returned by Dee Williams for 24 yards (tackle by Patrick Johnson)",0.0,0.67,5.0,2024,76
3.0,0:40,1.0,10.0,SEA 26,20.0,13.0,Kenneth Walker left end for 3 yards (tackle by Azeez Ojulari),0.67,0.54,5.0,2024,76
3.0,0:03,2.0,7.0,SEA 29,20.0,13.0,Geno Smith sacked by and Rakeem Nunez-Roches for no gain and Dexter Lawrence for no gain,0.54,-0.16,5.0,2024,76
4.0,15:00,3.0,7.0,SEA 29,20.0,13.0,"Penalty on Stone Forsythe: False Start, 5 yards (accepted) (no play)",-0.16,-0.82,5.0,2024,76
4.0,15:00,3.0,12.0,SEA 24,20.0,13.0,Geno Smith scrambles up the middle for 11 yards (tackle by Dane Belton and Deonte Banks),-0.82,-1.04,5.0,2024,76
4.0,14:13,4.0,1.0,SEA 35,20.0,13.0,Geno Smith sacked by Brian Burns for -8 yards,-1.04,-3.78,5.0,2024,76
4.0,14:09,1.0,10.0,SEA 27,20.0,13.0,Tyrone Tracy left guard for 5 yards (tackle by Jerome Baker and Rayshawn Jenkins),3.78,3.91,5.0,2024,76
4.0,13:28,2.0,5.0,SEA 22,20.0,13.0,Daniel Jones pass complete short middle to Wan'Dale Robinson for 9 yards (tackle by Tyrel Dodson),3.91,4.71,5.0,2024,76
4.0,12:49,1.0,10.0,SEA 13,20.0,13.0,Tyrone Tracy right guard for 7 yards (tackle by Rayshawn Jenkins and Devon Witherspoon),4.71,5.34,5.0,2024,76
4.0,12:07,2.0,3.0,SEA 6,20.0,13.0,Daniel Jones pass incomplete short left,5.34,4.56,5.0,2024,76
4.0,12:01,3.0,3.0,SEA 6,20.0,13.0,Daniel Jones pass incomplete short left intended for Eric Gray,4.56,3.01,5.0,2024,76
4.0,11:57,4.0,3.0,SEA 6,23.0,13.0,Greg Joseph 24 yard field goal good,3.01,3.0,5.0,2024,76
4.0,11:54,,,NYG 35,23.0,13.0,"Greg Joseph kicks off 69 yards, returned by Laviska Shenault for 32 yards (tackle by Ty Summers and Isaiah Simmons)",0.0,0.81,5.0,2024,76
4.0,11:47,1.0,10.0,SEA 28,23.0,13.0,Zach Charbonnet left tackle for 2 yards (tackle by Rakeem Nunez-Roches),0.81,0.53,5.0,2024,76
4.0,11:10,2.0,8.0,SEA 30,23.0,13.0,Zach Charbonnet right tackle for 9 yards (tackle by Jason Pinnock and Tyler Nubin),0.53,1.53,5.0,2024,76
4.0,10:27,1.0,10.0,SEA 39,23.0,13.0,Geno Smith pass complete short middle to Zach Charbonnet for 4 yards (tackle by Bobby Okereke and Micah McFadden),1.53,1.53,5.0,2024,76
4.0,9:50,2.0,6.0,SEA 43,23.0,13.0,Geno Smith pass incomplete short right intended for Zach Charbonnet (defended by Brian Burns),1.53,0.83,5.0,2024,76
4.0,9:47,3.0,6.0,SEA 43,23.0,13.0,"Geno Smith sacked by and Kayvon Thibodeaux for -10 yards and Dexter Lawrence for -10 yards. Penalty on Stone Forsythe: Illegal Formation, 5 yards (declined)",0.83,-1.18,5.0,2024,76
4.0,9:39,4.0,16.0,SEA 33,23.0,13.0,"Michael Dickson punts 48 yards, fair catch by Ihmir Smith-Marsette at NYG-19",-1.18,-0.15,5.0,2024,76
4.0,9:33,1.0,10.0,NYG 19,23.0,13.0,Tyrone Tracy right guard for 5 yards (tackle by Derick Hall),0.15,0.34,5.0,2024,76
4.0,8:50,2.0,5.0,NYG 24,23.0,13.0,Daniel Jones pass incomplete short left intended for Wan'Dale Robinson,0.34,-0.42,5.0,2024,76
4.0,8:48,3.0,5.0,NYG 24,23.0,13.0,Daniel Jones pass complete short left to Darius Slayton for 6 yards (tackle by Tyrel Dodson and Nehemiah Pritchett),-0.42,0.94,5.0,2024,76
4.0,8:03,1.0,10.0,NYG 30,23.0,13.0,Daniel Jones pass complete short right to Wan'Dale Robinson for 2 yards (tackle by Devon Witherspoon),0.94,0.66,5.0,2024,76
4.0,7:28,2.0,8.0,NYG 32,23.0,13.0,Tyrone Tracy up the middle for 4 yards (tackle by Julian Love and Jerome Baker),0.66,0.5,5.0,2024,76
4.0,6:43,3.0,4.0,NYG 36,23.0,13.0,Daniel Jones sacked by Jerome Baker for no gain,0.5,-0.98,5.0,2024,76
4.0,6:05,4.0,4.0,NYG 36,23.0,13.0,Jamie Gillan punts 59 yards downed by Dane Belton,-0.98,0.38,5.0,2024,76
4.0,5:53,1.0,10.0,SEA 5,23.0,13.0,Geno Smith pass incomplete short middle intended for Jaxon Smith-Njigba (defended by Rakeem Nunez-Roches),-0.38,-0.78,5.0,2024,76
4.0,5:51,2.0,10.0,SEA 5,23.0,13.0,Geno Smith pass complete deep left to D.K. Metcalf for 22 yards (tackle by Tyler Nubin),-0.78,0.74,5.0,2024,76
4.0,5:29,1.0,10.0,SEA 27,23.0,13.0,Geno Smith pass complete short middle to Kenneth Walker for 12 yards (tackle by Cordale Flott),0.74,1.53,5.0,2024,76
4.0,4:50,1.0,10.0,SEA 39,23.0,13.0,Geno Smith pass complete short right to Tyler Lockett for 6 yards (tackle by Cordale Flott),1.53,1.8,5.0,2024,76
4.0,4:45,2.0,4.0,SEA 45,23.0,13.0,"Penalty on Charles Cross: False Start, 5 yards (accepted) (no play)",1.8,1.12,5.0,2024,76
4.0,4:45,2.0,9.0,SEA 40,23.0,13.0,Geno Smith pass complete short right to Kenneth Walker for 7 yards (tackle by Bobby Okereke and Tyler Nubin),1.12,1.36,5.0,2024,76
4.0,4:24,3.0,2.0,SEA 47,23.0,13.0,Geno Smith pass complete short left to Noah Fant for 6 yards (tackle by Tyler Nubin),1.36,2.46,5.0,2024,76
4.0,4:04,1.0,10.0,NYG 47,23.0,13.0,Geno Smith pass complete short middle to D.K. Metcalf for 9 yards (tackle by Andru Phillips and Dane Belton),2.46,3.13,5.0,2024,76
4.0,3:43,2.0,1.0,NYG 38,23.0,13.0,Geno Smith pass complete short left to Kenneth Walker for 3 yards (tackle by Andru Phillips and Dane Belton),3.13,3.25,5.0,2024,76
4.0,3:20,1.0,10.0,NYG 35,23.0,13.0,Geno Smith pass complete short left to Jaxon Smith-Njigba for 15 yards (tackle by Brian Burns and Deonte Banks),3.25,4.24,5.0,2024,76
4.0,2:59,1.0,10.0,NYG 20,23.0,13.0,Geno Smith pass incomplete short middle intended for Kenneth Walker,4.24,3.69,5.0,2024,76
4.0,2:55,2.0,10.0,NYG 20,23.0,13.0,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 8 yards (tackle by Dane Belton),3.69,4.34,5.0,2024,76
4.0,2:33,3.0,2.0,NYG 12,23.0,13.0,Geno Smith pass complete short right to Kenneth Walker for 7 yards (tackle by Dane Belton),4.34,6.06,5.0,2024,76
4.0,2:17,1.0,5.0,NYG 5,23.0,13.0,Geno Smith pass incomplete short right intended for Jaxon Smith-Njigba,6.06,5.15,5.0,2024,76
4.0,2:13,2.0,5.0,NYG 5,23.0,19.0,"Geno Smith pass complete short middle to Jaxon Smith-Njigba for 5 yards, touchdown",5.15,7.0,5.0,2024,76
4.0,2:09,,,NYG 15,23.0,20.0,Jason Myers kicks extra point good,0.0,0.0,5.0,2024,76
4.0,2:09,,,SEA 35,23.0,20.0,"Penalty on Darius Muasau: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",0.0,0.0,5.0,2024,76
4.0,2:09,,,SEA 40,23.0,20.0,"Jason Myers kicks off 57 yards, returned by Eric Gray for 19 yards (tackle by Brady Russell)",0.0,0.41,5.0,2024,76
4.0,2:05,1.0,10.0,NYG 22,23.0,20.0,Tyrone Tracy left guard for 4 yards (tackle by Jerome Baker and Dre'Mont Jones),0.41,0.41,5.0,2024,76
4.0,2:00,2.0,6.0,NYG 26,23.0,20.0,Tyrone Tracy left guard for 2 yards (tackle by Tre Brown),0.41,-0.03,5.0,2024,76
4.0,1:55,,,,,,Timeout #1 by Seattle Seahawks,,,5.0,2024,76
4.0,1:55,3.0,4.0,NYG 28,23.0,20.0,Daniel Jones pass incomplete short right intended for Darius Slayton (defended by Nehemiah Pritchett),-0.03,-1.5,5.0,2024,76
4.0,1:51,4.0,4.0,NYG 28,23.0,20.0,"Jamie Gillan punts 45 yards, returned by Dee Williams for 7 yards (tackle by Casey Kreiter)",-1.5,-1.2,5.0,2024,76
4.0,1:40,1.0,10.0,SEA 34,23.0,20.0,Geno Smith scrambles right guard for 32 yards (tackle by Jason Pinnock),1.2,3.31,5.0,2024,76
4.0,1:32,,,,,,Timeout #2 by Seattle Seahawks,,,5.0,2024,76
4.0,1:32,1.0,10.0,NYG 34,23.0,20.0,Geno Smith pass complete short left to Noah Fant for 6 yards (tackle by Bobby Okereke and Andru Phillips),3.31,3.58,5.0,2024,76
4.0,1:12,2.0,4.0,NYG 28,23.0,20.0,Geno Smith pass incomplete deep left intended for Tyler Lockett,3.58,2.87,5.0,2024,76
4.0,1:08,3.0,4.0,NYG 28,23.0,20.0,Geno Smith pass incomplete short left intended for Jaxon Smith-Njigba,2.87,1.65,5.0,2024,76
4.0,1:05,4.0,4.0,NYG 28,29.0,20.0,"Jason Myers 47 yard field goal no good blocked by Isaiah Simmons, touchdown",1.65,-7.0,5.0,2024,76
4.0,0:55,,,,,,Timeout #1 by New York Giants,,,5.0,2024,76
4.0,0:55,,,SEA 2,29.0,20.0,"Two Point Attempt: Daniel Jones rushes, conversion fails.",1.0,-1.0,5.0,2024,76
4.0,0:55,,,NYG 35,29.0,20.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,76
4.0,0:55,1.0,10.0,SEA 30,29.0,20.0,Geno Smith sacked by D.J. Davidson for -13 yards,0.94,-1.5,5.0,2024,76
4.0,0:49,,,,,,Timeout #3 by Seattle Seahawks,,,5.0,2024,76
