Quarter,Time,Down,ToGo,Location,DAL,PIT,Detail,EPB,EPA,week,year,game_id
1.0,6:39,4.0,11.0,DAL 29,3.0,3.0,"Bryan Anger punts 45 yards, fair catch by Calvin Austin at PIT-26",-1.44,-0.67,5.0,2024,77
1.0,6:32,1.0,10.0,PIT 26,3.0,3.0,Justin Fields pass complete short right to Connor Heyward for 7 yards,0.67,1.07,5.0,2024,77
1.0,6:00,2.0,3.0,PIT 33,3.0,3.0,"Najee Harris left guard for 4 yards (tackle by Malik Hooker and Eric Kendricks). Penalty on Linval Joseph: Illegal Use of Hands / Defense, 5 yards (accepted)",1.07,1.73,5.0,2024,77
1.0,5:44,1.0,10.0,PIT 42,3.0,3.0,Justin Fields pass incomplete deep right intended for Van Jefferson (defended by Malik Hooker),1.73,1.19,5.0,2024,77
1.0,5:35,2.0,10.0,PIT 42,3.0,3.0,"Justin Fields sacked by Linval Joseph for -14 yards. Justin Fields fumbles (forced by Linval Joseph), recovered by Justin Fields at PIT-28 (tackle by Linval Joseph) DAL challenged the fumble ruling, and the play was upheld.",1.19,-1.35,5.0,2024,77
1.0,5:00,3.0,24.0,PIT 28,3.0,3.0,Justin Fields pass incomplete deep right,-1.35,-1.5,5.0,2024,77
1.0,4:53,4.0,24.0,PIT 28,3.0,3.0,Corliss Waitman punts 48 yards,-1.5,-0.54,5.0,2024,77
1.0,4:41,1.0,10.0,DAL 24,3.0,3.0,Rico Dowdle right guard for 2 yards (tackle by DeShon Elliott),0.54,0.27,5.0,2024,77
1.0,4:08,2.0,8.0,DAL 26,3.0,3.0,KaVontae Turpin left end for -6 yards (tackle by Nick Herbig),0.27,-1.22,5.0,2024,77
1.0,3:32,3.0,14.0,DAL 20,3.0,3.0,Dak Prescott pass complete deep right to CeeDee Lamb for 27 yards (tackle by Donte Jackson),-1.22,2.06,5.0,2024,77
1.0,2:56,1.0,10.0,DAL 47,3.0,3.0,Dak Prescott pass complete short right to CeeDee Lamb for 19 yards (tackle by DeShon Elliott and Payton Wilson),2.06,3.31,5.0,2024,77
1.0,2:26,1.0,10.0,PIT 34,3.0,3.0,Dak Prescott pass complete short left to KaVontae Turpin for 7 yards (tackle by Patrick Queen),3.31,3.72,5.0,2024,77
1.0,2:03,2.0,3.0,PIT 27,3.0,3.0,Rico Dowdle right tackle for 12 yards (tackle by Donte Jackson),3.72,4.58,5.0,2024,77
1.0,1:23,1.0,10.0,PIT 15,3.0,3.0,Dak Prescott pass complete short left to Jalen Tolbert for 4 yards (tackle by Donte Jackson),4.58,4.64,5.0,2024,77
1.0,0:49,2.0,6.0,PIT 11,3.0,3.0,Rico Dowdle right guard for no gain (tackle by T.J. Watt),4.64,3.78,5.0,2024,77
1.0,0:10,3.0,6.0,PIT 11,3.0,3.0,"Dak Prescott sacked by and T.J. Watt for -9 yards and Nick Herbig for -9 yards. Dak Prescott fumbles, recovered by Nick Herbig at PIT-20",3.78,-0.28,5.0,2024,77
2.0,15:00,1.0,10.0,PIT 20,3.0,3.0,Jonathan Ward right tackle for 7 yards (tackle by Eric Kendricks),0.28,0.68,5.0,2024,77
2.0,14:34,2.0,3.0,PIT 27,3.0,3.0,"Penalty on Darnell Washington: False Start, 5 yards (accepted) (no play)",0.68,0.0,5.0,2024,77
2.0,14:18,2.0,8.0,PIT 22,3.0,3.0,Justin Fields pass complete short right to Darnell Washington for 5 yards (tackle by DeMarvion Overshown),0.0,-0.03,5.0,2024,77
2.0,13:22,3.0,3.0,PIT 27,3.0,3.0,"Penalty on Jonathan Ward: False Start, 5 yards (accepted) (no play)",-0.03,-0.69,5.0,2024,77
2.0,13:03,3.0,8.0,PIT 22,3.0,3.0,Justin Fields sacked by and Osa Odighizuwa for -2 yards and Carl Lawson for -2 yards,-0.69,-2.03,5.0,2024,77
2.0,12:29,4.0,10.0,PIT 20,3.0,3.0,"Corliss Waitman punts 46 yards, fair catch by KaVontae Turpin at DAL-34",-2.03,-1.2,5.0,2024,77
2.0,12:20,1.0,10.0,DAL 34,3.0,3.0,Ezekiel Elliott left end for 4 yards (tackle by Payton Wilson),1.2,1.2,5.0,2024,77
2.0,11:54,2.0,6.0,DAL 38,3.0,3.0,"Dak Prescott pass complete short right to KaVontae Turpin for 5 yards (tackle by Beanie Bishop). Penalty on Beanie Bishop: Face Mask (15 Yards), 15 yards (accepted)",1.2,2.79,5.0,2024,77
2.0,11:40,1.0,10.0,PIT 42,3.0,3.0,CeeDee Lamb left end for 2 yards (tackle by Beanie Bishop),2.79,2.51,5.0,2024,77
2.0,11:02,2.0,8.0,PIT 40,3.0,3.0,Dak Prescott pass complete short right to Jake Ferguson for 27 yards (tackle by Minkah Fitzpatrick and Payton Wilson),2.51,4.71,5.0,2024,77
2.0,10:17,1.0,10.0,PIT 13,3.0,3.0,Ezekiel Elliott up the middle for -1 yards (tackle by Larry Ogunjobi),4.71,3.9,5.0,2024,77
2.0,9:40,2.0,11.0,PIT 14,3.0,3.0,Dak Prescott pass incomplete short left intended for KaVontae Turpin,3.9,3.08,5.0,2024,77
2.0,9:32,3.0,11.0,PIT 14,3.0,3.0,"Penalty on Terence Steele: False Start, 5 yards (accepted) (no play)",3.08,2.67,5.0,2024,77
2.0,9:32,3.0,16.0,PIT 19,3.0,3.0,Hunter Luepke right tackle for 4 yards (tackle by T.J. Watt),2.67,2.44,5.0,2024,77
2.0,8:55,4.0,12.0,PIT 15,6.0,3.0,Brandon Aubrey 33 yard field goal good,2.44,3.0,5.0,2024,77
2.0,8:51,,,DAL 35,6.0,3.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,77
2.0,8:51,1.0,10.0,PIT 30,6.0,3.0,Najee Harris left guard for 4 yards (tackle by Eric Kendricks and Marist Liufau),0.94,0.93,5.0,2024,77
2.0,8:22,2.0,6.0,PIT 34,6.0,3.0,Najee Harris right tackle for 6 yards (tackle by Donovan Wilson and Eric Kendricks),0.93,1.6,5.0,2024,77
2.0,7:44,1.0,10.0,PIT 40,6.0,3.0,Najee Harris up the middle for 4 yards (tackle by Eric Kendricks and Carl Lawson),1.6,1.59,5.0,2024,77
2.0,7:04,2.0,6.0,PIT 44,6.0,3.0,Justin Fields right end for 5 yards (tackle by DeMarvion Overshown),1.59,1.55,5.0,2024,77
2.0,6:16,3.0,1.0,PIT 49,6.0,3.0,Justin Fields sacked by and Chauncey Golston for no gain and Tyrus Wheat for no gain,1.55,-0.13,5.0,2024,77
2.0,5:21,4.0,1.0,PIT 49,6.0,3.0,Justin Fields up the middle for 2 yards (tackle by Tyrus Wheat),-0.13,2.32,5.0,2024,77
2.0,4:44,1.0,10.0,DAL 49,6.0,3.0,Najee Harris right tackle for 6 yards (tackle by Mazi Smith),2.32,2.59,5.0,2024,77
2.0,4:07,2.0,4.0,DAL 43,6.0,3.0,Najee Harris right tackle for -1 yards (tackle by Tyrus Wheat and Carlos Watkins),2.59,1.75,5.0,2024,77
2.0,3:24,3.0,5.0,DAL 44,6.0,3.0,Justin Fields pass incomplete deep left intended for George Pickens (defended by Jourdan Lewis),1.75,0.33,5.0,2024,77
2.0,3:13,4.0,5.0,DAL 44,6.0,3.0,"Penalty on Mark Robinson: False Start, 5 yards (accepted) (no play)",0.33,0.0,5.0,2024,77
2.0,3:13,4.0,10.0,DAL 49,6.0,3.0,"Corliss Waitman punts 34 yards, fair catch by KaVontae Turpin at DAL-15",0.0,0.22,5.0,2024,77
2.0,3:05,1.0,10.0,DAL 15,6.0,3.0,Dak Prescott pass complete short right to Jake Ferguson for 6 yards (tackle by T.J. Watt),-0.22,0.21,5.0,2024,77
2.0,2:35,2.0,4.0,DAL 21,6.0,3.0,Dak Prescott pass incomplete short right intended for Luke Schoonmaker,0.21,-0.63,5.0,2024,77
2.0,2:25,3.0,4.0,DAL 21,6.0,3.0,Dak Prescott pass complete deep left to Jalen Tolbert for 48 yards (tackle by Minkah Fitzpatrick),-0.63,3.51,5.0,2024,77
2.0,2:00,1.0,10.0,PIT 31,6.0,3.0,Rico Dowdle left guard for 5 yards (tackle by DeShon Elliott),3.51,3.64,5.0,2024,77
2.0,1:43,2.0,5.0,PIT 26,6.0,3.0,Dak Prescott pass complete short right to Rico Dowdle for 5 yards (tackle by Payton Wilson),3.64,4.17,5.0,2024,77
2.0,1:17,1.0,10.0,PIT 21,6.0,3.0,Dak Prescott pass complete short right to Jake Ferguson for 6 yards (tackle by Patrick Queen),4.17,4.55,5.0,2024,77
2.0,0:58,2.0,4.0,PIT 15,6.0,3.0,Dak Prescott pass short left intended for CeeDee Lamb is intercepted by Donte Jackson in end zone and returned for 2 yards,4.55,0.38,5.0,2024,77
2.0,0:52,1.0,10.0,PIT 2,6.0,3.0,Aaron Shampklin left guard for 1 yard (tackle by Eric Kendricks and Chauncey Golston),-0.38,-0.71,5.0,2024,77
2.0,0:49,,,,,,Timeout #2 by Dallas Cowboys,,,5.0,2024,77
2.0,0:49,2.0,9.0,PIT 3,6.0,3.0,Aaron Shampklin right tackle for 3 yards (tackle by Donovan Wilson),-0.71,-0.95,5.0,2024,77
2.0,0:45,,,,,,Timeout #3 by Dallas Cowboys,,,5.0,2024,77
2.0,0:45,3.0,6.0,PIT 6,6.0,3.0,Aaron Shampklin right tackle for 5 yards (tackle by Donovan Wilson and Chauncey Golston),-0.95,-2.49,5.0,2024,77
3.0,15:00,,,DAL 35,6.0,3.0,"Brandon Aubrey kicks off 62 yards, returned by Aaron Shampklin for 25 yards (tackle by Buddy Johnson and Juanyeh Thomas)",0.0,0.81,5.0,2024,77
3.0,14:55,1.0,10.0,PIT 28,6.0,3.0,"Justin Fields pass incomplete short left intended for Najee Harris. Penalty on Tyrus Wheat: Roughing the Passer, 15 yards (accepted) (no play)",0.81,1.8,5.0,2024,77
3.0,14:46,1.0,10.0,PIT 43,6.0,3.0,Najee Harris left tackle for 5 yards (tackle by Mazi Smith),1.8,1.93,5.0,2024,77
3.0,14:07,2.0,5.0,PIT 48,6.0,3.0,Kyle Allen pass complete short middle to Pat Freiermuth for 19 yards (tackle by Malik Hooker),1.93,3.38,5.0,2024,77
3.0,13:22,1.0,10.0,DAL 33,6.0,3.0,Justin Fields pass complete short middle to Van Jefferson for 7 yards (tackle by DeMarvion Overshown),3.38,3.78,5.0,2024,77
3.0,13:00,2.0,3.0,DAL 26,6.0,3.0,Justin Fields pass complete short middle to Van Jefferson for 11 yards (tackle by Amani Oruwariye),3.78,4.58,5.0,2024,77
3.0,12:41,1.0,10.0,DAL 15,6.0,3.0,Justin Fields pass complete short right to Pat Freiermuth for -1 yards (tackle by Donovan Wilson and DeMarvion Overshown),4.58,3.81,5.0,2024,77
3.0,11:56,2.0,11.0,DAL 16,6.0,9.0,"Justin Fields pass complete short left to Connor Heyward for 16 yards, touchdown",3.81,7.0,5.0,2024,77
3.0,11:50,,,DAL 15,6.0,10.0,Chris Boswell kicks extra point good,0.0,0.0,5.0,2024,77
3.0,11:50,,,PIT 35,6.0,10.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,77
3.0,11:50,1.0,10.0,DAL 30,6.0,10.0,Dak Prescott pass complete short middle to Jalen Tolbert for 10 yards (tackle by Minkah Fitzpatrick),0.94,1.6,5.0,2024,77
3.0,11:18,1.0,10.0,DAL 40,6.0,10.0,Dak Prescott pass incomplete short middle intended for Jake Ferguson (defended by Minkah Fitzpatrick),1.6,1.05,5.0,2024,77
3.0,11:15,2.0,10.0,DAL 40,6.0,10.0,Ezekiel Elliott up the middle for 5 yards (tackle by Cameron Heyward and DeShon Elliott),1.05,1.03,5.0,2024,77
3.0,10:44,3.0,5.0,DAL 45,6.0,10.0,Dak Prescott pass complete deep middle to KaVontae Turpin for 34 yards (tackle by Damontae Kazee),1.03,4.17,5.0,2024,77
3.0,9:56,1.0,10.0,PIT 21,6.0,10.0,Dak Prescott pass incomplete short middle intended for CeeDee Lamb (defended by DeShon Elliott),4.17,3.63,5.0,2024,77
3.0,9:51,2.0,10.0,PIT 21,6.0,10.0,"Dak Prescott sacked by T.J. Watt for -7 yards. Penalty on Tyler Smith: Offensive Holding, 10 yards (declined)",3.63,2.02,5.0,2024,77
3.0,9:32,3.0,17.0,PIT 28,6.0,10.0,Dak Prescott pass complete short middle to Jake Ferguson for 8 yards (tackle by Minkah Fitzpatrick),2.02,2.12,5.0,2024,77
3.0,8:53,4.0,9.0,PIT 20,6.0,10.0,Brandon Aubrey 38 yard field goal no good blocked by Isaiahh Loudermilk,2.12,-0.74,5.0,2024,77
3.0,8:44,1.0,10.0,PIT 27,6.0,10.0,Justin Fields pass complete short left to Najee Harris for 20 yards (tackle by Malik Hooker),0.74,2.06,5.0,2024,77
3.0,8:03,1.0,10.0,PIT 47,6.0,10.0,Justin Fields pass incomplete short right,2.06,1.52,5.0,2024,77
3.0,7:56,2.0,10.0,PIT 47,6.0,10.0,Justin Fields pass complete short right to Calvin Austin for 6 yards (tackle by Trevon Diggs),1.52,1.62,5.0,2024,77
3.0,7:35,3.0,4.0,DAL 47,6.0,10.0,Justin Fields pass incomplete short left intended for George Pickens,1.62,0.13,5.0,2024,77
3.0,7:32,4.0,4.0,DAL 47,6.0,10.0,"Corliss Waitman punts 47 yards, touchback.. Penalty on Nick Vigil: Offensive Holding, 10 yards (accepted)",0.13,0.38,5.0,2024,77
3.0,7:23,1.0,10.0,DAL 10,6.0,10.0,Rico Dowdle left guard for 6 yards (tackle by Patrick Queen),-0.38,-0.23,5.0,2024,77
3.0,6:45,2.0,4.0,DAL 16,6.0,10.0,Rico Dowdle left tackle for 3 yards (tackle by Minkah Fitzpatrick and Cameron Heyward),-0.23,-0.37,5.0,2024,77
3.0,6:09,3.0,1.0,DAL 19,6.0,10.0,Hunter Luepke up the middle for 2 yards (tackle by Montravius Adams and Patrick Queen),-0.37,0.34,5.0,2024,77
3.0,5:39,1.0,10.0,DAL 21,6.0,10.0,Dak Prescott pass incomplete short middle intended for CeeDee Lamb,0.34,-0.2,5.0,2024,77
3.0,5:34,2.0,10.0,DAL 21,6.0,10.0,Dak Prescott pass complete short middle to Jake Ferguson for 13 yards (tackle by Beanie Bishop),-0.2,1.2,5.0,2024,77
3.0,5:03,1.0,10.0,DAL 34,6.0,10.0,Rico Dowdle up the middle for 13 yards (tackle by DeMarvin Leal and Minkah Fitzpatrick),1.2,2.06,5.0,2024,77
3.0,4:23,1.0,10.0,DAL 47,6.0,10.0,"Penalty on CeeDee Lamb: False Start, 5 yards (accepted) (no play)",2.06,1.73,5.0,2024,77
3.0,4:04,1.0,15.0,DAL 42,6.0,10.0,"Penalty on T.J. Bass: False Start, 5 yards (accepted) (no play)",1.73,1.4,5.0,2024,77
3.0,3:55,1.0,20.0,DAL 37,6.0,10.0,Dak Prescott pass complete short middle to Luke Schoonmaker for 8 yards (tackle by Patrick Queen),1.4,1.25,5.0,2024,77
3.0,3:20,2.0,12.0,DAL 45,6.0,10.0,Dak Prescott pass complete short right to Jalen Tolbert for 7 yards (tackle by Joey Porter),1.25,1.49,5.0,2024,77
3.0,2:46,3.0,5.0,PIT 48,6.0,10.0,Dak Prescott pass complete short left to Jalen Tolbert for 7 yards (tackle by Donte Jackson),1.49,2.85,5.0,2024,77
3.0,2:11,1.0,10.0,PIT 41,6.0,10.0,Dak Prescott pass incomplete deep right intended for Brevyn Spann-Ford,2.85,2.31,5.0,2024,77
3.0,2:00,2.0,10.0,PIT 41,6.0,10.0,Rico Dowdle left tackle for 3 yards (tackle by Payton Wilson),2.31,2.02,5.0,2024,77
3.0,1:27,3.0,7.0,PIT 38,6.0,10.0,"Dak Prescott sacked by Cameron Heyward for no gain. Penalty on Beanie Bishop: Defensive Holding, 5 yards (accepted) (no play)",2.02,3.38,5.0,2024,77
3.0,1:17,1.0,10.0,PIT 33,6.0,10.0,Rico Dowdle right guard for 3 yards (tackle by Patrick Queen and Montravius Adams),3.38,3.24,5.0,2024,77
3.0,0:31,2.0,7.0,PIT 30,6.0,10.0,Rico Dowdle right tackle for 6 yards (tackle by Minkah Fitzpatrick),3.24,3.34,5.0,2024,77
4.0,15:00,3.0,1.0,PIT 24,6.0,10.0,Rico Dowdle right guard for 2 yards (tackle by Cameron Heyward),3.34,4.11,5.0,2024,77
4.0,14:31,1.0,10.0,PIT 22,6.0,10.0,Rico Dowdle left end for no gain (tackle by Payton Wilson),4.11,3.56,5.0,2024,77
4.0,13:58,2.0,10.0,PIT 22,12.0,10.0,"Dak Prescott pass complete deep right to Rico Dowdle for 22 yards, touchdown",3.56,7.0,5.0,2024,77
4.0,13:51,,,PIT 15,13.0,10.0,Brandon Aubrey kicks extra point good,0.0,0.0,5.0,2024,77
4.0,13:51,,,DAL 35,13.0,10.0,"Brandon Aubrey kicks off 63 yards, returned by Aaron Shampklin for 32 yards (tackle by DeMarvion Overshown)",0.0,1.2,5.0,2024,77
4.0,13:44,1.0,10.0,PIT 34,13.0,10.0,Najee Harris left tackle for 5 yards (tackle by Mazi Smith),1.2,1.33,5.0,2024,77
4.0,13:22,2.0,5.0,PIT 39,13.0,10.0,Justin Fields pass incomplete short right intended for George Pickens,1.33,0.63,5.0,2024,77
4.0,13:05,3.0,5.0,PIT 39,13.0,10.0,Justin Fields pass incomplete short middle intended for George Pickens (defended by Eric Kendricks),0.63,-0.78,5.0,2024,77
4.0,13:02,4.0,5.0,PIT 39,13.0,10.0,Corliss Waitman punts 47 yards out of bounds,-0.78,0.28,5.0,2024,77
4.0,12:54,1.0,10.0,DAL 14,13.0,10.0,Dak Prescott pass incomplete short middle intended for CeeDee Lamb (defended by Keeanu Benton),-0.28,-0.75,5.0,2024,77
4.0,12:50,2.0,10.0,DAL 14,13.0,10.0,Ezekiel Elliott up the middle for 4 yards (tackle by T.J. Watt),-0.75,-0.92,5.0,2024,77
4.0,12:25,3.0,6.0,DAL 18,13.0,10.0,Rico Dowdle left end for 13 yards (tackle by Jeremiah Moon),-0.92,1.0,5.0,2024,77
4.0,11:43,1.0,10.0,DAL 31,13.0,10.0,Dak Prescott pass complete short right to Brevyn Spann-Ford for 7 yards (tackle by DeShon Elliott),1.0,1.41,5.0,2024,77
4.0,11:05,2.0,3.0,DAL 38,13.0,10.0,"Ezekiel Elliott up the middle for 4 yards (tackle by Payton Wilson). Penalty on Brock Hoffman: Unnecessary Roughness / Offense, 15 yards (accepted)",1.41,0.74,5.0,2024,77
4.0,10:46,1.0,10.0,DAL 27,13.0,10.0,Dak Prescott pass deep middle intended for Jalen Tolbert is intercepted by Joey Porter at PIT-21 and returned for 16 yards (tackle by Jake Ferguson),0.74,-1.4,5.0,2024,77
4.0,10:28,1.0,10.0,PIT 37,13.0,10.0,Najee Harris right end for 3 yards (tackle by Amani Oruwariye),1.4,1.26,5.0,2024,77
4.0,9:54,2.0,7.0,PIT 40,13.0,10.0,Justin Fields right end for 5 yards (tackle by Eric Kendricks),1.26,1.22,5.0,2024,77
4.0,9:21,3.0,2.0,PIT 45,13.0,10.0,Justin Fields left tackle for 2 yards (tackle by DeMarvion Overshown),1.22,2.06,5.0,2024,77
4.0,8:53,1.0,10.0,PIT 47,13.0,10.0,Justin Fields pass complete short right to Van Jefferson for 8 yards (tackle by Amani Oruwariye and Eric Kendricks),2.06,2.6,5.0,2024,77
4.0,8:14,2.0,2.0,DAL 45,13.0,10.0,Najee Harris left end for 1 yard (tackle by Linval Joseph),2.6,2.02,5.0,2024,77
4.0,7:39,3.0,1.0,DAL 44,13.0,10.0,Justin Fields pass incomplete short middle intended for Connor Heyward (defended by Marist Liufau),2.02,0.33,5.0,2024,77
4.0,7:30,,,,,,Timeout #1 by Pittsburgh Steelers,,,5.0,2024,77
4.0,7:30,4.0,1.0,DAL 44,13.0,10.0,Najee Harris left guard for 1 yard (tackle by DeMarvion Overshown and Mazi Smith),0.33,2.72,5.0,2024,77
4.0,6:56,1.0,10.0,DAL 43,13.0,10.0,Justin Fields pass incomplete deep right intended for Van Jefferson,2.72,2.18,5.0,2024,77
4.0,6:49,2.0,10.0,DAL 43,13.0,10.0,Justin Fields pass complete short left to Brandon Johnson for 9 yards (tackle by Amani Oruwariye),2.18,2.68,5.0,2024,77
4.0,6:04,3.0,1.0,DAL 34,13.0,10.0,"Justin Fields pass complete short right to George Pickens for 21 yards (tackle by Malik Hooker). Penalty on Carl Lawson: Defensive Offside, 5 yards (declined) . Penalty on Donovan Wilson: Personal Foul / Defense, 7 yards (accepted)",2.68,5.83,5.0,2024,77
4.0,5:47,1.0,6.0,DAL 6,13.0,10.0,Najee Harris right guard for no gain (tackle by Malik Hooker),5.83,4.95,5.0,2024,77
4.0,5:00,2.0,6.0,DAL 6,13.0,16.0,"Justin Fields pass complete short middle to Pat Freiermuth for 6 yards, touchdown",4.95,7.0,5.0,2024,77
4.0,4:56,,,DAL 15,13.0,17.0,Chris Boswell kicks extra point good,0.0,0.0,5.0,2024,77
4.0,4:56,,,PIT 35,13.0,17.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,77
4.0,4:56,1.0,10.0,DAL 30,13.0,17.0,Rico Dowdle right guard for 5 yards (tackle by Payton Wilson and Joey Porter),0.94,1.07,5.0,2024,77
4.0,4:19,2.0,5.0,DAL 35,13.0,17.0,Rico Dowdle right guard for 8 yards (tackle by Payton Wilson and DeShon Elliott),1.07,1.8,5.0,2024,77
4.0,3:57,,,,,,Timeout #2 by Pittsburgh Steelers,,,5.0,2024,77
4.0,3:57,1.0,10.0,DAL 43,13.0,17.0,Rico Dowdle left guard for no gain (tackle by Elandon Roberts and Dean Lowry),1.8,1.25,5.0,2024,77
4.0,3:21,2.0,10.0,DAL 43,13.0,17.0,Dak Prescott pass complete short left to CeeDee Lamb for 9 yards (tackle by Joey Porter),1.25,1.75,5.0,2024,77
4.0,3:16,3.0,1.0,PIT 48,13.0,17.0,Ezekiel Elliott right end for 1 yard (tackle by T.J. Watt),1.75,2.46,5.0,2024,77
4.0,2:46,1.0,10.0,PIT 47,13.0,17.0,Dak Prescott pass complete short middle to Jalen Tolbert for 7 yards (tackle by Joey Porter),2.46,2.86,5.0,2024,77
4.0,2:06,2.0,3.0,PIT 40,13.0,17.0,Rico Dowdle right guard for 7 yards (tackle by Patrick Queen and Keeanu Benton),2.86,3.38,5.0,2024,77
4.0,2:00,1.0,10.0,PIT 33,13.0,17.0,Rico Dowdle right tackle for 1 yard (tackle by Cameron Heyward and DeShon Elliott),3.38,2.97,5.0,2024,77
4.0,1:31,2.0,9.0,PIT 32,13.0,17.0,Dak Prescott pass incomplete short middle intended for Ezekiel Elliott,2.97,2.28,5.0,2024,77
4.0,1:26,3.0,9.0,PIT 32,13.0,17.0,Dak Prescott pass complete short left to Jake Ferguson for 10 yards (tackle by Minkah Fitzpatrick),2.28,4.11,5.0,2024,77
4.0,1:03,1.0,10.0,PIT 22,13.0,17.0,Dak Prescott pass complete short left to Hunter Luepke for 18 yards (tackle by Patrick Queen),4.11,6.28,5.0,2024,77
4.0,0:52,,,,,,Timeout #1 by Dallas Cowboys,,,5.0,2024,77
4.0,0:52,1.0,4.0,PIT 4,13.0,17.0,"Dak Prescott scrambles left end for 3 yards (tackle by Minkah Fitzpatrick) Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",6.28,5.91,5.0,2024,77
4.0,0:37,2.0,1.0,PIT 1,13.0,17.0,"Rico Dowdle up the middle for -3 yards. Rico Dowdle fumbles (forced by Elandon Roberts), recovered by Dak Prescott at PIT-4 (tackle by Elandon Roberts)",5.91,4.49,5.0,2024,77
4.0,0:30,,,,,,Timeout #2 by Dallas Cowboys,,,5.0,2024,77
