Quarter,Time,Down,ToGo,Location,MIA,NWE,Detail,EPB,EPA,week,year,game_id
2.0,10:40,4.0,11.0,MIA 31,3.0,7.0,"blocked by Brenden Schooler. Jake Bailey fumbles (tackle by Dell Pettus, recovered by Isaiah Bolden at MIA-23",-1.31,-4.04,5.0,2024,72
2.0,10:31,1.0,10.0,MIA 23,3.0,7.0,Rhamondre Stevenson left guard for 4 yards (tackle by Da'Shawn Hand and Jordyn Brooks),4.04,4.05,5.0,2024,72
2.0,9:51,2.0,6.0,MIA 19,3.0,7.0,"Jacoby Brissett pass complete short right to Hunter Henry for 5 yards (tackle by Emmanuel Ogbah). Penalty on Rhamondre Stevenson: Offensive Holding, 10 yards (accepted) (no play)",4.05,2.69,5.0,2024,72
2.0,9:21,2.0,16.0,MIA 29,3.0,7.0,Jacoby Brissett pass complete short middle to Demario Douglas for 18 yards (tackle by Jevon Holland),2.69,4.84,5.0,2024,72
2.0,8:44,1.0,10.0,MIA 11,3.0,7.0,"Rhamondre Stevenson left tackle for 1 yard (tackle by Anthony Walker). Penalty on Nick Leverett: Offensive Holding, 10 yards (accepted)",4.84,4.24,5.0,2024,72
2.0,8:18,1.0,19.0,MIA 20,3.0,7.0,Jacoby Brissett pass complete short left to Hunter Henry for 7 yards (tackle by Marcus Maye),4.24,3.83,5.0,2024,72
2.0,7:38,2.0,12.0,MIA 13,3.0,7.0,Jacoby Brissett pass complete short right to Rhamondre Stevenson for -3 yards (tackle by Kader Kohou),3.83,2.89,5.0,2024,72
2.0,6:54,,,,,,Timeout #1 by New England Patriots,,,5.0,2024,72
2.0,6:54,3.0,15.0,MIA 16,3.0,7.0,Rhamondre Stevenson right end for 1 yard (tackle by Jevon Holland),2.89,2.44,5.0,2024,72
2.0,6:12,4.0,14.0,MIA 15,3.0,7.0,Joey Slye 33 yard field goal no good,2.44,-0.48,5.0,2024,72
2.0,6:09,1.0,10.0,MIA 23,3.0,7.0,Tyler Huntley pass complete short left to Jonnu Smith for 17 yards (tackle by Marcus Jones),0.48,1.6,5.0,2024,72
2.0,5:38,1.0,10.0,MIA 40,3.0,7.0,Jaylen Wright up the middle for 3 yards (tackle by Davon Godchaux),1.6,1.46,5.0,2024,72
2.0,5:02,2.0,7.0,MIA 43,3.0,7.0,Tyler Huntley pass complete short middle to Jaylen Waddle for 10 yards (tackle by Dell Pettus and Jaylinn Hawkins),1.46,2.46,5.0,2024,72
2.0,4:27,1.0,10.0,NWE 47,3.0,7.0,Jaylen Wright left tackle for 5 yards (tackle by Jaquelin Roy and Jahlani Tavai),2.46,2.59,5.0,2024,72
2.0,3:50,2.0,5.0,NWE 42,3.0,7.0,Tyler Huntley pass incomplete deep right intended for Jonnu Smith,2.59,1.88,5.0,2024,72
2.0,3:42,3.0,5.0,NWE 42,3.0,7.0,Tyler Huntley pass complete short middle to Raheem Mostert for 10 yards (tackle by Raekwon McMillan),1.88,3.45,5.0,2024,72
2.0,3:09,1.0,10.0,NWE 32,3.0,7.0,Raheem Mostert right guard for 5 yards (tackle by Anfernee Jennings and Dell Pettus),3.45,3.58,5.0,2024,72
2.0,2:38,2.0,5.0,NWE 27,3.0,7.0,Raheem Mostert left end for 2 yards (tackle by Marcus Jones),3.58,3.14,5.0,2024,72
2.0,2:08,3.0,3.0,NWE 25,3.0,7.0,"Penalty on MIA: Illegal Shift, 5 yards (declined)",3.14,0.13,5.0,2024,72
2.0,2:00,4.0,25.0,NWE 47,3.0,7.0,Jake Bailey punts 42 yards out of bounds,0.13,0.38,5.0,2024,72
2.0,1:50,1.0,10.0,NWE 5,3.0,7.0,Rhamondre Stevenson up the middle for 8 yards (tackle by Emmanuel Ogbah and Jevon Holland),-0.38,-0.19,5.0,2024,72
2.0,1:19,2.0,2.0,NWE 13,3.0,7.0,Jacoby Brissett pass incomplete deep right intended for Ja'Lynn Polk (defended by Kader Kohou),-0.19,-0.48,5.0,2024,72
2.0,1:09,3.0,2.0,NWE 13,3.0,7.0,Jacoby Brissett pass incomplete deep right,-0.48,-2.49,5.0,2024,72
2.0,1:02,4.0,2.0,NWE 13,3.0,7.0,"Bryce Baringer punts 43 yards, returned by Braxton Berrios for 12 yards (tackle by Christian Elliss)",-2.49,-2.65,5.0,2024,72
2.0,0:55,1.0,10.0,NWE 44,3.0,7.0,Tyler Huntley pass incomplete short right intended for Jaylen Waddle,2.65,2.11,5.0,2024,72
2.0,0:52,2.0,10.0,NWE 44,3.0,7.0,Tyler Huntley pass complete short left to Jonnu Smith for 16 yards (tackle by Jaylinn Hawkins),2.11,3.71,5.0,2024,72
2.0,0:46,1.0,10.0,NWE 28,3.0,7.0,Tyler Huntley pass incomplete short left intended for Jonnu Smith (defended by Keion White),3.71,3.17,5.0,2024,72
2.0,0:43,2.0,10.0,NWE 28,3.0,7.0,Tyler Huntley pass incomplete short left intended for Jaylen Waddle,3.17,2.48,5.0,2024,72
2.0,0:40,3.0,10.0,NWE 28,3.0,7.0,Tyler Huntley pass incomplete deep left intended for Tyreek Hill (defended by Marte Mapu),2.48,1.59,5.0,2024,72
2.0,0:32,4.0,10.0,NWE 28,3.0,7.0,"Penalty on Austin Jackson: False Start, 5 yards (accepted) (no play)",1.59,1.15,5.0,2024,72
2.0,0:32,4.0,15.0,NWE 33,3.0,7.0,"Blake Ferguson aborted snap, recovered by Jason Sanders at NE-41 and returned for -1 yards (tackle by Jaylinn Hawkins)",1.15,-1.73,5.0,2024,72
2.0,0:28,1.0,10.0,NWE 42,3.0,7.0,Jacoby Brissett pass incomplete short middle intended for Demario Douglas (defended by Anthony Walker),1.73,1.19,5.0,2024,72
2.0,0:23,2.0,10.0,NWE 42,3.0,7.0,Jacoby Brissett pass complete short left to Demario Douglas for 5 yards (tackle by Jalen Ramsey),1.19,1.16,5.0,2024,72
2.0,0:20,3.0,5.0,NWE 47,3.0,7.0,Jacoby Brissett pass incomplete short left,1.16,-0.26,5.0,2024,72
2.0,0:16,4.0,5.0,NWE 47,3.0,7.0,"Bryce Baringer punts 53 yards, touchback.",-0.26,-0.28,5.0,2024,72
2.0,0:08,1.0,10.0,MIA 20,3.0,7.0,Raheem Mostert left end for no gain (tackle by Jonathan Jones),0.28,-0.27,5.0,2024,72
2.0,0:03,2.0,10.0,MIA 20,3.0,7.0,Raheem Mostert up the middle for 2 yards (tackle by Davon Godchaux),-0.27,-0.69,5.0,2024,72
3.0,15:00,,,MIA 35,3.0,7.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,72
3.0,15:00,1.0,10.0,NWE 30,3.0,7.0,Rhamondre Stevenson left guard for 16 yards (tackle by Jevon Holland),0.94,1.99,5.0,2024,72
3.0,14:23,1.0,10.0,NWE 46,3.0,7.0,Rhamondre Stevenson left guard for 2 yards (tackle by Kendall Fuller and David Long),1.99,1.72,5.0,2024,72
3.0,13:58,2.0,8.0,NWE 48,3.0,7.0,"Jacoby Brissett pass complete short left to Demario Douglas for 7 yards (tackle by Storm Duck). Penalty on Ja'Lynn Polk: Offensive Holding, 10 yards (accepted) (no play)",1.72,0.37,5.0,2024,72
3.0,13:40,2.0,18.0,NWE 38,3.0,7.0,"Jacoby Brissett pass complete short left to Rhamondre Stevenson for 6 yards (tackle by Emmanuel Ogbah). Penalty on Jalen Ramsey: Roughing the Passer, 15 yards (accepted)",0.37,2.85,5.0,2024,72
3.0,13:17,1.0,10.0,MIA 41,3.0,7.0,Jacoby Brissett pass incomplete deep left intended for Demario Douglas (defended by Marcus Maye),2.85,2.31,5.0,2024,72
3.0,13:10,2.0,10.0,MIA 41,3.0,7.0,Antonio Gibson left tackle for 6 yards (tackle by Marcus Maye and Kader Kohou),2.31,2.41,5.0,2024,72
3.0,12:25,3.0,4.0,MIA 35,3.0,7.0,Jacoby Brissett pass complete short right to Kayshon Boutte for 13 yards (tackle by Jalen Ramsey),2.41,4.11,5.0,2024,72
3.0,11:48,1.0,10.0,MIA 22,3.0,7.0,Antonio Gibson up the middle for 2 yards (tackle by Jordyn Brooks),4.11,3.83,5.0,2024,72
3.0,11:10,2.0,8.0,MIA 20,3.0,7.0,Jacoby Brissett pass incomplete short middle intended for Demario Douglas,3.83,3.14,5.0,2024,72
3.0,11:07,3.0,8.0,MIA 20,3.0,7.0,Jacoby Brissett pass incomplete short middle intended for Austin Hooper,3.14,2.12,5.0,2024,72
3.0,11:04,4.0,8.0,MIA 20,3.0,10.0,Joey Slye 38 yard field goal good,2.12,3.0,5.0,2024,72
3.0,11:01,,,NWE 35,3.0,10.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,72
3.0,11:01,1.0,10.0,MIA 30,3.0,10.0,"Tyler Huntley pass complete short right to Raheem Mostert for 8 yards (tackle by Keion White). Penalty on Keion White: Horse Collar Tackle, 15 yards (accepted)",0.94,2.46,5.0,2024,72
3.0,10:42,1.0,10.0,NWE 47,3.0,10.0,Raheem Mostert left tackle for 5 yards (tackle by Deatrich Wise),2.46,2.59,5.0,2024,72
3.0,10:03,2.0,5.0,NWE 42,3.0,10.0,Jonnu Smith right tackle for -1 yards (tackle by Jahlani Tavai and Jaquelin Roy),2.59,1.75,5.0,2024,72
3.0,9:19,3.0,6.0,NWE 43,3.0,10.0,"Tyler Huntley pass incomplete deep right intended for Jaylen Waddle. Penalty on Keion White: Roughing the Passer, 15 yards (accepted) (no play)",1.75,3.71,5.0,2024,72
3.0,9:14,1.0,10.0,NWE 28,3.0,10.0,Jaylen Wright left end for 12 yards (tackle by Dell Pettus),3.71,4.51,5.0,2024,72
3.0,8:39,1.0,10.0,NWE 16,3.0,10.0,Jaylen Wright up the middle for 2 yards (tackle by Jaquelin Roy and Marte Mapu),4.51,4.21,5.0,2024,72
3.0,8:01,2.0,8.0,NWE 14,3.0,10.0,Tyler Huntley pass incomplete short right intended for Tyreek Hill (defended by Christian Gonzalez),4.21,3.37,5.0,2024,72
3.0,7:55,3.0,8.0,NWE 14,3.0,10.0,Tyler Huntley pass incomplete deep left intended for Tyreek Hill,3.37,2.51,5.0,2024,72
3.0,7:50,4.0,8.0,NWE 14,6.0,10.0,Jason Sanders 32 yard field goal good,2.51,3.0,5.0,2024,72
3.0,7:47,,,MIA 35,6.0,10.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,72
3.0,7:47,1.0,10.0,NWE 30,6.0,10.0,Rhamondre Stevenson left end for 2 yards (tackle by Jordyn Brooks),0.94,0.66,5.0,2024,72
3.0,7:09,2.0,8.0,NWE 32,6.0,10.0,Rhamondre Stevenson right guard for 6 yards (tackle by Jordyn Brooks and Chop Robinson),0.66,0.76,5.0,2024,72
3.0,6:30,3.0,2.0,NWE 38,6.0,10.0,Jacoby Brissett pass complete short right to Rhamondre Stevenson for -1 yards (tackle by Kader Kohou and Jordyn Brooks),0.76,-0.91,5.0,2024,72
3.0,5:53,4.0,3.0,NWE 37,6.0,10.0,"Bryce Baringer punts 49 yards, fair catch by Braxton Berrios at MIA-14",-0.91,0.28,5.0,2024,72
3.0,5:45,1.0,10.0,MIA 14,6.0,10.0,Tyler Huntley pass complete short right to Tyreek Hill for 4 yards (tackle by Christian Gonzalez),-0.28,-0.21,5.0,2024,72
3.0,5:06,2.0,6.0,MIA 18,6.0,10.0,Tyler Huntley scrambles right end for 6 yards (tackle by Christian Gonzalez),-0.21,0.54,5.0,2024,72
3.0,4:32,1.0,10.0,MIA 24,6.0,10.0,Jaylen Wright left tackle for 6 yards (tackle by Marte Mapu),0.54,0.81,5.0,2024,72
3.0,4:00,2.0,4.0,MIA 30,6.0,10.0,Jaylen Wright up the middle for 17 yards (tackle by Dell Pettus),0.81,2.06,5.0,2024,72
3.0,3:22,1.0,10.0,MIA 47,6.0,10.0,Tyler Huntley pass complete deep left to Tyreek Hill for 16 yards (tackle by Christian Gonzalez),2.06,3.12,5.0,2024,72
3.0,2:45,1.0,10.0,NWE 37,6.0,10.0,Raheem Mostert right tackle for 2 yards (tackle by Marte Mapu and Christian Elliss),3.12,2.84,5.0,2024,72
3.0,2:07,2.0,8.0,NWE 35,6.0,10.0,Tyler Huntley sacked by Jaquelin Roy for -5 yards,2.84,1.49,5.0,2024,72
3.0,1:24,3.0,13.0,NWE 40,6.0,10.0,Tyler Huntley pass complete short right to Jaylen Waddle for 11 yards (tackle by Christian Gonzalez),1.49,1.6,5.0,2024,72
3.0,0:35,4.0,2.0,NWE 29,9.0,10.0,Jason Sanders 47 yard field goal good,1.6,3.0,5.0,2024,72
3.0,0:30,,,MIA 35,9.0,10.0,"Jason Sanders kicks off 70 yards, returned by Antonio Gibson for 24 yards (tackle by Duke Riley and Nik Needham)",0.0,0.15,5.0,2024,72
3.0,0:26,1.0,10.0,NWE 19,9.0,10.0,Antonio Gibson right end for 3 yards (tackle by Chop Robinson and David Long),0.15,0.07,5.0,2024,72
4.0,15:00,2.0,7.0,NWE 22,9.0,10.0,Jacoby Brissett pass complete short left to Antonio Gibson for 4 yards (tackle by Marcus Maye and David Long),0.07,-0.16,5.0,2024,72
4.0,14:18,3.0,4.0,NWE 26,9.0,10.0,Jacoby Brissett pass complete short left to Demario Douglas for 5 yards (tackle by Marcus Maye),-0.16,1.0,5.0,2024,72
4.0,13:38,1.0,10.0,NWE 31,9.0,10.0,Antonio Gibson left end for 24 yards (tackle by Marcus Maye),1.0,2.59,5.0,2024,72
4.0,12:56,1.0,10.0,MIA 45,9.0,10.0,Rhamondre Stevenson right tackle for 2 yards (tackle by Jalen Ramsey),2.59,2.31,5.0,2024,72
4.0,12:14,2.0,8.0,MIA 43,9.0,10.0,Jacoby Brissett pass incomplete short right intended for Ja'Lynn Polk,2.31,1.62,5.0,2024,72
4.0,12:11,3.0,8.0,MIA 43,9.0,10.0,Jacoby Brissett pass incomplete short left intended for Ja'Lynn Polk (defended by Jalen Ramsey) (defended by Jevon Holland),1.62,0.4,5.0,2024,72
4.0,12:06,4.0,8.0,MIA 43,9.0,10.0,"Penalty on NWE: Delay of Game, 5 yards (declined)",0.4,0.4,5.0,2024,72
4.0,12:06,4.0,8.0,MIA 43,9.0,10.0,"Bryce Baringer punts 43 yards, touchback.",0.4,-0.28,5.0,2024,72
4.0,12:00,1.0,10.0,MIA 20,9.0,10.0,"Jaylen Wright right end for 2 yards (tackle by Daniel Ekuale). Penalty on Liam Eichenberg: Offensive Holding, 10 yards (accepted)",0.28,-0.6,5.0,2024,72
4.0,11:39,1.0,18.0,MIA 12,9.0,10.0,Tyler Huntley pass complete deep middle to Tyreek Hill for 21 yards (tackle by Dell Pettus),-0.6,1.14,5.0,2024,72
4.0,11:02,1.0,10.0,MIA 33,9.0,10.0,Tyler Huntley scrambles up the middle for 1 yard (tackle by Anfernee Jennings),1.14,0.73,5.0,2024,72
4.0,10:18,2.0,9.0,MIA 34,9.0,10.0,Jaylen Wright up the middle for 4 yards (tackle by Daniel Ekuale and Davon Godchaux),0.73,0.56,5.0,2024,72
4.0,9:30,3.0,5.0,MIA 38,9.0,10.0,Tyler Huntley pass complete short middle to Jonnu Smith for 8 yards (tackle by Christian Elliss),0.56,1.99,5.0,2024,72
4.0,8:52,1.0,10.0,MIA 46,9.0,10.0,Raheem Mostert right tackle for 3 yards (tackle by Anfernee Jennings and Marte Mapu),1.99,1.86,5.0,2024,72
4.0,8:20,2.0,7.0,MIA 49,9.0,10.0,"Jaylen Wright up the middle for 4 yards (tackle by Raekwon McMillan). Penalty on Julian Hill: Offensive Holding, 10 yards (accepted)",1.86,1.05,5.0,2024,72
4.0,7:53,2.0,13.0,MIA 43,9.0,10.0,Tyler Huntley pass incomplete short left intended for Jonnu Smith,1.05,0.37,5.0,2024,72
4.0,7:50,3.0,13.0,MIA 43,9.0,10.0,"Tyler Huntley pass incomplete short middle intended for Raheem Mostert. Penalty on Christian Elliss: Defensive Pass Interference, 5 yards (accepted) (no play)",0.37,2.13,5.0,2024,72
4.0,7:48,1.0,10.0,MIA 48,9.0,10.0,Jaylen Wright right end for 3 yards (tackle by Anfernee Jennings and Raekwon McMillan),2.13,1.99,5.0,2024,72
4.0,7:29,2.0,7.0,NWE 49,9.0,10.0,Jaylen Wright left end for 16 yards (tackle by Christian Gonzalez),1.99,3.38,5.0,2024,72
4.0,6:53,1.0,10.0,NWE 33,9.0,10.0,Raheem Mostert up the middle for 2 yards (tackle by Davon Godchaux and Raekwon McMillan),3.38,3.11,5.0,2024,72
4.0,6:20,2.0,8.0,NWE 31,9.0,10.0,Raheem Mostert up the middle for 18 yards (tackle by Dell Pettus and Jaylinn Hawkins),3.11,4.71,5.0,2024,72
4.0,5:40,1.0,10.0,NWE 13,9.0,10.0,Raheem Mostert up the middle for 2 yards (tackle by Daniel Ekuale and Marte Mapu),4.71,4.39,5.0,2024,72
4.0,5:01,2.0,8.0,NWE 11,9.0,10.0,Jaylen Wright right tackle for 8 yards (tackle by Jonathan Jones),4.39,6.51,5.0,2024,72
4.0,4:27,1.0,3.0,NWE 3,15.0,10.0,"Alec Ingold up the middle for 3 yards, touchdown",6.51,7.0,5.0,2024,72
4.0,4:24,,,NWE 2,15.0,10.0,Two Point Attempt: Tyler Huntley pass incomplete intended for intended for Julian Hill,1.0,-1.0,5.0,2024,72
4.0,4:24,,,MIA 35,15.0,10.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,72
4.0,4:24,1.0,10.0,NWE 30,15.0,10.0,Jacoby Brissett pass complete short right to Demario Douglas for -1 yards (tackle by Elijah Campbell),0.94,0.26,5.0,2024,72
4.0,3:46,2.0,11.0,NWE 29,15.0,10.0,Jacoby Brissett pass complete short middle to Ja'Lynn Polk for 13 yards (tackle by Kader Kohou),0.26,1.73,5.0,2024,72
4.0,3:16,1.0,10.0,NWE 42,15.0,10.0,"Jacoby Brissett pass incomplete short middle intended for Ja'Lynn Polk. Penalty on Kader Kohou: Defensive Holding, 4 yards (accepted) (no play)",1.73,1.99,5.0,2024,72
4.0,3:12,1.0,10.0,NWE 46,15.0,10.0,Rhamondre Stevenson up the middle for 11 yards (tackle by Kader Kohou and Marcus Maye),1.99,2.72,5.0,2024,72
4.0,2:41,1.0,10.0,MIA 43,15.0,10.0,Antonio Gibson up the middle for 10 yards (tackle by Marcus Maye),2.72,3.38,5.0,2024,72
4.0,2:14,1.0,10.0,MIA 33,15.0,10.0,"Antonio Gibson right end for no gain (tackle by Jordyn Brooks). Penalty on Vederian Lowe: Offensive Holding, 11 yards (accepted) (no play)",3.38,2.65,5.0,2024,72
4.0,2:10,1.0,21.0,MIA 44,15.0,10.0,"Jacoby Brissett pass incomplete short right intended for Hunter Henry (defended by Jalen Ramsey). Penalty on Hunter Henry: Illegal Formation, 5 yards (declined)",2.65,1.35,5.0,2024,72
4.0,2:04,2.0,21.0,MIA 44,15.0,10.0,Jacoby Brissett pass complete short middle to Demario Douglas for 13 yards (tackle by Anthony Walker),1.35,2.41,5.0,2024,72
4.0,1:58,3.0,8.0,MIA 31,15.0,10.0,Jacoby Brissett pass complete short middle to Demario Douglas for 19 yards (tackle by Jalen Ramsey),2.41,4.78,5.0,2024,72
4.0,1:13,1.0,10.0,MIA 12,15.0,10.0,Jacoby Brissett pass incomplete short middle intended for Austin Hooper,4.78,4.1,5.0,2024,72
