Quarter,Time,Down,ToGo,Location,TAM,CAR,Detail,EPB,EPA,week,year,game_id
2.0,14:34,1.0,10.0,CAR 38,0.0,0.0,Miles Sanders left end for 13 yards (tackle by Joe Tryon-Shoyinka and Jamel Dean),1.47,2.32,18.0,2023,260
2.0,13:51,1.0,10.0,TAM 49,0.0,0.0,Bryce Young pass complete short middle to Tommy Tremble for 4 yards (tackle by Lavonte David),2.32,2.32,18.0,2023,260
2.0,13:14,2.0,6.0,TAM 45,0.0,0.0,Miles Sanders left tackle for 2 yards (tackle by Logan Hall),2.32,1.88,18.0,2023,260
2.0,12:32,3.0,4.0,TAM 43,0.0,0.0,"Bryce Young pass complete deep left to DJ Chark for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Bryce Young pass complete deep left to DJ Chark for 42 yards. DJ Chark fumbles (forced by Antoine Winfield), recovered by Jamel Dean in end zone (tackle by Antoine Winfield)",1.88,-0.28,18.0,2023,260
2.0,12:18,1.0,10.0,TAM 20,0.0,0.0,Baker Mayfield pass complete short left to Trey Palmer for 6 yards (tackle by Frankie Luvu),0.28,0.54,18.0,2023,260
2.0,11:42,2.0,4.0,TAM 26,0.0,0.0,Rachaad White up the middle for 1 yard (tackle by DeShawn Williams),0.54,-0.03,18.0,2023,260
2.0,11:03,3.0,3.0,TAM 27,0.0,0.0,Baker Mayfield pass incomplete deep right intended for Mike Evans,-0.03,-1.57,18.0,2023,260
2.0,10:58,4.0,3.0,TAM 27,0.0,0.0,"Jake Camarda punts 60 yards, returned by Ihmir Smith-Marsette for 8 yards (tackle by David Moore and Josh Hayes)",-1.57,-0.34,18.0,2023,260
2.0,10:48,1.0,10.0,CAR 21,0.0,0.0,Bryce Young pass incomplete short left intended for Adam Thielen,0.34,-0.2,18.0,2023,260
2.0,10:43,2.0,10.0,CAR 21,0.0,0.0,Chuba Hubbard left tackle for 1 yard (tackle by Lavonte David),-0.2,-0.76,18.0,2023,260
2.0,10:04,3.0,9.0,CAR 22,0.0,0.0,Bryce Young pass complete short right to Tommy Tremble for 7 yards (tackle by Shaquil Barrett and Carlton Davis),-0.76,-1.44,18.0,2023,260
2.0,9:22,4.0,2.0,CAR 29,0.0,0.0,"Johnny Hekker punts 42 yards, fair catch by Deven Thompkins at TB-29",-1.44,-0.87,18.0,2023,260
2.0,9:13,1.0,10.0,TAM 29,0.0,0.0,Rachaad White left tackle for 4 yards (tackle by Shy Tuttle),0.87,0.87,18.0,2023,260
2.0,8:30,2.0,6.0,TAM 33,0.0,0.0,Rachaad White left tackle for 13 yards (tackle by Xavier Woods),0.87,1.99,18.0,2023,260
2.0,7:46,1.0,10.0,TAM 46,0.0,0.0,Rachaad White right tackle for 9 yards (tackle by LaBryan Ray and Kamu Grugier-Hill),1.99,2.67,18.0,2023,260
2.0,7:07,2.0,1.0,CAR 45,0.0,0.0,Baker Mayfield pass complete short right to Cade Otton for 20 yards (tackle by Jaycee Horn),2.67,3.91,18.0,2023,260
2.0,6:27,1.0,10.0,CAR 25,0.0,0.0,Baker Mayfield pass complete short right to Chase Edmonds for -3 yards (tackle by Xavier Woods),3.91,2.96,18.0,2023,260
2.0,5:42,2.0,13.0,CAR 28,0.0,0.0,Rachaad White right guard for 4 yards (tackle by Derrick Brown),2.96,2.81,18.0,2023,260
2.0,5:02,3.0,9.0,CAR 24,0.0,0.0,Baker Mayfield pass complete short left to Chris Godwin for 6 yards (tackle by Jaycee Horn),2.81,2.35,18.0,2023,260
2.0,4:17,4.0,3.0,CAR 18,3.0,0.0,Chase McLaughlin 36 yard field goal good,2.35,3.0,18.0,2023,260
2.0,4:13,,,TAM 35,3.0,0.0,"Chase McLaughlin kicks off 60 yards, returned by Raheem Blackshear for 18 yards (tackle by Zyon McCollum and Josh Hayes)",0.0,0.48,18.0,2023,260
2.0,4:07,1.0,10.0,CAR 23,3.0,0.0,Chuba Hubbard right tackle for 2 yards (tackle by Logan Hall),0.48,0.2,18.0,2023,260
2.0,3:24,2.0,8.0,CAR 25,3.0,0.0,Bryce Young pass incomplete short left intended for Ihmir Smith-Marsette,0.2,-0.49,18.0,2023,260
2.0,3:18,3.0,8.0,CAR 25,3.0,0.0,Bryce Young pass complete short left to Ian Thomas for 5 yards (tackle by Zyon McCollum),-0.49,-1.37,18.0,2023,260
2.0,2:21,4.0,3.0,CAR 30,3.0,0.0,"Johnny Hekker punts 44 yards, fair catch by Deven Thompkins at TB-26",-1.37,-0.67,18.0,2023,260
2.0,2:13,1.0,10.0,TAM 26,3.0,0.0,Baker Mayfield pass incomplete short middle intended for Mike Evans (defended by Jaycee Horn) (defended by Derrick Brown),0.67,0.13,18.0,2023,260
2.0,2:09,2.0,10.0,TAM 26,3.0,0.0,Baker Mayfield pass incomplete short left intended for Mike Evans,0.13,-0.56,18.0,2023,260
2.0,2:05,3.0,10.0,TAM 26,3.0,0.0,Baker Mayfield pass incomplete short middle intended for Trey Palmer (defended by Deion Jones),-0.56,-1.63,18.0,2023,260
2.0,2:01,4.0,10.0,TAM 26,3.0,0.0,"Jake Camarda punts 74 yards, touchback.",-1.63,-0.28,18.0,2023,260
2.0,1:52,1.0,10.0,CAR 20,3.0,0.0,Bryce Young pass complete short left to Chuba Hubbard for 1 yard (tackle by YaYa Diaby),0.28,-0.13,18.0,2023,260
2.0,1:31,2.0,9.0,CAR 21,3.0,0.0,Bryce Young pass incomplete short right intended for Stephen Sullivan,-0.13,-0.82,18.0,2023,260
2.0,1:25,3.0,9.0,CAR 21,3.0,0.0,Bryce Young pass incomplete short right intended for DJ Chark,-0.82,-1.96,18.0,2023,260
2.0,1:21,4.0,9.0,CAR 21,3.0,0.0,Johnny Hekker punts 35 yards downed by Jeremy Chinn,-1.96,-1.86,18.0,2023,260
2.0,1:11,1.0,10.0,TAM 44,3.0,0.0,Baker Mayfield pass complete short middle to Chris Godwin for 7 yards (tackle by Frankie Luvu and Deion Jones),1.86,2.26,18.0,2023,260
2.0,0:49,2.0,3.0,CAR 49,3.0,0.0,Baker Mayfield pass complete short right to Rachaad White for 2 yards (tackle by Deion Jones),2.26,1.82,18.0,2023,260
2.0,0:40,3.0,1.0,CAR 47,3.0,0.0,Baker Mayfield scrambles up the middle for 2 yards (tackle by Derrick Brown and DeShawn Williams),1.82,2.59,18.0,2023,260
2.0,0:30,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,18.0,2023,260
2.0,0:30,1.0,10.0,CAR 45,3.0,0.0,Baker Mayfield pass complete short right to David Moore for 8 yards (tackle by Deion Jones),2.59,3.12,18.0,2023,260
2.0,0:25,2.0,2.0,CAR 37,3.0,0.0,Baker Mayfield pass complete short left to Rachaad White for 4 yards (tackle by Deion Jones),3.12,3.38,18.0,2023,260
2.0,0:19,,,,,,Timeout #2 by Tampa Bay Buccaneers,,,18.0,2023,260
2.0,0:19,1.0,10.0,CAR 33,3.0,0.0,Chase Edmonds right end for -6 yards (tackle by Troy Hill),3.38,2.03,18.0,2023,260
2.0,0:16,,,,,,Timeout #3 by Tampa Bay Buccaneers,,,18.0,2023,260
2.0,0:16,,,,,,Timeout #2 by Carolina Panthers,,,18.0,2023,260
2.0,0:16,2.0,16.0,CAR 39,3.0,0.0,Baker Mayfield pass incomplete short right intended for Chris Godwin (defended by Jaycee Horn),2.03,1.35,18.0,2023,260
2.0,0:12,,,,,,Timeout #3 by Carolina Panthers,,,18.0,2023,260
2.0,0:12,3.0,16.0,CAR 39,3.0,0.0,Baker Mayfield pass incomplete short right,1.35,0.66,18.0,2023,260
2.0,0:04,4.0,16.0,CAR 39,6.0,0.0,Chase McLaughlin 57 yard field goal good,0.66,3.0,18.0,2023,260
3.0,15:00,,,TAM 35,6.0,0.0,"Jake Camarda kicks off 61 yards, returned by Raheem Blackshear for 21 yards (tackle by Cam Gill). Penalty on Sam Franklin: Offensive Holding, 10 yards (accepted)",0.0,-0.22,18.0,2023,260
3.0,14:55,1.0,10.0,CAR 15,6.0,0.0,Chuba Hubbard left guard for -1 yards (tackle by Ryan Neal),-0.22,-0.82,18.0,2023,260
3.0,14:21,2.0,11.0,CAR 14,6.0,0.0,Chuba Hubbard right tackle for 3 yards (tackle by Lavonte David),-0.82,-1.12,18.0,2023,260
3.0,13:39,3.0,8.0,CAR 17,6.0,0.0,"Penalty on Shaquil Barrett: Neutral Zone Infraction, 5 yards (accepted) (no play)",-1.12,-0.51,18.0,2023,260
3.0,13:19,3.0,3.0,CAR 22,6.0,0.0,Chuba Hubbard up the middle for 6 yards (tackle by Devin White),-0.51,0.81,18.0,2023,260
3.0,12:39,1.0,10.0,CAR 28,6.0,0.0,Chuba Hubbard left guard for 1 yard (tackle by Lavonte David and YaYa Diaby),0.81,0.4,18.0,2023,260
3.0,11:58,2.0,9.0,CAR 29,6.0,0.0,Chuba Hubbard up the middle for 17 yards (tackle by Antoine Winfield),0.4,1.99,18.0,2023,260
3.0,11:15,1.0,10.0,CAR 46,6.0,0.0,Miles Sanders right tackle for 3 yards (tackle by Ryan Neal),1.99,1.86,18.0,2023,260
3.0,10:34,2.0,7.0,CAR 49,6.0,0.0,"Penalty on Tommy Tremble: False Start, 5 yards (accepted) (no play)",1.86,1.18,18.0,2023,260
3.0,10:18,2.0,12.0,CAR 44,6.0,0.0,Bryce Young pass incomplete deep right intended for Ian Thomas,1.18,0.5,18.0,2023,260
3.0,10:09,3.0,12.0,CAR 44,6.0,0.0,Chuba Hubbard right tackle for 5 yards (tackle by YaYa Diaby),0.5,-0.13,18.0,2023,260
3.0,9:29,4.0,7.0,CAR 49,6.0,0.0,Johnny Hekker punts 43 yards downed by D'Shawn Jamison,-0.13,0.38,18.0,2023,260
3.0,9:20,1.0,10.0,TAM 8,6.0,0.0,Rachaad White up the middle for 3 yards (tackle by Yetur Gross-Matos),-0.38,-0.56,18.0,2023,260
3.0,8:43,2.0,7.0,TAM 11,6.0,0.0,Baker Mayfield pass complete short right to Chris Godwin for 10 yards (tackle by Jaycee Horn),-0.56,0.34,18.0,2023,260
3.0,8:04,1.0,10.0,TAM 21,6.0,0.0,Rachaad White up the middle for 2 yards (tackle by Derrick Brown and DeShawn Williams),0.34,0.07,18.0,2023,260
3.0,7:30,2.0,8.0,TAM 23,6.0,0.0,Baker Mayfield sacked by Derrick Brown for -9 yards,0.07,-2.13,18.0,2023,260
3.0,6:48,3.0,17.0,TAM 14,6.0,0.0,Baker Mayfield pass complete short left to Chris Godwin for 10 yards (tackle by Troy Hill and Frankie Luvu),-2.13,-1.77,18.0,2023,260
3.0,6:10,4.0,7.0,TAM 24,6.0,0.0,"Jake Camarda punts 59 yards, returned by Ihmir Smith-Marsette for 29 yards (tackle by SirVocea Dennis)",-1.77,-1.99,18.0,2023,260
3.0,5:55,1.0,10.0,CAR 46,6.0,0.0,Chuba Hubbard up the middle for 1 yard (tackle by Greg Gaines and Anthony Nelson),1.99,1.59,18.0,2023,260
3.0,5:16,2.0,9.0,CAR 47,6.0,0.0,Bryce Young pass complete short middle to Adam Thielen for 4 yards (tackle by Anthony Nelson),1.59,1.42,18.0,2023,260
3.0,4:30,3.0,5.0,TAM 49,6.0,0.0,Bryce Young pass complete short right to Ihmir Smith-Marsette for 6 yards (tackle by Zyon McCollum),1.42,2.72,18.0,2023,260
3.0,3:51,1.0,10.0,TAM 43,6.0,0.0,Bryce Young scrambles up the middle for 4 yards (tackle by Logan Hall),2.72,2.72,18.0,2023,260
3.0,3:11,2.0,6.0,TAM 39,6.0,0.0,Bryce Young pass incomplete deep right intended for DJ Chark,2.72,2.01,18.0,2023,260
3.0,3:04,3.0,6.0,TAM 39,6.0,0.0,Chuba Hubbard up the middle for 1 yard (tackle by Shaquil Barrett and YaYa Diaby),2.01,0.72,18.0,2023,260
3.0,2:24,4.0,5.0,TAM 38,6.0,0.0,Bryce Young pass complete short middle to Adam Thielen for 8 yards (tackle by Christian Izien),0.72,3.58,18.0,2023,260
3.0,1:59,1.0,10.0,TAM 30,6.0,0.0,Chuba Hubbard left end for 2 yards (tackle by Joe Tryon-Shoyinka and Greg Gaines),3.58,3.3,18.0,2023,260
3.0,1:32,2.0,8.0,TAM 28,6.0,0.0,Chuba Hubbard left guard for 3 yards (tackle by Christian Izien),3.3,3.01,18.0,2023,260
3.0,0:49,3.0,5.0,TAM 25,6.0,0.0,Bryce Young sacked by Antoine Winfield for -9 yards,3.01,1.06,18.0,2023,260
3.0,0:04,4.0,14.0,TAM 34,6.0,0.0,Matthew Wright 52 yard field goal no good,1.06,-1.73,18.0,2023,260
4.0,15:00,1.0,10.0,TAM 42,6.0,0.0,Rachaad White left tackle for 1 yard (tackle by Yetur Gross-Matos and Nick Thurman),1.73,1.32,18.0,2023,260
4.0,14:23,2.0,9.0,TAM 43,6.0,0.0,Baker Mayfield pass complete short right to Chris Godwin for 4 yards,1.32,1.16,18.0,2023,260
4.0,13:48,3.0,5.0,TAM 47,6.0,0.0,Baker Mayfield scrambles right end for 7 yards (tackle by Frankie Luvu),1.16,2.52,18.0,2023,260
4.0,13:19,1.0,10.0,CAR 46,6.0,0.0,Chase Edmonds left guard for 4 yards (tackle by Shy Tuttle),2.52,2.52,18.0,2023,260
4.0,12:37,2.0,6.0,CAR 42,6.0,0.0,Chase Edmonds up the middle for 21 yards (tackle by Donte Jackson),2.52,4.17,18.0,2023,260
4.0,11:53,1.0,10.0,CAR 21,6.0,0.0,Baker Mayfield pass complete short right to Mike Evans for 6 yards (tackle by Jaycee Horn and Kamu Grugier-Hill),4.17,4.55,18.0,2023,260
4.0,11:12,2.0,4.0,CAR 15,6.0,0.0,Baker Mayfield pass incomplete short right intended for Trey Palmer,4.55,3.81,18.0,2023,260
4.0,11:01,3.0,4.0,CAR 15,6.0,0.0,Baker Mayfield sacked by Brian Burns for -6 yards,3.81,2.06,18.0,2023,260
4.0,10:22,4.0,10.0,CAR 21,9.0,0.0,Chase McLaughlin 39 yard field goal good,2.06,3.0,18.0,2023,260
4.0,10:18,,,TAM 35,9.0,0.0,"Chase McLaughlin kicks off 65 yards, touchback.",0.0,0.61,18.0,2023,260
4.0,10:18,1.0,10.0,CAR 25,9.0,0.0,Chuba Hubbard up the middle for 12 yards (tackle by Devin White),0.61,1.4,18.0,2023,260
4.0,9:49,1.0,10.0,CAR 37,9.0,0.0,Chuba Hubbard up the middle for 4 yards (tackle by Lavonte David and Kaevon Merriweather),1.4,1.4,18.0,2023,260
4.0,9:19,2.0,6.0,CAR 41,9.0,0.0,Bryce Young pass complete short left to Terrace Marshall for 5 yards (tackle by Jamel Dean),1.4,1.36,18.0,2023,260
4.0,8:53,3.0,1.0,CAR 46,9.0,0.0,Chuba Hubbard up the middle for no gain (tackle by Lavonte David and Antoine Winfield),1.36,-0.32,18.0,2023,260
4.0,8:21,4.0,1.0,CAR 46,9.0,0.0,Chuba Hubbard right tackle for 2 yards (tackle by Carlton Davis and Lavonte David),-0.32,2.13,18.0,2023,260
4.0,7:50,1.0,10.0,CAR 48,9.0,0.0,Bryce Young pass complete short right to DJ Chark for 4 yards (tackle by Carlton Davis),2.13,2.12,18.0,2023,260
4.0,7:18,2.0,6.0,TAM 48,9.0,0.0,Bryce Young scrambles left end for 20 yards (tackle by Antoine Winfield),2.12,3.71,18.0,2023,260
4.0,6:35,1.0,10.0,TAM 28,9.0,0.0,"Raheem Blackshear left end for no gain, touchdown (no play)",3.71,3.38,18.0,2023,260
4.0,6:25,1.0,15.0,TAM 33,9.0,0.0,"Bryce Young sacked by Joe Tryon-Shoyinka for -9 yards. Bryce Young fumbles (forced by Joe Tryon-Shoyinka), recovered by Greg Gaines at TB-43 (tackle by Joe Tryon-Shoyinka) Replay Assistant challenged the fumble ruling, and the play was upheld.",3.38,-1.8,18.0,2023,260
4.0,6:19,1.0,10.0,TAM 43,9.0,0.0,Rachaad White right tackle for 3 yards (tackle by Derrick Brown),1.8,1.66,18.0,2023,260
4.0,5:44,2.0,7.0,TAM 46,9.0,0.0,Rachaad White left guard for 6 yards (tackle by Kamu Grugier-Hill and Yetur Gross-Matos),1.66,1.75,18.0,2023,260
4.0,5:35,,,,,,Timeout #1 by Carolina Panthers,,,18.0,2023,260
4.0,5:35,3.0,1.0,CAR 48,9.0,0.0,Rachaad White left tackle for 7 yards (tackle by Vonn Bell),1.75,2.85,18.0,2023,260
4.0,5:31,,,,,,Timeout #2 by Carolina Panthers,,,18.0,2023,260
4.0,5:31,1.0,10.0,CAR 41,9.0,0.0,Rachaad White left end for 1 yard (tackle by Brian Burns),2.85,2.44,18.0,2023,260
4.0,5:26,,,,,,Timeout #3 by Carolina Panthers,,,18.0,2023,260
4.0,5:26,2.0,9.0,CAR 40,9.0,0.0,Rachaad White right tackle for 4 yards (tackle by Frankie Luvu and C.J. Henderson),2.44,2.28,18.0,2023,260
4.0,4:42,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,18.0,2023,260
4.0,4:42,3.0,5.0,CAR 36,9.0,0.0,Baker Mayfield pass complete short right to Chris Godwin for 14 yards (tackle by Donte Jackson),2.28,4.11,18.0,2023,260
4.0,4:00,1.0,10.0,CAR 22,9.0,0.0,Rachaad White up the middle for 6 yards (tackle by LaBryan Ray),4.11,4.46,18.0,2023,260
4.0,3:18,2.0,4.0,CAR 16,9.0,0.0,Rachaad White left guard for 2 yards (tackle by LaBryan Ray),4.46,4.15,18.0,2023,260
4.0,2:35,3.0,2.0,CAR 14,9.0,0.0,Rachaad White right tackle for 3 yards (tackle by C.J. Henderson and Shy Tuttle),4.15,4.84,18.0,2023,260
4.0,2:00,1.0,10.0,CAR 11,9.0,0.0,Baker Mayfield kneels for no gain,4.84,4.14,18.0,2023,260
4.0,1:20,2.0,10.0,CAR 11,9.0,0.0,Baker Mayfield kneels for -1 yards,4.14,3.11,18.0,2023,260
4.0,0:40,3.0,11.0,CAR 12,9.0,0.0,Baker Mayfield kneels for -1 yards,3.11,2.57,18.0,2023,260
