Quarter,Time,Down,ToGo,Location,CLE,CIN,Detail,EPB,EPA,week,year,game_id
1.0,3:00,,,,,,Timeout #1 by Cincinnati Bengals,,,18.0,2023,261
1.0,3:00,1.0,10.0,CLE 23,0.0,7.0,Jake Browning pass complete short left to Andrei Iosivas for 5 yards (tackle by Cameron Mitchell),4.04,4.21,18.0,2023,261
1.0,2:18,2.0,5.0,CLE 18,0.0,7.0,Joe Mixon left tackle for -3 yards (tackle by Sam Kamara),4.21,3.07,18.0,2023,261
1.0,1:34,3.0,8.0,CLE 21,0.0,7.0,Jake Browning pass complete short left to Andrei Iosivas for 15 yards (tackle by Vincent Gray),3.07,5.83,18.0,2023,261
1.0,0:53,1.0,6.0,CLE 6,0.0,13.0,"Jake Browning pass complete short left to Joe Mixon for 6 yards, touchdown",5.83,7.0,18.0,2023,261
1.0,0:48,,,CLE 15,0.0,14.0,Evan McPherson kicks extra point good,0.0,0.0,18.0,2023,261
1.0,0:48,,,CIN 35,0.0,14.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,18.0,2023,261
1.0,0:48,1.0,10.0,CLE 25,0.0,14.0,Jeff Driskel sacked by Sam Hubbard for -7 yards,0.61,-0.98,18.0,2023,261
1.0,0:03,,,,,,Timeout #1 by Cleveland Browns,,,18.0,2023,261
1.0,0:03,2.0,17.0,CLE 18,0.0,14.0,Pierre Strong left end for 7 yards (tackle by Daxton Hill),-0.98,-0.62,18.0,2023,261
2.0,15:00,3.0,10.0,CLE 25,0.0,14.0,Jeff Driskel pass incomplete deep right intended for Cedric Tillman,-0.62,-1.7,18.0,2023,261
2.0,14:55,4.0,10.0,CLE 25,0.0,14.0,"Corey Bojorquez punts 53 yards, returned by Charlie Jones for 3 yards (tackle by Vincent Gray)",-1.7,-0.61,18.0,2023,261
2.0,14:44,1.0,10.0,CIN 25,0.0,14.0,Jake Browning pass complete short right to Ja'Marr Chase for 4 yards (tackle by Jordan Kunaszyk),0.61,0.6,18.0,2023,261
2.0,13:59,2.0,6.0,CIN 29,0.0,14.0,Jake Browning pass complete short left to Charlie Jones for 7 yards (tackle by Kahlef Hailassie),0.6,1.33,18.0,2023,261
2.0,13:23,1.0,10.0,CIN 36,0.0,14.0,Chase Brown right end for 16 yards (tackle by Tony Fields),1.33,2.39,18.0,2023,261
2.0,12:40,1.0,10.0,CLE 48,0.0,14.0,"Penalty on CLE: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",2.39,3.12,18.0,2023,261
2.0,12:26,1.0,5.0,CLE 43,0.0,14.0,Jake Browning pass complete short right to Drew Sample for 5 yards (tackle by Matthew Adams),3.12,3.05,18.0,2023,261
2.0,11:43,1.0,10.0,CLE 38,0.0,14.0,Jake Browning scrambles left end for 11 yards (tackle by D'Anthony Bell),3.05,3.78,18.0,2023,261
2.0,11:00,1.0,10.0,CLE 27,0.0,14.0,"Penalty on Siaki Ika: Neutral Zone Infraction, 5 yards (accepted) (no play)",3.78,4.51,18.0,2023,261
2.0,10:47,1.0,5.0,CLE 22,0.0,14.0,Joe Mixon up the middle for 12 yards (tackle by Duron Harmon),4.51,4.91,18.0,2023,261
2.0,10:04,1.0,10.0,CLE 10,0.0,14.0,Jake Browning scrambles right end for 7 yards (tackle by Ronnie Hickman),4.91,5.53,18.0,2023,261
2.0,9:23,2.0,3.0,CLE 3,0.0,20.0,"Jake Browning pass complete short middle to Andrei Iosivas for 3 yards, touchdown",5.53,7.0,18.0,2023,261
2.0,9:19,,,CLE 15,0.0,21.0,Evan McPherson kicks extra point good,0.0,0.0,18.0,2023,261
2.0,9:19,,,CIN 35,0.0,21.0,"Evan McPherson kicks off 63 yards,",0.0,0.61,18.0,2023,261
2.0,9:19,1.0,10.0,CLE 25,0.0,21.0,Jeff Driskel pass complete deep right to Cedric Tillman for 18 yards (tackle by Cam Taylor-Britt),0.61,1.8,18.0,2023,261
2.0,8:34,1.0,10.0,CLE 43,0.0,21.0,Jerome Ford left end for no gain (tackle by Trey Hendrickson and Jay Tufele),1.8,1.25,18.0,2023,261
2.0,7:51,2.0,10.0,CLE 43,0.0,21.0,Jerome Ford left guard for 2 yards (tackle by Cameron Sample),1.25,0.83,18.0,2023,261
2.0,7:04,3.0,8.0,CLE 45,0.0,21.0,Jeff Driskel pass incomplete deep right intended for James Proche (defended by Mike Hilton),0.83,-0.39,18.0,2023,261
2.0,6:58,4.0,8.0,CLE 45,0.0,21.0,Corey Bojorquez punts 51 yards downed by James Proche,-0.39,0.38,18.0,2023,261
2.0,6:48,1.0,10.0,CIN 4,0.0,21.0,Jake Browning pass incomplete short left intended for Ja'Marr Chase (defended by Kahlef Hailassie),-0.38,-0.78,18.0,2023,261
2.0,6:44,2.0,10.0,CIN 4,0.0,21.0,Joe Mixon up the middle for 4 yards (tackle by Alex Wright and Mohamoud Diabate),-0.78,-0.95,18.0,2023,261
2.0,6:02,3.0,6.0,CIN 8,0.0,21.0,"Jake Browning pass incomplete deep right intended for Tyler Boyd. Penalty on Alex Wright: Defensive Offside, 5 yards (accepted) (no play)",-0.95,-0.37,18.0,2023,261
2.0,5:58,,,,,,Timeout #2 by Cincinnati Bengals,,,18.0,2023,261
2.0,5:58,3.0,1.0,CIN 13,0.0,21.0,"Penalty on Sam Kamara: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.37,0.04,18.0,2023,261
2.0,5:58,1.0,10.0,CIN 18,0.0,21.0,Joe Mixon left tackle for -6 yards (tackle by Alex Wright and Tony Fields),0.04,-1.22,18.0,2023,261
2.0,5:17,2.0,16.0,CIN 12,0.0,21.0,Jake Browning pass complete short right to Tyler Boyd for 4 yards (tackle by Matthew Adams),-1.22,-1.5,18.0,2023,261
2.0,4:37,3.0,12.0,CIN 16,0.0,21.0,Jake Browning pass complete short left to Tanner Hudson for 8 yards (tackle by Tony Fields),-1.5,-1.77,18.0,2023,261
2.0,4:00,4.0,4.0,CIN 24,0.0,21.0,Brad Robbins punts 33 yards out of bounds,-1.77,-1.8,18.0,2023,261
2.0,3:53,1.0,10.0,CLE 43,0.0,21.0,Jerome Ford left end for 4 yards (tackle by Josh Tupou),1.8,1.79,18.0,2023,261
2.0,3:28,2.0,6.0,CLE 47,0.0,21.0,Jeff Driskel pass short left (defended by Joseph Ossai) intended for James Proche is intercepted by Logan Wilson at CIN-40 and returned for 26 yards (tackle by Luke Wypler),1.79,-3.31,18.0,2023,261
2.0,3:14,1.0,10.0,CLE 34,0.0,21.0,Jake Browning pass incomplete short right intended for Andrei Iosivas (defended by Vincent Gray),3.31,2.77,18.0,2023,261
2.0,3:07,2.0,10.0,CLE 34,0.0,21.0,Chase Brown right end for 2 yards (tackle by Alex Wright and Tony Fields),2.77,2.35,18.0,2023,261
2.0,2:34,3.0,8.0,CLE 32,0.0,21.0,Jake Browning pass complete short right to Ja'Marr Chase for 5 yards (tackle by Vincent Gray),2.35,1.77,18.0,2023,261
2.0,2:00,4.0,3.0,CLE 27,0.0,24.0,Evan McPherson 45 yard field goal good,1.77,3.0,18.0,2023,261
2.0,1:55,,,CIN 35,0.0,24.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,18.0,2023,261
2.0,1:55,1.0,10.0,CLE 25,0.0,24.0,Pierre Strong right guard for 1 yard (tackle by Daxton Hill),0.61,0.2,18.0,2023,261
2.0,1:14,2.0,9.0,CLE 26,0.0,24.0,Pierre Strong left end for 7 yards (tackle by Jordan Battle and Logan Wilson),0.2,0.43,18.0,2023,261
2.0,1:09,,,,,,Timeout #3 by Cincinnati Bengals,,,18.0,2023,261
2.0,1:09,3.0,2.0,CLE 33,0.0,24.0,Jeff Driskel scrambles right end for 3 yards (tackle by B.J. Hill),0.43,1.33,18.0,2023,261
2.0,0:36,1.0,10.0,CLE 36,0.0,24.0,Pierre Strong left tackle for 9 yards (tackle by Mike Hilton and Daxton Hill),1.33,2.01,18.0,2023,261
2.0,0:28,,,,,,Timeout #2 by Cleveland Browns,,,18.0,2023,261
2.0,0:28,2.0,1.0,CLE 45,0.0,24.0,Jeff Driskel scrambles right end for 13 yards (tackle by Zachary Carter and Myles Murphy),2.01,2.79,18.0,2023,261
2.0,0:18,,,,,,Timeout #3 by Cleveland Browns,,,18.0,2023,261
2.0,0:18,1.0,10.0,CIN 42,0.0,24.0,Jeff Driskel pass incomplete short middle intended for Jordan Akins,2.79,2.24,18.0,2023,261
2.0,0:13,2.0,10.0,CIN 42,0.0,24.0,Jeff Driskel pass complete short left to Jordan Akins for 14 yards (tackle by Germaine Pratt and Logan Wilson),2.24,1.86,18.0,2023,261
3.0,15:00,,,CLE 35,0.0,24.0,"Riley Patterson kicks off 69 yards, returned by Chase Brown for 27 yards (tackle by D'Anthony Bell)",0.0,0.48,18.0,2023,261
3.0,14:56,1.0,10.0,CIN 23,0.0,24.0,Jake Browning pass complete short right to Ja'Marr Chase for -1 yards (tackle by Jordan Kunaszyk and Vincent Gray),0.48,-0.2,18.0,2023,261
3.0,14:19,2.0,11.0,CIN 22,0.0,24.0,Jake Browning pass incomplete short right intended for Joe Mixon (defended by Jordan Elliott),-0.2,-0.89,18.0,2023,261
3.0,14:15,3.0,11.0,CIN 22,0.0,24.0,Jake Browning sacked by Isaiah McGuire for -12 yards,-0.89,-2.49,18.0,2023,261
3.0,13:32,4.0,23.0,CIN 10,0.0,24.0,"Brad Robbins punts 50 yards, returned by James Proche for 6 yards (tackle by Mitchell Wilcox)",-2.49,-1.99,18.0,2023,261
3.0,13:20,1.0,10.0,CLE 46,0.0,24.0,Pierre Strong left guard for -1 yards (tackle by Jordan Battle and B.J. Hill),1.99,1.32,18.0,2023,261
3.0,12:37,2.0,11.0,CLE 45,0.0,24.0,Jeff Driskel pass complete short right to Cedric Tillman for 7 yards (tackle by Cameron Sample and Cam Taylor-Britt),1.32,1.55,18.0,2023,261
3.0,11:56,3.0,4.0,CIN 48,0.0,24.0,Jeff Driskel pass incomplete short right intended for Cedric Tillman,1.55,0.07,18.0,2023,261
3.0,11:52,4.0,4.0,CIN 48,0.0,24.0,Corey Bojorquez punts 47 yards downed by James Proche,0.07,0.38,18.0,2023,261
3.0,11:44,1.0,10.0,CIN 1,0.0,24.0,"Penalty on Siaki Ika: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.38,-0.19,18.0,2023,261
3.0,11:44,1.0,5.0,CIN 6,0.0,24.0,Joe Mixon left guard for -1 yards (tackle by D'Anthony Bell and Sam Kamara),-0.19,-0.49,18.0,2023,261
3.0,11:02,2.0,6.0,CIN 5,0.0,24.0,Charlie Jones right end for 7 yards (tackle by Jordan Kunaszyk),-0.49,-0.35,18.0,2023,261
3.0,10:25,1.0,10.0,CIN 12,0.0,24.0,Joe Mixon right tackle for 15 yards (tackle by Isaiah McGuire and Duron Harmon),-0.35,0.74,18.0,2023,261
3.0,9:49,1.0,10.0,CIN 27,0.0,24.0,Chase Brown left tackle for 27 yards (tackle by D'Anthony Bell),0.74,2.52,18.0,2023,261
3.0,9:07,1.0,10.0,CLE 46,0.0,24.0,Chase Brown right end for -3 yards (tackle by Duron Harmon and Jordan Kunaszyk),2.52,1.57,18.0,2023,261
3.0,8:29,2.0,13.0,CLE 49,0.0,24.0,Jake Browning pass complete short left to Trenton Irwin for 9 yards (tackle by Duron Harmon and Tony Fields),1.57,2.08,18.0,2023,261
3.0,7:47,3.0,4.0,CLE 40,0.0,24.0,Jake Browning pass incomplete short right intended for Andrei Iosivas (defended by Vincent Gray),2.08,0.59,18.0,2023,261
3.0,7:41,4.0,4.0,CLE 40,0.0,24.0,"Penalty on Jordan Elliott: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.59,3.25,18.0,2023,261
3.0,7:41,1.0,10.0,CLE 35,0.0,24.0,Joe Mixon left tackle for 5 yards (tackle by Sam Kamara),3.25,3.38,18.0,2023,261
3.0,7:04,2.0,5.0,CLE 30,0.0,24.0,Jake Browning pass complete short right to Andrei Iosivas for 6 yards (tackle by Matthew Adams),3.38,3.97,18.0,2023,261
3.0,6:23,1.0,10.0,CLE 24,0.0,24.0,Jake Browning pass complete short left to Drew Sample for 2 yards (tackle by Tony Fields and Jordan Kunaszyk),3.97,3.7,18.0,2023,261
3.0,5:45,2.0,8.0,CLE 22,0.0,24.0,"Jake Browning sacked by Alex Wright for -10 yards. Jake Browning fumbles (forced by Alex Wright), recovered by Jake Browning at CLE-32 (tackle by Alex Wright)",3.7,1.69,18.0,2023,261
3.0,5:02,3.0,18.0,CLE 32,0.0,24.0,Jake Browning pass complete deep middle to Trenton Irwin for 25 yards (tackle by Duron Harmon and Tony Fields),1.69,5.6,18.0,2023,261
3.0,4:22,1.0,7.0,CLE 7,0.0,24.0,Joe Mixon left end for no gain (tackle by Alex Wright),5.6,4.76,18.0,2023,261
3.0,3:37,2.0,7.0,CLE 7,0.0,30.0,"Jake Browning pass complete short middle to Andrei Iosivas for 7 yards, touchdown",4.76,7.0,18.0,2023,261
3.0,3:32,,,CLE 15,0.0,31.0,Evan McPherson kicks extra point good,0.0,0.0,18.0,2023,261
3.0,3:32,,,CIN 35,0.0,31.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,18.0,2023,261
3.0,3:32,1.0,10.0,CLE 25,0.0,31.0,Jeff Driskel pass incomplete short right,0.61,0.06,18.0,2023,261
3.0,3:25,2.0,10.0,CLE 25,0.0,31.0,Jeff Driskel pass complete short right to David Bell for 11 yards (tackle by Logan Wilson),0.06,1.33,18.0,2023,261
3.0,2:41,1.0,10.0,CLE 36,0.0,31.0,Jeff Driskel pass incomplete deep right intended for Pierre Strong (defended by Germaine Pratt),1.33,0.79,18.0,2023,261
3.0,2:36,2.0,10.0,CLE 36,0.0,31.0,"Penalty on CLE: Delay of Game, 5 yards (accepted) (no play)",0.79,0.12,18.0,2023,261
3.0,2:36,2.0,15.0,CLE 31,0.0,31.0,Pierre Strong left guard for 11 yards (tackle by Logan Wilson),0.12,0.89,18.0,2023,261
3.0,1:51,3.0,4.0,CLE 42,0.0,31.0,Jeff Driskel pass incomplete short left intended for James Proche (defended by Cameron Sample),0.89,-0.59,18.0,2023,261
3.0,1:47,4.0,4.0,CLE 42,0.0,31.0,"Corey Bojorquez punts 50 yards, returned by Charlie Jones for 9 yards (tackle by Jordan Kunaszyk)",-0.59,0.06,18.0,2023,261
3.0,1:38,1.0,10.0,CIN 17,0.0,31.0,Joe Mixon right guard for 2 yards (tackle by Sam Kamara),-0.06,-0.25,18.0,2023,261
3.0,1:02,2.0,8.0,CIN 19,0.0,31.0,A.J. McCarron pass incomplete short left intended for Chase Brown,-0.25,-1.0,18.0,2023,261
3.0,0:59,3.0,8.0,CIN 19,0.0,31.0,A.J. McCarron pass complete short right to Tanner Hudson for 3 yards (tackle by Cameron Mitchell),-1.0,-1.9,18.0,2023,261
3.0,0:24,4.0,5.0,CIN 22,0.0,31.0,"Brad Robbins punts 40 yards, fair catch by James Proche at CLE-38",-1.9,-1.47,18.0,2023,261
3.0,0:18,1.0,10.0,CLE 38,0.0,31.0,Jeff Driskel pass incomplete short left intended for Jordan Akins,1.47,0.92,18.0,2023,261
3.0,0:14,2.0,10.0,CLE 38,0.0,31.0,Pierre Strong left end for 20 yards (tackle by DJ Turner),0.92,2.79,18.0,2023,261
4.0,15:00,1.0,10.0,CIN 42,0.0,31.0,Pierre Strong right tackle for 1 yard (tackle by Akeem Davis-Gaither and Joseph Ossai),2.79,2.38,18.0,2023,261
4.0,14:24,2.0,9.0,CIN 41,0.0,31.0,Jeff Driskel sacked by Jordan Battle for -10 yards,2.38,0.37,18.0,2023,261
4.0,13:40,3.0,19.0,CLE 49,0.0,31.0,Jeff Driskel pass complete short right to Kareem Hunt for 5 yards (tackle by Akeem Davis-Gaither and Sidney Jones),0.37,0.2,18.0,2023,261
4.0,12:58,4.0,14.0,CIN 46,0.0,31.0,"Corey Bojorquez punts 35 yards, fair catch by Charlie Jones at CIN-11",0.2,0.37,18.0,2023,261
4.0,12:52,1.0,10.0,CIN 11,0.0,31.0,Chase Brown up the middle for -2 yards (tackle by Jordan Kunaszyk and Sam Kamara),-0.37,-0.93,18.0,2023,261
4.0,12:18,2.0,12.0,CIN 9,0.0,31.0,A.J. McCarron pass complete short middle to Charlie Jones for 7 yards (tackle by Jordan Kunaszyk),-0.93,-0.84,18.0,2023,261
4.0,11:39,3.0,5.0,CIN 16,0.0,31.0,A.J. McCarron sacked by Duron Harmon for -9 yards,-0.84,-2.49,18.0,2023,261
4.0,11:00,4.0,14.0,CIN 7,0.0,31.0,"Brad Robbins punts 48 yards, fair catch by James Proche at CLE-45",-2.49,-1.93,18.0,2023,261
4.0,10:53,1.0,10.0,CLE 45,0.0,31.0,Jeff Driskel pass complete short left to Cedric Tillman for 18 yards (tackle by DJ Turner),1.93,3.12,18.0,2023,261
4.0,10:24,1.0,10.0,CIN 37,0.0,31.0,Pierre Strong left tackle for 5 yards (tackle by Daxton Hill),3.12,3.25,18.0,2023,261
4.0,9:39,2.0,5.0,CIN 32,0.0,31.0,Pierre Strong right guard for 1 yard (tackle by Jalen Davis and Jay Tufele),3.25,2.68,18.0,2023,261
4.0,8:55,3.0,4.0,CIN 31,0.0,31.0,Jeff Driskel pass incomplete short right intended for Jerome Ford (defended by Jordan Battle),2.68,1.37,18.0,2023,261
4.0,8:51,4.0,4.0,CIN 31,6.0,31.0,"Jeff Driskel pass complete deep left to David Bell for 31 yards, touchdown",1.37,7.0,18.0,2023,261
4.0,8:45,,,CIN 15,7.0,31.0,Riley Patterson kicks extra point good,0.0,0.0,18.0,2023,261
4.0,8:45,,,CLE 35,7.0,31.0,"Riley Patterson kicks off 63 yards, returned by Chase Brown for 17 yards (tackle by James Proche)",0.0,0.15,18.0,2023,261
4.0,8:41,1.0,10.0,CIN 19,7.0,31.0,Trayveon Williams left tackle for -2 yards (tackle by Alex Wright and Sam Kamara),0.15,-0.72,18.0,2023,261
4.0,7:57,2.0,12.0,CIN 17,7.0,31.0,Chase Brown up the middle for 1 yard (tackle by Isaiah McGuire),-0.72,-1.25,18.0,2023,261
4.0,7:19,3.0,11.0,CIN 18,7.0,31.0,A.J. McCarron pass complete short left to Chase Brown for 10 yards (tackle by Duron Harmon),-1.25,-1.5,18.0,2023,261
4.0,6:39,4.0,1.0,CIN 28,7.0,31.0,"Brad Robbins punts 47 yards, fair catch by James Proche at CLE-25",-1.5,-0.61,18.0,2023,261
4.0,6:32,1.0,10.0,CLE 25,7.0,31.0,Jeff Driskel pass complete short left to Jerome Ford for 7 yards (tackle by Joseph Ossai and Jordan Battle),0.61,1.01,18.0,2023,261
4.0,5:46,2.0,3.0,CLE 32,7.0,31.0,Jeff Driskel left end for -3 yards (tackle by Joseph Ossai),1.01,-0.1,18.0,2023,261
4.0,5:03,3.0,6.0,CLE 29,7.0,31.0,Jeff Driskel pass complete short middle to Jordan Akins for 7 yards (tackle by Jalen Davis),-0.1,1.33,18.0,2023,261
4.0,4:23,1.0,10.0,CLE 36,7.0,31.0,Jeff Driskel scrambles right end for 10 yards (tackle by Akeem Davis-Gaither),1.33,1.99,18.0,2023,261
4.0,4:10,1.0,10.0,CLE 46,7.0,31.0,Jeff Driskel left end for 9 yards (tackle by DJ Turner),1.99,2.67,18.0,2023,261
4.0,4:08,2.0,1.0,CIN 45,7.0,31.0,Jeff Driskel up the middle for 2 yards (tackle by Zachary Carter),2.67,2.72,18.0,2023,261
4.0,3:27,1.0,10.0,CIN 43,7.0,31.0,Jeff Driskel pass incomplete short left intended for Jordan Akins,2.72,2.18,18.0,2023,261
4.0,3:24,2.0,10.0,CIN 43,7.0,31.0,Jeff Driskel pass complete short left to Jerome Ford for 19 yards (tackle by Markus Bailey),2.18,3.97,18.0,2023,261
4.0,2:39,1.0,10.0,CIN 24,13.0,31.0,"Jeff Driskel pass complete deep right to David Bell for 24 yards, touchdown",3.97,7.0,18.0,2023,261
4.0,2:34,,,CIN 15,14.0,31.0,Riley Patterson kicks extra point good,0.0,0.0,18.0,2023,261
4.0,2:34,,,CLE 35,14.0,31.0,"Riley Patterson kicks off 65 yards, touchback.",0.0,0.61,18.0,2023,261
4.0,2:34,1.0,10.0,CIN 25,14.0,31.0,Chase Brown left end for -1 yards (tackle by Isaiah McGuire),0.61,-0.07,18.0,2023,261
4.0,2:00,2.0,11.0,CIN 24,14.0,31.0,Chase Brown right guard for 1 yard (tackle by Sam Kamara),-0.07,-0.62,18.0,2023,261
4.0,1:16,,,,,,Timeout #1 by Cincinnati Bengals,,,18.0,2023,261
4.0,1:16,3.0,10.0,CIN 25,14.0,31.0,Chase Brown right tackle for 1 yard (tackle by Isaiah McGuire),-0.62,-1.63,18.0,2023,261
4.0,0:36,4.0,9.0,CIN 26,14.0,31.0,"Brad Robbins punts 56 yards, fair catch by James Proche at CLE-18",-1.63,-0.04,18.0,2023,261
4.0,0:29,1.0,10.0,CLE 18,14.0,31.0,Jeff Driskel kneels for -1 yards,0.04,-0.65,18.0,2023,261
