Quarter,Time,Down,ToGo,Location,SFO,ARI,Detail,EPB,EPA,week,year,game_id
1.0,7:21,2.0,6.0,ARI 38,0.0,7.0,Christian McCaffrey left end for 26 yards (tackle by Jalen Thompson),2.78,4.78,15.0,2023,220
1.0,6:38,,,,,,Timeout #1 by San Francisco 49ers,,,15.0,2023,220
1.0,6:38,1.0,10.0,ARI 12,6.0,7.0,"Brock Purdy pass complete short left to Deebo Samuel for 12 yards, touchdown",4.78,7.0,15.0,2023,220
1.0,6:33,,,ARI 15,7.0,7.0,Jake Moody kicks extra point good,0.0,0.0,15.0,2023,220
1.0,6:33,,,SFO 35,7.0,7.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,220
1.0,6:33,1.0,10.0,ARI 25,7.0,7.0,Kyler Murray pass incomplete short right,0.61,0.06,15.0,2023,220
1.0,6:27,2.0,10.0,ARI 25,7.0,7.0,"Kyler Murray pass complete deep left to Geoff Swaim for 26 yards (tackle by Ji'Ayir Brown). Penalty on Dre Greenlaw: Defensive Pass Interference, 15 yards (declined)",0.06,2.32,15.0,2023,220
1.0,6:03,1.0,10.0,SFO 49,7.0,7.0,James Conner up the middle for 4 yards (tackle by Kevin Givens and Tashaun Gipson),2.32,2.32,15.0,2023,220
1.0,5:24,2.0,6.0,SFO 45,7.0,7.0,Rondale Moore right end for 3 yards (tackle by Dre Greenlaw),2.32,2.02,15.0,2023,220
1.0,4:41,3.0,3.0,SFO 42,7.0,7.0,Kyler Murray pass incomplete short left intended for Emari Demercado,2.02,0.46,15.0,2023,220
1.0,4:33,4.0,3.0,SFO 42,13.0,7.0,"Kyler Murray pass short middle intended for Trey McBride is intercepted by Charvarius Ward at SF-34 and returned for 66 yards, touchdown",0.46,-7.0,15.0,2023,220
1.0,4:22,,,ARI 15,14.0,7.0,Jake Moody kicks extra point good,0.0,0.0,15.0,2023,220
1.0,4:22,,,SFO 35,14.0,7.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,220
1.0,4:22,1.0,10.0,ARI 25,14.0,7.0,Michael Carter up the middle for 2 yards (tackle by Ji'Ayir Brown),0.61,0.33,15.0,2023,220
1.0,3:47,2.0,8.0,ARI 27,14.0,7.0,Michael Carter up the middle for 6 yards (tackle by Tashaun Gipson),0.33,0.43,15.0,2023,220
1.0,3:05,3.0,2.0,ARI 33,14.0,7.0,Emari Demercado up the middle for 8 yards (tackle by Deommodore Lenoir),0.43,1.66,15.0,2023,220
1.0,2:28,1.0,10.0,ARI 41,14.0,7.0,Michael Carter left end for 19 yards (tackle by Dre Greenlaw),1.66,2.92,15.0,2023,220
1.0,1:40,1.0,10.0,SFO 40,14.0,7.0,"Penalty on ARI: Delay of Game, 5 yards (accepted) (no play)",2.92,2.59,15.0,2023,220
1.0,1:34,1.0,15.0,SFO 45,14.0,7.0,Kyler Murray sacked by Javon Kinlaw for -7 yards,2.59,0.75,15.0,2023,220
1.0,0:45,2.0,22.0,ARI 48,14.0,7.0,James Conner up the middle for no gain (tackle by Fred Warner),0.75,0.1,15.0,2023,220
2.0,15:00,3.0,22.0,ARI 48,14.0,7.0,Kyler Murray pass complete short middle to Trey McBride for 12 yards (tackle by Fred Warner),0.1,0.59,15.0,2023,220
2.0,14:16,4.0,10.0,SFO 40,14.0,10.0,Matt Prater 58 yard field goal good,0.59,3.0,15.0,2023,220
2.0,14:11,,,ARI 35,14.0,10.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,220
2.0,14:11,1.0,10.0,SFO 25,14.0,10.0,Brock Purdy pass incomplete deep middle intended for Deebo Samuel (defended by Antonio Hamilton),0.61,0.06,15.0,2023,220
2.0,14:05,2.0,10.0,SFO 25,14.0,10.0,Christian McCaffrey left end for -2 yards (tackle by Garrett Williams),0.06,-0.89,15.0,2023,220
2.0,13:21,3.0,12.0,SFO 23,14.0,10.0,Brock Purdy pass complete short middle to Christian McCaffrey for 6 yards (tackle by Budda Baker),-0.89,-1.44,15.0,2023,220
2.0,12:40,4.0,6.0,SFO 29,14.0,10.0,"Mitch Wishnowsky punts 40 yards, returned by Greg Dortch for no gain (tackle by Isaiah Oliver)",-1.44,-1.0,15.0,2023,220
2.0,12:29,1.0,10.0,ARI 31,14.0,10.0,Kyler Murray right end for 15 yards (tackle by Ji'Ayir Brown),1.0,1.99,15.0,2023,220
2.0,11:48,1.0,10.0,ARI 46,14.0,10.0,Greg Dortch up the middle for 5 yards (tackle by Dre Greenlaw and Ambry Thomas),1.99,2.13,15.0,2023,220
2.0,11:25,2.0,5.0,SFO 49,14.0,10.0,"Kyler Murray pass complete short right to Rondale Moore for 4 yards. Rondale Moore fumbles, recovered by Rondale Moore at SF-45",2.13,1.95,15.0,2023,220
2.0,10:49,3.0,1.0,SFO 45,14.0,10.0,James Conner up the middle for no gain (tackle by Fred Warner),1.95,0.27,15.0,2023,220
2.0,10:12,4.0,1.0,SFO 45,14.0,10.0,James Conner up the middle for 2 yards (tackle by Randy Gregory),0.27,2.72,15.0,2023,220
2.0,9:38,1.0,10.0,SFO 43,14.0,10.0,James Conner up the middle for 9 yards (tackle by Charvarius Ward),2.72,3.39,15.0,2023,220
2.0,8:56,2.0,1.0,SFO 34,14.0,10.0,James Conner up the middle for 3 yards (tackle by Deommodore Lenoir),3.39,3.51,15.0,2023,220
2.0,8:16,1.0,10.0,SFO 31,14.0,10.0,Kyler Murray pass complete short left to Rondale Moore for 1 yard (tackle by Fred Warner),3.51,3.1,15.0,2023,220
2.0,7:33,2.0,9.0,SFO 30,14.0,10.0,"Kyler Murray sacked by Nick Bosa for -1 yards. Kyler Murray fumbles (forced by Nick Bosa), recovered by Paris Johnson at SF-31 (tackle by Nick Bosa)",3.1,2.28,15.0,2023,220
2.0,6:57,3.0,10.0,SFO 31,14.0,10.0,Kyler Murray pass complete short middle to Emari Demercado for 6 yards (tackle by Dre Greenlaw),2.28,1.88,15.0,2023,220
2.0,6:20,4.0,4.0,SFO 25,14.0,13.0,Matt Prater 43 yard field goal good,1.88,3.0,15.0,2023,220
2.0,6:14,,,ARI 35,14.0,13.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,220
2.0,6:14,1.0,10.0,SFO 25,14.0,13.0,Christian McCaffrey up the middle for 5 yards (tackle by Dante Stills),0.61,0.74,15.0,2023,220
2.0,5:37,2.0,5.0,SFO 30,14.0,13.0,Christian McCaffrey left end for no gain (tackle by Antonio Hamilton),0.74,0.04,15.0,2023,220
2.0,4:55,3.0,5.0,SFO 30,14.0,13.0,Brock Purdy pass complete short right to Brandon Aiyuk for 8 yards,0.04,1.47,15.0,2023,220
2.0,4:15,1.0,10.0,SFO 38,14.0,13.0,"Brock Purdy pass complete short right to Kyle Juszczyk for 9 yards (tackle by Jalen Thompson). Penalty on Dennis Gardeck: Roughing the Passer, 15 yards (accepted)",1.47,3.05,15.0,2023,220
2.0,3:50,1.0,10.0,ARI 38,14.0,13.0,Sam Darnold pass incomplete deep right intended for George Kittle (defended by Victor Dimukeje),3.05,2.51,15.0,2023,220
2.0,3:40,2.0,10.0,ARI 38,14.0,13.0,"Sam Darnold pass incomplete short right intended for George Kittle. Penalty on Antonio Hamilton: Illegal Contact, 5 yards (accepted) (no play)",2.51,3.38,15.0,2023,220
2.0,3:37,1.0,10.0,ARI 33,14.0,13.0,Christian McCaffrey left tackle for 2 yards (tackle by Roy Lopez and Josh Woods),3.38,3.11,15.0,2023,220
2.0,2:52,2.0,8.0,ARI 31,14.0,13.0,Brock Purdy pass complete short left to Deebo Samuel for 6 yards (tackle by Josh Woods and Jonathan Ledbetter),3.11,3.2,15.0,2023,220
2.0,2:17,3.0,2.0,ARI 25,14.0,13.0,Brock Purdy pass complete short left to George Kittle for 19 yards (tackle by Jalen Thompson),3.2,5.83,15.0,2023,220
2.0,2:00,1.0,6.0,ARI 6,14.0,13.0,Christian McCaffrey up the middle for 1 yard (tackle by Zaven Collins and Josh Woods),5.83,5.15,15.0,2023,220
2.0,1:18,2.0,5.0,ARI 5,20.0,13.0,"Brock Purdy pass complete short middle to Christian McCaffrey for 5 yards, touchdown",5.15,7.0,15.0,2023,220
2.0,1:14,,,ARI 15,21.0,13.0,Jake Moody kicks extra point good,0.0,0.0,15.0,2023,220
2.0,1:14,,,SFO 35,21.0,13.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,220
2.0,1:14,1.0,10.0,ARI 25,21.0,13.0,Kyler Murray pass incomplete short middle intended for Zach Pascal (defended by Deommodore Lenoir),0.61,0.06,15.0,2023,220
2.0,1:11,2.0,10.0,ARI 25,21.0,13.0,Kyler Murray pass incomplete short right intended for Emari Demercado,0.06,-0.62,15.0,2023,220
2.0,1:08,3.0,10.0,ARI 25,21.0,13.0,Emari Demercado up the middle for 5 yards (tackle by Fred Warner),-0.62,-1.37,15.0,2023,220
2.0,1:03,,,,,,Timeout #2 by San Francisco 49ers,,,15.0,2023,220
2.0,1:03,4.0,5.0,ARI 30,21.0,13.0,"Blake Gillikin punts, returned by Ronnie Bell for 4 yards. Ronnie Bell fumbles, recovered by Joey Blount at SF-12, touchdown Replay Assistant challenged the fumble ruling, and the original play was overturned. Blake Gillikin punts 62 yards, returned by Ronnie Bell for 4 yards (tackle by Greg Dortch)",-1.37,0.35,15.0,2023,220
2.0,0:53,1.0,10.0,SFO 12,21.0,13.0,Brock Purdy pass complete short left to Christian McCaffrey for 7 yards (tackle by Zaven Collins and Antonio Hamilton),-0.35,0.1,15.0,2023,220
2.0,0:35,2.0,3.0,SFO 19,21.0,13.0,Brock Purdy pass complete short left to Christian McCaffrey for 13 yards (tackle by Josh Woods),0.1,1.07,15.0,2023,220
2.0,0:26,,,,,,Timeout #3 by San Francisco 49ers,,,15.0,2023,220
2.0,0:26,1.0,10.0,SFO 32,21.0,13.0,Brock Purdy pass incomplete short middle intended for Deebo Samuel,1.07,0.53,15.0,2023,220
2.0,0:21,2.0,10.0,SFO 32,21.0,13.0,Brock Purdy pass complete short middle to Jauan Jennings for 22 yards (tackle by Garrett Williams and Budda Baker),0.53,2.52,15.0,2023,220
2.0,0:07,1.0,10.0,ARI 46,21.0,13.0,Brock Purdy spiked the ball,2.52,1.98,15.0,2023,220
2.0,0:05,,,,,,Timeout #2 by Arizona Cardinals,,,15.0,2023,220
2.0,0:05,2.0,10.0,ARI 46,21.0,13.0,Brock Purdy pass incomplete deep right (defended by Antonio Hamilton),1.98,1.29,15.0,2023,220
3.0,15:00,,,ARI 35,21.0,13.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,220
3.0,15:00,1.0,10.0,SFO 25,21.0,13.0,Christian McCaffrey up the middle for -1 yards (tackle by Kevin Strong and Dennis Gardeck),0.61,-0.07,15.0,2023,220
3.0,14:21,2.0,11.0,SFO 24,21.0,13.0,Brock Purdy pass incomplete short left intended for Deebo Samuel,-0.07,-0.76,15.0,2023,220
3.0,14:14,3.0,11.0,SFO 24,21.0,13.0,Brock Purdy pass complete short middle to George Kittle for 35 yards (tackle by Budda Baker),-0.76,2.85,15.0,2023,220
3.0,13:28,1.0,10.0,ARI 41,27.0,13.0,"Brock Purdy pass complete deep left to Christian McCaffrey for 41 yards, touchdown",2.85,7.0,15.0,2023,220
3.0,13:18,,,ARI 15,28.0,13.0,Jake Moody kicks extra point good,0.0,0.0,15.0,2023,220
3.0,13:18,,,SFO 35,28.0,13.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,220
3.0,13:18,1.0,10.0,ARI 25,28.0,13.0,Kyler Murray pass complete short left to Trey McBride for no gain. Trey McBride fumbles (forced by Fred Warner),0.61,0.06,15.0,2023,220
3.0,12:58,2.0,10.0,ARI 25,28.0,13.0,"Clayton Tune aborted snap, recovered by Greg Dortch at ARI-20 and returned for -3 yards Greg Dortch left end for no gain (tackle by Deommodore Lenoir)",0.06,-1.93,15.0,2023,220
3.0,12:26,3.0,18.0,ARI 17,28.0,13.0,Emari Demercado left tackle for 2 yards (tackle by Chase Young),-1.93,-2.14,15.0,2023,220
3.0,11:47,4.0,16.0,ARI 19,28.0,13.0,"Blake Gillikin punts 50 yards, fair catch by Ronnie Bell at SF-31",-2.14,-1.0,15.0,2023,220
3.0,11:39,1.0,10.0,SFO 31,28.0,13.0,Christian McCaffrey right end for 3 yards (tackle by Starling Thomas),1.0,0.87,15.0,2023,220
3.0,11:01,2.0,7.0,SFO 34,28.0,13.0,Brock Purdy pass incomplete deep left intended for Brandon Aiyuk,0.87,0.17,15.0,2023,220
3.0,10:54,3.0,7.0,SFO 34,28.0,13.0,Brock Purdy pass incomplete short left intended for Ronnie Bell,0.17,-1.11,15.0,2023,220
3.0,10:49,4.0,7.0,SFO 34,28.0,13.0,Mitch Wishnowsky punts 56 yards downed by Dee Winters,-1.11,0.38,15.0,2023,220
3.0,10:38,1.0,10.0,ARI 10,28.0,13.0,James Conner left tackle for 6 yards (tackle by Kevin Givens),-0.38,-0.23,15.0,2023,220
3.0,10:01,2.0,4.0,ARI 16,28.0,13.0,James Conner up the middle for 6 yards (tackle by Fred Warner and T.Y. McGill),-0.23,0.41,15.0,2023,220
3.0,9:23,1.0,10.0,ARI 22,28.0,13.0,Kyler Murray pass complete short right to Trey McBride for 2 yards (tackle by Deommodore Lenoir),0.41,0.14,15.0,2023,220
3.0,8:45,2.0,8.0,ARI 24,28.0,13.0,Kyler Murray pass complete short right to Trey McBride for 15 yards,0.14,1.53,15.0,2023,220
3.0,8:01,1.0,10.0,ARI 39,28.0,13.0,James Conner right tackle for 44 yards (tackle by Deommodore Lenoir),1.53,4.44,15.0,2023,220
3.0,7:12,1.0,10.0,SFO 17,28.0,13.0,Kyler Murray sacked by and Fred Warner for -1 yards and Chase Young for -1 yards,4.44,3.72,15.0,2023,220
3.0,6:32,2.0,11.0,SFO 18,28.0,13.0,Kyler Murray pass complete short left to Elijah Higgins for 4 yards (tackle by Deommodore Lenoir and Dre Greenlaw),3.72,3.5,15.0,2023,220
3.0,5:52,3.0,7.0,SFO 14,28.0,13.0,Kyler Murray pass complete short left to Trey McBride for 9 yards (tackle by Ambry Thomas),3.5,6.06,15.0,2023,220
3.0,5:17,1.0,5.0,SFO 5,28.0,13.0,Kyler Murray pass incomplete short left intended for Rondale Moore,6.06,5.15,15.0,2023,220
3.0,5:10,2.0,5.0,SFO 5,28.0,13.0,"Kyler Murray for -4 yards. Kyler Murray fumbles (forced by T.Y. McGill), recovered by Elijah Wilkinson at SF-9 (tackle by T.Y. McGill)",5.15,3.36,15.0,2023,220
3.0,4:30,3.0,9.0,SFO 9,28.0,13.0,Kyler Murray pass incomplete short middle intended for Michael Wilson,3.36,2.83,15.0,2023,220
3.0,4:23,4.0,9.0,SFO 9,28.0,16.0,Matt Prater 28 yard field goal good,2.83,3.0,15.0,2023,220
3.0,4:20,,,ARI 35,28.0,16.0,"Matt Prater kicks off 43 yards, returned by Kyle Juszczyk for 18 yards (tackle by Zeke Turner and Victor Dimukeje)",0.0,1.6,15.0,2023,220
3.0,4:15,1.0,10.0,SFO 40,28.0,16.0,Brock Purdy pass incomplete short left intended for George Kittle (defended by Starling Thomas),1.6,1.05,15.0,2023,220
3.0,4:10,2.0,10.0,SFO 40,28.0,16.0,Brock Purdy pass complete short left to Brandon Aiyuk for 22 yards (tackle by Garrett Williams),1.05,3.05,15.0,2023,220
3.0,3:26,1.0,10.0,ARI 38,28.0,16.0,Christian McCaffrey up the middle for 5 yards (tackle by Roy Lopez and Jonathan Ledbetter),3.05,3.18,15.0,2023,220
3.0,2:53,2.0,5.0,ARI 33,28.0,16.0,Christian McCaffrey up the middle for 18 yards (tackle by Garrett Williams),3.18,4.58,15.0,2023,220
3.0,2:15,1.0,10.0,ARI 15,28.0,16.0,Christian McCaffrey right tackle for 11 yards (tackle by Jalen Thompson),4.58,6.28,15.0,2023,220
3.0,1:42,1.0,4.0,ARI 4,28.0,16.0,"Christian McCaffrey left end for no gain (tackle by Dante Stills). Penalty on Naquan Jones: Defensive Holding, 3 yards (accepted) (no play)",6.28,6.97,15.0,2023,220
3.0,1:12,1.0,1.0,ARI 1,34.0,16.0,"Christian McCaffrey up the middle for 1 yard, touchdown",6.97,7.0,15.0,2023,220
3.0,1:08,,,ARI 15,35.0,16.0,Jake Moody kicks extra point good,0.0,0.0,15.0,2023,220
3.0,1:08,,,SFO 35,35.0,16.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,220
3.0,1:08,1.0,10.0,ARI 25,35.0,16.0,James Conner left end for 3 yards (tackle by Javon Kinlaw and Ji'Ayir Brown),0.61,0.47,15.0,2023,220
3.0,0:27,2.0,7.0,ARI 28,35.0,16.0,Kyler Murray pass complete short left to Trey McBride for 5 yards (tackle by Ambry Thomas),0.47,0.43,15.0,2023,220
4.0,15:00,3.0,2.0,ARI 33,35.0,16.0,Kyler Murray pass complete short left to James Conner for 6 yards (tackle by Dre Greenlaw),0.43,1.53,15.0,2023,220
4.0,14:24,1.0,10.0,ARI 39,35.0,16.0,Kyler Murray pass complete short middle to James Conner for 4 yards (tackle by Deommodore Lenoir),1.53,1.53,15.0,2023,220
4.0,13:49,2.0,6.0,ARI 43,35.0,16.0,Kyler Murray pass complete short right to James Conner for -7 yards (tackle by Kevin Givens),1.53,-0.1,15.0,2023,220
4.0,13:07,3.0,13.0,ARI 36,35.0,16.0,Kyler Murray pass complete short left to Greg Dortch for 10 yards (tackle by Kevin Givens),-0.1,-0.32,15.0,2023,220
4.0,12:21,4.0,3.0,ARI 46,35.0,16.0,Kyler Murray pass complete short right to Greg Dortch for 5 yards (tackle by Dre Greenlaw),-0.32,2.32,15.0,2023,220
4.0,11:43,1.0,10.0,SFO 49,35.0,22.0,"Emari Demercado up the middle for 49 yards, touchdown",2.32,7.0,15.0,2023,220
4.0,11:30,,,SFO 2,35.0,22.0,Two Point Attempt: Kyler Murray pass incomplete. Interception by Tashaun Gipson,1.0,-1.0,15.0,2023,220
4.0,11:30,,,ARI 35,35.0,22.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,220
4.0,11:30,1.0,10.0,SFO 25,35.0,22.0,Christian McCaffrey up the middle for 13 yards (tackle by Starling Thomas),0.61,1.47,15.0,2023,220
4.0,10:53,1.0,10.0,SFO 38,35.0,22.0,Christian McCaffrey up the middle for 12 yards (tackle by Jalen Thompson and Jonathan Ledbetter),1.47,2.26,15.0,2023,220
4.0,10:11,1.0,10.0,SFO 50,35.0,22.0,Christian McCaffrey up the middle for 2 yards (tackle by Roy Lopez and Zaven Collins),2.26,1.98,15.0,2023,220
4.0,9:27,2.0,8.0,ARI 48,35.0,22.0,Deebo Samuel left end for 11 yards (tackle by Andre Chachere),1.98,3.12,15.0,2023,220
4.0,8:41,1.0,10.0,ARI 37,35.0,22.0,Jordan Mason up the middle for 17 yards (tackle by Jalen Thompson and Garrett Williams),3.12,4.24,15.0,2023,220
4.0,7:59,1.0,10.0,ARI 20,35.0,22.0,Jordan Mason up the middle for 1 yard (tackle by Dennis Gardeck and Naquan Jones),4.24,3.82,15.0,2023,220
4.0,7:17,2.0,9.0,ARI 19,41.0,22.0,"Brock Purdy pass complete deep left to Deebo Samuel for 19 yards, touchdown",3.82,7.0,15.0,2023,220
4.0,7:09,,,ARI 15,42.0,22.0,Jake Moody kicks extra point good,0.0,0.0,15.0,2023,220
4.0,7:09,,,SFO 35,42.0,22.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,220
4.0,7:09,1.0,10.0,ARI 25,42.0,22.0,Kyler Murray scrambles right end for 4 yards (tackle by Dre Greenlaw),0.61,0.6,15.0,2023,220
4.0,6:44,2.0,6.0,ARI 29,42.0,22.0,Kyler Murray pass incomplete short right intended for Michael Wilson,0.6,-0.1,15.0,2023,220
4.0,6:38,3.0,6.0,ARI 29,42.0,22.0,Kyler Murray pass incomplete deep right intended for Michael Wilson,-0.1,-1.44,15.0,2023,220
4.0,6:34,4.0,6.0,ARI 29,42.0,22.0,"Kyler Murray pass complete short middle to Trey McBride for 7 yards (tackle by Tashaun Gipson). Penalty on Chase Young: Defensive Offside, 5 yards (declined)",-1.44,1.33,15.0,2023,220
4.0,6:23,1.0,10.0,ARI 36,42.0,22.0,Kyler Murray pass deep middle intended for Zach Pascal is intercepted by Charvarius Ward at SF-40 and returned for 13 yards (tackle by Rondale Moore),1.33,-2.46,15.0,2023,220
4.0,6:13,1.0,10.0,ARI 47,42.0,22.0,Jordan Mason left tackle for 2 yards (tackle by Dante Stills),2.46,2.18,15.0,2023,220
4.0,5:30,2.0,8.0,ARI 45,42.0,22.0,Sam Darnold pass complete short left to Kyle Juszczyk for 17 yards (tackle by Budda Baker and Krys Barnes),2.18,3.71,15.0,2023,220
4.0,4:48,1.0,10.0,ARI 28,42.0,22.0,Jordan Mason right end for -6 yards (tackle by Jesse Luketa),3.71,2.36,15.0,2023,220
4.0,4:06,2.0,16.0,ARI 34,42.0,22.0,Jordan Mason left end for 6 yards (tackle by Budda Baker and Victor Dimukeje),2.36,2.48,15.0,2023,220
4.0,3:21,3.0,10.0,ARI 28,42.0,22.0,Sam Darnold pass complete short right to Jauan Jennings for 3 yards (tackle by Dante Stills and Roy Lopez),2.48,1.8,15.0,2023,220
4.0,3:12,,,,,,Timeout #1 by Arizona Cardinals,,,15.0,2023,220
4.0,3:12,4.0,7.0,ARI 25,45.0,22.0,Jake Moody 43 yard field goal good,1.8,3.0,15.0,2023,220
4.0,3:09,,,SFO 35,45.0,22.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,220
4.0,3:09,1.0,10.0,ARI 25,45.0,22.0,Kyler Murray pass incomplete deep right intended for Greg Dortch,0.61,0.06,15.0,2023,220
4.0,3:01,2.0,10.0,ARI 25,45.0,22.0,Kyler Murray scrambles right end for 7 yards (tackle by Isaiah Oliver),0.06,0.3,15.0,2023,220
4.0,2:53,3.0,3.0,ARI 32,45.0,22.0,Kyler Murray right end for 15 yards (tackle by Logan Ryan),0.3,2.06,15.0,2023,220
4.0,2:26,1.0,10.0,ARI 47,45.0,22.0,Kyler Murray pass complete short right to Trey McBride for 3 yards,2.06,1.92,15.0,2023,220
4.0,2:22,2.0,7.0,ARI 50,45.0,22.0,Kyler Murray pass incomplete deep right intended for Zach Pascal,1.92,1.22,15.0,2023,220
4.0,2:18,3.0,7.0,ARI 50,45.0,22.0,Kyler Murray pass complete short right to Elijah Higgins for 15 yards (tackle by Darrell Luter),1.22,3.25,15.0,2023,220
4.0,2:01,1.0,10.0,SFO 35,45.0,22.0,Kyler Murray pass complete short left to Michael Carter for 1 yard (tackle by Isaiah Oliver),3.25,2.84,15.0,2023,220
4.0,1:55,2.0,9.0,SFO 34,45.0,22.0,Kyler Murray pass complete short left to Michael Carter for 8 yards (tackle by Dee Winters),2.84,3.2,15.0,2023,220
4.0,1:29,3.0,1.0,SFO 26,45.0,22.0,Kyler Murray pass complete short left to Elijah Higgins for 17 yards (tackle by Ji'Ayir Brown),3.2,5.14,15.0,2023,220
4.0,1:27,1.0,9.0,SFO 9,45.0,22.0,Kyler Murray pass complete short left to Michael Carter for 1 yard (tackle by Samuel Womack),5.14,4.57,15.0,2023,220
4.0,1:02,2.0,8.0,SFO 8,45.0,22.0,Kyler Murray pass incomplete short right intended for Zach Pascal,4.57,3.58,15.0,2023,220
4.0,0:53,3.0,8.0,SFO 8,45.0,28.0,"Kyler Murray pass complete short left to Elijah Higgins for 8 yards, touchdown",3.58,7.0,15.0,2023,220
4.0,0:47,,,SFO 15,45.0,29.0,Matt Prater kicks extra point good,0.0,0.0,15.0,2023,220
4.0,0:47,,,ARI 35,45.0,29.0,"Matt Prater kicks onside 10 yards, returned by Brandon Aiyuk for no gain",0.0,2.59,15.0,2023,220
4.0,0:43,1.0,10.0,ARI 45,45.0,29.0,Sam Darnold kneels for -1 yards,2.59,1.91,15.0,2023,220
4.0,0:20,2.0,11.0,ARI 46,45.0,29.0,Sam Darnold kneels for -1 yards,1.91,1.09,15.0,2023,220
