Quarter,Time,Down,ToGo,Location,TAM,GNB,Detail,EPB,EPA,week,year,game_id
3.0,4:26,3.0,14.0,TAM 17,20.0,16.0,"Jordan Love pass complete deep right to Jayden Reed for 17 yards, touchdown",2.88,7.0,15.0,2023,215
3.0,4:18,,,TAM 15,20.0,17.0,Anders Carlson kicks extra point good,0.0,0.0,15.0,2023,215
3.0,4:18,,,GNB 35,20.0,17.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,215
3.0,4:18,1.0,10.0,TAM 25,20.0,17.0,Baker Mayfield pass complete short middle to Cade Otton for 22 yards (tackle by Carrington Valentine and Quay Walker),0.61,2.06,15.0,2023,215
3.0,3:39,1.0,10.0,TAM 47,20.0,17.0,Baker Mayfield sacked by Kenny Clark for -8 yards,2.06,0.44,15.0,2023,215
3.0,3:05,2.0,18.0,TAM 39,20.0,17.0,Baker Mayfield pass complete short middle to Chris Godwin for 21 yards (tackle by Jonathan Owens and Rudy Ford),0.44,2.92,15.0,2023,215
3.0,2:25,1.0,10.0,GNB 40,20.0,17.0,Chase Edmonds right guard for 2 yards (tackle by Devonte Wyatt),2.92,2.64,15.0,2023,215
3.0,1:43,2.0,8.0,GNB 38,20.0,17.0,Baker Mayfield pass incomplete short right intended for Mike Evans (defended by Carrington Valentine),2.64,1.95,15.0,2023,215
3.0,1:40,3.0,8.0,GNB 38,20.0,17.0,"Baker Mayfield pass incomplete intended for Mike Evans. Penalty on Corey Ballentine: Defensive Pass Interference, 11 yards (accepted) (no play)",1.95,3.78,15.0,2023,215
3.0,1:35,1.0,10.0,GNB 27,20.0,17.0,Rachaad White left guard for 3 yards (tackle by De'Vondre Campbell),3.78,3.64,15.0,2023,215
3.0,0:51,2.0,7.0,GNB 24,20.0,17.0,Baker Mayfield pass complete deep middle to Cade Otton for 22 yards (tackle by Jonathan Owens),3.64,6.74,15.0,2023,215
3.0,0:29,1.0,2.0,GNB 2,20.0,17.0,Baker Mayfield pass incomplete short left intended for Mike Evans,6.74,5.72,15.0,2023,215
3.0,0:26,2.0,2.0,GNB 2,26.0,17.0,"Baker Mayfield pass complete short right to Ko Kieft for 2 yards, touchdown",5.72,7.0,15.0,2023,215
3.0,0:20,,,GNB 15,27.0,17.0,Chase McLaughlin kicks extra point good,0.0,0.0,15.0,2023,215
3.0,0:20,,,TAM 35,27.0,17.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,215
3.0,0:20,1.0,10.0,GNB 25,27.0,17.0,Jordan Love pass complete short left to Jayden Reed for 4 yards (tackle by Jamel Dean),0.61,0.6,15.0,2023,215
4.0,15:00,2.0,6.0,GNB 29,27.0,17.0,Jordan Love pass complete short right to Dontayvion Wicks for 20 yards (tackle by Antoine Winfield and Dee Delaney),0.6,2.19,15.0,2023,215
4.0,14:20,1.0,10.0,GNB 49,27.0,17.0,Jordan Love pass complete deep right to Dontayvion Wicks for 19 yards (tackle by Antoine Winfield and Zyon McCollum),2.19,3.45,15.0,2023,215
4.0,13:40,1.0,10.0,TAM 32,27.0,17.0,Jordan Love pass complete short left to Jayden Reed for 5 yards (tackle by Calijah Kancey),3.45,3.58,15.0,2023,215
4.0,12:58,2.0,5.0,TAM 27,27.0,17.0,"Aaron Jones right end for 4 yards (tackle by Christian Izien) GNB challenged the short of the line to gain ruling, and the play was upheld.",3.58,3.4,15.0,2023,215
4.0,12:19,3.0,1.0,TAM 23,27.0,17.0,Jordan Love up the middle for 2 yards (tackle by Pat O'Connor and Greg Gaines),3.4,4.17,15.0,2023,215
4.0,11:39,1.0,10.0,TAM 21,27.0,17.0,Aaron Jones right end for 3 yards (tackle by Joe Tryon-Shoyinka),4.17,4.04,15.0,2023,215
4.0,10:58,2.0,7.0,TAM 18,27.0,17.0,Jordan Love pass complete short left to Aaron Jones for 3 yards (tackle by Lavonte David and Christian Izien),4.04,3.81,15.0,2023,215
4.0,10:13,3.0,4.0,TAM 15,27.0,17.0,Jordan Love pass incomplete short right intended for Tucker Kraft (defended by Lavonte David),3.81,2.52,15.0,2023,215
4.0,10:07,4.0,4.0,TAM 15,27.0,20.0,Anders Carlson 33 yard field goal good,2.52,3.0,15.0,2023,215
4.0,10:04,,,GNB 35,27.0,20.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,215
4.0,10:04,1.0,10.0,TAM 25,27.0,20.0,Baker Mayfield sacked by Devonte Wyatt for no gain,0.61,0.06,15.0,2023,215
4.0,9:27,2.0,10.0,TAM 25,27.0,20.0,Rachaad White up the middle for 6 yards (tackle by Rudy Ford),0.06,0.17,15.0,2023,215
4.0,8:49,3.0,4.0,TAM 31,27.0,20.0,Baker Mayfield pass complete short middle to Chris Godwin for 11 yards (tackle by Quay Walker),0.17,1.73,15.0,2023,215
4.0,8:06,1.0,10.0,TAM 42,27.0,20.0,Rachaad White up the middle for 4 yards (tackle by Devonte Wyatt),1.73,1.73,15.0,2023,215
4.0,7:24,2.0,6.0,TAM 46,27.0,20.0,Rachaad White up the middle for 2 yards (tackle by Lukas Van Ness),1.73,1.29,15.0,2023,215
4.0,6:40,3.0,4.0,TAM 48,33.0,20.0,"Baker Mayfield pass complete short right to David Moore for 52 yards, touchdown Replay Assistant challenged the fumble ruling, and the play was upheld.",1.29,7.0,15.0,2023,215
4.0,6:30,,,GNB 15,34.0,20.0,Chase McLaughlin kicks extra point good,0.0,0.0,15.0,2023,215
4.0,6:30,,,TAM 35,34.0,20.0,"Jake Camarda kicks off 51 yards, returned by Keisean Nixon for 8 yards (tackle by Cam Gill)",0.0,0.41,15.0,2023,215
4.0,6:26,1.0,10.0,GNB 22,34.0,20.0,Jordan Love pass complete short left to Romeo Doubs for 12 yards (tackle by Jamel Dean),0.41,1.2,15.0,2023,215
4.0,6:05,1.0,10.0,GNB 34,34.0,20.0,Jordan Love pass complete short right to Malik Heath for 9 yards (tackle by Antoine Winfield),1.2,1.87,15.0,2023,215
4.0,5:45,2.0,1.0,GNB 43,34.0,20.0,Patrick Taylor up the middle for 6 yards (tackle by Anthony Nelson and K.J. Britt),1.87,2.19,15.0,2023,215
4.0,5:22,1.0,10.0,GNB 49,34.0,20.0,Jordan Love pass complete short right to Tucker Kraft for 8 yards (tackle by K.J. Britt),2.19,2.8,15.0,2023,215
4.0,5:04,2.0,1.0,TAM 43,34.0,20.0,Jordan Love pass complete short right to Dontayvion Wicks for 13 yards (tackle by Dee Delaney),2.8,3.58,15.0,2023,215
4.0,4:42,1.0,10.0,TAM 30,34.0,20.0,Jordan Love pass incomplete short right,3.58,3.03,15.0,2023,215
4.0,4:37,2.0,10.0,TAM 30,34.0,20.0,Jordan Love pass incomplete short right intended for Tucker Kraft,3.03,2.34,15.0,2023,215
4.0,4:33,3.0,10.0,TAM 30,34.0,20.0,Jordan Love pass incomplete deep left intended for Bo Melton,2.34,1.41,15.0,2023,215
4.0,4:28,4.0,10.0,TAM 30,34.0,20.0,"Jordan Love sacked by and Shaquil Barrett for -21 yards and Lavonte David for -21 yards. Jordan Love fumbles (forced by Shaquil Barrett), recovered by Logan Hall at GB-49 (tackle by Rasheed Walker)",1.41,-2.32,15.0,2023,215
4.0,4:18,1.0,10.0,GNB 49,34.0,20.0,Rachaad White left end for 5 yards (tackle by Lukas Van Ness and Corey Ballentine),2.32,2.46,15.0,2023,215
4.0,4:13,,,,,,Timeout #2 by Green Bay Packers,,,15.0,2023,215
4.0,4:13,2.0,5.0,GNB 44,34.0,20.0,Rachaad White right end for 1 yard (tackle by Quay Walker),2.46,1.88,15.0,2023,215
4.0,4:08,,,,,,Timeout #3 by Green Bay Packers,,,15.0,2023,215
4.0,4:08,3.0,4.0,GNB 43,34.0,20.0,Rachaad White up the middle for 2 yards (tackle by Jonathan Owens and Rudy Ford),1.88,0.53,15.0,2023,215
4.0,3:25,,,,,,Timeout #2 by Tampa Bay Buccaneers,,,15.0,2023,215
4.0,3:25,4.0,2.0,GNB 41,34.0,20.0,Rachaad White up the middle for 3 yards (tackle by Kenny Clark and Jonathan Owens),0.53,3.05,15.0,2023,215
4.0,2:41,1.0,10.0,GNB 38,34.0,20.0,Rachaad White right guard for 5 yards (tackle by Kingsley Enagbare),3.05,3.18,15.0,2023,215
4.0,2:00,2.0,5.0,GNB 33,34.0,20.0,Rachaad White up the middle for 22 yards,3.18,4.84,15.0,2023,215
4.0,1:14,1.0,10.0,GNB 11,34.0,20.0,Baker Mayfield kneels for -1 yards,4.84,3.98,15.0,2023,215
4.0,0:34,2.0,11.0,GNB 12,34.0,20.0,Baker Mayfield kneels for -1 yards,3.98,3.08,15.0,2023,215
