Quarter,Time,Down,ToGo,Location,CHI,CLE,Detail,EPB,EPA,week,year,game_id
1.0,6:45,1.0,13.0,CLE 34,0.0,0.0,Joe Flacco pass complete short left to David Njoku for 8 yards (tackle by Tremaine Edmunds and Terell Smith),1.2,1.53,15.0,2023,214
1.0,6:07,2.0,5.0,CLE 42,0.0,0.0,Pierre Strong left tackle for no gain (tackle by Justin Jones and T.J. Edwards),1.53,0.83,15.0,2023,214
1.0,5:26,3.0,5.0,CLE 42,0.0,0.0,"Penalty on Wyatt Teller: False Start, 5 yards (accepted) (no play)",0.83,0.17,15.0,2023,214
1.0,5:07,3.0,10.0,CLE 37,0.0,0.0,Joe Flacco pass incomplete short right,0.17,-0.91,15.0,2023,214
1.0,4:57,4.0,10.0,CLE 37,0.0,0.0,"Corey Bojorquez punts 44 yards, recovered by Trent Taylor at CHI-19",-0.91,-0.15,15.0,2023,214
1.0,4:48,1.0,10.0,CHI 19,0.0,0.0,Justin Fields pass complete short left to D.J. Moore for 8 yards,0.15,0.75,15.0,2023,214
1.0,4:14,2.0,2.0,CHI 27,0.0,0.0,Justin Fields pass incomplete deep right intended for Robert Tonyan,0.75,-0.03,15.0,2023,214
1.0,4:05,3.0,2.0,CHI 27,0.0,0.0,"Justin Fields pass complete deep left to D.J. Moore for 27 yards CLE challenged the pass completion ruling, and the play was upheld.",-0.03,2.52,15.0,2023,214
1.0,3:44,1.0,10.0,CLE 46,0.0,0.0,Justin Fields pass incomplete short right,2.52,1.98,15.0,2023,214
1.0,3:38,2.0,10.0,CLE 46,0.0,0.0,D'Onta Foreman left tackle for 2 yards (tackle by D'Anthony Bell),1.98,1.55,15.0,2023,214
1.0,2:56,3.0,8.0,CLE 44,0.0,0.0,"Justin Fields sacked by Alex Wright for -7 yards. Justin Fields fumbles (forced by Alex Wright), recovered by Teven Jenkins at CHI-49 (tackle by Alex Wright)",1.55,-0.13,15.0,2023,214
1.0,2:13,4.0,15.0,CHI 49,0.0,0.0,"Trenton Gill punts 38 yards, returned by James Proche for 6 yards (tackle by Josh Blackwell)",-0.13,-0.15,15.0,2023,214
1.0,2:05,1.0,10.0,CLE 19,0.0,0.0,Joe Flacco pass complete short left to David Njoku for 7 yards (tackle by Terell Smith and Tremaine Edmunds),0.15,0.61,15.0,2023,214
1.0,1:28,2.0,3.0,CLE 26,0.0,0.0,"Joe Flacco sacked by Montez Sweat for -5 yards. Joe Flacco fumbles, ball out of bounds at CLE-21 (forced by Montez Sweat)",0.61,-0.81,15.0,2023,214
1.0,0:55,,,,,,Timeout #2 by Cleveland Browns,,,15.0,2023,214
1.0,0:55,3.0,8.0,CLE 21,0.0,0.0,Joe Flacco pass incomplete short left intended for Cedric Tillman (defended by Terell Smith),-0.81,-1.96,15.0,2023,214
1.0,0:50,4.0,8.0,CLE 21,0.0,0.0,Corey Bojorquez punts 39 yards out of bounds,-1.96,-1.6,15.0,2023,214
1.0,0:39,1.0,10.0,CHI 40,0.0,0.0,"Penalty on Teven Jenkins: False Start, 5 yards (accepted) (no play)",1.6,1.27,15.0,2023,214
1.0,0:39,1.0,15.0,CHI 35,0.0,0.0,Justin Fields pass incomplete deep left intended for Darnell Mooney (defended by Martin Emerson),1.27,0.38,15.0,2023,214
1.0,0:31,2.0,15.0,CHI 35,0.0,0.0,Justin Fields right end for 5 yards (tackle by Jeremiah Owusu-Koramoah),0.38,0.37,15.0,2023,214
2.0,15:00,3.0,10.0,CHI 40,0.0,0.0,Justin Fields pass complete short right to Roschon Johnson for 8 yards (tackle by Za'Darius Smith),0.37,-0.19,15.0,2023,214
2.0,14:13,4.0,2.0,CHI 48,0.0,0.0,"Trenton Gill punts 43 yards, fair catch by James Proche at CLE-9",-0.19,0.38,15.0,2023,214
2.0,14:04,1.0,10.0,CLE 9,0.0,0.0,Kareem Hunt right guard for 2 yards (tackle by Kyler Gordon),-0.38,-0.63,15.0,2023,214
2.0,13:31,2.0,8.0,CLE 11,0.0,0.0,Joe Flacco pass deep left intended for Cedric Tillman is intercepted by Eddie Jackson at CLE-28 and returned for 27 yards (tackle by Michael Dunn),-0.63,-6.97,15.0,2023,214
2.0,13:17,1.0,1.0,CLE 1,0.0,0.0,D'Onta Foreman right guard for -3 yards (tackle by Dalvin Tomlinson),6.97,5.34,15.0,2023,214
2.0,12:42,2.0,4.0,CLE 4,0.0,0.0,"Penalty on CLE: Defensive Too Many Men on Field, 2 yards (accepted) (no play)",5.34,5.72,15.0,2023,214
2.0,12:31,2.0,2.0,CLE 2,0.0,0.0,"Justin Fields pass incomplete short left intended for D.J. Moore. Penalty on Martin Emerson: Defensive Pass Interference, 1 yard (accepted) (no play)",5.72,6.97,15.0,2023,214
2.0,12:24,1.0,1.0,CLE 1,0.0,0.0,D'Onta Foreman right guard for no gain (tackle by Sione Takitaki and Jordan Elliott) (no play),6.97,6.97,15.0,2023,214
2.0,12:17,1.0,1.0,CLE 1,0.0,0.0,D'Onta Foreman right guard for no gain (tackle by Dalvin Tomlinson),6.97,5.91,15.0,2023,214
2.0,11:30,2.0,1.0,CLE 1,0.0,0.0,"Penalty on Cole Kmet: False Start, 4 yards (accepted) (no play)",5.91,5.15,15.0,2023,214
2.0,11:14,2.0,5.0,CLE 5,0.0,0.0,Justin Fields pass incomplete short left intended for Darnell Mooney,5.15,4.26,15.0,2023,214
2.0,11:04,3.0,5.0,CLE 5,6.0,0.0,"Justin Fields pass complete short left to Cole Kmet for 5 yards, touchdown",4.26,7.0,15.0,2023,214
2.0,10:54,,,CLE 15,7.0,0.0,Cairo Santos kicks extra point good,0.0,0.0,15.0,2023,214
2.0,10:54,,,CHI 35,7.0,0.0,"Cairo Santos kicks off 64 yards, returned by Pierre Strong for 15 yards (tackle by Dylan Cole)",0.0,-0.14,15.0,2023,214
2.0,10:49,1.0,10.0,CLE 16,7.0,0.0,Joe Flacco pass complete short right to Jerome Ford for 3 yards (tackle by T.J. Edwards and Justin Jones),-0.14,-0.18,15.0,2023,214
2.0,10:21,2.0,7.0,CLE 19,7.0,0.0,Joe Flacco pass complete short middle to Cedric Tillman for 9 yards (tackle by Tremaine Edmunds),-0.18,0.81,15.0,2023,214
2.0,9:35,1.0,10.0,CLE 28,7.0,0.0,Joe Flacco pass complete short middle to Jerome Ford for 3 yards (tackle by Tremaine Edmunds),0.81,0.67,15.0,2023,214
2.0,8:54,2.0,7.0,CLE 31,7.0,0.0,Joe Flacco pass incomplete short left intended for Amari Cooper (defended by Jaylon Johnson),0.67,-0.03,15.0,2023,214
2.0,8:49,3.0,7.0,CLE 31,7.0,0.0,Joe Flacco pass complete deep right to Amari Cooper for 42 yards (tackle by Tyrique Stevenson),-0.03,3.78,15.0,2023,214
2.0,8:04,1.0,10.0,CHI 27,7.0,0.0,Joe Flacco pass complete short middle to Jordan Akins for 8 yards (tackle by Tremaine Edmunds),3.78,4.35,15.0,2023,214
2.0,7:22,2.0,2.0,CHI 19,7.0,0.0,Jerome Ford left tackle for -1 yards (tackle by DeMarcus Walker and T.J. Edwards),4.35,3.47,15.0,2023,214
2.0,6:39,3.0,3.0,CHI 20,7.0,0.0,Kareem Hunt right guard for 1 yard (tackle by Montez Sweat and Jaquan Brisker),3.47,2.31,15.0,2023,214
2.0,6:01,4.0,2.0,CHI 19,7.0,0.0,Dorian Thompson-Robinson pass complete short left to Jerome Ford for 5 yards (tackle by Montez Sweat),2.31,4.65,15.0,2023,214
2.0,5:19,1.0,10.0,CHI 14,7.0,0.0,Joe Flacco pass complete short right to Cedric Tillman for 13 yards (tackle by Kyler Gordon),4.65,6.97,15.0,2023,214
2.0,4:40,1.0,1.0,CHI 1,7.0,0.0,Kareem Hunt left tackle for -1 yards (tackle by Jack Sanborn),6.97,5.72,15.0,2023,214
2.0,3:54,2.0,2.0,CHI 2,7.0,6.0,"Joe Flacco pass complete short right to David Njoku for 2 yards, touchdown",5.72,7.0,15.0,2023,214
2.0,3:48,,,CHI 15,7.0,7.0,Dustin Hopkins kicks extra point good,0.0,0.0,15.0,2023,214
2.0,3:48,,,CLE 35,7.0,7.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,214
2.0,3:48,1.0,10.0,CHI 25,7.0,7.0,Justin Fields left tackle for -3 yards (tackle by D'Anthony Bell),0.61,-0.34,15.0,2023,214
2.0,3:10,2.0,13.0,CHI 22,7.0,7.0,Justin Fields pass complete short left to Darnell Mooney for 9 yards (tackle by Ronnie Hickman and Martin Emerson),-0.34,0.17,15.0,2023,214
2.0,2:33,3.0,4.0,CHI 31,7.0,7.0,Justin Fields pass incomplete short right intended for Darnell Mooney,0.17,-1.31,15.0,2023,214
2.0,2:26,4.0,4.0,CHI 31,7.0,7.0,"Trenton Gill punts 43 yards, returned by James Proche for 2 yards (tackle by Jaylon Jones)",-1.31,-0.81,15.0,2023,214
2.0,2:18,1.0,10.0,CLE 28,7.0,7.0,Joe Flacco pass complete short middle to Elijah Moore for 11 yards (tackle by Kyler Gordon),0.81,1.53,15.0,2023,214
2.0,2:00,1.0,10.0,CLE 39,7.0,7.0,Joe Flacco pass complete short left to Amari Cooper for 5 yards (tackle by Terell Smith),1.53,1.66,15.0,2023,214
2.0,1:42,2.0,5.0,CLE 44,7.0,7.0,"Joe Flacco pass incomplete short left. Penalty on Michael Dunn: Offensive Holding, 10 yards (accepted) (no play)",1.66,0.31,15.0,2023,214
2.0,1:36,2.0,15.0,CLE 34,7.0,7.0,Joe Flacco pass complete short right to Cedric Tillman for 11 yards (tackle by Jaylon Johnson),0.31,1.09,15.0,2023,214
2.0,1:12,3.0,4.0,CLE 45,7.0,7.0,Joe Flacco pass incomplete short right intended for Cedric Tillman,1.09,-0.39,15.0,2023,214
2.0,1:08,4.0,4.0,CLE 45,7.0,7.0,Corey Bojorquez punts 53 yards out of bounds,-0.39,0.38,15.0,2023,214
2.0,0:59,1.0,10.0,CHI 2,7.0,7.0,Roschon Johnson right guard for 3 yards (tackle by Myles Garrett and Dalvin Tomlinson),-0.38,-0.56,15.0,2023,214
2.0,0:54,,,,,,Timeout #3 by Cleveland Browns,,,15.0,2023,214
2.0,0:54,2.0,7.0,CHI 5,7.0,7.0,Roschon Johnson left guard for 22 yards (tackle by Ronnie Hickman),-0.56,0.74,15.0,2023,214
2.0,0:47,1.0,10.0,CHI 27,7.0,7.0,Justin Fields pass complete short right to Cole Kmet for -1 yards (tackle by Greg Newsome),0.74,0.06,15.0,2023,214
2.0,0:40,2.0,11.0,CHI 26,7.0,7.0,Justin Fields pass complete deep middle to D.J. Moore for 20 yards (tackle by Martin Emerson),0.06,1.99,15.0,2023,214
2.0,0:34,,,,,,Timeout #1 by Chicago Bears,,,15.0,2023,214
2.0,0:34,1.0,10.0,CHI 46,7.0,7.0,Justin Fields pass complete short left to Cole Kmet for 6 yards (tackle by Sione Takitaki and Martin Emerson),1.99,2.26,15.0,2023,214
2.0,0:25,2.0,4.0,CLE 48,7.0,7.0,Justin Fields pass complete short left to Cole Kmet for 5 yards,2.26,2.72,15.0,2023,214
2.0,0:22,1.0,10.0,CLE 43,7.0,7.0,"Justin Fields pass complete short left to Roschon Johnson for 1 yard (tackle by Ronnie Hickman) Replay Assistant challenged the runner was down by contact ruling, and the play was upheld.",2.72,2.31,15.0,2023,214
2.0,0:12,,,,,,Timeout #2 by Chicago Bears,,,15.0,2023,214
2.0,0:12,2.0,9.0,CLE 42,7.0,7.0,Justin Fields pass complete short left to Darnell Mooney for 5 yards (tackle by Martin Emerson),2.31,2.28,15.0,2023,214
2.0,0:08,3.0,4.0,CLE 37,7.0,7.0,Justin Fields pass incomplete short left intended for Darnell Mooney (defended by Ronnie Hickman),2.28,0.79,15.0,2023,214
2.0,0:04,4.0,4.0,CLE 37,7.0,7.0,Justin Fields pass deep right (defended by Greg Newsome) is intercepted by Jeremiah Owusu-Koramoah in end zone and returned for no gain,0.79,0.0,15.0,2023,214
3.0,15:00,,,CLE 35,7.0,7.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,214
3.0,15:00,1.0,10.0,CHI 25,7.0,7.0,D'Onta Foreman right guard for -4 yards (tackle by Shelby Harris),0.61,-0.48,15.0,2023,214
3.0,14:21,2.0,14.0,CHI 21,7.0,7.0,"Justin Fields pass incomplete short right. Penalty on Nate Davis: Offensive Holding, 10 yards (declined)",-0.48,-1.15,15.0,2023,214
3.0,14:14,3.0,14.0,CHI 21,7.0,7.0,Justin Fields pass incomplete short middle intended for Roschon Johnson,-1.15,-1.96,15.0,2023,214
3.0,14:01,4.0,14.0,CHI 21,7.0,7.0,"Trenton Gill punts 45 yards, returned by James Proche for 1 yard (tackle by Jaylon Jones). Penalty on DeMarquis Gates: Ineligible Downfield Kick, 5 yards (accepted)",-1.96,-1.6,15.0,2023,214
3.0,14:01,1.0,10.0,CLE 40,13.0,7.0,"Joe Flacco pass short middle (defended by T.J. Edwards) intended for Cedric Tillman is intercepted by Tremaine Edmunds at CLE-45 and returned for 45 yards, touchdown",1.6,-7.0,15.0,2023,214
3.0,13:50,,,CLE 15,14.0,7.0,Cairo Santos kicks extra point good,0.0,0.0,15.0,2023,214
3.0,13:50,,,CHI 35,14.0,7.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,214
3.0,13:50,1.0,10.0,CLE 25,14.0,7.0,Jerome Ford right tackle for 6 yards (tackle by Jaquan Brisker and Tyrique Stevenson),0.61,0.87,15.0,2023,214
3.0,13:09,2.0,4.0,CLE 31,14.0,7.0,Jerome Ford left tackle for no gain (tackle by Gervon Dexter),0.87,0.17,15.0,2023,214
3.0,12:35,3.0,4.0,CLE 31,14.0,7.0,Joe Flacco pass complete short left to David Njoku for 1 yard (tackle by T.J. Edwards),0.17,-1.24,15.0,2023,214
3.0,11:59,4.0,3.0,CLE 32,14.0,7.0,"Corey Bojorquez punts 46 yards, returned by Trent Taylor for 8 yards (tackle by Tony Fields)",-1.24,-0.94,15.0,2023,214
3.0,11:45,1.0,10.0,CHI 30,14.0,7.0,Justin Fields scrambles right guard for 2 yards (tackle by Tony Fields),0.94,0.66,15.0,2023,214
3.0,11:03,2.0,8.0,CHI 32,14.0,7.0,Velus Jones right tackle for 15 yards (tackle by Alex Wright),0.66,2.06,15.0,2023,214
3.0,10:33,1.0,10.0,CHI 47,14.0,7.0,Justin Fields pass complete short left to Khalil Herbert for 4 yards (tackle by Duron Harmon),2.06,2.06,15.0,2023,214
3.0,9:51,2.0,6.0,CLE 49,14.0,7.0,Velus Jones left end for 8 yards (tackle by Martin Emerson),2.06,2.85,15.0,2023,214
3.0,9:10,1.0,10.0,CLE 41,14.0,7.0,Justin Fields pass complete short right to Tyler Scott for 15 yards (tackle by Greg Newsome),2.85,3.84,15.0,2023,214
3.0,8:39,1.0,10.0,CLE 26,14.0,7.0,Khalil Herbert left end for -1 yards (tackle by Jeremiah Owusu-Koramoah and Sione Takitaki),3.84,3.16,15.0,2023,214
3.0,8:03,2.0,11.0,CLE 27,14.0,7.0,Justin Fields pass complete short right to Tyler Scott for 4 yards (tackle by Ronnie Hickman),3.16,3.01,15.0,2023,214
3.0,7:16,3.0,7.0,CLE 23,14.0,7.0,Justin Fields pass incomplete deep right intended for D.J. Moore,3.01,1.93,15.0,2023,214
3.0,7:11,4.0,7.0,CLE 23,17.0,7.0,Cairo Santos 41 yard field goal good,1.93,3.0,15.0,2023,214
3.0,7:07,,,CHI 35,17.0,7.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,214
3.0,7:07,1.0,10.0,CLE 25,17.0,7.0,Joe Flacco pass incomplete short right intended for David Njoku (defended by T.J. Edwards),0.61,0.06,15.0,2023,214
3.0,7:01,2.0,10.0,CLE 25,17.0,7.0,Joe Flacco pass incomplete deep right intended for Amari Cooper,0.06,-0.62,15.0,2023,214
3.0,6:57,3.0,10.0,CLE 25,17.0,7.0,Joe Flacco sacked by Montez Sweat for -10 yards,-0.62,-2.44,15.0,2023,214
3.0,6:11,4.0,20.0,CLE 15,17.0,7.0,"Corey Bojorquez punts 48 yards, returned by Trent Taylor for 5 yards (tackle by D'Anthony Bell)",-2.44,-1.73,15.0,2023,214
3.0,6:05,1.0,10.0,CHI 42,17.0,7.0,Justin Fields pass incomplete short left,1.73,1.19,15.0,2023,214
3.0,6:00,2.0,10.0,CHI 42,17.0,7.0,Justin Fields right end for -6 yards (tackle by Greg Newsome),1.19,-0.29,15.0,2023,214
3.0,5:21,3.0,16.0,CHI 36,17.0,7.0,Justin Fields pass complete short left to D.J. Moore for -3 yards (tackle by Sione Takitaki),-0.29,-1.18,15.0,2023,214
3.0,4:44,4.0,19.0,CHI 33,17.0,7.0,"Trenton Gill punts 37 yards, fair catch by James Proche at CLE-30",-1.18,-0.94,15.0,2023,214
3.0,4:38,1.0,10.0,CLE 30,17.0,7.0,Joe Flacco pass complete short middle to Cedric Tillman for 19 yards (tackle by Eddie Jackson),0.94,2.19,15.0,2023,214
3.0,4:14,1.0,10.0,CLE 49,17.0,7.0,Joe Flacco pass incomplete short left intended for David Njoku,2.19,1.65,15.0,2023,214
3.0,4:04,2.0,10.0,CLE 49,17.0,7.0,Joe Flacco pass complete short right to Pierre Strong for 2 yards (tackle by Jaquan Brisker),1.65,1.22,15.0,2023,214
3.0,3:22,3.0,8.0,CHI 49,17.0,7.0,Joe Flacco sacked by and DeMarcus Walker for -8 yards and T.J. Edwards for -8 yards,1.22,-0.52,15.0,2023,214
3.0,2:40,4.0,16.0,CLE 43,17.0,7.0,"Corey Bojorquez punts 38 yards, recovered by Mohamoud Diabate at CHI-20",-0.52,4.24,15.0,2023,214
3.0,2:31,1.0,10.0,CHI 20,17.0,7.0,Joe Flacco pass deep left intended for David Njoku is intercepted by Tyrique Stevenson at CHI-1 and returned for 34 yards (tackle by Harrison Bryant and Geron Christian),4.24,-1.27,15.0,2023,214
3.0,2:17,1.0,10.0,CHI 35,17.0,7.0,Justin Fields pass incomplete short left intended for Cole Kmet,1.27,0.72,15.0,2023,214
3.0,2:14,2.0,10.0,CHI 35,17.0,7.0,Justin Fields right end for 8 yards (tackle by Jeremiah Owusu-Koramoah),0.72,1.09,15.0,2023,214
3.0,1:34,3.0,2.0,CHI 43,17.0,7.0,Justin Fields left end for 15 yards (tackle by Sione Takitaki),1.09,2.79,15.0,2023,214
3.0,0:57,1.0,10.0,CLE 42,17.0,7.0,D'Onta Foreman right guard for 2 yards (tackle by Dalvin Tomlinson and Jordan Elliott),2.79,2.51,15.0,2023,214
3.0,0:17,2.0,8.0,CLE 40,17.0,7.0,Justin Fields pass incomplete short right intended for D.J. Moore (defended by Greg Newsome),2.51,1.82,15.0,2023,214
3.0,0:12,3.0,8.0,CLE 40,17.0,7.0,Roschon Johnson right guard for 7 yards (tackle by Sione Takitaki),1.82,1.21,15.0,2023,214
4.0,15:00,4.0,1.0,CLE 33,17.0,7.0,Justin Fields sacked by Cameron Mitchell for no gain,1.21,-1.14,15.0,2023,214
4.0,14:56,1.0,10.0,CLE 33,17.0,7.0,"Penalty on Geron Christian: False Start, 5 yards (accepted) (no play)",1.14,0.81,15.0,2023,214
4.0,14:56,1.0,15.0,CLE 28,17.0,7.0,Joe Flacco pass complete deep left to Marquise Goodwin for 57 yards (tackle by Eddie Jackson),0.81,4.58,15.0,2023,214
4.0,14:13,1.0,10.0,CHI 15,17.0,7.0,Joe Flacco pass complete short right to David Njoku for 5 yards (tackle by Kyler Gordon and Tremaine Edmunds),4.58,4.84,15.0,2023,214
4.0,13:39,2.0,5.0,CHI 10,17.0,7.0,"Jerome Ford left guard for 2 yards (tackle by Jaylon Johnson). Penalty on Michael Dunn: Offensive Holding, 10 yards (accepted)",4.84,3.68,15.0,2023,214
4.0,13:21,2.0,12.0,CHI 17,17.0,7.0,Joe Flacco pass incomplete short left intended for Amari Cooper (defended by Tyrique Stevenson),3.68,2.89,15.0,2023,214
4.0,13:16,3.0,13.0,CHI 18,17.0,7.0,Joe Flacco pass complete short right to David Njoku for 3 yards (tackle by Tyrique Stevenson),2.89,2.44,15.0,2023,214
4.0,12:31,4.0,10.0,CHI 15,17.0,10.0,Dustin Hopkins 33 yard field goal good,2.44,3.0,15.0,2023,214
4.0,12:27,,,CLE 35,17.0,10.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,214
4.0,12:27,1.0,10.0,CHI 25,17.0,10.0,Khalil Herbert right guard for 7 yards (tackle by Ronnie Hickman),0.61,1.01,15.0,2023,214
4.0,11:49,2.0,3.0,CHI 32,17.0,10.0,Khalil Herbert right guard for 2 yards (tackle by D'Anthony Bell and Isaiah McGuire),1.01,0.56,15.0,2023,214
4.0,11:19,3.0,1.0,CHI 34,17.0,10.0,Tyler Scott right end for -3 yards (tackle by Alex Wright),0.56,-1.31,15.0,2023,214
4.0,10:44,4.0,4.0,CHI 31,17.0,10.0,"Trenton Gill punts 44 yards, fair catch by James Proche at CLE-25",-1.31,-0.61,15.0,2023,214
4.0,10:35,1.0,10.0,CLE 25,17.0,10.0,Jerome Ford right tackle for 1 yard (tackle by Tremaine Edmunds and Montez Sweat),0.61,0.2,15.0,2023,214
4.0,10:01,2.0,9.0,CLE 26,17.0,10.0,Joe Flacco sacked by and Montez Sweat for -8 yards and Gervon Dexter for -8 yards,0.2,-1.72,15.0,2023,214
4.0,9:32,3.0,17.0,CLE 18,17.0,10.0,Joe Flacco pass complete short right to David Njoku for 7 yards (tackle by Jaylon Johnson),-1.72,-1.7,15.0,2023,214
4.0,8:54,4.0,10.0,CLE 25,17.0,10.0,"Corey Bojorquez punts 52 yards, returned by Trent Taylor for 10 yards (tackle by Duron Harmon)",-1.7,-1.14,15.0,2023,214
4.0,8:39,1.0,10.0,CHI 33,17.0,10.0,Justin Fields pass incomplete deep middle intended for D.J. Moore (defended by Jeremiah Owusu-Koramoah),1.14,0.59,15.0,2023,214
4.0,8:34,2.0,10.0,CHI 33,17.0,10.0,Roschon Johnson right guard for 1 yard (tackle by Dalvin Tomlinson and Jordan Elliott),0.59,0.04,15.0,2023,214
4.0,7:45,3.0,9.0,CHI 34,17.0,10.0,Justin Fields scrambles right end for 9 yards. Justin Fields fumbles. Justin Fields fumbles out of bounds,0.04,1.8,15.0,2023,214
4.0,7:37,1.0,10.0,CHI 43,17.0,10.0,Roschon Johnson right tackle for 3 yards (tackle by Alex Wright),1.8,1.66,15.0,2023,214
4.0,7:04,2.0,7.0,CHI 46,17.0,10.0,Justin Fields sacked by Jeremiah Owusu-Koramoah for -11 yards,1.66,-0.49,15.0,2023,214
4.0,6:16,3.0,18.0,CHI 35,17.0,10.0,Justin Fields pass complete short left to Roschon Johnson for 12 yards (tackle by Jeremiah Owusu-Koramoah),-0.49,-0.26,15.0,2023,214
4.0,5:31,4.0,6.0,CHI 47,17.0,10.0,"Trenton Gill punts 53 yards, touchback.",-0.26,-0.28,15.0,2023,214
4.0,5:18,1.0,10.0,CLE 20,17.0,10.0,Pierre Strong right end for 2 yards (tackle by Montez Sweat),0.28,0.0,15.0,2023,214
4.0,4:43,2.0,8.0,CLE 22,17.0,10.0,Joe Flacco pass complete short left to Elijah Moore for 6 yards (tackle by Kyler Gordon),0.0,0.1,15.0,2023,214
4.0,4:33,3.0,2.0,CLE 28,17.0,10.0,Kareem Hunt left tackle for 3 yards (tackle by Tremaine Edmunds),0.1,1.0,15.0,2023,214
4.0,3:58,1.0,10.0,CLE 31,17.0,10.0,Joe Flacco pass complete short left to Kareem Hunt for 12 yards (tackle by Jaquan Brisker),1.0,1.8,15.0,2023,214
4.0,3:28,1.0,10.0,CLE 43,17.0,10.0,Joe Flacco pass complete short right to David Njoku for 6 yards (tackle by Kyler Gordon),1.8,2.06,15.0,2023,214
4.0,3:18,2.0,4.0,CLE 49,17.0,16.0,"Joe Flacco pass complete deep right to Amari Cooper for 51 yards, touchdown",2.06,7.0,15.0,2023,214
4.0,3:08,,,CHI 15,17.0,17.0,Dustin Hopkins kicks extra point good,0.0,0.0,15.0,2023,214
