Quarter,Time,Down,ToGo,Location,MIN,CIN,Detail,EPB,EPA,week,year,game_id
1,7:37,3.0,1.0,MIN 34,0.0,3.0,Nick Mullens up the middle for 2 yards (tackle by B.J. Hill and Akeem Davis-Gaither),0.56,1.33,15.0,2023,210
1,6:57,1.0,10.0,MIN 36,0.0,3.0,Nick Mullens pass complete deep right to Justin Jefferson for 17 yards (tackle by Germaine Pratt),1.33,2.46,15.0,2023,210
1,6:18,1.0,10.0,CIN 47,0.0,3.0,Ty Chandler right guard for 7 yards (tackle by Daxton Hill),2.46,2.86,15.0,2023,210
1,5:55,2.0,3.0,CIN 40,0.0,3.0,Ty Chandler right tackle for 4 yards (tackle by Cameron Sample and Germaine Pratt),2.86,3.18,15.0,2023,210
1,5:19,1.0,10.0,CIN 36,0.0,3.0,Nick Mullens pass complete short right to T.J. Hockenson for 9 yards (tackle by Cameron Sample and Germaine Pratt),3.18,3.85,15.0,2023,210
1,4:54,2.0,1.0,CIN 27,0.0,3.0,Nick Mullens up the middle for 1 yard (tackle by B.J. Hill),3.85,3.84,15.0,2023,210
1,4:11,1.0,10.0,CIN 26,0.0,3.0,Ty Chandler left guard for 8 yards (tackle by Logan Wilson and Germaine Pratt),3.84,4.45,15.0,2023,210
1,3:33,2.0,2.0,CIN 18,0.0,3.0,Ty Chandler left tackle for 1 yard (tackle by Mike Hilton),4.45,3.95,15.0,2023,210
1,2:56,3.0,1.0,CIN 17,0.0,3.0,Nick Mullens pass complete short right to Ty Chandler for 16 yards (tackle by Germaine Pratt),3.95,6.97,15.0,2023,210
1,2:27,1.0,1.0,CIN 1,6.0,3.0,"Ty Chandler right tackle for 1 yard, touchdown",6.97,7.0,15.0,2023,210
1,2:23,,,CIN 15,7.0,3.0,Greg Joseph kicks extra point good,0.0,0.0,15.0,2023,210
1,2:23,,,MIN 35,7.0,3.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,210
1,2:23,1.0,10.0,CIN 25,7.0,3.0,Jake Browning pass incomplete short left intended for Tyler Boyd,0.61,0.06,15.0,2023,210
1,2:19,2.0,10.0,CIN 25,7.0,3.0,Joe Mixon right guard for 8 yards (tackle by Harrison Smith and Troy Dye),0.06,0.43,15.0,2023,210
1,1:33,3.0,2.0,CIN 33,7.0,3.0,Jake Browning pass incomplete short middle intended for Tee Higgins (defended by D.J. Wonnum),0.43,-1.18,15.0,2023,210
1,1:30,4.0,2.0,CIN 33,7.0,3.0,"Brad Robbins punts 51 yards, returned by Brandon Powell for 3 yards (tackle by DJ Ivey)",-1.18,-0.15,15.0,2023,210
1,1:22,1.0,10.0,MIN 19,7.0,3.0,Ty Chandler left end for 3 yards (tackle by Myles Murphy),0.15,0.07,15.0,2023,210
1,0:44,2.0,7.0,MIN 22,7.0,3.0,Nick Mullens pass incomplete short left intended for Ty Chandler,0.07,-0.68,15.0,2023,210
1,0:37,3.0,7.0,MIN 22,7.0,3.0,Nick Mullens sacked by and Germaine Pratt for -9 yards and Trey Hendrickson for -9 yards,-0.68,-2.49,15.0,2023,210
2,15:00,4.0,16.0,MIN 13,7.0,3.0,"Ryan Wright punts 58 yards, returned by Charlie Jones for 10 yards (tackle by Patrick Jones)",-2.49,-1.53,15.0,2023,210
2,14:48,1.0,10.0,CIN 39,7.0,3.0,Jake Browning pass complete short left to Chase Brown for 9 yards (tackle by Akayleb Evans),1.53,2.2,15.0,2023,210
2,14:13,2.0,1.0,CIN 48,7.0,3.0,Chase Brown right guard for 1 yard (tackle by Josh Metellus),2.2,2.19,15.0,2023,210
2,13:27,1.0,10.0,CIN 49,7.0,3.0,Jake Browning pass complete short left to Chase Brown for 6 yards (tackle by Ivan Pace),2.19,2.46,15.0,2023,210
2,12:49,2.0,4.0,MIN 45,7.0,3.0,"Jake Browning pass incomplete short left. Penalty on Chase Brown: Offensive Holding, 10 yards (accepted) (no play)",2.46,1.11,15.0,2023,210
2,12:44,2.0,14.0,CIN 45,7.0,3.0,Jake Browning pass complete short right to Ja'Marr Chase for -1 yards (tackle by Byron Murphy),1.11,0.3,15.0,2023,210
2,12:01,3.0,15.0,CIN 44,7.0,3.0,Jake Browning pass incomplete deep middle intended for Charlie Jones,0.3,-0.46,15.0,2023,210
2,11:55,4.0,15.0,CIN 44,7.0,3.0,"Brad Robbins punts 49 yards, returned by Brandon Powell for 9 yards (tackle by Devin Harper)",-0.46,0.14,15.0,2023,210
2,11:44,1.0,10.0,MIN 16,7.0,3.0,Kene Nwangwu left guard for 1 yard (tackle by Logan Wilson and Josh Tupou),-0.14,-0.51,15.0,2023,210
2,11:11,2.0,9.0,MIN 17,7.0,3.0,Nick Mullens pass incomplete short middle intended for Justin Jefferson,-0.51,-1.2,15.0,2023,210
2,11:07,3.0,9.0,MIN 17,7.0,3.0,"Penalty on Ed Ingram: False Start, 5 yards (accepted) (no play)",-1.2,-1.89,15.0,2023,210
2,11:07,3.0,14.0,MIN 12,7.0,3.0,Nick Mullens pass complete short middle to T.J. Hockenson for 16 yards (tackle by Jordan Battle and Logan Wilson),-1.89,0.81,15.0,2023,210
2,10:27,1.0,10.0,MIN 28,7.0,3.0,Nick Mullens pass complete short right to K.J. Osborn for 3 yards (tackle by Logan Wilson),0.81,0.67,15.0,2023,210
2,9:48,2.0,7.0,MIN 31,7.0,3.0,Nick Mullens pass complete short middle to Josh Oliver for 12 yards (tackle by DJ Turner),0.67,1.8,15.0,2023,210
2,9:06,1.0,10.0,MIN 43,7.0,3.0,Nick Mullens pass complete deep left to Jordan Addison for 19 yards (tackle by Jordan Battle),1.8,3.05,15.0,2023,210
2,8:23,1.0,10.0,CIN 38,7.0,3.0,Ty Chandler right end for 8 yards (tackle by B.J. Hill and Daxton Hill),3.05,3.59,15.0,2023,210
2,7:48,2.0,2.0,CIN 30,7.0,3.0,Nick Mullens pass complete short left to Johnny Mundt for 3 yards (tackle by Daxton Hill),3.59,3.78,15.0,2023,210
2,7:09,1.0,10.0,CIN 27,7.0,3.0,Justin Jefferson pass incomplete deep middle intended for K.J. Osborn,3.78,3.23,15.0,2023,210
2,7:04,2.0,10.0,CIN 27,7.0,3.0,Ty Chandler left tackle for 2 yards (tackle by Cameron Sample),3.23,2.81,15.0,2023,210
2,6:20,3.0,8.0,CIN 25,7.0,3.0,Nick Mullens pass complete short right to T.J. Hockenson for 10 yards (tackle by Nick Scott),2.81,4.58,15.0,2023,210
2,5:35,1.0,10.0,CIN 15,7.0,3.0,Ty Chandler right guard for -1 yards (tackle by Mike Hilton),4.58,3.81,15.0,2023,210
2,4:58,2.0,11.0,CIN 16,7.0,3.0,Nick Mullens scrambles right end for 2 yards (tackle by Chidobe Awuzie),3.81,3.24,15.0,2023,210
2,4:14,3.0,9.0,CIN 14,7.0,3.0,Nick Mullens pass short middle intended for Justin Jefferson is intercepted by Mike Hilton at CIN-1 and returned for 16 yards (tackle by Dalton Risner),3.24,0.06,15.0,2023,210
2,4:06,1.0,10.0,CIN 17,7.0,3.0,Chase Brown right end for 3 yards (tackle by Patrick Jones),-0.06,-0.06,15.0,2023,210
2,3:27,2.0,7.0,CIN 20,7.0,3.0,Joe Mixon right guard for 4 yards (tackle by Ivan Pace),-0.06,-0.37,15.0,2023,210
2,2:44,3.0,3.0,CIN 24,7.0,3.0,Jake Browning pass complete short right to Tanner Hudson for 10 yards (tackle by Harrison Smith and Sheldon Day),-0.37,1.2,15.0,2023,210
2,2:00,1.0,10.0,CIN 34,7.0,3.0,Jake Browning pass incomplete short right intended for Drew Sample,1.2,0.66,15.0,2023,210
2,1:56,2.0,10.0,CIN 34,7.0,3.0,Jake Browning sacked by Danielle Hunter for -14 yards,0.66,-1.88,15.0,2023,210
2,1:49,,,,,,Timeout #1 by Minnesota Vikings,,,15.0,2023,210
2,1:49,3.0,24.0,CIN 20,7.0,3.0,Trayveon Williams up the middle for 10 yards (tackle by Josh Metellus),-1.88,-1.37,15.0,2023,210
2,1:44,,,,,,Timeout #2 by Minnesota Vikings,,,15.0,2023,210
2,1:44,4.0,14.0,CIN 30,7.0,3.0,"Brad Robbins punts 36 yards, returned by Brandon Powell for no gain",-1.37,-1.2,15.0,2023,210
2,1:37,1.0,10.0,MIN 34,7.0,3.0,"Nick Mullens pass incomplete short left intended for Justin Jefferson (defended by DJ Turner) Replay Assistant challenged the pass completion ruling, and the original play was overturned. Nick Mullens pass complete short left to Justin Jefferson for 6 yards (tackle by DJ Turner)",1.2,1.47,15.0,2023,210
2,1:33,2.0,4.0,MIN 40,7.0,3.0,Nick Mullens pass complete deep right to Jordan Addison for 35 yards (tackle by DJ Turner and Jordan Battle),1.47,3.91,15.0,2023,210
2,1:05,1.0,10.0,CIN 25,7.0,3.0,Nick Mullens pass complete short right to Justin Jefferson for 9 yards (tackle by Chidobe Awuzie and Jordan Battle),3.91,4.75,15.0,2023,210
2,0:38,2.0,1.0,CIN 16,7.0,3.0,Nick Mullens sacked by Myles Murphy for -6 yards,4.75,3.07,15.0,2023,210
2,0:31,3.0,7.0,CIN 22,7.0,3.0,Nick Mullens pass short middle is intercepted by B.J. Hill at CIN-30 and returned for no gain (tackle by David Quessenberry),3.07,-0.94,15.0,2023,210
2,0:25,1.0,10.0,CIN 30,7.0,3.0,Jake Browning sacked by D.J. Wonnum for no gain,0.94,0.39,15.0,2023,210
2,0:17,2.0,10.0,CIN 30,7.0,3.0,"Jake Browning pass complete deep right to Tee Higgins for 40 yards (tackle by Mekhi Blackmon) Replay Assistant challenged the pass completion ruling, and the original play was overturned. Jake Browning pass incomplete deep right intended for Tee Higgins (defended by Mekhi Blackmon)",0.39,-0.3,15.0,2023,210
2,0:11,,,,,,Timeout #2 by Cincinnati Bengals,,,15.0,2023,210
2,0:11,3.0,10.0,CIN 30,7.0,3.0,"Chase Brown right tackle for 6 yards. Chase Brown fumbles (forced by Byron Murphy) (tackle by Patrick Jones and Byron Murphy), recovered by Chase Brown at CIN-36",-0.3,-0.98,15.0,2023,210
3,15:00,,,CIN 35,7.0,3.0,"Evan McPherson kicks off 64 yards, returned by Kene Nwangwu for 14 yards (tackle by Trayveon Williams). Penalty on Brian Asamoah: Defensive Illegal Blindside Block, 7 yards (accepted)",0.0,-0.38,15.0,2023,210
3,14:54,1.0,10.0,MIN 8,7.0,3.0,Ty Chandler right tackle for 24 yards (tackle by Jordan Battle),-0.38,1.07,15.0,2023,210
3,14:22,1.0,10.0,MIN 32,7.0,3.0,Ty Chandler right end for 3 yards (tackle by Jordan Battle),1.07,0.93,15.0,2023,210
3,13:43,2.0,7.0,MIN 35,7.0,3.0,Nick Mullens pass complete short left to Justin Jefferson for 12 yards,0.93,2.06,15.0,2023,210
3,13:04,1.0,10.0,MIN 47,7.0,3.0,Ty Chandler right tackle for 4 yards (tackle by Josh Tupou and Jordan Battle),2.06,2.06,15.0,2023,210
3,12:17,2.0,6.0,CIN 49,7.0,3.0,Nick Mullens pass complete short left to Jordan Addison for 10 yards (tackle by DJ Turner),2.06,2.98,15.0,2023,210
3,11:42,1.0,10.0,CIN 39,7.0,3.0,Nick Mullens pass incomplete short right,2.98,2.44,15.0,2023,210
3,11:39,2.0,10.0,CIN 39,7.0,3.0,Ty Chandler right tackle for 2 yards (tackle by Myles Murphy and B.J. Hill),2.44,2.02,15.0,2023,210
3,10:54,3.0,8.0,CIN 37,13.0,3.0,"Nick Mullens pass complete short middle to Jordan Addison for 37 yards, touchdown",2.02,7.0,15.0,2023,210
3,10:46,,,CIN 15,14.0,3.0,Greg Joseph kicks extra point good,0.0,0.0,15.0,2023,210
3,10:46,,,MIN 35,14.0,3.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,210
3,10:46,1.0,10.0,CIN 25,14.0,3.0,Joe Mixon left guard for 7 yards (tackle by Camryn Bynum),0.61,1.01,15.0,2023,210
3,10:23,2.0,3.0,CIN 32,14.0,3.0,Chase Brown right end for 5 yards (tackle by D.J. Wonnum),1.01,1.4,15.0,2023,210
3,9:48,1.0,10.0,CIN 37,14.0,3.0,Jake Browning pass complete short left to Charlie Jones for 3 yards (tackle by Josh Metellus),1.4,1.26,15.0,2023,210
3,9:16,2.0,7.0,CIN 40,14.0,3.0,Jake Browning pass deep left intended for Irv Smith is intercepted by Akayleb Evans at MIN-42 and returned for 1 yard (tackle by Irv Smith),1.26,-1.8,15.0,2023,210
3,9:08,1.0,10.0,MIN 43,14.0,3.0,Ty Chandler left guard for 4 yards (tackle by Zachary Carter and Jordan Battle),1.8,1.79,15.0,2023,210
3,8:26,2.0,6.0,MIN 47,14.0,3.0,Nick Mullens pass complete short left to Justin Jefferson for 14 yards (tackle by Chidobe Awuzie and Germaine Pratt),1.79,2.98,15.0,2023,210
3,7:47,1.0,10.0,CIN 39,14.0,3.0,Nick Mullens pass complete short right to Ty Chandler for 5 yards (tackle by Logan Wilson and Josh Tupou),2.98,3.12,15.0,2023,210
3,7:01,2.0,5.0,CIN 34,14.0,3.0,Nick Mullens pass complete short right to Justin Jefferson for 7 yards (tackle by Chidobe Awuzie),3.12,3.78,15.0,2023,210
3,6:17,1.0,10.0,CIN 27,14.0,3.0,Ty Chandler right end for 9 yards (tackle by Sam Hubbard),3.78,4.53,15.0,2023,210
3,5:34,2.0,1.0,CIN 18,14.0,3.0,"Penalty on Christian Darrisaw: False Start, 5 yards (accepted) (no play)",4.53,3.77,15.0,2023,210
3,5:21,2.0,6.0,CIN 23,14.0,3.0,Nick Mullens pass complete short left to Josh Oliver for 2 yards (tackle by Mike Hilton),3.77,3.34,15.0,2023,210
3,4:39,3.0,4.0,CIN 21,14.0,3.0,Nick Mullens pass incomplete short right intended for T.J. Hockenson,3.34,2.13,15.0,2023,210
3,4:36,4.0,4.0,CIN 21,17.0,3.0,Greg Joseph 39 yard field goal good,2.13,3.0,15.0,2023,210
3,4:32,,,MIN 35,17.0,3.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,210
3,4:32,1.0,10.0,CIN 25,17.0,3.0,Chase Brown right end for 6 yards (tackle by Ivan Pace),0.61,0.87,15.0,2023,210
3,3:51,2.0,4.0,CIN 31,17.0,3.0,Jake Browning pass complete short left to Joe Mixon for 3 yards (tackle by Troy Dye),0.87,0.56,15.0,2023,210
3,3:08,3.0,1.0,CIN 34,17.0,3.0,Jake Browning pass complete short left to Tanner Hudson for 7 yards (tackle by Camryn Bynum),0.56,1.66,15.0,2023,210
3,2:24,1.0,10.0,CIN 41,17.0,3.0,Jake Browning pass complete short left to Tanner Hudson for 14 yards (tackle by Byron Murphy),1.66,2.59,15.0,2023,210
3,1:47,1.0,10.0,MIN 45,17.0,3.0,Jake Browning pass complete short middle to Irv Smith for 14 yards (tackle by Ivan Pace),2.59,3.51,15.0,2023,210
3,1:09,1.0,10.0,MIN 31,17.0,3.0,Jake Browning pass complete short right to Trayveon Williams for 2 yards (tackle by Byron Murphy),3.51,3.24,15.0,2023,210
3,0:32,2.0,8.0,MIN 29,17.0,3.0,Jake Browning pass complete short middle to Ja'Marr Chase for 16 yards (tackle by Harrison Smith),3.24,4.71,15.0,2023,210
4,15:00,1.0,10.0,MIN 13,17.0,9.0,"Jake Browning pass complete short left to Tee Higgins for 13 yards, touchdown",4.71,7.0,15.0,2023,210
4,14:56,,,MIN 15,17.0,10.0,Evan McPherson kicks extra point good,0.0,0.0,15.0,2023,210
4,14:56,,,CIN 35,17.0,10.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,210
4,14:56,1.0,10.0,MIN 25,17.0,10.0,Ty Chandler right guard for 2 yards (tackle by Josh Tupou),0.61,0.33,15.0,2023,210
4,14:17,2.0,8.0,MIN 27,17.0,10.0,Nick Mullens pass incomplete deep left intended for Justin Jefferson (defended by Mike Hilton) (defended by Daxton Hill),0.33,-0.36,15.0,2023,210
4,14:11,3.0,8.0,MIN 27,17.0,10.0,"Penalty on Christian Darrisaw: False Start, 5 yards (accepted) (no play)",-0.36,-1.02,15.0,2023,210
4,14:11,3.0,13.0,MIN 22,17.0,10.0,Nick Mullens pass complete short middle to T.J. Hockenson for 8 yards (tackle by Logan Wilson),-1.02,-1.37,15.0,2023,210
4,13:33,4.0,5.0,MIN 30,17.0,10.0,"Ryan Wright punts 41 yards, returned by Charlie Jones for 8 yards (tackle by Troy Dye)",-1.37,-1.4,15.0,2023,210
4,13:22,1.0,10.0,CIN 37,17.0,10.0,Jake Browning pass complete short right to Joe Mixon for 7 yards (tackle by Ivan Pace),1.4,1.8,15.0,2023,210
4,12:45,2.0,3.0,CIN 44,17.0,10.0,Joe Mixon left end for 10 yards (tackle by Camryn Bynum),1.8,2.52,15.0,2023,210
4,12:05,1.0,10.0,MIN 46,17.0,10.0,Jake Browning pass complete short middle to Tee Higgins for 14 yards (tackle by Camryn Bynum),2.52,3.45,15.0,2023,210
4,11:27,1.0,10.0,MIN 32,17.0,10.0,Jake Browning pass incomplete short right intended for Tyler Boyd (defended by D.J. Wonnum),3.45,2.9,15.0,2023,210
4,11:24,2.0,10.0,MIN 32,17.0,10.0,"Jake Browning pass incomplete deep left. Penalty on Jake Browning: Intentional Grounding, 11 yards (accepted)",2.9,0.76,15.0,2023,210
4,11:19,3.0,21.0,MIN 43,17.0,10.0,Jake Browning pass complete deep middle to Ja'Marr Chase for 24 yards (tackle by Ivan Pace),0.76,4.31,15.0,2023,210
4,10:34,1.0,10.0,MIN 19,17.0,10.0,Jake Browning pass complete short middle to Mitchell Wilcox for 10 yards (tackle by Camryn Bynum),4.31,5.14,15.0,2023,210
4,9:55,1.0,9.0,MIN 9,17.0,10.0,Joe Mixon right guard for 6 yards (tackle by D.J. Wonnum and Camryn Bynum),5.14,5.53,15.0,2023,210
4,9:18,2.0,3.0,MIN 3,17.0,10.0,Joe Mixon up the middle for 2 yards (tackle by Harrison Phillips),5.53,5.17,15.0,2023,210
4,8:36,3.0,1.0,MIN 1,17.0,10.0,Jake Browning up the middle for no gain (tackle by Sheldon Day and Troy Dye),5.17,3.55,15.0,2023,210
4,7:49,4.0,1.0,MIN 1,17.0,16.0,"Joe Mixon left guard for 1 yard, touchdown",3.55,7.0,15.0,2023,210
4,7:46,,,MIN 15,17.0,17.0,Evan McPherson kicks extra point good,0.0,0.0,15.0,2023,210
4,7:46,,,CIN 35,17.0,17.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,210
4,7:46,1.0,10.0,MIN 25,17.0,17.0,Nick Mullens pass complete deep middle to Justin Jefferson for 19 yards (tackle by Germaine Pratt),0.61,1.86,15.0,2023,210
4,7:09,1.0,10.0,MIN 44,17.0,17.0,Ty Chandler right end for no gain (tackle by Daxton Hill and Germaine Pratt),1.86,1.32,15.0,2023,210
4,6:29,2.0,10.0,MIN 44,17.0,17.0,"Nick Mullens pass short right is intercepted by Germaine Pratt at MIN-44 and returned for no gain, touchdown. Penalty on Trey Hendrickson: Defensive Offside, 5 yards (accepted) (no play)",1.32,1.99,15.0,2023,210
4,6:21,2.0,5.0,MIN 49,17.0,17.0,Ty Chandler left guard for 7 yards (tackle by Sam Hubbard),1.99,2.65,15.0,2023,210
4,5:56,1.0,10.0,CIN 44,17.0,17.0,Nick Mullens pass complete short right to Jordan Addison for 9 yards (tackle by DJ Turner),2.65,3.33,15.0,2023,210
4,5:22,2.0,1.0,CIN 35,17.0,17.0,Ty Chandler left tackle for 4 yards (tackle by Jordan Battle and DJ Turner),3.33,3.51,15.0,2023,210
4,4:46,1.0,10.0,CIN 31,17.0,17.0,Ty Chandler left guard for 30 yards (tackle by Jordan Battle and DJ Turner),3.51,6.97,15.0,2023,210
4,3:57,1.0,1.0,CIN 1,23.0,17.0,"Nick Mullens pass complete short right to Jordan Addison for 1 yard, touchdown",6.97,7.0,15.0,2023,210
4,3:48,,,CIN 15,24.0,17.0,Greg Joseph kicks extra point good,0.0,0.0,15.0,2023,210
4,3:48,,,MIN 35,24.0,17.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,210
4,3:48,1.0,10.0,CIN 25,24.0,17.0,Jake Browning pass complete short middle to Tanner Hudson for 13 yards (tackle by Josh Metellus),0.61,1.47,15.0,2023,210
4,3:16,1.0,10.0,CIN 38,24.0,17.0,Jake Browning pass complete short right to Joe Mixon for 4 yards (tackle by Harrison Smith),1.47,1.46,15.0,2023,210
4,2:28,2.0,6.0,CIN 42,24.0,17.0,Jake Browning pass complete short right to Tyler Boyd for 9 yards (tackle by Byron Murphy),1.46,2.32,15.0,2023,210
4,2:22,1.0,10.0,MIN 49,24.0,17.0,Chase Brown left guard for 3 yards (tackle by Ivan Pace),2.32,2.19,15.0,2023,210
4,2:00,2.0,7.0,MIN 46,24.0,17.0,Jake Browning pass complete short right to Tee Higgins for 13 yards (tackle by Camryn Bynum),2.19,3.38,15.0,2023,210
4,1:29,1.0,10.0,MIN 33,24.0,17.0,Jake Browning pass complete short right to Charlie Jones for 7 yards (tackle by Harrison Smith),3.38,3.78,15.0,2023,210
4,1:01,2.0,3.0,MIN 26,24.0,17.0,Jake Browning pass incomplete deep right,3.78,3.07,15.0,2023,210
4,0:56,3.0,3.0,MIN 26,24.0,17.0,Jake Browning pass complete short left to Andrei Iosivas for 5 yards (tackle by Mekhi Blackmon),3.07,4.17,15.0,2023,210
4,0:50,1.0,10.0,MIN 21,24.0,17.0,Jake Browning pass incomplete short right intended for Tyler Boyd (defended by Harrison Smith),4.17,3.63,15.0,2023,210
4,0:48,2.0,10.0,MIN 21,24.0,23.0,"Jake Browning pass complete deep right to Tee Higgins for 21 yards, touchdown",3.63,7.0,15.0,2023,210
4,0:39,,,MIN 15,24.0,24.0,Evan McPherson kicks extra point good,0.0,0.0,15.0,2023,210
4,0:39,,,CIN 35,24.0,24.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,210
4,0:39,1.0,10.0,MIN 25,24.0,24.0,Nick Mullens sacked by Trey Hendrickson for -7 yards,0.61,-0.98,15.0,2023,210
4,0:33,,,,,,Timeout #1 by Cincinnati Bengals,,,15.0,2023,210
4,0:33,2.0,17.0,MIN 18,24.0,24.0,Nick Mullens pass complete short right to Ty Chandler for 4 yards (tackle by Cameron Sample),-0.98,-1.02,15.0,2023,210
4,0:26,,,,,,Timeout #2 by Cincinnati Bengals,,,15.0,2023,210
4,0:26,3.0,13.0,MIN 22,24.0,24.0,Nick Mullens scrambles up the middle for 5 yards (tackle by Logan Wilson),-1.02,-1.57,15.0,2023,210
4,0:19,,,,,,Timeout #3 by Cincinnati Bengals,,,15.0,2023,210
4,0:19,4.0,8.0,MIN 27,24.0,24.0,"Ryan Wright punts 53 yards, returned by Andrei Iosivas for no gain",-1.57,-0.28,15.0,2023,210
4,0:10,1.0,10.0,CIN 20,24.0,24.0,Jake Browning kneels for -1 yards,0.28,0.0,15.0,2023,210
,,,,,,,"Bengals won the coin toss, Bengals to receive the overtime kickoff.",,,15.0,2023,210
OT,10:00,,,MIN 35,24.0,24.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,210
OT,10:00,1.0,10.0,CIN 25,24.0,24.0,Jake Browning sacked by Josh Metellus for -1 yards,0.61,-0.07,15.0,2023,210
OT,9:25,2.0,11.0,CIN 24,24.0,24.0,Jake Browning sacked by Jonathan Bullard for -7 yards,-0.07,-1.93,15.0,2023,210
OT,8:41,3.0,18.0,CIN 17,24.0,24.0,Jake Browning pass incomplete deep right intended for Tee Higgins (defended by Akayleb Evans),-1.93,-2.32,15.0,2023,210
OT,8:31,4.0,18.0,CIN 17,24.0,24.0,"Brad Robbins punts 56 yards, returned by Brandon Powell for 10 yards (tackle by Markus Bailey)",-2.32,-1.4,15.0,2023,210
OT,8:20,1.0,10.0,MIN 37,24.0,24.0,Nick Mullens pass complete short middle to T.J. Hockenson for 12 yards (tackle by Daxton Hill),1.4,2.19,15.0,2023,210
OT,7:39,1.0,10.0,MIN 49,24.0,24.0,Ty Chandler left guard for 1 yard (tackle by Germaine Pratt and Myles Murphy),2.19,1.78,15.0,2023,210
OT,6:58,2.0,9.0,MIN 50,24.0,24.0,Nick Mullens pass complete short left to T.J. Hockenson for 8 yards (tackle by Daxton Hill),1.78,2.15,15.0,2023,210
OT,6:36,,,,,,Timeout #1 by Cincinnati Bengals,,,15.0,2023,210
OT,6:36,3.0,1.0,CIN 42,24.0,24.0,Nick Mullens up the middle for no gain (tackle by Joseph Ossai),2.15,0.46,15.0,2023,210
OT,6:19,4.0,1.0,CIN 42,24.0,24.0,Nick Mullens for no gain (tackle by B.J. Hill and Trey Hendrickson),0.46,-1.73,15.0,2023,210
OT,6:12,1.0,10.0,CIN 42,24.0,24.0,Joe Mixon right guard for 1 yard (tackle by D.J. Wonnum and Ivan Pace),1.73,1.32,15.0,2023,210
OT,5:36,2.0,9.0,CIN 43,24.0,24.0,Jake Browning pass incomplete short middle intended for Andrei Iosivas,1.32,0.63,15.0,2023,210
OT,5:31,3.0,9.0,CIN 43,24.0,24.0,Jake Browning pass complete deep right to Tyler Boyd for 44 yards (tackle by Camryn Bynum),0.63,4.71,15.0,2023,210
OT,4:36,,,,,,Timeout #2 by Cincinnati Bengals,,,15.0,2023,210
