Quarter,Time,Down,ToGo,Location,DAL,BUF,Detail,EPB,EPA,week,year,game_id
1.0,8:06,1.0,10.0,DAL 25,0.0,7.0,Tony Pollard up the middle for 4 yards (tackle by Jordan Poyer),0.61,0.6,15.0,2023,222
1.0,7:31,2.0,6.0,DAL 29,0.0,7.0,Dak Prescott pass incomplete deep middle intended for Brandin Cooks,0.6,-0.1,15.0,2023,222
1.0,7:25,3.0,6.0,DAL 29,0.0,7.0,Dak Prescott scrambles right end for 13 yards (tackle by Taylor Rapp),-0.1,1.73,15.0,2023,222
1.0,7:06,1.0,10.0,DAL 42,0.0,7.0,"Penalty on Taylor Rapp: Unnecessary Roughness / Defense, 15 yards (offset) Penalty on Zack Martin: Unnecessary Roughness / Offense, 15 yards (offset) (no play)",1.73,1.73,15.0,2023,222
1.0,7:06,1.0,10.0,DAL 42,0.0,7.0,Dak Prescott pass complete short right to CeeDee Lamb for 15 yards (tackle by Rasul Douglas and Jordan Poyer),1.73,2.72,15.0,2023,222
1.0,6:35,1.0,10.0,BUF 43,0.0,7.0,Tony Pollard left guard for 5 yards (tackle by Terrel Bernard),2.72,2.85,15.0,2023,222
1.0,6:02,2.0,5.0,BUF 38,0.0,7.0,"Tony Pollard up the middle for 3 yards (tackle by Taylor Rapp and Jordan Poyer). Penalty on Tyler Smith: Offensive Holding, 10 yards (accepted)",2.85,1.91,15.0,2023,222
1.0,5:31,2.0,12.0,BUF 45,0.0,7.0,Rico Dowdle right guard for -2 yards (tackle by Gregory Rousseau),1.91,0.96,15.0,2023,222
1.0,4:50,3.0,14.0,BUF 47,0.0,7.0,Dak Prescott sacked by Leonard Floyd for -9 yards,0.96,-0.46,15.0,2023,222
1.0,4:08,4.0,23.0,DAL 44,0.0,7.0,"Bryan Anger punts 43 yards, fair catch by Deonte Harty at BUF-13",-0.46,0.32,15.0,2023,222
1.0,4:01,1.0,10.0,BUF 13,0.0,7.0,Ty Johnson right tackle for 7 yards (tackle by Damone Clark and Juanyeh Thomas),-0.32,0.22,15.0,2023,222
1.0,3:21,2.0,3.0,BUF 20,0.0,7.0,Josh Allen pass incomplete deep left intended for Gabriel Davis,0.22,-0.59,15.0,2023,222
1.0,3:15,3.0,3.0,BUF 20,0.0,7.0,Josh Allen pass incomplete short right intended for Stefon Diggs (defended by Stephon Gilmore),-0.59,-2.03,15.0,2023,222
1.0,3:11,4.0,3.0,BUF 20,0.0,7.0,"Sam Martin punts 46 yards, fair catch by KaVontae Turpin at DAL-34",-2.03,-1.2,15.0,2023,222
1.0,3:04,1.0,10.0,DAL 34,0.0,7.0,Dak Prescott pass incomplete short right intended for Brandin Cooks (defended by Christian Benford),1.2,0.66,15.0,2023,222
1.0,2:59,2.0,10.0,DAL 34,0.0,7.0,Dak Prescott pass incomplete short middle intended for Tony Pollard,0.66,-0.03,15.0,2023,222
1.0,2:53,3.0,10.0,DAL 34,0.0,7.0,Dak Prescott pass incomplete short right,-0.03,-1.11,15.0,2023,222
1.0,2:45,4.0,10.0,DAL 34,0.0,7.0,"Bryan Anger punts 52 yards, fair catch by Deonte Harty at BUF-14",-1.11,0.28,15.0,2023,222
1.0,2:36,1.0,10.0,BUF 14,0.0,7.0,James Cook left guard for 8 yards (tackle by Donovan Wilson),-0.28,0.42,15.0,2023,222
1.0,1:59,2.0,2.0,BUF 22,0.0,7.0,James Cook up the middle for 2 yards (tackle by Damone Clark),0.42,0.54,15.0,2023,222
1.0,1:15,1.0,10.0,BUF 24,0.0,7.0,James Cook up the middle for 2 yards (tackle by Chauncey Golston),0.54,0.27,15.0,2023,222
1.0,0:35,2.0,8.0,BUF 26,0.0,7.0,Josh Allen pass incomplete short middle intended for Dalton Kincaid,0.27,-0.43,15.0,2023,222
1.0,0:31,3.0,8.0,BUF 26,0.0,7.0,Josh Allen pass incomplete short right,-0.43,-1.63,15.0,2023,222
1.0,0:25,4.0,8.0,BUF 26,0.0,7.0,"Sam Martin punts, returned by KaVontae Turpin for no gain (tackle by Tyrel Dodson). Penalty on Sam Williams: Roughing the Kicker, 15 yards (accepted) (no play)",-1.63,1.66,15.0,2023,222
1.0,0:14,1.0,10.0,BUF 41,0.0,7.0,Josh Allen pass incomplete short left intended for Dalton Kincaid,1.66,1.12,15.0,2023,222
1.0,0:11,2.0,10.0,BUF 41,0.0,7.0,Josh Allen pass complete short right to James Cook for 24 yards (tackle by Damone Clark and Stephon Gilmore),1.12,3.25,15.0,2023,222
2.0,15:00,1.0,10.0,DAL 35,0.0,7.0,James Cook left end for 8 yards (tackle by Rashaan Evans),3.25,3.78,15.0,2023,222
2.0,14:19,2.0,2.0,DAL 27,0.0,7.0,James Cook right guard for 1 yard (tackle by Damone Clark and Osa Odighizuwa),3.78,3.2,15.0,2023,222
2.0,13:38,3.0,1.0,DAL 26,0.0,7.0,Ty Johnson left end for 8 yards (tackle by Jourdan Lewis and Donovan Wilson),3.2,4.37,15.0,2023,222
2.0,12:57,1.0,10.0,DAL 18,0.0,13.0,"Josh Allen pass complete deep right to James Cook for 18 yards, touchdown",4.37,7.0,15.0,2023,222
2.0,12:52,,,DAL 15,0.0,14.0,Tyler Bass kicks extra point good,0.0,0.0,15.0,2023,222
2.0,12:52,,,BUF 35,0.0,14.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,222
2.0,12:52,1.0,10.0,DAL 25,0.0,14.0,Rico Dowdle up the middle for 1 yard (tackle by Taron Johnson),0.61,0.2,15.0,2023,222
2.0,12:15,2.0,9.0,DAL 26,0.0,14.0,"Dak Prescott scrambles right tackle for 5 yards (tackle by Tyrel Dodson). Penalty on Tyrel Dodson: Unnecessary Roughness / Defense, 15 yards (accepted)",0.2,1.99,15.0,2023,222
2.0,11:52,1.0,10.0,DAL 46,0.0,14.0,Dak Prescott pass complete short left to Brandin Cooks for 2 yards (tackle by Jordan Poyer),1.99,1.72,15.0,2023,222
2.0,11:08,2.0,8.0,DAL 48,0.0,14.0,Dak Prescott pass complete short right to Rico Dowdle for 4 yards (tackle by Taron Johnson),1.72,1.55,15.0,2023,222
2.0,10:29,3.0,4.0,BUF 48,0.0,14.0,Dak Prescott pass complete deep left to CeeDee Lamb for 16 yards (tackle by Taylor Rapp),1.55,3.45,15.0,2023,222
2.0,9:48,1.0,10.0,BUF 32,0.0,14.0,Rico Dowdle up the middle for 5 yards (tackle by Tyrel Dodson and Shaq Lawson),3.45,3.58,15.0,2023,222
2.0,9:09,2.0,5.0,BUF 27,0.0,14.0,Tony Pollard up the middle for 7 yards (tackle by Terrel Bernard and Taylor Rapp),3.58,4.24,15.0,2023,222
2.0,8:36,1.0,10.0,BUF 20,0.0,14.0,Tony Pollard right guard for 9 yards (tackle by Jordan Poyer),4.24,5.26,15.0,2023,222
2.0,7:58,2.0,1.0,BUF 11,0.0,14.0,Tony Pollard up the middle for -3 yards (tackle by Taylor Rapp),5.26,3.89,15.0,2023,222
2.0,7:20,3.0,4.0,BUF 14,0.0,14.0,Dak Prescott pass incomplete short left intended for Jake Ferguson (defended by Ed Oliver) (defended by Jordan Phillips),3.89,2.58,15.0,2023,222
2.0,7:16,4.0,4.0,BUF 14,3.0,14.0,Brandon Aubrey 32 yard field goal good,2.58,3.0,15.0,2023,222
2.0,7:13,,,DAL 35,3.0,14.0,"Brandon Aubrey kicks off 62 yards, returned by Ty Johnson for 21 yards (tackle by Tyrus Wheat and Nahshon Wright)",0.0,0.54,15.0,2023,222
2.0,7:06,1.0,10.0,BUF 24,3.0,14.0,James Cook right guard for 12 yards (tackle by Damone Clark),0.54,1.33,15.0,2023,222
2.0,6:26,1.0,10.0,BUF 36,3.0,14.0,James Cook right end for 4 yards (tackle by Stephon Gilmore and Markquese Bell),1.33,1.33,15.0,2023,222
2.0,5:41,2.0,6.0,BUF 40,3.0,14.0,Josh Allen pass complete short left to Stefon Diggs for 7 yards (tackle by Stephon Gilmore and Markquese Bell),1.33,2.06,15.0,2023,222
2.0,5:11,1.0,10.0,BUF 47,3.0,14.0,Josh Allen sacked by Mazi Smith for -9 yards,2.06,0.3,15.0,2023,222
2.0,4:23,2.0,19.0,BUF 38,3.0,14.0,"Josh Allen pass incomplete deep left intended for Khalil Shakir. Penalty on Jayron Kearse: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.3,2.46,15.0,2023,222
2.0,4:18,1.0,10.0,DAL 47,3.0,14.0,James Cook right guard for 4 yards (tackle by Dorance Armstrong),2.46,2.45,15.0,2023,222
2.0,3:38,2.0,6.0,DAL 43,3.0,14.0,Josh Allen scrambles right tackle for 9 yards (tackle by Damone Clark),2.45,3.31,15.0,2023,222
2.0,2:54,1.0,10.0,DAL 34,3.0,14.0,James Cook left end for 9 yards (tackle by Jourdan Lewis),3.31,3.99,15.0,2023,222
2.0,2:12,2.0,1.0,DAL 25,3.0,14.0,Ty Johnson up the middle for 4 yards (tackle by Donovan Wilson),3.99,4.17,15.0,2023,222
2.0,2:00,1.0,10.0,DAL 21,3.0,14.0,James Cook right guard for 20 yards (tackle by Jayron Kearse),4.17,6.97,15.0,2023,222
2.0,1:42,,,,,,Timeout #1 by Dallas Cowboys,,,15.0,2023,222
2.0,1:42,1.0,1.0,DAL 1,3.0,14.0,Latavius Murray up the middle for no gain (tackle by Rashaan Evans),6.97,5.91,15.0,2023,222
2.0,1:39,,,,,,Timeout #2 by Dallas Cowboys,,,15.0,2023,222
2.0,1:39,2.0,1.0,DAL 1,3.0,20.0,"Josh Allen left guard for 1 yard, touchdown",5.91,7.0,15.0,2023,222
2.0,1:36,,,DAL 15,3.0,21.0,Tyler Bass kicks extra point good,0.0,0.0,15.0,2023,222
2.0,1:36,,,BUF 35,3.0,21.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,222
2.0,1:36,1.0,10.0,DAL 25,3.0,21.0,Tony Pollard up the middle for 8 yards (tackle by Cameron Lewis),0.61,1.14,15.0,2023,222
2.0,1:19,2.0,2.0,DAL 33,3.0,21.0,Dak Prescott pass complete short left to CeeDee Lamb for 2 yards (tackle by Taron Johnson),1.14,1.27,15.0,2023,222
2.0,1:00,1.0,10.0,DAL 35,3.0,21.0,Dak Prescott pass incomplete short right intended for CeeDee Lamb,1.27,0.72,15.0,2023,222
2.0,0:56,2.0,10.0,DAL 35,3.0,21.0,Dak Prescott pass complete short middle to Rico Dowdle for 4 yards (tackle by Cameron Lewis),0.72,0.56,15.0,2023,222
2.0,0:37,3.0,6.0,DAL 39,3.0,21.0,Dak Prescott pass incomplete short left intended for Jake Ferguson (defended by Cameron Lewis),0.56,-0.78,15.0,2023,222
2.0,0:34,4.0,6.0,DAL 39,3.0,21.0,Bryan Anger punts 56 yards downed by Nahshon Wright,-0.78,0.38,15.0,2023,222
2.0,0:19,1.0,10.0,BUF 5,3.0,21.0,Josh Allen kneels for -1 yards,-0.38,-0.85,15.0,2023,222
3.0,15:00,,,BUF 35,3.0,21.0,"Tyler Bass kicks off 67 yards, returned by KaVontae Turpin for 20 yards (tackle by Cameron Lewis)",0.0,0.04,15.0,2023,222
3.0,14:55,1.0,10.0,DAL 18,3.0,21.0,Dak Prescott pass complete short right to Brandin Cooks for 8 yards (tackle by Christian Benford),0.04,0.68,15.0,2023,222
3.0,14:17,2.0,2.0,DAL 26,3.0,21.0,Tony Pollard right guard for 1 yard (tackle by Tyrel Dodson and Terrel Bernard),0.68,-0.02,15.0,2023,222
3.0,13:36,3.0,1.0,DAL 27,3.0,21.0,Hunter Luepke right guard for 3 yards (tackle by Tyrel Dodson),-0.02,0.94,15.0,2023,222
3.0,13:03,1.0,10.0,DAL 30,3.0,21.0,Dak Prescott pass complete short middle to Jake Ferguson for 7 yards (tackle by Terrel Bernard and Taylor Rapp),0.94,1.34,15.0,2023,222
3.0,12:26,2.0,3.0,DAL 37,3.0,21.0,Tony Pollard left guard for 2 yards (tackle by Linval Joseph and Shaq Lawson),1.34,0.89,15.0,2023,222
3.0,11:50,3.0,1.0,DAL 39,3.0,21.0,Dak Prescott sacked by and Tyrel Dodson for -10 yards and Gregory Rousseau for -10 yards,0.89,-1.44,15.0,2023,222
3.0,11:11,4.0,11.0,DAL 29,3.0,21.0,"Bryan Anger punts 62 yards, returned by Deonte Harty for 21 yards (tackle by Malik Davis)",-1.44,-0.94,15.0,2023,222
3.0,10:58,1.0,10.0,BUF 30,3.0,21.0,James Cook up the middle for 7 yards (tackle by DeMarcus Lawrence and Juanyeh Thomas),0.94,1.34,15.0,2023,222
3.0,10:16,2.0,3.0,BUF 37,3.0,21.0,James Cook left tackle for 2 yards (tackle by DeMarcus Lawrence),1.34,0.89,15.0,2023,222
3.0,9:45,3.0,1.0,BUF 39,3.0,21.0,Josh Allen left guard for 2 yards (tackle by DeMarcus Lawrence),0.89,1.66,15.0,2023,222
3.0,9:09,1.0,10.0,BUF 41,3.0,21.0,Josh Allen pass complete short left to Ty Johnson for 4 yards (tackle by Donovan Wilson),1.66,1.66,15.0,2023,222
3.0,8:36,2.0,6.0,BUF 45,3.0,21.0,James Cook left guard for 5 yards (tackle by Damone Clark),1.66,1.62,15.0,2023,222
3.0,8:16,3.0,1.0,BUF 50,3.0,21.0,Josh Allen left guard for 4 yards (tackle by Juanyeh Thomas),1.62,2.52,15.0,2023,222
3.0,7:25,1.0,10.0,DAL 46,3.0,21.0,James Cook left tackle for 10 yards (tackle by Stephon Gilmore),2.52,3.18,15.0,2023,222
3.0,6:45,1.0,10.0,DAL 36,3.0,21.0,James Cook left guard for 4 yards (tackle by Donovan Wilson),3.18,3.18,15.0,2023,222
3.0,6:05,2.0,6.0,DAL 32,3.0,21.0,Ty Johnson right end for 9 yards (tackle by Jayron Kearse and Juanyeh Thomas),3.18,4.04,15.0,2023,222
3.0,5:23,1.0,10.0,DAL 23,3.0,21.0,Ty Johnson left tackle for 2 yards (tackle by DaRon Bland),4.04,3.77,15.0,2023,222
3.0,4:42,2.0,8.0,DAL 21,3.0,21.0,Ty Johnson left tackle for 11 yards (tackle by Neville Gallimore),3.77,4.91,15.0,2023,222
3.0,4:06,1.0,10.0,DAL 10,3.0,21.0,James Cook left tackle for 2 yards (tackle by Markquese Bell),4.91,4.57,15.0,2023,222
3.0,3:28,2.0,8.0,DAL 8,3.0,21.0,Josh Allen scrambles right guard for 3 yards (tackle by Damone Clark),4.57,4.26,15.0,2023,222
3.0,2:44,3.0,5.0,DAL 5,3.0,21.0,Josh Allen pass incomplete short left intended for James Cook (defended by Juanyeh Thomas),4.26,3.01,15.0,2023,222
3.0,2:39,4.0,5.0,DAL 5,3.0,24.0,Tyler Bass 23 yard field goal good,3.01,3.0,15.0,2023,222
3.0,2:36,,,BUF 35,3.0,24.0,"Tyler Bass kicks off 64 yards, returned by KaVontae Turpin for 23 yards (tackle by Cameron Lewis)",0.0,0.54,15.0,2023,222
3.0,2:32,1.0,10.0,DAL 24,3.0,24.0,Dak Prescott pass complete short left to Jake Ferguson for 1 yard (tackle by Taron Johnson and Tyrel Dodson),0.54,0.13,15.0,2023,222
3.0,2:03,2.0,9.0,DAL 25,3.0,24.0,Dak Prescott pass complete short left to Tony Pollard for no gain (tackle by Tyrel Dodson),0.13,-0.56,15.0,2023,222
3.0,1:22,3.0,9.0,DAL 25,3.0,24.0,Dak Prescott sacked by Jordan Phillips for -9 yards,-0.56,-2.39,15.0,2023,222
3.0,0:50,4.0,18.0,DAL 16,3.0,24.0,"Bryan Anger punts 62 yards, returned by Deonte Harty for 11 yards (tackle by Sam Williams and Chauncey Golston)",-2.39,-1.14,15.0,2023,222
3.0,0:35,1.0,10.0,BUF 33,3.0,24.0,James Cook left tackle for 2 yards (tackle by Damone Clark and Carl Davis),1.14,0.86,15.0,2023,222
4.0,15:00,2.0,8.0,BUF 35,3.0,24.0,James Cook left tackle for 17 yards (tackle by Juanyeh Thomas),0.86,2.39,15.0,2023,222
4.0,14:24,1.0,10.0,DAL 48,3.0,24.0,James Cook up the middle for 2 yards (tackle by Micah Parsons and Dorance Armstrong),2.39,2.12,15.0,2023,222
4.0,13:45,2.0,8.0,DAL 46,3.0,24.0,Josh Allen pass incomplete short left intended for Khalil Shakir,2.12,1.42,15.0,2023,222
4.0,13:41,3.0,8.0,DAL 46,3.0,24.0,Josh Allen pass complete short right to Stefon Diggs for 17 yards (tackle by Juanyeh Thomas),1.42,3.64,15.0,2023,222
4.0,12:53,1.0,10.0,DAL 29,3.0,24.0,"Penalty on DAL: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",3.64,4.37,15.0,2023,222
4.0,12:36,1.0,5.0,DAL 24,3.0,30.0,"James Cook right guard for 24 yards, touchdown",4.37,7.0,15.0,2023,222
4.0,12:30,,,DAL 15,3.0,31.0,Tyler Bass kicks extra point good,0.0,0.0,15.0,2023,222
4.0,12:30,,,BUF 35,3.0,31.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,222
4.0,12:30,1.0,10.0,DAL 25,3.0,31.0,Dak Prescott pass complete short left to Tony Pollard for 5 yards (tackle by Tyrel Dodson),0.61,0.74,15.0,2023,222
4.0,11:59,2.0,5.0,DAL 30,3.0,31.0,Dak Prescott pass incomplete deep middle intended for CeeDee Lamb (defended by Jordan Poyer),0.74,0.04,15.0,2023,222
4.0,11:52,,,,,,Timeout #1 by Buffalo Bills,,,15.0,2023,222
4.0,11:52,3.0,5.0,DAL 30,3.0,31.0,Dak Prescott pass complete short left to Jake Ferguson for 13 yards (tackle by Cameron Lewis),0.04,1.8,15.0,2023,222
4.0,11:27,1.0,10.0,DAL 43,3.0,31.0,Dak Prescott pass incomplete short right intended for CeeDee Lamb (defended by Taron Johnson),1.8,1.25,15.0,2023,222
4.0,11:23,2.0,10.0,DAL 43,3.0,31.0,Dak Prescott pass complete short right to CeeDee Lamb for 5 yards (tackle by Taron Johnson),1.25,1.22,15.0,2023,222
4.0,10:54,3.0,5.0,DAL 48,3.0,31.0,Dak Prescott pass incomplete deep right,1.22,-0.19,15.0,2023,222
4.0,10:47,4.0,5.0,DAL 48,3.0,31.0,Dak Prescott pass short left intended for Brandin Cooks is intercepted by Christian Benford at BUF-40 and returned for 8 yards (tackle by Tyler Smith),-0.19,-2.13,15.0,2023,222
4.0,10:37,1.0,10.0,BUF 48,3.0,31.0,"Ty Johnson right guard for 3 yards. Ty Johnson fumbles (forced by DeMarcus Lawrence), recovered by Ty Johnson at DAL-49",2.13,1.99,15.0,2023,222
4.0,9:57,2.0,7.0,DAL 49,3.0,31.0,Ty Johnson left guard for 4 yards (tackle by Markquese Bell and Osa Odighizuwa),1.99,1.82,15.0,2023,222
4.0,9:09,3.0,3.0,DAL 45,3.0,31.0,Latavius Murray right guard for -4 yards (tackle by DeMarcus Lawrence),1.82,0.0,15.0,2023,222
4.0,8:26,4.0,7.0,DAL 49,3.0,31.0,"Sam Martin punts 49 yards, touchback.",0.0,-0.28,15.0,2023,222
4.0,8:18,1.0,10.0,DAL 20,3.0,31.0,Dak Prescott pass complete short right to Michael Gallup for 9 yards (tackle by Rasul Douglas),0.28,0.95,15.0,2023,222
4.0,7:55,2.0,1.0,DAL 29,3.0,31.0,Dak Prescott pass complete short middle to CeeDee Lamb for 7 yards (tackle by Taron Johnson),0.95,1.33,15.0,2023,222
4.0,7:35,1.0,10.0,DAL 36,3.0,31.0,Dak Prescott pass complete short left to Jake Ferguson for 3 yards (tackle by Jordan Poyer),1.33,1.2,15.0,2023,222
4.0,7:09,2.0,7.0,DAL 39,3.0,31.0,Dak Prescott pass complete short right to Jake Ferguson for 12 yards (tackle by Taron Johnson),1.2,2.32,15.0,2023,222
4.0,6:43,1.0,10.0,BUF 49,3.0,31.0,Dak Prescott pass complete short right to CeeDee Lamb for 3 yards (tackle by Terrel Bernard),2.32,2.19,15.0,2023,222
4.0,6:19,2.0,7.0,BUF 46,3.0,31.0,Dak Prescott pass complete short left to Peyton Hendershot for 5 yards (tackle by Taylor Rapp),2.19,2.15,15.0,2023,222
4.0,5:55,3.0,2.0,BUF 41,3.0,31.0,Tony Pollard up the middle for 5 yards (tackle by Ed Oliver),2.15,3.18,15.0,2023,222
4.0,5:32,1.0,10.0,BUF 36,3.0,31.0,Dak Prescott pass incomplete short left intended for Brandin Cooks,3.18,2.64,15.0,2023,222
4.0,5:31,,,,,,Timeout #2 by Buffalo Bills,,,15.0,2023,222
4.0,5:31,2.0,10.0,BUF 36,3.0,31.0,Dak Prescott pass complete short left to Jake Ferguson for 8 yards (tackle by Dorian Williams),2.64,3.01,15.0,2023,222
4.0,4:58,3.0,2.0,BUF 28,3.0,31.0,Dak Prescott pass incomplete short right intended for Rico Dowdle,3.01,1.7,15.0,2023,222
4.0,4:52,4.0,2.0,BUF 28,3.0,31.0,Dak Prescott scrambles up the middle for 6 yards (tackle by Dorian Williams),1.7,4.11,15.0,2023,222
4.0,4:23,1.0,10.0,BUF 22,3.0,31.0,Dak Prescott pass complete short middle to CeeDee Lamb for 5 yards (tackle by Taylor Rapp),4.11,4.29,15.0,2023,222
4.0,3:55,2.0,5.0,BUF 17,3.0,31.0,Tony Pollard up the middle for 11 yards (tackle by Siran Neal and Dorian Williams),4.29,5.83,15.0,2023,222
4.0,3:20,1.0,6.0,BUF 6,3.0,31.0,Dak Prescott scrambles up the middle for 3 yards (tackle by Linval Joseph and Tyler Matakevich),5.83,5.53,15.0,2023,222
4.0,2:53,2.0,3.0,BUF 3,9.0,31.0,"CeeDee Lamb right end for 3 yards, touchdown",5.53,7.0,15.0,2023,222
4.0,2:48,,,BUF 15,10.0,31.0,Brandon Aubrey kicks extra point good,0.0,0.0,15.0,2023,222
4.0,2:48,,,DAL 35,10.0,31.0,"Brandon Aubrey kicks off 58 yards, returned by Deonte Harty for 7 yards (tackle by Nahshon Wright)",0.0,-0.28,15.0,2023,222
4.0,2:45,1.0,10.0,BUF 14,10.0,31.0,Latavius Murray left guard for 8 yards (tackle by Israel Mukuamu),-0.28,0.42,15.0,2023,222
4.0,2:00,2.0,2.0,BUF 22,10.0,31.0,Latavius Murray up the middle for 5 yards (tackle by Carl Davis and Rashaan Evans),0.42,0.74,15.0,2023,222
4.0,1:18,1.0,10.0,BUF 27,10.0,31.0,Kyle Allen kneels for -1 yards,0.74,0.06,15.0,2023,222
4.0,0:39,2.0,11.0,BUF 26,10.0,31.0,Kyle Allen kneels for -1 yards,0.06,-0.76,15.0,2023,222
